"rownum","Id","Text","Text (French)","Text (German)","Text (Japanese)","Text (Korean)","Text (Portuguese)","Text (Russian)","Text (Spanish)","Text (Thai)","Text (Traditional Chinese)","TextXBox","TextXBox (French)","TextXBox (German)","TextXBox (Japanese)","TextXBox (Korean)","TextXBox (Portuguese)","TextXBox (Russian)","TextXBox (Spanish)","TextXBox (Thai)","TextXBox (Traditional Chinese)","i32_24","i32_28","i32_32","i32_36","[rid]_40","i32_56"
10,"ProxyKey11","Waypoints can be used to travel quickly between some areas.","Les Points de téléportation peuvent être utilisés pour voyager rapidement entre certaines zones.","Über Wegpunkte kannst du schnell von einem Gebiet in andere gelangen.","ウェイポイントを利用することで、一部のエリア間を素早く移動することができます。","거점을 이용하면 일부 지역 간을 빠르게 이동할 수 있습니다.","Marcadores podem ser usados para viajar rapidamente entre algumas áreas.","Порталы могут быть использованы для быстрого перемещения между некоторыми зонами.","Los transportadores sirven para viajar rápidamente entre algunas áreas.","คุณสามารถใช้เวย์พอยน์เพื่อเดินทางไปตามด่านต่างๆ อย่างรวดเร็ว","除了傳送門之外，傳送點也能夠讓你快速的到處趴趴走喔！","","","","","","","","","","",1,100,0,0,[],56
11,"ProxyKey12","Flasks on your belt refill when you kill Monsters, refilling more from more powerful Monsters.","Les Flacons à votre ceinture se remplissent quand vous tuez des ennemis, et se remplissent encore plus en tuant des ennemis puissants.","Die Fläschchen an deinem Gürtel füllen sich auf, wenn du Monster tötest, wobei mächtigere Monster mehr Füllungen gewähren.","ベルト上にあるフラスコは、モンスターを倒すことで補充され、より強力なモンスターからはより多く補充されます。","허리띠에 장비 중인 플라스크는 몬스터를 처치할 때마다 채워집니다. 몬스터가 강력할수록 많이 찹니다.","Frascos no seu cinto serão recuperados quando você matar monstros, tendo uma recuperação maior de acordo com o poder dos Monstros mortos.","Флаконы на вашем поясе восполняются по мере убийства монстров. Убийство более могучих монстров восполняет флаконы быстрее.","Los frascos de tu cinturón se rellenan cuando matas monstruos, y se rellenan más con los monstruos más poderosos.","ขวดยาบนเข็มขัดจะเติมชาร์จด้วยการสังหารมอนสเตอร์ มอนสเตอร์ที่ทรงพลังจะให้ชาร์จมากขึ้น","擊殺稀有度普通以上的怪物即可補充腰帶上的藥劑。","","","","","","","","","","",1,100,0,0,[],56
12,"ProxyKey13","To use a <currencyitem>{scroll} or <currencyitem>{orb}, <b>{right click} it then <b>{left click} the target item.","Pour utiliser un <currencyitem>{parchemin} ou un <currencyitem>{orbe}, faites un <b>{clic droit} dessus, puis un <b>{clic gauche} sur l'objet de votre choix.","<size:40>{<b>{Rechtsklicke} auf eine <currencyitem>{Schriftrolle} oder eine <currencyitem>{Sphäre} und <b>{linksklicke} anschließend auf den Zielgegenstand.}","<currencyitem>{巻物}または<currencyitem>{オーブ}を使用するためには、使用するアイテムを<b>{右クリック}した後、対象となるアイテムを<b>{左クリック}します。 ","<currencyitem>{주문서} 또는 <currencyitem>{오브}를 사용하려면 해당 아이템을 <b>{우클릭}한 뒤, 효과를 적용할 아이템을 <b>{좌클릭}하십시오.","Para usar um <currencyitem>{pergaminho} ou <currencyitem>{orbe}, <b>{clique com o botão direito} nele e então <b>{com o esquerdo} no item desejado.","Чтобы использовать <currencyitem>{свиток} или <currencyitem>{сферу}, нажмите <b>{правой кнопкой мыши}, а затем <b>{левой} по выбранному предмету.","<size:35>{Para usar un <currencyitem>{pergamino} o un <currencyitem>{orbe}, haz <b>{clic derecho} sobre él y luego haz <b>{clic derecho} en el objeto objetivo.}","เมื่อต้องการใช้ <currencyitem>{Scroll} หรือ <currencyitem>{Orb} ให้<b>{คลิกขวา}ที่ไอเทมชิ้นนั้นแล้ว<b>{คลิกซ้าย}ที่ไอเทมเป้าหมาย","可以對 <currencyitem>{卷軸} 或 <currencyitem>{通貨} 按右鍵再對目標按左鍵來使用它。","To use a <currencyitem>{scroll} or <currencyitem>{orb}, press <<xbox_button_x>> on it then <<xbox_button_a>> on the target item.","Pour utiliser un <currencyitem>{parchemin} ou un <currencyitem>{orbe}, appuyez dessus avec <<xbox_button_x>>, puis faites <<xbox_button_a>> sur l'objet de votre choix.","Drücke <<xbox_button_x>> auf eine <currencyitem>{Schriftrolle} oder eine <currencyitem>{Sphäre} und anschließend <<xbox_button_a>> auf den Zielgegenstand.","<currencyitem>{巻物}または<currencyitem>{オーブ}は、使用するアイテム上で<<xbox_button_x>>を押してから対象とするアイテム上で<<xbox_button_a>>を押して使用します。","<currencyitem>{주문서} 또는 <currencyitem>{오브}를 사용하려면, 해당 아이템에서 <<xbox_button_x>>를 누른 다음, 효과를 적용할 적용하려는 아이템에서 <<xbox_button_a>>를 누르십시오.","Para usar um <currencyitem>{pergaminho} ou <currencyitem>{orbe}, <<xbox_button_x>> nele e então <<xbox_button_a>> no item desejado.","Чтобы использовать <currencyitem>{свиток} или <currencyitem>{сферу}, нажмите <<xbox_button_x>> на ней и затем <<xbox_button_a>> на выбранном предмете.","Para usar un <currencyitem>{pergamino} o un <currencyitem>{orbe}, presiona <<xbox_button_x>> sobre él y luego <<xbox_button_a>> en tu objeto objetivo.","ใช้ <currencyitem>{Scroll} หรือ <currencyitem>{Orb} ได้ด้วยการกด <<xbox_button_x>> ที่ไอเทมชิ้นนั้นแล้วกด <<xbox_button_a>> ที่ไอเทมเป้าหมาย","若欲使用<currencyitem>{卷軸}或<currencyitem>{寶石}，請對其按下<<xbox_button_x>>，接著在目標物品上按下<<xbox_button_a>>。",1,100,0,0,[],56
13,"ProxyKey14","Hold <b>{Shift} and click a stack of items to unstack them.","Maintenez <b>{Maj} et cliquez sur un ensemble d'objets pour le séparer en deux.","Halte <b>{Umschalt} gedrückt und klicke auf einen Stapel mit Gegenständen, um ihn zu entstapeln.","<b>{Shift}を押しながらクリックすることで、スタックしているアイテムから一部を取り出します。","<b>{Shift}를 누른 채 중첩된 아이템을 클릭하면 낱개로 분리할 수 있습니다.","Segure <b>{Shift} e clique para empilhar itens ou desfazer a pilha.","Удерживая <b>{Shift}, нажмите по стопке предметов, чтобы разделить их.","Mantén presionado <b>{Shift} y haz clic sobre una pila de objetos para desapilarlos.","คุณสามารถทำการแยกกองได้ด้วยการกด <b>{Shift} แล้วคลิกที่กองของไอเทม","可以按住 <b>{Shift} 再點擊一個已堆疊的物品將其分成兩堆。","Press and hold <<xbox_button_a>> on a stack of items to unstack them.","Appuyez et maintenez <<xbox_button_a>> sur un ensemble d'objets pour le séparer en deux.","Drücke <<xbox_button_a>> auf einen Stapel mit Gegenständen, um ihn zu entstapeln.","スタックしているアイテムから一部を取り出すにはスタックしたアイテム上で<<xbox_button_a>>を押し続けます。","중첩된 아이템에서 <<xbox_button_a>>을 길게 누르면 낱개로 분리할 수 있습니다.","Segure <<xbox_button_a>> em uma pilha de itens para desfazer a pilha.","Нажмите и удерживайте <<xbox_button_a>> на стопке предметов, чтобы разделить их.","Mantén presionado <<xbox_button_a>> sobre una pila de objetos para desapilarlos.","แยกกองของไอเทมได้ด้วยการกด  <<xbox_button_a>>  ค้างไว้ที่กองของไอเทม","在已堆疊的物品上按住<<xbox_button_a>>以將其分成兩堆。",1,100,0,0,[],56
14,"ProxyKey15","Never tell anyone your password.","Ne donnez jamais votre mot de passe à qui que ce soit.","Gib niemals dein Passwort preis.","パスワードは絶対に誰にも教えないでください。","비밀번호를 절대 타인에게 알려주지 마십시오.","Nunca passe sua senha para ninguém.","Никому не говорите свой пароль.","Nunca le digas a nadie tu contraseña.","อย่าให้ใครรู้รหัสผ่านของคุณ","勿將你的密碼告訴任何人。","Never give away your account credentials to anyone or tell them your password.","Ne donnez jamais vos identifiants de compte à qui que ce soit, ni votre mot de passe.","Gib niemals deine Kontodaten weiter und verrate niemandem dein Passwort.","アカウントの資格情報を他人に渡したり、パスワードを教えたりしないでください。","타인에게 계정 정보를 알려주거나 비밀번호를 말해주지 마십시오.","Nunca passe as credencias da sua conta ou sua senha para ninguém.","Никому не сообщайте данные вашего аккаунта и не говорите ваш пароль.","Nunca le digas a nadie tu contraseña ni des información sobre tu cuenta.","อย่าให้ใครรู้ข้อมูลบัญชีหรือรหัสผ่านของคุณ","勿將帳密給予任何人，或將密碼告訴他們。",1,100,0,0,[],56
15,"ProxyKey17","<gemitem>{Skill Gems} can be leveled up with the use of an Uncut Skill Gem.","Les <gemitem>{Gemmes d'aptitude} peuvent être montées de niveau en utilisant une Gemme d'aptitude brute.","<gemitem>{Fertigkeitengemmen} können mit einer Ungeschnittenen Fertigkeitengemme hochgestuft werden.","<gemitem>{スキルジェム}は、スキルジェムの原石を使用することでレベルアップできます。","미가공 스킬 젬을 사용해 <gemitem>{스킬 젬}의 레벨을 올릴 수 있습니다.","<gemitem>{Gemas de Habilidade} podem ganhar níveis com o uso de uma Gema Bruta de Habilidade.","Уровень <gemitem>{Камней умений} можно повысить с помощью неогранённого камня умений.","Las <gemitem>{gemas de habilidad} suben de nivel con las gemas de habilidad sin tallar.","เพิ่มเลเวลของ<gemitem>{หินสกิล}ได้ด้วยการใช้หินสกิลหยาบ","<gemitem>{技能寶石} 可以透過使用未切割的技能寶石來進行升級。","Use an <<itemvisual:UncutSkillGem>> <currencyitem>{Uncut Skill Gem} to craft or level-up <gemitem>{Skill Gems} ","Utilisez une <<itemvisual:UncutSkillGem>> <currencyitem>{Gemme d'aptitude brute} pour fabriquer ou monter de niveau des <gemitem>{Gemmes d'aptitude} ","Benutze eine<<itemvisual:UncutSkillGem>> <currencyitem>{Ungeschnittene Fertigkeitengemme}, um <gemitem>{Fertigkeitengemmen} herzustellen oder hochzustufen","<<itemvisual:UncutSkillGem>> <currencyitem>{スキルジェムの原石}を使用して<gemitem>{スキルジェム}をクラフトまたはレベルアップできます。","<<itemvisual:UncutSkillGem>> <currencyitem>{미가공 스킬 젬}을 사용하면 <gemitem>{스킬 젬}을 제작하거나 레벨을 올릴 수 있습니다.","Use um <<itemvisual:UncutSkillGem>> <currencyitem>{Gema Bruta de Habilidade} para forjar ou aprimorar <gemitem>{Gemas de Habilidade} ","Используйте <<itemvisual:UncutSkillGem>> <currencyitem>{неогранённый камень умения}, чтобы создать или повысить уровень <gemitem>{камня умения}.","Usa una <<itemvisual:UncutSkillGem>> <currencyitem>{gema de habilidad sin tallar} para fabricar o subir de nivel <gemitem>{gemas de habilidad} ","ใช้ <<itemvisual:UncutSkillGem>> <currencyitem>{หินสกิลหยาบ} เพื่อคราฟท์หรือเพิ่มเลเวลให้กับ<gemitem>{หินสกิล}","使用一顆<<itemvisual:UncutSkillGem>> <currencyitem>{未切割的技能寶石}來製作或升級<gemitem>{技能寶石} ",1,100,0,0,[],56
16,"ProxyKey18","Remember to return to a <b>{Well} to refill your flasks and replenish your Life and Mana.","N'oubliez pas de retourner à un <b>{Puits} pour remplir vos Flacons et restaurer votre Vie et votre Mana.","Denk daran, zu einem <b>{Brunnen} zurückzukehren, um deine Fläschchen aufzufüllen und dein Leben und Mana wiederherzustellen.","<b>{井戸}に戻ってフラスコの補充、ライフおよびマナの回復をお忘れなく。","가끔 <b>{우물}로 돌아가서 플라스크를 채우고 생명력과 마나를 회복하는 것을 잊지 마십시오.","Lembre-se de ir até um <b>{Poço} para recuperar seus frascos e encher sua Vida e Mana.","Не забывайте возвращаться к <b>{колодцу} для восполнения флаконов и восстановления вашего здоровья и маны.","Recuerda ir a un <b>{pozo} para rellenar tus frascos y restaurar tu vida y tu maná.","อย่าลืมกลับไปหา<b>{บ่อน้ำ}เพื่อเติมขวดยาของคุณพร้อมทั้งเติมพลังชีวิตและมานาของคุณด้วย","記得回到<b>{水井}補滿藥劑並恢復生命與魔力。","Remember to use a <b>{Well} to refill your flasks and replenish your Charms, Life and Mana.","N'oubliez pas d'utiliser un <b>{Puits} pour remplir vos Flacons et restaurer vos Charmes, Vie et Mana.","Vergiss nicht, einen <b>{Brunnen}</b> zu benutzen, um deine Fläschchen aufzufüllen und deine Phiolen, dein Leben und dein Mana wieder aufzufüllen.","<b>{井戸}を使用してフラスコの補充、ライフ、マナおよびチャームの回復をお忘れなく。","가끔 <b>{우물}을 사용해서 플라스크와 호신부를 채우고 생명력과 마나를 회복하는 것을 잊지 마십시오.","Lembre-se de usar um <b>{Poço} para reabastecer seus frascos e restaurar seus Patuás, Vida e Mana. ","Не забывайте пользоваться <b>{колодцем} для восполнения флаконов и восстановления вашего здоровья и маны.","Recuerda usar un <b>{pozo} para rellenar tus frascos y restaurar tus viales, tu vida y tu maná.","อย่าลืมกลับไปหา<b>{บ่อน้ำ}เพื่อเติมขวดยาของคุณพร้อมทั้งเติมของขลัง, พลังชีวิตและมานาของคุณด้วย","記得使用<b>{水井}補滿藥劑和護符，並恢復生命與魔力。",1,100,0,0,[],56
17,"ProxyKey19","Partying with other players makes enemies harder and gives more rewards.","Lorsque vous jouez en groupe, les ennemis sont plus coriaces mais donnent plus de récompenses.","Wenn du mit anderen Spielern eine Gruppe bildest, stärkt das deine Gegner und du erhältst mehr Belohnungen.","他のプレイヤーとパーティーを組んでいる場合、敵は強くなり、より多くの報酬が得られます。","다른 플레이어와 파티를 이룰 경우, 적도 강해지지만 보상 또한 더 풍성해집니다.","Entrar em grupos com outros jogadores torna os inimigos mais difíceis e mais recompensadores.","Игра в группе делает врагов сильнее и даёт большую награду.","Armar grupos con otros jugadores hace que los enemigos sean más difíciles y den más recompensas.","การร่วมปาร์ตี้กับผู้เล่นอื่นๆ ทำให้ศัตรูแข็งแกร่งมากขึ้นและให้ของรางวัลมากขึ้น","雖然與他人組隊時怪物會變的更強，但所掉落的物品也會跟著變得更好喔。","Co-op and party play makes enemies tougher, but gives greater rewards.","Jouer en co-op ou en groupe rend les ennemis plus résistants, mais offre plus de récompenses.","Koop- und Gruppenspiele machen die Gegner schwieriger, bieten aber auch mehr Belohnungen.","協力またはパーティープレイの場合、敵は強くなり、より多くの報酬が得られます。","협동 및 파티 플레이 시에는 적이 더 강해지지만, 보상도 더 좋아집니다.","Jogar em cooperação ou em grupo deixa os inimigos mais difíceis, mas concede recompensas maiores. ","Кооперативный режим и игра в группе делают врагов сложнее, но приносят больше наград.","Jugar en cooperativo local o en grupo hace que los enemigos sean más difíciles, pero darán más recompensas.","การเล่นในโหมด Co-op และการเล่นในปาร์ตี้ทำให้ศัตรูแข็งแกร่งมากขึ้นและให้ของรางวัลมากขึ้น","多人合作和小隊戰鬥會讓敵人更強，但獎勵也更好。",1,100,0,0,[],56
18,"ProxyKey20","You can change your key bindings in the <b>{Options} menu.","Vous pouvez modifier vos raccourcis clavier dans le Menu des <b>{options}.","Die Tastenbelegung kannst du in den <b>{Optionen} ändern.","<b>{オプション}メニューでキー入力の設定を変更することができます。","<b>{설정} 메뉴에서 다른 단축키로 변경할 수 있습니다.","Você pode mudar seus botões designados no Menu de <b>{Opções}.","Вы можете изменить назначение горячих клавиш в <b>{Настройках} Меню.","Puedes cambiar la configuración de tu teclado en el menú de <b>{Opciones}.","คุณสามารถเปลี่ยนการตั้งค่าปุ่มของคุณได้ภายในเมนู<b>{ตัวเลือก}","可以到 <b>{設定} 中修改快捷鍵設定。","Press and hold <<xbox_button_view>> and select <b>{Skill Binds} to customise your Actions and Skills.","Appuyez et maintenez <<xbox_button_view>>, puis sélectionnez <b>{Raccourcis des aptitudes} pour personnaliser vos Actions et Aptitudes.","Halte <<xbox_button_view>> gedrückt und wähle <b>{Fertigkeitenzuweisungen}, um deine Aktionen und Fertigkeiten anzupassen.","<<xbox_button_view>>を長押しして<b>{スキル割り当て}を選択し、アクションとスキルをカスタマイズします。","<<xbox_button_view>>를 누른 채로 <b>{스킬 지정}을 선택하면 지정된 동작과 스킬을 변경할 수 있습니다.","Pressione e segure <<xbox_button_view>> e selecione <b>{Designar Habilidades} para customizar suas ações.","Нажмите и удерживайте <<xbox_button_view>> и выберите «<b>{Привязка умений}» для настройки действий и умений.","Mantén presionado <<xbox_button_view>> y selecciona <b>{vinculación de habilidades} para personalizar tus acciones y habilidades.","คุณสามารปรับปุ่มสกิลต่างๆ ได้ด้วยการกด <<xbox_button_x>> ค้างขณะที่กำลัง<b>{จัดรู}ของสกิล","按住 <<xbox_button_view>>，然後選擇 <b>{技能綁定}來客製化你的動作和技能。",1,100,0,0,[],56
19,"ProxyKey21","You can move the overlay map around using the <b>{arrow keys}.","Vous pouvez déplacer la carte en transparence à l'aide des <b>{touches fléchées}.","Verwende die <b>{Pfeiltasten}, um die eingeblendete Karte zu verschieben.","<b>{矢印キー}を使用することで、オーバーレイマップを移動させることができます。","<b>{방향키}로 전체 지도를 움직일 수 있습니다.","Você pode mover a sobreposição do mapa usando as <b>{Setas Direcionais}.","Вы можете двигать развёрнутую карту, используя <b>{стрелочки} на клавиатуре.","Puedes mover el mapa de transparencia con las <b>{flechas del teclado}.","คุณสามารถเลื่อนแผนที่ซ้อนได้โดยใช้<b>{ปุ่มลูกศร}","可以使用 <b>{方向鍵} 來移動地圖。","Pressing <<xbox_button_x>> on a new skillgem in your inventory will equip and bind the skill in a single action.","Appuyer avec <<xbox_button_x>> sur une nouvelle Gemme d'aptitude dans votre inventaire l'équipera et lui attribuera un raccourci, le tout en une seule action.","Durch Drücken von <<xbox_button_x>> auf eine neue Fertigkeitengemme in deinem Inventar wird die Fertigkeit in einer einzigen Aktion ausgerüstet und zugewiesen.","インベントリ内の新しいスキルジェム上で<<xbox_button_x>>を押して装備し、そのスキルをシングルアクションとしてバインドします。","소지품에서 새 스킬 젬을 선택한 후 <<xbox_button_x>>를 누르면, 스킬을 한 번에 장착하고 지정할 수 있습니다.","Pressionar <<xbox_button_x>> em uma nova gema de habilidade em seu inventário vai equipar e designar tal habilidade em uma única ação. ","Нажатие <<xbox_button_x>> на новом камне умения в инвентаре подготовит умение к использованию и назначит для него кнопку одним действием.","Si presionas <<xbox_button_x>> sobre una nueva gema de habilidad de tu inventario, la habilidad se equipará y vinculará a la vez.","กด <<xbox_button_x>> ที่หินสกิลใหม่ในช่องเก็บของของคุณเพื่อติดตั้งและตั้งปุ่มให้กับสกิลนั้นในคราวเดียว","在背包中對著全新的技能寶石按下<<xbox_button_x>>，就能在裝備的同時綁定該技能的快捷鍵。",1,100,0,0,[],56
20,"ProxyKey22","Use the mouse wheel to zoom in and out.","Utilisez la molette de la souris pour zoomer/dézoomer.","Verwende das Mausrad zum Vergrößern oder Verkleinern.","マウスホイールを使用してズームインおよびズームアウトができます。","시야를 확대하거나 축소하려면 마우스 휠을 이용하십시오.","Use o scroll do mouse para aproximar ou distanciar a câmera.","Вы можете использовать колесико мыши для отдаления или приближения камеры","Usa la rueda del mouse para acercar y alejar la cámara.","ใช้ลูกกลิ้งเมาส์เพื่อซูมเข้าและออก","可以使用滑鼠滾輪來將鏡頭拉近或拉遠。","Press and hold <<xbox_button_a>> to assign <b>{Split Set Points} for each weapon set when spending passive points.","Appuyez et maintenez <<xbox_button_a>>  pour assigner des <b>{Points d'Ensemble partagés} pour chaque Ensemble d'armes lorsque vous dépensez des points de Talent.","Drücke und halte <<xbox_button_a>> gedrückt, um <b>{Geteilte Setpunkte} für jedes Waffenset zuzuweisen, wenn du Passive Punkte zuweist.","パッシブポイントを割り当てる際に<<xbox_button_a>>を長押しすると、各武器セットに<b>{分割セットポイント}が割り当てられます。","패시브 포인트를 쓸 때 <<xbox_button_a>>를 길게 누르면 각 무기 세트에 <b>{분할 세트 포인트}를 할당할 수 있습니다.","Pressione e segure <<xbox_button_a>> para atribuir <b>{Pontos Divididos de Conjuntos} para cada conjunto de armas ao gastar pontos passivos.","Нажмите и удерживайте <<xbox_button_a>> для назначения <b>{раздельных очков умений} на каждый набор оружия при выборе пассивных умений.","Mantén presionado <<xbox_button_a>> para asignar <b>{puntos de set divididos} para cada set de armas cuando gastes puntos de pasivas.","กด <<xbox_button_a>> ค้างไว้เพื่ออัพ<b>{แต้มพาสซีฟแยกชุด}ให้กับแต่ละชุดอาวุธเมื่อใช้แต้มพาสซีฟ","花費天賦點數時，按住 <<xbox_button_a>> 可為各個武器套裝分配<b>{分裂套裝點數}。",1,100,0,0,[],56
21,"ProxyKey23","The Hooded One can help you by identifying your items.","L'Encapuchonné peut vous aider en identifiant vos objets.","Der Verhüllte kann dir bei der Identifikation deiner Gegenstände helfen.","フードをかぶった者はアイテムを鑑定してくれます。","두건 쓴 자는 아이템을 식별해서 도움을 줄 수 있습니다.","O Encapuzado pode te ajudar a identificar seus itens.","Скрытный может опознавать для вас предметы.","El encapuchado puede ayudarte a identificar tus objetos.","ผู้คลุมกายสามารถตรวจสอบไอเทมให้กับคุณได้","黑衣幽魂可以幫你鑑定物品。","","","","","","","","","","",1,100,0,0,[],56
22,"ProxyKey24","Monsters that deal cold damage can freeze you.","Les monstres qui infligent des dégâts de froid peuvent vous geler.","Monster, die Kälteschaden zufügen, können dich einfrieren.","冷気ダメージを与えるモンスターは、プレイヤーを凍結させることができます。","냉기 피해를 가하는 몬스터에게 맞으면 동결될 수 있습니다.","Monstros que causam dano de gelo podem te congelar.","Монстры, наносящие урон от льда, могут заморозить вас.","Los monstruos que hacen daño de hielo te pueden congelar.","มอนสเตอร์ที่สร้างความเสียหาย น้ำแข็ง สามารถทำให้คุณติดสถานะ แช่แข็ง","會造成冰冷傷害的怪物，可是有機會把你凍結的唷。","Monsters that deal <cold>{cold} damage can <b>{freeze} you.","Les monstres qui infligent des dégâts de <cold>{froid} peuvent vous <b>{geler}.","Monster, die <cold>{Kälte}schaden verursachen, können dich <b>{einfrieren}.","<cold>{冷気}ダメージを与えるモンスターは、プレイヤーを<b>{凍結}させることができます。","<cold>{냉기} 피해를 가하는 몬스터에게 맞으면 <b>{동결}될 수 있습니다.","Monstros que causam dano de <cold>{Gelo} podem <b>{congelar} você. ","Монстры, наносящие урон от <cold>{льда}, могут <b>{заморозить} вас.","Los monstruos que hacen daño de <cold>{hielo} te pueden <b>{congelar}.","มอนสเตอร์ที่สร้างความเสียหาย <cold>{น้ำแข็ง} สามารถทำให้คุณติดสถานะ <b>{แช่แข็ง}","會造成<cold>{冰冷}傷害的怪物，可是有機會把你<b>{凍結}的唷。",1,100,0,0,[],56
23,"ProxyKey25","Lightning damage can shock you, increasing damage taken.","Les dégâts de foudre peuvent vous électrocuter, augmentant ainsi les dégâts que vous subissez.","Blitzschaden kann dich in einen Schockzustand versetzen und den erlittenen Schaden erhöhen.","雷ダメージは感電を付与でき、受けるダメージを増加させます。","번개 피해를 받으면 감전으로 인해 피해가 증가할 수 있습니다.","O dano de raio pode te eletrizar, aumentando o dano sofrido.","Урон молнии может наложить шок, увеличивающий получаемый урон.","El daño de rayo te puede electrocutar, de forma que aumenta el daño que recibes.","ความเสียหาย สายฟ้า สามารถทำให้คุณติดสถานะ ช็อค ซึ่งจะเพิ่มความเสียหายที่ได้รับ","閃電傷害致命時會造成感電狀態，額外增加目標受到的傷害。","<lightning>{Lightning} damage can <b>{shock} you, increasing damage taken.","Les dégâts de <lightning>{foudre} peuvent vous <b>{électrocuter}, augmentant ainsi les dégâts que vous subissez.","Monster, die <cold>{Blitz}schaden verursachen, können dich <b>{schocken}, wodurch der erlittene Schaden erhöht wird.","<lightning>{雷}ダメージは<b>{感電}を付与でき、受けるダメージを増加させます。","<lightning>{번개} 피해를 받으면 <b>{감전}으로 인해 피해가 증가할 수 있습니다.","Dano de <lightning>{Raio} pode <b>{eletrizar} você, aumentando o dano sofrido.","Урон <lightning>{молнии} может наложить <b>{шок}, увеличивающий получаемый урон.","El daño de <lightning>{rayo} te puede electrocutar, lo que aumenta el daño que recibes.","ความเสียหาย <lightning>{สายฟ้า} สามารถทำให้คุณติดสถานะ <b>{ช็อค} ซึ่งจะเพิ่มความเสียหายที่ได้รับ","<lightning>{閃電}傷害會造成<b>{感電}狀態，額外增加目標受到的傷害。",1,100,0,0,[],56
24,"ProxyKey26","Fire damage can ignite targets, causing them to burn for extra damage.","Les dégâts de feu peuvent embraser leurs victimes et leur infliger plus de dégâts en les brûlant.","Feuerschaden kann Ziele entzünden, brennen lassen und zusätzlichen Schaden zufügen.","火ダメージは対象を発火させることができ、燃焼による追加ダメージを与えます。","화염 피해로 대상을 점화하면 불이 붙어 추가 피해를 줄 수 있습니다.","O dano de fogo pode incendiar os alvos, fazendo com que sofram dano de queimadura extra.","Урон от огня может поджечь цель, нанеся дополнительный урон.","El daño de fuego puede quemar a los objetivos, lo que causará que se incendien y reciban daño extra.","ความเสียหาย ไฟ สามารถทำให้เป้าหมายติดสถานะ ลุกไหม้ ซึ่งทำให้มันติดไฟและได้รับความเสียหายเพิ่มเติม","火焰傷害致命時會點燃目標，讓目標受到額外的燃燒傷害。","<fire>{Fire} damage can <b>{ignite} targets, causing them to burn for extra damage.","Les dégâts de <fire>{feu} peuvent <b>{embraser} leurs victimes et leur infliger plus de dégâts en les brûlant.","Monster, die <cold>{Feuer}schaden verursachen, können Ziele <b>{entzünden}, wodurch diese für zusätzlichen Schaden brennen.","<fire>{火}ダメージは対象を<b>{発火}させることができ、燃焼による追加ダメージを与えます。","<fire>[Fire|화염] 피해로 대상을 <b>{점화}하면 불이 붙어 추가 피해를 줄 수 있습니다.","Dano de <fire>{Fogo} pode <b>{incendiar} alvos, fazendo-os queimar e sofrer dano adicional.","Урон от <fire>{огня} может <b>{поджечь} цель, нанеся дополнительный урон.","El daño de <fire>{fuego} puede <b>{quemar} a los objetivos, lo que hará se incendien y reciban daño adicional.","ความเสียหาย <fire>{ไฟ} สามารถทำให้เป้าหมายติดสถานะ <b>{ลุกไหม้} ซึ่งทำให้มันติดไฟและได้รับความเสียหายเพิ่มเติม","<fire>{火焰}傷害會<b>{點燃}目標，讓目標受到額外的燃燒傷害。",1,100,0,0,[],56
