"rownum","Mod","Name","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","Visual","TextStyles","bool_56","bool_57","bool_58"
12,4213,"Armoured","Blindé","Gepanzert","重装甲","장갑을 두른","Encouraçado","Бронированный","Blindado","หุ้มเกราะ","額外護甲值","",[],"","",1
13,4214,"[MonsterExtraArmour1|Armoured]","[MonsterExtraArmour1|Blindé]","[MonsterExtraArmour1|Gepanzert]","[MonsterExtraArmour1|重装甲]","[MonsterExtraArmour1|장갑을 두른]","[MonsterExtraArmour1|Encouraçado]","[MonsterExtraArmour1|Бронированный]","[MonsterExtraArmour1|Blindado]","[MonsterExtraArmour1|หุ้มเกราะ]","[MonsterExtraArmour1|裝甲的]","",[],"","",1
14,4215,"Evasive","Évasif","Ausweichend","高回避力","회피하는","Evasivo","Уклоняющийся","Evasivo","หลบหลีก","額外閃避值","",[],"","",1
15,4216,"[MonsterExtraEvasion1|Evasive]","[MonsterExtraEvasion1|Évasif]","[MonsterExtraEvasion1|Ausweichend]","[MonsterExtraEvasion1|高回避力]","[MonsterExtraEvasion1|회피하는]","[MonsterExtraEvasion1|Evasivo]","[MonsterExtraEvasion1|Уклоняющийся]","[MonsterExtraEvasion1|Evasivo]","[MonsterExtraEvasion1|หลบหลีก]","[MonsterExtraEvasion1|閃避的]","",[],"","",1
16,4217,"Extra Energy Shield","Bouclier d'énergie supplémentaire","Extra Energieschild","追加エナジーシールド","추가 에너지 보호막","Escudo de Energia Adicional","Дополнительный энергетический щит","Escudo de energía adicional","เสริมโล่พลังงาน","額外能量護盾","",[],"","",1
17,4218,"[MonsterExtraEnergyShield1|Extra Energy Shield]","[MonsterExtraEnergyShield1|Bouclier d'énergie supplémentaire]","[MonsterExtraEnergyShield1|Extra Energieschild]","[MonsterExtraEnergyShield1|追加エナジーシールド]","[MonsterExtraEnergyShield1|추가 에너지 보호막]","[MonsterExtraEnergyShield1|Escudo de Energia Adicional]","[MonsterExtraEnergyShield1|Дополнительный энергетический щит]","[MonsterExtraEnergyShield1|Escudo de energía adicional]","[MonsterExtraEnergyShield1|เสริมโล่พลังงาน]","[MonsterExtraEnergyShield1|額外能量護盾]","",[],"","",1
18,4219,"Always Poisons","Empoisonne toujours","Vergiftet immer","常に毒付与","항상 중독 유발","Sempre Envenena","Всегда отравляет","Siempre envenena","สร้างสถานะ พิษ เสมอ","必定中毒","",[],"","",1
19,4220,"[Poison|Always Poisons]","[Poison|Empoisonne toujours]","[Poison|Vergiftet immer]","[Poison|常に毒付与]","[Poison|항상 중독 유발]","[Poison|Sempre Envenena]","[Poison|Всегда отравляет]","[Poison|Siempre envenena]","[Poison|สร้างสถานะ พิษ เสมอ]","[Poison|必定中毒]","",[],"","",1
20,4221,"Always Bleeds","Inflige toujours le Saignement","Verursacht immer Bluten","常に出血付与","항상 출혈 유발","Sempre Sangra","Всегда накладывает кровотечение","Siempre aplica sangrado","สร้างสถานะ เลือดไหล เสมอ","必定流血","",[],"","",1
21,4222,"[Bleeding|Always Bleeds]","[Bleeding|Inflige toujours le Saignement]","[Bleeding|Verursacht immer Bluten]","[Bleeding|常に出血付与]","[Bleeding|항상 출혈 유발]","[Bleeding|Sempre Sangra]","[Bleeding|Всегда накладывает кровотечение]","[Bleeding|Siempre aplica sangrado]","[Bleeding|สร้างสถานะ เลือดไหล เสมอ]","[Bleeding|必定流血]","",[],"","",1
22,4223,"Periodically unleashes Fire","Libère périodiquement du Feu","Entfesselt regelmäßig Feuer","定期的に火を放つ","주기적으로 화염 방출","Libera Fogo Periodicamente","Периодически высвобождает огонь","Lanza fuego periódicamente","ปล่อย ไฟ เป็นระยะ","週期性創造燃燒地面",73,[],"","",""
23,4224,"[IgnitedGround|Burning Ground] on Death","[IgnitedGround|Sol brûlant] en mourant","[IgnitedGround|Brennender Boden] bei Tod","死亡時に[IgnitedGround|燃焼領域]を生成","사망 시 [IgnitedGround|용암 지대]","[IgnitedGround|Solo Incendiado] ao Morrer","[IgnitedGround|Горящая земля] при смерти","[IgnitedGround|Suelo incendiado] al morir","สร้าง [IgnitedGround|พื้นลุกไหม้] เมื่อตาย","死亡時[IgnitedGround|燃燒地面]",73,[],"","",""
24,4225,"Burning Ground on Death","Sol brûlant en mourant","Brennender Boden bei Tod","死亡時に燃焼領域を生成","사망 시 용암 지대","Solo Incendiado ao Morrer","Горящая земля при смерти","Suelo incendiado al morir","สร้าง พื้นลุกไหม้ เมื่อตาย","死亡時燃燒地面","",[],"","",""
25,4226,"Periodically unleashes Ice","Libère périodiquement de la Glace","Entfesselt regelmäßig Eis","定期的に氷を放つ","주기적으로 얼음 방출","Libera Gelo Periodicamente","Периодически высвобождает лёд","Lanza hielo periódicamente","ปล่อย น้ำแข็ง เป็นระยะ","週期性創造傷害性冰緩地面",75,[],"","",""
26,4227,"Periodically unleashes [Cold|Ice]","Libère périodiquement de la [Cold|Glace]","Entfesselt regelmäßig [Cold|Eis]","定期的に[Cold|氷]を放つ","주기적으로 [Cold|얼음] 방출","Libera [Cold|Gelo] Periodicamente","Периодически высвобождает [Cold|лёд]","Lanza [Cold|hielo] periódicamente","ปล่อย [Cold|น้ำแข็ง] เป็นระยะ","週期性釋放[Cold|寒冰]",75,[],"","",""
27,4228,"Chilled Ground on Death","Sol frigorifiant en mourant","Unterkühlender Boden bei Tod","死亡時に冷却領域を生成","사망 시 얼음 지대","Solo Congelado ao Morrer","Замёрзшая земля при смерти","Suelo escarchado al morir","สร้าง พื้นหนาวเย็น เมื่อตาย","死亡時冰緩地面","",[],"","",""
28,4229,"Periodically unleashes Lightning","Libère périodiquement de la Foudre","Entfesselt regelmäßig Blitze","定期的に雷を放つ","주기적으로 번개 방출","Libera Raio Periodicamente","Периодически высвобождает молнию","Lanza rayos periódicamente","ปล่อย สายฟ้า เป็นระยะ","週期性創造感電地面",74,[],"","",""
29,4230,"Periodically unleashes [Lightning]","Libère périodiquement de la [Lightning|Foudre]","Entfesselt regelmäßig Blitze","定期的に[Lightning|雷]を放つ","주기적으로 [Lightning|번개] 방출","Libera [Lightning|Raio] Periodicamente","Периодически высвобождает [Lightning|молнию]","Lanza [Lightning|rayos] periódicamente","ปล่อย [Lightning|สายฟ้า] เป็นระยะ","週期性釋放[Lightning|閃電]",74,[],"","",""
30,4231,"Shocked Ground on Death","Sol électrocutant en mourant","Schockender Boden bei Tod","死亡時に感電領域を生成","사망 시 감전 지대","Solo Eletrizado ao Morrer","Заряженная земля при смерти","Suelo electrificado al morir","สร้าง พื้นช็อค เมื่อตาย","死亡時感電地面","",[],"","",""
31,4232,"Increased Stun Threshold","Seuil d'Étourdissement augmenté","Erhöhte Betäubungsschwelle","スタン閾値増加","기절 한계치 증가","Resistência-limite de Atordoamento Aumentada","Повышенный порог оглушения","Umbral de aturdimiento aumentado","เพิ่มความยากในการติดสถานะ สตัน","暈眩門檻增加","",[],"","",1
32,4233,"[MonsterImmuneToStun1|Increased Stun Threshold]","[MonsterImmuneToStun1|Seuil d'Étourdissement augmenté]","[MonsterImmuneToStun1|Erhöhte Betäubungsschwelle]","[MonsterImmuneToStun1|スタン閾値増加]","[MonsterImmuneToStun1|기절 한계치 증가]","[MonsterImmuneToStun1|Resistência-limite de Atordoamento Aumentada]","[MonsterImmuneToStun1|Повышенный порог оглушения]","[MonsterImmuneToStun1|Umbral de aturdimiento aumentado]","[MonsterImmuneToStun1|เพิ่มความยากในการติดสถานะ สตัน]","[MonsterImmuneToStun1|暈眩門檻增加]","",[],"","",1
33,4234,"Stun Resistant","Résistant à l'Étourdissement","Widersteht Betäubung","スタン耐性","기절 저항","Resistente a Atordoamento","Сопротивляется оглушению","Resistente al aturdimiento","ต้านทาน สตัน","暈眩抵抗","",[],"","",1
34,4235,"[MonsterStunResilience1|Stun Resistant]","[MonsterStunResilience1|Résistant à l'Étourdissement]","[MonsterStunResilience1|Widersteht Betäubung]","[MonsterStunResilience1|スタン耐性]","[MonsterStunResilience1|기절 저항]","[MonsterStunResilience1|Resistente a Atordoamento]","[MonsterStunResilience1|Сопротивляется оглушению]","[MonsterStunResilience1|Resistente al aturdimiento]","[MonsterStunResilience1|ต้านทาน สตัน]","[MonsterStunResilience1|暈眩抵抗]","",[],"","",1
35,4236,"Fire Resistant","Résistant aux Dégâts de feu","Widersteht Feuer","火耐性","화염 저항","Resistente a Fogo","Сопротивляется огню","Resistente al fuego","ต้านทาน ไฟ","火焰抵抗","",[],"","",1
36,4237,"[MonsterFireResistance1|Fire Resistant]","[MonsterFireResistance1|Résistant aux Dégâts de feu]","[MonsterFireResistance1|Widersteht Feuer]","[MonsterFireResistance1|火耐性]","[MonsterFireResistance1|화염 저항]","[MonsterFireResistance1|Resistente a Fogo]","[MonsterFireResistance1|Сопротивляется огню]","[MonsterFireResistance1|Resistente al fuego]","[MonsterFireResistance1|ต้านทาน ไฟ]","[MonsterFireResistance1|火焰抵抗]","",[],"","",1
37,4238,"Cold Resistant","Résistant aux Dégâts de froid","Widersteht Kälte","冷気耐性","냉기 저항","Resistente a Gelo","Сопротивляется холоду","Resistente al hielo","ต้านทาน น้ำแข็ง","冰冷抵抗","",[],"","",1
38,4239,"[MonsterColdResistance1|Cold Resistant]","[MonsterColdResistance1|Résistant aux Dégâts de froid]","[MonsterColdResistance1|Widersteht Kälte]","[MonsterColdResistance1|冷気耐性]","[MonsterColdResistance1|냉기 저항]","[MonsterColdResistance1|Resistente a Gelo]","[MonsterColdResistance1|Сопротивляется холоду]","[MonsterColdResistance1|Resistente al hielo]","[MonsterColdResistance1|ต้านทาน น้ำแข็ง]","[MonsterColdResistance1|冰冷抵抗]","",[],"","",1
39,4240,"Lightning Resistant","Résistant aux Dégâts de foudre","Widersteht Blitz","雷耐性","번개 저항","Resistente a Raio","Сопротивляется молнии","Resistente al rayo","ต้านทาน สายฟ้า","閃電抵抗","",[],"","",1
40,4241,"[MonsterLightningResistance1|Lightning Resistant]","[MonsterLightningResistance1|Résistant aux Dégâts de foudre]","[MonsterLightningResistance1|Widersteht Blitz]","[MonsterLightningResistance1|雷耐性]","[MonsterLightningResistance1|번개 저항]","[MonsterLightningResistance1|Resistente a Raio]","[MonsterLightningResistance1|Сопротивляется молнии]","[MonsterLightningResistance1|Resistente al rayo]","[MonsterLightningResistance1|ต้านทาน สายฟ้า]","[MonsterLightningResistance1|閃電抵抗]","",[],"","",1
41,4242,"Breaks Armour","Brise l'armure","Zerbricht Rüstung","アーマー破壊","방어구 파괴","Quebra Armadura","Разрушает броню","Rompe la armadura","หักเกราะ","破壞護甲值","",[],"","",1
42,4243,"[MonsterArmourPenetration1|Breaks Armour]","[MonsterArmourPenetration1|Brise l'Armure]","[MonsterArmourPenetration1|Zerbricht Rüstung]","[MonsterArmourPenetration1|アーマー破壊]","[MonsterArmourPenetration1|방어구 파괴]","[MonsterArmourPenetration1|Quebra Armadura]","[MonsterArmourPenetration1|Разрушает броню]","[MonsterArmourPenetration1|Rompe la armadura]","[MonsterArmourPenetration1|หักเกราะ]","[MonsterArmourPenetration1|破甲]","",[],"","",1
43,4244,"Accurate","Précis","Zielgenau","高命中力","정확","Certeiro","Меткий","Preciso","แม่นยำ","命中值增加","",[],"","",1
44,4245,"[MonsterIncreasedAccuracy1|Accurate]","[MonsterIncreasedAccuracy1|Précis]","[MonsterIncreasedAccuracy1|Zielgenau]","[MonsterIncreasedAccuracy1|高命中力]","[MonsterIncreasedAccuracy1|정확]","[MonsterIncreasedAccuracy1|Certeiro]","[MonsterIncreasedAccuracy1|Меткий]","[MonsterIncreasedAccuracy1|Preciso]","[MonsterIncreasedAccuracy1|แม่นยำ]","[MonsterIncreasedAccuracy1|命中]","",[],"","",1
45,4246,"Extra Chaos Damage","Dégâts de chaos supplémentaires","Extra Chaosschaden","追加混沌ダメージ","추가 카오스 피해","Dano de Caos Adicional","Дополнительный урон хаосом","Daño de caos extra","เสริมความเสียหาย เคออส","額外混沌傷害","",[],"","",1
46,4247,"[MonsterDamageGainedAsChaos1|Extra Chaos Damage]","[MonsterDamageGainedAsChaos1|Dégâts de chaos supplémentaires]","[MonsterDamageGainedAsChaos1|Extra Chaosschaden]","[MonsterDamageGainedAsChaos1|追加混沌ダメージ]","[MonsterDamageGainedAsChaos1|추가 카오스 피해]","[MonsterDamageGainedAsChaos1|Dano de Caos Adicional]","[MonsterDamageGainedAsChaos1|Дополнительный урон хаосом]","[MonsterDamageGainedAsChaos1|Daño de caos extra]","[MonsterDamageGainedAsChaos1|เสริมความเสียหาย เคออส]","[MonsterDamageGainedAsChaos1|額外混沌傷害]","",[],"","",1
47,4248,"Regenerates Life","Régénère de la Vie","Regeneriert Leben","ライフ自動回復","생명력 재생","Regenera Vida","Регенерирует здоровье","Regenera vida","ฟื้นฟูพลังชีวิต","生命回復","",[],"","",1
48,4249,"[MonsterLifeRegenerationRatePercentage1|Regenerates Life]","[MonsterLifeRegenerationRatePercentage1|Régénère de la Vie]","[MonsterLifeRegenerationRatePercentage1|Regeneriert Leben]","[MonsterLifeRegenerationRatePercentage1|ライフ自動回復]","[MonsterLifeRegenerationRatePercentage1|생명력 재생]","[MonsterLifeRegenerationRatePercentage1|Regenera Vida]","[MonsterLifeRegenerationRatePercentage1|Регенерирует здоровье]","[MonsterLifeRegenerationRatePercentage1|Regenera vida]","[MonsterLifeRegenerationRatePercentage1|ฟื้นฟูพลังชีวิต]","[MonsterLifeRegenerationRatePercentage1|回復生命]","",[],"","",1
49,4250,"Additional Projectiles","Projectiles supplémentaires","Zusätzliche Projektile","追加の投射物","추가 투사체","Projéteis Adicionais","Дополнительные снаряды","Proyectiles adicionales","ปล่อยโพรเจกไทล์เพิ่มเติม","額外投射物","",[],"","",1
50,4251,"[MonsterAdditionalProjectiles1|Additional Projectiles]","[MonsterAdditionalProjectiles1|Projectiles supplémentaires]","[MonsterAdditionalProjectiles1|Zusätzliche Projektile]","[MonsterAdditionalProjectiles1|追加の投射物]","[MonsterAdditionalProjectiles1|추가 투사체]","[MonsterAdditionalProjectiles1|Projéteis Adicionais]","[MonsterAdditionalProjectiles1|Дополнительные снаряды]","[MonsterAdditionalProjectiles1|Proyectiles adicionales]","[MonsterAdditionalProjectiles1|ปล่อยโพรเจกไทล์เพิ่มเติม]","[MonsterAdditionalProjectiles1|額外投射物]","",[],"","",1
51,4252,"Increased Area of Effect","Zone d'effet augmentée","Vergrößerter Wirkungsbereich","効果範囲増加","효과 범위 증가","Área de Efeito Aumentada","Увеличенная область действия","Área de efecto aumentada","เพิ่มพื้นที่ส่งผล","增加範圍效果","",[],"","",1
52,4253,"[MonsterAreaOfEffect1|Increased Area of Effect]","[MonsterAreaOfEffect1|Zone d'effet augmentée]","[MonsterAreaOfEffect1|Vergrößerter Wirkungsbereich]","[MonsterAreaOfEffect1|効果範囲増加]","[MonsterAreaOfEffect1|효과 범위 증가]","[MonsterAreaOfEffect1|Área de Efeito Aumentada]","[MonsterAreaOfEffect1|Увеличенная область действия]","[MonsterAreaOfEffect1|Área de efecto aumentada]","[MonsterAreaOfEffect1|เพิ่มพื้นที่ส่งผล]","[MonsterAreaOfEffect1|增加效果範圍]","",[],"","",1
53,4254,"All Damage Ignites","Tous les Dégâts Embrasent","Sämtlicher Schaden entzündet","すべてのダメージで発火付与","모든 피해가 점화 유발","Todo o Dano Incendeia","Весь урон поджигает","Todo su daño quema","ความเสียหายทุกชนิดสร้างสถานะ ลุกไหม้","所有傷害都能點燃","",[],"","",1
54,4255,"All Damage [Ignite|Ignites]","Tous les Dégâts [Ignite|Embrasent]","Sämtlicher Schaden [Ignite|entzündet]","すべてのダメージで[Ignite|発火]付与","모든 피해가 [Ignite|점화] 유발","Todo o Dano [Ignite|Incendeia]","Весь урон [Ignite|поджигает]","Todo su daño [Ignite|quema]","ความเสียหายทุกชนิดสร้างสถานะ [Ignite|ลุกไหม้]","所有傷害會造成[Ignite|點燃]","",[],"","",1
55,4256,"All Damage Chills","Tous les Dégâts Frigorifient","Sämtlicher Schaden unterkühlt","すべてのダメージで冷却付与","모든 피해가 냉각 유발","Todo o Dano Resfria","Весь урон охлаждает","Todo su daño escarcha","ความเสียหายทุกชนิดสร้างสถานะ แช่แข็ง","所有傷害都能冰凍","",[],"","",1
56,4257,"All Damage [Chill|Chills]","Tous les Dégâts [Chill|Frigorifient]","Sämtlicher Schaden [Chill|unterkühlt]","すべてのダメージで[Chill|冷却]付与","모든 피해가 [Chill|냉각] 유발","Todo o Dano [Chill|Resfria]","Весь урон [Chill|охлажадет]","Todo su daño [Chill|escarcha]","ความเสียหายทุกชนิดสร้างสถานะ [Chill|แช่แข็ง]","所有傷害會造成[Chill|冰緩]","",[],"","",1
57,4258,"All Damage Shocks","Tous les Dégâts Électrocutent","Sämtlicher Schaden schockt","すべてのダメージで感電付与","모든 피해가 감전 유발","Todo o Dano Eletriza","Весь урон накладывает шок","Todo su daño electrocuta","ความเสียหายทุกชนิดสร้างสถานะ ช็อค","所有傷害都能感電","",[],"","",1
58,4259,"All Damage [Shock|Shocks]","Tous les Dégâts [Shock|Électrocutent]","Sämtlicher Schaden [Shock|schockt]","すべてのダメージで[Shock|感電]付与","모든 피해가 [Shock|감전] 유발","Todo o Dano [Shock|Eletriza]","Весь урон [Shock|накладывает шок]","Todo su daño [Shock|electrocuta]","ความเสียหายทุกชนิดสร้างสถานะ [Shock|ช็อค]","所有傷害會造成[Shock|感電]","",[],"","",1
59,4260,"Trail of Fire","Traînée de feu","Spur aus Feuer","火の足跡","불의 발자취","Rastro de Fogo","След огня","Rastro de fuego","ทิ้ง ไฟ เป็นทาง","火痕",76,[],"","",""
60,4261,"[IgnitedGround|Trail of Fire]","[IgnitedGround|Traînée de feu]","[IgnitedGround|Spur aus Feuer]","[IgnitedGround|火の足跡]","[IgnitedGround|불의 발자취]","[IgnitedGround|Rastro de Fogo]","[IgnitedGround|След огня]","[IgnitedGround|Rastro de fuego]","[IgnitedGround|ทิ้ง ไฟ เป็นทาง]","[IgnitedGround|火痕]",76,[],"","",""
61,4262,"Trail of Ice","Traînée de glace","Spur aus Eis","氷の足跡","얼음의 발자취","Rastro de Gelo","След льда","Rastro de hielo","ทิ้ง น้ำแข็ง เป็นทาง","冰痕",77,[],"","",""
62,4263,"[ChilledGround|Trail of Ice]","[ChilledGround|Traînée de glace]","[ChilledGround|Spur aus Eis]","[ChilledGround|氷の足跡]","[ChilledGround|얼음의 발자취]","[ChilledGround|Rastro de Gelo]","[ChilledGround|След льда]","[ChilledGround|Rastro de hielo]","[ChilledGround|ทิ้ง น้ำแข็ง เป็นทาง]","[ChilledGround|冰痕]",77,[],"","",""
63,4264,"Trail of Lightning","Traînée de foudre","Spur aus Blitzen","雷の足跡","번개의 발자취","Rastro de Raio","След молнии","Rastro de rayo","ทิ้ง สายฟ้า เป็นทาง","電痕",78,[],"","",""
64,4265,"[MonsterShockedGroundTrail1|Trail of Lightning]","[MonsterShockedGroundTrail1|Traînée de foudre]","[MonsterShockedGroundTrail1|Spur aus Blitzen]","[MonsterShockedGroundTrail1|雷の足跡]","[MonsterShockedGroundTrail1|번개의 발자취]","[MonsterShockedGroundTrail1|Rastro de Raio]","[MonsterShockedGroundTrail1|След молнии]","[MonsterShockedGroundTrail1|Rastro de rayo]","[MonsterShockedGroundTrail1|ทิ้ง สายฟ้า เป็นทาง]","[MonsterShockedGroundTrail1|電痕]",78,[],"","",""
65,4266,"Slow Resistant","Résistant aux Ralentissements","Widersteht Verlangsamungen","減速耐性","감속 저항","Resistente a Desaceleração","Сопротивляется замедлению","Resistente a la ralentización","ต้านทานความเชื่องช้า","緩速抵抗","",[],"","",1
66,4267,"[MonsterImmuneToSlow1|Slow Resistant]","[MonsterImmuneToSlow1|Résistant aux Ralentissements]","[MonsterImmuneToSlow1|Widersteht Verlangsamungen]","[MonsterImmuneToSlow1|減速耐性]","[MonsterImmuneToSlow1|감속 저항]","[MonsterImmuneToSlow1|Resistente a Desaceleração]","[MonsterImmuneToSlow1|Сопротивляется замедлению]","[MonsterImmuneToSlow1|Resistente a la ralentización]","[MonsterImmuneToSlow1|ต้านทานความเชื่องช้า]","[MonsterImmuneToSlow1|緩速抵抗]","",[],"","",1
67,4278,"Crit Resistant","Résistant aux Critiques","Widersteht kritischen Treffern","クリティカル耐性","치명타 저항","Resistente a Críticos","Сопротивляется критическим ударам","Resistente a los críticos","ต้านทานคริติคอล","暴擊抵抗","",[],"","",1
68,4279,"[MonsterModReducedCritMulti1|Crit Resistant]","[MonsterModReducedCritMulti1|Résistant aux Critiques]","[MonsterModReducedCritMulti1|Widersteht kritischen Treffern]","[MonsterModReducedCritMulti1|クリティカル耐性]","[MonsterModReducedCritMulti1|치명타 저항]","[MonsterModReducedCritMulti1|Resistente a Críticos]","[MonsterModReducedCritMulti1|Сопротивляется критическим ударам]","[MonsterModReducedCritMulti1|Resistente a los críticos]","[MonsterModReducedCritMulti1|ต้านทานคริติคอล]","[MonsterModReducedCritMulti1|暴擊抵抗]","",[],"","",1
69,4268,"Chaos Resistant","Résistant aux Dégâts de chaos","Widersteht Chaos","混沌耐性","카오스 저항","Resistente a Caos","Сопротивляется хаосу","Resistente al caos","ต้านทานเคออส","混沌抵抗","",[],"","",1
70,4269,"[MonsterChaosResistance1|Chaos Resistant]","[MonsterChaosResistance1|Résistant aux Dégâts de chaos]","[MonsterChaosResistance1|Widersteht Chaos]","[MonsterChaosResistance1|混沌耐性]","[MonsterChaosResistance1|카오스 저항]","[MonsterChaosResistance1|Resistente a Caos]","[MonsterChaosResistance1|Сопротивляется хаосу]","[MonsterChaosResistance1|Resistente al caos]","[MonsterChaosResistance1|ต้านทานเคออส]","[MonsterChaosResistance1|混沌抵抗]","",[],"","",1
71,4282,"Periodic Fire Explosions","Explosions de feu périodiques","Regelmäßige Feuerexplosionen","定期的に火の爆発","주기적인 화염 폭발","Explosões de Fogo Periódicas","Периодические взрывы огня","Explosiones de fuego periódicas","ระเบิดไฟ เป็นระยะ","定期火焰爆炸",69,[],"","",""
72,4283,"Periodic [Fire] Explosions","Explosions de [Fire|Feu] périodiques","Regelmäßige [Fire|Feuer]explosionen","定期的に[Fire|火]の爆発","주기적인 [Fire|화염] 폭발","Explosões de [Fire|Fogo] Periódicas","Периодические взрывы [Fire|огня]","Explosiones [Fire|fuego] periódicas","ระเบิด[Fire|ไฟ] เป็นระยะ","定期[Fire|火焰]爆炸",69,[],"","",""
73,4284,"Periodic Cold Explosions","Explosions de froid périodiques","Regelmäßige Kälteexplosionen","定期的に冷気の爆発","주기적인 냉기 폭발","Explosões de Gelo Periódicas","Периодические взрывы холода","Explosiones de hielo periódicas","ระเบิดน้ำแข็ง เป็นระยะ","定期冰冷爆炸",70,[],"","",""
