"rownum","Id","BackingIcon","ItemIcon"
30,"Tacati","Art/2DArt/UIImages/InGame/SkillPanel/Lineage/LineageTacatiBacking","Art/2DArt/UIImages/InGame/SkillPanel/Lineage/LineageTacatiItem"
31,"AtziriAllure","Art/2DArt/UIImages/InGame/SkillPanel/Lineage/LineageAtziriBacking","Art/2DArt/UIImages/InGame/SkillPanel/Lineage/LineageAtziriItem"
32,"AtziriCall","Art/2DArt/UIImages/InGame/SkillPanel/Lineage/LineageAtziriBacking","Art/2DArt/UIImages/InGame/SkillPanel/Lineage/LineageAtziriItem"
33,"AtziriCommunion","Art/2DArt/UIImages/InGame/SkillPanel/Lineage/AtziriCommunionBacking","Art/2DArt/UIImages/InGame/SkillPanel/Lineage/AtziriCommunionItem"
34,"AtziriImpatience","Art/2DArt/UIImages/InGame/SkillPanel/Lineage/AtziriImpatienceBacking","Art/2DArt/UIImages/InGame/SkillPanel/Lineage/AtziriImpatienceItem"
35,"Daresso","Art/2DArt/UIImages/InGame/SkillPanel/Lineage/LineageDaressoBacking","Art/2DArt/UIImages/InGame/SkillPanel/Lineage/LineageDaressoItem"
36,"Doedre","Art/2DArt/UIImages/InGame/SkillPanel/Lineage/LineageDoedreBacking","Art/2DArt/UIImages/InGame/SkillPanel/Lineage/LineageDoedreItem"
37,"Tecrod","Art/2DArt/UIImages/InGame/SkillPanel/Lineage/LineageTecrodBacking","Art/2DArt/UIImages/InGame/SkillPanel/Lineage/LineageTecrodItem"
38,"UhtredLesser","Art/2DArt/UIImages/InGame/SkillPanel/Lineage/LineageUhtredLesserBacking","Art/2DArt/UIImages/InGame/SkillPanel/Lineage/LineageUhtredLesserItem"
39,"UhtredStandard","Art/2DArt/UIImages/InGame/SkillPanel/Lineage/LineageUhtredStandardBacking","Art/2DArt/UIImages/InGame/SkillPanel/Lineage/LineageUhtredStandardItem"
40,"UhtredGreater","Art/2DArt/UIImages/InGame/SkillPanel/Lineage/LineageUhtredGreaterBacking","Art/2DArt/UIImages/InGame/SkillPanel/Lineage/LineageUhtredGreaterItem"
41,"Kaom","Art/2DArt/UIImages/InGame/SkillPanel/Lineage/LineageKaomBacking","Art/2DArt/UIImages/InGame/SkillPanel/Lineage/LineageKaomItem"
42,"Einhar","Art/2DArt/UIImages/InGame/SkillPanel/Lineage/LineageEinharBacking","Art/2DArt/UIImages/InGame/SkillPanel/Lineage/LineageEinharItem"
43,"Kalisa","Art/2DArt/UIImages/InGame/SkillPanel/Lineage/LineageKalisaChorusBacking","Art/2DArt/UIImages/InGame/SkillPanel/Lineage/LineageKalisaChorusItem"
44,"Xoph","Art/2DArt/UIImages/InGame/SkillPanel/Lineage/LineageXophBacking","Art/2DArt/UIImages/InGame/SkillPanel/Lineage/LineageXophItem"
45,"Uulnetol","Art/2DArt/UIImages/InGame/SkillPanel/Lineage/LineageUulNetolBacking","Art/2DArt/UIImages/InGame/SkillPanel/Lineage/LineageUulNetolItem"
46,"Esh","Art/2DArt/UIImages/InGame/SkillPanel/Lineage/LineageEshBacking","Art/2DArt/UIImages/InGame/SkillPanel/Lineage/LineageEshItem"
47,"Tul","Art/2DArt/UIImages/InGame/SkillPanel/Lineage/LineageTulBacking","Art/2DArt/UIImages/InGame/SkillPanel/Lineage/LineageTulItem"
48,"Tasalio","Art/2DArt/UIImages/InGame/SkillPanel/Lineage/LineageTasalioBacking","Art/2DArt/UIImages/InGame/SkillPanel/Lineage/LineageTasalioItem"
49,"Dreamer","Art/2DArt/UIImages/InGame/SkillPanel/Lineage/LineageDreamerBacking","Art/2DArt/UIImages/InGame/SkillPanel/Lineage/LineageDreamerItem"
50,"Khatal","Art/2DArt/UIImages/InGame/SkillPanel/Lineage/LineageKhatalBacking","Art/2DArt/UIImages/InGame/SkillPanel/Lineage/LineageKhatalItem"
51,"Xibaqua","Art/2DArt/UIImages/InGame/SkillPanel/Lineage/LineageXibaquaBacking","Art/2DArt/UIImages/InGame/SkillPanel/Lineage/LineageXibaquaItem"
52,"Hayoxi","Art/2DArt/UIImages/InGame/SkillPanel/Lineage/HayoxiBacking","Art/2DArt/UIImages/InGame/SkillPanel/Lineage/HayoxiItem"
53,"Zerphi","Art/2DArt/UIImages/InGame/SkillPanel/Lineage/ZerphisLegacyBacking","Art/2DArt/UIImages/InGame/SkillPanel/Lineage/ZerphisLegacyItem"
54,"Helbrym","Art/2DArt/UIImages/InGame/SkillPanel/Lineage/HideofHelbrymBacking","Art/2DArt/UIImages/InGame/SkillPanel/Lineage/HideofHelbrymItem"
55,"Bhatair","Art/2DArt/UIImages/InGame/SkillPanel/Lineage/ShatteredFangBacking","Art/2DArt/UIImages/InGame/SkillPanel/Lineage/ShatteredFangItem"
56,"Morgana","Art/2DArt/UIImages/InGame/SkillPanel/Lineage/MorganasTempestBacking","Art/2DArt/UIImages/InGame/SkillPanel/Lineage/MorganasTempestItem"
