"rownum","Id","MiscAnimated","[i32]_24","[string]_40","string_56","string_64","string_72","string_80","string_88","string_96","bool_104","string_105"
69,"CorruptedBloodHeritageNonPlayer",6787,[],[],"orb_finish","","","","","","",""
70,"CorruptedBloodPlayer",3501,[],[],"chargeEnd_01","","chargeGain_01","chargeLoop_01","","","",""
71,"CorruptedBloodHeritagePlayer",6788,[],[],"orb_finish","","","","","","",""
72,"Stun",430,[],[],"orb_finish","","","","","","",""
73,"Debilitate",4351,[],[],"","","","","","","",""
74,"DebilitateCelestial",4417,[],[],"","","","","","","",""
75,"Maleditction",4352,[],[],"","","","","","","",""
76,"TormentTouched",485,[],[],"orb_finish","","","","","","",""
77,"PietysRage",588,[],[],"orb_finish","","","","","","",""
78,"Bonespire",799,[],[],"orb_finish","","","","","","",""
79,"AtlasAdjudicatorCharges",3715,[],[],"orb_finish","","","","","","",""
80,"SeaWitchScreechOrb",344,[],[],"orb_finish","","","","","","",""
81,"RighteousFireOrb",116,[],[],"orb_finish","","","","","","",""
82,"ViperStrikeOrb",32,[],[],"orb_finish","","","","","","",""
83,"Deathmark",3464,[],[],"","","","","","","",""
84,"WintertideBrandOrb",4176,[],[],"orb_finish","","","","","","",""
85,"HackyInvisibleSymbol",2237,[],[],"","","","","","","",""
86,"CurseEnfeebleNew",4580,"[10,30]","[""stage2"",""stage3""]","fadeout","hexproof","","","","","","stage3"
87,"CursePunishmentNew",4581,"[10,30]","[""stage2"",""stage3""]","fadeout","hexproof","","","","","","stage3"
88,"CurseFlammabilityNew",4582,"[10,30]","[""stage2"",""stage3""]","fadeout","hexproof","","","","","","stage3"
89,"CurseFrostbiteNew",4583,"[10,30]","[""stage2"",""stage3""]","fadeout","hexproof","","","","","","stage3"
90,"CurseConductivityNew",4584,"[10,30]","[""stage2"",""stage3""]","fadeout","hexproof","","","","","","stage3"
91,"CurseElementalWeaknessNew",4585,"[10,30]","[""stage2"",""stage3""]","fadeout","hexproof","","","","","","stage3"
92,"CurseVulnerabilityNew",4586,"[10,30]","[""stage2"",""stage3""]","fadeout","hexproof","","","","","","stage3"
93,"CurseDespairNew",4587,"[10,30]","[""stage2"",""stage3""]","fadeout","hexproof","","","","","","stage3"
94,"SteelOrb",4698,[],[],"end_01","","","","","","",""
95,"HeistConversionOrb",4752,[],[],"","","","","","","",""
96,"SteelOrbTemple",4789,[],[],"end_01","","","","","","",""
97,"FanatacismCharge",4981,[],[],"orb_finish","","","","","","",""
98,"BloodScytheCharge",5261,[],[],"orb_finish","","","","","","",""
99,"UltimatumFrostInfection",5289,[],[],"end_float_01","","","","","","",""
100,"UltimatumPhysBuff",5598,[],[],"orb_finish","","","","","","",""
101,"UltimatumEleBuff",5599,[],[],"orb_finish","","","","","","",""
102,"WintertideBrandCelestialOrb",6054,[],[],"","","","","","","",""
103,"SkadiDebuff",6368,[],[],"","","","","","","",""
104,"ShrineGreed",6503,[],[],"orb_finish","","","","","","",""
105,"TangleTentacleZapped",6529,[],[],"orb_finish","","","","","","",""
106,"CleansingFirePhantasmPossessionOrb",6559,[],[],"ring_finish","","","","","","",""
107,"ChargePowerCrystalStygian",6791,[],[],"orb_finish","","orb_appear","orb_idle","","","",""
108,"ChargeEnduranceCrystalStygian",6792,[],[],"orb_finish","","orb_appear","orb_idle","","","",""
109,"ChargeFrenzyCrystalStygian",6793,[],[],"orb_finish","","orb_appear","orb_idle","","","",""
110,"ChargeEnduranceCrystalDemonic",6825,[],[],"orb_finish","","orb_appear","orb_idle","","","",""
111,"ChargePowerCrystalDemonic",6826,[],[],"orb_finish","","orb_appear","orb_idle","","","",""
112,"ChargeFrenzyCrystalDemonic",6827,[],[],"orb_finish","","orb_appear","orb_idle","","","",""
113,"ChargeEnduranceCrystalGhostflame",6828,[],[],"orb_finish","","orb_appear","orb_idle","","","",""
114,"ChargePowerCrystalGhostflame",6829,[],[],"orb_finish","","orb_appear","orb_idle","","","",""
115,"ChargeFrenzyCrystalGhostflame",6830,[],[],"orb_finish","","orb_appear","orb_idle","","","",""
116,"ChargePowerEldritchVoidBattery",6837,[],[],"orb_finish","","","","","","",""
117,"ChargePowerFrenzyScalingHelmet1",6858,[],[],"orb_finish","","","","","","",""
118,"ChargePowerFrenzyScalingHelmet2",6859,[],[],"orb_finish","","","","","","",""
119,"ChargePowerFrenzyScalingHelmet3",6860,[],[],"orb_finish","","","","","","",""
120,"ChargePowerFrenzyScalingHelmet4",6861,[],[],"orb_finish","","","","","","",""
121,"ChargePowerFrenzyScalingHelmet5",6862,[],[],"orb_finish","","","","","","",""
122,"ChargePowerFrenzyScalingHelmet6",6863,[],[],"orb_finish","","","","","","",""
123,"ChargePowerFrenzyScalingHelmet7",6864,[],[],"orb_finish","","","","","","",""
124,"ShrineBrineKing",6940,[],[],"orb_finish","","","","","","",""
125,"ShrineLunaris",6941,[],[],"orb_finish","","","","","","",""
126,"ShrineSolaris",6942,[],[],"orb_finish","","","","","","",""
127,"ShrineArakaali",6943,[],[],"orb_finish","","","","","","",""
128,"TricksterHeartstopperHit",6944,[],[],"","","","","","","",""
129,"TricksterHeartstopperDot",6945,[],[],"","","","","","","",""
130,"ChargeEndurancePredatorFarruls",6947,[],[],"orb_finish","","orb_appear","orb_idle","","","",""
131,"ChargePowerPredatorFarruls",6948,[],[],"orb_finish","","orb_appear","orb_idle","","","",""
132,"ChargeFrenzyPredatorFarruls",6949,[],[],"orb_finish","","orb_appear","orb_idle","","","",""
133,"MarkSunprismAlchemistsMark",6962,[],[],"","","","","","","",""
134,"StarfallBloodScytheCharge",7048,[],[],"orb_finish","","","","","","",""
135,"ChargeFireChargeHelmet",7068,[],[],"orb_finish","","orb_appear","orb_idle","","","",""
136,"MTXGullHarpyShrineSymbolWing",7507,[],[],"orb_finish","","","","","","",""
137,"MTXGullHarpyShrineSymbolFist",7508,[],[],"orb_finish","","","","","","",""
138,"MTXGullHarpyShrineSymbolPlus",7509,[],[],"orb_finish","","","","","","",""
139,"MTXGullHarpyShrineSymbolResistance",7510,[],[],"orb_finish","","","","","","",""
140,"MTXGullHarpyShrineSymbolMassive",7511,[],[],"orb_finish","","","","","","",""
141,"MTXGullHarpyShrineSymbolShield",7512,[],[],"orb_finish","","","","","","",""
142,"MTXDruidGloveChargeEndurance",7578,[],[],"orb_finish","","","","","","",""
143,"MTXDruidGloveChargePower",7579,[],[],"orb_finish","","","","","","",""
144,"MTXDruidGloveChargeFrenzy",7580,[],[],"orb_finish","","","","","","",""
145,"MTXPlanetaryOrbEndurance",7615,[-1],[],"fade","","startup","idle","","","",""
146,"MTXPlanetaryOrbPower",7616,[-1],[],"fade","","startup","idle","","","",""
147,"MTXPlanetaryOrbFrenzy",7617,[-1],[],"fade","","startup","idle","","","",""
148,"MTXEldritchPlanetaryOrbEndurance",7618,[-1],[],"fade","","startup","idle","","","",""
149,"MTXEldritchPlanetaryOrbPower",7619,[-1],[],"fade","","startup","idle","","","",""
150,"MTXEldritchPlanetaryOrbFrenzy",7620,[-1],[],"fade","","startup","idle","","","",""
151,"MTXVoidEmperorPlanetaryOrbEndurance",7621,[-1],[],"fade","","startup","idle","","","",""
152,"MTXVoidEmperorPlanetaryOrbPower",7622,[-1],[],"fade","","startup","idle","","","",""
153,"MTXVoidEmperorPlanetaryOrbFrenzy",7623,[-1],[],"fade","","startup","idle","","","",""
154,"MTXDarkrayAltFrenzy",7642,[],[],"orb_finish","","orb_appear","orb_idle","","","",""
155,"MTXSkullChargeEndurance",7650,[],[],"orb_finish","","orb_appear","orb_idle","","","",""
156,"MTXSkullChargePower",7651,[],[],"orb_finish","","orb_appear","orb_idle","","","",""
157,"MTXSkullChargeFrenzy",7652,[],[],"orb_finish","","orb_appear","orb_idle","","","",""
158,"VineBloodScytheCharge",7656,[],[],"orb_finish","","","","","","",""
159,"MTXSentinelChargeEndurance",7667,[],[],"submerge","","emerge","idle","","","",""
160,"MTXSentinelChargePower",7668,[],[],"submerge","","emerge","idle","","","",""
161,"MTXSentinelChargeFrenzy",7669,[],[],"submerge","","emerge","idle","","","",""
162,"WolfHowlDebuffMark",8124,[],[],"","","","","","","",""
163,"QueenOfFilthTaintedLife",8450,[],[],"end","","start","idle","","","",""
164,"QueenOfFilthTaintedMana",8451,[],[],"end","","start","idle","","","",""
165,"FreezingMarkOrb",8728,[],[],"orb_finish","","","orb_idle","orb_break","","",""
166,"VoltaicMarkOrb",8729,[],[],"orb_finish","","","orb_idle","orb_break","","",""
167,"MtxZodiacDragonPowerCharge",8689,[],[],"orb_finish","","orb_appear","orb_idle","","","",""
168,"MtxZodiacDragonFrenzyCharge",8690,[],[],"orb_finish","","orb_appear","orb_idle","","","",""
169,"MtxZodiacDragonEnduranceCharge",8691,[],[],"orb_finish","","orb_appear","orb_idle","","","",""
170,"InvocationOrbiterMeleeKill",8843,[],"[""idle_ready_01""]","end_01","","appear_01","idle_charging_01","end_01","consume_01",1,""
171,"InvocationOrbiterElemental",8844,[],"[""idle_ready_01""]","end_01","","appear_01","idle_charging_01","end_01","consume_01",1,""
172,"InvocationOrbiterBarrier",8845,[],"[""idle_ready_01""]","end_01","","appear_01","idle_charging_01","end_01","consume_01",1,""
173,"ChargeEnduranceMastery",3,[],[],"chargeEnd_01","","chargeGain_01_MASTERY","chargeLoop_01_MASTERY","chargeConsume_01","","",""
174,"ChargePowerMastery",4,[],[],"chargeEnd_01","","chargeGain_01_MASTERY","chargeLoop_01_MASTERY","chargeConsume_01","","",""
175,"ChargeFrenzyMastery",5,[],[],"chargeEnd_01","","chargeGain_01_MASTERY","chargeLoop_01_MASTERY","chargeConsume_01","","",""
176,"WitherCharge",8922,[],[],"chargeEnd_01","","chargeGain_01","chargeLoop_01","","","",""
177,"InstilledCold",9027,[],[],"animationPreSet","","","coldCharge","","","",""
178,"InstilledFire",9028,[],[],"animationPreSet","","","fireCharge","","","",""
179,"InstilledLightning",9029,[],[],"animationPreSet","","","lightningCharge","","","",""
180,"InstilledChaos",9030,[],[],"animationPreSet","","","chaosCharge","","","",""
181,"MTXBreachFlameChargePower",9045,[],[],"chargeEnd_01","","chargeGain_01","chargeLoop_01","chargeConsume_01","","",""
182,"MTXBreachFlameChargeEndurance",9046,[],[],"chargeEnd_01","","chargeGain_01","chargeLoop_01","chargeConsume_01","","",""
183,"MTXBreachFlameChargeFrenzy",9047,[],[],"chargeEnd_01","","chargeGain_01","chargeLoop_01","chargeConsume_01","","",""
184,"HuntersMarkOrb",9151,[],[],"orb_finish","","","orb_idle","orb_break","","",""
185,"InstabilityOrb",9044,[],[],"chargeEnd_01","","chargeGain_01","chargeLoop_01","","","",""
186,"VoltaicMarkOrbFaridun",9153,[],[],"","","","","","","",""
187,"NoOrb",1299,[],[],"","","","","","","",""
188,"MTXBreachFaeriesCharge1",9271,[],[],"chargeEnd_01","","emerge_01b","idle_01","chargeConsume_01","","",""
189,"MTXBreachFaeriesCharge2",9272,[],[],"chargeEnd_02","","emerge_02","idle_02","chargeConsume_02","","",""
190,"MTXBreachFaeriesCharge3",9273,[],[],"chargeEnd_03","","emerge_03","idle_03","chargeConsume_03","","",""
191,"MTXPurpleBreachFaeriesCharge1",9268,[],[],"chargeEnd_01","","emerge_01b","idle_01","chargeConsume_01","","",""
192,"MTXPurpleBreachFaeriesCharge2",9269,[],[],"chargeEnd_02","","emerge_02","idle_02","chargeConsume_02","","",""
193,"MTXPurpleBreachFaeriesCharge3",9270,[],[],"chargeEnd_03","","emerge_03","idle_03","chargeConsume_03","","",""
194,"SanguineBoneDespairOrb",9375,"[10,30]","[""stage2"",""stage3""]","fadeout","hexproof","","","","","","stage3"
195,"SanguineCurseTemporalChainsNew",9380,"[10,30]","[""stage2"",""stage3""]","fadeout","hexproof","","","","","","stage3"
196,"SanguineCurseEnfeebleNew",9381,"[10,30]","[""stage2"",""stage3""]","fadeout","hexproof","","","","","","stage3"
197,"SanguineCurseVulnerabilityNew",9382,"[10,30]","[""stage2"",""stage3""]","fadeout","hexproof","","","","","","stage3"
198,"InevitableAgonyCurse",9384,"[10,30]","[""stage2"",""stage3""]","fadeout","hexproof","","","","","","stage3"
199,"CurseChaosWeaknessDelirium",9463,"[10,30]","[""stage2"",""stage3""]","fadeout","hexproof","","","","","","stage3"
200,"MTXRosePowerCharge",9611,[],[],"charge_end_01","","emerge_01","idle_01","","False","",""
201,"MTXRoseEnduranceCharge",9612,[],[],"charge_end_01","","emerge_01","idle_01","","False","",""
202,"MTXRoseFrenzyCharge",9613,[],[],"charge_end_01","","emerge_01","idle_01","","False","",""
203,"MTXMoltenPowerCharge",9635,[],[],"chargeEnd_01","","chargeGain_01","chargeLoop_01","chargeConsume_01","","",""
204,"MTXMoltenEnduranceCharge",9636,[],[],"chargeEnd_01","","chargeGain_01","chargeLoop_01","chargeConsume_01","","",""
205,"MTXMoltenFrenzyCharge",9637,[],[],"chargeEnd_01","","chargeGain_01","chargeLoop_01","chargeConsume_01","","",""
206,"MTXElectroPowerCharge",9638,[],[],"chargeEnd_01","","chargeGain_01","chargeLoop_01","chargeConsume_01","","",""
207,"MTXElectroEnduranceCharge",9639,[],[],"chargeEnd_01","","chargeGain_01","chargeLoop_01","chargeConsume_01","","",""
208,"MTXElectroFrenzyCharge",9640,[],[],"chargeEnd_01","","chargeGain_01","chargeLoop_01","chargeConsume_01","","",""
209,"MTXFissionPowerCharge",9641,[],[],"chargeEnd_01","","chargeGain_01","chargeLoop_01","chargeConsume_01","","",""
210,"MTXFissionEnduranceCharge",9642,[],[],"chargeEnd_01","","chargeGain_01","chargeLoop_01","chargeConsume_01","","",""
211,"MTXFissionFrenzyCharge",9643,[],[],"chargeEnd_01","","chargeGain_01","chargeLoop_01","chargeConsume_01","","",""
212,"OwlFeather",9653,[],[],"feather_End_01","","feather_Start_01","feather_Start_01","feather_Consume_01","","",""
213,"VividWisp",9730,[],[],"orb_finish","","orb_appear","orb_idle","","","",""
214,"RunicTemperingRune",9757,[],[],"RuneShatter","","","","","","",""
215,"ColdInfusion",9814,[],[],"end","","","loop","consume","","",""
216,"FireInfusion",9815,[],[],"end","","","loop","consume","","",""
217,"LightningInfusion",9816,[],[],"end","","","loop","consume","","",""
218,"CursePacifyActive",52,[],[],"fadeout","","fadein","stage3","","","",""
219,"VaalChronoSeerCurseTemporalChainsNew",9954,"[10,30]","[""stage2"",""stage3""]","fadeout","hexproof","","","","","","stage3"
220,"CurseElementalWeaknessAbyss",9988,"[10,30]","[""stage2"",""stage3""]","fadeout","hexproof","","","","","","stage3"
221,"CurseElementalWeaknessDarkshard",9990,"[10,30]","[""stage2"",""stage3""]","fadeout","hexproof","","","","","","stage3"
222,"WolfCrossSlashMarkOrb",10003,[],[],"orb_finish","","","orb_idle","orb_break","","",""
223,"WolfCrossSlashMarkOrbBloodMoon",10197,[],[],"orb_finish","","","orb_idle","orb_break","","",""
