"rownum","BaseItemType","Art"
34,669,"Art/2DArt/UIImages/InGame/RuneSocketFilled"
35,670,"Art/2DArt/UIImages/InGame/RuneSocketFilled"
36,672,"Art/2DArt/UIImages/InGame/RuneSocketFilled"
37,673,"Art/2DArt/UIImages/InGame/RuneSocketFilled"
38,674,"Art/2DArt/UIImages/InGame/RuneSocketFilled"
39,676,"Art/2DArt/UIImages/InGame/RuneSocketFilled"
40,677,"Art/2DArt/UIImages/InGame/RuneSocketFilled"
41,678,"Art/2DArt/UIImages/InGame/RuneSocketFilled"
42,679,"Art/2DArt/UIImages/InGame/RuneSocketFilledSpecial"
43,680,"Art/2DArt/UIImages/InGame/RuneSocketFilledSpecial"
44,681,"Art/2DArt/UIImages/InGame/RuneSocketFilledSpecial"
45,682,"Art/2DArt/UIImages/InGame/RuneSocketFilledSpecial"
46,683,"Art/2DArt/UIImages/InGame/RuneSocketFilledSpecial"
47,684,"Art/2DArt/UIImages/InGame/RuneSocketFilledSpecial"
48,685,"Art/2DArt/UIImages/InGame/RuneSocketFilledSpecial"
49,686,"Art/2DArt/UIImages/InGame/RuneSocketFilledSpecial"
50,687,"Art/2DArt/UIImages/InGame/RuneSocketFilledSpecial"
51,688,"Art/2DArt/UIImages/InGame/RuneSocketFilledSpecial"
52,689,"Art/2DArt/UIImages/InGame/RuneSocketFilledSpecial"
53,690,"Art/2DArt/UIImages/InGame/RuneSocketFilledSpecial"
54,691,"Art/2DArt/UIImages/InGame/RuneSocketFilledSpecial"
55,692,"Art/2DArt/UIImages/InGame/RuneSocketFilledSpecial"
56,693,"Art/2DArt/UIImages/InGame/RuneSocketFilledSpecial"
57,694,"Art/2DArt/UIImages/InGame/RuneSocketFilledSpecial"
58,695,"Art/2DArt/UIImages/InGame/RuneSocketFilledSpecial"
59,696,"Art/2DArt/UIImages/InGame/RuneSocketFilledSpecial"
60,697,"Art/2DArt/UIImages/InGame/RuneSocketFilledSpecial"
61,698,"Art/2DArt/UIImages/InGame/RuneSocketFilledSpecial"
62,699,"Art/2DArt/UIImages/InGame/RuneSocketFilledSpecial"
63,700,"Art/2DArt/UIImages/InGame/RuneSocketFilledSpecial"
64,701,"Art/2DArt/UIImages/InGame/RuneSocketFilledSpecial"
65,702,"Art/2DArt/UIImages/InGame/RuneSocketFilledSpecial"
66,703,"Art/2DArt/UIImages/InGame/RuneSocketFilledSpecial"
67,704,"Art/2DArt/UIImages/InGame/RuneSocketFilled"
68,740,"Art/2DArt/UIImages/InGame/SoulCoresSocketFilled"
69,741,"Art/2DArt/UIImages/InGame/SoulCoresSocketFilled"
70,742,"Art/2DArt/UIImages/InGame/SoulCoresSocketFilled"
71,743,"Art/2DArt/UIImages/InGame/SoulCoresSocketFilled"
72,744,"Art/2DArt/UIImages/InGame/SoulCoresSocketFilled"
73,745,"Art/2DArt/UIImages/InGame/SoulCoresSocketFilled"
74,746,"Art/2DArt/UIImages/InGame/SoulCoresSocketFilled"
75,747,"Art/2DArt/UIImages/InGame/SoulCoresSocketFilled"
76,748,"Art/2DArt/UIImages/InGame/SoulCoresSocketFilled"
77,749,"Art/2DArt/UIImages/InGame/SoulCoresSocketFilled"
78,750,"Art/2DArt/UIImages/InGame/SoulCoresSocketFilled"
79,751,"Art/2DArt/UIImages/InGame/SoulCoresSocketFilled"
80,752,"Art/2DArt/UIImages/InGame/SoulCoresSocketFilled"
81,753,"Art/2DArt/UIImages/InGame/SoulCoresSocketFilled"
82,754,"Art/2DArt/UIImages/InGame/SoulCoresSocketFilled"
83,725,"Art/2DArt/UIImages/InGame/SoulCoresSocketFilledSpecial"
84,726,"Art/2DArt/UIImages/InGame/SoulCoresSocketFilledSpecial"
85,727,"Art/2DArt/UIImages/InGame/SoulCoresSocketFilledSpecial"
86,728,"Art/2DArt/UIImages/InGame/SoulCoresSocketFilledSpecial"
87,729,"Art/2DArt/UIImages/InGame/SoulCoresSocketFilledSpecial"
88,730,"Art/2DArt/UIImages/InGame/SoulCoresSocketFilledSpecial"
89,731,"Art/2DArt/UIImages/InGame/SoulCoresSocketFilledSpecial"
90,732,"Art/2DArt/UIImages/InGame/SoulCoresSocketFilledSpecial"
91,733,"Art/2DArt/UIImages/InGame/SoulCoresSocketFilledSpecial"
92,734,"Art/2DArt/UIImages/InGame/SoulCoresSocketFilledSpecial"
93,735,"Art/2DArt/UIImages/InGame/SoulCoresSocketFilledSpecial"
94,736,"Art/2DArt/UIImages/InGame/SoulCoresSocketFilledSpecial"
95,737,"Art/2DArt/UIImages/InGame/SoulCoresSocketFilledSpecial"
96,738,"Art/2DArt/UIImages/InGame/SoulCoresSocketFilledSpecial"
97,739,"Art/2DArt/UIImages/InGame/SoulCoresSocketFilledSpecial"
98,755,"Art/2DArt/UIImages/InGame/AzmeriSocketFilledPrimal"
99,756,"Art/2DArt/UIImages/InGame/AzmeriSocketFilledPrimal"
100,757,"Art/2DArt/UIImages/InGame/AzmeriSocketFilledPrimal"
101,758,"Art/2DArt/UIImages/InGame/AzmeriSocketFilledVivid"
102,759,"Art/2DArt/UIImages/InGame/AzmeriSocketFilledVivid"
103,760,"Art/2DArt/UIImages/InGame/AzmeriSocketFilledVivid"
104,761,"Art/2DArt/UIImages/InGame/AzmeriSocketFilledWild"
105,762,"Art/2DArt/UIImages/InGame/AzmeriSocketFilledWild"
106,763,"Art/2DArt/UIImages/InGame/AzmeriSocketFilledWild"
107,764,"Art/2DArt/UIImages/InGame/AzmeriSocketFilledSacred"
108,765,"Art/2DArt/UIImages/InGame/AzmeriSocketFilledSacred"
109,705,"Art/2DArt/UIImages/InGame/AzmeriSocketFilledVividSpecial"
110,706,"Art/2DArt/UIImages/InGame/AzmeriSocketFilledPrimalSpecial"
111,707,"Art/2DArt/UIImages/InGame/AzmeriSocketFilledWildSpecial"
112,708,"Art/2DArt/UIImages/InGame/AzmeriSocketFilledPrimalSpecial"
113,709,"Art/2DArt/UIImages/InGame/AzmeriSocketFilledVividSpecial"
114,710,"Art/2DArt/UIImages/InGame/AzmeriSocketFilledVividSpecial"
115,711,"Art/2DArt/UIImages/InGame/AzmeriSocketFilledPrimalSpecial"
116,719,"Art/2DArt/UIImages/InGame/RitualSocketFilled"
117,720,"Art/2DArt/UIImages/InGame/RitualSocketFilled"
118,721,"Art/2DArt/UIImages/InGame/RitualSocketFilled"
119,766,"Art/2DArt/UIImages/InGame/AbyssSocketFilledAmanamu"
120,767,"Art/2DArt/UIImages/InGame/AbyssSocketFilledTecrod"
121,768,"Art/2DArt/UIImages/InGame/AbyssSocketFilledKurgal"
122,769,"Art/2DArt/UIImages/InGame/AbyssSocketFilledUlaman"
123,770,"Art/2DArt/UIImages/InGame/SoulCoresSocketFilledSpecial"
124,771,"Art/2DArt/UIImages/InGame/SoulCoresSocketFilledSpecial"
125,772,"Art/2DArt/UIImages/InGame/SoulCoresSocketFilledSpecial"
126,773,"Art/2DArt/UIImages/InGame/SoulCoresSocketFilledSpecial"
127,5080,"Art/2DArt/UIImages/InGame/WardicRuneSocketFilled"
128,5081,"Art/2DArt/UIImages/InGame/WardicRuneSocketFilled"
129,5082,"Art/2DArt/UIImages/InGame/WardicRuneSocketFilled"
130,5083,"Art/2DArt/UIImages/InGame/WardicRuneSocketFilled"
131,5084,"Art/2DArt/UIImages/InGame/WardicRuneSocketFilled"
132,5085,"Art/2DArt/UIImages/InGame/WardicRuneSocketFilled"
133,5086,"Art/2DArt/UIImages/InGame/WardicRuneSocketFilled"
134,5087,"Art/2DArt/UIImages/InGame/WardicRuneSocketFilled"
135,5088,"Art/2DArt/UIImages/InGame/WardicRuneSocketFilled"
136,5089,"Art/2DArt/UIImages/InGame/WardicRuneSocketFilled"
137,654,"Art/2DArt/UIImages/InGame/EndgameRuneSocketFilled"
138,655,"Art/2DArt/UIImages/InGame/EndgameRuneSocketFilled"
139,656,"Art/2DArt/UIImages/InGame/EndgameRuneSocketFilled"
140,657,"Art/2DArt/UIImages/InGame/EndgameRuneSocketFilled"
141,658,"Art/2DArt/UIImages/InGame/EndgameRuneSocketFilled"
142,659,"Art/2DArt/UIImages/InGame/EndgameRuneSocketFilled"
143,660,"Art/2DArt/UIImages/InGame/EndgameRuneSocketFilled"
144,661,"Art/2DArt/UIImages/InGame/EndgameRuneSocketFilled"
145,662,"Art/2DArt/UIImages/InGame/EndgameRuneSocketFilled"
146,663,"Art/2DArt/UIImages/InGame/EndgameRuneSocketFilled"
147,667,"Art/2DArt/UIImages/InGame/EndgameRuneSocketFilled"
148,671,"Art/2DArt/UIImages/InGame/EndgameRuneSocketFilled"
149,675,"Art/2DArt/UIImages/InGame/EndgameRuneSocketFilled"
150,5101,"Art/2DArt/UIImages/InGame/RuneSocketFilledSpecial"
151,5102,"Art/2DArt/UIImages/InGame/RuneSocketFilledSpecial"
152,5103,"Art/2DArt/UIImages/InGame/RuneSocketFilledSpecial"
153,5104,"Art/2DArt/UIImages/InGame/RuneSocketFilledSpecial"
154,5105,"Art/2DArt/UIImages/InGame/RuneSocketFilledSpecial"
155,5106,"Art/2DArt/UIImages/InGame/RuneSocketFilledSpecial"
156,5107,"Art/2DArt/UIImages/InGame/RuneSocketFilledSpecial"
157,5108,"Art/2DArt/UIImages/InGame/RuneSocketFilledSpecial"
158,5109,"Art/2DArt/UIImages/InGame/RuneSocketFilledSpecial"
159,5110,"Art/2DArt/UIImages/InGame/RuneSocketFilledSpecial"
160,5111,"Art/2DArt/UIImages/InGame/RuneSocketFilledSpecial"
161,5112,"Art/2DArt/UIImages/InGame/RuneSocketFilledSpecial"
162,5113,"Art/2DArt/UIImages/InGame/RuneSocketFilledSpecial"
163,5114,"Art/2DArt/UIImages/InGame/RuneSocketFilledSpecial"
164,5115,"Art/2DArt/UIImages/InGame/RuneSocketFilledSpecial"
165,5116,"Art/2DArt/UIImages/InGame/RuneSocketFilledSpecial"
166,5117,"Art/2DArt/UIImages/InGame/RuneSocketFilledSpecial"
167,5118,"Art/2DArt/UIImages/InGame/RuneSocketFilledSpecial"
168,5119,"Art/2DArt/UIImages/InGame/RuneSocketFilledSpecial"
169,5120,"Art/2DArt/UIImages/InGame/RuneSocketFilledSpecial"
170,5121,"Art/2DArt/UIImages/InGame/RuneSocketFilledSpecial"
171,5122,"Art/2DArt/UIImages/InGame/RuneSocketFilledSpecial"
172,5123,"Art/2DArt/UIImages/InGame/RuneSocketFilledSpecial"
173,5124,"Art/2DArt/UIImages/InGame/RuneSocketFilledSpecial"
174,5097,"Art/2DArt/UIImages/InGame/RuneSocketFilledFire"
175,5098,"Art/2DArt/UIImages/InGame/RuneSocketFilledCold"
176,5099,"Art/2DArt/UIImages/InGame/RuneSocketFilledLightning"
177,5100,"Art/2DArt/UIImages/InGame/RuneSocketFilledChaos"
178,782,"Art/2DArt/UIImages/InGame/DeliriumSocketFilled"
179,5145,"Art/2DArt/UIImages/InGame/UniqueWarpedRuneSocketFilledSpecial"
180,5146,"Art/2DArt/UIImages/InGame/UniqueWarpedRuneSocketFilledSpecial"
181,5147,"Art/2DArt/UIImages/InGame/UniqueWarpedRuneSocketFilledSpecial"
182,5148,"Art/2DArt/UIImages/InGame/UniqueWarpedRuneSocketFilledSpecial"
183,5149,"Art/2DArt/UIImages/InGame/UniqueWarpedRuneSocketFilledSpecial"
184,5150,"Art/2DArt/UIImages/InGame/UniqueWarpedRuneSocketFilledSpecial"
185,5151,"Art/2DArt/UIImages/InGame/UniqueWarpedRuneSocketFilledSpecial"
186,5152,"Art/2DArt/UIImages/InGame/UniqueWarpedRuneSocketFilledSpecial"
187,5153,"Art/2DArt/UIImages/InGame/UniqueWarpedRuneSocketFilledSpecial"
188,5154,"Art/2DArt/UIImages/InGame/UniqueWarpedRuneSocketFilledSpecial"
189,5155,"Art/2DArt/UIImages/InGame/UniqueWarpedRuneSocketFilledSpecial"
190,5156,"Art/2DArt/UIImages/InGame/UniqueWarpedRuneSocketFilledSpecial"
191,5157,"Art/2DArt/UIImages/InGame/UniqueWarpedRuneSocketFilledSpecial"
192,5158,"Art/2DArt/UIImages/InGame/UniqueWarpedRuneSocketFilledSpecial"
193,5159,"Art/2DArt/UIImages/InGame/UniqueWarpedRuneSocketFilledSpecial"
194,5160,"Art/2DArt/UIImages/InGame/UniqueWarpedRuneSocketFilledSpecial"
195,5161,"Art/2DArt/UIImages/InGame/UniqueWarpedRuneSocketFilledSpecial"
196,5162,"Art/2DArt/UIImages/InGame/UniqueWarpedRuneSocketFilledSpecial"
197,5163,"Art/2DArt/UIImages/InGame/UniqueWarpedRuneSocketFilledSpecial"
198,5164,"Art/2DArt/UIImages/InGame/UniqueWarpedRuneSocketFilledSpecial"
199,5165,"Art/2DArt/UIImages/InGame/UniqueWarpedRuneSocketFilledSpecial"
200,5166,"Art/2DArt/UIImages/InGame/UniqueWarpedRuneSocketFilledSpecial"
201,5167,"Art/2DArt/UIImages/InGame/UniqueWarpedRuneSocketFilledSpecial"
202,5168,"Art/2DArt/UIImages/InGame/UniqueWarpedRuneSocketFilledSpecial"
203,5169,"Art/2DArt/UIImages/InGame/UniqueWarpedRuneSocketFilledSpecial"
204,5170,"Art/2DArt/UIImages/InGame/UniqueWarpedRuneSocketFilledSpecial"
205,5171,"Art/2DArt/UIImages/InGame/UniqueWarpedRuneSocketFilledSpecial"
206,5172,"Art/2DArt/UIImages/InGame/UniqueWarpedRuneSocketFilledSpecial"
207,5173,"Art/2DArt/UIImages/InGame/UniqueWarpedRuneSocketFilledSpecial"
208,5174,"Art/2DArt/UIImages/InGame/UniqueWarpedRuneSocketFilledSpecial"
209,5175,"Art/2DArt/UIImages/InGame/UniqueWarpedRuneSocketFilledSpecial"
210,5176,"Art/2DArt/UIImages/InGame/UniqueWarpedRuneSocketFilledSpecial"
211,5177,"Art/2DArt/UIImages/InGame/UniqueWarpedRuneSocketFilledSpecial"
212,5178,"Art/2DArt/UIImages/InGame/UniqueWarpedRuneSocketFilledSpecial"
213,5179,"Art/2DArt/UIImages/InGame/UniqueWarpedRuneSocketFilledSpecial"
214,5180,"Art/2DArt/UIImages/InGame/UniqueWarpedRuneSocketFilledSpecial"
215,5181,"Art/2DArt/UIImages/InGame/UniqueWarpedRuneSocketFilledSpecial"
216,5182,"Art/2DArt/UIImages/InGame/UniqueWarpedRuneSocketFilledSpecial"
217,5183,"Art/2DArt/UIImages/InGame/UniqueWarpedRuneSocketFilledSpecial"
218,5184,"Art/2DArt/UIImages/InGame/UniqueWarpedRuneSocketFilledSpecial"
219,5185,"Art/2DArt/UIImages/InGame/UniqueWarpedRuneSocketFilledSpecial"
220,5186,"Art/2DArt/UIImages/InGame/UniqueWarpedRuneSocketFilledSpecial"
221,5187,"Art/2DArt/UIImages/InGame/UniqueWarpedRuneSocketFilledSpecial"
222,5188,"Art/2DArt/UIImages/InGame/UniqueWarpedRuneSocketFilledSpecial"
223,5189,"Art/2DArt/UIImages/InGame/UniqueWarpedRuneSocketFilledSpecial"
224,5190,"Art/2DArt/UIImages/InGame/UniqueWarpedRuneSocketFilledSpecial"
225,5191,"Art/2DArt/UIImages/InGame/UniqueWarpedRuneSocketFilledSpecial"
226,5192,"Art/2DArt/UIImages/InGame/UniqueWarpedRuneSocketFilledSpecial"
227,5193,"Art/2DArt/UIImages/InGame/UniqueWarpedRuneSocketFilledSpecial"
228,5194,"Art/2DArt/UIImages/InGame/UniqueWarpedRuneSocketFilledSpecial"
229,5195,"Art/2DArt/UIImages/InGame/UniqueWarpedRuneSocketFilledSpecial"
230,5196,"Art/2DArt/UIImages/InGame/UniqueWarpedRuneSocketFilledSpecial"
231,5197,"Art/2DArt/UIImages/InGame/UniqueWarpedRuneSocketFilledSpecial"
232,5198,"Art/2DArt/UIImages/InGame/UniqueWarpedRuneSocketFilledSpecial"
233,5199,"Art/2DArt/UIImages/InGame/UniqueWarpedRuneSocketFilledSpecial"
234,5200,"Art/2DArt/UIImages/InGame/UniqueWarpedRuneSocketFilledSpecial"
235,5201,"Art/2DArt/UIImages/InGame/UniqueWarpedRuneSocketFilledSpecial"
236,5202,"Art/2DArt/UIImages/InGame/UniqueWarpedRuneSocketFilledSpecial"
237,5203,"Art/2DArt/UIImages/InGame/UniqueWarpedRuneSocketFilledSpecial"
238,5204,"Art/2DArt/UIImages/InGame/UniqueWarpedRuneSocketFilledSpecial"
239,5205,"Art/2DArt/UIImages/InGame/UniqueWarpedRuneSocketFilledSpecial"
240,5206,"Art/2DArt/UIImages/InGame/UniqueWarpedRuneSocketFilledSpecial"
241,5207,"Art/2DArt/UIImages/InGame/UniqueWarpedRuneSocketFilledSpecial"
242,5208,"Art/2DArt/UIImages/InGame/UniqueWarpedRuneSocketFilledSpecial"
243,5139,"Art/2DArt/UIImages/InGame/RuneSocketFilledTime"
244,5140,"Art/2DArt/UIImages/InGame/RuneSocketFilledDex"
245,5141,"Art/2DArt/UIImages/InGame/RuneSocketFilledPhysical"
246,5142,"Art/2DArt/UIImages/InGame/RuneSocketFilledFire"
247,5143,"Art/2DArt/UIImages/InGame/RuneSocketFilledSoul"
248,5144,"Art/2DArt/UIImages/InGame/RuneSocketFilledChaos"
249,5136,"Art/2DArt/UIImages/InGame/WarpedRuneSocketFilledSpecial"
250,5137,"Art/2DArt/UIImages/InGame/WarpedRuneSocketFilledSpecial"
251,5138,"Art/2DArt/UIImages/InGame/WarpedRuneSocketFilledSpecial"
