"rownum","Id","NPC","NPCAudio","DialogueCondition","i32_56","i32_60","Script"
85,"Madox_OpenShop",[787],19494,[2],0,1,""
86,"Hilda_OpenShop",[771],19631,[2],0,1,""
87,"Hilda_GambleNormal",[771],19576,[9],0,1,""
88,"Hilda_GambleMagic",[771],19557,[10],0,1,""
89,"Hilda_GambleRare",[771],19599,[11],0,1,""
90,"Hilda_GambleUnique",[771],19615,[12],0,1,""
91,"Hilda_Buyback",[771],19509,[30],0,1,""
92,"Hilda_SellGeneric",[771],19647,[1],0,1,""
93,"Zarka_OpenShop","[755,331,332]",19736,[2],0,1,""
94,"Zarka_SellGeneric","[755,331,332]",19712,[1],0,1,""
95,"Zarka_BuyGeneric","[755,331,332]",19704,[0],0,1,""
96,"Zarka_BuyFlaskLife","[755,331,332]",19720,[14],0,10,""
97,"Zarka_BuyFlaskMana","[755,331,332]",19728,[15],0,10,""
98,"Ruhaki_OpenShop",[798],19785,[2],0,1,""
99,"Ruhaki_BuyArmour",[798],19751,[8],0,1,""
100,"Ruhaki_BuyWeapon",[798],19769,[7],0,1,""
101,"Ruhaki_SellGeneric",[798],19793,[1],0,1,""
102,"Torbik_BuyItem",[795],19801,[0],0,1,""
103,"Torbik_SellItem",[795],19821,[1],0,1,""
104,"Torbik_OpenShop",[795],19815,[2],0,1,""
105,"Zolin_OpenShop","[621,627]",19893,[2],0,1,""
106,"Zolin_SellGeneric","[621,627]",19905,[1],0,1,""
107,"Zolin_BuyGeneric","[621,627]",19832,[0],0,1,""
108,"Zolin_FlaskLife","[621,627]",19868,[14],0,10,""
109,"Zolin_FlaskMana","[621,627]",19881,[15],0,10,""
110,"Risu_OpenShop","[359,360,361,754]",13803,[2],0,1,""
111,"Risu_GambleNormal","[359,360,361,754]",13764,[9],0,1,""
112,"Risu_GambleMagic","[359,360,361,754]",13752,[10],0,1,""
113,"Risu_GambleRare","[359,360,361,754]",13779,[11],0,1,""
114,"Risu_GambleUnique","[359,360,361,754]",13791,[12],0,1,""
115,"Risu_SellItem","[359,360,361,754]",13818,[1],0,1,""
116,"Zelina_Buy","[622,626]",19928,[0],0,1,""
117,"Zelina_Sell","[622,626]",19964,[1],0,1,""
118,"Zelina_OpenShop","[622,626]",19952,[2],0,1,""
119,"Doryani_OpenShop","[521,768,620,412,416,415]",20118,[2],0,1,""
120,"Doryani_SellGeneric","[521,768,620,412,416,415]",20134,[1],0,1,""
121,"Doryani_BuyGeneric","[521,768,620,412,416,415]",20039,[0],0,1,""
122,"Doryani_BuyBelt","[521,768,620,412,416,415]",20055,[33],0,5,""
123,"Doryani_BuyRing","[521,768,620,412,416,415]",20055,[34],0,5,""
124,"Doryani_BuyAmulet","[521,768,620,412,416,415]",20055,[35],0,5,""
125,"Doryani_BuyStaff","[521,768,620,412,416,415]",20028,[32],0,5,""
126,"Doryani_BuyWand","[521,768,620,412,416,415]",20028,[31],0,5,""
127,"Doryani_BuyWaystone","[521,768,620,412,416,415]",20071,[36],0,5,""
128,"Doryani_SellWaystone","[521,768,620,412,416,415]",20150,[37],0,5,""
129,"Ange_AsyncListItem","[548,549,623,959]",19055,[38],0,1,""
130,"Ange_AsyncPriceLower","[548,549,623,959]",19045,[39],0,1,""
131,"Ange_AsyncPriceHigher","[548,549,623,959]",19035,[40],0,1,""
132,"Ange_AsyncItemSoldInZone","[548,549,623,959]",19089,[41],0,1,""
133,"Ange_AsyncItemSoldInOutOfZone","[548,549,623,959]",19089,[43],0,1,""
134,"Ange_AsyncItemBoughtAway","[548,549,623,959]",19065,[44],0,1,""
135,"Ange_CEPlaceOrder","[548,549,623,959]",19020,[45],0,1,""
136,"Ange_CEReceiveOrder","[548,549,623,959]",19027,[46],0,1,""
137,"ManInBox_AsyncListItem",[881],20361,[38],0,1,""
138,"ManInBox_AsyncPriceLower",[881],20411,[39],0,1,""
139,"ManInBox_AsyncPriceHigher",[881],20385,[40],0,1,""
140,"ManInBox_AsyncItemSoldInZone",[881],20438,[41],0,1,""
141,"ManInBox_OpenAwayShop",[881],20522,[42],0,1,""
142,"ManInBox_AsyncItemSoldInOutOfZone",[881],20474,[43],0,1,""
143,"ManInBox_AsyncItemBoughtAway",[881],20277,[44],0,1,""
144,"ManInBox_CEPlaceOrder",[881],20310,[45],0,1,""
145,"ManInBox_CEReceiveOrder",[881],20331,[46],0,1,""
146,"DjinnTrader_AsyncListItem",[938],21999,[38],0,1,""
147,"DjinnTrader_AsyncPriceLower",[938],22025,[39],0,1,""
148,"DjinnTrader_AsyncPriceHigher",[938],22050,[40],0,1,""
149,"DjinnTrader_AsyncItemSoldInZone",[938],22074,[41],0,1,""
150,"DjinnTrader_AsyncItemSoldOutOfZone",[938],22095,[43],0,1,""
151,"DjinnTrader_AsyncItemBought",[938],22118,[44],0,1,""
152,"DjinnTrader_CEPlaceOrder",[938],22144,[45],0,1,""
153,"DjinnTrader_CEReceiveOrder",[938],22169,[46],0,1,""
154,"DjinnTrader_OpenAwayShop",[938],22193,[42],0,1,""
155,"FleabagTrader_AsyncListitem",[956],23661,[38],0,1,""
156,"FleabagTrader_AsyncPriceLower",[956],23673,[39],0,1,""
157,"FleabagTrader_AsyncPriceHigher",[956],23685,[40],0,1,""
158,"FleabagTrader_AsyncItemSoldInZone",[956],23701,[41],0,1,""
159,"FleabagTrader_AsyncItemSoldOutOfZone",[956],23716,[43],0,1,""
160,"FleabagTrader_AsyncItemBought",[956],23727,[44],0,1,""
161,"FleabagTrader_CEPlaceOrder",[956],23758,[45],0,1,""
162,"FleabagTrader_CEReceiveOrder",[956],23770,[46],0,1,""
163,"FleabagTrader_OpenAwayShop",[956],23746,[42],0,1,""
164,"VampireServant_AsyncListItem",[947],23981,[38],0,1,""
165,"VampireServant_AsyncPriceLower",[947],23918,[39],0,1,""
166,"VampireServant_AsyncPriceHigher",[947],23905,[40],0,1,""
167,"VampireServant_AsyncItemSoldInZone",[947],24029,[41],0,1,""
168,"VampireServant_AsyncItemSoldOutOfZone",[947],24045,[43],0,1,""
169,"VampireServant_AsyncItemBought",[947],24008,[44],0,1,""
170,"VampireServant_CEPlaceOrder",[947],23929,[45],0,1,""
171,"VampireServant_CEReceiveOrder",[947],23945,[46],0,1,""
172,"VampireServant_OpenAwayShop",[947],24019,[42],0,1,""
173,"FarrowVendor_OpenShop","[201,198,199]",24642,[2],0,1,""
174,"FarrowVendor_PurchaseNormal","[201,198,199]",24661,[9],0,1,""
175,"FarrowVendor_PurchaseMagic","[201,198,199]",24681,[10],0,1,""
176,"FarrowVendor_PurchaseRare","[201,198,199]",24701,[11],0,1,""
177,"FarrowVendor_PurchaseUnique","[201,198,199]",24721,[12],0,1,""
178,"FarrowVendor_SellItem","[201,198,199]",24777,[1],0,1,""
179,"FarrowVendor_ExitNoPurchase","[201,198,199]",24741,[4],0,1,""
180,"FarrowVendor_BuyGeneric","[201,198,199]",24757,[0],0,1,""
181,"FarrowVendor_Buyback","[201,198,199]",24812,[30],0,1,""
182,"DavinBossHead_Listing",[977],24914,[38],0,1,"QueueAnimation( idle_generic_01 );"
183,"DavinBossHead_AdjustLower",[977],24935,[39],0,1,"QueueAnimation( idle_generic_02 );"
184,"DavinBossHead_AdjustHigher",[977],24957,[40],0,1,"QueueAnimation( idle_generic_01 );"
185,"DavinBossHead_ItemSoldInZone",[977],24976,[41],0,1,"QueueAnimation( idle_generic_01 );"
186,"DavinBossHead_ItemSoldOutOfZone",[977],24996,[43],0,1,"QueueAnimation( idle_generic_01 );"
187,"DavinBossHead_ItemBought",[977],25075,[44],0,1,"QueueAnimation( idle_generic_01 );"
188,"DavinBossHead_CurrencyPlaceOrder",[977],25014,[45],0,1,"QueueAnimation( idle_generic_01 );"
189,"DavinBossHead_CurrencyReceived",[977],25032,[46],0,1,"QueueAnimation( idle_generic_01 );"
190,"DavinBossHead_OpenAwayShop",[977],25099,[42],0,1,"QueueAnimation( idle_relaxed_04 );"
