"rownum","Id","Normal_EPKFile","Normal_Closed_AOFile","Normal_Open_AOFile","Magic_EPKFile","Unique_EPKFile","Rare_EPKFile","Magic_Closed_AOFile","Unique_Closed_AOFile","Rare_Closed_AOFile","Magic_Open_AOFile","Unique_Open_AOFile","Rare_Open_AOFile","Normal_Open_EPKFile","Magic_Open_EPKFile","Rare_Open_EPKFile","Unique_Open_EPKFile"
17,"IncursionStormRoom","Metadata/Particles/enviro_effects/chests/incursion_temple/stormlightning_particles.epk","","Metadata/Effects/misc/Incursion_VaalChest_attachments/OpenStorms.ao","","","","","","","","","","","","",""
18,"IncursionMinionRoom","Metadata/Particles/enviro_effects/chests/incursion_temple/spiderbots_particles.epk","","Metadata/Effects/misc/Incursion_VaalChest_attachments/OpenLightnin.ao","","","","","","","","","","","","",""
19,"IncursionWallTier1","Metadata/Particles/enviro_effects/chests/incursion_temple/loot1.epk","Metadata/Effects/misc/Incursion_VaalChest_attachments/loot1wall.ao","Metadata/Effects/misc/Incursion_VaalChest_attachments/OpenGoldwall.ao","","","","","","","","","","","","",""
20,"IncursionWallTier2","Metadata/Particles/enviro_effects/chests/incursion_temple/loot2.epk","Metadata/Effects/misc/Incursion_VaalChest_attachments/loot2wall.ao","Metadata/Effects/misc/Incursion_VaalChest_attachments/OpenGoldwall.ao","","","","","","","","","","","","",""
21,"IncursionWallTier3","Metadata/Particles/enviro_effects/chests/incursion_temple/loot3.epk","Metadata/Effects/misc/Incursion_VaalChest_attachments/loot3wall.ao","Metadata/Effects/misc/Incursion_VaalChest_attachments/OpenGoldwall.ao","","","","","","","","","","","","",""
22,"IncursionWallTier4","Metadata/Particles/enviro_effects/chests/incursion_temple/loot4.epk","Metadata/Effects/misc/Incursion_VaalChest_attachments/loot4wall.ao","Metadata/Effects/misc/Incursion_VaalChest_attachments/OpenGoldwall.ao","","","","","","","","","","","","",""
23,"DelveFossil1","Metadata/Chests/DelveChests/FossilChestRare1.epk","","","","","","","","","","","","","","",""
24,"DelveFossil2","Metadata/Chests/DelveChests/FossilChestRare2.epk","","","","","","","","","","","","","","",""
25,"DelveFossil3","Metadata/Chests/DelveChests/FossilChestRare3.epk","","","","","","","","","","","","","","",""
26,"DelveChestTier0","","Metadata/Effects/misc/Incursion_VaalChest_attachments/loot1_simple.ao","Metadata/Effects/misc/Incursion_VaalChest_attachments/OpenGold.ao","","","","","","","","","","","","",""
27,"SynthesisSarcophagus","","","Metadata/Effects/Spells/monsters_effects/labyrinth/summon_skeletons/death_smoke/death_smoke.ao","","","","","","","","","","","","",""
28,"SynthesisChest","Metadata/Effects/Spells/monsters_effects/League_Synthesis/chests/chest_idle.epk","","","","","","","","","","","","","","",""
29,"BlightChestAbyss","Metadata/Chests/BlightChests/BlightChestAbyss.epk","","","","","","","","","","","","","","",""
30,"BlightChestArmour","Metadata/Chests/BlightChests/BlightChestArmour.epk","","","","","","","","","","","","","","",""
31,"BlightChestBestiary","Metadata/Chests/BlightChests/BlightChestBestiary.epk","","","","","","","","","","","","","","",""
32,"BlightChestBreach","Metadata/Chests/BlightChests/BlightChestBreach.epk","","","","","","","","","","","","","","",""
33,"BlightChestCurrency","Metadata/Chests/BlightChests/BlightChestCurrency.epk","","","","","","","","","","","","","","",""
34,"BlightChestDivination","Metadata/Chests/BlightChests/BlightChestDivination.epk","","","","","","","","","","","","","","",""
35,"BlightChestEssences","Metadata/Chests/BlightChests/BlightChestEssences.epk","","","","","","","","","","","","","","",""
36,"BlightChestFossils","Metadata/Chests/BlightChests/BlightChestFossils.epk","","","","","","","","","","","","","","",""
37,"BlightChestFragments","Metadata/Chests/BlightChests/BlightChestFragments.epk","","","","","","","","","","","","","","",""
38,"BlightChestGems","Metadata/Chests/BlightChests/BlightChestGems.epk","","","","","","","","","","","","","","",""
39,"BlightChestGeneric","Metadata/Chests/BlightChests/BlightChestGeneric.epk","","","","","","","","","","","","","","",""
40,"BlightChestHarbinger","Metadata/Chests/BlightChests/BlightChestHarbinger.epk","","","","","","","","","","","","","","",""
41,"BlightChestLabyrinth","Metadata/Chests/BlightChests/BlightChestLabyrinth.epk","","","","","","","","","","","","","","",""
42,"BlightChestLegion","Metadata/Chests/BlightChests/BlightChestLegion.epk","","","","","","","","","","","","","","",""
43,"BlightChestMaps","Metadata/Chests/BlightChests/BlightChestMaps.epk","","","","","","","","","","","","","","",""
44,"BlightChestProphecy","Metadata/Chests/BlightChests/BlightChestProphecy.epk","","","","","","","","","","","","","","",""
45,"BlightChestScarab","Metadata/Chests/BlightChests/BlightChestScarab.epk","","","","","","","","","","","","","","",""
46,"BlightChestTalisman","Metadata/Chests/BlightChests/BlightChestTalisman.epk","","","","","","","","","","","","","","",""
47,"BlightChestTrinkets","Metadata/Chests/BlightChests/BlightChestTrinkets.epk","","","","","","","","","","","","","","",""
48,"BlightChestUniques","Metadata/Chests/BlightChests/BlightChestUniques.epk","","","","","","","","","","","","","","",""
49,"BlightChestWeapons","Metadata/Chests/BlightChests/BlightChestWeapons.epk","","","","","","","","","","","","","","",""
50,"BlightChestBlight","Metadata/Chests/BlightChests/BlightChestBlight.epk","","","","","","","","","","","","","","",""
51,"HeistChestMilitary","Metadata/Chests/LeagueHeist/MilitaryChests/MilitaryChestEffects.epk","","","","","","","","","","","","","","",""
52,"HeistChestThug","Metadata/Chests/LeagueHeist/BanditChests/BanditChestEffects.epk","","","","","","","","","","","","","","",""
53,"HeistChestScience","Metadata/Chests/LeagueHeist/ScienceChests/ScienceChestEffects.epk","","","","","","","","","","","","","","",""
54,"HeistChestRobot","Metadata/Chests/LeagueHeist/RobotChests/RobotChestEffects.epk","","","","","","","","","","","","","","",""
55,"HeistChestSmugglersCacheIndoors","Metadata/Chests/LeagueHeist/SmugglersCoinCache/fx_loop.epk","","","","","","","","","","","","","","",""
56,"HeistChestSmugglersCacheOutdoors","Metadata/Chests/LeagueHeist/SmugglersCoinCache/fx_rusty_loop.epk","","","","","","","","","","","","","","",""
57,"ArchnemesisGreedChest","Metadata/Effects/Spells/monsters_effects/League_Archnemesis/EPKs/wealthyUrn_idle.epk","","","","","","","","","","","","","","",""
58,"SanctumGoldChest","Metadata/Effects/Spells/monsters_effects/League_Sanctum/GoldDrop/GoldChestParticles.epk","","","","","","","","","","","","","","",""
59,"RareChest","","","","Metadata/Effects/misc/chest_rarity/epk/chest_magical.epk","Metadata/Effects/misc/chest_rarity/epk/chest_rare.epk","","Metadata/Effects/misc/chest_rarity/ao/magical_chest.ao","Metadata/Effects/misc/chest_rarity/ao/rare_chest.ao","","Metadata/Effects/misc/chest_rarity/ao/magical_chest_open.ao","Metadata/Effects/misc/chest_rarity/ao/rare_chest_open.ao","","","","",""
60,"MagicChest","","","","Metadata/Effects/misc/chest_rarity/epk/chest_magical.epk","Metadata/Effects/misc/chest_rarity/epk/chest_rare.epk","","Metadata/Effects/misc/chest_rarity/ao/magical_chest.ao","Metadata/Effects/misc/chest_rarity/ao/rare_chest.ao","","Metadata/Effects/misc/chest_rarity/ao/magical_chest_open.ao","Metadata/Effects/misc/chest_rarity/ao/rare_chest_open.ao","","","","",""
61,"MagicRareChest","","","","Metadata/Effects/misc/chest_rarity/epk/chest_magical.epk","Metadata/Effects/misc/chest_rarity/epk/chest_rare.epk","","Metadata/Effects/misc/chest_rarity/ao/magical_chest.ao","Metadata/Effects/misc/chest_rarity/ao/rare_chest.ao","","Metadata/Effects/misc/chest_rarity/ao/magical_chest_open.ao","Metadata/Effects/misc/chest_rarity/ao/rare_chest_open.ao","","","","",""
62,"AllGlow","Metadata/Effects/misc/chest_rarity/epk/chest_common.epk","","","Metadata/Effects/misc/chest_rarity/epk/chest_magical.epk","Metadata/Effects/misc/chest_rarity/epk/chest_rare.epk","","Metadata/Effects/misc/chest_rarity/ao/magical_chest.ao","Metadata/Effects/misc/chest_rarity/ao/rare_chest.ao","","Metadata/Effects/misc/chest_rarity/ao/magical_chest_open.ao","Metadata/Effects/misc/chest_rarity/ao/rare_chest_open.ao","","","","",""
63,"IncursionChest","Metadata/Effects/misc/chest_rarity/epk/chest_rare.epk","Metadata/Effects/misc/chest_rarity/ao/rare_chest_open.ao","","","","","","","","","","","","","",""
