"rownum","Id","Description","Description (French)","Description (German)","Description (Japanese)","Description (Korean)","Description (Portuguese)","Description (Russian)","Description (Spanish)","Description (Thai)","Description (Traditional Chinese)","Invisible","Removable","Name","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","Stats","CancelOnDeath","MergeMode","ShowCount","Maximum_Stat","Current_Stat","bool_80","i32_81","BuffVisual","bool_101","bool_102","BuffCategory","bool_107","bool_108","bool_109","bool_110","BuffLimit","bool_115","Implementation","IsRecovery","bool_125","MinStat","bool_142","UIStackMode","bool_147","IsSkillBuff","i32_149","[i32]_153","bool_169","bool_170","MultiPartAchievement","bool_187","Stats2","GrantedFlags","GrantedStats","ConditionStats","bool_252","bool_253","bool_254","bool_255","rid_256","[i32]_272","string_288","string_288 (French)","string_288 (German)","string_288 (Japanese)","string_288 (Korean)","string_288 (Portuguese)","string_288 (Russian)","string_288 (Spanish)","string_288 (Thai)","string_288 (Traditional Chinese)","[rid]_296","[i32]_312","i32_328","PreloadGroup","bool_348","bool_349","bool_350"
10,"god_mode","You cannot be damaged","Vous ne pouvez pas subir de Dégâts.","Ihr erleidet keinen Schaden.","ダメージを受けることがない","피해를 받지 않습니다.","Você não sofre dano.","Вы не получаете урон","No puedes ser dañado","คุณไม่ได้รับความเสียหาย","你不會受到任何傷害","",1,"Invulnerability","Invulnérabilité ","Unverwundbarkeit","不死身","무적","Invulnerabilidade","Неуязвимость","Invulnerabilidad","อมตะ","無敵",[135],1,3,"","","","",31,12,1,"",1,"",1,1,"",0,"","","","","","",8,"","",0,[],"","",[],"",[],[],[135],[],"","","","","",[],"","","","","","","","","","",[],[],1,[],"","",""
11,"experience","Increased experience for 30 seconds","Vous gagnez plus d'expérience pendant 30 secondes.","Erhöht Eure Erfahrung für 30 Sekunden.","30秒間経験値増加","30초간 경험치 증가","Experiência aumentada por 30 segundos.","Получаемый опыт увеличен на 30 секунд","Experiencia aumentada durante 30 segundos","ค่าประสบการณ์ เพิ่มขึ้น 30 วินาที","30 秒內增加經驗值。","",1,"Increased Experience","Bonus d'expérience ","Erhöhte Erfahrung","経験値増加","경험치 증가","Experiência Aumentada","Опыт увеличен","Experiencia aumentada","เพิ่มค่าประสบการณ์","經驗增加",[152],1,2,"","","","",31,13,1,"",1,"",1,1,"",0,"","","","","","",8,"","",0,[],"","",[],"",[],[],[152],[],"","","","","",[],"","","","","","","","","","",[],[],1,[],"","",""
12,"flask_effect_mana","","","","","","","","","","",1,"","Regenerating Mana","Régénération de mana","Manaregeneration","マナ回復","마나 재생","Regenerando Mana","Мана восстанавливается","Regenerando maná","กำลังฟื้นฟูมานา","正在回復魔力",[7217],1,5,"","","","",15,0,1,"",4,"",1,1,1,0,"","",1,"","","",8,"","",0,[],"","",[],"",[],[],[7217],[],"","","","","",[],"","","","","","","","","","",[],[],1,[],"","",""
13,"poison","Debuff inflicts [Chaos] damage over time which bypasses [EnergyShield|Energy Shield].","L'Effet néfaste inflige des Dégâts de [Chaos|Chaos] sur la durée qui ignorent le [EnergyShield|Bouclier d'énergie].","Schwächung verursacht [Chaos|Chaos]schaden über Zeit, die den [EnergyShield|Energieschild] umgeht.","デバフは[EnergyShield|エナジーシールド]をバイパスする[Chaos|混沌]継続ダメージを付与する","디버프가 [EnergyShield|에너지 보호막]에 막히지 않는 지속 [Chaos|카오스] 피해를 유발합니다.","A penalidade inflige dano de [Chaos|caos] degenerativo que ignora o [EnergyShield|escudo de energia].","Отрицательный эффект наносит постепенный урон [Chaos|хаосом], который обходит [EnergyShield|энергетический щит].","Este efecto nocivo aplica daño de [Chaos|caos] degenerativo que atraviesa el [EnergyShield|escudo de energía].","ดีบัฟ สร้างความเสียหาย [Chaos|เคออส] ต่อเนื่องซึ่งทะลุ [EnergyShield|โล่พลังงาน]","減益效果造成無視[EnergyShield|能量護盾]的[Chaos|混沌]持續傷害。","","","Poisoned","Empoisonnement ","Vergiftet","毒","중독","Envenenado","Отравлен","Envenenado","ติดพิษ","中毒","[7586,21840]","",11,"","","",1,31,14,"","",2,"",1,1,"",0,"","PoisonDebuff",1,"","","",8,"","",0,[],"","",[],"",[13648],[],"[7586,21840,13648]",[],"","","",1,"",[],"","","","","","","","","","",[],[2],5,[],"","",""
14,"blood_rage","Taking Physical Damage over time based on Life and Energy Shield, while increasing Attack Speed and Life Leech. Killing an enemy refreshes the buff duration and can grant a Frenzy Charge.","Vous subissez des Dégâts physiques sur la durée en fonction de votre Vie et votre Bouclier d'énergie. Votre Vitesse d'attaque et votre Drain de Vie sont augmentés. Tuer un ennemi réinitialise cet effet, et vous donne une chance d'obtenir une Charge de frénésie.","Ihr erleidet physischen Schaden über Zeit basierend auf Leben und Energieschild, während Angriffsgeschwindigkeit und Lebensraub gleichzeitig erhöht werden. Wird ein Gegner getötet, so wird die Stärkungsdauer verlängert und der Charakter erlangt möglicherweise eine zusätzliche Raserei-Ladung.","ライフおよびエナジーシールドに基づいて物理継続ダメージを受けている。アタックスピードが増加しライフをリーチする。敵を倒すとバフの持続時間が更新され、フレンジーチャージを付与する場合がある。","생명력과 에너지 보호막에 비례하여 지속 물리 피해를 받는 대신, 공격 속도와 생명력 흡수가 증가합니다. 적을 처치하면 버프 지속시간이 초기화되고 격분 충전을 얻을 수 있습니다.","Sofre dano físico degenerativo com base na vida e no escudo de energia, aumentando a velocidade de ataque e o roubo de vida. Ao matar um inimigo, o bônus é renovado e pode gerar uma carga de frenesi.","Вы получаете постепенный физический урон пропорционально количеству жизней и энергетического щита. Повышена скорость атаки и вы похищаете здоровье. Убийство врага обновляет время действия умения и может дать заряд ярости.","Recibes daño físico degenerativo en función de tu vida y escudo de energía, y a su vez aumenta tu velocidad de ataque y absorción de vida. Si matas a un enemigo, se renueva la duración de este efecto beneficioso y puedes recibir una carga de frenesí.","ได้รับความเสียหาย กายภาพ ต่อเนื่องโดยขึ้นอยู่กับ พลังชีวิตและโล่พลังงาน ขณะที่เพิ่มความเร็วในการโจมตีและการ ดูดพลังชีวิต การสังหารศัตรูจะคืนระยะเวลาคงเหลือของบัฟ และทำให้มีโอกาสได้รับ Frenzy Charge 1 ลูก","受到根據生命和能量護盾的持續物理傷害、增加生命偷取和攻擊速度、每擊殺一名敵人獲得一個狂怒能量球。","","","Blood Rage","Rage sanguinaire ","Blutrausch","ブラッドレイジ","피의 격노","Fúria Sangrenta","Кровавый угар","Furia de sangre","บ้าเลือด","鮮血狂怒","[70,3004,452,452,1348,11944]",1,2,"","","",1,31,16,1,"",1,"",1,1,"",0,"","BloodRageBuff","","","","",8,"","",0,[],"","",[],"",[444],[],"[70,3004,452,452,1348,11944,444]",[],"","","","","",[],"","","","","","","","","","",[],[],1,[],"","",""
15,"righteous_fire","You take burning damage, deal burning damage to those around you.","Vous subissez des Dégâts de brûlure. Vous infligez des Dégâts de brûlure aux ennemis à proximité.","Ihr erleidet Brandschaden und fügt Umstehenden Brandschaden zu.","燃焼ダメージを受け、周囲の敵に燃焼ダメージを与えている。","화상 피해를 받음과 동시에 주변 적에게 화상 피해를 줍니다.","Você sofre e causa dano abrasador àqueles ao seu redor.","Вы получаете и наносите урон от горения окружащим.","Recibes daño de incendio e infliges daño de incendio a quien esté a tu alrededor.","คุณได้รับความเสียหาย ติดไฟ และสร้างความเสียหาย ติดไฟ ต่อศัตรูรอบตัวคุณ ","你承受燃燒傷害，對你附近造成燃燒傷害。","","","Righteous Fire","Feu de la vertu ","Sühnendes Feuer","ライチャスファイヤー","정의의 화염","Fogo da Justiça","Праведный огонь","Fuego justo","ไฟธรรมะ","正義之火","[888,1890]",1,2,"","","",1,31,19,1,"",1,"",1,1,"",0,"","","","","","",8,"","",0,[],"","",[],"",[],[],"[888,1890]",[],"","","","","",[],"","","","","","","","","","",[],[0],1,[],"","",""
16,"righteous_fire_aura","You are taking burning damage from being near an enemy using Righteous Fire","Vous subissez des Dégâts de brûlure à cause du Feu de la vertu d'un ennemi à proximité.","Ihr erleidet Brandschaden in der Nähe eines Gegners, der 'Sühnendes Feuer' verwendet.","ライチャスファイヤーを使用している近くの敵から燃焼ダメージを受けている","주변에 정의의 화염을 사용하는 적이 있어 화상 피해를 받고 있습니다.","A proximidade de um inimigo com Fogo da Justiça faz você sofrer dano abrasador.","Противник рядом с вами наносит вам урон от горения Праведным огнём","Recibes daño de incendio por estar cerca de un enemigo que usa Fuego justo","คุณกำลังได้รับความเสียหายจากสถานะ ติดไฟ เนื่องจากอยู่ใกล้ศัตรูที่ใช้ ไฟธรรมะ","附近正在使用正義之火的敵人對你造成燃燒傷害。","","","Righteous Fire","Feu de la vertu ","Sühnendes Feuer","ライチャスファイヤー","정의의 화염","Fogo da Justiça","Праведный огонь","Fuego justo","ไฟธรรมะ","正義之火",[1963],"",3,"","","","",31,23,"","",2,"",1,1,"",0,"","RighteousFireBuff","","","","",8,1,"",0,[],"","",[],"",[],[],[1963],[],"","","","","",[],"","","","","","","","","","",[],[0],1,[],"","",""
17,"demon_righteous_fire","You take burning damage, deal burning damage to those around you.","Vous subissez des Dégâts de brûlure. Vous infligez des Dégâts de brûlure aux ennemis à proximité.","Ihr erleidet Brandschaden und fügt Umstehenden Brandschaden zu.","燃焼ダメージを受け、周囲の敵に燃焼ダメージを与えている。","화상 피해를 받음과 동시에 주변 적에게 화상 피해를 줍니다.","Você sofre e causa dano abrasador àqueles ao seu redor.","Вы получаете и наносите урон от горения окружащим.","Recibes daño de incendio e infliges daño de incendio a quien esté a tu alrededor.","คุณได้รับความเสียหาย ติดไฟ และสร้างความเสียหาย ติดไฟ ต่อศัตรูรอบตัวคุณ ","你承受燃燒傷害，對你附近造成燃燒傷害。","","","Unrighteous Fire","Feu du vice ","Unredliches Feuer","アンライチャスファイヤー","불의의 화염","Fogo da Injustiça","Нечестивый огонь","Fuego injusto","ไฟอธรรม","邪惡之火","[888,1890]",1,2,"","","",1,31,30,1,"",1,"",1,1,"",0,"","","","","","",8,"","",0,[],"","",[],"",[],[],"[888,1890]",[],"","","","","",[],"","","","","","","","","","",[],[0],1,[],"","",""
18,"demon_righteous_fire_aura","You are taking burning damage from being near an enemy using Unrighteous Fire","Vous subissez des Dégâts de brûlure à cause du Feu impie d'un ennemi à proximité.","Ihr erleidet Brandschaden in der Nähe eines Gegners, der 'Unredliches Feuer' verwendet.","アンライチャスファイヤーを使用している近くの敵から燃焼ダメージを受けている","주변에 불의의 화염을 사용하는 적이 있어 화상 피해를 받고 있습니다.","A proximidade de um inimigo com Fogo da Injustiça faz você sofrer dano abrasador.","Противник рядом с вами наносит вам урон от горения Нечестивым огнём","Recibes daño de incendio por estar cerca de un enemigo que usa Fuego injusto","คุณกำลังได้รับความเสียหายจากสถานะ ติดไฟ เนื่องจากอยู่ใกล้ศัตรูที่ใช้ ไฟอธรรม","附近正在使用邪惡之火的敵人對你造成燃燒傷害。","","","Unrighteous Fire","Feu du vice ","Unredliches Feuer","アンライチャスファイヤー","불의의 화염","Fogo da Injustiça","Нечестивый огонь","Fuego injusto","ไฟอธรรม","邪惡之火",[1963],"",3,"","","","",31,31,"","",2,"",1,1,"",0,"","RighteousFireBuff","","","","",8,"","",0,[],"","",[],"",[],[],[1963],[],"","","","","",[],"","","","","","","","","","",[],[0],1,[],"","",""
19,"avatar_righteous_fire","You take burning damage, deal burning damage to those around you, and have increased spell damage.","Vous subissez des Dégâts de brûlure. Vous infligez des Dégâts de brûlure aux ennemis à proximité. Vous bénéficiez Davantage de Dégâts des sorts.","Ihr erleidet Brandschaden, fügt Umstehenden Brandschaden zu und erleidet mehr Zauberschaden.","燃焼ダメージを受けている。周囲の敵に燃焼ダメージを与え、スペルダメージが増加。","화상 피해를 받음과 동시에 주변 적에게 화상 피해를 주고, 주문 피해가 증가합니다.","Você sofre e causa dano abrasador àqueles ao seu redor, e causa dano mágico aumentado.","Вы получаете и наносите урон от горения окружащим противникам, а ваш урон от заклинаний повышен.","Recibes daño de incendio, infliges daño de incendio a quien esté a tu alrededor, y tienes daño de hechizos aumentado.","คุณได้รับความเสียหาย ติดไฟ, สร้างความเสียหาย ติดไฟ ต่อศัตรูรอบตัวคุณ และมีความเสียหาย เวท เพิ่มขึ้น","點燃自己並對周圍的敵人造成傷害，增加法術傷害。","","","Righteous Fire","Feu de la vertu ","Sühnendes Feuer","ライチャスファイヤー","정의의 화염","Fogo da Justiça","Праведный огонь","Fuego justo","ไฟธรรมะ","正義之火","[889,25,2478]",1,2,"","","",1,31,20,1,"",1,"",1,1,"",0,"","","","","","",8,"","",0,[],"","",[],"",[],[],"[889,25,2478]",[],"","","","","",[],"","","","","","","","","","",[],[0],1,[],"","",""
20,"avatar_righteous_fire_aura","You are taking burning damage from being near an enemy using Righteous Fire","Vous subissez des Dégâts de brûlure à cause du Feu de la vertu d'un ennemi à proximité.","Ihr erleidet Brandschaden in der Nähe eines Gegners, der 'Sühnendes Feuer' verwendet.","ライチャスファイヤーを使用している近くの敵から燃焼ダメージを受けている","주변에 정의의 화염을 사용하는 적이 있어 화상 피해를 받고 있습니다.","A proximidade de um inimigo com Fogo da Justiça faz você sofrer dano abrasador.","Противник рядом с вами наносит вам урон от горения Праведным огнём","Recibes daño de incendio por estar cerca de un enemigo que usa Fuego justo","คุณกำลังได้รับความเสียหายจากสถานะ ติดไฟ เนื่องจากอยู่ใกล้ศัตรูที่ใช้ ไฟธรรมะ","附近正在使用正義之火的敵人對你造成燃燒傷害。","","","Righteous Fire","Feu de la vertu ","Sühnendes Feuer","ライチャスファイヤー","정의의 화염","Fogo da Justiça","Праведный огонь","Fuego justo","ไฟธรรมะ","正義之火",[1963],"",3,"","","","",31,25,"","",2,"",1,1,"",0,"","","","","","",8,"","",0,[],"","",[],"",[],[],[1963],[],"","","","","",[],"","","","","","","","","","",[],[0],1,[],"","",""
21,"invisible_fire_aura","","","","","","","","","","",1,"","","","","","","","","","","","[4741,4741,4741]",1,3,"","","","",31,0,1,"",2,"",1,1,"",0,"","InvisibleFireAura","","","","",8,"","",0,[],"","",[],"",[],[],"[4741,4741,4741]",[],"","","","","",[],"","","","","","","","","","",[],[],1,[],"","",""
22,"invisible_fire_debuff","You are taking Burning Damage from a Creeping Agony","Vous subissez des Dégâts de brûlure à cause d'une Agonie dévorante.","Ihr erleidet Brandschaden durch Schleichende Agonie.","クリーピングアゴニーから燃焼ダメージを受けている","엄습하는 고통으로 인해 화상 피해를 받고 있습니다.","Você sofre dano abrasador causado por Agonia Insidiosa.","Вы получаете урон от горения, находясь рядом с Агонией.","Recibes daño de incendio de una Agonía trepidante","คุณได้รับความเสียหายจากสถานะ ติดไฟ จาก ความทุกข์ทรมานที่คืบคลาน","苦難蔓延對你造成燃燒傷害。","","","Creeping Agony","Agonie dévorante ","Schleichende Agonie","クリーピングアゴニー","엄습하는 고통","Agonia Insidiosa","Агония","Agonía trepidante","ความทุกข์ทรมานที่คืบคลาน","苦難蔓延",[1963],"",3,"","","","",31,36,"","",2,"",1,1,"",0,"","InvisibleFireBuff","","","","",8,"","",0,[],"","",[],"",[],[],[1963],[],"","","","","",[],"","","","","","","","","","",[],[0],1,[],"","",""
23,"invisible_holy_fire_debuff","You are taking Burning Damage from a Divine Flare","Vous subissez des Dégâts de brûlure à cause d'un Flamboiement divin.","Ihr erleidet Brandschaden durch eine Göttliche Fackel.","ディバインフレアから燃焼ダメージを受けている","신성한 섬광으로 인해 화상 피해를 받고 있습니다.","Você sofre dano abrasador causado por Labareda Divina.","Вы получаете урон от горения, находясь рядом с Божественным разрядом","Recibes daño de incendio de un Estallido divino","คุณได้รับความเสียหายจากสถานะ ติดไฟ จาก เปลวศักดิ์สิทธิ์","聖光束對你造成燃燒傷害。","","","Divine Flare","Flamboiement divin ","Göttliche Fackel","ディバインフレア","신성한 섬광","Labareda Divina","Божественный разряд","Estallido divino","เปลวศักดิ์สิทธิ์","聖光束",[1963],"",3,"","","","",31,39,1,"",2,"",1,1,"",0,"","InvisibleFireBuff","","","","",8,"","",0,[],"","",[],"",[],[],[1963],[],"","","","","",[],"","","","","","","","","","",[],[0],1,[],"","",""
24,"invisible_holy_fire_elder_debuff","You are taking Burning Damage from a Divine Flare","Vous subissez des Dégâts de brûlure à cause d'un Flamboiement divin.","Ihr erleidet Brandschaden durch eine Göttliche Fackel.","ディバインフレアから燃焼ダメージを受けている","신성한 섬광으로 인해 화상 피해를 받고 있습니다.","Você sofre dano abrasador causado por Labareda Divina.","Вы получаете урон от горения, находясь рядом с Божественным разрядом","Recibes daño de incendio de un Estallido divino","คุณได้รับความเสียหายจากสถานะ ติดไฟ จาก เปลวศักดิ์สิทธิ์","聖光束對你造成燃燒傷害。","","","Divine Flare","Flamboiement divin ","Göttliche Fackel","ディバインフレア","신성한 섬광","Labareda Divina","Божественный разряд","Estallido divino","เปลวศักดิ์สิทธิ์","聖光束",[1963],"",3,"","","","",31,39,1,"",2,"",1,1,"",0,"","InvisibleFireBuff","","","","",8,"","",0,[],"","",[],"",[],[],[1963],[],"","","","","",[],"","","","","","","","","","",[],[0],1,[],"","",""
25,"invisible_kitava_fire_debuff","You are taking Physical Damage over time from a Heretical Flare","Vous subissez des Dégâts de physiques sur la durée à cause d'un Flamboiement hérétique.","Ihr erleidet physischen Schaden durch eine Ketzerische Fackel.","ヘレティカルフレアから物理継続ダメージを受けている","이단의 섬광으로 인해 지속 물리 피해를 받고 있습니다.","Você sofre dano físico degenerativo causado por Labareda Herética.","Вы получаете постепенный физический урон от Еретичной вспышки","Recibes daño físico degenerativo de un Estallido herético","คุณได้รับความเสียหาย กายภาพ ต่อเนื่องจาก เปลวนอกรีต","惡光束對你造成物理傷害。","","","Heretical Flare","Flamboiement hérétique ","Ketzerische Fackel","ヘレティカルフレア","이단의 섬광","Labareda Herética","Еретичная вспышка","Estallido herético","เปลวนอกรีต","惡光束",[344],"",3,"","","","",31,41,1,"",2,"",1,1,"",0,"","InvisibleFireBuff","","","","",8,"","",0,[],"","",[],"",[],[],[344],[],"","","","","",[],"","","","","","","","","","",[],[],1,[],"","",""
26,"ion_beam_debuff","You are taking Lightning Damage from a Galvanic Flare","Vous subissez des Dégâts de foudre sur la durée à cause d'un Flamboiement galvanique.","Ihr erleidet Blitzschaden durch eine Galvanische Fackel.","ガルバニックフレアから雷ダメージを受けている","충격의 섬광으로 인해 번개 피해를 받고 있습니다.","Você sofre dano elétrico causado por Labareda Galvânica.","Вы получаете урон от молнии от Разряда молнии","Recibes daño de rayo de un Estallido galvánico","คุณได้รับความเสียหาย สายฟ้า ต่อเนื่องจาก เปลวกระแสไฟ","電光束對你造成閃電傷害。","","","Galvanic Flare","Flamboiement galvanique ","Galvanische Fackel","ガルバニックフレア","충격의 섬광","Labareda Galvânica","Разряд молнии","Estallido galvánico","เปลวกระแสไฟ","電光束",[1967],"",3,"","","","",31,33,"","",2,"",1,1,"",0,"","InvisibleFireBuff","","","","",8,"","",0,[],"","",[],"",[],[],[1967],[],"","","","","",[],"","","","","","","","","","",[],[],1,[],"","",""
27,"frost_ion_beam_debuff","You are taking Cold Damage from Creeping Ice","Vous subissez des Dégâts de froid à cause d'un Glace dévorante.","Ihr erleidet Kälteschaden durch Schleichenden Frost.","クリーピングアイスから冷気ダメージを受けている","엄습하는 얼음으로 인한 냉기 피해를 받고 있습니다.","Você sofre dano de frio causado por Gelo Insidioso.","Вы получаете урон от холода от Ползучего холода","Recibes daño de hielo de Hielo acechante","คุณได้รับความเสียหาย น้ำแข็ง จาก น้ำแข็งที่คืบคลาน","你受到來自冰冷滲透的冰冷傷害。","","","Creeping Ice","Glace dévorante ","Schleichender Frost","クリーピングアイス","엄습하는 얼음","Gelo Insidioso","Ползучий холод","Hielo acechante","เหมันต์ที่คืบคลาน","冰冷滲透",[1965],"",3,"","","","",31,35,"","",2,"",1,1,"",0,"","InvisibleFireBuff","","","","",8,"","",0,[],"","",[],"",[],[],[1965],[],"","","","","",[],"","","","","","","","","","",[],[],1,[],"","",""
