"rownum","Quest","Order","FlagsPresent","FlagsMissing","Text","Text (French)","Text (German)","Text (Japanese)","Text (Korean)","Text (Portuguese)","Text (Russian)","Text (Spanish)","Text (Thai)","Text (Traditional Chinese)","bool_60","Message","Message (French)","Message (German)","Message (Japanese)","Message (Korean)","Message (Portuguese)","Message (Russian)","Message (Spanish)","Message (Thai)","Message (Traditional Chinese)","MapPinsKeys","i32_85","MapPinsText","MapPinsText (French)","MapPinsText (German)","MapPinsText (Japanese)","MapPinsText (Korean)","MapPinsText (Portuguese)","MapPinsText (Russian)","MapPinsText (Spanish)","MapPinsText (Thai)","MapPinsText (Traditional Chinese)","MapPinsKey","WorldArea","bool_129","[i32]_130","[i32]_146","i32_162","SoundEffect","string_182","QuestItem","bool_206","bool_207"
284,26,55,[3750],[],"Somewhere in the region are canals that could potentially be used to lower the water and reveal the city. Find The Matlan Waterways.","Quelque part dans la région se trouvent des canaux qui pourraient être utilisés pour abaisser le niveau de l'eau et révéler la ville. Trouvez l'Aqueduc de Matlan.","Irgendwo in der Region gibt es Kanäle, die möglicherweise genutzt werden könnten, um das Wasser zu senken und die Stadt freizulegen. Findet die Matlan-Wasserwege.","水位を下げて都市を出現させるために使用できる可能性がある運河が、この地域のどこかにある。マトラン水路を見つけろ","이 지역 어딘가에 수위를 낮춰 도시를 드러내는 데 사용할 수 있는 운하가 있습니다. 마틀란 수로를 찾으십시오.","Em algum lugar da região há canais que, em tese, podem ser usados ​​para baixar a água e revelar a cidade. Encontre as Hidrovias de Matlan.","Где-то в области есть каналы, которые, теоретически, можно использовать для понижения уровня воды и обнажения города. Найдите Водотоки Матлан.","En algún lugar de la región hay conductos que podrían utilizarse para drenar el agua y revelar la ciudad. Encuentra los Canales de Matlan. ","ในย่านนี้มีคูน้ำที่สามารถใช้ลดระดับน้ำเพื่อเผยนครได้ ค้นหาทางน้ำมาตลานให้พบ","位於此地某處的運河或許可以用來降低水位並揭露城市。尋找瑪特蘭水道。","","Search for The Matlan Waterways","Recherchez l'Aqueduc de Matlan","Sucht nach den Matlan-Wasserwegen","マトラン水路を探せ","마틀란 수로 찾기","Procure as Hidrovias de Matlan","Отыщите Водотоки Матлан","Busca los Canales de Matlan","ค้นหาทางน้ำมาตลาน","尋找瑪特蘭水道",[259],0,"Explore beyond the Jungle Ruins in search of The Matlan Waterways","Explorez au-delà des Ruines de la jungle à la recherche de l'Aqueduc de Matlan","Erkundet jenseits der Dschungeltiefen die Matlan-Wasserwege.","ジャングルの遺跡を越えて探索しマトラン水路を見つけろ","밀림 유적 너머를 탐험하며 마틀란 수로 찾기","Explore além das ruínas da selva em busca das Hidrovias de Matlan","Пройдите дальше Развалин в джунглях в поисках Водотоков Матлан","Explora más allá de las Ruinas de la jungla para encontrar los Canales de Matlan","สำรวจสถานที่ที่เลยไปจากซากปรักหักพังป่าดงดิบเพื่อ\r\nค้นหาทางน้ำมาตลาน","探索叢林遺跡以尋找瑪特蘭水道",259,[],"",[],[],11,"","",[],"",""
285,26,56,[3823],[],"Somewhere in the region are canals that could potentially be used to lower the water and reveal the city. Find The Matlan Waterways.","Quelque part dans la région se trouvent des canaux qui pourraient être utilisés pour abaisser le niveau de l'eau et révéler la ville. Trouvez l'Aqueduc de Matlan.","Irgendwo in der Region gibt es Kanäle, die möglicherweise genutzt werden könnten, um das Wasser zu senken und die Stadt freizulegen. Findet die Matlan-Wasserwege.","水位を下げて都市を出現させるために使用できる可能性がある運河が、この地域のどこかにある。マトラン水路を見つけろ","이 지역 어딘가에 수위를 낮춰 도시를 드러내는 데 사용할 수 있는 운하가 있습니다. 마틀란 수로를 찾으십시오.","Em algum lugar da região há canais que, em tese, podem ser usados ​​para baixar a água e revelar a cidade. Encontre as Hidrovias de Matlan.","Где-то в области есть каналы, которые, теоретически, можно использовать для понижения уровня воды и обнажения города. Найдите Водотоки Матлан.","En algún lugar de la región hay conductos que podrían utilizarse para drenar el agua y revelar la ciudad. Encuentra los Canales de Matlan. ","ในย่านนี้มีคูน้ำที่สามารถใช้ลดระดับน้ำเพื่อเผยนครได้ ค้นหาทางน้ำมาตลานให้พบ","位於此地某處的運河或許可以用來降低水位並揭露城市。尋找瑪特蘭水道。","","Search for The Matlan Waterways","Recherchez l'Aqueduc de Matlan","Sucht nach den Matlan-Wasserwegen","マトラン水路を探せ","마틀란 수로 찾기","Procure as Hidrovias de Matlan","Отыщите Водотоки Матлан","Busca los Canales de Matlan","ค้นหาทางน้ำมาตลาน","尋找瑪特蘭水道",[259],0,"Enter the Jungle Ruins to search for The Matlan Waterways","Entrez dans les Ruines de la jungle et partez à la recherche de l'Aqueduc de Matlan","Betretet die Dschungelruinen，um nach den Matlan-Wasserwegen zu suchen.","マトラン水路を探すためにジャングルの遺跡に入れ","밀림 유적에 들어가서 마틀란 수로 찾기","Entre nas ruínas da selva para procurar as Hidrovias de Matlan","Войдите в Развалины в джунглях в поисках Водотоков Матлан","Entra en las Ruinas de la jungla y busca los Canales de Matlan","เข้าไปในซากปรักหักพังป่าดงดิบเพื่อค้นหาทางน้ำมาตลาน","進入叢林遺跡以尋找瑪特蘭水道","",[],"",[],[],11,"","",[],"",""
286,26,57,"[3771,3818]",[3857],"The Sunken City of Utzaal appears to live up to its name. Ask the Hooded One about potentially lowering the water to reveal the city.","La Cité engloutie d'Utzaal semble bien porter son nom. Demandez à l'Encapuchonné s'il est possible de faire baisser le niveau de l'eau pour révéler la cité.","Die versunkene Stadt Utzaal scheint ihrem Namen alle Ehre zu machen. Fragt den Verhüllten, ob es möglich ist, das Wasser zu senken, um die Stadt freizulegen.","ウトザールの水没都市はその名にふさわしいようだ。水位を下げて都市を出現させることが出来るかフードをかぶった者に尋ねよう","물에 잠긴 도시 웃자알은 이름 그대로인 듯합니다. 두건 쓴 자에게 수위를 낮춰 도시를 드러낼 수 있을지 물어보십시오.","A Cidade Submersa de Utzaal parece fazer jus ao nome. Pergunte ao Encapuzado sobre a possibilidade de baixar a água para revelar a cidade.","Затопленный город Утцааль, похоже, оправдывает своё название. Спросите Скрытного о том, как можно было бы понизить уровень воды и обнажить город.","La Ciudad hundida de Utzaal parece hacer honor a su nombre. Pregúntale al Encapuchado si se puede drenar el agua para revelar la ciudad.","นครใต้น้ำแห่งอุทซาลนั้นสมชื่อนัก ถามผู้คลุมกายว่ามีวิธีใดในการลดระดับน้ำเพื่อเผยนครนี้ขึ้นมาไหม","沉沒之城奧札爾果然名副其實。詢問黑衣幽魂能否設法降低水位，讓城市顯現。","","Talk to the Hooded One","Parlez à l'Encapuchonné","Sprecht mit dem Verhüllten","フードをかぶった者と話せ","두건 쓴 자와 대화하기","Fale com o Encapuzado","Поговорите со Скрытным","Habla con el Encapuchado","พูดคุยกับผู้คลุมกาย","和黑衣幽魂交談",[240],0,"Ask the Hooded One about lowering the water level","Demandez à l'Encapuchonné comment abaisser le niveau de l'eau","Fragt den Verhüllten，ob es möglich ist，den Wasserstand zu senken.","水位を下げることに関してフードをかぶった者と話せ","두건 쓴 자에게 수위를 낮추는 것에 대해 묻기","Pergunte ao Encapuzado sobre a possibilidade de baixar a água","Спросите Скрытного о понижении уровня воды","Pregúntale al Encapuchado cómo bajar el nivel del agua","พูดคุยกับผู้คลุมกายเรื่องการลดระดับน้ำ","詢問黑衣幽魂能否設法降低水位",240,[],"",[],[],11,"","",[],"",""
287,26,58,[3857],"[3771,3818]","The Sunken City of Utzaal appears to live up to its name. Ask the Hooded One about potentially lowering the water to reveal the city.","La Cité engloutie d'Utzaal semble bien porter son nom. Demandez à l'Encapuchonné s'il est possible de faire baisser le niveau de l'eau pour révéler la cité.","Die versunkene Stadt Utzaal scheint ihrem Namen alle Ehre zu machen. Fragt den Verhüllten, ob es möglich ist, das Wasser zu senken, um die Stadt freizulegen.","ウトザールの水没都市はその名にふさわしいようだ。水位を下げて都市を出現させることが出来るかフードをかぶった者に尋ねよう","물에 잠긴 도시 웃자알은 이름 그대로인 듯합니다. 두건 쓴 자에게 수위를 낮춰 도시를 드러낼 수 있을지 물어보십시오.","A Cidade Submersa de Utzaal parece fazer jus ao nome. Pergunte ao Encapuzado sobre a possibilidade de baixar a água para revelar a cidade.","Затопленный город Утцааль, похоже, оправдывает своё название. Спросите Скрытного о том, как можно было бы понизить уровень воды и обнажить город.","La Ciudad hundida de Utzaal parece hacer honor a su nombre. Pregúntale al Encapuchado si se puede drenar el agua para revelar la ciudad.","นครใต้น้ำแห่งอุทซาลนั้นสมชื่อนัก ถามผู้คลุมกายว่ามีวิธีใดในการลดระดับน้ำเพื่อเผยนครนี้ขึ้นมาไหม","奧札爾的沉沒古城似乎名副其實。向黑衣幽魂詢問是否有降低水位、揭露整座城市的方法。","","Talk to the Hooded One","Parlez à l'Encapuchonné","Sprecht mit dem Verhüllten","フードをかぶった者と話せ","두건 쓴 자와 대화하기","Fale com o Encapuzado","Поговорите со Скрытным","Habla con el Encapuchado","พูดคุยกับผู้คลุมกาย","和黑衣幽魂交談",[240],0,"Ask the Hooded One about lowering the water level","Demandez à l'Encapuchonné comment abaisser le niveau de l'eau","Fragt den Verhüllten，ob es möglich ist，den Wasserstand zu senken.","水位を下げることに関してフードをかぶった者と話せ","두건 쓴 자에게 수위를 낮추는 것에 대해 묻기","Pergunte ao Encapuzado sobre a possibilidade de baixar a água","Спросите Скрытного о понижении уровня воды","Pregúntale al Encapuchado cómo bajar el nivel del agua","พูดคุยกับผู้คลุมกายเรื่องการลดระดับน้ำ","詢問黑衣幽魂降低水位的方法",240,[],"",[],[],11,"","",[],"",""
288,26,59,[3641],[],"You have found a group of treasure hunters already camped on a ziggurat in the middle of a lake. Explore their camp to find out more.","Vous avez trouvé un groupe de chasseurs de trésors qui ont déjà établi leur campement sur une ziggourat au milieu d'un lac. Explorez-le pour en savoir plus.","Ihr habt eine Gruppe von Schatzsuchern gefunden, die bereits auf einer Zikkurat in der Mitte eines Sees ihr Lager aufgeschlagen haben. Erforscht ihr Lager, um mehr herauszufinden.","湖の真ん中のジッグラトですでに野営をしているトレジャーハンターの一団を見つけた。詳細を調べるためにキャンプを探索しよう","호수 가운데 있는 지구라트에서 야영하고 있던 보물 사냥꾼 무리를 발견했습니다. 야영지를 조사해 정보를 알아내십시오.","Você encontrou um grupo de caçadores de tesouros já acampados em um zigurate no meio de um lago. Explore o acampamento para descobrir mais.","Вы нашли группу охотников за сокровищами, уже разбивших лагерь на зиккурате по центру озера. Обследуйте их лагерь, чтобы узнать больше.","Has encontrado a un grupo de cazadores de tesoros que está acampado en un zigurat en medio de un lago. Explora su campamento para saber más.","คุณได้พบกับกลุ่มนักล่าสมบัติที่ตั้งค่ายอยู่บนซิกกุรัตท่ามกลางทะเลสาบแล้ว สำรวจค่ายเพื่อหาข้อมูลเพิ่มเติม","你在湖中央的金字塔上發現了一群寶藏獵人。探索他們的營地以了解更多。","","Explore Ziggurat Encampment","Explorez le Campement de la Ziggourat","Erkundet das Zikkurat-Lager","ジッグラトの野営地を見つけろ","지구라트 야영지 탐험하기","Encontre o Acampamento Zigurate","Обследуйте Лагерь на зиккурате","Explora el Campamento del zigurat","สำรวจค่ายซิกกุรัต","探索高地神塔營地",[240],0,"Meet the treasure hunters","Rencontrez les chasseurs de trésors","Trefft die Schatzsucher.","トレジャーハンターと会え","보물 사냥꾼들 만나기","Encontre os caçadores de tesouros","Встретьтесь с охотниками за сокровищами","Conoce a los cazadores de tesoros","ไปพบกับเหล่านักล่าสมบัติ","和那些寶藏獵人會面",240,[],"",[],[],11,"","",[],"",""
289,26,60,[3643],[],"Only one seat of Vaal civilisation remains unlooted: the Sunken City of Utzaal. Explore the Sandswept Marsh in search of its most prominent Ziggurat.","Seul un vestige de la civilisation Vaal demeure à l'abri du pillage : la Cité engloutie d'Utzaal. Explorez le Marécage ensablé à la recherche de sa Ziggourat la plus imposante.","Nur ein Sitz der Vaal-Zivilisation ist noch unberührt: die versunkene Stadt Utzaal. Erkundet die Sandgetränkten Sümpfe auf der Suche nach der bedeutendsten Zikkurat.","唯一略奪されていないヴァール文明の遺跡：ウトザールの水没都市。その最も有名なジッグラトを求めて砂原の沼地を探索しよう","바알 문명의 유적 중에 약탈당하지 않은 곳은 한 곳뿐입니다. 바로 물에 잠긴 도시 웃자알이죠. 모래에 휩쓸린 습지를 탐험하며 가장 눈에 띄는 지구라트를 찾으십시오.","Resta apenas um centro da civilização vaal ainda não saqueado: a Cidade Submersa de Utzaal. Explore o Pântano das Areias em busca de seu zigurate mais imponente.","Только один очаг цивилизации ваал остался не разграбленным: затопленный город Утцааль. Исследуйте Занесённое песком болото в поисках его самого высокого зиккурата.","Solo queda una sede de la civilización vaal que no haya sido saqueada: la Ciudad hundida de Utzaal. Explora la Ciénaga de arena en busca de su zigurat más prominente.","มีเพียงอารยธรรมวาล์แห่งเดียวที่ยังไม่ถูกปล้นสะดม นั่นก็คือนครใต้น้ำแห่งอุทซาล สำรวจบึงพัดทรายเพื่อค้นหาซิกกุรัตที่โดดเด่นที่สุดของนครนี้","唯一尚未被掠奪的瓦爾遺跡：奧札爾的沈沒之城。前往風沙沼澤，尋找那座最顯眼的金字塔。","","Find the Ziggurat","Trouvez la Ziggourat","Findet die Zikkurat","ジッグラトを探せ","지구라트 찾기","Encontre o Zigurate","Найдите зиккурат","Encuentra el Zigurat","ค้นหาซิกกุรัต","尋找高地神塔",[240],0,"Cross the Sandswept Marsh in search of a Ziggurat","Traversez le Marécage ensablé à la recherche de la Ziggourat","Durchquert die Sandgetränkten Sümpfe auf der Suche nach einer Zikkurat.","ジッグラトを探して砂原の沼地を越えろ","모래에 휩쓸린 습지를 건너며 지구라트 찾기","Cruze o Pântano das Areias em busca de um Zigurate","Пересеките Занесённые песком болота в поисках зиккурата","Atraviesa la Ciénaga de arena en busca del Zigurat","ข้ามบึงพัดทรายเพื่อค้นหาซิกกุรัต","穿越沙掠濕地，尋找高地神塔",233,[],"",[],[],11,"","",[],"",""
290,26,61,[3640],[],"Speak to the Hooded One about what do to next.","Parlez à l'Encapuchonné pour connaître la suite des évènements.","Sprecht mit dem Verhüllten darüber, was als Nächstes zu tun ist.","次に何をするのかについてフードをかぶった者と話そう","두건 쓴 자와 앞으로 해야 할 일에 대해 이야기하십시오.","Fale com o Encapuzado sobre os próximos passos.","Поговорите со Скрытным о том, что делать дальше.","Habla con el Encapuchado sobre qué hacer a continuación.","พูดคุยกับผู้คลุมกายว่าต้องทำเช่นไรต่อไป","和黑衣幽魂交談，了解接下來該怎麽做。","","Speak to the Hooded One","Parlez à l'Encapuchonné","Sprecht mit dem Verhüllten","フードをかぶった者に話しかけろ","두건 쓴 자와 대화하기","Fale com o Encapuzado","Поговорите со Скрытным","Habla con el Encapuchado","พูดคุยกับผู้คลุมกาย","和黑衣幽魂交談",[233],0,"Speak to the Hooded One about what to do next","Parlez à l'Encapuchonné pour connaître la suite des évènements","Sprecht mit dem Verhüllten darüber，was als Nächstes zu tun ist.","次に何すべきかフードをかぶった者に話しかけろ","두건 쓴 자와 앞으로 해야 할 일에 대해 이야기하기","Fale com o Encapuzado sobre os próximos passos","Поговорите со Скрытным о дальнейших шагах","Habla con el Encapuchado sobre qué hacer a continuación","พูดคุยกับผู้คลุมกายว่าต้องทำเช่นไรต่อไป","和黑衣幽魂交談，了解下一步該做什麼",233,[],"",[],[],11,"","",[],"",""
291,28,0,[2814],[],"Quest Complete - You have found a venom vial in the The Venom Crypts and Servi has rewarded you.","Quête terminée — Vous avez trouvé une fiole de venin dans les Cryptes du Venin et Servi vous a récompensé.","Quest abgeschlossen: Ihr habt eine Giftphiole in den Giftgrüften gefunden und Servi hat Euch belohnt.","クエスト完了 - 毒の地下聖堂で毒の小瓶を見つけ、セルヴィから報酬を受け取った","퀘스트 완료 - 독액 지하실에서 독액이 든 병을 찾아서 세르비에게 보상을 받았습니다.","Missão Concluída: você encontrou um frasco de veneno nas Criptas Venenosas e Servi lhe deu uma recompensa.","Задание выполнено - Вы нашли сосуд с ядом в Ядовитой крипте и Серви вознаградила вас.","Misión completa - Has encontrado un vial de veneno en las Criptas venenosas y Servi te ha dado una recompensa.","เควสต์​เสร็จสิ้น - คุณได้พบกับหลอดยาพิษในสุสานอสรพิษและเซอร์วีให้รางวัลกับคุณแล้ว","任務完成——你已在劇毒墓穴中尋找毒液瓶，瑟維已給予你獎勵。",1,"Quest Complete","Quête terminée","Quest abgeschlossen","クエスト完了","퀘스트 완료","Missão Concluída","Задание выполнено","Misión completa","เควสต์​เสร็จสิ้น","任務完成",[],0,"","","","","","","","","","","",[],"",[],[],11,"","",[],"",""
292,28,1,[3782],[],"Consume the Venom Draught that Servi made for you.","Consommez l'Antivenin que Servi vous a concocté.","Nehmt das Giftgemisch zu Euch, das Servi für Euch hergestellt hat.","セルヴィが作った毒の霊薬を飲み干そう","세르비가 만든 독액 영약을 마시십시오.","Consuma o Tônico Venenoso que Servi fez para você.","Употребите вытяжку из яда, которую Серви изготовила для вас.","Bebe el elixir de veneno que Servi ha preparado para ti.","ดื่มยาอสรพิษที่เซอร์วีปรุงให้กับคุณ","服下瑟維幫你製作的劇毒藥水。","","Consume the Venom Draught","Consommez l'Antivenin","Konsumiert das Giftgemisch","毒の霊薬を飲み干せ","독액 영약 마시기","Consuma o Tônico Venenoso","Употребите вытяжку из яда","Bebe el elixir de veneno","ดื่มยาอสรพิษ","服用劇毒藥水",[240],0,"Consume the Venom Draught","Consommez l'Antivenin","Konsumiert das Giftgemisch.","毒の霊薬を飲み干せ","독액 영약 마시기","Consuma o Tônico Venenoso","Употребите вытяжку из яда","Bebe el elixir de veneno","ดื่มยาอสรพิษ","服用劇毒藥水","",[],"",[],[],11,"","",[],"",""
293,28,2,[4685],[],"Consume the Venom Draught that Servi made for you.","Consommez l'Antivenin que Servi vous a concocté.","Nehmt das Giftgemisch zu Euch, das Servi für Euch hergestellt hat.","セルヴィがあなたのために作った毒の霊薬を飲み干そう","세르비가 만든 독액 영약을 마시십시오.","Consuma o Tônico Venenoso que Servi fez para você.","Употребите вытяжку из яда, которую Серви изготовила для вас.","Bebe el elixir de veneno que Servi ha preparado para ti.","ดื่มยาอสรพิษที่เซอร์วีปรุงให้กับคุณ","服下瑟維幫你製作的劇毒藥水。","","Consume the Venom Draught","Consommez l'Antivenin","Konsumiert das Giftgemisch","毒の霊薬を飲み干せ","독액 영약 마시기","Consuma o Tônico Venenoso","Употребите вытяжку из яда","Bebe el elixir de veneno","ดื่มยาอสรพิษ","服用劇毒藥水",[240],0,"Consume the Venom Draught","Consommez l'Antivenin","Konsumiert das Giftgemisch.","毒の霊薬を飲み干せ","독액 영약 마시기","Consuma o Tônico Venenoso","Употребите вытяжку из яда","Bebe el elixir de veneno","ดื่มยาอสรพิษ","服用劇毒藥水","",[],"",[],[],11,"","",[],"",""
294,28,3,[4687],[],"Consume the Venom Draught that Servi made for you.","Consommez l'Antivenin que Servi vous a concocté.","Nehmt das Giftgemisch zu Euch, das Servi für Euch hergestellt hat.","セルヴィがあなたのために作った毒の霊薬を飲み干そう","세르비가 만든 독액 영약을 마시십시오.","Consuma o Tônico Venenoso que Servi fez para você.","Употребите вытяжку из яда, которую Серви изготовила для вас.","Bebe el elixir de veneno que Servi ha preparado para ti.","ดื่มยาอสรพิษที่เซอร์วีปรุงให้กับคุณ","服下瑟維幫你製作的劇毒藥水。","","Consume the Venom Draught","Consommez l'Antivenin","Konsumiert das Giftgemisch","毒の霊薬を飲み干せ","독액 영약 마시기","Consuma o Tônico Venenoso","Употребите вытяжку из яда","Bebe el elixir de veneno","ดื่มยาอสรพิษ","服用劇毒藥水",[240],0,"Consume the Venom Draught","Consommez l'Antivenin","Konsumiert das Giftgemisch.","毒の霊薬を飲み干せ","독액 영약 마시기","Consuma o Tônico Venenoso","Употребите вытяжку из яда","Bebe el elixir de veneno","ดื่มยาอสรพิษ","服用劇毒藥水","",[],"",[],[],11,"","",[],"",""
295,28,4,[3905],[],"Take a Venom Draught from Servi.","Prenez un Antivenin à Servi.","Nehmt ein Giftgemisch von Servi.","セルヴィから毒の霊薬を受け取ろう","세르비에게 독액 영약을 받으십시오.","Pegue um Tônico Venenoso com Servi.","Возьмите вытяжку из яда у Серви.","Obtén un elixir de veneno de Servi.","รับยาอสรพิษจากเซอร์วี","跟瑟維拿取劇毒藥水。","","Take a Venom Draught","Prenez un Antivenin","Nehmt ein Giftgemisch","毒の霊薬を受け取れ","독액 영약 받기","Pegue um Tônico Venenoso","Возьмите вытяжку из яда","Obtén un elixir de veneno","รับยาอสรพิษ","拿取劇毒藥水",[240],0,"Take a Venom Draught","Prenez un Antivenin","Nehmt ein Giftgemisch.","毒の霊薬を受け取れ","독액 영약 받기","Pegue um Tônico Venenoso","Возьмите вытяжку из яда","Obtén un elixir de veneno","รับยาอสรพิษ","拿取劇毒藥水","",[],"",[],[],11,"","",[],"",""
296,28,5,[3901],[],"Return to Servi and ask her about the venom vial you found.","Retournez voir Servi et interrogez-la sur la fiole de venin que vous avez trouvée.","Kehrt zu Servi zurück und befragt sie über die gefundene Giftphiole.","セルヴィのもとへ戻り、見つけた毒の小瓶について尋ねよう","세르비에게 돌아가서 독액이 든 병에 대해 물어보십시오.","Pergunte a Servi sobre o frasco de veneno que você encontrou.","Вернитесь к Серви и расспросите её о найденном вами сосуде с ядом.","Regresa con Servi y pregúntale acerca del vial de veneno que has encontrado.","กลับไปหาเซอร์วีแล้วถามเธอเรื่องหลอดพิษงูไชศพที่คุณพบ","回去找瑟維，向她打聽你所尋找的毒液瓶的情報。","","Talk to Servi","Parlez à Servi","Sprecht mit Servi","セルヴィと話せ","세르비와 대화하기","Fale com Servi","Поговорите с Серви","Habla con Servi","พูดคุยกับเซอร์วี","和瑟維交談",[240],0,"Talk to Servi","Parlez à Servi","Sprecht mit Servi.","セルヴィと話せ","세르비와 대화하기","Fale com Servi","Поговорите с Серви","Habla con Servi","พูดคุยกับเซอร์วี","和瑟維交談","",[],"",[],[],11,"","",[3697],"",""
297,28,6,[3900],[],"Pick up the Corpse-snake Venom you found in The Venom Crypts.","Ramassez le Venin corphidien que vous avez trouvé dans les Cryptes du Venin.","Nehmt das Giftgemisch der Schlangenleiche, welches Ihr in den Giftgrüften gefunden habt.","毒の地下聖堂で見つけた死体蛇の毒を手に入れよう","독액 지하실에서 찾은 시체뱀 독액을 챙기십시오.","Pegue o veneno de cobra de cadáver que você encontrou nas Criptas Venenosas.","Подберите яд трупной змеи, который вы нашли в Ядовитой крипте.","Recoge el veneno de serpiente del cadáver que has encontrado en las Criptas venenosas.","เก็บพิษงูไชศพที่คุณพบอยู่ในสุสานอสรพิษ","拾取你在劇毒墓穴尋找的屍蛇毒液。","","Take the Corpse-snake Venom","Prenez le Venin corphidien","Nehmt das Giftgemisch der Schlangenleiche","死体蛇の毒を手に入れろ","시체뱀 독액 챙기기","Pegue o veneno de cobra de cadáver","Подберите яд трупной змеи","Obtén el veneno del cadáver de serpiente","เก็บพิษงูไชศพ","拿取屍蛇毒液",[268],0,"Take the Corpse-snake Venom","Prenez le Venin corphidien","Nehmt das Giftgemisch der Schlangenleiche.","死体蛇の毒を手に入れろ","시체뱀 독액 챙기기","Pegue o veneno de cobra de cadáver","Подберите яд трупной змеи","Obtén el veneno del cadáver de serpiente","เก็บพิษงูไชศพ","拿取屍蛇毒液",268,[],"",[],[],11,"","",[3697],"",""
298,28,7,[3898],[],"You have discovered a corpse in The Venom Crypts. Search it.","Vous avez découvert un cadavre dans les Cryptes du Venin. Fouillez-le.","Ihr habt eine Leiche in den Giftgrüften entdeckt. Durchsucht sie.","毒の地下聖堂で死体を見つけた。調べよう","독액 지하실에서 시신을 발견했습니다. 수색하십시오.","Você encontrou um cadáver nas Criptas Venenosas. Vasculhe-o.","Вы обнаружили труп в Ядовитой крипте. Обыщите его.","Has descubierto un cadáver en las Criptas venenosas. Regístralo.","คุณพบศพในสุสานอสรพิษแล้ว ตรวจศพเสีย","你在劇毒墓穴發現一具屍體，搜一下身吧。","","Search the Corpse","Fouillez le cadavre","Durchsucht die Leiche","死体を調べろ","시신 수색하기","Vasculhe o cadáver","Обыщите труп","Registra el cadáver","ตรวจศพ","搜索屍體",[268],0,"Search the Corpse","Fouillez le cadavre","Durchsucht die Leiche.","死体を調べろ","시신 수색하기","Vasculhe o cadáver","Обыщите труп","Registra el cadáver","ตรวจศพ","搜索屍體",268,[],"",[],[],11,"","",[],"",""
299,28,8,[3751],[],"Servi may find uses for materials found in The Venom Crypts. Explore it in search of something useful.","Servi pourrait trouver une utilité aux ressources trouvées dans les Cryptes du Venin. Explorez-les à la recherche de quelque chose d'utile.","Servi könnte für die Materialien aus den Giftgrüften Verwendung finden. Erforscht sie auf der Suche nach etwas Nützlichem.","セルヴィは毒の地下聖堂で見つかる材料の用途を見出せるかもしれない。役立つ物を求めて探索しよう","세르비가 독액 지하실에서 나는 재료를 사용할 방법을 알지도 모릅니다. 독액 지하실을 탐험하며 쓸모 있을 법한 재료를 찾아보십시오.","Os materiais encontrados nas Criptas Venenosas podem ser úteis para Servi. Explore o local e encontre algo útil.","Серви может найти применение материалам из Ядовитой крипты. Обыщите её в поисках чего-нибудь полезного.","Puede que Servi conozca una forma de utilizar los materiales que encuentres en las Criptas venenosas. Explóralas para encontrar algo útil.","เซอร์วีอาจมีวิธีใช้ประโยชน์จากวัตถุดิบที่พบได้จากสุสานอสรพิษ ลองค้นหาอะไรที่มีประโยชน์ภายในนั้นดู","瑟維也許能告訴你在劇毒墓穴中尋找的材料有何用處。探索劇毒墓穴，尋找有用的東西。","","Explore The Venom Crypts","Explorez les Cryptes du Venin","Erforscht die Giftgrüfte","毒の地下聖堂を探索しろ","독액 지하실 탐험하기","Explore as Criptas Venenosas","Обыщите Ядовитую крипту","Explora las Criptas venenosas","สำรวจสุสานอสรพิษ","探索劇毒墓穴",[268],0,"Explore The Venom Crypts","Explorez les Cryptes du Venin","Erforscht die Giftgrüfte.","毒の地下聖堂を探索しろ","독액 지하실 탐험하기","Explore as Criptas Venenosas","Обыщите Ядовитую крипту","Explora las Criptas venenosas","สำรวจสุสานอสรพิษ","探索劇毒墓穴",268,[],"",[],[],11,"","",[],"",""
300,28,9,[3832],[],"Servi has told you about the Orok. Search for the source of their poison.","Servi vous a parlé des Oroks. Cherchez la source de leur poison.","Servi hat Euch von den Orok erzählt. Sucht nach der Quelle ihres Gifts.","セルヴィからオロクについて聞いた。その毒の源を探索しよう","세르비가 오로크에 대해 이야기해 주었습니다. 그 독의 근원을 찾으십시오.","Servi contou sobre os orok. Procure pela fonte do veneno deles.","Серви рассказала вам об ороках. Найдите источник их яда.","Servi te ha hablado acerca de los Orok. Busca la fuente de su veneno.","เซอร์วีได้เล่าเรื่องโอร็อกให้คุณฟังแล้ว ค้นหาที่มาของพิษพวกเขาเสีย","瑟維和你談論了歐羅克。搜尋劇毒的來源。","","Find the source of the Orok poison","Trouvez la source du poison des Oroks","Findet die Quelle des Gifts der Orok","オロクの毒の源を見つけろ","오로크 독의 근원 찾기","Encontre a fonte do veneno dos orok","Найдите источник орокского яда","Encuentra la fuente del veneno de los Orok","หาที่มาของพิษโอร็อก","找出歐羅克毒藥的來源",[],0,"Find the source of the Orok poison","Trouvez la source du poison des Oroks","Findet die Quelle des Gifts der Orok.","オロクの毒の源を見つけろ","오로크 독의 근원 찾기","Encontre a fonte do veneno dos orok","Найдите источник орокского яда","Encuentra la fuente del veneno de los Orok","หาที่มาของพิษโอร็อก","找出歐羅克毒藥的來源","",[],"",[],[],11,"","",[],"",""
