"rownum","Id","DDSFile","AOFile","InventorySoundEffect","HASH16","AOFile2","MarauderSMFiles","RangerSMFiles","WitchSMFiles","DuelistDexSMFiles","TemplarSMFiles","ShadowSMFiles","ScionSMFiles","MarauderShape","RangerShape","WitchShape","DuelistShape","TemplarShape","ShadowShape","ScionShape","rid_218","i32_234","Pickup_AchievementItems","SMFiles","Identify_AchievementItems","EPKFile","Corrupt_AchievementItems","IsAlternateArt","bool_311","CreateCorruptedJewelAchievementItem","AnimationLocation","string_336","string_344","string_352","string_360","string_368","string_376","string_384","string_392","string_400","string_408","string_416","string_424","IsAtlasOfWorldsMapIcon","IsTier16Icon","[i32]_434","bool_450","[rid]_451","[string]_467","[string]_483","[string]_499","[string]_515","[string]_531","[string]_547","[string]_563","string_579","string_587","string_595","string_603","string_611","string_619","string_627","string_635","string_643","Composition","rid_655","rid_671","rid_687","rid_703","[string]_719","[string]_735","[string]_751","[string]_767","[string]_783","[string]_799","rid_815","string_831","string_839","string_847","string_855","string_863","string_871","string_879","rid_887","rid_903","rid_919","rid_935","string_951"
24,"CurrencyUpgradeMagicToRare2","Art/2DItems/Currency/CurrencyUpgradeMagicToRare.dds","Metadata/Items/Currency/CurrencyUpgradeMagicToRare.ao",497,4158,"",[],[],[],[],[],[],[],"","","","","","","","",17,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],[],[],[],[],[],[],[],"","","","","","","","","",0,"","","","",[],[],[],[],[],[],930,"","","","","","","","","",1129,"",""
25,"CurrencyUpgradeMagicToRare3_","Art/2DItems/Currency/CurrencyUpgradeMagicToRare.dds","Metadata/Items/Currency/CurrencyUpgradeMagicToRare.ao",497,60398,"",[],[],[],[],[],[],[],"","","","","","","","",17,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],[],[],[],[],[],[],[],"","","","","","","","","",0,"","","","",[],[],[],[],[],[],930,"","","","","","","","","",1129,9624,""
26,"CurrencyAddModToMagic","Art/2DItems/Currency/CurrencyAddModToMagic.dds","Metadata/Items/Currency/CurrencyAddModToMagic.ao",493,22415,"",[],[],[],[],[],[],[],"","","","","","","","",17,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],[],[],[],[],[],[],[],"","","","","","","","","",0,"","","","",[],[],[],[],[],[],"","","","","","","","","","","","",""
27,"CurrencyAddModToMagic2","Art/2DItems/Currency/CurrencyAddModToMagic.dds","Metadata/Items/Currency/CurrencyAddModToMagic.ao",493,19833,"",[],[],[],[],[],[],[],"","","","","","","","",17,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],[],[],[],[],[],[],[],"","","","","","","","","",0,"","","","",[],[],[],[],[],[],"","","","","","","","","","",1129,"",""
28,"CurrencyAddModToMagic3","Art/2DItems/Currency/CurrencyAddModToMagic.dds","Metadata/Items/Currency/CurrencyAddModToMagic.ao",493,56859,"",[],[],[],[],[],[],[],"","","","","","","","",17,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],[],[],[],[],[],[],[],"","","","","","","","","",0,"","","","",[],[],[],[],[],[],"","","","","","","","","","",1129,"",""
29,"CurrencyPortal","Art/2DItems/Currency/CurrencyPortal.dds","Metadata/Items/Currency/CurrencyPortal.ao",27,60719,"",[],[],[],[],[],[],[],"","","","","","","","",17,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],[],[],[],[],[],[],[],"","","","","","","","","",0,"","","","",[],[],[],[],[],[],"","","","","","","","","","","","",""
30,"CurrencyFlaskQuality","Art/2DItems/Currency/CurrencyFlaskQuality.dds","Metadata/Items/Currency/CurrencyOrb_MID.ao",731,10110,"",[],[],[],[],[],[],[],"","","","","","","","",17,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],[],[],[],[],[],[],[],"","","","","","","","","",0,"","","","",[],[],[],[],[],[],930,"","","","","","","","","",1129,"",""
31,"CurrencyGemQuality","Art/2DItems/Currency/CurrencyGemQuality.dds","Metadata/Items/Currency/CurrencyOrb_HI.ao",503,32367,"",[],[],[],[],[],[],[],"","","","","","","","",17,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],[],[],[],[],[],[],[],"","","","","","","","","",0,"","","","",[],[],[],[],[],[],930,"","","","","","","","","",1129,"",""
32,"CurrencyExtra1","Art/2DItems/Currency/CurrencyAddModToRare.dds","Metadata/Items/Currency/CurrencyOrb.ao",33,54985,"",[],[],[],[],[],[],[],"","","","","","","","",17,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],[],[],[],[],[],[],[],"","","","","","","","","",0,"","","","",[],[],[],[],[],[],"","","","","","","","","","","","",""
33,"CurrencyExtra2","Art/2DItems/Currency/CurrencyAddModToRare.dds","Metadata/Items/Currency/CurrencyOrb.ao",33,65456,"",[],[],[],[],[],[],[],"","","","","","","","",17,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],[],[],[],[],[],[],[],"","","","","","","","","",0,"","","","",[],[],[],[],[],[],"","","","","","","","","","","","",""
34,"CurrencyExtra3","Art/2DItems/Currency/CurrencyAddModToRare.dds","Metadata/Items/Currency/CurrencyOrb.ao",33,34429,"",[],[],[],[],[],[],[],"","","","","","","","",17,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],[],[],[],[],[],[],[],"","","","","","","","","",0,"","","","",[],[],[],[],[],[],"","","","","","","","","","","","",""
35,"CurrencyExtra4","Art/2DItems/Currency/CurrencyAddModToRare.dds","Metadata/Items/Currency/CurrencyOrb.ao",33,25204,"",[],[],[],[],[],[],[],"","","","","","","","",17,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],[],[],[],[],[],[],[],"","","","","","","","","",0,"","","","",[],[],[],[],[],[],"","","","","","","","","","","","",""
36,"CurrencyIdentificationShard","Art/2DItems/Currency/CurrencyIdentificationFragment.dds","Metadata/Items/Currency/CurrencyOrb_Silent.ao",27,14444,"",[],[],[],[],[],[],[],"","","","","","","","",17,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],[],[],[],[],[],[],[],"","","","","","","","","",0,"","","","",[],[],[],[],[],[],"","","","","","","","","","","","",""
37,"CurrencyUpgradeRandomlyShard","Art/2DItems/Currency/CurrencyUpgradeToUniqueShard.dds","Metadata/Items/Currency/CurrencyOrb_Silent.ao",534,30011,"",[],[],[],[],[],[],[],"","","","","","","","",17,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],[],[],[],[],[],[],[],"","","","","","","","","",0,"","","","",[],[],[],[],[],[],"","","","","","","","","","","","",""
38,"CurrencyUpgradeToMagicShard","Art/2DItems/Currency/CurrencyUpgradeToMagicShard.dds","Metadata/Items/Currency/CurrencyOrb_Silent.ao",531,15636,"",[],[],[],[],[],[],[],"","","","","","","","",17,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],[],[],[],[],[],[],[],"","","","","","","","","",0,"","","","",[],[],[],[],[],[],"","","","","","","","","","","","",""
39,"CurrencyRerollMagicShard","Art/2DItems/Currency/CurrencyRerollMagicShard.dds","Metadata/Items/Currency/CurrencyOrb_Silent.ao",529,44709,"",[],[],[],[],[],[],[],"","","","","","","","",17,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],[],[],[],[],[],[],[],"","","","","","","","","",0,"","","","",[],[],[],[],[],[],"","","","","","","","","","","","",""
40,"CurrencyUpgradeToRareShard","Art/2DItems/Currency/CurrencyUpgradeToRareShard.dds","Metadata/Items/Currency/CurrencyOrb_Silent.ao",528,8302,"",[],[],[],[],[],[],[],"","","","","","","","",17,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],[],[],[],[],[],[],[],"","","","","","","","","",0,"","","","",[],[],[],[],[],[],"","","","","","","","","","","","",""
41,"CurrencyRerollSocketColours","Art/2DItems/Currency/CurrencyRerollSocketColours.dds","Metadata/Items/Currency/CurrencyOrb_LOW.ao",732,41400,"",[],[],[],[],[],[],[],"","","","","","","","",17,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],[],[],[],[],[],[],[],"","","","","","","","","",0,"","","","",[],[],[],[],[],[],"","","","","","","","","","",1129,"",""
42,"CurrencyRerollSocketLinks","Art/2DItems/Currency/CurrencyRerollSocketLinks.dds","Metadata/Items/Currency/CurrencyOrb_MID.ao",181,53044,"",[],[],[],[],[],[],[],"","","","","","","","",17,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],[],[],[],[],[],[],[],"","","","","","","","","",0,"","","","",[],[],[],[],[],[],"","","","","","","","","","","","",""
43,"CurrencyRerollSocketNumbers3","Art/2DItems/Currency/CurrencyRerollSocketNumbers01.dds","Metadata/Items/Currency/CurrencyOrb_LOW.ao",505,18702,"",[],[],[],[],[],[],[],"","","","","","","","",17,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],[],[],[],[],[],[],[],"","","","","","","","","",0,"","","","",[],[],[],[],[],[],"","","","","","","","","","",1129,"",""
44,"CurrencyRerollSocketNumbers4","Art/2DItems/Currency/CurrencyRerollSocketNumbers02.dds","Metadata/Items/Currency/CurrencyOrb_LOW.ao",506,6293,"",[],[],[],[],[],[],[],"","","","","","","","",17,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],[],[],[],[],[],[],[],"","","","","","","","","",0,"","","","",[],[],[],[],[],[],930,"","","","","","","","","",1129,"",""
45,"CurrencyRerollSocketNumbers5","Art/2DItems/Currency/CurrencyRerollSocketNumbers03.dds","Metadata/Items/Currency/CurrencyOrb_LOW.ao",507,29530,"",[],[],[],[],[],[],[],"","","","","","","","",17,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],[],[],[],[],[],[],[],"","","","","","","","","",0,"","","","",[],[],[],[],[],[],43,"","","","","","","","","","",9624,""
46,"CurrencyAddEquipmentSocket_","Art/2DItems/Currency/CurrencyAddEquipmentSocket.dds","Metadata/Items/Currency/CurrencyOrb_MID.ao",489,26863,"",[],[],[],[],[],[],[],"","","","","","","","",17,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],[],[],[],[],[],[],[],"","","","","","","","","",0,"","","","",[],[],[],[],[],[],"","","","","","","","","","",1129,"",""
47,"CurrencyModValues","Art/2DItems/Currency/CurrencyModValues.dds","Metadata/Items/Currency/CurrencyModValues.ao",495,1662,"",[],[],[],[],[],[],[],"","","","","","","","",17,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],[],[],[],[],[],[],[],"","","","","","","","","",0,"","","","",[],[],[],[],[],[],43,"","","","","","","","","","",9624,""
48,"CurrencyRerollImplicit","Art/2DItems/Currency/CurrencyImplicitMod.dds","Metadata/Items/Currency/CurrencyOrb_HI.ao",180,31806,"",[],[],[],[],[],[],[],"","","","","","","","",17,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],[],[],[],[],[],[],[],"","","","","","","","","",0,"","","","",[],[],[],[],[],[],"","","","","","","","","","","","",""
49,"CurrencyRerollDefences","Art/2DItems/Currency/SacredOrb.dds","Metadata/Items/Currency/CurrencyOrb_HI.ao",180,63092,"",[],[],[],[],[],[],[],"","","","","","","","",17,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],[],[],[],[],[],[],[],"","","","","","","","","",0,"","","","",[],[],[],[],[],[],"","","","","","","","","","","","",""
50,"CurrencyRhoaFeather","Art/2DItems/Currency/CurrencyRhoaFeather.dds","Metadata/Items/Currency/CurrencyOrb_HI.ao",180,49543,"",[],[],[],[],[],[],[],"","","","","","","","",17,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],[],[],[],[],[],[],[],"","","","","","","","","",0,"","","","",[],[],[],[],[],[],"","","","","","","","","","","","",""
51,"CurrencyImprintOrb","Art/2DItems/Currency/CurrencyImprintOrb.dds","Metadata/Items/Currency/CurrencyOrb_HI.ao",180,40942,"",[],[],[],[],[],[],[],"","","","","","","","",17,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],[],[],[],[],[],[],[],"","","","","","","","","",0,"","","","",[],[],[],[],[],[],"","","","","","","","","","","","",""
52,"CurrencyImprint","Art/2DItems/Currency/CurrencyImprint.dds","Metadata/Items/Currency/CurrencyOrb.ao",33,53629,"",[],[],[],[],[],[],[],"","","","","","","","",17,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],[],[],[],[],[],[],[],"","","","","","","","","",0,"","","","",[],[],[],[],[],[],"","","","","","","","","","","","",""
53,"CurrencyCorrupt","Art/2DItems/Currency/CurrencyVaal.dds","Metadata/Items/Currency/CurrencyCorrupt.ao",500,30986,"",[],[],[],[],[],[],[],"","","","","","","","",17,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],[],[],[],[],[],[],[],"","","","","","","","","",0,"","","","",[],[],[],[],[],[],930,"","","","","","","","","",1129,"",""
54,"CurrencyGarenaPassiveRefundPurchasable","Art/2DItems/Garena/Refund.dds","Metadata/Items/Currency/CurrencyOrb.ao",33,3919,"",[],[],[],[],[],[],[],"","","","","","","","",17,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],[],[],[],[],[],[],[],"","","","","","","","","",0,"","","","",[],[],[],[],[],[],"","","","","","","","","","","","",""
55,"CurrencyEnchantment","Art/2DItems/Currency/Enchantment.dds","Metadata/Items/Currency/CurrencyOrb.ao",33,4753,"",[],[],[],[],[],[],[],"","","","","","","","",17,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],[],[],[],[],[],[],[],"","","","","","","","","",0,"","","","",[],[],[],[],[],[],"","","","","","","","","","","","",""
56,"CurrencyEnchantmentCorrupt","Art/2DItems/Currency/TaintedBlessing.dds","Metadata/Items/Currency/CurrencyOrb.ao",33,16014,"",[],[],[],[],[],[],[],"","","","","","","","",17,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],[],[],[],[],[],[],[],"","","","","","","","","",0,"","","","",[],[],[],[],[],[],"","","","","","","","","","","","",""
57,"CurrencyIncursionCorrupt1","Art/2DItems/Currency/IncursionItemCorruption.dds","Metadata/Items/Currency/CurrencyOrb.ao",33,30918,"",[],[],[],[],[],[],[],"","","","","","","","",17,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],[],[],[],[],[],[],[],"","","","","","","","","",0,"","","","",[],[],[],[],[],[],"","","","","","","","","","","","",""
58,"CurrencyIncursionCorrupt2","Art/2DItems/Currency/IncursionItemCorruption.dds","Metadata/Items/Currency/CurrencyOrb.ao",33,27859,"",[],[],[],[],[],[],[],"","","","","","","","",17,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],[],[],[],[],[],[],[],"","","","","","","","","",0,"","","","",[],[],[],[],[],[],"","","","","","","","","","","","",""
59,"CurrencyIncursionCorruptGem","Art/2DItems/Currency/IncursionGemCorruption.dds","Metadata/Items/Currency/CurrencyOrb.ao",33,2664,"",[],[],[],[],[],[],[],"","","","","","","","",17,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],[],[],[],[],[],[],[],"","","","","","","","","",0,"","","","",[],[],[],[],[],[],"","","","","","","","","","","","",""
60,"CurrencyPerandusCoin","Art/2DItems/Currency/CurrencyCoin.dds","Metadata/Items/Currency/CurrencyCoin.ao",10,33657,"",[],[],[],[],[],[],[],"","","","","","","","",17,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],[],[],[],[],[],[],[],"","","","","","","","","",0,"","","","",[],[],[],[],[],[],"","","","","","","","","","","","",""
61,"CurrencyProphecySilverCoin","Art/2DItems/Currency/Tattoos/NavaliSilverCoin.dds","Metadata/Items/Currency/CurrencyOrb.ao",656,1997,"",[],[],[],[],[],[],[],"","","","","","","","",17,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],[],[],[],[],[],[],[],"","","","","","","","","",0,"","","","",[],[],[],[],[],[],"","","","","","","","","","","","",""
62,"CurrencyProphecy","Art/2DItems/Currency/ProphecyOrbRed.dds","Metadata/Items/Currency/CurrencyOrb.ao",33,33939,"",[],[],[],[],[],[],[],"","","","","","","","",17,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],[],[],[],[],[],[],[],"","","","","","","","","",0,"","","","",[],[],[],[],[],[],"","","","","","","","","","","","",""
63,"CurrencyBestiaryOrb","Art/2DItems/Currency/BestiaryOrbEmpty.dds","Metadata/Items/Currency/CurrencyOrb.ao",33,4376,"",[],[],[],[],[],[],[],"","","","","","","","",17,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],[],[],[],[],[],[],[],"","","","","","","","","",0,"","","","",[],[],[],[],[],[],"","","","","","","","","","","","",""
64,"CurrencyBestiaryOrbImprint","Art/2DItems/Currency/BestiaryOrbFull.dds","Metadata/Items/Currency/CurrencyOrb.ao",33,4404,"",[],[],[],[],[],[],[],"","","","","","","","",17,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],[],[],[],[],[],[],[],"","","","","","","","","",0,"","","","",[],[],[],[],[],[],"","","","","","","","","","","","",""
