"rownum","MapPinsKey0","MapPinsKey1","QuestFlagStart","RestrictedAreaText","RestrictedAreaText (French)","RestrictedAreaText (German)","RestrictedAreaText (Japanese)","RestrictedAreaText (Korean)","RestrictedAreaText (Portuguese)","RestrictedAreaText (Russian)","RestrictedAreaText (Spanish)","RestrictedAreaText (Thai)","RestrictedAreaText (Traditional Chinese)","QuestFlagEnd","rid_72","rid_88","i32_104","i32_108"
35,139,145,"","","","","","","","","","","","","","",2,9
36,108,110,"","","","","","","","","","","","","","",2,9
37,110,166,"","","","","","","","","","","","","","",2,9
38,166,177,"","","","","","","","","","","","","","",2,9
39,102,109,"","","","","","","","","","","","","","",2,9
40,109,152,"","","","","","","","","","","","","","",2,9
41,152,157,"","","","","","","","","","","","","","",2,9
42,152,162,"","","","","","","","","","","","","","",2,9
43,162,164,"","","","","","","","","","","","","","",2,9
44,163,165,"","","","","","","","","","","","","","",2,9
45,107,224,1527,"","","","","","","","","","",4565,"",4565,2,9
46,108,113,"","","","","","","","","","","","","","",2,9
47,113,216,"","","","","","","","","","","","","","",2,9
48,104,111,4565,"","","","","","","","","","","","","",2,9
49,111,185,4565,"","","","","","","","","","","","","",2,9
50,185,194,"","","","","","","","","","","","","","",2,9
51,194,197,"","","","","","","","","","","","","","",2,9
52,104,112,"","","","","","","","","","","","","","",2,9
53,112,213,"","","","","","","","","","","","","","",2,9
54,233,240,"","","","","","","","","","","","","","",3,9
55,240,259,"","","","","","","","","","","","","","",3,9
56,240,306,"","","","","","","","","","","","","","",3,9
57,240,322,3853,"[DNT-UNUSED] You must find a way to unlock the door.","WIP","[DNT-UNUSED] You must find a way to unlock the door.","[DNT-UNUSED] You must find a way to unlock the door.","WIP","WIP","[DNT-UNUSED] You must find a way to unlock the door.","[DNT-UNUSED] You must find a way to unlock the door.","DNT","你需要找到方法已解鎖門扉。",3641,"","",3,0
58,240,326,"","","","","","","","","","","","","","",3,0
59,259,250,3854,"[DNT-UNUSED] You must find a way to access The Matlan Waterways.","WIP","[DNT-UNUSED] You must find a way to access The Matlan Waterways.","[DNT-UNUSED] You must find a way to access The Matlan Waterways.","[DNT-UNUSED] You must find a way to access The Matlan Waterways.","WIP","[DNT-UNUSED] You must find a way to access The Matlan Waterways.","[DNT-UNUSED] You must find a way to access The Matlan Waterways.","DNT","你需要找到通往瑪特蘭水道的方法。",3750,"","",3,9
60,250,301,"","","","","","","","","","","","","","",3,9
61,241,280,"","","","","","","","","","","","","","",3,9
62,241,246,"","","","","","","","","","","","","","",3,9
63,259,268,"","","","","","","","","","","","","","",3,9
64,259,241,"","","","","","","","","","","","","","",3,9
65,280,289,"","","","","","","","","","","","","","",3,9
66,280,313,"","","","","","","","","","","","","","",3,9
67,289,293,"","","","","","","","","","","","","","",3,9
68,290,294,"","","","","","","","","","","","","","",3,9
69,306,307,"","","","","","","","","","","","","","",3,9
70,306,317,"","","","","","","","","","","","","","",3,9
71,326,333,"","","","","","","","","","","","","","",3,9
72,333,340,"","","","","","","","","","","","","","",3,4
73,349,351,"","","","","","","","","","","","","","",4,9
74,351,360,"","","","","","","","","","","","","","",4,9
75,349,366,"","","","","","","","","","","","","","",4,9
76,366,369,"","","","","","","","","","","","","","",4,9
77,349,373,"","","","","","","","","","","","","","",4,9
78,373,380,"","","","","","","","","","","","","","",4,9
79,349,389,"","","","","","","","","","","","","","",4,9
80,389,392,"","","","","","","","","","","","","","",4,9
81,392,397,"","","","","","","","","","","","","","",4,4
82,349,399,"","","","","","","","","","","","","","",4,9
83,399,404,"","","","","","","","","","","","","","",4,9
84,349,411,"","","","","","","","","","","","","","",4,9
85,349,418,"","","","","","","","","","","","","","",4,9
86,349,419,"","","","","","","","","","","","","","",4,9
87,419,424,"","","","","","","","","","","","","","",4,9
88,349,429,"","","","","","","","","","","","","","",4,9
89,349,430,"","","","","","","","","","","","","","",4,9
90,430,435,"","","","","","","","","","","","","","",4,9
91,349,441,"","","","","","","","","","","","","","",4,9
92,446,447,"","","","","","","","","","","","","","",6,9
93,447,450,"","","","","","","","","","","","","","",6,9
94,447,457,"","","","","","","","","","","","","","",6,9
95,457,461,"","","","","","","","","","","","","","",6,9
96,461,466,"","","","","","","","","","","","","","",6,9
97,461,469,"","","","","","","","","","","","","","",6,9
98,472,473,"","","","","","","","","","","","","","",6,9
99,473,480,"","","","","","","","","","","","","","",6,9
100,480,483,"","","","","","","","","","","","","","",6,9
101,473,489,"","","","","","","","","","","","","","",6,9
102,489,494,"","","","","","","","","","","","","","",6,9
103,494,503,"","","","","","","","","","","","","","",6,9
104,512,513,"","","","","","","","","","","","","","",6,9
105,513,518,"","","","","","","","","","","","","","",6,9
106,518,528,"","","","","","","","","","","","","","",6,9
107,528,535,"","","","","","","","","","","","","","",6,9
108,528,540,"","","","","","","","","","","","","","",6,9
109,540,545,"","","","","","","","","","","","","","",6,9
110,545,550,"","","","","","","","","","","","","","",6,9
