"rownum","Id","ClassNo","Character","CoordinateRect","RGBFlavourTextColour","Name","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","FlavourText","FlavourText (French)","FlavourText (German)","FlavourText (Japanese)","FlavourText (Korean)","FlavourText (Portuguese)","FlavourText (Russian)","FlavourText (Spanish)","FlavourText (Thai)","FlavourText (Traditional Chinese)","OGGFile","PassiveTreeImage","TreeRegionVector","TreeRegionAngle","BackgroundImage","i32_88","Disabled","BaseAscendancy","UIArt","rid_117","rid_133","rid_149"
10,"Huntress2",2,8,"0,-650,1000,500","124,179,118","[DNT-UNUSED] Harpooner","[DNT-UNUSED] Harpooner","[DNT-UNUSED] Harpooner","[DNT-UNUSED] Harpooner","WIP","WIP","Хозяйка зверей","[DNT-UNUSED] Harpooner","DNT","WIP","","","","","","","","","","","","Art/2DArt/BaseClassIllustrations/AmazonAscendancy.dds",1332,120,1,135,1,"",3,"","",""
11,"Huntress3",3,8,"0,-550,1000,500","240,229,255","Ritualist","Ritualiste","Ritualistin","リチュアリスト","리추얼리스트","Ritualista","Ритуалист","Ritualista","Ritualist","儀式行者","Corruption cost you your home, but taught you so much more...","La Corruption vous a coûté votre foyer, mais vous a appris tellement plus...","Die Verderbtheit hat dich dein Zuhause gekostet, aber dich so viel mehr gelehrt …","穢れはお前から故郷を奪ったが、奪ったよりも遥かに多くのことを教えてくれた……","타락은 그대의 고향을 앗아 갔지만, 그보다 훨씬 많은 것을 가르쳤다...","A corrupção lhe custou seu lar, mas lhe ensinou muito mais...","Порча стоила тебе дома, но столькому тебя научила...","La corrupción te ha costado tu hogar, pero te ha enseñado mucho más...","พลังมลทินทำให้เจ้าสิ้นถิ่นอาศัย\r\nแต่ให้อะไรกับเจ้ามามากมาย...","腐化讓你犧牲了家園，卻也為此獲得了更強大的力量……","","Art/2DArt/BaseClassIllustrations/PrimalistAscendancy.dds",1332,120,1,135,"","",3,"","",""
12,"Witch1",1,1,"0,400,1000,500","255,165,126","Infernalist","Infernaliste","Infernalistin","インファーナリスト","인퍼널리스트","Infernalista","Инферналист","Infernalista","Infernalist","獄火師","You seek power at any cost... and there is no price too high to pay.","Vous recherchez le pouvoir coûte que coûte... et le prix à payer ne saurait être trop élevé.","Du suchst die Macht um jeden Preis ... und kein Preis ist zu hoch, um ihn zu zahlen.","お前はどんな代償を支払ってでも力を求める……そして高すぎる対価などない。","너는 무슨 수를 써서라도 힘을 얻으려 한다... 그리고 그 어떤 대가도 치를 준비가 되어 있다.","Você busca poder a qualquer custo… não há preço que seja alto demais.","Ты ищешь власти любой ценой... и нет цены, которая была бы слишком высока.","Buscas el poder a toda costa... y no hay ningún precio demasiado alto para ti.","เจ้าแสวงพลังอำนาจได้ทุกวิถีทาง...\r\nไม่ว่าสาหัสสากรรจ์ถึงเพียงใด","你不惜一切追尋力量……再高的代價對你來說都不是問題。","","Art/2DArt/BaseClassIllustrations/InfernalistAscendancy.dds",1332,0,1,135,"","",3,"","",""
13,"Witch2",2,1,"0,400,1000,500","234,213,159","Blood Mage","Mage de sang","Blutmagierin","ブラッドメイジ","블러드 메이지","Maga Sangrenta","Маг крови","Maga de sangre","Blood Mage","血法師","Your search for power took you on a journey inwards.","Votre quête de pouvoir vous a conduit à un voyage pour le moins intérieur.","Deine Suche nach Macht hat dich auf eine Reise ins Innere geführt.","お前の力の探求はお前の旅を内へと向けた。","힘을 찾는 과정이 너를 내면으로의 여정으로 이끌었다.","Sua busca por poder te levou a uma jornada interior.","Погоня за могуществом обернула твой путь вовнутрь.","Tu búsqueda de poder te ha llevado a adentrarte en tu interior.","เส้นทางแสวงพลังอำนาจของเจ้า\r\nนำพาเข้ามาสู่ภายใน","你對力量的探尋帶領你踏上一場內心的旅程。","","Art/2DArt/BaseClassIllustrations/BloodMageAscendancy.dds",1332,0,1,135,"","",3,"","",""
14,"Witch3",3,1,"0,400,1000,500","214,229,254","Lich","Liche","Lich","リッチ","리치","Lich","Лич","Liche","Lich","巫妖","Death is your domain, your flesh merely a material to be mastered.","La mort est votre domaine, votre chair n'est qu'une matière à maîtriser.","Der Tod ist dein Reich, dein Fleisch nur ein Material, das es zu beherrschen gilt.","死はお前の領域であり、お前の肉体は支配すべき素材に過ぎない。","죽음은 너의 영역이며, 네 육신은 다루는 법을 익혀야 할 소재일 뿐이다.","A morte é o seu domínio, sua carne não passa de um material a ser dominado.","Смерть – твоё поприще, а собственная плоть – лишь материал для твоего искусства.","La muerte es tu dominio, y tu carne simplemente un material a dominar.","ความตายเป็นถิ่นเจ้า เนื้อหนังเจ้าเป็นวัตถุ มีไว้ใช้สอยให้ชำนาญ","死亡由你統領，你的軀體只是供差遣的媒介。","","Art/2DArt/BaseClassIllustrations/LichAscendancy.dds",1332,0,1,135,"","",5,"","",""
15,"Witch3b",6,1,"0,400,1000,500","214,229,254","Abyssal Lich","Liche abyssale","Abgründiger Lich","アビサルリッチ","심연의 리치","Lich Abissal","Лич Бездны","Liche abisal","Abyssal Lich","深淵妖巫","The Well of Souls is yours to command.","Le Puits des Âmes est à votre service.","Der Brunnen der Seelen folgt Eurem Befehl.","魂の井戸はお前に従う。","영혼의 우물의 힘이 그대의 것이다.","O Poço das Almas está à sua disposição.","Колодец душ подвластен тебе.","El Pozo de las almas está a tu disposición.","บ่อวิญญาณมีไว้ให้เจ้าบัญชาได้ดังใจอยาก","靈魂深井任你操控。","","Art/2DArt/BaseClassIllustrations/LichAbyssalAscendancy.dds",1332,0,1,135,"",14,6,1135,1136,1137
16,"Sorceress1",1,7,"0,400,1000,500","227,191,255","Stormweaver","Tisseuse d'orages","Sturmweberin","ストームウィーバー","스톰위버","Tempesta","Ткач бурь","Tejetormentas","Stormweaver","風暴編織者","The rumble of thunder heralds your approach. Woe to those that draw your ire.","Le grondement du tonnerre annonce votre approche. Malheur à ceux qui s'attirent vos foudres.","Das Grollen des Donners kündigt dein Kommen an. Wehe dem, der deinen Zorn auf sich zieht.","雷鳴がお前の訪れを告げる。お前の怒りを招く者には悲劇が待っている。","우르릉거리는 천둥이 네가 다가오고 있음을 알린다. 네 진노의 대상에게는 안타까운 일이지.","O estrondo do trovão anuncia sua chegada. Ai daqueles que despertarem sua ira.","Грохот грома возвещает о твоём прибытии. Горе тем, кто вызовет твой гнев.","El retumbar del trueno anuncia tu llegada. Ay de aquellos que despierten tu ira.","ฟ้าสนั่นประกาศกร้าวยามเจ้าเยือน\r\nเป็นคำเตือนแก่ทุกผู้ที่อวดกล้า","閃電的轟鳴預示著你的到來。引來你怒火的人即將大難臨頭。","","Art/2DArt/BaseClassIllustrations/StormcallerAscendancy.dds",1332,0,1,135,"","",3,"","",""
17,"Sorceress2",2,7,"0,550,800,500","191,209,255","Chronomancer","Chronomancienne","Chronomantin","クロノマンサー","크로노맨서","Cronomante","Хрономант","Cronomante","Chronomancer","時空幻術師","The tapestry of time is yours to weave; an element you alone may master.","Il vous incombe de tisser la toile du temps, un élément que vous seule pouvez maîtriser.","Der Wandel der Zeit ist dein Werk, ein Element, dessen Beherrschung in deinen Händen liegt.","時のタペストリーはお前が紡ぐ物。お前だけが極めることができる原理。","시간의 융단은 네가 엮어갈 몫이다. 오직 너만이 숙달될 수 있다.","Você manipula o próprio tempo; um elemento que somente você pode dominar.","Тебе дано плести ткань времени; материю, коей можешь овладеть лишь ты.","En tus manos está tejer el tapiz del tiempo; un elemento que solo tú puedes dominar.","กาลเวลาเป็นเส้นใยให้เจ้าสาน\r\nเป็นบริวารที่เจ้าคุมได้เพียงผู้เดียว","時間的錦織由你編製，這是只有你能掌控的元素。","","Art/2DArt/BaseClassIllustrations/ChronomancerAscendancy.dds",1332,0,1,135,"","",3,"","",""
18,"Sorceress3",3,7,"0,400,700,500","154,195,201","[DNT-UNUSED] Surfcaster","Disciple du Djinn","Jüngerin der Djinn","ディサイプルオブジン","디사이플 오브 더 진","Discípulo do Djinn","Ученица Джинна","Discípula del genio","Disciple of the Djinn","巨靈門徒","","Sous votre commandement, ils gagneront leur rédemption... une victoire à la fois.","Auf deinen Befehl hin werden sie Erlösung erlangen ... mit einem Sieg nach dem anderen.","君の命令により、彼らは名誉を取り戻す……一勝ずつ。","그대의 명령에, 그들이 구원을 얻으리라... 승리를 거둘 때마다 조금씩.","Sob seu comando, eles conquistarão a redenção... a cada vitória.","Под твоим началом они заслужат искупление... по одной победе за раз.","Bajo tus órdenes, se ganarán la redención... con cada victoria.","พวกมันจะได้ไถ่บาปเมื่ออยู่ใต้อาณัติเจ้า... ด้วยชัยชนะแต่ละครั้ง","在你的指揮下，他們將贏得救贖……一次一場勝利。","","Art/2DArt/BaseClassIllustrations/ChronomancerAscendancy.dds",1332,0,1,135,1,"",3,"","",""
19,"Duelist1",1,3,"0,-650,700,500","150,175,200","[DNT-UNUSED] Giller","[DNT-UNUSED] Giller","[DNT-UNUSED] Giller","[DNT-UNUSED] Giller","WIP","WIP","Меченый смертью","[DNT-UNUSED] Giller","DNT","死亡標記","","","","","","","","","","","","Art/2DArt/BaseClassIllustrations/TacticianAscendancy.dds",1332,180,1,135,"","",3,"","",""
20,"Duelist2",2,3,"0,-650,700,500","150,175,200","[DNT-UNUSED] Filleter","[DNT-UNUSED] Filleter","[DNT-UNUSED] Filleter","[DNT-UNUSED] Filleter","WIP","WIP","Гладиатор","[DNT-UNUSED] Filleter","DNT","WIP","","","","","","","","","","","","Art/2DArt/BaseClassIllustrations/TacticianAscendancy.dds",1332,180,1,135,"","",3,"","",""
21,"Duelist3",3,3,"0,-650,700,500","150,175,200","[DNT-UNUSED] Waterman","[DNT-UNUSED] Waterman","[DNT-UNUSED] Waterman","[DNT-UNUSED] Waterman","WIP","WIP","Чемпион","[DNT-UNUSED] Waterman","DNT","WIP","","","","","","","","","","","","Art/2DArt/BaseClassIllustrations/TacticianAscendancy.dds",1332,180,1,135,"","",3,"","",""
22,"Mercenary1",1,9,"0,-600,1000,500","240,230,174","Tactician","Tacticien","Taktiker","タクティシャン","택티션","Estrategista","Тактик","Estratega","Tactician","智勇軍師","Countless wars have left you with skills somewhat resembling a decent officer...","D'innombrables guerres vous ont doté de compétences qui s'apparentent quelque peu à celles d'un bon officier...","Unzählige Kriege haben dir Fähigkeiten beschert, die einem anständigen Offizier gleichkommen …","数え切れぬ戦がお前にそれなりの将校に見えるくらいの技術を残していった。","숱한 전쟁을 거치며 품위 있는 장교에 견줄 만도 한 역량을 갖게 되었다...","Inúmeras guerras te deram habilidades que lembram as de um oficial decente…","Бессчётные войны научили тебя навыкам, подобающим неплохому офицеру...","Incontables guerras te han dejado habilidades algo parecidas a las de un oficial decente...","ผ่านศึกสงครามมาเนิ่นนาน\r\nก่อให้เกิดทักษะประหนึ่งนายทหาร...","經歷無數場戰爭後，你運籌帷幄的技巧已不亞於一位能堪重任的軍官……","","Art/2DArt/BaseClassIllustrations/TacticianAscendancy.dds",1332,180,1,135,"","",3,"","",""
23,"Mercenary2",2,9,"0,-600,1000,500","189,233,225","Witchhunter","Chasseur de sorcières","Hexenjäger","ウィッチハンター","위치헌터","Caçador de Bruxas","Охотник на ведьм","Cazador de brujas","Witchhunter","女巫獵人","There's something very wrong with this world... and you're going to fix it.","Ce monde fait face à de graves problèmes...et vous en êtes la solution.","Mit dieser Welt stimmt etwas überhaupt nicht ... und du wirst es in Ordnung bringen.","この世界では何ががとても間違っている……そしてお前はそれを直すのだ。","이 세상은 단단히 잘못됐다... 그대가 그것을 바로잡으리라.","Há algo muito errado com este mundo… e você vai consertar.","С этим миром что-то в корне не так... и ты намерен это исправить.","Algo terrible está ocurriendo en este mundo... y tú vas a arreglarlo.","โลกใบนี้ผิดแผกพิกลนัก...\r\nเจ้าจักแก้ไขให้ถูกต้อง","這個世界有哪裡非常不對勁……而你打算親自導正錯誤。","","Art/2DArt/BaseClassIllustrations/WitchhunterAscendancy.dds",1332,180,1,135,"","",3,"","",""
24,"Mercenary3",3,9,"0,-600,1000,500","224,221,179","Gemling Legionnaire","Légionnaire Serti","Gemmling-Legionär","ジェムリングリージョネア","젬링 리저네어","Legionário Gemante","Легионер каменитов","Legionario gemita","Gemling Legionnaire","古靈軍團","The more you embrace virtue gems, the more power they offer...","Les gemmes de vertu récompensent toujours ceux qui les approchent d'un peu plus près...","Je mehr du dich den Machtgemmen hingibst, desto mehr Macht verleihen sie dir …","美徳の宝石は受け入れるほど、多くの力を与える……","힘의 마석은 더 많이 받아들일수록 더 큰 힘을 준다...","Quanto mais você abraçar as gemas virtuosas, mais poder elas oferecem…","Чем ближе ты к камням добродетели, тем больше власти они дают...","Cuanto más utilizas las gemas de virtud, más poder te ofrecen...","ยิ่งเปิดรับมณีบารมีมากเพียงใด\r\nยิ่งได้พลังอำนาจมากขึ้นทุกที...","你越是接納古靈寶石，它們就會給予越多力量……","","Art/2DArt/BaseClassIllustrations/GemlingAscendancy.dds",1332,180,1,135,"","",3,"","",""
25,"Templar1",1,5,"150,400,700,500","207,189,138","[DNT-UNUSED] Seaman","[DNT-UNUSED] Seaman","[DNT-UNUSED] Seaman","[DNT-UNUSED] Seaman","WIP","WIP","Инквизитор","[DNT-UNUSED] Seaman","DNT","WIP","","","","","","","","","","","","Art/2DArt/BaseClassIllustrations/InquisitorAscendency.dds",1332,300,1,135,"","",3,"","",""
26,"Templar2",2,5,"150,400,700,500","207,189,138","[DNT-UNUSED] Trawler","[DNT-UNUSED] Trawler","[DNT-UNUSED] Trawler","[DNT-UNUSED] Trawler","WIP","WIP","Еретик","[DNT-UNUSED] Trawler","DNT","WIP","","","","","","","","","","","","Art/2DArt/BaseClassIllustrations/ShamanAscendancy.dds",1332,300,1,135,"","",3,"","",""
27,"Templar3",3,5,"150,400,700,500","207,189,138","[DNT-UNUSED] Boatman","[DNT-UNUSED] Boatman","[DNT-UNUSED] Boatman","[DNT-UNUSED] Boatman","WIP","WIP","Защитник","[DNT-UNUSED] Boatman","DNT","WIP","","","","","","","","","","","","Art/2DArt/BaseClassIllustrations/ShamanAscendancy.dds",1332,300,1,135,"","",3,"","",""
28,"Druid1",1,11,"150,400,700,500","207,189,138","[DNT-UNUSED] Netter","[DNT-UNUSED] Netter","[DNT-UNUSED] Netter","[DNT-UNUSED] Netter","WIP","WIP","Шаман","[DNT-UNUSED] Netter","DNT","WIP","","","","","","","","","","","","Art/2DArt/BaseClassIllustrations/ShamanAscendancy.dds",1332,300,1,135,"","",3,"","",""
29,"Druid2",2,11,"150,400,700,500","207,189,138","[DNT-UNUSED] Poacher","[DNT-UNUSED] Poacher","[DNT-UNUSED] Poacher","[DNT-UNUSED] Poacher","WIP","WIP","Оракул","[DNT-UNUSED] Poacher","DNT","WIP","","","","","","","","","","","","Art/2DArt/BaseClassIllustrations/ShamanAscendancy.dds",1332,300,1,135,"","",3,"","",""
30,"Druid3",3,11,"150,400,700,500","207,189,138","[DNT-UNUSED] Wildfowler","[DNT-UNUSED] Wildfowler","[DNT-UNUSED] Wildfowler","[DNT-UNUSED] Wildfowler","WIP","WIP","[DNT-UNUSED] Wildfowler","[DNT-UNUSED] Wildfowler","DNT","WIP","","","","","","","","","","","","Art/2DArt/BaseClassIllustrations/ShamanAscendancy.dds",1332,300,1,135,"","",3,"","",""
31,"Shadow1",1,4,"-150,400,700,500","114,129,141","[DNT-UNUSED] Ice Fisher","[DNT-UNUSED] Ice Fisher","[DNT-UNUSED] Ice Fisher","[DNT-UNUSED] Ice Fisher","WIP","WIP","Убийца","[DNT-UNUSED] Ice Fisher","DNT","WIP","","","","","","","","","","","","Art/2DArt/BaseClassIllustrations/AcolyteofChayulaAscendancy.dds",1332,60,1,135,"","",3,"","",""
32,"Shadow2",2,4,"-150,400,700,500","114,129,141","[DNT-UNUSED] Longliner","[DNT-UNUSED] Longliner","[DNT-UNUSED] Longliner","[DNT-UNUSED] Longliner","WIP","WIP","Призрак","[DNT-UNUSED] Longliner","DNT","幻像","","","","","","","","","","","","Art/2DArt/BaseClassIllustrations/AcolyteofChayulaAscendancy.dds",1332,60,1,135,"","",3,"","",""
33,"Shadow3",3,4,"-150,400,700,500","114,129,141","[DNT-UNUSED] Dredger","[DNT-UNUSED] Dredger","[DNT-UNUSED] Dredger","[DNT-UNUSED] Dredger","WIP","WIP","Диверсант","[DNT-UNUSED] Dredger","DNT","WIP","","","","","","","","","","","","Art/2DArt/BaseClassIllustrations/AcolyteofChayulaAscendancy.dds",1332,60,1,135,"","",3,"","",""
34,"Monk1",1,10,"0,400,1000,500","114,129,141","[DNT-UNUSED] Kite Fisher","[DNT-UNUSED] Kite Fisher","[DNT-UNUSED] Kite Fisher","[DNT-UNUSED] Kite Fisher","WIP","WIP","Мастер единоборств","[DNT-UNUSED] Kite Fisher","DNT","WIP","","","","","","","","","","","","Art/2DArt/BaseClassIllustrations/AcolyteofChayulaAscendancy.dds",1332,60,1,135,1,"",3,"","",""
35,"Monk2",2,10,"0,400,1000,500","199,184,238","Invoker","Évocateur","Heraufbeschwörer","インヴォーカー","인보커","Arkano","Заклинатель стихий","Invocador","Invoker","施法者","True strength lies within. One must only focus... and believe.","La véritable force se trouve à l'intérieur. Il suffit juste de se concentrer... et d'y croire.","Wahre Stärke kommt von innen. Man muss sich nur darauf konzentrieren ... und an sich glauben.","真なる力は己の内にある。必要なのは集中することと……信じることだ。","진정한 힘은 내면에 있는 것. 그저 집중하고... 믿으면 된다.","A força verdadeira vem de dentro. Você só precisa se concentrar… e acreditar.","Настоящая сила сокрыта внутри. Надо лишь сконцентрироваться... и поверить.","La verdadera fuerza se encuentra en el interior. Solo hay que concentrarse... y creer.","พละกำลังแท้จริงแฝงอยู่ภายใน\r\nเพียงแค่ตั้งสติ... แล้วศรัทธา","真正的力量潛藏其中。唯一的作法只有專注……和相信。","","Art/2DArt/BaseClassIllustrations/InvokerAscendancy.dds",1332,60,1,135,"","",3,"","",""
36,"Monk3",3,10,"0,400,1000,500","255,211,220","Acolyte of Chayula","Acolyte de Chayula","Akolyth von Chayula","アコライトオブチャユラ","애컬라이트 오브 차율라","Acólito de Chayula","Служитель Чаюлы","Acólito de Chayula","Acolyte of Chayula","夏烏拉侍僧","The truth of your faith threatens to break your very soul... but in that struggle lies power beyond belief.","La vérité de votre foi menace de briser votre âme à chaque instant... mais dans cette lutte incessante réside un pouvoir au-delà de toute croyance.","Die Wahrheit deines Glaubens droht deine Seele zu zerbrechen ... aber in diesem Schmerz verbirgt sich eine unvorstellbare Kraft.","お前の信仰の真実はお前の魂を壊しそうになっている……だがその苦悩にこそ信じられぬほどの力が眠っている。","네 신념의 진실이 네 영혼 자체를 파괴하려 위협하지만... 그 고난의 과정에는 믿을 수 없는 힘이 담겨 있다.","A verdade da sua fé ameaça quebrar sua alma… mas nesta batalha há um poder além da imaginação.","Правда о твоей вере угрожает сломить саму твою душу... но в этом противоборстве лежит немыслимая сила.","La verdad de tu fe amenaza con romper tu alma... pero en esa lucha se encuentra un poder increíble.","สัจธรรมของศาสนาเจ้าเฝ้าทำลายวิญญาณ...\r\nทว่าการดิ้นรนแฝงพลังเหนือศรัทธาใด","信仰的真相威脅著要撕碎你的靈魂……但在這份煎熬之中，蘊藏著難以置信的力量。","","Art/2DArt/BaseClassIllustrations/AcolyteofChayulaAscendancy.dds",1332,60,1,135,"","",3,"","",""
