"rownum","Map","i32_16","Biomes","AdjacentBiomes","i32_52","[i32]_56"
142,147,0,[2],[],0,[0]
143,148,0,[1],[],0,[0]
144,149,0,[4],[],0,[0]
145,151,0,[10],[],0,[28]
146,152,0,[10],[],0,[18]
147,153,0,[10],[],0,[28]
148,154,0,[10],[],0,[4]
149,154,1,[10],[],0,[2]
150,155,0,[10],[],0,[28]
151,156,0,[10],[],0,[28]
152,157,0,[10],[],0,[28]
153,158,0,[10],[],0,[28]
154,159,0,[10],[],0,[28]
155,160,0,[10],[],0,[28]
156,161,0,"[2,5,11,9]",[],0,"[25,25,100,125]"
157,162,0,"[1,11]",[],0,"[50,100]"
158,163,0,"[2,11]",[],0,"[30,100]"
159,165,0,"[0,10]",[],0,"[30,60]"
160,164,0,"[2,3]",[],0,"[33,33,33]"
161,166,0,"[2,4]",[],0,[0]
162,169,0,[],[],0,[0]
163,86,0,[1],[],0,[3]
164,172,0,"[1,5]",[],0,"[33,100]"
165,171,0,"[1,5,9]",[5],0,"[33,100,100]"
166,1,1,"[2,3,11]",[],0,"[24,40,75]"
167,2,1,"[2,5,11,9]",[],0,"[22,44,70,70]"
168,3,1,"[5,11,9]",[],0,"[62,100,100]"
169,4,1,"[6,2,11,9]",[],0,"[25,20,65,65]"
170,6,1,"[0,10]","[2,3]",2,"[34,66]"
171,7,1,"[1,5]",[],0,"[35,62]"
172,8,1,"[4,5,11,9]",[],0,"[55,62,100,100]"
173,9,1,"[3,4,11]",[],0,"[54,55,100]"
174,10,1,"[3,11,9]",[],0,"[54,100,100]"
175,11,1,"[4,11,9]",[],0,"[55,100,100]"
176,12,1,"[3,11,9]",[],0,"[54,100,125]"
177,13,1,"[7,5,1,11,9]",[],0,"[11,45,25,70,70]"
178,14,1,"[1,11]",[],0,"[35,100]"
179,15,1,"[6,3,9]",[],0,"[33,54,100]"
180,16,1,"[2,5]",[],0,"[17,35]"
181,17,1,"[2,3,11,9]",[],0,"[23,40,75,75]"
182,18,1,"[2,4,3]",[],0,"[15,30,30]"
183,19,1,"[3,9]",[],0,"[54,100]"
184,20,1,"[2,11,9]",[],0,"[32,100,125]"
185,21,1,"[2,5,9]",[],0,"[20,44,65]"
186,22,1,"[3,11,9]",[],0,"[54,100,100]"
187,23,1,"[2,5]",[],0,"[18,40]"
188,24,1,"[8,4]",[],0,"[50,55]"
189,25,1,"[3,11,9]",[],0,"[54,100,100]"
190,26,1,"[1,4,5,11]",[],0,"[25,45,42,80]"
191,27,1,"[2,4,3,11]",[],0,"[18,30,30,54]"
192,28,1,"[1,3,11]",[],0,"[35,54,100]"
193,30,1,"[2,4,3]",[],0,"[18,18,30]"
194,31,1,"[2,3,11,9]",[],0,"[23,40,75,75]"
195,32,1,"[3,11,9]",[],0,"[54,100,100]"
196,33,1,"[0,10]",[5],2,"[34,66]"
197,34,1,"[2,4,3,11,9]",[],0,"[12,25,25,55,55]"
198,35,1,"[5,9]",[],0,"[62,100]"
199,36,1,"[6,2,9]",[],0,"[28,14,57]"
200,37,1,"[5,9]",[],0,"[62,100]"
201,39,1,"[7,5,1,11]",[],0,"[25,45,24,75]"
202,40,1,"[7,5,11]",[],0,"[33,62,100]"
203,42,1,"[0,10,11]",[],0,"[34,66,100]"
204,60,1,"[5,11,9]",[],0,"[62,100,125]"
205,61,1,"[3,4,11,9]",[],0,"[54,55,100,100]"
206,62,1,"[4,9]",[],0,"[55,100]"
207,63,1,"[4,11,9]",[],0,"[55,100,100]"
208,68,1,"[8,4]",[],0,"[50,55]"
209,69,1,"[7,5]",[],0,"[50,62]"
210,71,1,"[8,2,9]",[],0,"[20,12,50]"
211,79,1,"[1,11]",[],0,"[35,100]"
212,80,1,"[3,4,11]",[],0,"[54,55,100]"
213,87,1,"[5,9]",[],0,"[62,125]"
214,88,1,"[3,11,9]",[],0,"[54,100,100]"
215,89,1,"[0,10]",[],0,"[34,66]"
216,90,1,"[4,11,9]",[],0,"[55,50,100]"
217,91,1,"[5,9]",[],0,"[62,100]"
218,92,1,"[0,10]",[],0,"[34,66]"
219,93,1,"[1,2,3]",[],0,"[20,18,28]"
220,94,1,"[0,10,11]","[2,3,1]",2,"[34,66,100]"
221,95,1,"[0,10]",[],0,"[34,66]"
222,96,1,"[0,10,11]",[],0,"[34,66,100]"
223,97,1,"[2,3,0,10,11,9]","[0,10]",2,"[24,40,24,66,100,75]"
224,109,1,"[1,11]",[],0,"[35,25,100]"
225,110,1,"[3,4]",[],0,"[54,55]"
226,112,1,"[1,5,11,9,7]",[],0,"[23,42,75,75,33]"
227,113,1,"[0,2,10,11]","[0,10]",2,"[34,32,66,40,100]"
228,114,1,"[5,9]",[],0,"[62,100]"
229,115,1,[8],[],0,"[25,25,25]"
230,116,1,"[1,5,11,9]",[],0,"[35,62,100,100]"
231,117,1,"[4,3,11]",[],0,"[55,54,0]"
232,118,1,"[3,11,9]",[],0,"[54,100,100]"
233,119,1,"[2,11,9]",[],0,"[32,100,100]"
234,122,1,"[5,11]",[],0,"[62,100]"
235,124,1,"[3,11,9]",[],0,"[54,100,125]"
236,161,1,"[2,5,11,9]",[],0,"[18,46,75,100]"
237,162,1,"[1,11]",[],0,"[35,100]"
238,163,1,"[2,11]",[],0,"[32,100]"
239,165,1,"[0,10]",[],0,"[34,66]"
240,164,1,"[2,3]",[],0,"[21,35]"
241,172,1,"[1,5]",[],0,"[35,62]"
242,171,1,"[1,5,9]",[5],0,"[35,62,100]"
