"rownum","Id","StoredItem","XOffset","YOffset","FirstSlotIndex","Width","Height","ShowIfEmpty","SlotSize","SlotStyle"
40,"Metadata/Items/Currency/CurrencyLesserEssenceChaos",94,44,840,41,1,1,1,70,0
41,"Metadata/Items/Currency/CurrencyLesserEssenceAttack",95,578,570,42,1,1,1,70,0
42,"Metadata/Items/Currency/CurrencyLesserEssenceCaster",96,578,210,43,1,1,1,70,0
43,"Metadata/Items/Currency/CurrencyLesserEssenceSpeed",97,578,300,44,1,1,1,70,0
44,"Metadata/Items/Currency/CurrencyLesserEssenceAttribute",98,578,660,45,1,1,1,70,0
45,"Metadata/Items/Currency/CurrencyPerfectEssenceLife",123,289,30,46,1,1,1,70,3
46,"Metadata/Items/Currency/CurrencyPerfectEssenceMana",124,289,120,47,1,1,1,70,3
47,"Metadata/Items/Currency/CurrencyPerfectEssenceDefences",125,289,210,48,1,1,1,70,3
48,"Metadata/Items/Currency/CurrencyPerfectEssencePhysical",126,823,120,49,1,1,1,70,3
49,"Metadata/Items/Currency/CurrencyPerfectEssenceFire",127,289,300,50,1,1,1,70,3
50,"Metadata/Items/Currency/CurrencyPerfectEssenceCold",128,289,480,51,1,1,1,70,3
51,"Metadata/Items/Currency/CurrencyPerfectEssenceLightning",129,289,660,52,1,1,1,70,3
52,"Metadata/Items/Currency/CurrencyPerfectEssenceChaos",130,289,840,53,1,1,1,70,3
53,"Metadata/Items/Currency/CurrencyPerfectEssenceAttack",131,823,570,54,1,1,1,70,3
54,"Metadata/Items/Currency/CurrencyPerfectEssenceCaster",132,823,210,55,1,1,1,70,3
55,"Metadata/Items/Currency/CurrencyPerfectEssenceSpeed",133,823,300,56,1,1,1,70,3
56,"Metadata/Items/Currency/CurrencyPerfectEssenceAttribute",134,823,660,57,1,1,1,70,3
57,"Metadata/Items/Currency/CurrencyLesserEssenceCritical",135,578,480,58,1,1,1,70,0
58,"Metadata/Items/Currency/CurrencyEssenceCritical",136,658,480,59,1,1,1,70,0
59,"Metadata/Items/Currency/CurrencyGreaterEssenceCritical",137,738,480,60,1,1,1,70,2
60,"Metadata/Items/Currency/CurrencyPerfectEssenceCritical",138,823,480,61,1,1,1,70,3
61,"Metadata/Items/Currency/CurrencyCorruptedEssenceAbyss",143,394,840,62,1,1,1,70,3
62,"Metadata/Items/Currency/CurrencyLesserEssenceFireResist",145,44,390,63,1,1,1,70,0
63,"Metadata/Items/Currency/CurrencyEssenceFireResist",146,124,390,64,1,1,1,70,0
64,"Metadata/Items/Currency/CurrencyGreaterEssenceFireResist",147,204,390,65,1,1,1,70,2
65,"Metadata/Items/Currency/CurrencyPerfectEssenceFireResist",148,289,390,66,1,1,1,70,3
66,"Metadata/Items/Currency/CurrencyLesserEssenceColdResist",149,44,570,67,1,1,1,70,0
67,"Metadata/Items/Currency/CurrencyEssenceColdResist",150,124,570,68,1,1,1,70,0
68,"Metadata/Items/Currency/CurrencyGreaterEssenceColdResist",151,204,570,69,1,1,1,70,2
69,"Metadata/Items/Currency/CurrencyPerfectEssenceColdResist",152,289,570,70,1,1,1,70,3
70,"Metadata/Items/Currency/CurrencyLesserEssenceLightningResist",153,44,750,71,1,1,1,70,0
71,"Metadata/Items/Currency/CurrencyEssenceLightningResist",154,124,750,72,1,1,1,70,0
72,"Metadata/Items/Currency/CurrencyGreaterEssenceLightningResist",155,204,750,73,1,1,1,70,2
73,"Metadata/Items/Currency/CurrencyPerfectEssenceLightningResist",156,289,750,74,1,1,1,70,3
74,"Metadata/Items/Currency/CurrencyLesserEssenceSpeedCaster",157,578,390,75,1,1,1,70,0
75,"Metadata/Items/Currency/CurrencyEssenceSpeedCaster",158,658,390,76,1,1,1,70,0
76,"Metadata/Items/Currency/CurrencyGreaterEssenceSpeedCaster",159,738,390,77,1,1,1,70,2
77,"Metadata/Items/Currency/CurrencyPerfectEssenceSpeedCaster",160,823,390,78,1,1,1,70,3
78,"Metadata/Items/Currency/CurrencyLesserEssenceRarity",161,578,750,79,1,1,1,70,0
79,"Metadata/Items/Currency/CurrencyEssenceRarity",162,658,750,80,1,1,1,70,0
80,"Metadata/Items/Currency/CurrencyGreaterEssenceRarity",163,738,750,81,1,1,1,70,2
81,"Metadata/Items/Currency/CurrencyPerfectEssenceRarity",164,823,750,82,1,1,1,70,3
82,"Metadata/Items/Currency/CurrencyLesserEssenceAlly",165,578,30,83,1,1,1,70,0
83,"Metadata/Items/Currency/CurrencyEssenceAlly",166,658,30,84,1,1,1,70,0
84,"Metadata/Items/Currency/CurrencyGreaterEssenceAlly",167,738,30,85,1,1,1,70,2
85,"Metadata/Items/Currency/CurrencyPerfectEssenceAlly",168,823,30,86,1,1,1,70,3
86,"Metadata/Items/Currency/CurrencyCorruptedEssenceBreach",144,474,840,87,1,1,1,70,3
