"rownum","Id","InventoryIdKey","InventoryTypeKey","bool_16","bool_17","i32_18","bool_22","i32_23","rid_27","EffectPack"
61,"DONOTUSE4",12,3,"","",2,1,31,"",[]
62,"SkillSlots1",41,15,"","",1,"",31,"",[]
63,"Currency1",42,5,"","",5,"",31,"",[]
64,"MapCurrency1",43,3,"","",1,"",31,"",[]
65,"MobileMapInventory1",12,64,"","",5,"",31,"",[]
66,"UltimatumCraftingItem",44,2,1,"",4,"",31,"",[]
67,"DelveCraftingItem",15,1,1,"",1,"",31,"",[]
68,"MobileHeldMapsInventory1",12,5,"","",5,"",31,"",[]
69,"DONOTUSE7",29,14,"","",9,1,31,"",[]
70,"HellscapeModificationInventory1",45,6,"","",5,"",31,"",[]
71,"DONOTUSE6",15,1,1,"",1,"",31,"",[]
72,"SentinelDroneInventory1",48,6,"","",2,"",31,"",[]
73,"SentinelStorage1",49,37,"","",10,1,31,"",[]
74,"LakeTabletInventory1",50,1,1,"",1,"",31,"",[]
75,"MemoryLineMaps",12,5,"","",1,1,31,"",[]
76,"Relics1",52,5,"","",4,"",31,"",[]
77,"RelicStorage1",53,12,"","",12,1,31,"",[]
78,"SanctumSpecialRelic1",54,1,1,1,2,"",31,"",[]
79,"Weapon3",2,2,1,1,4,"",4,"",[]
80,"Offhand3",3,2,1,1,4,"",5,"",[]
81,"MobileSkillGemCrafting1",15,1,1,"",1,"",31,"",[]
82,"CurrentSanctumRun1",55,1,1,"",1,"",31,"",[]
83,"MercenaryCompanionBodyArmour1",1,2,1,"",3,"",31,"",[]
84,"MercenaryCompanionHelm1",4,2,1,"",2,"",31,"",[]
85,"MercenaryCompanionGloves1",7,2,1,"",2,"",31,"",[]
86,"MercenaryCompanionBoots1",8,2,1,"",2,"",31,"",[]
87,"MercenaryCompanionWeapon1",2,2,1,"",4,"",31,"",[]
88,"MercenaryCompanionOffhand1",3,2,1,"",4,"",31,"",[]
89,"ThreeToOneOutput",15,2,1,"",4,"",31,"",[]
90,"UNUSED1",17,2,1,"",2,"",31,"",[]
91,"ThreeToOneInput",15,6,"","",4,"",31,"",[]
92,"UNUSED2",17,2,1,"",2,"",31,"",[]
93,"UltimatumKey1",56,1,1,"",1,"",31,"",[]
94,"DefaultAttackSkills1",57,3,"","",2,"",31,"",[]
95,"AscendancySkills1",57,8,"","",1,"",31,"",[]
96,"Tower1",58,4,"","",1,"",31,"",[]
97,"ExpandedInventory1",0,4,"","",5,"",31,"",[]
98,"ExpeditionDeal2",15,2,1,"",4,"",31,"",[]
99,"ExpeditionDeal3",15,2,1,"",4,"",31,"",[]
100,"UltimatumKeySacrifice1",59,1,1,"",1,"",31,"",[]
101,"Ring3",6,1,1,1,1,"",31,"",[]
102,"RecombinatorInput",15,8,"","",4,"",31,"",[]
103,"RecombinatorOutput",15,4,1,"",4,"",31,"",[]
104,"EndgameSplinters1",63,1,1,"",1,"",31,"",[]
105,"Chakra1",65,5,"","",1,"",31,"",[]
106,"CraftPredictionScratch",15,6,"","",4,"",31,"",[]
107,"IncursionLegLeft",66,1,1,1,1,"",31,"",[]
108,"IncursionLegRight",66,1,1,1,1,"",31,"",[]
109,"IncursionArmLeft",67,1,1,1,1,"",31,"",[]
110,"IncursionArmRight",67,1,1,1,1,"",31,"",[]
111,"IncursionRewardBench1",68,4,1,"",4,"",31,"",[]
112,"BrequelExchange",15,60,"","",1,1,31,"",[3]
113,"LoreweaveExchange",15,60,"","",1,1,31,"",[]
114,"UNUSED3",17,2,1,"",3,"",31,"",[]
115,"LoreweaveExchangeOutput",15,4,"","",3,1,31,"",[]
116,"RiteOfTheNameless1",70,1,1,"",1,1,31,"",[]
117,"BereksTamingExchangeInput",15,3,"","",1,1,31,"",[7]
118,"BereksTamingExchangeOutput",15,1,1,"",1,1,31,"",[]
