"rownum","BaseItemType","StackSize","CurrencyUseType","Action","Directions","Directions (French)","Directions (German)","Directions (Japanese)","Directions (Korean)","Directions (Portuguese)","Directions (Russian)","Directions (Spanish)","Directions (Thai)","Directions (Traditional Chinese)","FullStack_BaseItemType","Description","Description (French)","Description (German)","Description (Japanese)","Description (Korean)","Description (Portuguese)","Description (Russian)","Description (Spanish)","Description (Thai)","Description (Traditional Chinese)","Usage_AchievementItems","Scroll","Possession_AchievementItem","[rid]_97","[i32]_113","CurrencyTab_StackSize","XBoxDirections","XBoxDirections (French)","XBoxDirections (German)","XBoxDirections (Japanese)","XBoxDirections (Korean)","XBoxDirections (Portuguese)","XBoxDirections (Russian)","XBoxDirections (Spanish)","XBoxDirections (Thai)","XBoxDirections (Traditional Chinese)","i32_141","ModifyMapsAchievements","ModifyContractsAchievements","CombineAchievements","ChangedForHardmode","DescriptionHardmode","DescriptionHardmode (French)","DescriptionHardmode (German)","DescriptionHardmode (Japanese)","DescriptionHardmode (Korean)","DescriptionHardmode (Portuguese)","DescriptionHardmode (Russian)","DescriptionHardmode (Spanish)","DescriptionHardmode (Thai)","DescriptionHardmode (Traditional Chinese)","IsGold","bool_203","bool_204","i32_205"
571,1374,10,2,"upgrade_influence_mod","Right click this item then left click an item with at least two Influenced Modifiers to apply it.","Effectuez un clic droit sur cet objet, puis appliquez-le avec un clic gauche sur un objet doté d'au moins deux modificateurs d'influence.","Rechtsklicke auf diesen Gegenstand und linksklicke dann zum Anwenden auf einen Gegenstand mit mindestens zwei beeinflussten Modifikatoren.","このアイテムを右クリックした後、最低2個のインフルエンスモッドを持つアイテムを左クリックして使用する。","해당 아이템을 우클릭한 뒤, 영향을 받은 속성이 2개 이상 부여된 아이템에 좌클릭해 적용할 수 있습니다.","Clique com o botão direito neste item, depois com o esquerdo em um item com ao menos dois modificadores influenciados para aplicar.","Щёлкните правой кнопкой мыши по этому объекту, а затем левой по предмету с как минимум двумя свойствами влияния, чтобы использовать.","Haz clic derecho en este objeto y luego clic izquierdo en un objeto que tenga al menos dos modificadores influenciados para aplicarlo.","คลิกขวาที่ไอเทมชิ้นนี้ จากนั้นคลิกซ้ายที่ ไอเทมที่มีม็อดอิทธิพลอย่างน้อย 2 อย่าง เพื่อใช้งาน","右鍵點擊此物品，再左鍵點擊一個至少有兩個勢力詞綴的物品以套用。","","Removes one Influenced Modifier from an item with at least two Influenced Modifiers and upgrades another Influenced Modifier. Upgrading a modifier of the highest tier transforms the modifier into an Elevated Modifier. Attempting to upgrade an Elevated Modifier rerolls its values. Can be used on Body Armours, Boots, Gloves and Helmets.","Retire l'un des Modificateurs d'influence d'un objet (doté d'au moins deux d'entre eux) afin d'améliorer l'un des Modificateurs d'influence restants. Si cet effet améliore un modificateur de palier maximal, celui-ci se transformera en Modificateur élevé. Si cet effet se produit sur un Modificateur déjà élevé, ses valeurs seront tirées au sort. Fonctionne sur les armures, les bottes, les gants et les casques","Entfernt einen Einfluss-Modifikator von einem Gegenstand mit mindestens zwei Einfluss-Modifikatoren und wertet einen anderen Einfluss-Modifikator auf. Das Aufwerten eines Modifikators zur höchsten Stufe wandelt den Modifikator in einen erhabenen Modifikator um. Kann auf Körperrüstungen, Stiefel, Handschuhe und Helme angewendet werden.","最低2個のインフルエンスモッドを持つアイテムから1個のインフルエンスモッドを取り除き、他のインフルエンスモッドをアップグレードする。最高ティアのモッドは高位のモッドにアップグレードする。エレベートモッドのアップグレードはその値をリロールする。鎧、靴、手袋および兜に使用できる。","영향을 받은 속성이 2개 이상 부여된 아이템에서 영향을 받은 속성을 1개 제거하고, 다른 1개의 속성은 업그레이드합니다. 업그레이드하는 속성의 등급이 가장 높은 상태라면, 해당 속성은 고양된 속성으로 바뀝니다. 고양된 속성을 업그레이드하는 경우 해당 수치는 무작위로 변경됩니다. 갑옷, 장화, 장갑, 투구에 사용할 수 있습니다.","Remove um modificador influenciado de um item com ao menos dois modificadores influenciados e atualiza outro modificador influenciado. Atualizar um modificador do nível mais alto transforma o modificador em um modificador elevado. Tentar atualizar um modificador elevado recria seus valores. Pode ser usado em peitorais, botas, luvas e elmos.","Удаляет с предмета, у которого как минимум два свойства влияния, одно из этих свойств и улучшает другое свойство влияния. Улучшение свойства до наивысшего уровня превращает это свойство в возвышенное свойство. Можно использовать на нательных доспехах, обуви, перчатках и шлемах.","Elimina un modificador influenciado de un objeto que tenga al menos dos modificadores influenciados y mejora otro modificador influenciado. Mejorar un modificador del grado más alto transforma el modificador en un modificador elevado. Intentar mejorar un modificador elevado aleatorizará sus valores. Se puede usar en armaduras, botas, guantes y cascos.","ลบ ม็อดอิทธิพล 1 อย่างแบบสุ่มจากไอเทมที่มี ม็อดอิทธิพล อย่างน้อย 2 อย่าง แล้วทำการอัพเกรด ม็อดอิทธิพล 1 อย่างแบบสุ่มให้ดียิ่งขึ้น หากม็อดที่ถูกอัพเกรดเป็นม็อดที่มีระดับสูงสุด ม็อดนั้นจะกลายเป็น ม็อดอิทธิพลระดับสูงส่ง ทั้งนี้ การพยายามอัพเกรดม็อดระดับสูงส่งจะเป็นการสุ่มค่าของมันขึ้นมาใหม่ สามารถใช้กับ เสื้อเกราะ, รองเท้า, ถุงมือ, หมวก","從一件至少具有 2 個勢力詞綴的物品上移除 1 個勢力詞綴，並升級另一個勢力詞綴。升級最高階級的詞綴會使詞綴轉變為高尚詞綴。嘗試升級高尚詞綴會重骰其數值。可用於胸甲、長靴、手套和頭盔。",[],"","",[],[],5000,"<<xbox_button_x>> to use, then <<xbox_button_a>> on an item with at least two Influenced Modifiers to apply it.","<<xbox_button_x>> pour le sélectionner, puis <<xbox_button_a>> pour l'appliquer sur un objet doté d'au moins deux Modificateurs d'influence.","<<xbox_button_x>> auf diesen Gegenstand und dann <<xbox_button_a>> zum Anwenden auf einen Gegenstand mit mindestens zwei beeinflussten Modifikatoren.","<<xbox_button_x>>で使用し、最低2個のインフルエンスモッドを持つアイテム上で<<xbox_button_a>>で適用する。","<<xbox_button_x>>로 사용한 뒤, 영향을 받은 속성이 2개 이상 부여된 아이템에 <<xbox_button_a>>를 눌러 적용할 수 있습니다.","Pressione <<xbox_button_x>> para usar, depois <<xbox_button_a>> em um item com ao menos dois modificadores influenciados para aplicar.","<<xbox_button_x>> чтобы выбрать, затем <<xbox_button_a>> на предмете с как минимум двумя свойствами влияния, чтобы использовать.","Presiona <<xbox_button_x>> para usarlo y luego <<xbox_button_a>> sobre un objeto que tenga al menos dos modificadores influenciados para aplicarlo.","<<xbox_button_x>> เพื่อนำไปใช้ จากนั้น <<xbox_button_a>> ที่ ไอเทมที่มีม็อดอิทธิพลอย่างน้อย 2 อย่าง เพื่อใช้งาน","按下 <<xbox_button_x>> 使用，再對一件至少具有 2 個勢力詞綴的物品按下 <<xbox_button_a>> 套用。",0,[],[],[],"","","","","","","","","","","","","","",4839
572,938,1,3,"","Can be used in a personal Map Device alongside a Map to add the monsters stored from a previous Ritual Altar to a Ritual Altar in that Map.","À utiliser avec une Carte dans votre Dispositif cartographique. Tous les monstres stockés dans cet objet seront ajoutés à un Autel de Rituel se trouvant dans la Carte utilisée.","Kann in einem persönlichen Kartenapparat zusammen mit einer Karte verwendet werden, um dem Ritual-Altar in dieser Karte die gespeicherten Monster aus einem vorherigen Ritual-Altar hinzuzufügen.","マップと共に自身のマップデバイスで使用してマップ内のリチュアルの祭壇に以前のリチュアルの祭壇で保存されたモンスターを追加する。","전용 지도 장치에서 지도와 함께 사용하면 이전의 의식 제단에서 보관해 두었던 몬스터를 해당 지도의 의식 제단에 추가할 수 있습니다.","Pode ser usado em um Dispositivo de Mapas pessoal combinado com um mapa para adicionar os monstros armazenados de um Altar Ritualístico anterior em um Altar Ritualístico naquele mapa.","Можно использовать в личной Машине картоходца вместе с картой, чтобы добавить сохранённых монстров из предыдущего ритуального алтаря в ритуальный алтарь на этой карте.","Puede usarse en un Artefacto de mapas personal junto con un mapa para añadir los monstruos almacenados en un Altar de ritual anterior a un Altar de ritual de ese mapa.","ใช้ใน เครื่องเปิดแผนที่ ของคุณร่วมกับ แผนที่ เพื่อเพิ่มมอนสเตอร์ที่เก็บมาจาก แท่นพิธีกรรม แท่นก่อนลงไปใน แท่นพิธีกรรม ในแผนที่นั้น","可以和地圖同時使用於個人的地圖裝置，將你之前祭祀神壇保存的怪物加入至該地圖的祭祀神壇中。","","","","","","","","","","","",[],"","",[],[],0,"Can be used in a personal Map Device alongside a Map to add the monsters stored from a previous Ritual Altar to a Ritual Altar in that Map.","À utiliser avec une Carte dans votre Dispositif cartographique. Tous les monstres stockés dans cet objet seront ajoutés à un Autel de Rituel se trouvant dans la Carte utilisée.","Kann in einem persönlichen Kartenapparat zusammen mit einer Karte verwendet werden, um dem Ritual-Altar in dieser Karte die gespeicherten Monster aus einem vorherigen Ritual-Altar hinzuzufügen.","マップと共に自身のマップデバイスで使用してマップ内のリチュアルの祭壇に以前のリチュアルの祭壇で保存されたモンスターを追加する。","전용 지도 장치에서 지도와 함께 사용하면 이전의 의식 제단에서 보관해 두었던 몬스터를 해당 지도의 의식 제단에 추가할 수 있습니다.","Pode ser usado em um Dispositivo de Mapas pessoal combinado com um mapa para adicionar os monstros armazenados de um Altar Ritualístico anterior em um Altar Ritualístico naquele mapa.","Можно использовать в личной Машине картоходца вместе с картой, чтобы добавить сохранённых монстров из предыдущего ритуального алтаря в ритуальный алтарь на этой карте.","Puede usarse en un Artefacto de mapas personal junto con un mapa para añadir los monstruos almacenados en un Altar de ritual anterior a un Altar de ritual de ese mapa.","ใช้ใน เครื่องเปิดแผนที่ ของคุณร่วมกับ แผนที่ เพื่อเพิ่มมอนสเตอร์ที่เก็บมาจาก แท่นพิธีกรรม แท่นก่อนลงไปใน แท่นพิธีกรรม ในแผนที่นั้น","可以和地圖同時使用於個人的地圖裝置，將你之前祭祀神壇保存的怪物加入至該地圖的祭祀神壇中。",0,[],[],[],"","","","","","","","","","","","","","",4839
573,1465,10,2,"add_flask_seal","Right click this item then left click a flask to apply it.","Effectuez un clic droit sur cet objet, puis appliquez-le avec un clic gauche sur un Flacon.","Rechtsklicke auf diesen Gegenstand und linksklicke dann zum Anwenden auf ein Fläschchen.","このアイテムを右クリックした後、フラスコを左クリックして使用する。","해당 아이템을 우클릭한 뒤, 플라스크를 좌클릭해 적용할 수 있습니다.","Clique com o botão direito neste item, depois com o esquerdo em um frasco para aplicar.","Щёлкните правой кнопкой мыши по этому предмету и затем левой по флакону, чтобы использовать.","Haz clic derecho en este objeto y luego haz clic izquierdo en un frasco para aplicarlo.","คลิกขวาที่ไอเทมชิ้นนี้ จากนั้นคลิกซ้ายที่ ขวดยา เพื่อใช้งาน","右鍵點擊此物品，再左鍵點擊一個藥劑來使用。","","Adds an enchantment to a utility flask that will improve it but prevent it from gaining charges during its effect. Replaces any existing enchantment.","Ajoute un enchantement sur un Flacon utilitaire qui améliore ses effets, mais l'empêche de gagner des charges tant qu'il fait effet. Remplace un enchantement déjà existant.","Fügt einem Hilfsfläschchen eine Verzauberung hinzu, die das Fläschchen verbessert, aber verhindert, dass es Füllungen erhält, während es aktiv ist. Ersetzt eine bestehende Verzauberung, falls vorhanden.","ユーティリティフラスコにエンチャントを行い性能を向上させるが、効果時間中のチャージ獲得を妨げる。既存のエンチャントと置き換わる。","특수 플라스크에 위력을 강화해 주지만 활성화되어 있을 때 충전을 얻지 못하게 하는 인챈트를 추가합니다. 플라스크에 이미 인챈트가 있는 경우 기존 인챈트를 대체합니다.","Adiciona um encantamento a um frasco utilitário para melhorá-lo, mas o impedirá de ganhar cargas durante seu efeito. Substitui um encantamento existente.","Добавляет зачарование на особый флакон, которое усилит его, но не позволит флакону накапливать заряды во время действия. Заменяет любое существующее зачарование.","Agrega un encantamiento a un frasco utilitario que lo mejorará pero evitará que gane cargas mientras el efecto esté activo. Reemplaza cualquier encantamiento existente.","เพิ่มเอนแชนท์ให้กับ ขวดยาช่วยเหลือ ซึ่งจะเพิ่มความสามารถของขวดยา แต่ทำให้ขวดยาไม่สามารถรับชาร์จขณะที่มันมีผล มันจะมาแทนที่เอนแชนท์เดิมที่มีอยู่","附加一種附魔至功能藥劑以提升其效果，但使其在效果期間無法獲得充能。取代任何現有附魔。",[],"","",[],[],5000,"<<xbox_button_x>> to use, then <<xbox_button_a>> on a flask to apply it.","<<xbox_button_x>> pour le sélectionner, puis <<xbox_button_a>> pour l'appliquer sur un Flacon.","<<xbox_button_x>> auf diesen Gegenstand und dann <<xbox_button_a>> zum Anwenden auf ein Fläschchen.","<<xbox_button_x>>で使用し、フラスコ上で<<xbox_button_a>>で適用する。","<<xbox_button_x>>로 사용한 뒤, 플라스크에 <<xbox_button_a>>를 눌러 적용할 수 있습니다.","Pressione <<xbox_button_x>> para usar, depois <<xbox_button_a>> em um frasco para aplicar.","<<xbox_button_x>> чтобы выбрать, затем <<xbox_button_a>> на флаконе, чтобы использовать.","Presiona <<xbox_button_x>> para usarlo y luego <<xbox_button_a>> sobre un frasco para aplicarlo.","<<xbox_button_x>> เพื่อนำไปใช้ จากนั้น <<xbox_button_a>> ที่ ขวดยา เพื่อใช้งาน","按下 <<xbox_button_x>> 使用，再對一罐藥劑按下 <<xbox_button_a>> 套用。",100,[],[],[],"","","","","","","","","","","","","","",4839
574,1466,10,2,"add_flask_injector","Right click this item then left click a flask to apply it.","Effectuez un clic droit sur cet objet, puis appliquez-le avec un clic gauche sur un Flacon.","Rechtsklicke auf diesen Gegenstand und linksklicke dann zum Anwenden auf ein Fläschchen.","このアイテムを右クリックした後、フラスコを左クリックして使用する。","해당 아이템을 우클릭한 뒤, 플라스크를 좌클릭해 적용할 수 있습니다.","Clique com o botão direito neste item, depois com o esquerdo em um frasco para aplicar.","Щёлкните правой кнопкой мыши по этому предмету и затем левой по флакону, чтобы использовать.","Haz clic derecho en este objeto y luego haz clic izquierdo en un frasco para aplicarlo.","คลิกขวาที่ไอเทมชิ้นนี้ จากนั้นคลิกซ้ายที่ ขวดยา เพื่อใช้งาน","右鍵點擊此物品，再左鍵點擊一個藥劑來使用。","","Adds an enchantment to a utility flask that will cause it to be used when certain conditions are met. Replaces any existing enchantment.","Ajoute un enchantement sur un Flacon utilitaire qui lui permet d'être utilisé automatiquement lorsque certaines conditions sont remplies. Remplace un enchantement déjà existant.","Fügt einem Hilfsfläschchen eine Verzauberung hinzu, die das Fläschchen aktiviert, wenn bestimmte Voraussetzungen erfüllt sind. Ersetzt eine bestehende Verzauberung, falls vorhanden.","ユーティリティフラスコにエンチャントを行い、特定の条件下で自動で使用されるようにする。既存のエンチャントと置き換わる。","특수 플라스크에 특정 조건이 충족되면 플라스크가 사용되게 하는 무작위 인챈트를 추가합니다. 플라스크에 이미 인챈트가 있는 경우 기존 인챈트를 대체합니다.","Adiciona um encantamento a um frasco para que ele seja usado quando certas condições forem atingidas. Substitui um encantamento existente.","Добавляет зачарование на особый флакон, которое вызовет его использование при определённых условиях. Заменяет любое существующее зачарование.","Agrega un encantamiento a un frasco utilitario que causará que solo se pueda usar cuando se cumplan ciertas condiciones. Reemplaza cualquier encantamiento existente.","เพิ่มเอนแชนท์ให้กับ ขวดยาช่วยเหลือ ซึ่งจะทำให้ขวดยาถูกใช้งานโดยอัตโนมัติเมื่อตรงตามเงื่อนไข มันจะมาแทนที่เอนแชนท์เดิมที่มีอยู่","附加一種附魔至功能藥劑以使其在達到特定條件時使用。取代任何現有附魔",[],"","",[],[],5000,"<<xbox_button_x>> to use, then <<xbox_button_a>> on a flask to apply it.","<<xbox_button_x>> pour le sélectionner, puis <<xbox_button_a>> pour l'appliquer sur un Flacon.","<<xbox_button_x>> auf diesen Gegenstand und dann <<xbox_button_a>> zum Anwenden auf ein Fläschchen.","<<xbox_button_x>>で使用し、フラスコ上で<<xbox_button_a>>で適用する。","<<xbox_button_x>>로 사용한 뒤, 플라스크에 <<xbox_button_a>>를 눌러 적용할 수 있습니다.","Pressione <<xbox_button_x>> para usar, depois <<xbox_button_a>> em um frasco para aplicar.","<<xbox_button_x>> чтобы выбрать, затем <<xbox_button_a>> на флаконе, чтобы использовать.","Presiona <<xbox_button_x>> para usarlo y luego <<xbox_button_a>> sobre un frasco para aplicarlo.","<<xbox_button_x>> เพื่อนำไปใช้ จากนั้น <<xbox_button_a>> ที่ ขวดยา เพื่อใช้งาน","按下 <<xbox_button_x>> 使用，再對一罐藥劑按下 <<xbox_button_a>> 套用。",100,[],[],[],"","","","","","","","","","","","","","",4839
575,1467,20,3,"","This item is no longer usable.","Cet objet n'est plus utilisable.","Dieser Gegenstand ist nicht länger verwendbar.","このアイテムは使用できなくなりました。","이 아이템은 이제 사용할 수 없습니다.","Este item não é mais utilizável.","Этот предмет больше нельзя использовать.","Este objeto ya no se puede usar.","ไอเทมนี้ไม่สามารถใช้งานได้อีกต่อไป","此物品已不再可獲取。","","","","","","","","","","","",[],"","",[],[],5000,"","","","","","","","","","",0,[],[],[],"","","","","","","","","","","","","","",4839
576,1468,20,3,"","This item is no longer usable.","Cet objet n'est plus utilisable.","Dieser Gegenstand ist nicht länger verwendbar.","このアイテムは使用できなくなりました。","이 아이템은 이제 사용할 수 없습니다.","Este item não é mais utilizável.","Этот предмет больше нельзя использовать.","Este objeto ya no se puede usar.","ไอเทมนี้ไม่สามารถใช้งานได้อีกต่อไป","此物品已不再可獲取。","","","","","","","","","","","",[],"","",[],[],5000,"","","","","","","","","","",0,[],[],[],"","","","","","","","","","","","","","",4839
577,1469,20,3,"","This item is no longer usable.","Cet objet n'est plus utilisable.","Dieser Gegenstand ist nicht länger verwendbar.","このアイテムは使用できなくなりました。","이 아이템은 이제 사용할 수 없습니다.","Este item não é mais utilizável.","Этот предмет больше нельзя использовать.","Este objeto ya no se puede usar.","ไอเทมนี้ไม่สามารถใช้งานได้อีกต่อไป","此物品已不再可獲取。","","","","","","","","","","","",[],"","",[],[],5000,"","","","","","","","","","",0,[],[],[],"","","","","","","","","","","","","","",4839
578,1470,20,3,"","This item is no longer usable.","Cet objet n'est plus utilisable.","Dieser Gegenstand ist nicht länger verwendbar.","このアイテムは使用できなくなりました。","이 아이템은 이제 사용할 수 없습니다.","Este item não é mais utilizável.","Этот предмет больше нельзя использовать.","Este objeto ya no se puede usar.","ไอเทมนี้ไม่สามารถใช้งานได้อีกต่อไป","此物品已不再可獲取。","","","","","","","","","","","",[],"","",[],[],5000,"","","","","","","","","","",0,[],[],[],"","","","","","","","","","","","","","",4839
579,1471,20,3,"","This item is no longer usable.","Cet objet n'est plus utilisable.","Dieser Gegenstand ist nicht länger verwendbar.","このアイテムは使用できなくなりました。","이 아이템은 이제 사용할 수 없습니다.","Este item não é mais utilizável.","Этот предмет больше нельзя использовать.","Este objeto ya no se puede usar.","ไอเทมนี้ไม่สามารถใช้งานได้อีกต่อไป","此物品已不再可獲取。","","","","","","","","","","","",[],"","",[],[],5000,"","","","","","","","","","",0,[],[],[],"","","","","","","","","","","","","","",4839
580,1472,20,2,"reroll_socket_colours_hellscape","Right click this item then left click a corrupted socketed item to apply it.","Effectuez un clic droit sur cet objet, puis appliquez-le avec un clic gauche sur un objet corrompu doté de châsses.","Rechtsklicke auf diesen Gegenstand und linksklicke dann zum Anwenden auf einen verderbten Gegenstand mit Fassungen.","このアイテムを右クリックした後、コラプト状態のソケットを持つアイテムを左クリックして使用する。","해당 아이템을 우클릭한 뒤, 홈이 있는 타락한 아이템을 좌클릭해 적용할 수 있습니다.","Clique com o botão direito neste item, depois com o esquerdo em um item encaixado corrompido para aplicar.","Щёлкните правой кнопкой мыши по этому предмету и затем левой по осквернённому предмету с гнёздами, чтобы использовать.","Haz clic derecho en este objeto y luego haz clic izquierdo en un objeto corrupto engarzado para aplicarlo.","คลิกขวาที่ไอเทมชิ้นนี้ จากนั้นคลิกซ้ายที่ ไอเทมที่มีรูและมีมลทิน เพื่อใช้งาน","右鍵點擊此物品，再左鍵點擊一件有插槽的物品來使用。","","Unpredictably reforges the colour of sockets on a corrupted item","Transforme les couleurs des châsses d'un objet corrompu de manière imprévisible","Verändert die Farben der Fassungen eines verderbten Gegenstands auf unvorhersehbare Weise.","コラプト状態のアイテムのソケットの色に対して、予測不能なリフォージを行う。","타락한 아이템의 홈 색상 무작위 재련","Reforja de forma imprevisível a cor dos encaixes de um item corrompido","Непредсказуемым образом перековывает цвета гнёзд на осквернённом предмете","Reforja el color de los engarces de un objeto corrupto de forma impredecible","สุ่มเปลี่ยนสีรู บน ไอเทมที่มีมลทิน ขึ้นมาใหม่อย่างไม่อาจคาดเดาได้","不可預測的重鑄已汙染物品上的插槽顏色",[],"","",[],[],5000,"<<xbox_button_x>> to use, then <<xbox_button_a>> on a corrupted socketed item to apply it.","<<xbox_button_x>> pour le sélectionner, puis <<xbox_button_a>> pour l'appliquer sur un objet corrompu doté de châsses.","<<xbox_button_x>> zum Auswählen und <<xbox_button_a>> zum Anwenden auf einen verderbten Gegenstand mit Fassungen.","<<xbox_button_x>>で使用し、コラプト状態のソケットを持つアイテム上で<<xbox_button_a>>で適用する。","<<xbox_button_x>>로 사용한 뒤, 홈이 있는 타락한 아이템에 <<xbox_button_a>>를 눌러 적용할 수 있습니다.","Pressione <<xbox_button_x>> para usar, depois <<xbox_button_a>> em um item encaixado corrompido para aplicar.","<<xbox_button_x>> чтобы выбрать, затем <<xbox_button_a>> на осквернённом предмете с гнёздами, чтобы использовать.","Presiona <<xbox_button_x>> para usarlo y luego <<xbox_button_a>> sobre un objeto corrupto engarzado para aplicarlo.","<<xbox_button_x>> เพื่อนำไปใช้ จากนั้น <<xbox_button_a>> ที่ ไอเทมที่มีรูและมีมลทิน เพื่อใช้งาน","按下 <<xbox_button_x>> 使用，再對一件已汙染的插槽中物品按下 <<xbox_button_a>> 套用。",100,[],[],[],"","","","","","","","","","","","","","",4839
581,1473,20,2,"reroll_socket_links_hellscape","Right click this item then left click a corrupted socketed item to apply it.","Effectuez un clic droit sur cet objet, puis appliquez-le avec un clic gauche sur un objet corrompu doté de châsses.","Rechtsklicke auf diesen Gegenstand und linksklicke dann zum Anwenden auf einen verderbten Gegenstand mit Fassungen.","このアイテムを右クリックした後、コラプト状態のソケットを持つアイテムを左クリックして使用する。","해당 아이템을 우클릭한 뒤, 홈이 있는 타락한 아이템을 좌클릭해 적용할 수 있습니다.","Clique com o botão direito neste item, depois com o esquerdo em um item encaixado corrompido para aplicar.","Щёлкните правой кнопкой мыши по этому предмету и затем левой по осквернённому предмету с гнёздами, чтобы использовать.","Haz clic derecho en este objeto y luego haz clic izquierdo en un objeto corrupto engarzado para aplicarlo.","คลิกขวาที่ไอเทมชิ้นนี้ จากนั้นคลิกซ้ายที่ ไอเทมที่มีรูและมีมลทิน เพื่อใช้งาน","右鍵點擊此物品，再左鍵點擊一件有插槽的物品來使用。","","Unpredictably adds or removes a link to the largest group of linked sockets on a corrupted item","Ajoute ou retire de manière imprévisible une liaison au plus grand groupe de châsses reliées d'un objet corrompu","Ergänzt oder entfernt eine Verbindung zu der größten Gruppe an verbundenen Fassungen eines verderbten Gegenstands auf unvorhersehbare Weise.","コラプト状態のアイテム上のリンクしている最大のソケットグループに対して、予測不能な1リンクの追加または削除を行う。","타락한 아이템에서 홈이 가장 많이 연결된 홈 그룹에 연결을 예측 불가능하게 추가하거나 제거","Adiciona ou remove de forma imprevisível uma conexão do maior grupo de encaixes conectados de um item corrompido","Непредсказуемым образом добавляет или удаляет связь для наибольшей группы связанных гнёзд на осквернённом предмете","Agrega o elimina un vínculo de forma impredecible en el grupo de engarces con más vínculos de un objeto corrupto ","สุ่มเพิ่มหรือลบ 1 เชื่อม จาก กลุ่มรูที่มีจำนวนเชื่อมมากที่สุด บน ไอเทมที่มีมลทิน อย่างไม่อาจคาดเดาได้","不可預測的新增或移除已汙染物品上最大組連結插槽的連結",[],"","",[],[],5000,"<<xbox_button_x>> to use, then <<xbox_button_a>> on a corrupted socketed item to apply it.","<<xbox_button_x>> pour le sélectionner, puis <<xbox_button_a>> pour l'appliquer sur un objet corrompu doté de châsses.","<<xbox_button_x>> zum Auswählen und <<xbox_button_a>> zum Anwenden auf einen verderbten Gegenstand mit Fassungen.","<<xbox_button_x>>で使用し、コラプト状態のソケットを持つアイテム上で<<xbox_button_a>>で適用する。","<<xbox_button_x>>로 사용한 뒤, 홈이 있는 타락한 아이템에 <<xbox_button_a>>를 눌러 적용할 수 있습니다.","Pressione <<xbox_button_x>> para usar, depois <<xbox_button_a>> em um item encaixado corrompido para aplicar.","<<xbox_button_x>> чтобы выбрать, затем <<xbox_button_a>> на осквернённом предмете с гнёздами, чтобы использовать.","Presiona <<xbox_button_x>> para usarlo y luego <<xbox_button_a>> sobre un objeto corrupto engarzado para aplicarlo.","<<xbox_button_x>> เพื่อนำไปใช้ จากนั้น <<xbox_button_a>> ที่ ไอเทมที่มีรูและมีมลทิน เพื่อใช้งาน","按下 <<xbox_button_x>> 使用，再對一件已汙染的插槽中物品按下 <<xbox_button_a>> 套用。",100,[],[],[],"","","","","","","","","","","","","","",4839
