"rownum","BaseItemType","StrengthRequirementPercent","DexterityRequirementPercent","IntelligenceRequirementPercent","VaalVariant_BaseItemType","IsVaalVariant","GlobalSkillLevelStat","GemType","bool_65","bool_66","AwakenedVariant","RegularVariant","GemColour","MinLevelReq","ItemExperienceType","CraftingTypes","MtxSlotTypes","bool_139","GemEffects","bool_156","TutorialVideo","UI_Image","i32_173","CraftingLevel","bool_181","i32_182","bool_186","SearchTerms","Tier","GroundEffect","[rid]_223","BaseSkillGem","bool_247","bool_248","bool_249"
40,498,0,0,100,"","","",0,1,1,"","",3,32,0,[7],[0],"",[42],"","Art/Videos/SkillTutorials/FrostWall.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/SmartHover/GemHoverImage/GemHoverImageFrostWall.dds",1,9,"",2,"",[],0,[],[],"",1,"",""
41,499,0,0,100,"","","",0,1,1,"","",3,1,0,[],[0],"",[43],"","","",0,0,"",2,"",[],0,[],[],"","","",""
42,3994,100,0,0,"","","",1,1,1,"","",1,1,0,[6],[0],"",[44],"","","",0,4,"",0,"",[0],0,[],[],"",1,"",""
43,4184,0,0,100,"","","",1,1,1,"","",3,1,0,[7],[0],"",[45],"","","",0,1,"",0,"",[4],1,[],[],"",1,"",""
44,4185,0,0,100,"","","",1,1,1,"","",3,1,0,[7],[0],"",[46],"","","",0,4,"",0,"",[],2,[],[],"",1,"",""
45,4186,0,0,100,"","","",1,1,1,"","",3,1,0,[7],[0],"",[47],"","","",0,5,"",0,"",[],3,[],[],"",1,"",""
46,500,0,0,100,"","",21773,0,1,1,"","",3,23,0,[7],[0],"",[48],"","Art/Videos/SkillTutorials/TemporalChains.bk2","",0,7,"",2,"",[],0,[],[],"",1,"",""
47,501,0,0,100,"","",21772,0,1,1,"","",3,7,0,[1],[0],"",[49],"","Art/Videos/SkillTutorials/Enfeeble.bk2","",0,3,"",2,"",[],0,[],[],"",1,"",""
48,502,0,100,0,"","","",0,1,1,"","",2,23,0,[2],[0],"",[50],"","Art/Videos/SkillTutorials/SnipersMark.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/SmartHover/GemHoverImage/GemHoverImageSnipersMark.dds",2,7,"",2,"",[],0,[],[],"",1,"",""
49,503,0,0,100,"","",21771,0,1,1,"","",3,32,0,[1],[0],"",[51],"","Art/Videos/SkillTutorials/Despair.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/SmartHover/GemHoverImage/GemHoverImageDespair.dds",1,9,"",2,"",[],0,[],[],"",1,"",""
50,504,0,0,100,"","","",0,1,1,"","",3,32,0,[7],[0],"",[52],"","Art/Videos/SkillTutorials/LightningWarp.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/SmartHover/GemHoverImage/GemHoverImageLightningWarp.dds",3,9,"",2,"",[],0,[],[],"",1,"",""
51,505,0,0,100,"","","",0,1,1,"","",3,1,0,[],[0],"",[53],"","","",0,0,"",2,"",[],0,[],[],"","","",""
52,517,100,0,0,"","","",0,1,1,"","",1,7,0,[6],[0],"",[54],"","Art/Videos/SkillTutorials/ArmourBreaker.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/SmartHover/GemHoverImage/GemHoverImageArmourBreaker.dds",0,3,"",2,"",[],0,[],[],"",1,"",""
53,518,0,100,0,"","","",0,1,1,"","",2,32,0,[2],[0],"",[55],"","Art/Videos/SkillTutorials/RainofArrows.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/SmartHover/GemHoverImage/GemHoverImageRainOfArrows.dds",1,9,"",2,"",[],0,[],[],"",1,"",""
54,4147,0,0,100,"","","",1,1,1,"","",3,1,0,[7],[0],"",[56],"","","",0,1,"",0,"",[4],0,[],[],"",1,"",""
55,4001,100,0,0,"","","",1,1,1,"","",1,1,0,[],[0],"",[57],"","","",0,0,"",0,"",[0],0,[],[],"","","",""
56,519,0,0,100,"","","",0,1,1,"","",3,42,0,[7],[0],"",[58],"","Art/Videos/SkillTutorials/Firestorm.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/SmartHover/GemHoverImage/GemHoverImageFirestorm.dds",0,11,"",2,"",[],0,[],[],"",1,"",""
57,520,0,50,50,"","","",0,1,1,"","",4,1,0,[10],[0],"",[59],"","Art/Videos/SkillTutorials/FallingThunder.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/SmartHover/GemHoverImage/GemHoverImageFallingThunder.dds",0,1,"",2,"",[],0,[],[],"",1,"",""
58,521,0,0,100,"","","",0,1,1,"","",3,1,0,[],[0],"",[60],"","","",0,0,"",2,"",[],0,[],[],"","","",""
59,522,0,100,0,"","","",0,1,1,"","",2,1,0,[2],[0],"",[61],"","Art/Videos/SkillTutorials/LightningArrow.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/SmartHover/GemHoverImage/GemHoverImageLightningArrow.dds",3,1,"",2,"",[],0,[],[],"",1,"",""
60,524,25,0,75,"","","",0,1,1,"","",3,1,0,[],[0],"",[62],"","","",0,0,"",2,"",[],0,[],[],"","",1,""
61,525,100,0,0,"","","",0,1,1,"","",1,7,0,"[6,11]",[1],"",[63],"","Art/Videos/SkillTutorials/ShockwaveTotem.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/SmartHover/GemHoverImage/GemHoverImageShockwaveTotem.dds",0,3,"",2,"",[],0,[],[],"",1,"",""
62,4061,0,100,0,"","","",1,1,1,"","",2,1,0,[2],[0],"",[64],"","","",0,2,"",0,"","[1,2,3]",1,[],[],"",1,"",""
63,4062,0,100,0,"","","",1,1,1,"","",2,1,0,[2],[0],"",[65],"","","",0,5,"",0,"","[1,2,3]",2,[],[],"",1,"",""
64,4872,0,0,0,"","","",0,1,1,"","",4,1,0,[],[0],"",[66],"","","",0,0,"",2,"",[],0,[],[],"","","",""
65,523,0,0,100,"","","",0,1,1,"","",3,15,0,[7],[0],"",[67],"","Art/Videos/SkillTutorials/Arc.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/SmartHover/GemHoverImage/GemHoverImageArc.dds",2,5,"",2,"",[],0,[],[],"",1,"",""
66,526,0,0,100,"","","",0,1,1,"","",3,11,0,[7],[0],"",[68],"","","Art/Textures/Interface/2D/2DArt/UIImages/InGame/SmartHover/GemHoverImage/GemHoverImageArcticArmour.dds",1,4,"",2,"",[],0,[],[],"",1,1,""
67,3985,100,0,0,"","","",1,1,1,"","",1,1,0,[6],[0],"",[69],"","","",0,2,"",0,"","[0,2,3]",1,[],[],"",1,"",""
68,3986,100,0,0,"","","",1,1,1,"","",1,1,0,[6],[0],"",[70],"","","",0,5,"",0,"","[0,2,3]",2,[],[],"",1,"",""
69,4160,0,0,100,"","","",1,1,1,"","",3,1,0,[7],[0],"",[71],"","","",0,2,"",0,"","[4,2,3]",0,[],[],"",1,"",""
70,4083,0,100,0,"","","",1,1,1,"","",2,1,0,[2],[0],"",[72],"","","",0,2,"",0,"","[1,2,3]",0,[],[],"",1,"",""
71,4080,0,100,0,"","","",1,1,1,"","",2,1,0,[2],[0],"",[73],"","","",0,1,"",0,"",[1],1,[],[],"",1,"",""
72,4081,0,100,0,"","","",1,1,1,"","",2,1,0,[2],[0],"",[74],"","","",0,2,"",0,"",[1],2,[],[],"",1,"",""
73,4082,0,100,0,"","","",1,1,1,"","",2,1,0,[2],[0],"",[75],"","","",0,5,"",0,"",[1],3,[],[],"",1,"",""
74,4094,0,100,0,"","","",1,1,1,"","",2,1,0,[2],[0],"",[76],"","","",0,3,"",0,"","[1,2,3]",0,[],[],"",1,"",""
75,528,0,0,100,"","","",0,1,1,"","",3,23,0,[],[0],"",[77],"","","",0,0,"",2,"",[],0,[],[],"","","",""
76,529,0,0,100,"","","",0,1,1,"","",3,23,0,[],[0],"",[78],"","","",0,0,"",2,"",[],0,[],[],"","","",""
77,530,0,0,100,"","","",0,1,1,"","",3,23,0,[],[0],"",[79],"","","",0,0,"",2,"",[],0,[],[],"","","",""
78,4943,0,0,100,"","",21769,0,1,1,"","",3,23,0,[7],[0],"",[80],"","Art/Videos/SkillTutorials/ElementalWeakness.bk2","",0,7,"",2,"",[],0,[],[],"",1,"",""
79,531,0,0,100,"","","",0,1,1,"","",3,32,0,[7],[0],"",[81],"","Art/Videos/SkillTutorials/Incinerate.bk2","",0,9,"",2,"",[],0,[55],[],"",1,"",""
80,4148,0,0,100,"","","",1,1,1,"","",3,1,0,[7],[0],"",[82],"","","",0,2,"",0,"","[4,2,3]",0,[],[],"",1,"",""
81,4175,0,0,100,"","","",1,1,1,"","",3,1,0,[7],[0],"",[83],"","","",0,1,"",0,"",[4],0,[],[],"",1,"",""
82,4066,0,100,0,"","","",1,1,1,"","",2,1,0,[2],[0],"",[84],"","","",0,1,"",0,"",[1],1,[],[],"",1,"",""
83,4067,0,100,0,"","","",1,1,1,"","",2,1,0,[2],[0],"",[85],"","","",0,3,"",0,"",[1],2,[],[],"",1,"",""
84,4068,0,0,100,"","","",1,1,1,"","",3,65,0,[],[0],"",[86],"","","",0,0,"",0,"",[1],0,[],[],"","","",""
85,532,25,0,75,"","","",0,1,1,"","",3,1,0,[],[0],"",[87],"","","",0,0,"",2,"",[],0,[],[],"","",1,""
86,533,25,0,75,"","","",0,1,1,"","",3,1,0,[],[0],"",[88],"","","",0,0,"",2,"",[],0,[],[],"","",1,""
87,534,25,0,75,"","","",0,1,1,"","",3,1,0,[],[0],"",[89],"","","",0,0,"",2,"",[],0,[],[],"","",1,""
88,535,25,0,75,"","","",0,1,1,"","",3,1,0,[],[0],"",[90],"","","",0,0,"",2,"",[],0,[],[],"","",1,""
89,536,0,0,100,"","","",0,1,1,"","",3,53,0,[7],[0],"",[91],"","Art/Videos/SkillTutorials/Flameblast.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/SmartHover/GemHoverImage/GemHoverImageFlameblast.dds",0,13,"",2,"",[],0,[],[],"",1,"",""
90,537,0,100,0,"","","",0,1,1,"","",2,15,0,"[2,8]",[0],"",[92],"","Art/Videos/SkillTutorials/Barrage.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/SmartHover/GemHoverImage/GemHoverImageBarrage.dds",2,5,"",2,"",[],0,[],[],"",1,"",""
91,538,0,0,100,"","","",0,1,1,"","",3,42,0,[7],[0],"",[93],"","Art/Videos/SkillTutorials/BallLightning_1.bk2","",2,11,"",2,"",[],0,[],[],"",1,"",""
92,539,0,0,100,"","","",0,1,1,"","",3,42,0,[1],[0],"",[94],"","Art/Videos/SkillTutorials/BoneOffering.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/SmartHover/GemHoverImage/GemHoverImageBoneOffering.dds",1,11,"",2,"",[],0,[],[],"",1,"",""
93,540,100,0,0,"","","",0,1,1,"","",1,11,0,"[6,11]",[0],"",[95],"","","Art/Textures/Interface/2D/2DArt/UIImages/InGame/SmartHover/GemHoverImage/GemHoverImageHeraldOfAsh.dds",0,4,"",2,"",[],0,[],[],"",1,1,""
94,541,0,50,50,"","","",0,1,1,"","",4,11,0,"[10,11]",[0],"",[96],"","","",0,4,"",2,"",[],0,[],[],"",1,1,""
95,542,0,100,0,"","","",0,1,1,"","",2,11,0,"[10,2,9,8]",[0],"",[97],"","","Art/Textures/Interface/2D/2DArt/UIImages/InGame/SmartHover/GemHoverImage/GemHoverImageHeraldOfThunder.dds",0,4,"",2,"",[],0,[],[],"",1,1,""
96,543,0,0,100,"","","",2,1,1,"","",3,27,0,[1],[0],"",[98],"","","",2,8,"",2,"",[],0,[],[],"",1,1,""
97,544,100,0,0,"","","",0,1,1,"","",1,7,0,[6],[0],"",[99],"","Art/Videos/SkillTutorials/InfernalCry.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/SmartHover/GemHoverImage/GemHoverImageInfernalCry.dds",0,3,"",2,"",[],0,[],[],"",1,"",""
98,4197,0,0,100,"","","",1,1,1,"","",3,1,17,[7],[0],"",[100],"","","",0,1,"",0,"",[4],1,[],[],"",1,"",""
99,4198,0,0,100,"","","",1,1,1,"","",3,1,17,[7],[0],"",[101],"","","",0,3,"",0,"",[4],2,[],[],"",1,"",""
100,4199,0,0,100,"","","",1,1,1,"","",3,65,17,[],[0],"",[102],"","","",0,0,"",0,"",[4],0,[],[],"","","",""
101,4139,0,0,100,"","","",1,1,1,"","",3,1,0,[7],[0],"",[103],"","","",0,2,"",0,"","[4,2,3]",0,[],[],"",1,"",""
102,4048,0,100,0,"","","",1,1,1,"","",2,1,0,[2],[0],"",[104],"","","",0,1,"",0,"","[1,2,3]",0,[],[],"",1,"",""
103,490,0,0,0,"","","",0,1,1,"","",4,1,0,[],[0],"",[926],"","","",0,0,"",0,"",[],0,[],[],"","","",""
104,5025,0,0,0,"","","",0,1,1,"","",4,1,0,[],[0],"",[927],"","","",0,0,"",0,"",[],0,[],[],"","","",""
105,546,50,0,50,"","","",0,1,1,"","",4,7,0,[11],[0],"",[105],"","Art/Videos/SkillTutorials/RollingMagma.bk2","",0,3,"",2,"",[],0,[],[],"",1,"",""
106,547,0,0,100,"","","",0,1,1,"","",3,1,0,[7],[0],"",[106],"","Art/Videos/SkillTutorials/FrostBomb.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/SmartHover/GemHoverImage/GemHoverImageFrostBomb.dds",2,1,"",2,"",[],0,[],[],"",1,"",""
107,548,0,0,100,"","","",0,1,1,"","",3,7,0,[7],[0],"",[107],"","Art/Videos/SkillTutorials/OrbofStorms.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/SmartHover/GemHoverImage/GemHoverImageOrbOfStorms.dds",2,3,"",2,"",[],0,[],[],"",1,"",""
108,549,100,0,0,"","","",0,1,1,"","",1,1,0,[6],[0],"",[108],"","Art/Videos/SkillTutorials/Earthquake.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/SmartHover/GemHoverImage/GemHoverImageEarthquake.dds",0,1,"",2,"",[],0,[],[],"",1,"",""
109,550,0,0,100,"","","",0,1,1,"","",3,1,0,[1],[0],"",[109],"","Art/Videos/SkillTutorials/Contagion.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/SmartHover/GemHoverImage/GemHoverImageContagion.dds",3,1,"",2,"",[],0,[],[],"",1,"",""
110,551,0,0,100,"","","",0,1,1,"","",3,1,0,[],[0],"",[110],"","","",0,0,"",2,"",[],0,[],[],"","","",""
111,552,0,0,100,"","","",0,1,1,"","",3,7,0,[1],[0],"",[111],"","Art/Videos/SkillTutorials/EssenceDrain.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/SmartHover/GemHoverImage/GemHoverImageEssenceDrain.dds",3,3,"",2,"",[],0,[],[],"",1,"",""
112,4194,0,0,100,"","","",1,1,1,"","",3,1,0,[7],[0],"",[112],"","","",0,1,"",0,"",[4],0,[],[],"",1,"",""
113,553,100,0,0,"","","",0,1,1,"","",1,32,0,[6],[0],"",[113],"","Art/Videos/SkillTutorials/Sunder.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/SmartHover/GemHoverImage/GemHoverImageSunder.dds",0,9,"",2,"",[],0,[],[],"",1,"",""
114,554,0,0,100,"","","",0,1,1,"","",3,15,0,[7],[0],"",[114],"","Art/Videos/SkillTutorials/Frostbolt.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/SmartHover/GemHoverImage/GemHoverImageFrostbolt.dds",1,5,"",2,"",[],0,[],[],"",1,"",""
115,4174,0,0,100,"","","",1,1,1,"","",3,1,0,[7],[0],"",[115],"","","",0,3,"",0,"",[4],0,[],[],"",1,"",""
116,555,0,0,100,"","","",0,1,1,"","",3,1,0,[],[0],"",[116],"","","",0,0,"",2,"",[],0,[],[],"","","",""
117,506,0,0,100,"","",9529,0,1,1,"","",3,1,0,[],[0],"",[120],"","Art/Videos/SkillTutorials/SkeletalSniper.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/SmartHover/GemHoverImage/GemHoverImageSkeletalSniper.dds",0,0,"",2,"",[],0,[],[],"","","",""
118,507,0,0,100,"","",9529,0,1,1,"","",3,32,0,[1],[0],"",[118],"","Art/Videos/SkillTutorials/SkeletalReaver.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/SmartHover/GemHoverImage/GemHoverImageSkeletalReaver.dds",0,9,"",2,"",[],0,[],[],"",1,"",""
119,508,0,0,100,"","",9529,0,1,1,"","",3,53,0,[1],[0],"",[119],"","Art/Videos/SkillTutorials/SkeletalBrutes.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/SmartHover/GemHoverImage/GemHoverImageSkeletalBrute.dds",0,13,"",2,"",[],0,[],[],"",1,"",""
120,509,0,0,100,"","",9529,0,1,1,"","",3,1,0,[1],[0],"",[120],"","Art/Videos/SkillTutorials/SkeletalSniper.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/SmartHover/GemHoverImage/GemHoverImageSkeletalSniper.dds",0,1,"",2,"",[],0,[],[],"",1,"",""
121,510,0,0,100,"","",9529,0,1,1,"","",3,15,0,[1],[0],"",[121],"","Art/Videos/SkillTutorials/FrostMages.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/SmartHover/GemHoverImage/GemHoverImageSkeletalFrostMage.dds",0,5,"",2,"",[],0,[],[],"",1,"",""
122,511,0,0,100,"","",9529,0,1,1,"","",3,42,0,[1],[0],"",[122],"","Art/Videos/SkillTutorials/SkeletalStormMage.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/SmartHover/GemHoverImage/GemHoverImageSkeletalStormMage.dds",0,11,"",2,"",[],0,[],[],"",1,"",""
123,512,0,0,100,"","",9529,0,1,1,"","",3,7,0,[1],[0],"",[123],"","Art/Videos/SkillTutorials/SkeletalArsonist.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/SmartHover/GemHoverImage/GemHoverImageSkeletalArsonist.dds",0,3,"",2,"",[],0,[],[],"",1,"",""
124,513,0,0,100,"","",9529,0,1,1,"","",3,53,0,[1],[0],"",[124],"","Art/Videos/SkillTutorials/SkeletalCleric.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/SmartHover/GemHoverImage/GemHoverImageSkeletalCleric.dds",0,13,"",2,"",[],0,[],[],"",1,"",""
125,514,0,0,0,"","","",0,1,1,"","",4,1,0,[],[0],"",[125],"","","",0,0,"",2,"",[],0,[],[],"","","",""
126,515,0,0,0,"","","",0,1,1,"","",4,1,0,[],[0],"",[126],"","","",0,0,"",2,"",[],0,[],[],"","","",""
127,516,0,0,100,"","","",0,1,1,"","",3,1,0,[],[0],"",[127],"","","",0,0,"",2,"",[],0,[],[],"","","",""
128,4141,0,0,100,"","","",1,1,1,"","",3,1,0,[6],[0],"",[128],"","","",0,2,"",0,"","[4,2,3]",0,[],[],"",1,"",""
129,3955,100,0,0,"","","",1,1,1,"","",1,1,0,[6],[0],"",[129],"","","",0,1,"",0,"","[0,2,3]",1,[],[],"",1,"",""
130,3956,100,0,0,"","","",1,1,1,"","",1,1,0,[6],[0],"",[130],"","","",0,3,"",0,"","[0,2,3]",2,[],[],"",1,"",""
131,3957,100,0,0,"","","",1,1,1,"","",1,1,0,[6],[0],"",[131],"","","",0,5,"",0,"","[0,2,3]",3,[],[],"",1,"",""
132,3958,100,0,0,"","","",1,1,1,"","",1,1,0,[6],[0],"",[132],"","","",0,5,"",0,"","[0,2,3]",0,[],[],"",1,"",""
133,4057,0,100,0,"","","",1,1,1,"","",2,1,0,[2],[0],"",[133],"","","",0,1,"",0,"","[1,2,3]",1,[],[],"",1,"",""
134,4058,0,100,0,"","","",1,1,1,"","",2,1,0,[2],[0],"",[134],"","","",0,3,"",0,"","[1,2,3]",2,[],[],"",1,"",""
135,4059,0,100,0,"","","",1,1,1,"","",2,1,0,[2],[0],"",[135],"","","",0,5,"",0,"","[1,2,3]",3,[],[],"",1,"",""
136,4060,0,100,0,"","","",1,1,1,"","",2,1,0,[2],[0],"",[136],"","","",0,2,"",0,"","[1,5]",0,[],[],"",1,"",""
137,4015,100,0,0,"","","",1,1,1,"","",1,1,17,[6],[0],"",[137],"","","",0,3,"",0,"",[0],0,[],[],"",1,"",""
138,4099,0,100,0,"","","",1,1,1,"","",2,1,0,[2],[0],"",[138],"","","",0,2,"",0,"","[1,2,3]",0,[],[],"",1,"",""
139,3998,100,0,0,"","","",1,1,1,"","",1,1,0,[6],[0],"",[139],"","","",0,1,"",0,"","[0,2,3]",1,[],[],"",1,"",""
