"rownum","Id","rid_8","ArchnemesisMod","ArchnemesisModPower","TomeArt","RemnantArt","Mod","EnemyArt","TomeArt2"
11,"Protective","",213,214,"Art/2DArt/UIImages/InGame/Expedition/Tome/TomeRuneProtective","Art/2DArt/UIImages/InGame/Expedition/Remnant/RemnantRuneProtective",15337,"Art/2DArt/UIImages/InGame/EnemyHealthBars/Runes/EnemyRuneProtective","Art/2DArt/UIImages/InGame/Expedition/Tome/TomeRuneProtective"
12,"Cyclonic","",215,216,"Art/2DArt/UIImages/InGame/Expedition/Tome/TomeRuneCyclonic","Art/2DArt/UIImages/InGame/Expedition/Remnant/RemnantRuneCyclonic",15340,"Art/2DArt/UIImages/InGame/EnemyHealthBars/Runes/EnemyRuneCyclonic","Art/2DArt/UIImages/InGame/Expedition/Tome/TomeRuneCyclonic"
13,"Vision","",217,218,"Art/2DArt/UIImages/InGame/Expedition/Tome/TomeRuneVision","Art/2DArt/UIImages/InGame/Expedition/Remnant/RemnantRuneVision",15343,"Art/2DArt/UIImages/InGame/EnemyHealthBars/Runes/EnemyRuneVision","Art/2DArt/UIImages/InGame/Expedition/Tome/TomeRuneVision"
14,"Tidal","",219,220,"Art/2DArt/UIImages/InGame/Expedition/Tome/TomeRuneTidal","Art/2DArt/UIImages/InGame/Expedition/Remnant/RemnantRuneTidal",15346,"Art/2DArt/UIImages/InGame/EnemyHealthBars/Runes/EnemyRuneTidal","Art/2DArt/UIImages/InGame/Expedition/Tome/TomeRuneTidal"
15,"Rebirth","",221,222,"Art/2DArt/UIImages/InGame/Expedition/Tome/TomeRuneRebirth","Art/2DArt/UIImages/InGame/Expedition/Remnant/RemnantRuneRebirth",15349,"Art/2DArt/UIImages/InGame/EnemyHealthBars/Runes/EnemyRuneRebirth","Art/2DArt/UIImages/InGame/Expedition/Tome/TomeRuneRebirth"
16,"Prismatic","",223,224,"Art/2DArt/UIImages/InGame/Expedition/Tome/TomeRunePrismatic","Art/2DArt/UIImages/InGame/Expedition/Remnant/RemnantRunePrismatic",15352,"Art/2DArt/UIImages/InGame/EnemyHealthBars/Runes/EnemyRunePrismatic","Art/2DArt/UIImages/InGame/Expedition/Tome/TomeRunePrismatic"
17,"Gasp","",225,226,"Art/2DArt/UIImages/InGame/Expedition/Tome/TomeRuneGasp","Art/2DArt/UIImages/InGame/Expedition/Remnant/RemnantRuneGasp",15356,"Art/2DArt/UIImages/InGame/EnemyHealthBars/Runes/EnemyRuneGasp","Art/2DArt/UIImages/InGame/Expedition/Tome/TomeRuneGasp"
18,"Moon","",227,228,"Art/2DArt/UIImages/InGame/Expedition/Tome/TomeRuneMoon","Art/2DArt/UIImages/InGame/Expedition/Remnant/RemnantRuneMoon",15359,"Art/2DArt/UIImages/InGame/EnemyHealthBars/Runes/EnemyRuneMoon","Art/2DArt/UIImages/InGame/Expedition/Tome/TomeRuneMoon"
19,"Celestial","",229,230,"Art/2DArt/UIImages/InGame/Expedition/Tome/TomeRuneCelestial","Art/2DArt/UIImages/InGame/Expedition/Remnant/RemnantRuneCelestial",15363,"Art/2DArt/UIImages/InGame/EnemyHealthBars/Runes/EnemyRuneCelestial","Art/2DArt/UIImages/InGame/Expedition/Tome/TomeRuneCelestial"
20,"Opulent","",231,232,"Art/2DArt/UIImages/InGame/Expedition/Tome/TomeRuneOpulent","Art/2DArt/UIImages/InGame/Expedition/Remnant/RemnantRuneOpulent",15366,"Art/2DArt/UIImages/InGame/EnemyHealthBars/Runes/EnemyRuneOpulent","Art/2DArt/UIImages/InGame/Expedition/Tome/TomeRuneOpulent"
21,"Rage","",233,234,"Art/2DArt/UIImages/InGame/Expedition/Tome/TomeRuneEnrage","Art/2DArt/UIImages/InGame/Expedition/Remnant/RemnantRuneEnrage",15369,"Art/2DArt/UIImages/InGame/EnemyHealthBars/Runes/EnemyRuneEnrage","Art/2DArt/UIImages/InGame/Expedition/Tome/TomeRuneEnrage"
22,"Wisdom","",235,236,"Art/2DArt/UIImages/InGame/Expedition/Tome/TomeRuneWisdom","Art/2DArt/UIImages/InGame/Expedition/Remnant/RemnantRuneWisdom",15372,"Art/2DArt/UIImages/InGame/EnemyHealthBars/Runes/EnemyRuneWisdom","Art/2DArt/UIImages/InGame/Expedition/Tome/TomeRuneWisdom"
23,"Sky","",237,238,"Art/2DArt/UIImages/InGame/Expedition/Tome/TomeRareRuneSky","Art/2DArt/UIImages/InGame/Expedition/Remnant/RemnantRareRuneSky",15375,"Art/2DArt/UIImages/InGame/EnemyHealthBars/Runes/EnemyRareRuneSky","Art/2DArt/UIImages/InGame/Expedition/Tome/TomeRareRuneSky"
24,"Earth","",239,240,"Art/2DArt/UIImages/InGame/Expedition/Tome/TomeRareRuneEarth","Art/2DArt/UIImages/InGame/Expedition/Remnant/RemnantRareRuneEarth",15378,"Art/2DArt/UIImages/InGame/EnemyHealthBars/Runes/EnemyRareRuneEarth","Art/2DArt/UIImages/InGame/Expedition/Tome/TomeRareRuneEarth"
25,"Life","",241,242,"Art/2DArt/UIImages/InGame/Expedition/Tome/TomeRareRuneLife","Art/2DArt/UIImages/InGame/Expedition/Remnant/RemnantRareRuneLife",15381,"Art/2DArt/UIImages/InGame/EnemyHealthBars/Runes/EnemyRareRuneLife","Art/2DArt/UIImages/InGame/Expedition/Tome/TomeRareRuneLife"
26,"Bond","",243,244,"Art/2DArt/UIImages/InGame/Expedition/Tome/TomeRareRuneBond","Art/2DArt/UIImages/InGame/Expedition/Remnant/RemnantRareRuneBond",15384,"Art/2DArt/UIImages/InGame/EnemyHealthBars/Runes/EnemyRareRuneBond","Art/2DArt/UIImages/InGame/Expedition/Tome/TomeRareRuneBond"
27,"Ward","",245,246,"Art/2DArt/UIImages/InGame/Expedition/Tome/TomeRareRuneWard","Art/2DArt/UIImages/InGame/Expedition/Remnant/RemnantRareRuneWard",15387,"Art/2DArt/UIImages/InGame/EnemyHealthBars/Runes/EnemyRareRuneWard","Art/2DArt/UIImages/InGame/Expedition/Tome/TomeRareRuneWard"
28,"Soul","",247,248,"Art/2DArt/UIImages/InGame/Expedition/Tome/TomeRareRuneSoul","Art/2DArt/UIImages/InGame/Expedition/Remnant/RemnantRareRuneSoul",15390,"Art/2DArt/UIImages/InGame/EnemyHealthBars/Runes/EnemyRareRuneSoul","Art/2DArt/UIImages/InGame/Expedition/Tome/TomeRareRuneSoul"
29,"Death","",249,250,"Art/2DArt/UIImages/InGame/Expedition/Tome/TomeRareRuneDeath","Art/2DArt/UIImages/InGame/Expedition/Remnant/RemnantRareRuneDeath",15393,"Art/2DArt/UIImages/InGame/EnemyHealthBars/Runes/EnemyRareRuneDeath","Art/2DArt/UIImages/InGame/Expedition/Tome/TomeRareRuneDeath"
30,"Oath","",251,252,"Art/2DArt/UIImages/InGame/Expedition/Tome/TomeRareRuneOath","Art/2DArt/UIImages/InGame/Expedition/Remnant/RemnantRareRuneOath",15396,"Art/2DArt/UIImages/InGame/EnemyHealthBars/Runes/EnemyRareRuneOath","Art/2DArt/UIImages/InGame/Expedition/Tome/TomeRareRuneOath"
31,"Time","",253,254,"Art/2DArt/UIImages/InGame/Expedition/Tome/TomeRareRuneTime","Art/2DArt/UIImages/InGame/Expedition/Remnant/RemnantRareRuneTime",15399,"Art/2DArt/UIImages/InGame/EnemyHealthBars/Runes/EnemyRareRuneTime","Art/2DArt/UIImages/InGame/Expedition/Tome/TomeRareRuneTime"
32,"Power","",255,255,"Art/2DArt/UIImages/InGame/Expedition/Tome/TomeRareRunePower","Art/2DArt/UIImages/InGame/Expedition/Remnant/RemnantRareRunePower",15401,"Art/2DArt/UIImages/InGame/EnemyHealthBars/Runes/EnemyRareRunePower","Art/2DArt/UIImages/InGame/Expedition/Tome/TomeRareRunePower"
33,"Bait","",255,255,"Art/2DArt/UIImages/InGame/Expedition/Tome/TomeRareRunePower","Art/2DArt/UIImages/InGame/Expedition/Remnant/RemnantRareRunePower","","Art/2DArt/UIImages/InGame/EnemyHealthBars/Runes/EnemyRareRunePower","Art/2DArt/UIImages/InGame/Expedition/Tome/TomeRareRunePower"
