"rownum","GroundEffectTypesKey","i32_16","i32_20","BuffVisual1","f32_40","[i32]_44","bool_60","AOFile","[string]_77","EndEffect","BuffVisual2","MiscObject1","MiscObject2","rid_149","rid_165","bool_181","bool_182","bool_183","BuffVisual3","rid_200","bool_216","bool_217","bool_218","Animation"
33,0,1001,2,"",200,[],1,"[""Metadata/Effects/Spells/ground_effects/invisground/rig.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","","",""
34,0,1002,2,"",385,[],1,"[""Metadata/Effects/Spells/monsters_effects/Act4_FOUR/ForsakenSon/burnt_ground.ao""]","[""loop""]","fadeout","","",393,"","","",1,"","","",1,1,"",""
35,0,1003,2,"",100,[],"","[""Metadata/Effects/Spells/crossbow/flaming_grd.ao""]","[""idle""]","fadeout","","","","","","",1,"","","","","","",""
36,0,1004,2,"",70,[],"","[""Metadata/Effects/Spells/monsters_effects/Act3_FOUR/BloodBathers/ao/smouldering_grd.ao""]","[""loop""]","fadeout","","","","","","",1,"","","",1,1,"",""
37,0,1005,2,"",170,[],1,"[""Metadata/Effects/Spells/ground_effects_v3/burning/burning_grd.ao""]","[""loop""]","fadeout","","","","","","",1,"","","",1,1,"",""
38,0,1006,2,"",100,[],"","[""Metadata/Effects/Spells/crossbow/flaming_grd.ao""]","[""idle""]","fadeout","","","","","","",1,"","","","","","",""
39,0,1007,2,"",100,[],1,"[""Metadata/Effects/Spells/flame_wall/flame_wall.ao""]","[""loop""]","end","","","","","","","","","","","","","",""
40,0,1008,2,"",165,[],1,"[""Metadata/Effects/Spells/ground_effects_v3/burning/burning_grd.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","","",""
41,0,1009,2,"",175,[],1,"[""Metadata/Effects/Spells/monsters_effects/Act5_FOUR/FallenGods/Miniboss/corr_fire_burningground.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","","",""
42,0,1010,2,"",130,[],1,"[""Metadata/Effects/Spells/monsters_effects/Act5_FOUR/FallenGods/Miniboss/exalt_skybeam_degen.ao""]","[""loop""]","end","","","","","","",1,"","","",1,1,"",""
43,0,1011,2,"",400,[],1,"[""Metadata/Effects/Spells/monsters_effects/Act4_FOUR/ForsakenSon/burnt_ground.ao""]","[""loop""]","fadeout","","","","","","",1,"","","",1,1,"",""
44,0,1012,2,"",165,[],1,"[""Metadata/Effects/Spells/ground_effects_v3/burning/burning_grd.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","","",""
45,0,1013,2,"",165,[],1,"[""Metadata/Effects/Spells/ground_effects_v3/burning/burning_grd.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","","",""
46,0,1014,2,"",175,[],1,"[""Metadata/Effects/Spells/monsters_effects/Act5_FOUR/FallenGods/Miniboss/chaos_dash_burningground.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","","",""
47,0,1015,2,"",145,[],1,"[""Metadata/Effects/Spells/monsters_effects/Act5_FOUR/FallenGods/Lunaris/corr_fire_burningground.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","","",""
48,0,1016,2,"",145,[],1,"[""Metadata/Effects/Spells/monsters_effects/Act1_FOUR/WifeMonster/ghostflame_burningground.ao""]","[""loop""]","fadeout",2282,"","","","","",1,"","","","","","",""
49,0,1017,2,"",200,[],1,"[""Metadata/Effects/Spells/ground_effects/invisground/rig.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","","",""
50,0,1018,2,"",100,[],"","[""Metadata/Effects/Spells/monsters_effects/Act2_FOUR/GreatSnakeSkeletonBoss/fireTornado.ao""]","[""loop""]","end","","","","","","",1,"","","","","","",""
51,0,1019,2,2247,200,[],1,"[""Metadata/Effects/Spells/monsters_effects/Act3_FOUR/VaalHumanoidCannon/ao/burning_ground.ao""]","[""loop""]","end","","","","","","",1,"","","","","","",""
52,0,1020,2,"",150,[],1,"[""Metadata/Effects/Spells/monsters_effects/Act3_FOUR/Doryani/fire_skybeam.ao""]","[""loop""]","end","","","","","","",1,"","","",1,1,"",""
53,0,1021,2,"",250,[],1,"[""Metadata/Effects/Spells/monsters_effects/League_Sanctum/TheExperimets/envHazard_Fire.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","","",""
54,0,1022,2,"",175,[],"","[""Metadata/Effects/Spells/monsters_effects/monster_mods/fire/burned_ground/ao/grd_Burning01_instant.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","","",""
55,0,1023,2,"",175,[],1,"[""Metadata/Effects/Spells/monsters_effects/monster_mods/fire/burned_ground/ao/grd_Burning01.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","",1,"",""
56,0,1024,2,"",175,[],1,"[""Metadata/Effects/Spells/monsters_effects/League_Abyss/general_effects/burning_ground/burning_ground.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","",1,"",""
57,0,1025,2,"",365,[],1,"[""Metadata/Effects/Spells/monsters_effects/Act4_FOUR/Tavakai/volcano_grd.ao""]","[""loop""]","fadeout","","","","","","",1,"","","",1,1,"",""
58,0,1026,2,"",175,[],1,"[""Metadata/Effects/Spells/monsters_effects/Act4_FOUR/Ngamahu/BlackbarkDemolisher/flameblast_burning_grd.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","",1,"",""
59,0,1027,2,"",480,[],1,"[""Metadata/Effects/Spells/monsters_effects/Act4_FOUR/Tavakai/sun_grd.ao""]","[""loop""]","fadeout","","","","","","","","","","",1,1,"",""
60,0,1028,2,"",500,[],1,"[""Metadata/Effects/Spells/monsters_effects/Act2_FOUR/SaltGolemBoss/molten_ground.ao""]","[""loop""]","end","","","","","","",1,"","","","",1,"",""
61,0,1029,2,"",50,[],"","[""Metadata/Effects/Spells/monsters_effects/League_Abyss/Cocoon3/fireTornado.ao""]","[""loop""]","end","","","","","","",1,"","","",1,"","",""
62,0,1030,2,"",130,[],"","[""Metadata/Effects/Spells/monsters_effects/League_Abyss/SerpentClanCaster/grd_Burning01.ao""]","[""loop""]","fadeout","","","","","","","","","","","","","",""
63,0,1031,2,"",50,[],"","[""Metadata/Effects/Spells/monsters_effects/Act4_FOUR/CaptainRoth/Sand/fieresand_geyser.ao""]","[""loop""]","end","","","","","","",1,"","","",1,"","",""
64,0,1032,2,"",100,[],1,"[""Metadata/Effects/Spells/monsters_effects/League_Incursion/ArchitectBoss/AOs/Combo_Fire_Geyser.ao""]","[""loop""]","end","","","","","","","","","","",1,"","",""
65,0,1033,2,"",400,[],1,"[""Metadata/Effects/Spells/monsters_effects/Act4_FOUR/ForsakenSon/burnt_ground.ao""]","[""loop""]","fadeout","","","","","","",1,"","","",1,1,"",""
66,0,1034,2,"",80,[],1,"[""Metadata/Effects/Spells/monsters_effects/League_Expedition_New/HermitSpider/burning_ground.ao""]","[""loop""]","fadeout","","","","","","",1,"","","",1,1,"",""
67,0,1035,2,"",122,[],1,"[""Metadata/Effects/Spells/monsters_effects/League_Expedition_New/Miniboss_01/burning_ground.ao""]","[""loop""]","fadeout","","","","","","","","","","","",1,"",""
68,0,1036,2,"",100,[],1,"[""Metadata/Effects/Spells/monsters_effects/Endgame_FOUR/Precursor_Reactor_Guardian_01/burning_ground.ao""]","[""loop""]","fadeout","","","","","","","","","","","","","",""
69,0,1037,2,"",122,[],1,"[""Metadata/Effects/Spells/monsters_effects/League_Expedition_New/Miniboss_01/burning_ground.ao""]","[""loop""]","fadeout","","","","","","","","","","","",1,"",""
70,0,1038,2,"",125,[],1,"[""Metadata/Effects/Spells/monsters_effects/League_Expedition_New/Shakari/burning_ground.ao""]","[""idle""]","fadeout","","","","","","","","","","","","","",""
71,1,0,1,"",0,[],"","[""Metadata/Effects/Spells/ground_effects/ice/ice.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","","",""
72,1,0,2,"",185,[],1,"[""Metadata/Effects/Spells/grd_Zones/grd_Chilled01.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","","",""
73,1,1,2,"",150,[],1,"[""Metadata/Effects/Spells/monsters_effects/hellion/ice/icepatchremain_new.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","","",""
74,1,2,1,"",0,[],"","[""Metadata/Effects/Spells/ground_effects/mercury/rig.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","","",""
75,1,2,2,"",120,[],1,"[""Metadata/Effects/Spells/ground_effects_v2/ice_mercury/ice_mercury_01.ao"",""Metadata/Effects/Spells/ground_effects_v2/ice_mercury/ice_mercury_02.ao"",""Metadata/Effects/Spells/ground_effects_v2/ice_mercury/ice_mercury_03.ao"",""Metadata/Effects/Spells/ground_effects_v2/ice_mercury/ice_mercury_04.ao"",""Metadata/Effects/Spells/ground_effects_v2/ice_mercury/ice_mercury_05.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","","",""
76,1,3,1,"",0,[],"","[""Metadata/Effects/Spells/ground_effects/mercury/merc_pool.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","","",""
77,1,4,2,"",200,[],1,"[""Metadata/Effects/Spells/monsters_effects/LeagueHarvest/harvest_monsters/ground_effects/chilling_spores.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","","",""
78,1,5,2,"",130,[],1,"[""Metadata/Effects/Microtransactions/Spells/ice_dash/frontier_wrangler/ICE_decal.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","","",""
79,1,6,2,"",250,[],1,"[""Metadata/Effects/Spells/ground_effects_v3/chilled/chilled_grd_arctic_armour.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","","",""
80,1,7,2,"",250,[],1,"[""Metadata/Effects/Microtransactions/Misc/uniques/KulemaksBirth/abyss_ice_ground.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","","",""
81,1,8,2,"",350,[],1,"[""Metadata/Effects/Microtransactions/Spells/Sorceress/Obsidian/cold_icenova/grd_Chilled01_obsidian.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","","",""
82,1,1000,2,"",89,[],1,"[""Metadata/Effects/Spells/monsters_effects/Act4_FOUR/QuillCrabCold/ao/IceExpand.ao""]","[""loop""]","fadeout","","","","","","",1,"","","",1,"","",""
83,1,1001,2,"",89,[],1,"[""Metadata/Effects/Spells/monsters_effects/Act4_FOUR/QuillCrabCold/ao/IceExpand.ao""]","[""loop""]","fadeout","","","","","","",1,"","","",1,"","",""
84,1,1002,2,"",300,[],"","[""Metadata/Effects/Spells/cold_vortex/ao/cold_vortex.ao""]","[""loop""]","end","","","","","","","","","","","","","",""
85,1,1003,2,"",1000,[],1,"[""Metadata/Effects/Spells/monsters_effects/Act1_FOUR/Baron/ice_breath_grd_once.ao""]","[""animate""]","end","","",445,"","","",1,"","","","","","",""
86,1,1004,2,"",300,[],1,"[""Metadata/Effects/Spells/monsters_effects/Act2_FOUR/GrimdropGrappleclaw/ao/chilled_grd_impact.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","","",""
87,1,1005,2,"",150,[],"","[""Metadata/Effects/Spells/monsters_effects/League_Sanctum/TheExperimets/grd_Chilled01.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","","",""
88,1,1006,2,"",185,[],1,"[""Metadata/Effects/Spells/monsters_effects/Act3_FOUR/Chimera/ao/grd_Chilled01_TEMP.ao""]","[""loop""]","fadeout","","","","","","",1,"","","",1,"","",""
89,1,1007,2,"",185,[],1,"[""Metadata/Effects/Spells/monsters_effects/monster_mods/ice/chilled_ground/ao/grd_Chilled01.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","",1,"",""
90,1,1008,2,"",200,[],1,"[""Metadata/Effects/Spells/cold_frozen_vortex/frozen_vortex.ao""]","[""vortex""]","animationPreSet","","","","","","",1,"","","","",1,"",""
91,1,1009,2,"",200,[],1,"[""Metadata/Effects/Spells/ground_effects/invisground/rig.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","","",""
92,1,1010,2,"",185,[],1,"[""Metadata/Effects/Spells/monsters_effects/Act3_FOUR/ChaosGodOwlBoss_Cold/ao/ice_ground.ao""]","[""loop""]","end","","","","","","",1,"","","",1,"","",""
93,1,1011,2,"",225,[],"","[""Metadata/Effects/Spells/monsters_effects/Act4_FOUR/Tavakai/moon_beam.ao""]","[""loop""]","end","","",824,"","",1,1,"","","",1,"","",""
94,1,1012,2,"",175,[],1,"[""Metadata/Effects/Spells/monsters_effects/Act4_FOUR/Tavakai/night_hollow.ao""]","[""loop""]","end","","","","","",1,1,"","","","","","",""
95,1,1013,2,"",615,[],1,"[""Metadata/Effects/Spells/monsters_effects/League_Incursion/ArchitectBoss/AOs/Tablet_RepulseSlam_Charge.ao""]","[""loop""]","end","","",955,"","","",1,"","","",1,"","",""
96,1,1014,2,"",200,[],1,"[""Metadata/Effects/Spells/cold_frozen_vortex/frozen_vortex.ao""]","[""vortex""]","animationPreSet","","","","","","",1,"","","","",1,"",""
97,1,1015,2,"",160,[],1,"[""Metadata/Effects/Spells/monsters_effects/League_Expedition_New/Miniboss_01/chilled_ground.ao""]","[""loop""]","fadeout","","","","","","",1,"","","",1,"","",""
98,1,1016,2,"",870,[],1,"[""Metadata/Effects/Spells/monsters_effects/Endgame_FOUR/Precursor_Corruption_Processor_01/ice_cascade_slam_ground.ao""]","[""loop""]","fadeout","","","","","","",1,"","","",1,"","",""
99,1,1017,2,2782,90,[],1,"[""Metadata/Effects/Spells/monsters_effects/League_Expedition_New/HoneyAnt/honeypuddle.ao""]","[""idle""]","fadeout","","",1088,"","","",1,"","","","","","",""
100,7,1000,2,238,100,[],1,"[""Metadata/Effects/Spells/monsters_effects/Act2_FOUR/MastadonBoss/ao/necromancer_shocked_grd.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","","",""
101,7,0,1,"",40,[],1,"[""Metadata/Effects/Spells/ground_effects/lightning/lightning_ground_01.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","","",""
102,7,0,2,"",190,[],1,"[""Metadata/Effects/Spells/grd_Zones/grd_Shocked01.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","","",""
103,7,1,2,"",100,[],"","[""Metadata/Effects/Microtransactions/Spells/lighting_trap/celestial/groundEffects/rig.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","","",""
104,7,2,2,"",200,[],1,"[""Metadata/Effects/Spells/monsters_effects/LeagueHarvest/harvest_monsters/ground_effects/static_spores.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","","",""
105,7,3,2,"",130,[],"","[""Metadata/Effects/Spells/monsters_effects/League_Hellscape/boss_pale_king/doublethrow_shocked_grd.ao""]","[""loop""]","fadeout","","",691,"","","",1,"","","","","","",""
106,7,4,2,"",150,[],1,"[""Metadata/Effects/Spells/monsters_effects/monster_mods/lightning/shocked_ground/ao/shocked_ground.ao""]","[""idle""]","end","","","","","","",1,"","","",1,"","",""
107,7,5,2,"",200,[],1,"[""Metadata/Effects/Spells/monsters_effects/AtlasofWorldsBosses/TheTangle/ao/orb_grd_effect.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","","",""
108,7,6,2,"",130,[],1,"[""Metadata/Effects/Spells/monsters_effects/monster_mods/lightning/shocked_ground/ao/shocked_ground.ao""]","[""idle""]","end","","","","","","",1,"","","","","","",""
109,7,1002,2,"",250,[],1,"[""Metadata/Effects/Spells/ground_effects_v3/shocking/shocking_grd.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","","",""
110,7,1003,2,"",180,[],"","[""Metadata/Effects/Spells/grd_Zones/grd_Shocked01.ao""]","[""loop""]","fadeout","","","","","","","","","","","","","",""
111,7,1004,2,2211,200,[],1,"[""Metadata/Effects/Spells/monsters_effects/Act2_FOUR/PerennialKing/ao/minion_explode.ao""]","[""loop""]","end","","","","","","",1,"","","","","","",""
112,7,1005,2,"",300,[],1,"[""Metadata/Effects/Spells/monsters_effects/Act2_FOUR/GrimdropGrappleclaw/ao/shocked_grd_impact.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","","",""
113,7,1006,2,2211,200,[],1,"[""Metadata/Effects/Spells/monsters_effects/Act2_FOUR/PerennialKing/ao/beetle_nova.ao""]","[""loop""]","end","","","","","","",1,"","","","","","",""
114,7,1007,2,"",175,[],1,"[""Metadata/Effects/Spells/monsters_effects/monster_mods/lightning/shocked_ground/ao/shocked_ground_instant.ao""]","[""idle""]","end","","","","","","",1,"","","","","","",""
115,7,1008,2,"",200,[],1,"[""Metadata/Effects/Spells/monsters_effects/monster_mods/mana_donut/ao/shocking_grd.ao""]","[""idle""]","off","","",722,"","","",1,"","","","","","",""
116,7,1009,2,"",570,[],1,"[""Metadata/Effects/Spells/monsters_effects/League_Incursion/MechaQueenOfFilth/curse_nuke.ao""]","[""idle""]","fadeout","","","","","","",1,"","","","","","",""
117,7,1010,2,"",125,[],1,"[""Metadata/Effects/Spells/monsters_effects/AtlasofWorldsBosses/Atziri/lightning_spear_degen.ao""]","[""loop""]","end","","","","","","",1,"","","","","","",""
118,7,7,2,"",190,[],1,"[""Metadata/Effects/Microtransactions/Spells/Huntress/Valkyrie/spear_overchargedspear/grd_Shocked.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","","",""
119,7,8,2,"",190,[],1,"[""Metadata/Effects/Microtransactions/Spells/Huntress/DarkTempest/storm_lance/grd_Shocked.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","","",""
120,7,9,2,"",190,[],1,"[""Metadata/Effects/Microtransactions/Spells/Sorceress/Darkshard/lightning_warp/ao/darkshard_grd_Shocked01.ao""]","[""loop""]","fadeout","","","","","","","","","","","","","",""
121,7,10,2,"",175,[],1,"[""Metadata/Effects/Microtransactions/Spells/Huntress/SpiritWalker/spear_overcharged_spear/grd_Shocked01.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","","",""
122,7,1011,2,"",175,[],1,"[""Metadata/Effects/Spells/monsters_effects/monster_mods/lightning/shocked_ground/ao/shocked_ground_instant.ao""]","[""idle""]","end","","","","","","",1,"","","","","","",""
123,7,1012,2,"",125,[],1,"[""Metadata/Effects/Spells/monsters_effects/Endgame_FOUR/Precursor_Reactor_Guardian_02/shocked_ground.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","","",""
124,5,0,1,"",0,[],"","[""Metadata/Effects/Spells/ground_effects/evil/ground_01.ao"",""Metadata/Effects/Spells/ground_effects/evil/ground_02.ao"",""Metadata/Effects/Spells/ground_effects/evil/ground_03.ao""]","[""loop""]","fadeout","","","","","","","","","","","","","",""
