"rownum","i32_0","[rid]_4","[rid]_20","[i32]_36","bool_52","i32_53","i32_57","i32_61","i32_65","bool_69","[i32]_70","bool_86","i32_87","bool_91","[string]_92","[rid]_108","bool_124"
56,1027,[],[722],[14],1,2,0,0,120,"",[],"",2,"",[],[],""
57,1028,[],[722],[13],1,2,0,0,120,"",[],"",2,"",[],[],""
58,1029,[],[722],[16],1,2,0,0,120,"",[],"",2,"",[],[],""
59,1030,[],[722],[15],1,2,0,0,120,"",[],"",2,"",[],[],""
60,1031,[],[784],[],1,3,0,0,120,"",[],"",2,"",[],[],""
61,1032,[],[785],[],1,3,0,0,120,"",[],"",2,"",[],[],""
62,1033,[],[785],[],1,3,0,0,120,"",[],"",2,"",[],[],""
63,1034,[],[785],[],1,3,0,0,120,"",[],"",2,"",[],[],""
64,1035,[],[786],[],1,3,0,0,120,"",[],"",2,"",[],[],""
65,1036,[],[784],[],1,3,0,0,120,"",[],"",2,"",[],[],""
66,1037,[],[786],[],1,3,0,0,120,"",[],"",2,"",[],[],""
67,1038,[],[786],[],1,3,0,0,120,"",[],"",2,"",[],[],""
68,1039,[],[787],[],1,3,0,0,120,"",[],"",0,"",[],[],""
69,1040,[],[808],[],1,2,0,0,120,"",[],"",3,1,"[""chest_jntBnd""]",[],""
70,1041,[],[819],[],1,2,0,0,120,"",[],"",6,1,"[""FX_Socket""]",[],""
71,1042,[],[815],[],1,2,0,0,120,"",[],"",6,1,"[""R_clavicle_jntBnd"",""L_clavicle_jntBnd""]",[],""
72,1043,[],[619],[],1,3,0,0,80,"",[],"",2,"","[""skull_1"",""skull_2"",""skull_3"",""skull_4"",""skull_5"",""skull_6"",""skull_7"",""skull_8""]",[],""
73,1044,[],[817],[],1,2,0,0,120,"",[],"",2,"",[],[],""
74,1045,[],[667],[],1,3,0,0,120,"",[],"",10,"","[""aux_beam_01""]",[],""
75,1046,[],[846],[],1,2,0,0,40,1,[2],"",2,"","[""eye_ribbon_jntBnd_1""]",[],""
76,1047,[],[645],[],1,2,0,0,80,"",[],"",2,"","[""R_Weapon"",""L_Weapon""]",[],""
77,1048,[],[645],[],1,2,0,0,80,"",[],"",2,"","[""R_Weapon"",""L_Weapon""]",[],""
78,1049,[],[851],[],1,2,4,2,120,"",[],"",5,"","[""jaw_jntBnd""]",[],""
79,1050,[],[3],[],1,2,0,0,120,"",[0],"",2,"","[""sphere_01""]",[],""
80,1051,[],[859],[],1,2,0,0,120,"",[],"",2,"",[],[],""
81,1052,[],[862],[],"",2,0,0,120,"",[],"",2,"","[""aux_R_Weapon_attachment_jntBnd_02""]",[],1
82,1053,[],[883],[],1,3,0,0,120,1,[8],1,0,"",[],[],""
83,1054,[],[885],[],1,3,0,0,120,1,[8],1,0,"",[],[],""
84,1055,[],[784],[],1,3,0,0,120,"",[],"",2,"",[],[],""
85,1056,[],[896],[],1,2,0,0,170,"",[2],"",2,"","[""aux_R_Weapon_attachment_jntBnd_02""]",[],""
86,1057,[],[897],[2],1,2,0,0,170,1,[2],"",2,"",[],[],1
87,1058,[],[898],[2],1,2,0,0,170,1,[2],"",2,"",[],[],1
88,1059,[],[899],[2],1,2,0,0,170,1,[2],"",2,"",[],[],1
89,1060,[],[900],[2],1,2,0,0,170,1,[2],"",2,"",[],[],1
90,1061,[],[901],[2],1,2,0,0,170,1,[2],"",2,"",[],[],1
91,1062,[],[905],"[18,19,20,21,22]",1,2,0,0,120,"",[],"",2,"",[],[],""
92,1063,[],[918],"[18,19,20,21,22]","",3,0,0,120,"",[],"",2,"",[],[],""
93,1064,[],[919],[22],1,2,0,0,20,"",[],"",2,"",[],[],""
94,1065,[],[917],[4],1,2,0,0,120,"",[],"",2,"",[],[],1
95,1066,[],[917],[],1,2,0,0,120,1,[8],"",2,"","[""aux_line_01""]",[],""
96,1067,[],[860],[],1,2,0,0,120,"",[],"",2,"","[""aux_eye_offset""]",[],""
97,1068,[],[784],[],1,3,0,0,120,"",[],"",2,"",[],[],""
98,1069,[],[902],[1],1,2,0,0,120,1,[],"",2,"",[],[],""
99,1070,[],[701],[],1,3,0,0,120,"",[],"",0,"",[],[],""
100,1071,[],[702],[],1,3,0,0,120,"",[],"",0,"",[],[],""
101,1072,[],[703],[],1,3,0,0,120,"",[],"",0,"",[],[],""
