"rownum","Id","Name","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","LocalLevelStat","LocalQualityStat","GlobalSpellLevelStat"
56,"stages","[GainsStages|Staged]","[GainsStages|Paliers]","[GainsStages|Phasen]","[GainsStages|ステージ]","[GainsStages|단계]","[GainsStages|Estágios]","[GainsStages|Стадии]","[GainsStages|Fases]","[GainsStages|เก็บสเตจ]","[GainsStages|獲得疊層]","","",""
57,"conditional","[Conditional]","[Conditional|Conditionnel]","[Conditional|Bedingung]","[Conditional|条件]","[Conditional|조건부]","[Conditional|Condicional]","[Conditional|Условие]","[Conditional|Condicional]","[Conditional|มีเงื่อนไข]","[Conditional|條件]","","",""
58,"companion","[Companion]","[Companion|Compagnon]","[Companion|Gefährte]","[Companion|コンパニオン]","[Companion|반려수]","[Companion|Companheiro]","[Companion|Компаньон]","[Companion|Compañero]","[Companion|สหาย]","[Companion|盟友]","","",""
59,"hazard","[Hazard]","[Hazard|Péril]","[Hazard|Gefahr]","[Hazard|ハザード]","[Hazard|위해 요소]","[Hazard|Ameaça]","[Hazard|Помеха]","[Hazard|Peligro]","[Hazard|พื้นที่อันตราย]","[Hazard|危險]","","",""
60,"barrageable","[Repeat|Barrageable]","[Repeat|Répétable]","[Repeat|Sperrfeuer]","[Repeat|バラージ可能]","[Repeat|연발 사격 가능]","[Repeat|Barragem]","[Repeat|Допускает очередь]","[Repeat|Aluvional]","[Repeat|ระดมยิงได้]","[Repeat|可施展彈幕]","","",""
61,"lineage","[LineageSupports|Lineage]","[LineageSupports|Lignage]","[LineageSupports|Abstammung]","[LineageSupports|リネージュ]","[LineageSupports|혈통]","[LineageSupports|Origem]","[LineageSupports|Династический]","[LineageSupports|Linaje]","[LineageSupports|สายสกุล]","[LineageSupports|族裔]","","",""
62,"merging","[Merging]","[Merging|Fusionnement]","[Merging|Verschmelzung]","[Merging|マージ]","[Merging|합쳐짐]","[Merging|Fusão]","[Merging|Слияние]","[Merging|Fusión]","[Merging|ผสานความเสียหาย]","[Merging|融合]","","",""
63,"invocation","[Invocation]","[Invocation|Évocation]","[Invocation|Beschwörung]","[Invocation|インボケーション]","[Invocation|기원]","[Invocation|Invocação]","[Invocation|Вызов]","[Invocation|Conjuración]","[Invocation|มนต์]","[Invocation|祈願]","","",""
64,"plant","[Plant]","[Plant|Plante]","[Plant|Pflanze]","[Plant|プラント]","[Plant|식물]","[Plant|Planta]","[Plant|Растение]","[Plant|Planta]","[Plant|ต้นไม้]","[Plant|植物]","","",""
65,"wind","[Wind]","[Wind|Vent]","[Wind|Wind]","[Wind|ウィンド]","[Wind|바람]","[Wind|Vento]","[Wind|Ветер]","[Wind|Viento]","[Wind|สายลม]","[Wind|疾風]","","",""
66,"storm","[Storm]","[Storm|Tempête]","[Storm|Sturm]","[Storm|ストーム]","[Storm|폭풍]","[Storm|Tempestade]","[Storm|Буря]","[Storm|Tormenta]","[Storm|พายุ]","[Storm|風暴]","","",""
