"rownum","Mod","Stats","StatsValues"
170,2865,[170],[-10]
171,2993,[118],[240]
172,3268,[945],[5]
173,3419,[19420],[200]
174,3420,[6539],[1]
175,3549,[21311],[8000]
176,3564,[19426],[1]
177,3570,[19508],[1]
178,3571,[19507],[1]
179,3580,[19456],[1]
180,3614,[434],[180]
181,3615,[775],[180]
182,3616,[1240],[25]
183,3644,[2779],[4]
184,3684,[209],[40]
185,3685,[3224],[40]
186,3911,[2345],[50]
187,3406,[14448],[20]
188,3072,[69],[7]
189,3310,[18048],[50]
190,3651,[17940],[7]
191,3652,[18717],[7]
192,3659,[17589],[1]
193,2316,[588],[75]
194,2439,[134],[-30]
195,2544,[117],[-5]
196,2546,[117],[-20]
197,2549,[117],[8]
198,2860,[170],[-10]
199,3104,[18040],[15]
200,3123,[18041],[15]
201,3154,[538],[150]
202,3155,[538],[25]
203,3174,[18043],[40]
204,3182,[18044],[40]
205,3347,[18452],[-50]
206,3399,[2525],[25]
207,3401,[475],[4]
208,3445,[23],[10]
209,3473,[20085],[-10]
210,3475,[20085],[22]
211,3543,[19087],[100]
212,3680,[19854],[2]
213,3695,[1601],[1]
214,3726,[4755],[100]
215,3727,[17958],[10]
216,3729,[19178],[50]
217,3731,[1190],[1]
218,3733,[18897],[100]
219,3741,[15616],[1]
220,3742,[16858],[12]
221,3743,[18875],[1]
222,3900,[21529],[1]
223,2548,[117],[-20]
224,2988,[118],[750]
225,2991,[118],[273]
226,3038,[3003],[500]
227,3055,[100],[5]
228,3113,[210],[12]
229,3315,[18242],[25]
230,3317,[18049],[15]
231,3357,[152],[12]
232,3409,[741],[1]
233,3436,[196],[-50]
234,3437,[9534],[50]
235,3440,"[12481,12619]","[1,1]"
236,3451,[19237],[1]
237,3474,[20085],[7]
238,3535,[18237],[12]
239,3542,[2030],[1]
240,3551,[7699],[25]
241,3653,[17927],[35]
242,3657,[1395],[4000]
243,3676,[1985],[-30]
244,3694,[5054],[1]
245,3757,[8112],[1]
246,3758,[8110],[1]
247,3759,[8120],[1]
248,3820,[7345],[1]
249,3821,[7648],[-1]
250,4038,[1470],[100]
251,4039,[17833],[100]
252,4044,[19627],[100]
253,2333,[137],[40]
254,2617,[126],[50]
255,2984,[118],[570]
256,3267,[945],[4]
257,3411,[16849],[75]
258,3418,[1878],[1]
259,3538,[16698],[1]
260,3544,[5459],[-5]
261,3545,[5460],[15]
262,3691,[4866],[300]
263,3692,[20113],[1]
264,3560,[19428],[1]
265,3561,[19413],[40]
266,3562,[19416],[1]
267,3457,[18610],[1]
268,3700,[19988],[1]
269,3048,[98],[15]
270,3050,[98],[30]
271,3322,[18596],[40]
272,3572,[19504],[1]
273,3573,[19454],[1]
274,3696,[20583],[1]
275,3699,[18728],[100]
276,3706,[3990],[10000]
277,3309,[18048],[100]
278,3407,[2310],[1]
279,3698,[23791],[100]
280,3049,[98],[12]
281,3062,[100],[12]
282,3105,[210],[7]
283,3403,[20566],[1]
284,3598,[18862],[25]
285,3752,[18807],[25]
286,3051,[98],[7]
287,3108,[210],[15]
288,3109,[210],[15]
289,3114,[210],[15]
290,3308,[18048],[100]
291,3312,[18242],[100]
292,3047,[98],[25]
293,3059,[100],[15]
294,3082,[69],[50]
295,3282,[167],[3]
296,3336,[168],[25]
297,3404,[169],[50]
298,3405,[1077],[-50]
299,3602,[1125],[2]
300,3060,[100],[5]
301,3314,[18242],[40]
302,3702,[19025],[-30]
303,3704,[20557],[100]
304,3707,[4360],[2]
305,4062,[193],[30]
306,3574,[19511],[50]
307,3664,[956],[1]
308,3957,[22022],[1]
309,3843,[20885],[10]
310,2446,[134],[12]
311,2447,[134],[12]
312,2448,[134],[35]
313,2449,[134],[10]
314,2451,[134],[15]
315,2454,[134],[15]
316,3882,[693],[1]
317,3941,"[20968,20970,20971]","[1,60,5000]"
318,3281,[18731],[20]
319,3880,[7954],[1]
320,3879,[12373],[1]
321,3897,[21513],[1]
322,3428,[8965],[50]
323,3513,[3251],[15]
324,3922,[20887],[100]
325,3483,[1079],[20]
326,3431,[20984],[20]
327,3915,[21402],[1]
328,3959,[21679],[1]
329,3854,[21345],[1]
330,3896,[3103],[1]
331,3609,[7341],[25]
332,3881,[1612],[1]
333,3951,[21504],[6000]
334,3949,[22190],[2]
335,2480,[143],[20]
336,2482,[143],[20]
337,4063,[193],[25]
338,3622,[9407],[1]
339,3623,[9408],[1]
340,3972,[15657],[1]
341,2393,[139],[25]
342,2394,[139],[30]
343,2395,[139],[25]
344,2396,[139],[30]
345,2399,[139],[25]
346,3842,[21339],[1]
347,3950,[21503],[1]
348,3944,[21753],[1]
349,3930,[21358],[10]
350,3877,[20983],[4]
351,3863,[466],[25]
352,3907,[21530],[15]
353,3339,[8946],[7]
354,3851,[21055],[1]
355,3839,[1321],[1]
356,3833,[20992],[1]
357,3608,[2220],[20]
358,3984,[580],[10]
359,3983,[21653],[1]
360,3844,[20886],[5]
361,3846,[20990],[1]
362,3847,[20988],[100]
363,3845,[20890],[10]
364,3831,[20994],[1]
365,3985,[2596],[1]
366,3974,[21847],[100]
367,3529,[132],[40]
368,3918,[20889],[10000]
369,3277,[131],[40]
370,3278,[131],[75]
371,3279,[131],[1000]
372,3923,[21672],[100]
373,3906,[1230],[150]
374,4037,[17835],[100]
375,2360,[137],[30]
376,2363,[137],[25]
377,3955,[21555],[1]
378,3597,[18862],[15]
379,3940,[446],[1]
380,4009,[446],[1]
381,3943,[21752],[1]
382,3107,[210],[20]
383,2613,[112],[125]
384,3663,[159],[-25]
385,3916,[5651],[1]
386,3066,[331],[5]
387,3948,[21515],[1]
388,3039,[2998],[650]
389,3040,[2998],[1000]
390,3041,[2998],[800]
391,3878,[14608],[5000]
392,3860,[21439],[1]
393,2998,[118],[2700]
394,2999,[118],[900]
395,3000,[118],[750]
396,3001,[118],[600]
397,3003,[118],[450]
398,3004,[118],[1800]
399,3005,[118],[1350]
400,3006,[118],[300]
401,4040,[1473],[100]
402,2422,[141],[40]
403,2425,[141],[30]
404,2427,[141],[30]
405,2921,[1102],[15]
406,2933,[1104],[50]
407,3458,[4800],[1]
408,3954,[21359],[1]
409,3982,[21971],[1]
410,3962,[21777],[40]
411,3958,[21682],[32]
412,3894,[2751],[15]
413,3895,[2751],[20]
414,3095,[69],[25]
415,3083,[69],[10]
416,3966,[18368],[25]
417,3992,[22051],[1]
418,3884,[103],[1]
419,3569,[4607],[5]
420,3408,[5126],[100]
421,3323,[18596],[175]
422,3862,[12546],[1]
423,3832,[20995],[1]
424,3834,[20993],[1]
425,3892,[19690],[-20]
426,3883,[1242],[1]
427,3359,[152],[-50]
428,3914,[15781],[1]
429,3973,[21754],[1]
430,3624,[9405],[1]
431,3625,[9406],[1]
432,3924,[21688],[1]
433,3963,[21685],[50]
434,3964,[21685],[100]
435,3929,[21686],[50]
436,3348,[18452],[-50]
437,3349,[18452],[45]
438,3965,[21779],[1]
439,3337,[168],[25]
440,3928,[15579],[1]
441,3835,[20965],[1]
442,3665,[1271],[1]
443,3264,[13998],[-40]
444,3265,[13998],[-50]
445,3257,[201],[40]
446,3261,[13997],[-50]
447,3316,[18049],[75]
448,3853,[19223],[25]
449,3899,[20570],[4]
450,3661,[2386],[1]
451,3885,[21372],[25]
452,3861,[21309],[1]
453,3840,[21312],[1]
454,3893,[20009],[1]
455,10342,[3224],[22]
