"rownum","Id","HASH16","ModType","Level","Stat1","Stat2","Stat3","Stat4","Domain","Name","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","GenerationType","Families","Stat1Value","i32_130","Stat2Value","i32_138","Stat3Value","i32_146","Stat4Value","i32_154","SpawnWeight_Tags","[i32]_174","Tags","GrantedEffectsPerLevel","AuraFlags","[i32]_238","MonsterMetadata","MonsterKillAchievements","ChestModType","Stat5Value","i32_298","Stat5","FullAreaClear_AchievementItems","AchievementItems","GenerationWeight_Tags","GenerationWeight_Values","ModifyMapsAchievements","Stat6Value","i32_402","Stat6","MaxLevel","bool_426","CraftingItemClassRestrictions","MonsterOnDeath","i32_451","HeistAchievements","Stat7Value","i32_475","Stat7","Stat8","Stat8Value","i32_515","InfluenceType","ImplicitTags","HasHardmodeStatValues","Stat1MinHardmode","Stat1MaxHardmode","Stat2MinHardmode","Stat2MaxHardmode","Stat3MinHardmode","Stat3MaxHardmode","Stat4MinHardmode","Stat4MaxHardmode","Stat5MinHardmode","Stat5MaxHardmode","Stat6MinHardmode","Stat6MaxHardmode","Stat7MinHardmode","Stat7MaxHardmode","Stat8MinHardmode","Stat8MaxHardmode","BuffTemplate","ArchnemesisMinionMod","HASH32","BuffTemplate2","i32_648","[rid]_652","RadiusJewelType","IsEssenceOnlyModifier","SpawnLevel_Override","SpawnWeight_Values"
10,"Dexterity2",16685,443,11,570,"","","",1,"of the Lynx","du Lynx","des Luchses","リンクスの","- 스라소니","do Lince","рыси","del lince ","of the Lynx","山貓之",2,[148],9,12,0,0,0,0,0,0,"[2,3,22,21,39,43,41,44,12,1015,14,569,13,5,1017,1024,0]",[],[],[],[],[],"",[],[],0,0,"",[],[],[],[],[],0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,[584],"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",139741561,[],0,[],3,"",0,"[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0]"
11,"Dexterity3",10074,443,22,570,"","","",1,"of the Fox","du Renard","des Fuchses","狐の","- 여우","da Raposa","лисы","del zorro","of the Fox","狐狸之",2,[148],13,16,0,0,0,0,0,0,"[2,3,22,21,39,43,41,44,12,1015,14,569,13,5,1017,1024,0]",[],[],[],[],[],"",[],[],0,0,"",[],[],[],[],[],0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,[584],"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",186526788,[],0,[],3,"",0,"[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0]"
12,"Dexterity4",50910,443,33,570,"","","",1,"of the Falcon","du Faucon","des Falken","隼の","- 매","do Falcão","сокола","del halcón ","of the Falcon","獵鷹之",2,[148],17,20,0,0,0,0,0,0,"[2,3,22,21,39,43,41,44,12,1015,14,569,13,5,1017,1024,0]",[],[],[],[],[],"",[],[],0,0,"",[],[],[],[],[],0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,[584],"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",114212880,[],0,[],3,"",0,"[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0]"
13,"Dexterity5",56313,443,44,570,"","","",1,"of the Panther","de la Panthère","des Panthers","パンサーの","- 흑표","da Pantera","пантеры","de la pantera","of the Panther","豹之",2,[148],21,24,0,0,0,0,0,0,"[2,3,22,21,39,43,41,44,12,1015,14,569,13,5,1017,1024,0]",[],[],[],[],[],"",[],[],0,0,"",[],[],[],[],[],0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,[584],"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",1283495801,[],0,[],3,"",0,"[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0]"
14,"Dexterity6",5978,443,55,570,"","","",1,"of the Leopard","du Léopard","des Leoparden","豹の","- 표범","do Leopardo","леопарда","del leopardo ","of the Leopard","花豹之",2,[148],25,27,0,0,0,0,0,0,"[2,3,22,21,39,43,41,44,12,1015,14,569,13,5,1017,1024,0]",[],[],[],[],[],"",[],[],0,0,"",[],[],[],[],[],0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,[584],"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",3989961355,[],0,[],3,"",0,"[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0]"
15,"Dexterity7",15758,443,66,570,"","","",1,"of the Jaguar","du Jaguar","des Jaguars","ジャガーの","- 재규어","do Jaguar","ягуара","del jaguar","of the Jaguar","美洲豹之",2,[148],28,30,0,0,0,0,0,0,"[2,3,22,21,39,43,41,44,12,1015,14,569,13,5,1017,1024,0]",[],[],[],[],[],"",[],[],0,0,"",[],[],[],[],[],0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,[584],"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",116669306,[],0,[],3,"",0,"[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0]"
16,"Dexterity8",59101,443,74,570,"","","",1,"of the Phantom","de l'Apparition","des Phantoms","幻像の","- 유령","da Assombração","фантома","del fantasma","of the Phantom","幻影之",2,[148],31,33,0,0,0,0,0,0,"[2,3,22,21,39,43,41,44,12,1015,14,569,13,5,1017,1024,0]",[],[],[],[],[],"",[],[],0,0,"",[],[],[],[],[],0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,[584],"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",2085132949,[],0,[],3,"",0,"[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0]"
17,"Dexterity9",41555,443,81,570,"","","",1,"of the Wind","du Vent","des Windes","風の","- 바람","do Vento","ветра","del viento","of the Wind","風之",2,[148],34,36,0,0,0,0,0,0,"[22,0]",[],[],[],[],[],"",[],[],0,0,"",[],[],[],[],[],0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,[584],"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",1940247030,[],0,[],3,"",0,"[1,0]"
18,"Intelligence1",5016,447,1,567,"","","",1,"of the Pupil","de l'Élève","des Schülers","生徒の","- 제자","do Pupilo","ученика","del pupilo","of the Pupil","瞳孔之",2,[149],5,8,0,0,0,0,0,0,"[2,3,25,40,42,43,44,13,569,1019,9,10,37,1024,304,0]",[],[],[],[],[],"",[],[],0,0,"",[],[],[],[],[],0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,[584],"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",2441708049,[],0,[],3,"",0,"[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0]"
19,"Intelligence2",45645,447,11,567,"","","",1,"of the Student","de l'Étudiant","des Studenten","学徒の","- 학생","do Aluno","слушателя","del estudiante ","of the Student","學徒之",2,[149],9,12,0,0,0,0,0,0,"[2,3,25,40,42,43,44,13,569,1019,9,10,37,1024,304,0]",[],[],[],[],[],"",[],[],0,0,"",[],[],[],[],[],0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,[584],"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",2079902133,[],0,[],3,"",0,"[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0]"
20,"Intelligence3",44673,447,22,567,"","","",1,"of the Prodigy","du Prodige","des Wunders","神童の","- 영재","do Prodígio","одарённого","del prodigio ","of the Prodigy","奇才之",2,[149],13,16,0,0,0,0,0,0,"[2,3,25,40,42,43,44,13,569,1019,9,10,37,1024,304,0]",[],[],[],[],[],"",[],[],0,0,"",[],[],[],[],[],0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,[584],"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",1776535394,[],0,[],3,"",0,"[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0]"
21,"Intelligence4",47460,447,33,567,"","","",1,"of the Augur","du Devin","der Prophezeiung","占師の","- 점술가","do Áugure","авгура","del augur","of the Augur","預言之",2,[149],17,20,0,0,0,0,0,0,"[2,3,25,40,42,43,44,13,569,1019,9,10,37,1024,304,0]",[],[],[],[],[],"",[],[],0,0,"",[],[],[],[],[],0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,[584],"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",2058994653,[],0,[],3,"",0,"[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0]"
22,"Intelligence5",46613,447,44,567,"","","",1,"of the Philosopher","du Philosophe","des Philosophen","哲学者の","- 철학자","do Filósofo","философа","del filósofo ","of the Philosopher","哲學家之",2,[149],21,24,0,0,0,0,0,0,"[2,3,25,40,42,43,44,13,569,1019,9,10,37,1024,304,0]",[],[],[],[],[],"",[],[],0,0,"",[],[],[],[],[],0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,[584],"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",2020724324,[],0,[],3,"",0,"[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0]"
23,"Intelligence6",25951,447,55,567,"","","",1,"of the Sage","du Sage","des Weisen","賢者の","- 현자","do Erudito","мудреца","del sabio","of the Sage","聖人之",2,[149],25,27,0,0,0,0,0,0,"[2,3,25,40,42,43,44,13,569,1019,9,10,37,1024,304,0]",[],[],[],[],[],"",[],[],0,0,"",[],[],[],[],[],0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,[584],"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",1430728728,[],0,[],3,"",0,"[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0]"
24,"Intelligence7",33120,447,66,567,"","","",1,"of the Savant","du Savant","des Gelehrten","碩学の","- 학자","do Entendido","эрудита","del erudito ","of the Savant","大學者之",2,[149],28,30,0,0,0,0,0,0,"[2,3,25,40,42,43,44,13,569,1019,9,10,37,1024,304,0]",[],[],[],[],[],"",[],[],0,0,"",[],[],[],[],[],0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,[584],"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",1677845857,[],0,[],3,"",0,"[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0]"
25,"Intelligence8",5358,447,74,567,"","","",1,"of the Virtuoso","du Virtuose","des Virtuosen","巨匠の","- 거장","do Virtuoso","виртуоза","del virtuoso ","of the Virtuoso","神技之",2,[149],31,33,0,0,0,0,0,0,"[2,3,25,40,42,43,44,13,569,1019,9,10,37,1024,304,0]",[],[],[],[],[],"",[],[],0,0,"",[],[],[],[],[],0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,[584],"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",2494791773,[],0,[],3,"",0,"[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0]"
26,"Intelligence9",19875,447,81,567,"","","",1,"of the Genius","du Génie","des Genies","天才の","- 천재","do Gênio","гения","del genio","of the Genius","天才之",2,[149],34,36,0,0,0,0,0,0,"[25,0]",[],[],[],[],[],"",[],[],0,0,"",[],[],[],[],[],0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,[584],"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",4079009411,[],0,[],3,"",0,"[1,0]"
27,"AllAttributes1",57975,449,1,594,"","","",1,"of the Clouds","des Nuages","der Wolken","天雲の","- 구름","das Nuvens","облаков","de las nubes","of the Clouds","雲端之",2,[150],2,4,0,0,0,0,0,0,"[3,2,0]",[],[],[],[],[],"",[],[],0,0,"",[],[],[],[],[],0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,[584],"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",1887408648,[],0,[],3,"",0,"[1,1,0]"
28,"AllAttributes2",37560,449,11,594,"","","",1,"of the Sky","du Ciel","des Firmaments","空の","- 하늘","do Céu","неба","del cielo","of the Sky","天空之",2,[150],5,7,0,0,0,0,0,0,"[3,2,0]",[],[],[],[],[],"",[],[],0,0,"",[],[],[],[],[],0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,[584],"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",2609252670,[],0,[],3,"",0,"[1,1,0]"
29,"AllAttributes3",54439,449,22,594,"","","",1,"of the Meteor","du Météore","des Meteoriten","隕石の","- 유성","do Meteoro","метеора","del meteoro","of the Meteor","流星之",2,[150],8,10,0,0,0,0,0,0,"[3,2,0]",[],[],[],[],[],"",[],[],0,0,"",[],[],[],[],[],0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,[584],"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",249944642,[],0,[],3,"",0,"[1,1,0]"
30,"AllAttributes4",37112,449,33,594,"","","",1,"of the Comet","de la Comète","des Kometen","彗星の","- 혜성","do Cometa","кометы","del cometa","of the Comet","彗星之",2,[150],11,13,0,0,0,0,0,0,"[3,2,0]",[],[],[],[],[],"",[],[],0,0,"",[],[],[],[],[],0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,[584],"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",1518652028,[],0,[],3,"",0,"[1,1,0]"
31,"AllAttributes5",54222,449,44,594,"","","",1,"of the Heavens","du Paradis","der Himmel","天の","- 천국","do Paraíso","небес","de los cielos","of the Heavens","天堂之",2,[150],14,16,0,0,0,0,0,0,"[3,0]",[],[],[],[],[],"",[],[],0,0,"",[],[],[],[],[],0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,[584],"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",1639035519,[],0,[],3,"",0,"[1,0]"
32,"AllAttributes6",27858,449,55,594,"","","",1,"of the Galaxy","de la Galaxie","der Galaxie","銀河の","- 은하","da Galáxia","галактики","de la galaxia","of the Galaxy","銀河之",2,[150],17,18,0,0,0,0,0,0,"[3,0]",[],[],[],[],[],"",[],[],0,0,"",[],[],[],[],[],0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,[584],"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",3840247863,[],0,[],3,"",0,"[1,0]"
33,"AllAttributes7",30580,449,66,594,"","","",1,"of the Universe","de l'Univers","des Universums","宇宙の","- 우주","do Universo","вселенной","del universo","of the Universe","宇宙之",2,[150],19,20,0,0,0,0,0,0,"[3,0]",[],[],[],[],[],"",[],[],0,0,"",[],[],[],[],[],0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,[584],"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",1318205926,[],0,[],3,"",0,"[1,0]"
34,"AllAttributes8",13220,449,75,594,"","","",1,"of the Multiverse","du Multivers","des Multiversums","多元宇宙の","- 다중 우주","do Multiverso","многомирья","del multiverso","of the Multiverse","多宙之",2,[150],21,22,0,0,0,0,0,0,"[3,0]",[],[],[],[],[],"",[],[],0,0,"",[],[],[],[],[],0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,[584],"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",3299079943,[],0,[],3,"",0,"[1,0]"
35,"AllAttributes9_",16419,449,82,594,"","","",1,"of the Infinite","de l'Infini","des Unendlichen","無限の","- 무한","do Infinito","бесконечности","del infinito","of the Infinite","無限之",2,[150],23,24,0,0,0,0,0,0,"[3,0]",[],[],[],[],[],"",[],[],0,0,"",[],[],[],[],[],0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,[584],"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",1869229897,[],0,[],3,"",0,"[1,0]"
36,"FireResist1",17800,144,1,139,"","","",1,"of the Whelpling","du Dragonnet","des Welplings","仔竜の","- 새끼용","do Filhote","углей","de la cría de dragón","of the Whelpling","幼龍之",2,[49],6,10,0,0,0,0,0,0,"[7,2,3,26,0]",[],[],[],[],[],"",[],[],0,0,"",[],[],[],[],[],0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,"[1264,1265,320,311,583]","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",647783188,[],0,[],3,"",0,"[1,1,1,1,0]"
37,"FireResist2",26400,144,12,139,"","","",1,"of the Salamander","de la Salamandre","des Salamanders","サラマンダーの","- 불도마뱀","da Salamandra","саламандры","de la salamandra","of the Salamander","火蜥蜴之",2,[49],11,15,0,0,0,0,0,0,"[7,2,3,26,0]",[],[],[],[],[],"",[],[],0,0,"",[],[],[],[],[],0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,"[1264,1265,320,311,583]","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",2013470499,[],0,[],3,"",0,"[1,1,1,1,0]"
38,"FireResist3",58582,144,24,139,"","","",1,"of the Drake","du Drake","des Drachens","ドレイクの","- 비룡","do Dragonete","дракона","del draco","of the Drake","火龍之",2,[49],16,20,0,0,0,0,0,0,"[7,2,3,26,0]",[],[],[],[],[],"",[],[],0,0,"",[],[],[],[],[],0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,"[1264,1265,320,311,583]","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",3787916561,[],0,[],3,"",0,"[1,1,1,1,0]"
39,"FireResist4",32622,144,36,139,"","","",1,"of the Kiln","du Four","des Brennofens","窯の","- 가마","do Forno","печи","del horno","of the Kiln","窯爐之",2,[49],21,25,0,0,0,0,0,0,"[7,2,3,26,0]",[],[],[],[],[],"",[],[],0,0,"",[],[],[],[],[],0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,"[1264,1265,320,311,583]","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",1114193159,[],0,[],3,"",0,"[1,1,1,1,0]"
40,"FireResist5",50533,144,48,139,"","","",1,"of the Furnace","de la Fournaise","des Ofens","炉の","- 용광로","da Fornalha","жаровни","de la caldera","of the Furnace","爐火之",2,[49],26,30,0,0,0,0,0,0,"[7,2,3,26,0]",[],[],[],[],[],"",[],[],0,0,"",[],[],[],[],[],0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,"[1264,1265,320,311,583]","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",3341156931,[],0,[],3,"",0,"[1,1,1,1,0]"
41,"FireResist6",58674,144,60,139,"","","",1,"of the Volcano","du Volcan","des Vulkans","火山の","- 화산","do Vulcão","вулкана","del volcán","of the Volcano","火山之",2,[49],31,35,0,0,0,0,0,0,"[7,2,3,26,0]",[],[],[],[],[],"",[],[],0,0,"",[],[],[],[],[],0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,"[1264,1265,320,311,583]","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",2106759328,[],0,[],3,"",0,"[1,1,1,1,0]"
42,"FireResist7",56312,144,71,139,"","","",1,"of Magma","du Magma","der Magma","マグマの","- 마그마","do Magma","магмы","de magma","of Magma","熔岩屏障之",2,[49],36,40,0,0,0,0,0,0,"[7,2,3,26,0]",[],[],[],[],[],"",[],[],0,0,"",[],[],[],[],[],0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,"[1264,1265,320,311,583]","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",1434226308,[],0,[],3,"",0,"[1,1,1,1,0]"
43,"FireResist8",19475,144,82,139,"","","",1,"of Tzteosh","de Tzteosh","des Tzteosh","ツティオシュの","- 체오쉬","de Tzteosh","Тзтиоша","de Tzteosh","of Tzteosh","提耶須之",2,[49],41,45,0,0,0,0,0,0,"[7,2,3,26,0]",[],[],[],[],[],"",[],[],0,0,"",[],[],[],[],[],0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,"[1264,1265,320,311,583]","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",3189568015,[],0,[],3,"",0,"[1,1,1,1,0]"
44,"ColdResist1",23717,145,1,141,"","","",1,"of the Seal","du Phoque","der Robbe","アシカの","- 봉인","da Foca","тюленя","de la foca","of the Seal","海豹之",2,[50],6,10,0,0,0,0,0,0,"[7,2,3,26,0]",[],[],[],[],[],"",[],[],0,0,"",[],[],[],[],[],0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,"[1266,1264,320,312,583]","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",1561395636,[],0,[],3,"",0,"[1,1,1,1,0]"
