"rownum","Id","[string]_8","[string]_24","[string]_40"
32,"L_finger_1_jntBnd_3","[""*L_finger_jntBnd_1""]","[""L_finger_1_jntBnd_3"",""phys_skinned_L_membrane_jntBnd_11""]","[""L_finger_1_jntBnd_3""]"
33,"L_finger_2_jntBnd_1","[""*L_finger_jntBnd_2""]","[""L_finger_2_jntBnd_1"",""phys_skinned_L_membrane_jntBnd_06""]","[""L_finger_2_jntBnd_1""]"
34,"L_finger_2_jntBnd_2","[""L_finger_jntBnd_2""]","[""L_finger_2_jntBnd_2"",""phys_skinned_L_membrane_jntBnd_07""]","[""L_finger_2_jntBnd_2""]"
35,"L_finger_2_jntBnd_3","[""*L_finger_jntBnd_2""]","[""L_finger_2_jntBnd_3""]","[""L_finger_2_jntBnd_3""]"
36,"L_finger_3_jntBnd_1","[""*L_finger_jntBnd_3""]","[""L_finger_3_jntBnd_1"",""phys_skinned_L_membrane_jntBnd_03""]","[""L_finger_3_jntBnd_1""]"
37,"L_finger_3_jntBnd_2","[""L_finger_jntBnd_3""]","[""L_finger_3_jntBnd_2"",""phys_skinned_L_membrane_jntBnd_04""]","[""L_finger_3_jntBnd_2""]"
38,"L_finger_3_jntBnd_3","[""*L_finger_jntBnd_3""]","[""L_finger_3_jntBnd_3"",""phys_skinned_L_membrane_jntBnd_05""]","[""L_finger_3_jntBnd_3""]"
39,"L_finger_4_jntBnd_1","[""*L_finger_jntBnd_4""]","[""*L_finger_3_jntBnd_1""]","[""L_finger_4_jntBnd_1""]"
40,"L_finger_4_jntBnd_2","[""L_finger_jntBnd_4""]","[""*L_finger_3_jntBnd_2""]","[""L_finger_4_jntBnd_2""]"
41,"L_finger_4_jntBnd_3","[""*L_finger_jntBnd_4""]","[""*L_finger_3_jntBnd_3""]","[""L_finger_4_jntBnd_3""]"
42,"R_clavicle_jntBnd","[""R_clavicle_jntBnd""]","[""R_clavicle_jntBnd"",""R_scalpula_jntBnd""]","[""R_clavicle_jntBnd"",""R_scalpula_jntBnd"",""R_trapezius_jntBnd""]"
43,"R_shoulder_jntBnd","[""R_shoulder_jntBnd"",""R_shoulderblade_jntBnd""]","[""R_shoulder_jntBnd"",""R_wing_base_jntBnd""]","[""R_shoulder_jntBnd"",""R_deltoid_jntBnd""]"
44,"R_shoulder_attachment_jntBnd","[""*R_shoulder_jntBnd""]","[""*R_shoulder_jntBnd""]","[""*R_shoulder_jntBnd""]"
45,"R_upperArm_attachment_jntBnd","[""*R_shoulder_cTwist_jntBnd_1""]","[""*R_shoulder_cTwist_jntBnd_1""]","[""*R_shoulder_cTwist_jntBnd_1""]"
46,"R_shoulder_cTwist_jntBnd_1","[""R_shoulder_cTwist_jntBnd_1"",""R_bicep_jntBnd""]","[""R_shoulder_cTwist_jntBnd_1"",""phys_skinned_R_membrane_jntBnd_01"",""phys_skinned_R_membrane_jntBnd_02""]","[""R_shoulder_cTwist_jntBnd_1""]"
47,"R_elbow_jntBnd","[""R_elbow_jntBnd""]","[""R_elbow_jntBnd""]","[""R_elbow_jntBnd"",""R_elbow_tip_jntBnd""]"
48,"R_elbow_attachment_jntBnd","[""*R_elbow_jntBnd""]","[""*R_elbow_jntBnd""]","[""*R_elbow_jntBnd""]"
49,"R_elbow_Twist_jntBnd_1","[""R_elbow_Twist_jntBnd_1""]","[""R_elbow_Twist_jntBnd_1"",""R_elbow_F_membrane_jntBnd"",""R_elbow_spike_jntBnd_1""]","[""R_elbow_Twist_jntBnd_1""]"
50,"R_elbow_Twist_jntBnd_2","[""R_elbow_Twist_jntBnd_2""]","[""R_elbow_Twist_jntBnd_2"",""R_elbow_spike_jntBnd_2""]","[""R_elbow_Twist_jntBnd_2""]"
51,"R_elbow_Twist_jntBnd_3","[""R_elbow_Twist_jntBnd_3""]","[""R_elbow_Twist_jntBnd_3""]","[""R_elbow_Twist_jntBnd_3""]"
52,"R_wrist_jntBnd","[""R_wrist_jntBnd""]","[""R_wrist_jntBnd""]","[""R_wrist_jntBnd""]"
53,"aux_R_Weapon_attachment_jntBnd","[""*R_wrist_jntBnd""]","[""R_Weapon""]","[""*R_wrist_jntBnd""]"
54,"aux_R_Weapon_attachment_jntBnd_02","[""*R_wrist_jntBnd""]","[""*R_Weapon""]","[""*R_wrist_jntBnd""]"
55,"R_thumb_1_jntBnd_1","[""*R_thumb_jntBnd_5""]","[""R_thumb_1_jntBnd_1""]","[""R_thumb_1_jntBnd_1""]"
56,"R_thumb_1_jntBnd_2","[""R_thumb_jntBnd_5""]","[""R_thumb_1_jntBnd_2""]","[""R_thumb_1_jntBnd_2""]"
57,"R_thumb_1_jntBnd_3","[""*R_thumb_jntBnd_5""]","[""R_thumb_1_jntBnd_3"",""R_finger_1_jntBnd_4""]","[""R_thumb_1_jntBnd_3""]"
58,"R_finger_1_jntBnd_1","[""*R_finger_jntBnd_1""]","[""R_finger_1_jntBnd_1"",""phys_skinned_R_membrane_jntBnd_09""]","[""R_finger_1_jntBnd_1""]"
59,"R_finger_1_jntBnd_2","[""R_finger_jntBnd_1""]","[""R_finger_1_jntBnd_2"",""phys_skinned_R_membrane_jntBnd_10""]","[""R_finger_1_jntBnd_2""]"
60,"R_finger_1_jntBnd_3","[""*R_finger_jntBnd_1""]","[""R_finger_1_jntBnd_3"",""phys_skinned_R_membrane_jntBnd_11""]","[""R_finger_1_jntBnd_3""]"
61,"R_finger_2_jntBnd_1","[""*R_finger_jntBnd_2""]","[""R_finger_2_jntBnd_1"",""phys_skinned_R_membrane_jntBnd_06""]","[""R_finger_2_jntBnd_1""]"
62,"R_finger_2_jntBnd_2","[""R_finger_jntBnd_2""]","[""R_finger_2_jntBnd_2"",""phys_skinned_R_membrane_jntBnd_07""]","[""R_finger_2_jntBnd_2""]"
63,"R_finger_2_jntBnd_3","[""*R_finger_jntBnd_2""]","[""R_finger_2_jntBnd_3""]","[""R_finger_2_jntBnd_3""]"
64,"R_finger_3_jntBnd_1","[""*R_finger_jntBnd_3""]","[""R_finger_3_jntBnd_1"",""phys_skinned_R_membrane_jntBnd_03""]","[""R_finger_3_jntBnd_1""]"
65,"R_finger_3_jntBnd_2","[""R_finger_jntBnd_3""]","[""R_finger_3_jntBnd_2"",""phys_skinned_R_membrane_jntBnd_04""]","[""R_finger_3_jntBnd_2""]"
66,"R_finger_3_jntBnd_3","[""*R_finger_jntBnd_3""]","[""R_finger_3_jntBnd_3"",""phys_skinned_R_membrane_jntBnd_05""]","[""R_finger_3_jntBnd_3""]"
67,"R_finger_4_jntBnd_1","[""*R_finger_jntBnd_4""]","[""*R_finger_3_jntBnd_1""]","[""R_finger_4_jntBnd_1""]"
68,"R_finger_4_jntBnd_2","[""R_finger_jntBnd_4""]","[""*R_finger_3_jntBnd_2""]","[""R_finger_4_jntBnd_2""]"
69,"R_finger_4_jntBnd_3","[""*R_finger_jntBnd_4""]","[""*R_finger_3_jntBnd_3""]","[""R_finger_4_jntBnd_3""]"
70,"spine_2_jntBnd","[""spine_2_jntBnd""]","[""spine_2_jntBnd""]","[""spine_2_jntBnd""]"
71,"spine_1_jntBnd","[""spine_1_jntBnd"",""belly_jntBnd""]","[""spine_1_jntBnd""]","[""spine_1_jntBnd""]"
72,"hip_jntBnd","[""hip_jntBnd"",""butt_jntBnd"",""tail_jntBnd"",""phys_tail_long_jntBnd_01"",""phys_tail_long_jntBnd_02"",""phys_tail_long_jntBnd_03"",""phys_tail_long_jntBnd_04"",""phys_tail_long_jntBnd_05"",""phys_tail_long_jntBnd_06"",""phys_tail_long_jntBnd_07"",""phys_tail_long_jntBnd_08"",""phys_tail_long_jntBnd_09"",""phys_tail_long_jntBnd_10"",""phys_tail_long_jntBnd_11"",""phys_tail_long_jntBnd_12"",""phys_tail_long_jntBnd_13"",""phys_tail_long_jntBnd_14"",""phys_tail_long_jntBnd_15""]","[""hip_jntBnd"",""phys_skinned_tail_jntBnd_01"",""phys_skinned_tail_jntBnd_02"",""phys_skinned_tail_jntBnd_03"",""phys_skinned_tail_jntBnd_04"",""phys_skinned_tail_jntBnd_05"",""phys_skinned_tail_jntBnd_06"",""phys_skinned_tail_jntBnd_07"",""phys_skinned_tail_jntBnd_08"",""phys_skinned_tail_jntBnd_09"",""phys_skinned_tail_jntBnd_10"",""phys_skinned_tail_jntBnd_11"",""phys_skinned_tail_jntBnd_12"",""phys_skinned_tail_jntBnd_13"",""phys_skinned_tail_jntBnd_14""]","[""hip_jntBnd"",""phys_tri_tail_jntBnd_1"",""phys_tri_tail_jntBnd_2"",""phys_tri_tail_jntBnd_3"",""phys_tri_tail_jntBnd_4"",""phys_tri_tail_jntBnd_5"",""phys_tri_tail_jntBnd_6"",""phys_tri_long_tail_1_jntBnd"",""phys_tri_long_tail_2_jntBnd"",""phys_tri_long_tail_3_jntBnd"",""phys_tri_long_tail_4_jntBnd"",""phys_tri_long_tail_5_jntBnd"",""phys_tri_long_tail_6_jntBnd"",""phys_tri_long_tail_7_jntBnd"",""phys_tri_long_tail_8_jntBnd"",""phys_tri_long_tail_9_jntBnd"",""phys_tri_long_tail_10_jntBnd"",""phys_tri_long_tail_11_jntBnd"",""phys_tri_long_tail_12_jntBnd"",""phys_tri_long_tail_13_jntBnd"",""phys_tri_long_tail_14_jntBnd"",""phys_tri_long_tail_15_jntBnd""]"
73,"L_thigh_jntBnd","[""L_thigh_jntBnd"",""L_butt_jntBnd""]","[""L_thigh_jntBnd""]","[""L_thigh_jntBnd"",""L_butt_jntBnd""]"
74,"L_knee_jntBnd","[""L_knee_jntBnd""]","[""L_knee_jntBnd""]","[""L_knee_jntBnd""]"
75,"L_knee_attachment_jntBnd","[""*L_knee_jntBnd""]","[""*L_knee_jntBnd""]","[""*L_knee_jntBnd""]"
76,"L_ankle_jntBnd","[""L_ankle_jntBnd""]","[""L_ankle_jntBnd""]","[""L_ankle_jntBnd""]"
77,"L_foot_jntBnd","[""L_foot_jntBnd""]","[""L_foot_jntBnd""]","[""L_foot_jntBnd""]"
78,"aux_L_foot_attachment","[""*L_foot_jntBnd""]","[""*L_foot_jntBnd""]","[""*L_foot_jntBnd""]"
79,"L_toe_jntBnd","[""*L_foot_jntBnd""]","[""L_toe_jntBnd"",""L_inner_toe_jntBnd_1"",""L_inner_toe_jntBnd_2"",""L_inner_toe_jntBnd_3"",""L_mid_toe_jntBnd_1"",""L_mid_toe_jntBnd_2"",""L_mid_toe_jntBnd_3"",""L_outer_toe_jntBnd_1"",""L_outer_toe_jntBnd_2"",""L_outer_toe_jntBnd_3""]","[""L_toe_jntBnd"",""L_toe_1_jntBnd_1"",""L_toe_1_jntBnd_2"",""L_toe_2_jntBnd_1"",""L_toe_2_jntBnd_2"",""L_toe_3_jntBnd_1"",""L_toe_3_jntBnd_2"",""L_toe_4_jntBnd_1"",""L_toe_4_jntBnd_2""]"
80,"R_thigh_jntBnd","[""R_thigh_jntBnd"",""R_butt_jntBnd""]","[""R_thigh_jntBnd""]","[""R_thigh_jntBnd"",""R_butt_jntBnd""]"
81,"R_knee_jntBnd","[""R_knee_jntBnd""]","[""R_knee_jntBnd""]","[""R_knee_jntBnd""]"
82,"R_knee_attachment_jntBnd","[""*R_knee_jntBnd""]","[""*R_knee_jntBnd""]","[""*R_knee_jntBnd""]"
83,"R_ankle_jntBnd","[""R_ankle_jntBnd""]","[""R_ankle_jntBnd""]","[""R_ankle_jntBnd""]"
84,"R_foot_jntBnd","[""R_foot_jntBnd""]","[""R_foot_jntBnd""]","[""R_foot_jntBnd""]"
85,"aux_R_foot_attachment","[""*R_foot_jntBnd""]","[""*R_foot_jntBnd""]","[""*R_foot_jntBnd""]"
86,"R_toe_jntBnd","[""*R_foot_jntBnd""]","[""R_toe_jntBnd"",""R_inner_toe_jntBnd_1"",""R_inner_toe_jntBnd_2"",""R_inner_toe_jntBnd_3"",""R_mid_toe_jntBnd_1"",""R_mid_toe_jntBnd_2"",""R_mid_toe_jntBnd_3"",""R_outer_toe_jntBnd_1"",""R_outer_toe_jntBnd_2"",""R_outer_toe_jntBnd_3""]","[""R_toe_jntBnd"",""R_toe_1_jntBnd_1"",""R_toe_1_jntBnd_2"",""R_toe_2_jntBnd_1"",""R_toe_2_jntBnd_2"",""R_toe_3_jntBnd_1"",""R_toe_3_jntBnd_2"",""R_toe_4_jntBnd_1"",""R_toe_4_jntBnd_2""]"
