"rownum","Room","Level","Id","Description","Description (French)","Description (German)","Description (Japanese)","Description (Korean)","Description (Portuguese)","Description (Russian)","Description (Spanish)","Description (Thai)","Description (Traditional Chinese)","Name","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","Icon_DDSFile","Mod","ModValues","Description2","Description2 (French)","Description2 (German)","Description2 (Japanese)","Description2 (Korean)","Description2 (Portuguese)","Description2 (Russian)","Description2 (Spanish)","Description2 (Thai)","Description2 (Traditional Chinese)"
25,9,2,"viperlegionbarracks_lvl2","","","","","","","","","","","Viper's Loyals","Fidèles de la Vipère","Viperngetreue","ヴァイパーの側近","독사의 충신들","Leais da Víbora","Полк Гадюки","Leales a la víbora","กลุ่มผู้ภักดีแก่อสรพิษ","毒蛇營房","Art/Textures/Interface/2D/2DArt/UIImages/InGame/Incursion2/RoomIcons/IconViperLegionBarracks.dds",14760,[25],"May drop [IncursionMedallionIncreaseRoomTier|Quipolatl's Medallion] or [IncursionMedallionAddRoom|Uromoti's Medallion]","Peut céder un [IncursionMedallionIncreaseRoomTier|Médaillon de Quipolatl] ou un [IncursionMedallionAddRoom|Médaillon d'Uromoti]","Kann [IncursionMedallionIncreaseRoomTier|Quipolatls Medaillon] oder [IncursionMedallionAddRoom|Uromotis Medaillon] fallen lassen","[IncursionMedallionPreventDestabilise|フアタロトリのメダリオン]、[IncursionMedallionIncreaseRoomTier|キポラトルのメダリオン]または[IncursionMedallionAddRoom|ウロモティのメダリオン]をドロップする","[IncursionMedallionIncreaseRoomTier|퀴폴라틀의 메달리온] 또는 [IncursionMedallionAddRoom|우로모티의 메달리온]이 나올 수 있음","Pode largar o [IncursionMedallionIncreaseRoomTier|Medalhão de Quipolatl] ou [IncursionMedallionAddRoom|Medalhão de Uromoti]","Можно найти [IncursionMedallionIncreaseRoomTier|Медальон Квиполатля] или [IncursionMedallionAddRoom|Медальон Уромоти]","Puede dar un [IncursionMedallionIncreaseRoomTier|Medallón de Quipolatl] o un [IncursionMedallionAddRoom|Medallón de Uromoti]","อาจดรอป[IncursionMedallionIncreaseRoomTier|เหรียญตราคุยโปลาทัล]หรือ[IncursionMedallionIncreaseRoomTier|เหรียญตราอูรูมอที]","可能掉落 [IncursionMedallionIncreaseRoomTier|克特帕托聖徽] 或 [IncursionMedallionAddRoom|烏爾摩堤聖徽]"
26,9,3,"viperlegionbarracks_lvl3","","","","","","","","","","","Elite Legion","Légion d'élite","Elite-Legion","精鋭軍団","정예 군단","Legião de Elite","Элитный легион","Legión de élite","กองพันเอก","菁英軍團","Art/Textures/Interface/2D/2DArt/UIImages/InGame/Incursion2/RoomIcons/IconViperLegionBarracks.dds",14760,[35],"May drop [IncursionMedallionPreventDestabilise|Juatalotli's Medallion], [IncursionMedallionRerollRestrictedRoom|Hayoxi's Medallion], [IncursionMedallionAddRoom|Uromoti's Medallion], [IncursionMedallionAddAdditionalRestrictedRoom|Estazunti's Medallion] or [IncursionMedallionAddTempleModifier|Zantipi's Medallion]","Peut céder un [IncursionMedallionPreventDestabilise|Médaillon de Juatalotli], un [IncursionMedallionRerollRestrictedRoom|Médaillon d'Hayoxi], un [IncursionMedallionAddRoom|Médaillon d'Uromoti], un [IncursionMedallionAddAdditionalRestrictedRoom|Médaillon d'Estazunti] ou un [IncursionMedallionAddTempleModifier|Médaillon de Zantipi]","Kann [IncursionMedallionPreventDestabilise|Juatalotlis Medaillon], [IncursionMedallionRerollRestrictedRoom|Hayoxis Medaillon], [IncursionMedallionAddRoom|Uromotis Medaillon], [IncursionMedallionAddAdditionalRestrictedRoom|Estazuntis Medaillon] oder [IncursionMedallionAddTempleModifier|Zantipis Medaillon] fallen lassen","[IncursionMedallionPreventDestabilise|フアタロトリのメダリオン]、[IncursionMedallionRerollRestrictedRoom|ハヨキのメダリオン]、[IncursionMedallionAddRoom|ウロモティのメダリオン]、[IncursionMedallionAddAdditionalRestrictedRoom|エスタズンティのメダリオン]または[IncursionMedallionAddTempleModifier|ザンティピのメダリオン]をドロップすることがある","[IncursionMedallionPreventDestabilise|주앗탈로틀리의 메달리온], [IncursionMedallionRerollRestrictedRoom|하욕시의 메달리온], [IncursionMedallionAddRoom|우로모티의 메달리온], [IncursionMedallionMaximumCrystalCapacity|조펙의 메달리온], [IncursionMedallionMaximumMedallionCapacity|아즈카파의 메달리온], [IncursionMedallionAddAdditionalRestrictedRoom|에스타준티의 메달리온] 또는 [IncursionMedallionAddTempleModifier|잔티피의 메달리온]이 나올 수 있음","Pode largar o [IncursionMedallionPreventDestabilise|Medalhão de Juatalotli], [IncursionMedallionRerollRestrictedRoom|Medalhão de Hayoxi], [IncursionMedallionAddRoom|Medalhão de Uromoti], [IncursionMedallionAddAdditionalRestrictedRoom|Medalhão de Estazunti] ou [IncursionMedallionAddTempleModifier|Medalhão de Zantipi]","Можно найти [IncursionMedallionPreventDestabilise|Медальон Ваталотли], [IncursionMedallionRerollRestrictedRoom|Медальон Хайоши], [IncursionMedallionAddRoom|Медальон Уромоти], [IncursionMedallionAddAdditionalRestrictedRoom|Медальон Эстазунти] или [IncursionMedallionAddTempleModifier|Медальон Зантипи]","Puede dar un [IncursionMedallionPreventDestabilise|Medallón de Juatalotli], un [IncursionMedallionRerollRestrictedRoom|Medallón de Hayoxi], un [IncursionMedallionAddRoom|Medallón de Uromoti], un [IncursionMedallionAddAdditionalRestrictedRoom|Medallón de Estazunti] o un [IncursionMedallionAddTempleModifier|Medallón de Zantipi]","อาจดรอป[IncursionMedallionPreventDestabilise|เหรียญตราฮัวตาล็อตลี], [IncursionMedallionRerollRestrictedRoom|เหรียญตราเฮโยคี], [IncursionMedallionAddRoom|เหรียญตราอูรูมอที], [IncursionMedallionAddAdditionalRestrictedRoom|เหรียญตราเอสตาซุนที] หรือ[IncursionMedallionAddTempleModifier|เหรียญตราซานทีพี]","可能掉落 [IncursionMedallionPreventDestabilise|瓦爾羅特聖徽]、[IncursionMedallionRerollRestrictedRoom|荷霖蔡聖徽]、[IncursionMedallionAddRoom|烏爾摩堤聖徽]、[IncursionMedallionAddAdditionalRestrictedRoom|艾斯祖太聖徽] 或 [IncursionMedallionAddTempleModifier|善堤比聖徽]"
27,9,4,"viperlegionbarracks_lvl4","","","","","","","","","","","Unmatched Legionnaires","Unmatched Legionnaires","Unübertroffene Legionäre","比類なき軍団兵","대적할 자 없는 군단병","Legionários Imbatíveis","Несравненные легионеры","Legionarios inigualables","กองพันไร้พ่าย","無雙軍團兵","Art/Textures/Interface/2D/2DArt/UIImages/InGame/Incursion2/RoomIcons/IconViperLegionBarracks.dds",14760,[40],"May drop [IncursionMedallionPreventDestabilise|Juatalotli's Medallion], [IncursionMedallionRerollRestrictedRoom|Hayoxi's Medallion], [IncursionMedallionAddRoom|Uromoti's Medallion], [IncursionMedallionAddAdditionalRestrictedRoom|Estazunti's Medallion] or [IncursionMedallionAddTempleModifier|Zantipi's Medallion]","May drop [IncursionMedallionPreventDestabilise|Juatalotli's Medallion], [IncursionMedallionRerollRestrictedRoom|Hayoxi's Medallion], [IncursionMedallionAddRoom|Uromoti's Medallion], [IncursionMedallionAddAdditionalRestrictedRoom|Estazunti's Medallion] or [IncursionMedallionAddTempleModifier|Zantipi's Medallion]","Kann [IncursionMedallionPreventDestabilise|Juatalotlis Medaillon], [IncursionMedallionRerollRestrictedRoom|Hayoxis Medaillon], [IncursionMedallionAddRoom|Uromotis Medaillon], [IncursionMedallionAddAdditionalRestrictedRoom|Estazuntis Medaillon] oder [IncursionMedallionAddTempleModifier|Zantipis Medaillon] fallen lassen","[IncursionMedallionPreventDestabilise|フアタロトリのメダリオン]、[IncursionMedallionRerollRestrictedRoom|ハヨキのメダリオン]、[IncursionMedallionAddRoom|ウロモティのメダリオン]、[IncursionMedallionAddAdditionalRestrictedRoom|エスタズンティのメダリオン]または[IncursionMedallionAddTempleModifier|ザンティピのメダリオン]をドロップすることがある","[IncursionMedallionPreventDestabilise|주앗탈로틀리의 메달리온], [IncursionMedallionRerollRestrictedRoom|하욕시의 메달리온], [IncursionMedallionAddRoom|우로모티의 메달리온], [IncursionMedallionAddAdditionalRestrictedRoom|에스타준티의 메달리온] 또는 [IncursionMedallionAddTempleModifier|잔티피의 메달리온]이 나올 수 있음","Pode largar o [IncursionMedallionPreventDestabilise|Medalhão de Juatalotli], [IncursionMedallionRerollRestrictedRoom|Medalhão de Hayoxi], [IncursionMedallionAddRoom|Medalhão de Uromoti], [IncursionMedallionAddAdditionalRestrictedRoom|Medalhão de Estazunti] ou [IncursionMedallionAddTempleModifier|Medalhão de Zantipi]","Можно найти [IncursionMedallionPreventDestabilise|Медальон Ваталотли], [IncursionMedallionRerollRestrictedRoom|Медальон Хайоши], [IncursionMedallionAddRoom|Медальон Уромоти], [IncursionMedallionAddAdditionalRestrictedRoom|Медальон Эстазунти] или [IncursionMedallionAddTempleModifier|Медальон Зантипи]","Puede dar un [IncursionMedallionPreventDestabilise|Medallón de Juatalotli], un [IncursionMedallionRerollRestrictedRoom|Medallón de Hayoxi], un [IncursionMedallionAddRoom|Medallón de Uromoti], un [IncursionMedallionAddAdditionalRestrictedRoom|Medallón de Estazunti] o un [IncursionMedallionAddTempleModifier|Medallón de Zantipi]","อาจดรอป[IncursionMedallionPreventDestabilise|เหรียญตราฮัวตาล็อตลี], [IncursionMedallionRerollRestrictedRoom|เหรียญตราเฮโยคี], [IncursionMedallionAddRoom|เหรียญตราอูรูมอที], [IncursionMedallionAddAdditionalRestrictedRoom|เหรียญตราเอสตาซุนที] หรือ[IncursionMedallionAddTempleModifier|เหรียญตราซานทีพี]","可能掉落 [IncursionMedallionPreventDestabilise|瓦爾羅特聖徽]、[IncursionMedallionRerollRestrictedRoom|荷霖蔡聖徽]、[IncursionMedallionAddRoom|烏爾摩堤聖徽]、[IncursionMedallionAddAdditionalRestrictedRoom|艾斯祖太聖徽] 或 [IncursionMedallionAddTempleModifier|善堤比聖徽]"
28,10,1,"synthfleshlab_lvl1","","","","","","","","","","","Prosthetic Research","Laboratoire prothétique","Prothesenforschung","義肢研究","보철물 연구실","Pesquisa Protética","Лаборатория протезов","Investigación prostética","ห้องวิจัยอวัยวะเทียม","義肢研究室","Art/Textures/Interface/2D/2DArt/UIImages/InGame/Incursion2/RoomIcons/IconSynthflesh.dds",14761,[10],"","","","","","","","","",""
29,10,2,"synthfleshlab_lvl2","","","","","","","","","","","Synthflesh Sanctum","Sanctuaire synthichair","Kunstfleisch-Sanktum","合成肉の聖所","인조육체 지성소","Santuário da Carne Sintética","Святыня плотосинтеза","Santuario de carne sintética","สถานพำนักเนื้อสังเคราะห์","合膚聖所","Art/Textures/Interface/2D/2DArt/UIImages/InGame/Incursion2/RoomIcons/IconSynthflesh.dds",14761,[20],"","","","","","","","","",""
30,10,3,"synthfleshlab_lvl3","","","","","","","","","","","Crucible of Transcendence","Creuset de la transcendance","Spitze der Transendenz","超越のるつぼ","초월의 용광로","Calvário da Transcendência","Тигель превосходства","Prueba de trascendencia","บ่อหลอมเหนือมนุษย์","超越熔鑄爐","Art/Textures/Interface/2D/2DArt/UIImages/InGame/Incursion2/RoomIcons/IconSynthflesh.dds",14761,[30],"","","","","","","","","",""
31,10,4,"synthfleshlab_lvl4","","","","","","","","","","","Supremacy of Function","Supremacy of Function","Funktionsüberlegenheit","機能の至高","기능의 우월함","Primazia da Função","Превосходство функции","Supremacía de función","ความสามารถเหนืออื่นใด","職能至上","Art/Textures/Interface/2D/2DArt/UIImages/InGame/Incursion2/RoomIcons/IconSynthflesh.dds",14761,[35],"","","","","","","","","",""
32,11,1,"fleshsurgeon_lvl1","","Le Palier 3 permet la modification des Membres","Level 3 ermöglicht das Modifizieren von Gliedmaßen","ティア3になると手足の改変が可能になる","","Nível 3 permite modificar membros","Ур. 3 позволяет модифицировать конечности","El nivel 3 permite la modificación de extremidades","ห้องระดับ 3 เปิดโอกาสให้เปลี่ยนแปลงอวัยวะได้","階級 3 允許肢體改造","Surgeon's Ward","Salle du chirurgien","Station des Chirurgen","外科の病棟","의사의 병동","Salvaguarda do Cirurgião","Хирургические палаты","Sala del cirujano","วอร์ดศัลยากร","手術病房","Art/Textures/Interface/2D/2DArt/UIImages/InGame/Incursion2/RoomIcons/IconFleshSurgeon.dds",14762,[10],"May drop [IncursionMedallionIncreaseRoomTier|Quipolatl's Medallion] or [IncursionMedallionAddRoom|Uromoti's Medallion]","Peut céder un [IncursionMedallionIncreaseRoomTier|Médaillon de Quipolatl] ou un [IncursionMedallionAddRoom|Médaillon d'Uromoti]","Kann [IncursionMedallionIncreaseRoomTier|Quipolatls Medaillon] oder [IncursionMedallionAddRoom|Uromotis Medaillon] fallen lassen","[IncursionMedallionPreventDestabilise|フアタロトリのメダリオン]、[IncursionMedallionIncreaseRoomTier|キポラトルのメダリオン]または[IncursionMedallionAddRoom|ウロモティのメダリオン]をドロップする","[IncursionMedallionIncreaseRoomTier|퀴폴라틀의 메달리온] 또는 [IncursionMedallionAddRoom|우로모티의 메달리온]이 나올 수 있음","Pode largar o [IncursionMedallionIncreaseRoomTier|Medalhão de Quipolatl] ou [IncursionMedallionAddRoom|Medalhão de Uromoti]","Можно найти [IncursionMedallionIncreaseRoomTier|Медальон Квиполатля] или [IncursionMedallionAddRoom|Медальон Уромоти]","Puede dar un [IncursionMedallionIncreaseRoomTier|Medallón de Quipolatl] o un [IncursionMedallionAddRoom|Medallón de Uromoti]","อาจดรอป[IncursionMedallionIncreaseRoomTier|เหรียญตราคุยโปลาทัล]หรือ[IncursionMedallionIncreaseRoomTier|เหรียญตราอูรูมอที]","可能掉落 [IncursionMedallionIncreaseRoomTier|克特帕托聖徽] 或 [IncursionMedallionAddRoom|烏爾摩堤聖徽]"
33,11,2,"fleshsurgeon_lvl2","","Le Palier 3 permet la modification des Membres","Level 3 ermöglicht das Modifizieren von Gliedmaßen","ティア3になると手足の改変が可能になる","","Nível 3 permite modificar membros","Ур. 3 позволяет модифицировать конечности","El nivel 3 permite la modificación de extremidades","ห้องระดับ 3 เปิดโอกาสให้เปลี่ยนแปลงอวัยวะได้","階級 3 允許肢體改造","Surgeon's Theatre","Théâtre du chirurgien","Saal des Chirurgen","外科の手術室","의사의 극장","Câmara do Cirurgião","Операционная","Quirófano del cirujano","ห้องผ่าตัดศัลยากร","手術劇院","Art/Textures/Interface/2D/2DArt/UIImages/InGame/Incursion2/RoomIcons/IconFleshSurgeon.dds",14762,[20],"May drop [IncursionMedallionIncreaseRoomTier|Quipolatl's Medallion] or [IncursionMedallionAddRoom|Uromoti's Medallion]","Peut céder un [IncursionMedallionIncreaseRoomTier|Médaillon de Quipolatl] ou un [IncursionMedallionAddRoom|Médaillon d'Uromoti]","Kann [IncursionMedallionIncreaseRoomTier|Quipolatls Medaillon] oder [IncursionMedallionAddRoom|Uromotis Medaillon] fallen lassen","[IncursionMedallionPreventDestabilise|フアタロトリのメダリオン]、[IncursionMedallionIncreaseRoomTier|キポラトルのメダリオン]または[IncursionMedallionAddRoom|ウロモティのメダリオン]をドロップする","[IncursionMedallionIncreaseRoomTier|퀴폴라틀의 메달리온] 또는 [IncursionMedallionAddRoom|우로모티의 메달리온]이 나올 수 있음","Pode largar o [IncursionMedallionIncreaseRoomTier|Medalhão de Quipolatl] ou [IncursionMedallionAddRoom|Medalhão de Uromoti]","Можно найти [IncursionMedallionIncreaseRoomTier|Медальон Квиполатля] или [IncursionMedallionAddRoom|Медальон Уромоти]","Puede dar un [IncursionMedallionIncreaseRoomTier|Medallón de Quipolatl] o un [IncursionMedallionAddRoom|Medallón de Uromoti]","อาจดรอป[IncursionMedallionIncreaseRoomTier|เหรียญตราคุยโปลาทัล]หรือ[IncursionMedallionIncreaseRoomTier|เหรียญตราอูรูมอที]","可能掉落 [IncursionMedallionIncreaseRoomTier|克特帕托聖徽] 或 [IncursionMedallionAddRoom|烏爾摩堤聖徽]"
34,11,3,"fleshsurgeon_lvl3","Contains the Transcension Device, allowing for [IncursionLimbModification|Limb Modification]","Contient le Dispositif de Transcension, qui permet de [IncursionLimbModification|Modifier un Membre]","Enthält den Transzendenzapparat, der [IncursionLimbModification|Gliedmaßenmodifikation] ermöglicht","超越の装置が出現し、[IncursionLimbModification|手足の改造]が可能になる","[IncursionLimbModification|팔다리 개조]를 가능하게 하는 초월 장치 포함","Contém o Dispositivo de Transcensão, que permite a [IncursionLimbModification|modificação de membros]","Содержит устройство превосходства для [IncursionLimbModification|модификации конечностей]","Contiene el Artefacto de trascensión, que permite la [IncursionLimbModification|modificación de extremidades]","มีเครื่องจักรเหนือมนุษย์ที่เปิดโอกาสให้คุณ[IncursionLimbModification|เปลี่ยนแปลงอวัยวะ]ของตัวเอง","包含超越裝置，允許[IncursionLimbModification|肢體改造]","Surgeon's Symphony","Symphonie du chirurgien","Symphonie des Chirurgen","外科の交響曲","의사의 교향곡","Sinfonia do Cirurgião","Симфония плоти","Sinfonía del cirujano","ห้องผสานเสียงศัลยากร","手術交響殿","Art/Textures/Interface/2D/2DArt/UIImages/InGame/Incursion2/RoomIcons/IconFleshSurgeon.dds",14762,[30],"May drop [IncursionMedallionPreventDestabilise|Juatalotli's Medallion], [IncursionMedallionRerollRestrictedRoom|Hayoxi's Medallion], [IncursionMedallionAddRoom|Uromoti's Medallion], [IncursionMedallionAddAdditionalRestrictedRoom|Estazunti's Medallion] or [IncursionMedallionAddTempleModifier|Zantipi's Medallion]","Peut céder un [IncursionMedallionPreventDestabilise|Médaillon de Juatalotli], un [IncursionMedallionRerollRestrictedRoom|Médaillon d'Hayoxi], un [IncursionMedallionAddRoom|Médaillon d'Uromoti], un [IncursionMedallionAddAdditionalRestrictedRoom|Médaillon d'Estazunti] ou un [IncursionMedallionAddTempleModifier|Médaillon de Zantipi]","Kann [IncursionMedallionPreventDestabilise|Juatalotlis Medaillon], [IncursionMedallionRerollRestrictedRoom|Hayoxis Medaillon], [IncursionMedallionAddRoom|Uromotis Medaillon], [IncursionMedallionAddAdditionalRestrictedRoom|Estazuntis Medaillon] oder [IncursionMedallionAddTempleModifier|Zantipis Medaillon] fallen lassen","[IncursionMedallionPreventDestabilise|フアタロトリのメダリオン]、[IncursionMedallionRerollRestrictedRoom|ハヨキのメダリオン]、[IncursionMedallionAddRoom|ウロモティのメダリオン]、[IncursionMedallionAddAdditionalRestrictedRoom|エスタズンティのメダリオン]または[IncursionMedallionAddTempleModifier|ザンティピのメダリオン]をドロップすることがある","[IncursionMedallionPreventDestabilise|주앗탈로틀리의 메달리온], [IncursionMedallionRerollRestrictedRoom|하욕시의 메달리온], [IncursionMedallionAddRoom|우로모티의 메달리온], [IncursionMedallionMaximumCrystalCapacity|조펙의 메달리온], [IncursionMedallionMaximumMedallionCapacity|아즈카파의 메달리온], [IncursionMedallionAddAdditionalRestrictedRoom|에스타준티의 메달리온] 또는 [IncursionMedallionAddTempleModifier|잔티피의 메달리온]이 나올 수 있음","Pode largar o [IncursionMedallionPreventDestabilise|Medalhão de Juatalotli], [IncursionMedallionRerollRestrictedRoom|Medalhão de Hayoxi], [IncursionMedallionAddRoom|Medalhão de Uromoti], [IncursionMedallionAddAdditionalRestrictedRoom|Medalhão de Estazunti] ou [IncursionMedallionAddTempleModifier|Medalhão de Zantipi]","Можно найти [IncursionMedallionPreventDestabilise|Медальон Ваталотли], [IncursionMedallionRerollRestrictedRoom|Медальон Хайоши], [IncursionMedallionAddRoom|Медальон Уромоти], [IncursionMedallionAddAdditionalRestrictedRoom|Медальон Эстазунти] или [IncursionMedallionAddTempleModifier|Медальон Зантипи]","Puede dar un [IncursionMedallionPreventDestabilise|Medallón de Juatalotli], un [IncursionMedallionRerollRestrictedRoom|Medallón de Hayoxi], un [IncursionMedallionAddRoom|Medallón de Uromoti], un [IncursionMedallionAddAdditionalRestrictedRoom|Medallón de Estazunti] o un [IncursionMedallionAddTempleModifier|Medallón de Zantipi]","อาจดรอป[IncursionMedallionPreventDestabilise|เหรียญตราฮัวตาล็อตลี], [IncursionMedallionRerollRestrictedRoom|เหรียญตราเฮโยคี], [IncursionMedallionAddRoom|เหรียญตราอูรูมอที], [IncursionMedallionAddAdditionalRestrictedRoom|เหรียญตราเอสตาซุนที] หรือ[IncursionMedallionAddTempleModifier|เหรียญตราซานทีพี]","可能掉落 [IncursionMedallionPreventDestabilise|瓦爾羅特聖徽]、[IncursionMedallionRerollRestrictedRoom|荷霖蔡聖徽]、[IncursionMedallionAddRoom|烏爾摩堤聖徽]、[IncursionMedallionAddAdditionalRestrictedRoom|艾斯祖太聖徽] 或 [IncursionMedallionAddTempleModifier|善堤比聖徽]"
35,11,4,"fleshsurgeon_lvl4","Contains the Transcension Device, allowing for [IncursionLimbModification|Limb Modification], which can be used twice","Contains the Transcension Device, allowing for [IncursionLimbModification|Limb Modification], which can be used twice","Enthält den Transzendenzapparat, der [IncursionLimbModification|Gliedmaßenmodifikation] ermöglicht, die zweimal benutzbar ist","超越の装置が出現し、[IncursionLimbModification|手足の改造]が可能になる。二回使用できる","[IncursionLimbModification|팔다리 개조]를 가능하게 하는 초월 장치 포함, 두 번 사용 가능","Contém o Dispositivo de Transcensão, que permite a [IncursionLimbModification|modificação de membros]. Utilizável duas vezes.","Содержит устройство превосходства для [IncursionLimbModification|модификации конечностей], которое можно использовать дважды","Contiene el Artefacto de trascensión, que permite la [IncursionLimbModification|modificación de extremidades], que se puede usar dos veces","มีเครื่องจักรเหนือมนุษย์ที่เปิดโอกาสให้คุณ[IncursionLimbModification|เปลี่ยนแปลงอวัยวะ]ของตัวเอง ที่สามารถใช้งานได้สองครั้ง","包含超越裝置，允許[IncursionLimbModification|肢體改造]，可使用兩次","Surgical Glory","Surgical Glory","Chirurgischer Ruhm","外科的栄光","수술의 영광","Glória Cirúrgica","Венец хирургии","Gloria quirúrgica","สถานเทิดศัลยเกียรติ","精準榮耀","Art/Textures/Interface/2D/2DArt/UIImages/InGame/Incursion2/RoomIcons/IconFleshSurgeon.dds",14762,[35],"May drop [IncursionMedallionPreventDestabilise|Juatalotli's Medallion], [IncursionMedallionRerollRestrictedRoom|Hayoxi's Medallion], [IncursionMedallionAddRoom|Uromoti's Medallion], [IncursionMedallionAddAdditionalRestrictedRoom|Estazunti's Medallion] or [IncursionMedallionAddTempleModifier|Zantipi's Medallion]","May drop [IncursionMedallionPreventDestabilise|Juatalotli's Medallion], [IncursionMedallionRerollRestrictedRoom|Hayoxi's Medallion], [IncursionMedallionAddRoom|Uromoti's Medallion], [IncursionMedallionAddAdditionalRestrictedRoom|Estazunti's Medallion] or [IncursionMedallionAddTempleModifier|Zantipi's Medallion]","Kann [IncursionMedallionPreventDestabilise|Juatalotlis Medaillon], [IncursionMedallionRerollRestrictedRoom|Hayoxis Medaillon], [IncursionMedallionAddRoom|Uromotis Medaillon], [IncursionMedallionAddAdditionalRestrictedRoom|Estazuntis Medaillon] oder [IncursionMedallionAddTempleModifier|Zantipis Medaillon] fallen lassen","[IncursionMedallionPreventDestabilise|フアタロトリのメダリオン]、[IncursionMedallionRerollRestrictedRoom|ハヨキのメダリオン]、[IncursionMedallionAddRoom|ウロモティのメダリオン]、[IncursionMedallionAddAdditionalRestrictedRoom|エスタズンティのメダリオン]または[IncursionMedallionAddTempleModifier|ザンティピのメダリオン]をドロップすることがある","[IncursionMedallionPreventDestabilise|주앗탈로틀리의 메달리온], [IncursionMedallionRerollRestrictedRoom|하욕시의 메달리온], [IncursionMedallionAddRoom|우로모티의 메달리온], [IncursionMedallionAddAdditionalRestrictedRoom|에스타준티의 메달리온] 또는 [IncursionMedallionAddTempleModifier|잔티피의 메달리온]이 나올 수 있음","Pode largar o [IncursionMedallionPreventDestabilise|Medalhão de Juatalotli], [IncursionMedallionRerollRestrictedRoom|Medalhão de Hayoxi], [IncursionMedallionAddRoom|Medalhão de Uromoti], [IncursionMedallionAddAdditionalRestrictedRoom|Medalhão de Estazunti] ou [IncursionMedallionAddTempleModifier|Medalhão de Zantipi]","Можно найти [IncursionMedallionPreventDestabilise|Медальон Ваталотли], [IncursionMedallionRerollRestrictedRoom|Медальон Хайоши], [IncursionMedallionAddRoom|Медальон Уромоти], [IncursionMedallionAddAdditionalRestrictedRoom|Медальон Эстазунти] или [IncursionMedallionAddTempleModifier|Медальон Зантипи]","Puede dar un [IncursionMedallionPreventDestabilise|Medallón de Juatalotli], un [IncursionMedallionRerollRestrictedRoom|Medallón de Hayoxi], un [IncursionMedallionAddRoom|Medallón de Uromoti], un [IncursionMedallionAddAdditionalRestrictedRoom|Medallón de Estazunti] o un [IncursionMedallionAddTempleModifier|Medallón de Zantipi]","อาจดรอป[IncursionMedallionPreventDestabilise|เหรียญตราฮัวตาล็อตลี], [IncursionMedallionRerollRestrictedRoom|เหรียญตราเฮโยคี], [IncursionMedallionAddRoom|เหรียญตราอูรูมอที], [IncursionMedallionAddAdditionalRestrictedRoom|เหรียญตราเอสตาซุนที] หรือ[IncursionMedallionAddTempleModifier|เหรียญตราซานทีพี]","可能掉落 [IncursionMedallionPreventDestabilise|瓦爾羅特聖徽]、[IncursionMedallionRerollRestrictedRoom|荷霖蔡聖徽]、[IncursionMedallionAddRoom|烏爾摩堤聖徽]、[IncursionMedallionAddAdditionalRestrictedRoom|艾斯祖太聖徽] 或 [IncursionMedallionAddTempleModifier|善堤比聖徽]"
36,12,2,"transcendentbarracks_lvl2","","","","","","","","","","","Steelflesh Quarters","Quartiers de chair-acier","Stahlfleisch-Quartier","鉄肉の広間","강철살점 구역","Alojamentos dos Carnecerados","Казармы стальных тел","Cuartos de carne de acero","ห้องเนื้อเหล็ก","鋼筋血肉居所","Art/Textures/Interface/2D/2DArt/UIImages/InGame/Incursion2/RoomIcons/IconTranscendentBarracks.dds",14763,[25],"","","","","","","Высокий шанс найти редкие Медальоны","","",""
37,12,3,"transcendentbarracks_lvl3","","","","","","","","","","","Collective Legion","Légion collective","Kollektivlegion","統合の軍団","집단적 군단","Legião Coletiva","Коллективный легион","Legión colectiva","กองพันรวมจิต","集群軍團","Art/Textures/Interface/2D/2DArt/UIImages/InGame/Incursion2/RoomIcons/IconTranscendentBarracks.dds",14763,[35],"","","","","","","","","",""
38,12,4,"transcendentbarracks_lvl4","","","","","","","","","","","Chamber of the Perfected","Chamber of the Perfected","Kammer der Vollendeten","完成されしものの間","완벽자의 방","Câmara dos Aperfeiçoados","Залы совершенных","Cámara de los perfeccionados","สถานรวมผู้สมบูรณ์แบบ","完美密室","Art/Textures/Interface/2D/2DArt/UIImages/InGame/Incursion2/RoomIcons/IconTranscendentBarracks.dds",14763,[40],"","","","","","","","","",""
