"rownum","Id","HASH16","CurrencyItem","Count","DisplayText","DisplayText (French)","DisplayText (German)","DisplayText (Japanese)","DisplayText (Korean)","DisplayText (Portuguese)","DisplayText (Russian)","DisplayText (Spanish)","DisplayText (Thai)","DisplayText (Traditional Chinese)"
10,"Metadata/Items/Currency/CurrencyAddModToRare2",8084,19,10,"10 Greater Exalted Orbs","10 Orbes exaltés majeurs","10 Großartige Erhabene Sphären","10x エグザルテッドグレーターオーブ","상위 엑잘티드 오브 10개","10 Orbes Exaltados Maiores","10 больших сфер возвышения","10 orbes exaltados superiores","10 Exalted Orb ชั้นสูง","10 顆高階崇高石"
11,"Metadata/Items/Currency/CurrencyAddModToRare3",6774,20,3,"3 Perfect Exalted Orbs","3 Orbes exaltés parfaits","3 Perfekte Erhabene Sphären","3x エグザルテッドパーフェクトオーブ","완벽한 엑잘티드 오브 3개","3 Orbes Exaltados Perfeitos","3 совершенные сферы возвышения","3 orbes exaltados perfectos","3 Exalted Orb ชั้นสูง","3 顆完美崇高石"
12,"Metadata/Items/Currency/CurrencyModValues",61382,36,3,"3 Divine Orbs","3 Orbes divins","3 Göttliche Sphären","3x ディヴァインオーブ","신성한 오브 3개","3 Orbes Divinos","3 божественных сферы","3 orbes divinos","3 Divine Orb","3 顆神聖石"
13,"Metadata/Items/Currency/CurrencyRemoveMod",19854,175,3,"3 Orb of Annulments","3 Orbes d'annulation","3 Sphären der Annullierung","3x 消去のオーブ","소멸의 오브 3개","3 Orbes da Anulação","3 сферы отмены","3 orbes de anulación","3 Orb of Annulment","3 顆無效石"
14,"Metadata/Items/Currency/CurrencyUpgradeRandomly",45026,10,3,"3 Orbs of Chance","3 Orbes de chance","3 Sphäre der Möglichkeiten","3x 可能性のオーブ","기회의 오브 3개","3 Orbes da Chance","3 сферы удачи","3 orbes de azar","3 Orb of Chance","3 顆機會石"
15,"Metadata/Items/Currency/CurrencyArmourQuality",4897,6,20,"20 Armourer's Scraps","20 Ferrailles d'armurier","20 Plattnerstücke","20x 鎧鍛冶の端材","방어구 장인의 고철 20개","20 Sucatas do Armeiro","20 деталей доспеха","20 restos de armaduras","20 Armourer's Scraps","20 個護甲片"
16,"Metadata/Items/Currency/CurrencyWeaponQuality",32821,0,20,"20 Blacksmith's Whetstones","20 Pierres à aiguiser de forgeron","20 Schleifsteine","20x 鍛冶屋の砥石","대장장이의 숫돌 20개","20 Amoladores do Ferreiro","20 точильных камней","20 piedras de afilar","20 Blacksmith's Whetstones","20 顆磨刀石"
17,"Metadata/Items/Currency/CurrencyMagicQuality",38303,1,20,"20 Arcanist's Etchers","20 Gravelets de l'arcaniste","20 Arkanistensäure","20x 秘術師の彫刻針","신비학자의 식각기 20개","20 Gravadores do Arcanista","20 резцов чародея","20 gubias del arcanista","20 Arcanist's Etcher","20 個奧術師刻具"
18,"Metadata/Items/Currency/CurrencyFlaskQuality",136,28,20,"20 Glassblower's Baubles","20 Bulles du souffleur de verre","20 Kugeln des Glasbläsers","20x ガラス吹きの飾り玉","유리직공의 방울 20개","20 Bolhas do Vidreiro","20 стекольных масс","20 baratijas de vidrio","20 Glassblower's Bauble","20 顆玻璃彈珠"
19,"Metadata/Items/Currency/CurrencyGemQuality",53954,29,10,"10 Gemcutter's Prisms","10 Prismes de lapidaire","10 Prismen des Gemmenschneiders","10x 宝石細工師のプリズム","세공사의 프리즘 10개","10 Prismas do Lapidário","10 призм камнереза","10 prismas del tallador de gemas","10 Gemcutter's Prism","10 個寶石匠的稜鏡"
