"rownum","SkillType","GemLevel","Scaling"
116,3,36,5.6048
117,3,37,5.8402
118,3,38,6.0857
119,3,39,6.3414
120,3,40,6.6078
121,4,1,1
122,4,2,1.1
123,4,3,1.21
124,4,4,1.3189
125,4,5,1.4244
126,4,6,1.5312
127,4,7,1.6384
128,4,8,1.7367
129,4,9,1.8236
130,4,10,1.9148
131,4,11,2.0105
132,4,12,2.111
133,4,13,2.2166
134,4,14,2.3274
135,4,15,2.4438
136,4,16,2.5659
137,4,17,2.6942
138,4,18,2.829
139,4,19,2.9704
140,4,20,3.1189
141,4,21,3.2749
142,4,22,3.4386
143,4,23,3.6105
144,4,24,3.7911
145,4,25,3.9806
146,4,26,4.1797
147,4,27,4.3886
148,4,28,4.6081
149,4,29,4.8385
150,4,30,5.0804
151,4,31,5.3344
152,4,32,5.6011
153,4,33,5.8812
154,4,34,6.1753
155,4,35,6.484
156,4,36,6.8082
157,4,37,7.1486
158,4,38,7.5061
159,4,39,7.8814
160,4,40,8.2754
161,7,1,1
162,7,2,1.1
163,7,3,1.2111
164,7,4,1.3224
165,7,5,1.4319
166,7,6,1.5447
167,7,7,1.6601
168,7,8,1.769
169,7,9,1.869
170,7,10,1.9762
171,7,11,2.0914
172,7,12,2.2153
173,7,13,2.3486
174,7,14,2.492
175,7,15,2.6465
176,7,16,2.813
177,7,17,2.9926
178,7,18,3.1865
179,7,19,3.3958
180,7,20,3.622
181,7,21,3.8633
182,7,22,4.1207
183,7,23,4.3951
184,7,24,4.688
185,7,25,5.0003
186,7,26,5.3335
187,7,27,5.6887
188,7,28,6.0677
189,7,29,6.4719
190,7,30,6.903
191,7,31,7.3629
192,7,32,7.8533
193,7,33,8.3766
194,7,34,8.9347
195,7,35,9.5298
196,7,36,10.1646
197,7,37,10.8418
198,7,38,11.5641
199,7,39,12.3345
200,7,40,13.1561
201,5,1,1
202,5,2,1.1029
203,5,3,1.2179
204,5,4,1.3344
205,5,5,1.4505
206,5,6,1.5714
207,5,7,1.6967
208,5,8,1.8172
209,5,9,1.9305
210,5,10,2.0534
211,5,11,2.1868
212,5,12,2.332
213,5,13,2.49
214,5,14,2.6621
215,5,15,2.8497
216,5,16,3.0543
217,5,17,3.2779
218,5,18,3.5225
219,5,19,3.7899
220,5,20,4.0828
221,5,21,4.3984
222,5,22,4.7384
223,5,23,5.1046
224,5,24,5.4992
225,5,25,5.9242
226,5,26,6.3821
227,5,27,6.8754
228,5,28,7.4068
229,5,29,7.9793
230,5,30,8.5961
231,5,31,9.2605
232,5,32,9.9762
233,5,33,10.7473
234,5,34,11.578
235,5,35,12.4729
236,5,36,13.437
237,5,37,14.4756
238,5,38,15.5944
239,5,39,16.7998
240,5,40,18.0983
241,6,1,1
242,6,2,1.1
243,6,3,1.2132
244,6,4,1.3294
245,6,5,1.4471
246,6,6,1.5721
247,6,7,1.7044
248,6,8,1.8353
249,6,9,1.9629
250,6,10,2.1047
251,6,11,2.2625
252,6,12,2.4384
253,6,13,2.6349
254,6,14,2.8545
255,6,15,3.1003
256,6,16,3.3758
257,6,17,3.6853
258,6,18,4.0335
259,6,19,4.4256
260,6,20,4.8682
261,6,21,5.3551
262,6,22,5.8906
263,6,23,6.4796
264,6,24,7.1278
265,6,25,7.8405
266,6,26,8.6248
267,6,27,9.4871
268,6,28,10.436
269,6,29,11.4797
270,6,30,12.6277
271,6,31,13.8905
272,6,32,15.2796
273,6,33,16.8078
274,6,34,18.4888
275,6,35,20.3376
276,6,36,22.3715
277,6,37,24.6088
278,6,38,27.0701
279,6,39,29.7773
280,6,40,32.7549
