"rownum","Id","LimitStat","ActiveCountStat","bool_40","bool_41","i32_42","bool_46","bool_47","bool_48","bool_49","bool_50","bool_51","bool_52","bool_53","bool_54","bool_55","bool_56","bool_57","bool_58","rid_59","bool_75","Invulnerable"
71,"BoneOfferingSpike",18704,19489,1,1,0,"","",1,"","","","","","","",1,"","",0,"",""
72,"PainOfferingSpike",18705,19490,1,1,0,"","",1,"","","","","","","",1,"","",0,"",""
73,"SoulOfferingSpike",18706,19491,1,1,0,"","",1,"","","","","","","",1,"","",0,"",""
74,"DarkOfferingSpike",18707,19492,1,1,0,"","",1,"","","","","","","",1,"","",0,"",""
75,"GraveOfferingSpike",18708,19493,1,1,0,"","",1,"","","","","","","",1,"","",0,"",""
76,"PowerOfferingSpike",18709,19494,1,1,0,"","",1,"","","","","","","",1,"","",0,"",""
77,"Hydra","","","",1,1,"","",1,1,1,1,"","",1,1,"","","",0,"",""
78,"TotemDefender","","",1,1,0,1,"",1,"","","","","","","","",1,"",0,"",""
79,"BeastCompanion","","",1,1,0,1,"",1,"","","","",1,1,1,"","",1,2,"",""
80,"ArtilleryDaemon","","",1,1,0,1,"",1,"",1,1,"",1,1,1,"","","",0,"",""
81,"CompanionAnimatedWeapon","","",1,1,1,"",1,1,"",1,1,"","",1,1,"",1,1,0,"",""
82,"CompanionBear","","",1,1,1,"","",1,"","","","","",1,1,"",1,1,0,"",""
83,"FutureSelfIllusion","","","","",0,1,"",1,"","","","","","",1,"","","",0,"",""
84,"MirageIllusion","","","","",0,1,"",1,"","","","","","",1,"","","",0,"",""
85,"RavenousSwarm",22299,"",1,1,0,"","",1,"",1,1,"","","",1,"","","",0,1,1
86,"LivingLightning",22597,"",1,1,0,"","",1,"","","","","",1,"","","","",0,"",""
87,"LightlessStalker","","",1,1,1,"","",1,"","","","","",1,1,"","","",0,"",1
88,"PhantasmalEye",22806,"",1,1,0,"","",1,"","","","","",1,1,"","","",0,"",""
89,"HatchingElemental",23271,"",1,1,0,"","",1,"","","","","",1,1,"",1,"",0,"",""
90,"VoidIllusion","","","","",0,1,"",1,"","","","","","",1,"","","",0,"",""
91,"UndeadCompanion","","",1,1,0,1,"",1,"","","","",1,1,1,"","",1,2,"",""
92,"LichApparition","","","","",0,1,"",1,"","","","","","",1,"",1,"",0,"",""
93,"TotemMinionSupportedByGreatwood",961,3279,"",1,0,"","",1,1,"","","","","",1,"","","",0,"",""
94,"FeralInvocationClone","","","","",0,1,"",1,"","","","","","",1,"","","",0,"",""
95,"HyenaCompanion","","",1,1,0,1,"",1,"","","","","",1,1,"","",1,0,"",""
96,"TangmazuDaemon","","",1,1,0,1,"",1,"","",1,"",1,1,1,"","","",0,"",1
97,"PackleaderCompanion","","",1,1,1,"","",1,"","","","","",1,1,"",1,1,0,"",""
98,"SpiritVesselCompanion","","",1,1,0,1,"",1,"",1,1,"",1,1,1,"","",1,0,"",""
99,"AzmeriSwarmMinion",25280,"",1,1,0,"","",1,"","","","","",1,1,"","","",0,"",""
100,"MantraIllusion","","","","",0,1,"",1,"",1,1,"","","",1,"","","",0,"",1
101,"FalseLife","","","","",0,1,"",1,"",1,1,"","","",1,"","","",0,"",1
102,"MistRaven","","",1,1,1,"","",1,"","","","","",1,1,"",1,1,0,"",1
103,"DoedresExplodingToad","","","","",0,1,"",1,"","","","","","",1,"","","",0,"",""
104,"MurkmawSpirit","","","","",0,1,"",1,"","","","","","",1,"","","",0,"",""
105,"VerisiumOctopusMinion",26268,"",1,1,0,"","",1,"","","","","",1,1,"","","",0,"",""
106,"FracturedSelf","",26576,"","",0,1,"",1,"",1,1,"","","",1,"",1,"",0,"",1
107,"VerisiumRunes",26590,"",1,1,0,"","",1,"","","","","","","","","","",0,"",""
108,"WardboundMinion",26718,"",1,1,0,"","",1,"","","","","","","","",1,"",0,"",""
