"rownum","Id","i32_8","Text","Text (French)","Text (German)","Text (Japanese)","Text (Korean)","Text (Portuguese)","Text (Russian)","Text (Spanish)","Text (Thai)","Text (Traditional Chinese)","i32_20","bool_24"
36,"Rage",2,"Rage","Rage","Rausch","憤怒","격노","Fúria","Свирепость","Furia","คลั่ง","盛怒",0,""
37,"Thorns",2,"Thorns","Épines","Dornen","棘","가시","Espinhos","Шипы","Espinas","ผิวหนาม","荊棘",0,""
38,"Stun",2,"Stun Protection","Protection contre l'Étourdissement","Schutz vor Betäubung","スタン保護","기절 보호","Proteção contra Atordoamento","Защита от оглушения","Protección contra el aturdimiento","คุ้มครองจากสตัน","暈眩防護",0,""
39,"Ailments",2,"Ailment Protection","Protection contre les Altérations","Schutz vor Beeinträchtigungen","状態異常保護","상태 이상 보호","Proteção contra Afecções","Защита от состояний","Protección contra los estados alterados","คุ้มครองจากสถานะเจ็บป่วย","異常狀態防護",0,""
40,"DamageTaken",2,"Damage Taken","Dégâts subis","Erlittener Schaden","受けるダメージ","받는 피해","Dano Sofrido","Получаемый урон","Daño recibido","ความเสียหายที่ได้รับ","承受傷害",0,""
41,"DamageRedirect",2,"Damage Redirection","Redirection des Dégâts","Schadensumkehr","ダメージ転換","피해 전달","Redirecionamento de Dano","Перенаправление урона","Redirección de daño","ส่งต่อความเสียหาย","傷害重導",0,""
42,"Flasks",2,"Flasks","Flacons","Fläschchen","フラスコ","플라스크","Frascos","Флаконы","Frascos","ขวดยา","藥劑",0,""
43,"Charms",2,"Charms","Charmes","Phiolen","チャーム","호신부","Patuás","Обереги","Viales","ของขลัง","護符",0,""
44,"Charges",2,"Charges","Charges","Ladungen","チャージ","충전","Cargas","Заряды","Cargas","ชาร์จ","能量球",0,""
45,"Infusions",2,"Infusions","Infusions","Infusionen","インフュージョン","주입","Infusões","Насыщения","Infusiones","ชุบพลัง","灌注",0,""
46,"Misc",2,"Miscellaneous","Divers","Sonstiges","その他","기타","Outros","Прочее","Misceláneo","อื่นๆ","其它",0,""
47,"comparison",3,"Skill Comparison","Comparaison d'Aptitude","Fertigkeitenvergleich","スキル比較","스킬 비교","Comparar Habilidades","Сравнение умений","Comparación de habilidades","เทียบสกิล","技能對照",0,""
48,"ResistancesTop",2,"Resistances","Résistances","Widerstände","耐性","저항","Resistências","Сопротивления","Resistencias","ค่าต้านทาน","抗性",0,1
