"rownum","string_0","string_8","string_16","string_24","string_32"
10,"CharacterPlanningJewel","Art/2DArt/UIImages/InGame/PassiveSkillScreenJewelSocketNormalBlue","Art/2DArt/UIImages/InGame/PassiveSkillScreenJewelSocketCanAllocateBlue","Art/2DArt/UIImages/InGame/PassiveSkillScreenJewelSocketActiveBlue","Art/2DArt/UIEffects/PassiveSkillScreen/JewelSocketFrameMask.dds"
11,"AscendancyPlanningSmall","Art/2DArt/UIImages/InGame/PassiveSkillScreenAscendancyFrameBlueSmallNormal","Art/2DArt/UIImages/InGame/PassiveSkillScreenAscendancyFrameSmallBlueCanAllocate","Art/2DArt/UIImages/InGame/PassiveSkillScreenAscendancyFrameSmallBlueAllocated","Art/2DArt/UIEffects/PassiveSkillScreen/AscendancyFrameSmallMask.dds"
12,"AscendancyPlanningNotable","Art/2DArt/UIImages/InGame/PassiveSkillScreenAscendancyFrameBlueLargeNormal","Art/2DArt/UIImages/InGame/PassiveSkillScreenAscendancyFrameLargeBlueCanAllocate","Art/2DArt/UIImages/InGame/PassiveSkillScreenAscendancyFrameLargeBlueAllocated","Art/2DArt/UIEffects/PassiveSkillScreen/AscendancyFrameLargeMask.dds"
13,"CharacterHighlightedByJewelSmall","Art/2DArt/UIImages/InGame/PassiveSkillScreenPassiveFrameNormalAlt","Art/2DArt/UIImages/InGame/PassiveSkillScreenPassiveFrameCanAllocateAlt","Art/2DArt/UIImages/InGame/PassiveSkillScreenPassiveFrameActiveAlt","Art/2DArt/UIEffects/PassiveSkillScreen/NodeFrameMask.dds"
14,"CharacterHighlightedByJewelNotable","Art/2DArt/UIImages/InGame/PassiveSkillScreenNotableFrameNormalAlt","Art/2DArt/UIImages/InGame/PassiveSkillScreenNotableFrameCanAllocateAlt","Art/2DArt/UIImages/InGame/PassiveSkillScreenNotableFrameActiveAlt","Art/2DArt/UIEffects/PassiveSkillScreen/NotableFrameMask.dds"
15,"CharacterHighlightedByJewelKeystone","Art/2DArt/UIImages/InGame/PassiveSkillScreenKeystoneFrameNormalAlt","Art/2DArt/UIImages/InGame/PassiveSkillScreenKeystoneFrameCanAllocateAlt","Art/2DArt/UIImages/InGame/PassiveSkillScreenKeystoneFrameActiveAlt","Art/2DArt/UIEffects/PassiveSkillScreen/KeystoneFrameMask.dds"
16,"CharacterHighlightedByJewelJewel","Art/2DArt/UIImages/InGame/SanctumPassiveSkillScreenJewelSocketNormalAlt","Art/2DArt/UIImages/InGame/SanctumPassiveSkillScreenJewelSocketCanAllocateAlt","Art/2DArt/UIImages/InGame/SanctumPassiveSkillScreenJewelSocketActiveAlt","Art/2DArt/UIEffects/PassiveSkillScreen/JewelSocketFrameMask.dds"
17,"AscendancyHighlightedByJewelSmall","Art/2DArt/UIImages/InGame/PassiveSkillScreenAscendancyFrameSmallNormalAlt","Art/2DArt/UIImages/InGame/PassiveSkillScreenAscendancyFrameSmallCanAllocateAlt","Art/2DArt/UIImages/InGame/PassiveSkillScreenAscendancyFrameSmallAllocatedAlt","Art/2DArt/UIEffects/PassiveSkillScreen/AscendancyFrameSmallMask.dds"
18,"AscendancyHighlightedByJewelNotable","Art/2DArt/UIImages/InGame/PassiveSkillScreenAscendancyFrameLargeNormalAlt","Art/2DArt/UIImages/InGame/PassiveSkillScreenAscendancyFrameLargeCanAllocateAlt","Art/2DArt/UIImages/InGame/PassiveSkillScreenAscendancyFrameLargeAllocatedAlt","Art/2DArt/UIEffects/PassiveSkillScreen/AscendancyFrameLargeMask.dds"
19,"BlightedNotable","Art/2DArt/UIImages/InGame/PassiveSkillScreenNotableFrameNormal","Art/2DArt/UIImages/InGame/PassiveSkillScreenNotableFrameCanAllocate","Art/2DArt/UIImages/InGame/PassiveSkillScreenNotableFrameActive","Art/2DArt/UIEffects/PassiveSkillScreen/NotableFrameMask.dds"
20,"CharacterExpansionJewel","Art/2DArt/UIImages/InGame/SanctumPassiveSkillScreenJewelSocketNormal","Art/2DArt/UIImages/InGame/SanctumPassiveSkillScreenJewelSocketCanAllocate","Art/2DArt/UIImages/InGame/SanctumPassiveSkillScreenJewelSocketActive","Art/2DArt/UIEffects/PassiveSkillScreen/ExpansionJewelSocketFrameMask.dds"
21,"AtlasStart","Art/2DArt/UIImages/InGame/AtlasScreen/StartingPointGeneral","Art/2DArt/UIImages/InGame/AtlasScreen/StartingPointGeneral","Art/2DArt/UIImages/InGame/AtlasScreen/StartingPointGeneral",""
22,"AtlasSmall","Art/2DArt/UIImages/InGame/AtlasScreen/PassiveSkillScreenPassiveFrameNormal","Art/2DArt/UIImages/InGame/AtlasScreen/PassiveSkillScreenPassiveFrameCanAllocate","Art/2DArt/UIImages/InGame/AtlasScreen/PassiveSkillScreenPassiveFrameActive","Art/2DArt/UIEffects/PassiveSkillScreen/AtlasNodeFrameMask.dds"
23,"AtlasNotable","Art/2DArt/UIImages/InGame/AtlasScreen/AtlasPassiveSkillScreenNotableFrameNormal","Art/2DArt/UIImages/InGame/AtlasScreen/AtlasPassiveSkillScreenNotableFrameCanAllocate","Art/2DArt/UIImages/InGame/AtlasScreen/AtlasPassiveSkillScreenNotableFrameActive","Art/2DArt/UIEffects/PassiveSkillScreen/AtlasNotableFrameMask.dds"
24,"AtlasKeystone","Art/2DArt/UIImages/InGame/AtlasScreen/AtlasPassiveSkillScreenKeystoneFrameNormal","Art/2DArt/UIImages/InGame/AtlasScreen/AtlasPassiveSkillScreenKeystoneFrameCanAllocate","Art/2DArt/UIImages/InGame/AtlasScreen/AtlasPassiveSkillScreenKeystoneFrameActive","Art/2DArt/UIEffects/PassiveSkillScreen/AtlasKeystoneFrameMask.dds"
25,"AtlasWormhole","Art/2DArt/UIImages/InGame/AtlasScreen/AtlasWormholeFrameNormal","Art/2DArt/UIImages/InGame/AtlasScreen/AtlasWormholeFrameCanAllocate","Art/2DArt/UIImages/InGame/AtlasScreen/AtlasWormholeFrameActive","Art/2DArt/UIEffects/PassiveSkillScreen/AtlasKeystoneFrameMask.dds"
26,"LichAscendancyJewel","Art/2DArt/UIImages/InGame/LichPassiveSkillScreenJewelSocketNormal","Art/2DArt/UIImages/InGame/LichPassiveSkillScreenJewelSocketCanAllocate","Art/2DArt/UIImages/InGame/LichPassiveSkillScreenJewelSocketActive","Art/2DArt/UIEffects/PassiveSkillScreen/LichPassiveSkillScreenJewelSocketMask.dds"
27,"AbyssLichAscendancySmall","Art/2DArt/UIImages/InGame/Abyss/AbyssLichPassiveSkillScreenAscendancyFrameSmallNormal","Art/2DArt/UIImages/InGame/Abyss/AbyssLichPassiveSkillScreenAscendancyFrameSmallCanAllocate","Art/2DArt/UIImages/InGame/Abyss/AbyssLichPassiveSkillScreenAscendancyFrameSmallAllocated","Art/2DArt/UIEffects/PassiveSkillScreen/AbyssLichAscendancyFrameSmallMask.dds"
28,"AbyssLichAscendancyNotable","Art/2DArt/UIImages/InGame/Abyss/AbyssLichPassiveSkillScreenAscendancyFrameLargeNormal","Art/2DArt/UIImages/InGame/Abyss/AbyssLichPassiveSkillScreenAscendancyFrameLargeCanAllocate","Art/2DArt/UIImages/InGame/Abyss/AbyssLichPassiveSkillScreenAscendancyFrameLargeAllocated","Art/2DArt/UIEffects/PassiveSkillScreen/AbyssLichAscendancyFrameLargeMask.dds"
29,"AbyssLichAscendancyJewel","Art/2DArt/UIImages/InGame/Abyss/AbyssLichPassiveSkillScreenJewelSocketNormal","Art/2DArt/UIImages/InGame/Abyss/AbyssLichPassiveSkillScreenJewelSocketCanAllocate","Art/2DArt/UIImages/InGame/Abyss/AbyssLichPassiveSkillScreenJewelSocketActive","Art/2DArt/UIEffects/PassiveSkillScreen/LichPassiveSkillScreenJewelSocketMask.dds"
30,"AbyssAlternateTreeSmall","Art/2DArt/UIImages/InGame/Abyss/AbyssPassiveSkillScreenPassiveFrameNormal","Art/2DArt/UIImages/InGame/Abyss/AbyssPassiveSkillScreenPassiveFrameCanAllocate","Art/2DArt/UIImages/InGame/Abyss/AbyssPassiveSkillScreenPassiveFrameActive","Art/2DArt/UIEffects/PassiveSkillScreen/AbyssNodeFrameMask.dds"
31,"AbyssAlternateTreeNotable","Art/2DArt/UIImages/InGame/Abyss/AbyssPassiveSkillScreenNotableFrameNormal","Art/2DArt/UIImages/InGame/Abyss/AbyssPassiveSkillScreenNotableFrameCanAllocate","Art/2DArt/UIImages/InGame/Abyss/AbyssPassiveSkillScreenNotableFrameActive","Art/2DArt/UIEffects/PassiveSkillScreen/AbyssNotableFrameMask.dds"
32,"AbyssAlternateTreeKeystone","Art/2DArt/UIImages/InGame/Abyss/AbyssPassiveSkillScreenKeystoneFrameNormal","Art/2DArt/UIImages/InGame/Abyss/AbyssPassiveSkillScreenKeystoneFrameCanAllocate","Art/2DArt/UIImages/InGame/Abyss/AbyssPassiveSkillScreenKeystoneFrameActive","Art/2DArt/UIEffects/PassiveSkillScreen/AbyssKeystoneFrameMask.dds"
