"rownum","Id","Projectile","bool_20","i32_21","bool_25","i32_26","i32_30","bool_34","i32_35","i32_39","i32_43","bool_47","i32_48","i32_52","bool_56","i32_57","bool_61","bool_62","GeometryChannel","bool_79","rid_80","i32_96"
41,43,811,"",0,"",2,7,"",0,0,0,"",0,25,"",0,"","","","","",0
42,44,812,"",0,"",2,7,"",0,0,0,"",0,25,"",0,"","","","","",0
43,45,813,"",0,"",2,7,"",0,0,0,"",0,25,"",0,"","","","","",0
44,46,814,"",0,"",2,7,"",0,0,0,"",0,25,"",0,"","","","","",0
45,47,122,1,40,"",4,7,"",8000,10,40,1,0,0,"",0,"","","","","",0
46,48,838,1,0,"",4,6,1,0,95,100,1,0,0,"",0,"","","","","",0
47,49,869,"",0,"",4,9,1,0,0,0,"",0,0,1,0,"","","","","",0
48,50,872,1,19,1,3,7,1,100,10,30,1,0,0,"",0,"",1,"","","",0
49,51,873,1,4,"",3,7,1,500,20,60,1,0,20,"",0,"","","","","",0
50,52,932,"",15,1,2,7,"",0,0,0,"",0,0,"",0,"","","","","",0
51,53,937,"",0,"",3,6,1,0,0,0,"",0,0,"",0,"","",4,"","",0
52,54,970,"",0,"",3,4,"",0,0,0,"",0,0,"",0,"","",7,"","",0
53,55,972,"",7,1,4,7,"",0,19,20,"",0,0,"",0,"","","","","",0
54,56,1001,1,0,"",2,4,1,0,10,0,"",0,0,1,0,"","","","","",0
55,57,1025,1,0,"",4,5,"",0,25,0,"",0,0,1,1200,"","","","","",0
56,58,1029,1,0,"",5,4,1,0,0,0,"",0,0,1,0,"","","","","",0
57,59,1036,"",0,"",4,2,1,0,0,0,"",90,5,1,2000,"","","","","",0
58,60,198,"",0,"",3,7,1,0,0,0,"",0,45,"",0,"","","","","",0
59,61,1047,"",0,"",3,4,1,0,0,0,"",0,0,"",0,"","","","","",0
60,62,1048,"",0,"",3,6,"",0,0,0,"",0,0,1,0,1,"","","","",0
61,63,1046,"",0,"",3,7,"",0,120,160,1,0,90,"",0,"","","",1,"",0
62,64,1174,1,0,"",3,4,1,0,40,0,"",0,0,"",0,"","","",1,"",0
63,65,1190,1,2,"",2,4,1,0,40,80,1,0,0,"",0,"","","","","",0
64,66,1193,1,0,"",3,4,1,0,10,0,"",0,0,1,0,"","","","","",0
65,67,1198,"",0,"",4,2,1,0,0,0,"",0,0,"",0,"","","","","",0
66,68,1209,1,0,"",3,4,1,0,40,0,"",0,0,"",0,"","","",1,"",0
67,69,1209,1,0,"",3,4,1,0,40,0,"",0,0,"",0,"","","",1,"",0
68,70,1209,1,0,"",3,4,1,0,40,0,"",0,0,"",0,"","","",1,"",0
69,71,1210,"",0,"",3,6,"",0,0,0,"",0,0,"",0,"","","","","",0
70,72,1212,"",6,"",3,4,"",1000,0,0,"",0,35,"",0,"","","","","",0
71,73,1218,"",0,"",3,4,"",0,0,0,"",0,0,"",0,"","","","","",0
72,74,1221,1,0,"",2,2,1,0,0,0,"",0,0,1,0,"","","","","",0
73,76,568,1,0,"",3,4,"",333,15,100,1,-80,33,"",0,"","","","","",0
74,77,"",1,0,"",4,7,"",0,5,28,"",0,0,"",0,"","","",1,189,0
75,78,1269,"",0,"",2,6,"",0,0,0,"",0,0,1,0,"","","","","",0
76,79,"",1,0,"",3,4,"",0,10,0,"",0,0,"",0,"","","","",192,0
77,80,1282,"",0,"",3,4,"",0,0,0,"",0,0,"",0,"","","","","",0
78,81,1282,"",0,"",3,4,"",0,0,0,"",0,0,"",0,"","","","","",0
79,82,1282,"",0,"",3,4,"",0,0,0,"",20,0,"",0,"","","","","",0
80,83,1282,"",0,"",3,4,"",0,0,0,"",-20,0,"",0,"","","","","",0
81,84,"",1,0,"",3,4,"",0,10,0,"",0,0,"",0,"","","","",194,0
82,85,1036,"",0,"",12,4,1,0,0,0,"",0,10,1,1300,"","","","","",0
83,86,1036,"",0,"",12,4,1,0,0,0,"",0,10,1,1300,"","","","","",0
84,87,1025,1,0,"",4,6,"",0,20,60,"",0,0,1,1200,"","","","","",0
85,88,1219,"",0,"",3,4,"",0,0,0,"",0,0,"",0,"","","","","",0
86,89,1220,"",0,"",4,2,"",0,0,0,"",0,0,"",0,"","","","","",0
87,94,1220,"",0,"",4,2,"",0,0,0,"",0,0,"",0,"","","","","",0
88,1000,1077,"",4,"",2,4,"",500,25,50,"",0,30,"",0,"","","","","",0
89,1001,1101,1,0,"",3,4,1,0,33,33,"",0,0,"",0,"","","","","",0
90,1002,1101,1,0,"",3,4,1,0,46,46,"",0,0,"",0,"","","","","",0
91,1003,1101,1,0,"",3,4,1,0,70,70,"",0,0,"",0,"","","","","",0
92,1004,100,1,24,1,3,7,1,0,10,50,1,0,0,"",0,"",1,"","","",0
93,1005,102,1,24,1,3,7,1,0,10,50,1,0,0,"",0,"",1,"","","",0
94,1006,1157,1,0,"",4,7,"",0,10,25,1,0,0,"",0,"","","","","",0
95,1007,"",1,10,"",5,6,1,0,7,25,1,0,0,"",0,"",1,"","",227,0
96,1008,1309,"",0,"",3,4,"",0,0,0,"",0,0,1,1000,"","","","","",0
97,1009,1325,"",8,1,12,7,"",0,0,0,"",0,0,"",0,"","","","","",0
98,1010,1350,"",0,"",3,4,"",0,20,50,"",0,0,"",0,"","","","","",0
99,1011,1358,1,0,"",3,4,1,0,10,40,"",0,0,"",0,"","","","","",0
100,1012,1820,"",0,"",10,3,"",0,5,0,"",0,0,"",0,"","","","","",0
101,1013,1377,"",0,"",10,3,1,0,49,50,"",0,0,"",0,"","","","","",0
102,1014,"","",0,"",3,4,"",0,15,25,1,0,60,"",0,"","","","",248,0
103,1015,"",1,0,"",3,4,"",0,10,0,"",0,0,"",0,"","","","",256,0
104,1016,"",1,0,"",3,4,"",0,10,0,"",0,0,"",0,"","","","",257,0
105,1017,1424,1,0,"",5,4,1,0,0,0,"",0,0,1,0,"","","","","",0
106,1018,"",1,0,"",2,3,"",0,5,0,"",0,0,"",0,"","","","",261,0
107,1019,1446,1,0,"",3,4,1,0,0,0,"",0,0,1,0,"",1,"","","",0
108,1020,1451,"",0,"",2,4,1,0,10,0,"",0,0,1,0,"","","","","",0
109,1021,1461,"",0,"",12,4,1,0,0,0,"",0,0,1,750,"","","","","",0
110,1022,1519,1,0,"",10,3,1,0,0,0,"",0,0,"",0,"","","","","",20
111,1023,1503,"",0,"",3,4,"",0,10,50,"",0,0,1,750,1,"","","","",0
112,1024,1525,1,0,"",12,4,1,0,0,0,"",0,0,"",0,"","","","","",0
113,1025,1534,1,2,1,3,7,"",250,30,45,1,0,0,"",0,"","","","","",0
114,1026,1452,"",0,"",2,4,1,0,70,80,1,0,0,1,0,"","","","","",0
115,1028,1596,"",0,"",2,6,"",0,0,0,"",0,0,1,0,"","","","","",0
116,1029,1597,"",0,"",2,6,"",0,0,0,"",0,0,1,0,"","","","","",0
117,1030,1604,1,0,"",12,4,"",0,10,0,"",0,0,1,500,"","","","","",0
118,1031,1241,1,0,"",3,4,"",0,10,0,"",0,0,1,0,1,"","","","",25
119,1032,1640,"",0,"",3,5,"",0,0,0,"",0,0,1,0,1,"","","","",0
120,1033,1660,"",0,"",3,4,"",0,0,0,"",0,0,1,0,1,"","","","",0
121,1034,1680,1,0,"",3,4,1,0,0,0,"",0,0,"",0,"","","","","",-10
122,1035,1687,1,0,"",3,4,1,0,30,0,"",0,0,1,0,1,"","","","",0
123,1036,1103,"",0,"",3,6,1,0,0,0,"",0,0,1,0,"","","","","",0
124,1037,1707,"",0,"",3,4,1,0,0,0,"",0,0,1,0,"","","","","",0
125,1038,1709,"",0,"",10,3,"",0,45,100,1,0,60,"",0,"","","","","",0
126,1039,1716,"",0,"",12,4,"",0,0,0,"",0,0,1,3000,"","","","","",0
127,1040,1728,1,0,"",5,4,1,0,0,0,"",0,0,1,0,"","","","","",0
128,1041,1733,1,0,"",2,4,1,0,10,0,"",0,0,1,0,1,"","","","",0
129,1042,1767,1,0,"",3,5,"",0,0,0,"",0,0,1,0,1,"","","","",0
130,1043,1788,"",0,"",3,9,"",0,0,0,"",0,0,1,0,"","","","","",0
131,1044,1805,"",0,"",3,4,"",0,0,0,"",0,0,1,0,"","","","","",0
132,1045,1798,"",0,"",3,6,"",0,0,0,"",0,0,1,0,"","","","","",0
133,1046,1791,1,0,"",10,3,1,0,45,0,"",0,0,1,300,1,"","",1,"",0
134,1047,1803,"",0,"",10,3,"",0,0,0,"",0,0,1,0,"","","","","",0
135,1048,1819,"",0,"",10,3,1,0,0,0,"",0,0,1,0,"","","","","",0
136,1049,1831,"",0,"",12,4,"",0,0,0,"",0,0,1,1500,1,"","","","",0
137,1050,1785,1,0,"",12,3,"",0,0,0,"",0,0,1,1000,"","","","","",0
138,1051,1832,"",0,"",12,6,"",0,0,0,"",0,0,1,0,"","","","","",0
139,1052,1833,"",0,"",12,4,"",0,0,0,"",0,0,1,0,"","","","","",0
140,1053,1817,"",0,"",10,3,"",0,0,0,"",0,0,1,0,1,"","","","",-15
141,1054,1836,1,0,"",12,3,"",0,0,0,"",0,0,1,1000,"","","","","",0
142,1055,"",1,10,1,5,6,1,0,7,25,"",0,0,"",0,"",1,"","",276,0
143,1056,1852,1,0,"",3,5,"",0,10,100,"",0,0,1,0,1,"","","","",0
144,1057,1847,"",29,1,12,3,"",0,10,100,"",0,0,1,1000,"","","","","",0
145,1058,1241,1,0,"",3,4,"",0,44,44,"",0,0,"",0,"","","","","",0
146,1059,1241,1,0,"",3,4,"",0,51,51,"",0,0,"",0,"","","","","",0
147,1060,1241,1,0,"",3,4,"",0,58,58,"",0,0,"",0,"","","","","",0
148,1061,1241,1,0,"",3,4,"",0,65,65,"",0,0,"",0,"","","","","",0
149,1062,1241,1,0,"",3,4,"",0,72,72,"",0,0,"",0,"","","","","",0
150,1063,1103,"",5,1,2,7,1,0,0,0,"",0,0,1,3000,"","","","","",0
151,1064,1916,1,99,1,12,7,"",125,10,60,1,0,340,"",0,"","","","","",0
152,1065,1931,"",0,"",3,9,"",0,0,0,"",0,0,1,0,"","","","","",0
153,1066,1938,"",0,"",3,4,"",0,0,0,"",0,0,"",0,"","","","","",0
154,1067,1939,"",0,"",3,4,"",0,0,0,"",0,0,"",0,"","","","","",0
155,1068,1941,1,0,"",3,4,"",0,0,0,"",0,0,1,0,"","","","","",20
156,1069,1949,1,0,"",4,3,"",0,50,80,"",0,0,1,0,"","","","","",0
157,1070,1915,"",0,"",10,3,"",0,0,0,"",0,0,1,0,"","","","","",0
158,1071,1596,1,0,"",3,4,"",0,0,0,"",0,0,1,1000,"","","","","",20
159,1072,1977,1,79,1,3,4,"",100,40,70,1,0,0,"",0,"","","","","",0
160,1073,1984,1,0,"",3,5,"",0,0,0,"",0,0,1,1500,1,"","","","",15
161,1074,1989,"",7,1,4,7,1,0,0,0,"",0,0,1,1500,"","","","","",0
162,1075,1997,"",0,"",12,4,"",0,0,0,"",0,0,1,2000,"","","","","",0
163,1076,1918,"",0,"",3,4,"",0,0,0,"",0,0,"",0,"","","","","",0
164,1077,1917,"",0,"",3,4,"",0,0,0,"",0,0,"",0,"","","","","",0
165,1078,2000,1,0,"",3,4,"",0,20,40,1,0,0,1,0,1,"","","","",0
166,1079,2037,"",0,"",3,9,"",0,0,0,"",0,0,1,5000,"","","","","",0
167,1080,2052,"",0,"",3,6,"",0,0,0,"",0,0,1,700,"","","","","",0
168,1081,2053,"",0,"",3,6,"",0,0,0,"",0,0,1,700,"","","","","",0
169,1082,2069,"",0,"",3,6,"",0,0,0,"",0,0,1,1400,"","","","","",0
170,1083,2066,1,0,"",5,4,1,0,0,0,"",0,0,1,0,"","","","","",0
171,1084,2068,1,0,"",12,5,"",0,0,0,"",0,0,1,1000,1,"","","","",15
172,1085,1447,1,0,"",12,5,"",0,0,0,"",0,0,1,0,1,"","","","",10
173,1086,1448,"",0,"",12,6,"",0,0,0,"",0,0,"",0,"","","","","",0
174,1087,1985,1,0,"",3,5,"",0,0,0,"",0,0,1,1500,1,"","","","",15
175,1088,2099,1,0,"",3,5,"",0,0,0,"",0,0,1,1500,1,"","","","",10
