"rownum","BaseItemType","TriggeredQuestFlag","QuestComplete","i32_48","[rid]_52","bool_68","bool_69","HelpText","Description","Script","rid_110","QuestFlag","i32_142","NPCs","QuestFlagUsed","BuffVisual"
37,451,2699,"",4009,[],"","",7915,7923,"skill_book","","",4833,[],"",2484
38,452,2700,"",4010,[],"","",7915,7923,"skill_book","","",4833,[],"",2484
39,453,2701,"",4011,[],"","",7915,7923,"skill_book","","",4833,[],"",2484
40,454,2702,"",4012,[],"","",7915,7923,"skill_book","","",4833,[],"",2484
41,455,2703,"",4013,[],"","",7916,7924,"skill_book","","",4833,[],"",2487
42,456,2704,"",4014,[],"","",7916,7924,"skill_book","","",4833,[],"",2487
43,457,2705,"",4015,[],"","",7916,7924,"skill_book","","",4833,[],"",2487
44,458,2706,"",4016,[],"","",7916,7924,"skill_book","","",4833,[],"",2487
45,459,2707,"",4017,[],"","",7917,7925,"skill_book","","",4833,[],"",2486
46,460,2708,"",4018,[],"","",7917,7925,"skill_book","","",4833,[],"",2486
47,461,2709,"",4019,[],"","",7917,7925,"skill_book","","",4833,[],"",2486
48,462,2710,"",4020,[],"","",7917,7925,"skill_book","","",4833,[],"",2486
49,463,2711,"",4021,[],"","",7918,7926,"skill_book","","",4833,[],"",2485
50,464,2712,"",4022,[],"","",7918,7926,"skill_book","","",4833,[],"",2485
51,465,2713,"",4023,[],"","",7918,7926,"skill_book","","",4833,[],"",2485
52,466,2714,"",4024,[],"","",7918,7926,"skill_book","","",4833,[],"",2485
53,471,2726,"",677,[],"","",7920,7928,"skill_book","","",4833,[],"",2488
54,472,2727,"",678,[],"","",7920,7928,"skill_book","","",4833,[],"",2488
55,473,2728,"",679,[],"","",7920,7928,"skill_book","","",4833,[],"",2488
56,474,2729,"",680,[],"","",7920,7928,"skill_book","","",4833,[],"",2488
57,475,2804,"",681,[],"","",7920,7928,"skill_book","","",4833,[],"",2488
58,476,2872,"",682,[],"","",8389,8390,"skill_book","","",4833,[],"",2483
59,477,2873,"",683,[],"","",8389,8390,"skill_book","","",4833,[],"",2483
60,478,2874,"",684,[],"","",8389,8390,"skill_book","","",4833,[],"",2483
61,479,2875,"",685,[],"","",8389,8390,"skill_book","","",4833,[],"",2483
62,1927,2161,2725,4833,[],"","",936,"","grant_quest_flag_trigger_npc_audio","","",4833,[],"",""
63,4256,2163,4924,4833,[],"","",937,"","","","",4833,[],"",""
64,622,130,131,4833,[],"","",8642,"","","","",4833,[],"",""
65,623,872,873,4833,[],"","",8643,"","","","",4833,[],"",""
66,3630,2939,2940,4833,[],"","","","","","","",4833,[],"",""
67,3631,2949,2957,4833,[],"","","","","","","",4833,[],"",""
68,3636,3007,2948,4833,[],"","","","","","","",4833,[],"",""
69,3637,3008,2948,4833,[],"","","","","","","",4833,[],"",""
70,3638,3009,2948,4833,[],"","","","","","","",4833,[],"",""
71,3632,3734,3733,4833,[],"","",938,939,"skill_book","","",4833,[],"",""
72,3633,3736,3735,4833,[],"","",935,940,"skill_book","","",4833,[],"",""
73,3634,4850,4851,4833,[],"","",935,941,"skill_book","","",4833,[],"",""
74,3639,4703,4705,4833,[],"","","","","","","",4833,[],"",""
75,3640,4704,4705,4833,[],"","","","","","","",4833,[],"",""
76,3641,4706,4707,4833,[],"","","","","","",2980,4833,[],"",""
77,3635,3737,2992,4833,[],"","",942,943,"skill_book","","",4833,[],"",""
78,3643,3739,3738,4833,[],"","",944,945,"skill_book","","",4833,[],"",""
79,3644,3740,3741,4833,[],"","",946,947,"skill_book","","",4833,[],"",""
80,3645,3743,3742,4833,[],"","",948,949,"skill_book","","",4833,[],"",""
81,3646,4752,4753,4833,[],"","",950,951,"consume_quest_item_create_item","","",4833,[],"",""
82,3647,4942,"",4026,[],"","","","","","","",4833,[],"",""
83,3648,3745,3744,4833,[],"","",956,957,"skill_book","","",4833,[],"",""
84,3649,3747,3746,4833,[],"","",958,959,"skill_book","","",4833,[],"",""
85,3662,4329,4330,4833,[],"","",993,994,"skill_book","","",4833,[],"",""
86,3666,4332,4333,4833,[],"","",995,996,"skill_book","","",4833,[],"",""
87,3654,3189,4335,4833,[],"","",997,"","","","",4833,[],"",""
88,3655,4336,4337,4833,[],"","",998,"","","","",4833,[],"",""
89,3653,3187,3188,4833,[],"","",998,"","","","",4833,[],"",""
90,3656,4338,4339,4833,[],"","",999,"","","","",4833,[],"",""
91,3657,4340,4341,4833,[],"","",1000,"","","","",4833,[],"",""
92,3658,4342,4343,4833,[],"","",1001,"","","","",4833,[],"",""
93,3650,4344,4565,4833,[],"","",1002,"","","","",4833,[],"",""
94,3651,4346,4347,4833,[],"","",1003,1004,"skill_book","","",4833,[],"",""
95,3652,4348,4349,4833,[],"","",1005,1006,"skill_book","","",4833,[],"",""
96,3667,4754,4755,4833,[],"","",952,953,"consume_quest_item_create_item","","",4833,[],"",""
97,3665,3242,3243,4833,[],"","","","","","","",4833,[],"",""
98,3659,3351,3282,4833,[],"","","","","","","",4833,[],"",""
99,3663,3207,3222,4833,[],"","","","","","","",4833,[],"",""
100,3664,3210,3223,4833,[],"","","","","","","",4833,[],"",""
101,3668,4350,4351,4833,[],"","",1007,1008,"skill_book","","",4833,[],"",""
102,3669,4352,4353,4833,[],"","",1009,1010,"skill_book","","",4833,[],"",""
103,3670,4681,4682,4833,[],"","",1011,1012,"skill_book","","",4833,[],"",""
104,3673,3782,2814,4833,[],"","",960,961,"skill_book","","",4833,[],3783,""
105,3674,4685,2814,4833,[],"","",962,963,"skill_book","","",4833,[],4686,""
106,3675,4687,2814,4833,[],"","",964,965,"skill_book","","",4833,[],4688,""
107,3679,3901,3904,4833,[],"","","","","","","",4833,[],"",""
108,3690,3784,3785,4833,[],"","",973,972,"skill_book","","",4833,[],"",""
109,3689,3764,3854,4833,[],"","","","","","","",4833,[],"",""
110,3692,3786,3787,4833,[],"","","","","","","",4833,[],"",""
111,3691,3896,3853,4833,[],"","","","","","","",4833,[],"",""
112,3693,3788,3789,4833,[],"","",974,975,"skill_book","","",4833,[],"",""
113,3694,4676,"",4079,[],"","","","","","","",4833,[],"",""
114,3697,4874,4875,4833,[],1,"",976,"","","","",4833,"[400,401,402]","",""
115,3698,4876,4877,4833,[],1,"",976,"","","","",4833,"[400,401,402]","",""
116,3699,4878,4879,4833,[],1,"",976,"","","","",4833,"[400,401,402]","",""
117,3700,4971,4972,4833,[],1,"",976,"","","","",4833,"[400,401,402]","",""
118,3701,4973,4974,4833,[],1,"",976,"","","","",4833,"[400,401,402]","",""
119,3702,4975,4976,4833,[],1,"",976,"","","","",4833,"[400,401,402]","",""
120,3703,4832,4833,4833,[],"","",977,978,"","","",4833,[],"",""
121,3704,3790,3791,4833,[],"","",979,980,"skill_book","","",4833,[],"",""
122,3672,3792,3793,4833,[],"","",981,982,"skill_book","","",4833,[],"",""
123,4227,4931,4932,4833,[],"","","","","","","",4833,[],"",""
124,4228,4933,4934,4833,[],"","","","","","","",4833,[],"",""
125,4229,4935,4936,4833,[],"","","","","","","",4833,[],"",""
126,3706,4821,4823,4833,[],"","",983,"","","","",4833,[],"",""
127,3705,3794,3795,4833,[],"","",984,985,"skill_book","","",4833,[],"",""
128,3707,4756,1005,4833,[],"","",954,955,"consume_quest_item_create_item","","",4833,[],"",""
129,3708,5083,4187,4833,[],"","","","","","","",4833,[],"",""
130,3709,3796,3797,4833,[],"","","","","","","",4833,[],"",""
131,3710,3798,3799,4833,[],"","","","","","","",4833,[],"",""
132,3711,3800,3801,4833,[],"","","","","","","",4833,[],"",""
133,3712,3802,999,4833,[],"","",986,987,"skill_book","","",4833,[],"",""
134,3713,4062,4063,4833,[],"","","","","","","",4833,[],"",""
135,3714,4065,4066,4833,[],"","",988,989,"skill_book","","",4833,[],"",""
136,3716,4070,4073,4833,[],"","","","","","","",4833,[],"",""
137,3715,5169,5170,4833,[],"","",990,"","","","",4833,[],"",""
138,3721,4120,4122,4833,[],"","","","","","","",4833,[],"",""
139,3723,4121,4123,4833,[],"","","","","","","",4833,[],"",""
140,3720,4128,4129,4833,[],"","","","","","","",4833,[],"",""
141,3724,4132,4133,4833,[],"","",1015,1016,"skill_book","","",4833,[],"",""
142,3725,4134,560,4833,[],"","","","","","","",4833,[],"",""
143,3726,4286,4285,4833,[],"","","","","","","",4833,[],"",""
144,3727,4284,4282,4833,[],"","","","","","","",4833,[],"",""
145,3728,4290,4291,4833,[],"","",1021,1022,"skill_book","","",4833,[],"",""
146,3729,4292,4293,4833,[],"","",1023,1024,"skill_book","","",4833,[],"",""
147,3730,4294,4295,4833,[],"","",1025,1026,"skill_book","","",4833,[],"",""
148,3731,4296,4297,4833,[],"","",1027,1028,"skill_book","","",4833,[],"",""
149,3732,4298,4299,4833,[],"","",1029,1030,"skill_book","","",4833,[],"",""
150,3733,12,13,4833,[],"","",1031,"","","","",4833,[],"",""
151,3734,14,15,4833,[],"","",1031,"","","","",4833,[],"",""
152,3735,16,17,4833,[],"","",1031,"","","","",4833,[],"",""
153,3736,18,19,4833,[],"","",1031,"","","","",4833,[],"",""
154,3738,165,411,4833,[],"","",1032,"","","","",4833,[],"",""
155,3739,167,412,4833,[],"","",1032,"","","","",4833,[],"",""
156,3740,169,413,4833,[],"","",1032,"","","","",4833,[],"",""
157,3741,301,1000,4833,[],"","",1033,"","","","",4833,[],"",""
158,3742,304,476,4833,[],"","",8734,8736,"skill_book","","",4833,[],305,2612
159,3743,306,477,4833,[],"","",8734,8737,"skill_book","","",4833,[],307,2612
160,3744,308,478,4833,[],"","",8734,8738,"skill_book","","",4833,[],309,2612
161,3745,470,476,4833,[],"","",8734,8739,"skill_book","","",4833,[],471,2612
162,3746,472,477,4833,[],"","",8734,8740,"skill_book","","",4833,[],473,2612
163,3747,474,478,4833,[],"","",8734,8741,"skill_book","","",4833,[],475,2612
164,3748,310,1000,4833,[],"","",8735,8742,"skill_book","","",4833,[],"",2612
165,3749,5636,5692,4833,[],"","",9531,9533,"skill_book","","",4833,[],5638,""
166,3750,5637,5692,4833,[],"","",9532,9534,"skill_book","","",4833,[],5639,""
167,3719,4113,"",4833,[],"","","","","","","",4833,[],"",""
168,3751,5182,5183,4833,[],"","","","","","","",4833,[],"",""
169,3752,5184,5185,4833,[],"","","","","","","",4833,[],"",""
170,3753,5186,5187,4833,[],"","","","","","","",4833,[],"",""
171,3756,526,528,4833,[],"","","","","","","",4833,[],"",""
172,3757,530,1003,4833,[],"","",946,947,"skill_book","","",4833,[],"",""
173,3759,1803,1804,4833,[],"","",1036,1037,"skill_book","","",4833,[],"",""
174,3760,4300,4301,4833,[],"","",1036,1037,"skill_book","","",4833,[],"",""
175,3761,4302,4303,4833,[],"","",1038,1039,"skill_book","","",4833,[],"",""
176,3763,4304,4305,4833,[],"","","","","","","",4833,[],"",""
177,3764,4306,3999,4833,[],"","","","","","","",4833,[],"",""
178,3765,4307,4308,4833,[],"","","","","","","",4833,[],"",""
179,3762,5430,5431,4833,[],"","",9005,9006,"skill_book","","",4833,[],"",""
180,4953,5294,1001,4833,[],"","",8934,8933,"skill_book","","",4833,[],"",""
181,4954,5295,1002,4833,[],"","",946,947,"skill_book","","",4833,[],"",""
182,4955,5296,1004,4833,[],"","",946,947,"skill_book","","",4833,[],"",""
183,3754,5298,5299,4833,[],"","","","","","","",4833,[],"",""
184,3755,5301,5302,4833,[],"","","","","","","",4833,[],"",""
185,4956,5358,5356,4833,[],"","",8973,8974,"skill_book","","",4833,[],5356,""
186,4957,1223,"",4329,[],"","",9453,"","","","",4833,[],"",""
187,4958,1224,"",4330,[],"","",9454,"","","","",4833,[],"",""
188,4959,1508,"",4463,[],"","",9455,"","","","",4833,[],"",""
189,4960,1239,"",144,[],"","","","","","","",4833,[],"",""
190,4961,1242,"",4323,[],"","","","","","","",4833,[],"",""
191,4962,1301,"",4345,[],"","",9527,9527,"","","",4833,[],"",""
192,4964,1674,"",4752,[],"","",9530,9530,"","","",4833,[],"",""
193,4963,1286,"",4348,[],"","",9529,9529,"","","",4833,[],"",""
194,4965,5556,"",261,[],"","",9524,9524,"","","",4833,[],"",""
195,4966,1331,"",4360,[],"","",9525,9525,"","","",4833,[],"",""
196,467,966,"",4228,[],"","",7919,7927,"skill_book","","",4833,[],"",2488
197,468,967,"",4229,[],"","",7919,7927,"skill_book","","",4833,[],"",2488
198,469,968,"",4230,[],"","",7919,7927,"skill_book","","",4833,[],"",2488
199,470,969,"",4231,[],"","",7919,7927,"skill_book","","",4833,[],"",2488
200,5031,5540,"",145,[],"","",9316,"","","","",4833,[],"",""
201,4967,5541,"",4425,[],"","",9440,9440,"","","",4833,[],"",""
202,4968,5542,"",4426,[],"","",9440,9440,"","","",4833,[],"",""
203,4969,5543,"",4427,[],"","",9440,9440,"","","",4833,[],"",""
204,4970,5544,"",4428,[],"","",9440,9440,"","","",4833,[],"",""
205,4971,5569,"",4475,[],"","",9588,"","","","",4833,[],"",""
206,4972,5583,5585,4833,[],"","","","","runeseeker_quest_depleted_rune","","",4833,[],"",2716
207,4973,5584,5585,4833,[],"","","","","","","",4833,[],"",""
208,4248,1459,"",4820,[],"","",9526,9526,"","","",4833,[],"",""
209,4249,1460,"",4821,[],"","",9526,9526,"","","",4833,[],"",""
210,4250,1461,"",4822,[],"","",9526,9526,"","","",4833,[],"",""
211,4251,1462,"",4823,[],"","",9526,9526,"","","",4833,[],"",""
212,4252,1463,"",4824,[],"","",9526,9526,"","","",4833,[],"",""
213,5210,1539,1543,4833,[],"","",9423,9427,"skill_book","","",4833,[],"",""
214,5211,1540,1544,4833,[],"","",9424,9428,"skill_book","","",4833,[],"",""
215,5212,1541,1545,4833,[],"","",9425,9429,"skill_book","","",4833,[],"",""
216,5213,1542,1546,4833,[],"","",9426,9430,"skill_book","","",4833,[],"",""
217,3772,5559,"",4471,[],"","","","","","","",4833,[],"",""
218,4242,5570,"",4817,[],"","","","","","","",4833,[],"",""
219,4243,5571,"",4818,[],"","","","","","","",4833,[],"",""
220,4244,5576,"",4819,[],"","","","","","","",4833,[],"",""
