"rownum","HideoutArea","HASH16","HideoutFile","ClaimSideArea","HideoutImage","IsEnabled","bool_51","[i32]_52","bool_68","MtxType","ErrorMessage"
42,49,61877,"Metadata/Terrain/Missions/Hideouts/ArenaEaterOfWorlds/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/EaterOfWorldsHideout","",1,[],"",7776,""
43,50,95,"Metadata/Terrain/Missions/Hideouts/ArenaSearingExarch/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/CleansingFireHideout","",1,[],"",7777,""
44,51,15656,"Metadata/Terrain/Hideouts/BeaconOfSalvation/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/BeaconOfSalvationHideout",1,1,[],1,7788,""
45,52,21626,"Metadata/Terrain/Hideouts/Canopy/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/CanopyHideout",1,1,[],"",7789,""
46,53,30315,"Metadata/Terrain/Hideouts/Dreadnought/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/DreadnoughtHideout",1,1,[],"",7787,""
47,54,13526,"Metadata/Terrain/Hideouts/FelledGrove/decoration.hideout",88,"Art/2DArt/UIImages/InGame/Hideout/HideoutImages/FelledHideout",1,"",[],"","",""
48,55,26805,"Metadata/Terrain/Hideouts/Shrine/decoration.hideout",90,"Art/2DArt/UIImages/InGame/Hideout/HideoutImages/ShrineHideout",1,"",[],"","",""
49,56,12394,"Metadata/Terrain/Hideouts/Limestone/decoration.hideout",89,"Art/2DArt/UIImages/InGame/Hideout/HideoutImages/LimestoneHideout",1,"",[],"","",""
50,57,60415,"Metadata/Terrain/Hideouts/Canal/decoration.hideout",91,"Art/2DArt/UIImages/InGame/Hideout/HideoutImages/CanalHideout",1,"",[],"","",""
51,58,39686,"Metadata/Terrain/Hideouts/Monolith/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/MonolithHideout",1,1,[],"",7790,""
52,59,15287,"Metadata/Terrain/Hideouts/Twisted/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/TwistedHideout",1,1,[],"",7791,""
53,60,36100,"Metadata/Terrain/Hideouts/Transcendent/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/TranscendentHideout",1,1,[],"",7792,""
54,61,12797,"Metadata/Terrain/Hideouts/Hourglass/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/HourglassHideout",1,1,[],"",7793,""
55,62,4360,"Metadata/Terrain/Hideouts/Chaos/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/ChaosHideout",1,1,[],"",7794,""
56,63,59052,"Metadata/Terrain/Hideouts/Summit/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/JusticeSummitHideout",1,1,[],1,7795,""
57,64,382,"Metadata/Terrain/Missions/Hideouts/Racetrack/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/VastiriRacetrackHideout",1,1,[],"",7786,""
58,65,8363,"Metadata/Terrain/Hideouts/Shipwreck/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/ShipwreckHideout",1,1,[],1,7796,""
59,66,36320,"Metadata/Terrain/Hideouts/Farmlands/decoration.hideout",85,"",1,1,[],1,"",""
60,67,39817,"Metadata/Terrain/Hideouts/Prison/decoration.hideout",86,"",1,1,[],1,"",""
61,68,4638,"Metadata/Terrain/Hideouts/Shoreline/decoration.hideout",87,"Art/2DArt/UIImages/InGame/Hideout/HideoutImages/ShorelineHideout",1,1,[],1,"",""
62,69,9070,"Metadata/Terrain/Hideouts/ArenaKulemak/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/KulemakBossArenaHideout",1,1,[],1,7798,""
63,70,62512,"Metadata/Terrain/Hideouts/Grinding/decoration.hideout","","",1,1,[],"","",""
64,71,23536,"Metadata/Terrain/Hideouts/ArcaneIsle/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/ArcaneIsleHideout",1,1,[],"",7797,""
65,72,61152,"Metadata/Terrain/Hideouts/Sacrifice/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/SacrificeHideout",1,1,[],"",7799,""
66,73,31541,"Metadata/Terrain/Hideouts/Verdant/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/VerdantHideout",1,1,[],"",7800,""
67,74,1248,"Metadata/Terrain/Hideouts/BlankUrban/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/PlainHideoutUrban",1,1,[],"",7801,""
68,75,60854,"Metadata/Terrain/Hideouts/BlankMountain/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/PlainHideoutIce",1,1,[],"",7802,""
69,76,2292,"Metadata/Terrain/Hideouts/BlankDesert2/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/PlainHideoutDesert",1,1,[],"",7803,""
70,77,1368,"Metadata/Terrain/Hideouts/BlankCrypt/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/PlainHideoutCrypt",1,1,[],"",7804,""
71,78,42641,"Metadata/Terrain/Hideouts/ArenaIncursion/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/AtzirisArenaHideout",1,1,[],"",8089,""
72,79,64598,"Metadata/Terrain/Hideouts/SunkenPalace/decoration.hideout","","",1,1,[],"",7805,""
73,80,6697,"Metadata/Terrain/Hideouts/ColossalTitan/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/TitanApexHideout",1,1,[],"",7806,""
74,81,53580,"Metadata/Terrain/Hideouts/BlankJungle/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/BlankJungleHideout",1,1,[],"",7807,""
75,82,42390,"Metadata/Terrain/Hideouts/BlankVolcanicCave/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/BlankVolcanicCaveHideout",1,1,[],"",7808,""
76,83,3422,"Metadata/Terrain/Hideouts/VampireManor/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/VampireInterludeHideout",1,1,[],"",7809,""
77,84,56571,"Metadata/Terrain/Hideouts/RemidusMonastery/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/RemidusHideout",1,1,[],"",7810,""
