"rownum","Id","Text","Text (French)","Text (German)","Text (Japanese)","Text (Korean)","Text (Portuguese)","Text (Russian)","Text (Spanish)","Text (Thai)","Text (Traditional Chinese)","rid_16"
12,"Bow","[Bow]","[Bow|Arc]","[Bow|Bogen]","[Bow|弓]","[Bow|활]","[Bow|Arco]","[Bow|Лук]","[Bow|Arco]","[Bow|ธนู]","[Bow|弓]",""
13,"Two Hand Sword","[Sword|Two Hand Sword]","[Sword|Épée à deux mains]","[Sword|Zweihandschwert]","[Sword|両手剣]","[Sword|양손 검]","[Sword|Espada de Duas Mãos]","[Sword|Двуручный меч]","[Sword|Espada a dos manos]","[Sword|ดาบสองมือ]","[Sword|雙手劍]",""
14,"Two Hand Axe","[Axe|Two Hand Axe]","[Axe|Hache à deux mains]","[Axe|Zweihandaxt]","[Axe|両手斧]","[Axe|양손 도끼]","[Axe|Machado de Duas Mãos]","[Axe|Двуручный топор]","[Axe|Hacha a dos manos]","[Axe|ขวานสองมือ]","[Axe|雙手斧]",""
15,"Two Hand Mace","[Mace|Two Hand Mace]","[Mace|Masse à deux mains]","[Mace|Zweihandstreitkolben]","[Mace|両手メイス]","[Mace|양손 철퇴]","[Mace|Maça de Duas Mãos]","[Mace|Двуручная булава]","[Mace|Maza a dos manos]","[Mace|กระบองสองมือ]","[Mace|雙手錘]",""
16,"Active Skill Gem","Skill Gem","Gemme d'aptitude","Fertigkeitengemme","スキルジェム","스킬 젬","Gema de Habilidade","Камень умения","Gema de habilidad","หินสกิล","技能寶石",""
17,"Support Skill Gem","Support Gem","Gemme de soutien","Unterstützungsgemme","サポートジェム","보조 젬","Gema de Suporte","Камень поддержки","Gema de asistencia","หินเสริม","輔助寶石",""
18,"Quiver","[Quiver]","[Quiver|Carquois]","[Quiver|Köcher]","[Quiver|矢筒]","[Quiver|화살통]","[Quiver|Aljava]","[Quiver|Колчан]","[Quiver|Carcaj]","[Quiver|ซองธนู]","[Quiver|箭袋]",""
19,"Belt","Belt","Ceinture","Gürtel","ベルト","허리띠","Cinto","Пояс","Cinturón","เข็มขัด","腰帶",""
20,"Gloves","Gloves","Gants","Handschuhe","手袋","장갑","Luvas","Перчатки","Guantes","ถุงมือ","手套",""
21,"Boots","Boots","Bottes","Stiefel","靴","장화","Botas","Сапоги","Botas","รองเท้า","鞋子",""
22,"Body Armour","Body Armour","Armure","Körperrüstung","鎧","갑옷","Peitoral","Нательный доспех","Armadura","เสื้อเกราะ","胸甲",""
23,"Helmet","Helmet","Casque","Helm","兜","투구","Elmo","Шлем","Casco","หมวก","頭盔",""
24,"Shield","[Shield]","[Shield|Bouclier]","[Shield|Schild]","[Shield|盾]","[Shield|방패]","[Shield|Escudo]","[Shield|Щит]","[Shield|Escudo]","[Shield|โล่]","[Shield|盾牌]",""
25,"QuestItem","[QuestItem|Quest Item]","[QuestItem|Objet de quête]","[QuestItem|Quest-Gegenstand]","[QuestItem|クエストアイテム]","[QuestItem|퀘스트 아이템]","[QuestItem|Item de Missão]","[QuestItem|Предмет для задания]","[QuestItem|Objeto de misión]","[QuestItem|ไอเทมเควสต์]","[QuestItem|任務道具]",""
26,"Map","Waystone","Pierre de téléportation","Wegstein","ウェイストーン","경로석","Pedra Guia","Карта","Piedra guía","ศิลานำทาง","換界石",""
27,"FishingRod","Fishing Rod","Canne à pêche","Angelrute","釣り竿","낚싯대","Vara de Pescar","Удочка","Caña de pescar","เบ็ดตกปลา","釣竿",""
28,"MapFragment","Map Fragment","Fragment de Carte","Kartenfragment","マップの断片","지도 조각","Fragmento de Mapa","Фрагмент карты","Fragmento de mapa","ชิ้นส่วนแผนที่","地圖碎片",""
29,"Jewel","[Jewel]","[Jewel|Joyau]","[Jewel|Juwel]","[Jewel|ジュエル]","[Jewel|주얼]","[Jewel|Joia]","[Jewel|Самоцвет]","[Jewel|Joya]","[Jewel|จิวเวล]","[Jewel|珠寶]",""
30,"DivinationCard","Divination Card","Carte divinatoire","Weissagungskarte","占いカード","점술 카드","Carta de Adivinhação","Гадальная карта","Carta de adivinación","ไพ่พยากรณ์","命運卡",""
31,"LabyrinthItem","Labyrinth Key","Clé du Labyrinthe","Labyrinth-Schlüssel","ラビリンスキー","미궁 열쇠","Chave de Labirinto","Ключ Лабиринта","Llave de laberinto","กุญแจเขาวงกต","帝王迷宮鑰匙",""
32,"LabyrinthTrinket","Labyrinth Trinket","Colifichet du Labyrinthe","Labyrinth-Relikt","ラビリンス宝飾品","미궁 장신구","Joia do Labirinto","Украшение Лабиринта","Abalorio de laberinto","อุปกรณ์เขาวงกต","帝王迷宮飾品",""
33,"MiscMapItem","","Objet cartographique divers","Sonstiger Kartengegenstand","","","Item de Mapa Genérico","Предмет карты","Objeto misceláneo de mapa","ไอเทมแผนที่อื่นๆ","",""
34,"Leaguestone","Leaguestone","Pierre de ligue","Liga-Stein","リーグストーン","리그스톤","Pedra de Liga","Камень лиги","Piedra de liga","ศิลาลีก","聯盟石",""
35,"PantheonSoul","Captured Soul","Âme capturée","Eingefangene Seele","捕獲された魂","포획한 영혼","Alma Capturada","Захваченная душа","Alma capturada","วิญญาณที่ถูกเก็บ","奪取之魂",""
36,"UniqueFragment","Unique Piece","Morceau d'Unique","Bruchstück","ユニークの欠片","고유 조각","Peça Única","Часть уникального предмета","Pieza única","ชิ้นส่วนยูนิค","傳奇碎片",""
37,"AbyssJewel","Abyss Jewel","Joyau abyssal","Abgrund-Juwel","アビスジュエル","심연 주얼","Joia Abissal","Самоцвет Бездны","Joya de abismo","จิวเวลอะบิส","深淵珠寶",""
38,"IncursionItem","Incursion Item","Objet d'Incursion","Incursion-Gegenstand","インカージョンアイテム","기습 아이템","Item Incursion","Предмет Вмешательства","Objeto de Incursion","ไอเทมย้อนเวลา","穿越物品",""
39,"DelveSocketableCurrency","Resonator","Résonateur","Resonator","レゾネーター","공명기","Ressonador","Резонатор","Resonador","ตัวสั่นพ้อง","鑄新儀",""
40,"Incubator","Incubator","Incubateur","Inkubator","インキュベーター","인큐베이터","Incubador","Инкубатор","Incubadora","ตัวบ่มฟัก","培育器",""
41,"AtlasUpgradeItem","Watchstone","Pierre de veille","Wächterstein","ウォッチストーン","감시자의 돌","Pedra Sentinela","Камень Хранителя","Roca del vigilante","อัญมณีผู้พิทักษ์","守望石",""
42,"HeistContract","Contract","Contrat","Auftrag","依頼書","계약","Contrato","Контракт","Contrato","สัญญาจ้าง","契約書",""
43,"HeistEquipmentWeapon","Heist Gear","Équipement de Malfaiteur","Heist-Ausrüstung","ハイストギア","강탈 장비","Equipamento Heist","Разбойничьи принадлежности","Equipamiento de Heist","อุปกรณ์สวมใส่กองโจร","劫盜裝備",""
44,"HeistEquipmentTool","Heist Tool","Outil de Malfaiteur","Heist-Werkzeug","ハイストツール","강탈 도구","Ferramenta Heist","Разбойничий инструмент","Herramienta de Heist","เครื่องมือกองโจร","劫盜工具",""
45,"HeistEquipmentUtility","Heist Cloak","Cape de Malfaiteur","Heist-Umhang","ハイストクローク","강탈 망토","Capa Heist","Разбойничья накидка","Capa de Heist","ผ้าคลุมกองโจร","劫盜披風",""
46,"HeistEquipmentReward","Heist Brooch","Broche de Malfaiteur","Heist-Brosche","ハイストブローチ","강탈 브로치","Broche Heist","Разбойничья брошь","Broche de Heist","เข็มกลัดกองโจร","劫盜胸針",""
47,"HeistBlueprint","Blueprint","Plan","Grundriss","計画書","도면","Planta","Чертёж","Plano","พิมพ์เขียว","藍圖",""
48,"Trinket","Trinket","Babiole","Schmuckstück","トリンケット","장신구","Bugiganga","Украшение","Abalorio","เครื่องประดับ","飾品",""
49,"HeistObjective","Heist Target","Objectif de Casse","Auftragsziel","ハイストターゲット","강탈 대상","Alvo Heist","Предмет кражи","Objetivo de Heist","เป้าหมายโจรกรรม","劫盜目標",""
50,"ExpeditionLogbook","Expedition Logbook","Journal de bord d'Expédition","Expeditions-Logbuch","エクスペディションログブック","탐험 일지","Diário de Bordo Expedition","Журнал экспедиции","Registro de expedición","สมุดปูมเดินทางกองสำรวจ","探險日誌",""
51,"InstanceLocalItem","Instance Local Item","Objet local d'instance","Instanzgebundener lokaler Gegenstand","インスタンスローカルアイテム","인스턴스 특정 아이템","Item Local da Instância","Местный предмет области","Objeto local de instancia","ไอเทมประจำอินสแตนซ์","地區物品",""
52,"SentinelDrone","Sentinel Drone","Drone Sentinelle","Wächterdrohne","センチネルドローン","파수꾼 드론","Drone Sentinela","Часовой Дозора","Dron de centinela","หุ่นอารักษ์","守望無人機",""
53,"Relic","Relic","Relique","Relikt","レリック","유물","Relíquia","Реликвия","Reliquia","วัตถุตกทอด","聖物",""
54,"MemoryLine","Memory","Souvenir","Erinnerung","記憶","기억","Memória","Воспоминание","Recuerdo","ความทรงจำ","記憶",""
55,"Breachstone","Breachstone","Pierre de Brèche","Riss-Stein","ブリーチストーン","균열석","Pedra de Fenda","Камень Разлома","Piedra de fisura","ศิลาบรีช","裂痕石",""
56,"VaultKey","Vault Key","Clé de la Salle des coffres","Reliquienkammer-Schlüssel","金庫の鍵","금고실 열쇠","Chave do Cofre","Ключ от хранилища","Llave de la cámara","กุญแจคลังวัตถุโบราณ","寶庫鑰匙",""
57,"Spear","[Spear]","[Spear|Lance]","[Spear|Speer]","[Spear|槍]","[Spear|창]","[Spear|Lança]","[Spear|Копьё]","[Spear|Lanza]","[Spear|หอก]","[Spear|長鋒]",""
58,"Crossbow","[Crossbow]","[Crossbow|Arbalète]","[Crossbow|Armbrust]","[Crossbow|クロスボウ]","[Crossbow|석궁]","[Crossbow|Besta]","[Crossbow|Самострел]","[Crossbow|Ballesta]","[Crossbow|หน้าไม้]","[Crossbow|十字弓]",""
59,"Focus","[Focus]","[Focus|Focus]","[Focus|Fokus]","[Focus|フォーカス]","[Focus|집중구]","[Focus|Foco]","[Focus|Фокус]","[Focus|Foco]","[Focus|โฟกัส]","[Focus|法器]",""
60,"Flail","[Flail]","[Flail|Fléau d'armes]","[Flail|Flegel]","[Flail|フレイル]","[Flail|도리깨]","[Flail|Maça]","[Flail|Кистень]","[Flail|Mangual]","[Flail|ลูกตุ้ม]","[Flail|鏈錘]",""
61,"Sceptre","[Sceptre]","[Sceptre|Sceptre]","[Sceptre|Zepter]","[Sceptre|セプター]","[Sceptre|셉터]","[Sceptre|Cetro]","[Sceptre|Скипетр]","[Sceptre|Cetro]","[Sceptre|คทา]","[Sceptre|權杖]",""
62,"Buckler","[Buckler]","[Buckler|Bocle]","[Buckler|Faustschild]","[Buckler|バックラー]","[Buckler|버클러]","[Buckler|Broquel]","[Buckler|Баклер]","[Buckler|Broquel]","[Buckler|บัคเลอร์]","[Buckler|輕盾]",""
63,"TrapTool","[Trap]","[Trap|Piège]","[Trap|Falle]","[Trap|トラップ]","[Trap|덫]","[Trap|Armadilha]","[Trap|Ловушка]","[Trap|Trampa]","[Trap|กับดัก]","[Trap|陷阱]",""
64,"MetaSkillGem","","","","","","","","","","",""
65,"UncutSkillGem","","","","","","","","","","",""
66,"Unarmed","[Unarmed]","[Unarmed|Mains nues]","[Unarmed|Unbewaffnet]","[Unarmed|素手状態]","[Unarmed|비무장]","[Unarmed|Desarmado]","[Unarmed|Без оружия]","[Unarmed|Desarmado]","[Unarmed|มือเปล่า]","[Unarmed|空手]",""
67,"SoulCore","Soul Core","Noyau d'âme","Seelenkern","ソウルコア","영혼 핵","Núcleo D'alma","Ядро душ","Núcleo de alma","แกนวิญญาณ","靈魂核心",""
68,"TowerAugment","Tablet","Tablette","Tafel","石板","서판","Tábua","Плитка","Tablilla","แผ่นหิน","面板",""
69,"Charm","Charm","Charme","Phiole","チャーム","호신부","Patuá","Оберег","Vial","ของขลัง","護符",""
70,"Omen","Omen","Présage","Omen","お告げ","징조","Presságio","Предзнаменование","Augurio","ลางบอกเหตุ","預兆",""
71,"PinnacleKey","Pinnacle Key","Clé de la Finalité","Über-Schlüssel","ピナクルキー","최종 열쇠","Chave Suprema","Верховный ключ","Llave de jefe final","กุญแจอภิมหาบอส","巔峰鑰匙",""
