"rownum","Id","BaseItemType","i32_24","i32_28","Icon_DDSFile","Name","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","Description","Description (French)","Description (German)","Description (Japanese)","Description (Korean)","Description (Portuguese)","Description (Russian)","Description (Spanish)","Description (Thai)","Description (Traditional Chinese)","bool_56","i32_57","GlowIcon_DDSFile","SoundEffect","CanTakeCurrency"
10,"JewelleryQualityHigh",68,2,4,"Art/Textures/Interface/2D/2DArt/UIImages/InGame/Incursion2/Benches/IncursionBenchQualityWeapon3.dds","Masterwork Forge","Forge magistrale","Meisterwerksschmiede","傑作鍛冶装置","걸작 제련소","Forja Obra-prima","Кузница мастера","Forja de obras maestras","เตาหลอมชิ้นเอก","傑作熔爐","Improves the [Quality|quality] of a ring or amulet,\nexceeding maximum quality by up to 10% with a chance of [Corrupted|Corrupting] it","Improves the [Quality|quality] of a ring or amulet,\nexceeding maximum quality by up to 10% with a chance of [Corrupted|Corrupting] it","Verbessert die [Quality|Qualität] eines Rings oder Amuletts,\nauf bis zu 10% über der maximalen Qualität mit einer Chance, den Gegenstand zu [Corrupted|verderben].","指輪またはアミュレットの[Quality|品質]を向上させる\n品質の最大値を最大で10%超過させることができるが、一定確率でアイテムを[Corrupted|コラプト化]する。","반지 또는 목걸이의 [Quality|퀄리티]를 향상시킵니다. 최대 퀄리티를 최대 10% 초과하고\n일정 확률로 아이템이 [Corrupted|타락]합니다.","Aprimora a [Quality|qualidade] de um amuleto ou anel,\nexcedendo a qualidade máxima em até 10%, podendo [Corrupted|corromper] o item","Improves the [Quality|quality] of a ring or amulet,\nexceeding maximum quality by up to 10% with a chance of [Corrupted|Corrupting] it","Mejora la [Quality|calidad] de un anillo o un amuleto\ny puede superar la calidad máxima hasta en un 10% con una probabilidad de [Corrupted|corromperlo]","เพิ่ม[Quality|ค่าคุณภาพ]ของ แหวนหรือสร้อย\nให้มีค่าคุณภาพสูงกว่าค่าสูงสุดได้สูงสุด 10% โดยมีโอกาส[Corrupted|ใส่มลทิน]ให้กับมัน","將一件戒指或項鍊的 [Quality|品質] 提升至超過上限 10%，但有機率將其 [Corrupted|汙染]",1,1,"Art/Textures/Interface/2D/2DArt/UIImages/InGame/Incursion2/Benches/IncursionBenchGlow2x4.dds",1222,1
11,"Weapon or Armour Quality High Multiple",65,2,4,"Art/Textures/Interface/2D/2DArt/UIImages/InGame/Incursion2/Benches/IncursionBenchQualityWeapon4.dds","Triumphant Forge","Forge triomphante","Triumphale Schmiede","栄光の鍛冶装置","승리의 제련소","Forja Triunfante","Триумфальная кузня","Forja triunfante","เตาหลอมฉลองชัย","凱旋熔爐","Improves the [Quality|quality] of a [MartialWeapon|Martial Weapon], [CasterWeapon|Caster Weapon] or [EquipArmour|Armour] above 20% with a chance of [Corrupted|Corrupting] it","Améliore la [Quality|Qualité] d'une [MartialWeapon|Arme martiale], d'une [CasterWeapon|Arme de Lanceur de sorts] ou d'une [EquipArmour|Pièce d'armure] au-delà de 20%, avec une chance de [Corrupted|Corrompre] l'objet","Verbessert die [Quality|Qualität] einer [MartialWeapon|Kampfwaffe], [CasterWeapon|Zaubererwaffe] oder [EquipArmour|Rüstung] auf über 20% mit einer Chance, den Gegenstand zu [Corrupted|verderben].","[MartialWeapon|マーシャル武器]、[CasterWeapon|キャスター武器]または[EquipArmour|防具]の[Quality|品質]を向上させる\n20%以上の品質をもたせることができるが、一定確率でアイテムを[Corrupted|コラプト化]する。","[MartialWeapon|무도 무기], [CasterWeapon|시전자 무기] 또는 [EquipArmour|방어구]의 [Quality|퀄리티]를 20% 위로 향상시킵니다. 일정 확률로 아이템이 [Corrupted|타락]합니다.","Aprimora a [Quality|qualidade] de uma [MartialWeapon|arma marcial], [CasterWeapon|arma de conjurador] ou [EquipArmour|armadura] para que fique acima de 20%, podendo [Corrupted|corromper] o item","Повышает [Quality|качество] [MartialWeapon|боевого оружия], [CasterWeapon|чародейского оружия] или [EquipArmour|доспехов] выше 20% с шансом [Corrupted|осквернить] предмет","Mejora la [Quality|calidad] de un [MartialWeapon|arma marcial], un [CasterWeapon|arma de lanzador de hechizos] o una [EquipArmour|armadura] por encima del 20% con una probabilidad de [Corrupted|corromper] el objeto","เพิ่ม[Quality|ค่าคุณภาพ]ของ [MartialWeapon|อาวุธจู่โจม], [CasterWeapon|อาวุธนักเวท] หรือ [EquipArmour|เกราะ] ให้มีค่าคุณภาพได้สูงกว่า 20% โดยมีโอกาส[Corrupted|ใส่มลทิน]ให้กับมัน","將一件 [MartialWeapon|軍用武器]、[CasterWeapon|法術武器] 或 [Armour|護甲] 的 [Quality|品質] 提升至 20% 以上，但有機率將其 [Corrupted|汙染]",1,3,"Art/Textures/Interface/2D/2DArt/UIImages/InGame/Incursion2/Benches/IncursionBenchGlow2x4.dds",1222,1
12,"Extract All Socketables",69,2,4,"Art/Textures/Interface/2D/2DArt/UIImages/InGame/Incursion2/Benches/IncursionBenchExtract.dds","Extraction Workbench","Établi d'extraction","Extraktionswerkbank","抽出作業台","추출 작업대","Bancada de Extração","Верстак для извлечения","Mesa de trabajo de extracción","โต๊ะทำงานถอนวัตถุ","萃取工作台","Destroys an [Equipment] item, returning any [Augment|Augments] socketed in it","Détruit un objet d'[Equipment|Équipement] et vous restitue les [Augment|Augmentations] qui y sont enchâssées","Zerstört einen [Equipment|Ausrüstungs]gegenstand und gibt jegliche darin eingefasste [Augment|Augmentationen] zurück.","[Equipment|装備]アイテムを破壊するが、それにソケットされていた[Augment|オーグメント]を回収する。","[Equipment|장비] 아이템을 파괴하고, 홈에 장착된 [Augment|증강물]을 돌려받습니다.","Destrói um item de [Equipment|equipamento], restituindo os [Augment|aprimoramentos] encaixados.","Уничтожает предмет [Equipment|снаряжения], возвращая любые размещённые в нём [Augment|усилители]","Destruye un objeto de [Equipment|equipamiento] y devuelve cualquier [Augment|mejora] que estuviera engarzada en él","ทำลาย[Equipment|ไอเทมสวมใส่] เพื่อรับ[Augment|วัตถุฝัง]ที่อยู่ในรูของไอเทมนี้คืนมา","摧毀一件 [Equipment|裝備]，並取回鑲嵌其中的所有 [Augment|增幅]",1,1,"Art/Textures/Interface/2D/2DArt/UIImages/InGame/Incursion2/Benches/IncursionBenchGlow2x4.dds",1223,1
13,"Gem Quality Low",33,1,1,"Art/Textures/Interface/2D/2DArt/UIImages/InGame/Incursion2/Benches/IncursionBenchQualityGem1.dds","Gemcutting Workbench","Établi de lapidaire","Gemmenschneider-Werkbank","ジェム加工の作業台","젬 가공 작업대","Bancada de Lapidação de Gemas","Верстак камнереза","Mesa de trabajo de tallado de gemas","โต๊ะทำงานเจียระไนมณี","寶石切割工作台","Sets a Skill Gem to have 3 Support Gem Sockets","Fixe le nombre de Châsses de Gemme de soutien d'une Gemme d'aptitude à 3","Verändert eine Fertigkeitengemme, sodass sie über 3 Fertigkeitengemmen-Fassungen verfügt.","スキルジェムを3個のサポートジェムソケットを持つようにする。","스킬 젬의 보조 젬 홈을 3개로 만듭니다.","Define uma gema de habilidade para ter três encaixes de gema de reforço","Делает число гнёзд в камне умений равным 3","Hace que una gema de habilidad tenga 3 engarces para gemas de asistencia","ทำให้หินสกิลมี รูหินเสริม 3 รู","將一顆技能寶石設定為擁有 3 個輔助寶石插槽",1,1,"Art/Textures/Interface/2D/2DArt/UIImages/InGame/Incursion2/Benches/IncursionBenchGlow1x1.dds",1223,1
14,"Gem Quality Mid",72,1,1,"Art/Textures/Interface/2D/2DArt/UIImages/InGame/Incursion2/Benches/IncursionBenchQualityGem2.dds","Gemcutting Mechanism","Mécanisme de lapidaire","Gemmenschneider-Mechanismus","ジェム加工の装置","젬 가공 기계 장치","Mecanismo de Lapidação de Gemas","Механизм камнереза","Mecanismo de tallado de gemas","กลไกเจียระไนมณี","寶石切割機關","Greatly improves the [Quality|quality] of a Skill Gem","Améliore grandement la [Quality|Qualité] d'une Gemme d'aptitude","Verbessert die [Quality|Qualität] einer Fertigkeitengemme erheblich.","スキルジェムの[Quality|品質]を大幅に上げる。","스킬 젬의 [Quality|퀄리티] 크게 향상","Aprimora significativamente a [Quality|qualidade] de uma gema de habilidade","Значительно повышает [Quality|качество] камня умения","Mejora enormemente la [Quality|calidad] de una gema de habilidad","เพิ่ม[Quality|ค่าคุณภาพ]ของ หินสกิล เป็นอย่างยิ่ง","大幅提升一顆技能寶石的 [Quality|品質]",1,1,"Art/Textures/Interface/2D/2DArt/UIImages/InGame/Incursion2/Benches/IncursionBenchGlow1x1.dds",1223,1
15,"Act3Corruption",52,2,4,"Art/Textures/Interface/2D/2DArt/UIImages/InGame/Incursion2/Benches/IncursionBenchCampaignCorrupt.dds","Corruption Altar","Autel de Corruption","Altar der Verderbung","コラプトの祭壇","타락의 제단","Altar da Corrupção","Алтарь осквернения","Altar de corrupción","แท่นมลทิน","腐化祭壇","Modifies an item unpredictably and [Corrupted|Corrupts] it","Modifie un objet de manière imprévisible et le [Corrupted|Corrompt]","Modifiziert einen Gegenstand auf unvorhergesehene Weise und [Corrupted|verderbt] diesen.","アイテムを予測不可能に変化させ、[Corrupted|コラプト]状態にする。","아이템을 예측 불가능하게 변경하고 [Corrupted|타락]시킵니다.","Modifica um item de forma imprevisível e o [Corrupted|corrompe]","Изменяет предмет непредсказуемым образом и [Corrupted|оскверняет] его","Modifica un objeto de forma impredecible y lo [Corrupted|corrompe]","เปลี่ยนแปลงไอเทมชิ้นหนึ่งอย่างคาดเดาไม่ได้ แล้วใส่[Corrupted|มลทิน]ให้กับมัน","不可預期地改造一件物品並將其 [Corrupted|汙染]","",1,"Art/Textures/Interface/2D/2DArt/UIImages/InGame/Incursion2/Benches/IncursionBenchGlow2x4.dds",1219,1
16,"NormalCorrupt",52,2,4,"Art/Textures/Interface/2D/2DArt/UIImages/InGame/Incursion2/Benches/IncursionBenchCorrupt.dds","Corruption Altar","Autel de Corruption","Altar der Verderbung","コラプトの祭壇","타락의 제단","Altar da Corrupção","Алтарь осквернения","Altar de corrupción","แท่นมลทิน","腐化祭壇","Modifies an item unpredictably and [Corrupted|Corrupts] it","Modifie un objet de manière imprévisible et le [Corrupted|Corrompt]","Modifiziert einen Gegenstand auf unvorhergesehene Weise und [Corrupted|verderbt] diesen.","アイテムを予測不可能に変化させ、[Corrupted|コラプト]状態にする。","아이템을 예측 불가능하게 변경하고 [Corrupted|타락]시킵니다.","Modifica um item de forma imprevisível e o [Corrupted|corrompe]","Изменяет предмет непредсказуемым образом и [Corrupted|оскверняет] его","Modifica un objeto de forma impredecible y lo [Corrupted|corrompe]","เปลี่ยนแปลงไอเทมชิ้นหนึ่งอย่างคาดเดาไม่ได้ แล้วใส่[Corrupted|มลทิน]ให้กับมัน","不可預期地改造一件物品並將其 [Corrupted|汙染]",1,1,"Art/Textures/Interface/2D/2DArt/UIImages/InGame/Incursion2/Benches/IncursionBenchGlow2x4.dds",1219,1
17,"CampaignCraftExalt",21,2,4,"Art/Textures/Interface/2D/2DArt/UIImages/InGame/Incursion2/Benches/IncursionBenchExalted.dds","Exalted Workbench","Établi exalté","Erhabene Werkbank","高貴な作業台","엑잘티드 작업대","Bancada Exaltada","Возвышенный верстак","Mesa de trabajo exaltada","โต๊ะทำงาน Exalted","崇高工藝台","Augments a [ItemRarity|Rare] [Equipment] item with a new random modifier","Ajoute un nouveau modificateur aléatoire à un objet d'[Equipment|Équipement] [ItemRarity|Rare]","Ergänzt einen [ItemRarity|seltenen] [Equipment|Ausrüstungs]gegenstand durch einen neuen Modifikator.","[ItemRarity|レア]の[Equipment|装備]アイテムにランダムなモッドを1個追加する。","[ItemRarity|희귀] [Equipment|장비] 아이템에 무작위로 새로운 속성을 부여합니다.","Aprimora um item de [Equipment|equipamento] [ItemRarity|raro] com um novo modificador aleatório","Наделяет [ItemRarity|редкий] предмет [Equipment|снаряжения] новым случайным свойством","Mejora un objeto de [Equipment|equipamiento] [ItemRarity|raro] con un nuevo modificador aleatorio","เพิ่มม็อด 1 อย่างแบบสุ่ม ให้กับ [Equipment|ไอเทมสวมใส่][ItemRarity|แรร์]","為一件 [ItemRarity|稀有] [Equipment|裝備] 增加一個新的隨機詞綴","",1,"Art/Textures/Interface/2D/2DArt/UIImages/InGame/Incursion2/Benches/IncursionBenchGlow2x4.dds",1222,""
18,"CampaignCraftRegal",24,2,4,"Art/Textures/Interface/2D/2DArt/UIImages/InGame/Incursion2/Benches/IncursionBenchRegal.dds","Regal Workbench","Établi royal","Hoheitliche Werkbank","王者の作業台","제왕의 작업대","Bancada Real","Царский верстак","Mesa de trabajo regia","โต๊ะทำงาน Regal","富豪工藝台","Upgrades a [ItemRarity|Magic] [Equipment] item to a [ItemRarity|Rare] item, adding 1 modifier","Améliore un objet d'[Equipment|Équipement] [ItemRarity|Magique] en un objet [ItemRarity|Rare], y ajoutant 1 modificateur","Verbessert einen [ItemRarity|magischen] [Equipment|Ausrüstungs]gegenstand zu einem [ItemRarity|seltenen] Gegenstand und fügt 1 Modifikator hinzu.","[ItemRarity|マジック]の[Equipment|装備]アイテムを[ItemRarity|レア]アイテムにアップグレードし、モッドを1個追加する。","[ItemRarity|마법] [Equipment|장비] 아이템을 [ItemRarity|희귀] 아이템으로 업그레이드해 속성을 1개 추가합니다.","Atualiza um item de [Equipment|equipamento] [ItemRarity|mágico] para um item [ItemRarity|raro], adicionando um modificador","Улучшает [ItemRarity|волшебный] предмет [Equipment|снаряжения] до [ItemRarity|редкого], добавляя 1 свойство","Convierte un objeto de [Equipment|equipamiento] [ItemRarity|mágico] en un objeto [ItemRarity|raro] y le agrega 1 modificador","อัพเกรด [Equipment|ไอเทมสวมใส่][ItemRarity|เมจิก] ให้เป็น ไอเทม[ItemRarity|แรร์] และเพิ่มม็อด 1 อย่าง","將一件 [ItemRarity|魔法] [Equipment|裝備] 升級為 [ItemRarity|稀有] 物品，並增加 1 個詞綴","",1,"Art/Textures/Interface/2D/2DArt/UIImages/InGame/Incursion2/Benches/IncursionBenchGlow2x4.dds",1222,""
19,"CampaignCraftAlchemy",14,2,4,"Art/Textures/Interface/2D/2DArt/UIImages/InGame/Incursion2/Benches/IncursionBenchAlchemy.dds","Alchemy Workbench","Établi d'alchimie","Alchemie-Werkbank","錬金術の作業台","연금술 작업대","Bancada Alquímica","Алхимический верстак","Mesa de trabajo de alquimia","โต๊ะทำงาน Alchemy","點金工藝台","Upgrades a [ItemRarity|Normal] or [ItemRarity|Magic] [Equipment] item to a [ItemRarity|Rare] item with 4 random modifiers","Améliore un objet d'[Equipment|Équipement] [ItemRarity|Normal] ou [ItemRarity|Magique] en un objet [ItemRarity|Rare] doté de 4 modificateurs aléatoires","Verbessert einen [ItemRarity|normalen] oder einen [ItemRarity|magischen] [Equipment|Ausrüstungs]gegenstand zu einem [ItemRarity|seltenen] Gegenstand mit 4 zufälligen Modifikatoren.","[ItemRarity|ノーマル]または[ItemRarity|マジック]の[Equipment|装備]アイテムをランダムなモッドを4個持つ[ItemRarity|レア]アイテムにアップグレードする。","[ItemRarity|일반] 또는 [ItemRarity|마법] [Equipment|장비] 아이템을 무작위 속성 4개가 포함된 [ItemRarity|희귀] 아이템으로 업그레이드합니다.","Atualiza um item de [Equipment|equipamento] [ItemRarity|normal] ou [ItemRarity|mágico] para um item [ItemRarity|raro] com quatro modificadores aleatórios","Улучшает [ItemRarity|обычный] или [ItemRarity|волшебный] предмет [Equipment|снаряжения] до [ItemRarity|редкого] с 4 случайными свойствами","Convierte un objeto de [Equipment|equipamiento]  [ItemRarity|normal] o [ItemRarity|mágico] en un objeto [ItemRarity|raro] con 4 modificadores aleatorios","อัพเกรด [Equipment|ไอเทมสวมใส่][ItemRarity|ธรรมดา]หรือ[ItemRarity|เมจิก] ให้เป็น ไอเทม[ItemRarity|แรร์] ที่มีม็อดแบบสุ่ม 4 อย่าง","將一件 [ItemRarity|普通] 或 [ItemRarity|魔法] [Equipment|裝備] 升級為擁有 4 個隨機詞綴的 [ItemRarity|稀有] 物品","",1,"Art/Textures/Interface/2D/2DArt/UIImages/InGame/Incursion2/Benches/IncursionBenchGlow2x4.dds",1222,""
20,"CampaignCraftExaltPast",21,2,4,"Art/Textures/Interface/2D/2DArt/UIImages/InGame/Incursion2/Benches/IncursionBenchExalted.dds","Pristine Exalted Workbench","Établi exalté immaculé","Makellose Erhabene Werkbank","清浄なる高貴な作業台","온전한 엑잘티드 작업대","Bancada Exaltada Impecável","Чистый возвышенный верстак","Mesa de trabajo exaltada prístina","โต๊ะทำงาน Exalted ไร้ตำหนิ","原始崇高工藝台","Augments a [ItemRarity|Rare] item with a new random modifier","Ajoute un nouveau modificateur aléatoire à un objet [ItemRarity|Rare]","Ergänzt einen [ItemRarity|seltenen] [Equipment|Ausrüstungs]gegenstand durch einen neuen Modifikator.","[ItemRarity|レア]のアイテムにランダムなモッドを1個追加する。","[ItemRarity|희귀] 아이템에 무작위로 새로운 속성을 부여합니다.","Aprimora um item [ItemRarity|raro] com um novo modificador aleatório","Наделяет [ItemRarity|редкий] предмет новым случайным свойством","Mejora un objeto [ItemRarity|raro] con un nuevo modificador aleatorio","เพิ่มม็อด 1 อย่างแบบสุ่ม ให้กับ ไอเทม[ItemRarity|แรร์]","為一件[ItemRarity|稀有]物品增加 1 個新隨機詞綴",1,1,"Art/Textures/Interface/2D/2DArt/UIImages/InGame/Incursion2/Benches/IncursionBenchGlow2x4.dds",1222,""
21,"CampaignCraftRegalPast",24,2,4,"Art/Textures/Interface/2D/2DArt/UIImages/InGame/Incursion2/Benches/IncursionBenchRegal.dds","Pristine Regal Workbench","Établi royal immaculé","Makellose Hoheitliche Werkbank","清浄なる王者の作業台","온전한 제왕의 작업대","Bancada Real Impecável","Чистый царский верстак","Mesa de trabajo regia prístina","โต๊ะทำงาน Regal ไร้ตำหนิ","原始富豪工藝台","Upgrades a [ItemRarity|Magic] item to a [ItemRarity|Rare] item, adding 1 modifier","Améliore un objet [ItemRarity|Magique] en un objet [ItemRarity|Rare], y ajoutant 1 modificateur","Verbessert einen [ItemRarity|magischen] Gegenstand zu einem [ItemRarity|seltenen] Gegenstand und fügt 1 Modifikator hinzu.","[ItemRarity|マジック]のアイテムを[ItemRarity|レア]アイテムにアップグレードし、モッドを1個追加する。","[ItemRarity|마법] 아이템을 [ItemRarity|희귀] 아이템으로 업그레이드해 속성을 1개 추가합니다.","Atualiza um item [ItemRarity|mágico] para um item [ItemRarity|raro], adicionando um modificador","Улучшает [ItemRarity|волшебный] предмет до [ItemRarity|редкого], добавляя 1 свойство","Convierte un objeto [ItemRarity|mágico] en un objeto [ItemRarity|raro] y le agrega 1 modificador","อัพเกรด ไอเทม[ItemRarity|เมจิก] ให้เป็น ไอเทม[ItemRarity|แรร์] และเพิ่มม็อด 1 อย่าง","將一件[ItemRarity|魔法]物品升級為[ItemRarity|稀有]物品，增加 1 個詞綴",1,1,"Art/Textures/Interface/2D/2DArt/UIImages/InGame/Incursion2/Benches/IncursionBenchGlow2x4.dds",1222,""
22,"CampaignCraftAlchemyPast",14,2,4,"Art/Textures/Interface/2D/2DArt/UIImages/InGame/Incursion2/Benches/IncursionBenchAlchemy.dds","Pristine Alchemy Workbench","Établi d'alchimie immaculé","Makellose Alchemie-Werkbank","清浄なる錬金術の作業台","온전한 연금술 작업대","Bancada Alquímica Impecável","Чистый алхимический верстак","Mesa de trabajo de alquimia prístina","โต๊ะทำงาน Alchemy ไร้ตำหนิ","原始點金工藝台","Upgrades a [ItemRarity|Normal] or [ItemRarity|Magic] item to a [ItemRarity|Rare] item with 4 random modifiers","Améliore un objet [ItemRarity|Normal] ou [ItemRarity|Magique] en un objet [ItemRarity|Rare] doté de 4 modificateurs aléatoires","Verbessert einen [ItemRarity|normalen] oder einen [ItemRarity|magischen] Gegenstand zu einem [ItemRarity|seltenen] Gegenstand mit 4 zufälligen Modifikatoren.","[ItemRarity|ノーマル]または[ItemRarity|マジック]のアイテムをランダムなモッドを4個持つ[ItemRarity|レア]アイテムにアップグレードする。","[ItemRarity|일반] 또는 [ItemRarity|마법] 아이템을 무작위 속성 4개가 포함된 [ItemRarity|희귀] 아이템으로 업그레이드합니다.","Atualiza um item [ItemRarity|normal] ou [ItemRarity|mágico] para um item [ItemRarity|raro] com quatro modificadores aleatórios.","Улучшает [ItemRarity|обычный] или [ItemRarity|волшебный] предмет до [ItemRarity|редкого] с 4 случайными свойствами","Convierte un objeto [ItemRarity|normal] o [ItemRarity|mágico] en un objeto [ItemRarity|raro] con 4 modificadores aleatorios","อัพเกรด ไอเทม[ItemRarity|ธรรมดา]หรือ[ItemRarity|เมจิก] ให้เป็น ไอเทม[ItemRarity|แรร์] ที่มีม็อดแบบสุ่ม 4 อย่าง","將一件[ItemRarity|普通]或[ItemRarity|魔法]物品升級為[ItemRarity|稀有]物品，並擁有 4 個隨機詞綴",1,1,"Art/Textures/Interface/2D/2DArt/UIImages/InGame/Incursion2/Benches/IncursionBenchGlow2x4.dds",1222,""
