"rownum","DisplayLevel","Damage","Evasion","Accuracy","Life","Experience","AllyLife","Armour","Difficulty","MinionDamage","AltLife1","AltDamage1","AltDamage2","AltLife2","EvasiveEvasion","AilmentThreshold","StunThreshold","i32_72","i32_76","i32_80","i32_84"
35,"36",76.98,306,325,921,3092,2091,317,1,158.91,612,0,0,16,6898,17,0,2246,-33,50,0
36,"37",80.11,316,340,995,3360,2186,340,1,169.32,632,0,0,16,7054,17,0,2634,-33,50,0
37,"38",83.32,326,356,1074,3646,2285,364,1,180.29,653,0,0,17,7205,17,0,3013,-33,50,0
38,"39",86.63,337,373,1160,3958,2386,391,1,191.86,674,0,0,17,7354,17,0,3384,-33,50,0
39,"40",90.02,347,391,1253,4259,2490,418,1,204.04,695,0,0,18,7497,17,0,3742,-33,50,0
40,"41",93.51,358,409,1353,4586,2598,448,1,216.86,717,0,0,18,7631,17,0,4077,-33,50,0
41,"42",97.1,369,428,1462,4940,2708,479,1,230.37,739,0,0,19,7762,17,0,4405,-33,50,0
42,"43",100.79,380,447,1578,5279,2821,512,1,244.6,761,0,0,19,7887,17,0,4717,-33,50,0
43,"44",104.57,391,468,1705,5652,2938,547,1,259.57,783,0,0,20,8009,17,0,5022,-33,50,0
44,"45",108.46,403,489,1841,6045,3058,585,1,275.32,806,0,0,20,8123,17,0,5307,-33,50,0
45,"46",112.46,414,511,1967,6466,3181,624,2,291.9,829,0,0,21,8181,17,0,5453,-33,50,0
46,"47",116.57,426,533,2101,6909,3307,666,2,309.34,852,0,0,21,8240,17,0,5601,-33,50,0
47,"48",120.78,438,557,2244,7390,3438,711,2,327.69,876,0,0,21,8300,17,0,5749,-33,50,0
48,"49",125.12,449,581,2395,7894,3571,758,2,346.98,899,0,0,22,8357,17,0,5892,-33,50,0
49,"50",129.56,462,606,2556,8439,3709,808,2,367.27,924,0,0,22,8415,17,0,6038,-33,50,0
50,"51",134.13,474,632,2726,9018,3850,861,2,388.59,948,0,0,23,8471,17,0,6178,-33,50,0
51,"52",138.82,486,659,2909,9641,3995,917,2,411.01,973,0,0,23,8526,17,0,6314,-33,50,0
52,"53",143.64,499,688,3102,10300,4144,976,2,434.57,998,0,0,24,8581,17,0,6453,-33,50,0
53,"54",148.58,511,717,3307,10997,4298,1039,2,459.32,1023,0,0,24,8634,17,0,6586,-33,50,0
54,"55",153.66,524,747,3525,11751,4455,1105,2,485.33,1049,0,0,25,8687,17,0,6718,-33,50,0
55,"56",158.87,537,778,3756,12546,4617,1176,2,512.66,1075,0,0,25,8739,17,0,6848,-33,50,0
56,"57",164.21,551,810,4002,13393,4783,1250,2,541.35,1102,0,0,25,8789,17,0,6973,-33,50,0
57,"58",169.7,564,844,4264,14302,4953,1329,2,571.49,1129,0,0,26,8839,17,0,7097,-33,50,0
58,"59",175.34,578,878,4540,15267,5128,1412,2,603.14,1156,0,0,26,8887,17,0,7218,-33,50,0
59,"60",181.12,591,914,4834,16300,5308,1500,2,636.37,1183,0,0,27,8935,17,0,7336,-33,50,0
60,"61",187.05,605,951,5147,17402,5493,1594,2,671.26,1211,0,0,27,8981,17,0,7453,-33,50,0
61,"62",193.14,619,990,5478,18576,5682,1692,2,707.87,1239,0,0,28,9026,17,0,7565,-33,50,0
62,"63",199.38,634,1030,5829,19825,5877,1796,2,746.3,1268,0,0,28,9070,17,0,7674,-33,50,0
63,"64",205.79,648,1071,6203,21161,6077,1906,2,786.63,1296,0,0,29,9112,17,0,7781,-33,50,0
64,"65",212.36,663,1114,6513,21507,6282,2023,2,828.94,1326,0,0,29,9153,17,0,7884,-33,50,0
65,"66",219.11,677,1158,6904,23667,6492,2146,2,873.34,1355,0,0,31,9201,20,7,8003,-33,50,0
66,"67",226.03,692,1204,7318,26020,6708,2276,2,919.91,1385,0,0,33,9247,40,14,8119,-33,50,0
67,"68",233.12,708,1251,7757,28634,6930,2413,3,968.76,1416,0,0,35,9291,60,20,8227,-33,50,0
68,"69",240.4,723,1300,8222,31491,7157,2558,3,1019.99,1446,0,0,37,9333,80,27,8332,-33,50,0
69,"70",247.86,738,1351,8716,34639,7391,2712,3,1073.72,1477,0,0,39,9373,100,34,8432,-33,50,0
70,"71",255.52,754,1403,9239,38100,7630,2874,3,1130.0601,1509,0,0,41,9411,120,40,8528,-33,50,0
71,"72",263.37,770,1457,9793,41931,7876,3044,3,1189.13,1541,0,0,43,9448,140,47,8619,-33,50,0
72,"73",271.42,786,1514,10381,46103,8128,3225,3,1251.0601,1573,0,0,45,9483,160,54,8706,-33,50,0
73,"74",279.68,803,1572,11003,50688,8387,3416,3,1315.98,1606,0,0,47,9516,180,61,8789,-33,50,0
74,"75",288.14,819,1632,11664,55765,8652,3617,3,1384.03,1639,0,0,49,9547,200,67,8867,-33,50,0
75,"76",296.82,836,1694,12363,61373,8924,3829,3,1455.34,1672,0,0,51,9577,220,74,8942,-33,50,0
76,"77",305.72,853,1758,13105,67522,9203,4053,3,1530.08,1706,0,0,53,9605,240,81,9013,-33,50,0
77,"78",314.84,870,1824,13892,74226,9489,4290,3,1608.4,1740,0,0,55,9632,260,87,9080,-33,50,0
78,"79",324.19,887,1893,14725,81664,9783,4540,3,1690.46,1775,0,0,57,9657,280,94,9144,-33,50,0
79,"80",333.78,905,1964,15609,100000,10084,4803,3,1776.4301,1810,0,0,59,9681,300,100,9204,-33,50,0
80,"81",343.6,923,2038,16545,100000,10393,5081,3,1866.5,1846,0,0,59,9705,300,100,9262,-33,50,0
81,"82",353.67,941,2114,17538,100000,10710,5375,3,1960.84,1882,0,0,59,9726,300,100,9316,-33,50,0
82,"83",364,959,2192,18590,100000,11034,5684,3,2059.6599,1918,0,0,59,9747,300,100,9367,-33,50,0
83,"84",374.58,977,2273,19705,100000,11367,6011,3,2163.1599,1955,0,0,59,9766,300,100,9415,-33,50,0
84,"85",385.42,996,2357,20888,100000,11708,6355,3,2271.5601,1992,0,0,59,9784,300,100,9460,-33,50,0
85,"86",396.53,1015,2444,22141,100000,12058,6718,3,2385.0601,2030,0,0,59,9801,300,100,9502,-33,50,0
86,"87",407.92,1034,2534,23469,100000,12417,7101,3,2503.9099,2068,0,0,59,9817,300,100,9542,-33,50,0
87,"88",419.58,1053,2626,24878,100000,12785,7505,3,2628.3601,2107,0,0,59,9831,300,100,9579,-33,50,0
88,"89",431.54,1073,2722,26370,100000,13161,7930,3,2758.6399,2146,0,0,59,9845,300,100,9613,-33,50,0
89,"90",443.79,1093,2821,27953,100000,13548,8379,3,2895.03,2186,0,0,59,9858,300,100,9645,-33,50,0
90,"91",456.34,1113,2923,29630,100000,13944,8852,3,3037.8,2226,0,0,59,9870,300,100,9675,-33,50,0
91,"92",469.2,1133,3029,31407,100000,14350,9351,3,3187.24,2266,0,0,59,9881,300,100,9703,-33,50,0
92,"93",482.38,1154,3138,33292,100000,14766,9877,3,3343.6599,2308,0,0,59,9891,300,100,9729,-33,50,0
93,"94",495.87,1174,3251,35289,100000,15192,10431,3,3507.3501,2349,0,0,59,9901,300,100,9752,-33,50,0
94,"95",509.7,1195,3368,37407,100000,15629,11015,3,3678.6599,2391,0,0,59,9910,300,100,9775,-33,50,0
95,"96",523.86,1217,3488,39651,100000,16076,11630,3,3857.9299,2434,0,0,59,9918,300,100,9795,-33,50,0
96,"97",538.37,1238,3613,42030,100000,16535,12279,3,4045.51,2477,0,0,59,9925,300,100,9814,-33,50,0
97,"98",553.23,1260,3741,44552,100000,17005,12962,3,4241.77,2520,0,0,59,9932,300,100,9831,-33,50,0
98,"99",568.46,1282,3874,47225,100000,17486,13682,3,4447.1099,2564,0,0,59,9939,300,100,9847,-33,50,0
99,"100",584.05,1304,4011,50059,0,17980,14441,3,4661.9302,2609,0,0,59,9945,300,100,9861,-33,50,0
