"rownum","Id","BlightCraftingResult","BlightCraftingItems"
367,"367",367,"[2,2,7]"
368,"368",368,"[2,7,2]"
369,"369",369,"[7,2,2]"
370,"370",370,"[0,3,7]"
371,"371",371,"[0,7,3]"
372,"372",372,"[3,0,7]"
373,"373",373,"[3,7,0]"
374,"374",374,"[7,0,3]"
375,"375",375,"[7,3,0]"
376,"376",376,"[1,3,7]"
377,"377",377,"[1,7,3]"
378,"378",378,"[3,1,7]"
379,"379",379,"[3,7,1]"
380,"380",380,"[7,1,3]"
381,"381",381,"[7,3,1]"
382,"382",382,"[2,3,7]"
383,"383",383,"[2,7,3]"
384,"384",384,"[3,2,7]"
385,"385",385,"[3,7,2]"
386,"386",386,"[7,2,3]"
387,"387",387,"[7,3,2]"
388,"388",388,"[3,3,7]"
389,"389",389,"[3,7,3]"
390,"390",390,"[7,3,3]"
391,"391",391,"[0,4,7]"
392,"392",392,"[0,7,4]"
393,"393",393,"[4,0,7]"
394,"394",394,"[4,7,0]"
395,"395",395,"[7,0,4]"
396,"396",396,"[7,4,0]"
397,"397",397,"[1,4,7]"
398,"398",398,"[1,7,4]"
399,"399",399,"[4,1,7]"
400,"400",400,"[4,7,1]"
401,"401",401,"[7,1,4]"
402,"402",402,"[7,4,1]"
403,"403",403,"[2,4,7]"
404,"404",404,"[2,7,4]"
405,"405",405,"[4,2,7]"
406,"406",406,"[4,7,2]"
407,"407",407,"[7,2,4]"
408,"408",408,"[7,4,2]"
409,"409",409,"[3,4,7]"
410,"410",410,"[3,7,4]"
411,"411",411,"[4,3,7]"
412,"412",412,"[4,7,3]"
413,"413",413,"[7,3,4]"
414,"414",414,"[7,4,3]"
415,"415",415,"[4,4,7]"
416,"416",416,"[4,7,4]"
417,"417",417,"[7,4,4]"
418,"418",418,"[0,5,7]"
419,"419",419,"[0,7,5]"
420,"420",420,"[5,0,7]"
421,"421",421,"[5,7,0]"
422,"422",422,"[7,0,5]"
423,"423",423,"[7,5,0]"
424,"424",424,"[1,5,7]"
425,"425",425,"[1,7,5]"
426,"426",426,"[5,1,7]"
427,"427",427,"[5,7,1]"
428,"428",428,"[7,1,5]"
429,"429",429,"[7,5,1]"
430,"430",430,"[2,5,7]"
431,"431",431,"[2,7,5]"
432,"432",432,"[5,2,7]"
433,"433",433,"[5,7,2]"
434,"434",434,"[7,2,5]"
435,"435",435,"[7,5,2]"
436,"436",436,"[3,5,7]"
437,"437",437,"[3,7,5]"
438,"438",438,"[5,3,7]"
439,"439",439,"[5,7,3]"
440,"440",440,"[7,3,5]"
441,"441",441,"[7,5,3]"
442,"442",442,"[4,5,7]"
443,"443",443,"[4,7,5]"
444,"444",444,"[5,4,7]"
445,"445",445,"[5,7,4]"
446,"446",446,"[7,4,5]"
447,"447",447,"[7,5,4]"
448,"448",448,"[5,5,7]"
449,"449",449,"[5,7,5]"
450,"450",450,"[7,5,5]"
451,"451",451,"[0,6,7]"
452,"452",452,"[0,7,6]"
453,"453",453,"[6,0,7]"
454,"454",454,"[6,7,0]"
455,"455",455,"[7,0,6]"
456,"456",456,"[7,6,0]"
457,"457",457,"[1,6,7]"
458,"458",458,"[1,7,6]"
459,"459",459,"[6,1,7]"
460,"460",460,"[6,7,1]"
461,"461",461,"[7,1,6]"
462,"462",462,"[7,6,1]"
463,"463",463,"[2,6,7]"
464,"464",464,"[2,7,6]"
465,"465",465,"[6,2,7]"
466,"466",466,"[6,7,2]"
467,"467",467,"[7,2,6]"
468,"468",468,"[7,6,2]"
469,"469",469,"[3,6,7]"
470,"470",470,"[3,7,6]"
471,"471",471,"[6,3,7]"
472,"472",472,"[6,7,3]"
473,"473",473,"[7,3,6]"
474,"474",474,"[7,6,3]"
475,"475",475,"[4,6,7]"
476,"476",476,"[4,7,6]"
477,"477",477,"[6,4,7]"
478,"478",478,"[6,7,4]"
479,"479",479,"[7,4,6]"
480,"480",480,"[7,6,4]"
481,"481",481,"[5,6,7]"
482,"482",482,"[5,7,6]"
483,"483",483,"[6,5,7]"
484,"484",484,"[6,7,5]"
485,"485",485,"[7,5,6]"
486,"486",486,"[7,6,5]"
487,"487",487,"[6,6,7]"
488,"488",488,"[6,7,6]"
489,"489",489,"[7,6,6]"
490,"490",490,"[0,7,7]"
491,"491",491,"[7,0,7]"
492,"492",492,"[7,7,0]"
493,"493",493,"[1,7,7]"
494,"494",494,"[7,1,7]"
495,"495",495,"[7,7,1]"
496,"496",496,"[2,7,7]"
497,"497",497,"[7,2,7]"
498,"498",498,"[7,7,2]"
499,"499",499,"[3,7,7]"
500,"500",500,"[7,3,7]"
501,"501",501,"[7,7,3]"
502,"502",502,"[4,7,7]"
503,"503",503,"[7,4,7]"
504,"504",504,"[7,7,4]"
505,"505",505,"[5,7,7]"
506,"506",506,"[7,5,7]"
507,"507",507,"[7,7,5]"
508,"508",508,"[6,7,7]"
509,"509",509,"[7,6,7]"
510,"510",510,"[7,7,6]"
511,"511",511,"[7,7,7]"
512,"512",512,"[0,0,8]"
513,"513",513,"[0,8,0]"
514,"514",514,"[8,0,0]"
515,"515",515,"[0,1,8]"
516,"516",516,"[0,8,1]"
517,"517",517,"[1,0,8]"
518,"518",518,"[1,8,0]"
519,"519",519,"[8,0,1]"
520,"520",520,"[8,1,0]"
521,"521",521,"[1,1,8]"
522,"522",522,"[1,8,1]"
523,"523",523,"[8,1,1]"
524,"524",524,"[0,2,8]"
525,"525",525,"[0,8,2]"
526,"526",526,"[2,0,8]"
527,"527",527,"[2,8,0]"
528,"528",528,"[8,0,2]"
529,"529",529,"[8,2,0]"
530,"530",530,"[1,2,8]"
531,"531",531,"[1,8,2]"
532,"532",532,"[2,1,8]"
533,"533",533,"[2,8,1]"
534,"534",534,"[8,1,2]"
535,"535",535,"[8,2,1]"
536,"536",536,"[2,2,8]"
537,"537",537,"[2,8,2]"
538,"538",538,"[8,2,2]"
539,"539",539,"[0,3,8]"
540,"540",540,"[0,8,3]"
541,"541",541,"[3,0,8]"
542,"542",542,"[3,8,0]"
543,"543",543,"[8,0,3]"
544,"544",544,"[8,3,0]"
545,"545",545,"[1,3,8]"
546,"546",546,"[1,8,3]"
547,"547",547,"[3,1,8]"
548,"548",548,"[3,8,1]"
549,"549",549,"[8,1,3]"
550,"550",550,"[8,3,1]"
551,"551",551,"[2,3,8]"
552,"552",552,"[2,8,3]"
553,"553",553,"[3,2,8]"
554,"554",554,"[3,8,2]"
555,"555",555,"[8,2,3]"
556,"556",556,"[8,3,2]"
557,"557",557,"[3,3,8]"
558,"558",558,"[3,8,3]"
559,"559",559,"[8,3,3]"
560,"560",560,"[0,4,8]"
561,"561",561,"[0,8,4]"
562,"562",562,"[4,0,8]"
563,"563",563,"[4,8,0]"
564,"564",564,"[8,0,4]"
565,"565",565,"[8,4,0]"
566,"566",566,"[1,4,8]"
567,"567",567,"[1,8,4]"
568,"568",568,"[4,1,8]"
569,"569",569,"[4,8,1]"
570,"570",570,"[8,1,4]"
571,"571",571,"[8,4,1]"
572,"572",572,"[2,4,8]"
573,"573",573,"[2,8,4]"
574,"574",574,"[4,2,8]"
575,"575",575,"[4,8,2]"
576,"576",576,"[8,2,4]"
577,"577",577,"[8,4,2]"
578,"578",578,"[3,4,8]"
579,"579",579,"[3,8,4]"
580,"580",580,"[4,3,8]"
581,"581",581,"[4,8,3]"
582,"582",582,"[8,3,4]"
583,"583",583,"[8,4,3]"
584,"584",584,"[4,4,8]"
585,"585",585,"[4,8,4]"
586,"586",586,"[8,4,4]"
587,"587",587,"[0,5,8]"
588,"588",588,"[0,8,5]"
589,"589",589,"[5,0,8]"
590,"590",590,"[5,8,0]"
591,"591",591,"[8,0,5]"
592,"592",592,"[8,5,0]"
593,"593",593,"[1,5,8]"
594,"594",594,"[1,8,5]"
595,"595",595,"[5,1,8]"
596,"596",596,"[5,8,1]"
597,"597",597,"[8,1,5]"
598,"598",598,"[8,5,1]"
599,"599",599,"[2,5,8]"
600,"600",600,"[2,8,5]"
601,"601",601,"[5,2,8]"
602,"602",602,"[5,8,2]"
603,"603",603,"[8,2,5]"
604,"604",604,"[8,5,2]"
605,"605",605,"[3,5,8]"
606,"606",606,"[3,8,5]"
607,"607",607,"[5,3,8]"
608,"608",608,"[5,8,3]"
609,"609",609,"[8,3,5]"
610,"610",610,"[8,5,3]"
611,"611",611,"[4,5,8]"
612,"612",612,"[4,8,5]"
613,"613",613,"[5,4,8]"
614,"614",614,"[5,8,4]"
615,"615",615,"[8,4,5]"
616,"616",616,"[8,5,4]"
617,"617",617,"[5,5,8]"
618,"618",618,"[5,8,5]"
619,"619",619,"[8,5,5]"
620,"620",620,"[0,6,8]"
621,"621",621,"[0,8,6]"
622,"622",622,"[6,0,8]"
623,"623",623,"[6,8,0]"
624,"624",624,"[8,0,6]"
625,"625",625,"[8,6,0]"
626,"626",626,"[1,6,8]"
627,"627",627,"[1,8,6]"
628,"628",628,"[6,1,8]"
629,"629",629,"[6,8,1]"
630,"630",630,"[8,1,6]"
631,"631",631,"[8,6,1]"
632,"632",632,"[2,6,8]"
633,"633",633,"[2,8,6]"
634,"634",634,"[6,2,8]"
635,"635",635,"[6,8,2]"
636,"636",636,"[8,2,6]"
637,"637",637,"[8,6,2]"
638,"638",638,"[3,6,8]"
639,"639",639,"[3,8,6]"
640,"640",640,"[6,3,8]"
641,"641",641,"[6,8,3]"
642,"642",642,"[8,3,6]"
643,"643",643,"[8,6,3]"
644,"644",644,"[4,6,8]"
645,"645",645,"[4,8,6]"
646,"646",646,"[6,4,8]"
647,"647",647,"[6,8,4]"
648,"648",648,"[8,4,6]"
649,"649",649,"[8,6,4]"
650,"650",650,"[5,6,8]"
651,"651",651,"[5,8,6]"
652,"652",652,"[6,5,8]"
653,"653",653,"[6,8,5]"
654,"654",654,"[8,5,6]"
655,"655",655,"[8,6,5]"
656,"656",656,"[6,6,8]"
657,"657",657,"[6,8,6]"
658,"658",658,"[8,6,6]"
659,"659",659,"[0,7,8]"
660,"660",660,"[0,8,7]"
661,"661",661,"[7,0,8]"
662,"662",662,"[7,8,0]"
663,"663",663,"[8,0,7]"
664,"664",664,"[8,7,0]"
665,"665",665,"[1,7,8]"
666,"666",666,"[1,8,7]"
667,"667",667,"[7,1,8]"
668,"668",668,"[7,8,1]"
669,"669",669,"[8,1,7]"
670,"670",670,"[8,7,1]"
671,"671",671,"[2,7,8]"
672,"672",672,"[2,8,7]"
673,"673",673,"[7,2,8]"
674,"674",674,"[7,8,2]"
675,"675",675,"[8,2,7]"
676,"676",676,"[8,7,2]"
677,"677",677,"[3,7,8]"
678,"678",678,"[3,8,7]"
679,"679",679,"[7,3,8]"
680,"680",680,"[7,8,3]"
681,"681",681,"[8,3,7]"
682,"682",682,"[8,7,3]"
683,"683",683,"[4,7,8]"
684,"684",684,"[4,8,7]"
685,"685",685,"[7,4,8]"
686,"686",686,"[7,8,4]"
687,"687",687,"[8,4,7]"
688,"688",688,"[8,7,4]"
689,"689",689,"[5,7,8]"
690,"690",690,"[5,8,7]"
691,"691",691,"[7,5,8]"
692,"692",692,"[7,8,5]"
693,"693",693,"[8,5,7]"
694,"694",694,"[8,7,5]"
695,"695",695,"[6,7,8]"
696,"696",696,"[6,8,7]"
697,"697",697,"[7,6,8]"
698,"698",698,"[7,8,6]"
699,"699",699,"[8,6,7]"
700,"700",700,"[8,7,6]"
701,"701",701,"[7,7,8]"
702,"702",702,"[7,8,7]"
703,"703",703,"[8,7,7]"
704,"704",704,"[0,8,8]"
705,"705",705,"[8,0,8]"
706,"706",706,"[8,8,0]"
707,"707",707,"[1,8,8]"
708,"708",708,"[8,1,8]"
709,"709",709,"[8,8,1]"
710,"710",710,"[2,8,8]"
711,"711",711,"[8,2,8]"
712,"712",712,"[8,8,2]"
713,"713",713,"[3,8,8]"
714,"714",714,"[8,3,8]"
715,"715",715,"[8,8,3]"
716,"716",716,"[4,8,8]"
717,"717",717,"[8,4,8]"
718,"718",718,"[8,8,4]"
719,"719",719,"[5,8,8]"
720,"720",720,"[8,5,8]"
721,"721",721,"[8,8,5]"
722,"722",722,"[6,8,8]"
723,"723",723,"[8,6,8]"
724,"724",724,"[8,8,6]"
725,"725",725,"[7,8,8]"
726,"726",726,"[8,7,8]"
727,"727",727,"[8,8,7]"
728,"728",728,"[8,8,8]"
729,"729",729,"[0,0,9]"
730,"730",730,"[0,9,0]"
731,"731",731,"[9,0,0]"
732,"732",732,"[0,1,9]"
733,"733",733,"[0,9,1]"
734,"734",734,"[1,0,9]"
735,"735",735,"[1,9,0]"
736,"736",736,"[9,0,1]"
737,"737",737,"[9,1,0]"
738,"738",738,"[1,1,9]"
739,"739",739,"[1,9,1]"
740,"740",740,"[9,1,1]"
741,"741",741,"[0,2,9]"
742,"742",742,"[0,9,2]"
743,"743",743,"[2,0,9]"
744,"744",744,"[2,9,0]"
745,"745",745,"[9,0,2]"
746,"746",746,"[9,2,0]"
747,"747",747,"[1,2,9]"
748,"748",748,"[1,9,2]"
749,"749",749,"[2,1,9]"
750,"750",750,"[2,9,1]"
751,"751",751,"[9,1,2]"
752,"752",752,"[9,2,1]"
753,"753",753,"[2,2,9]"
754,"754",754,"[2,9,2]"
755,"755",755,"[9,2,2]"
756,"756",756,"[0,3,9]"
757,"757",757,"[0,9,3]"
758,"758",758,"[3,0,9]"
759,"759",759,"[3,9,0]"
760,"760",760,"[9,0,3]"
761,"761",761,"[9,3,0]"
762,"762",762,"[1,3,9]"
763,"763",763,"[1,9,3]"
764,"764",764,"[3,1,9]"
765,"765",765,"[3,9,1]"
766,"766",766,"[9,1,3]"
767,"767",767,"[9,3,1]"
768,"768",768,"[2,3,9]"
769,"769",769,"[2,9,3]"
770,"770",770,"[3,2,9]"
771,"771",771,"[3,9,2]"
772,"772",772,"[9,2,3]"
773,"773",773,"[9,3,2]"
774,"774",774,"[3,3,9]"
775,"775",775,"[3,9,3]"
776,"776",776,"[9,3,3]"
777,"777",777,"[0,4,9]"
778,"778",778,"[0,9,4]"
779,"779",779,"[4,0,9]"
780,"780",780,"[4,9,0]"
781,"781",781,"[9,0,4]"
782,"782",782,"[9,4,0]"
783,"783",783,"[1,4,9]"
784,"784",784,"[1,9,4]"
785,"785",785,"[4,1,9]"
786,"786",786,"[4,9,1]"
787,"787",787,"[9,1,4]"
788,"788",788,"[9,4,1]"
789,"789",789,"[2,4,9]"
790,"790",790,"[2,9,4]"
791,"791",791,"[4,2,9]"
792,"792",792,"[4,9,2]"
793,"793",793,"[9,2,4]"
794,"794",794,"[9,4,2]"
795,"795",795,"[3,4,9]"
796,"796",796,"[3,9,4]"
797,"797",797,"[4,3,9]"
798,"798",798,"[4,9,3]"
799,"799",799,"[9,3,4]"
800,"800",800,"[9,4,3]"
801,"801",801,"[4,4,9]"
802,"802",802,"[4,9,4]"
803,"803",803,"[9,4,4]"
804,"804",804,"[0,5,9]"
805,"805",805,"[0,9,5]"
806,"806",806,"[5,0,9]"
807,"807",807,"[5,9,0]"
808,"808",808,"[9,0,5]"
809,"809",809,"[9,5,0]"
810,"810",810,"[1,5,9]"
811,"811",811,"[1,9,5]"
812,"812",812,"[5,1,9]"
813,"813",813,"[5,9,1]"
814,"814",814,"[9,1,5]"
815,"815",815,"[9,5,1]"
816,"816",816,"[2,5,9]"
817,"817",817,"[2,9,5]"
818,"818",818,"[5,2,9]"
819,"819",819,"[5,9,2]"
