"rownum","rid_0","i32_16","string_20","string_28","string_28 (French)","string_28 (German)","string_28 (Japanese)","string_28 (Korean)","string_28 (Portuguese)","string_28 (Russian)","string_28 (Spanish)","string_28 (Thai)","string_28 (Traditional Chinese)","string_36","string_36 (French)","string_36 (German)","string_36 (Japanese)","string_36 (Korean)","string_36 (Portuguese)","string_36 (Russian)","string_36 (Spanish)","string_36 (Thai)","string_36 (Traditional Chinese)","string_44","rid_52","[i32]_68"
10,6,1,"smithy_lvl1","Contains a bench to improve equipment quality\r\nTier 3 allows further improvement of equipment quality above 20%","Contient un établi permettant d'améliorer la qualité des objets d'équipement\r\nLe Palier 3 permet d'améliorer la qualité des objets d'équipement au-delà de 20%","Enthält eine Werkbank, die die Qualität von Ausrüstung verbessert\r\nLevel 3 kann die Qualität von Ausrüstung auf über 20% erhöhen","装備品の品質を向上させるベンチが出現する\r\nティア3では装備品の品質を20%を超えて向上させることが可能になる","장비 퀄리티를 올려 주는 작업대 포함\r\n3등급일 때 장비 퀄리티를 20% 위로 추가로 올릴 수 있음","Contém uma bancada para melhorar a qualidade do equipamento\r\n O nível 3 permite uma melhoria adicional acima de 20% na qualidade do equipamento","Содержит верстак, повышающий качество снаряжения\r\nУр. 3 позволяет повышать качество снаряжения выше 20%","Contiene una mesa que mejora la calidad del equipamiento\r\nEl nivel 3 permite mejorar la calidad del equipamiento por encima del 20%","มีโต๊ะเพิ่มค่าคุณภาพให้กับไอเทมสวมใส่\r\nห้องระดับ 3 เปิดโอกาสให้เพิ่มค่าคุณภาพของไอเทมสวมใส่ให้สูงกว่า 20% ได้","包含一個提升裝備品質的工藝台，\r\n階級 3 允許將裝備品質進一步提升至 20% 以上","Bronzeworks","Atelier de bronze","Bronzewerk","青銅工房","청동세공실","Fundição de Bronze","Бронзовая литейная","Obras de bronce","ห้องงานทองแดง","青銅工坊","Art/Textures/Interface/2D/2DArt/UIImages/InGame/Incursion2/RoomIcons/IconSmithy.dds",14404,[8]
11,6,2,"smithy_lvl2","Contains a bench to add an augment socket to equipment\r\nTier 3 allows improvement of equipment quality above 20%","Contient un étabi permettant d'ajouter une châsse d'augmentation à un objet d'équipement\r\nLe Palier 3 permet d'améliorer la qualité des objets d'équipement au-delà de 20%","Enthält eine Werkbank, die Ausrüstung eine Augmentations-Fassung hinzufügt\r\nLevel 3 kann die Qualität von Ausrüstung auf über 20% erhöhen","装備品にオーグメントソケットを1個追加するベンチが出現する\r\nティア3では装備品の品質を20%を超えて向上させることが可能になる","장비에 증강물 홈을 올려 주는 작업대 포함\r\n3등급일 때 장비 퀄리티를 20% 위로 올릴 수 있음","Contém uma bancada para adicionar um encaixe de aprimoramento no equipamento\r\n O nível 3 permite melhorar a qualidade do equipamento acima de 20%","Содержит верстак, добавляющий гнёздо для усилителей\r\nУр. 3 позволяет повышать качество снаряжения выше 20%","Contiene una mesa que agrega un engarce de mejora al equipamiento\r\nEl nivel 3 permite mejorar la calidad del equipamiento por encima del 20%","มีโต๊ะใส่รูวัตถุติดตั้งให้กับไอเทมสวมใส่\r\nห้องระดับ 3 เปิดโอกาสให้เพิ่มค่าคุณภาพของไอเทมสวมใส่ให้สูงกว่า 20% ได้","包含一個為裝備增加增幅插槽的工藝台，\r\n階級 3 允許將裝備品質提升至 20% 以上","Chamber of Iron","Chambre du fer","Eisenkammer","鉄の間","방어구의 방","Câmara de Ferro","Железный зал","Cámara de hierro","ห้องเหล็กกล้า","鋼鍛之室","Art/Textures/Interface/2D/2DArt/UIImages/InGame/Incursion2/RoomIcons/IconSmithy.dds",14404,[15]
12,6,3,"smithy_lvl3","Contains a bench to improve Equipment Quality above 20%","Contient un établi permettant d'améliorer la Qualité d'un objet d'Équipement au-delà de 20%","Enthält eine Werkbank, die die Qualität von Ausrüstung auf über 20% erhöht","装備品の品質を20%を超えて向上させることが可能になるベンチが出現する","장비 퀄리티를 20% 위로 올려 주는 작업대 포함","Contém uma bancada para melhorar a qualidade do equipamento acima de 20%","Содержит верстак, повышающий качество снаряжения выше 20%","Contiene una mesa que mejora la calidad del equipamiento por encima del 20%","มีโต๊ะเพิ่มค่าคุณภาพของไอเทมสวมใส่ให้สูงกว่า 20%","包含一個將裝備品質提升至 20% 以上的工藝台","Golden Forge","Forge dorée","Goldene Schmiede","黄金工房","황금 대장간","Forja de Ouro","Золотая кузня","Forja de oro","โรงหลอมทองคำ","黃金熔爐","Art/Textures/Interface/2D/2DArt/UIImages/InGame/Incursion2/RoomIcons/IconSmithy.dds",14404,[30]
13,7,1,"generator_lvl1","Provides power to nearby rooms, increasing in range every tier\r\nMay contain a bench allowing modification of equipment","Fournit de l'énergie aux salles proches, chaque palier augmente la portée\r\nPeut contenir un établi permettant la modification d'objet d'équipement","Versorgt Räume im Umkreis mit Energie; Reichweite steigt mit Level\r\nKann eine Werkbank enthalten, die das Modifizieren von Ausrüstung ermöglicht","近くの部屋に電力を供給し、ティアが上がるごとに範囲が増加する\r\n装備品を変更できるベンチが出現することがある","주변의 방에 동력을 공급하며, 등급이 높아지면 범위가 증가함\r\n장비에 속성을 부여하는 작업대를 포함할 수 있음","Fornece energia às salas próximas, aumentando em alcance por nível\r\n Pode conter uma bancada que permita a modificação do equipamento","Обеспечивает соседние залы энергией, радиус растёт с уровнем\r\nМожет содержать верстак, позволяющий изменять снаряжение","Proporciona energía a las salas cercanas, y aumenta su alcance con cada nivel\r\nPuede contener una mesa que permite modificar el equipamiento","ให้พลังงานกับห้องที่อยู่ใกล้ มีระยะเพิ่มขึ้นตามระดับของห้อง\r\nอาจมีโต๊ะเปลี่ยนแปลงไอเทมสวมใส่","提供電力給附近的房間，範圍隨階級提升\r\n可能包含一個允許改造裝備的工藝台","Dynamo","Dynamo","Dynamo","ダイナモ","발전기","Dínamo","Динамо-машина","Dinamo","ไดนาโม","發電機房","Art/Textures/Interface/2D/2DArt/UIImages/InGame/Incursion2/RoomIcons/IconGenerator.dds",14410,[8]
14,7,2,"generator_lvl2","Provides power to nearby rooms, increasing in range every tier\r\nMay contain a bench allowing modification of equipment","Fournit de l'énergie aux salles proches, chaque palier augmente la portée\r\nPeut contenir un établi permettant la modification d'objet d'équipement","Versorgt Räume im Umkreis mit Energie; Reichweite steigt mit Level\r\nKann eine Werkbank enthalten, die das Modifizieren von Ausrüstung ermöglicht","近くの部屋に電力を供給し、ティアが上がるごとに範囲が増加する\r\n装備品を変更できるベンチが出現することがある","주변의 방에 동력을 공급하며, 등급이 높아지면 범위가 증가함\r\n장비에 속성을 부여하는 작업대를 포함할 수 있음","Fornece energia às salas próximas, aumentando em alcance por nível\r\n Pode conter uma bancada que permita a modificação do equipamento","Обеспечивает соседние залы энергией, радиус растёт с уровнем\r\nМожет содержать верстак, позволяющий изменять снаряжение","Proporciona energía a las salas cercanas, y aumenta su alcance con cada nivel\r\nPuede contener una mesa que permite modificar el equipamiento","ให้พลังงานกับห้องที่อยู่ใกล้ มีระยะเพิ่มขึ้นตามระดับของห้อง\r\nอาจมีโต๊ะเปลี่ยนแปลงไอเทมสวมใส่","提供電力給附近的房間，範圍隨階級提升\r\n可能包含一個允許改造裝備的工藝台","Shrine of Empowerment","Sanctuaire du pouvoir","Schrein der Ermächtigung","強化の祭壇","강화의 성소","Altar de Fortalecimento","Алтарь усиления","Santuario de potenciación","แท่นบูชา​แห่ง​การ​เพิ่มพลัง","恩賜神殿","Art/Textures/Interface/2D/2DArt/UIImages/InGame/Incursion2/RoomIcons/IconGenerator.dds",14410,[15]
15,7,3,"generator_lvl3","Provides power to nearby rooms, increasing in range every tier\r\nMay contain a bench allowing modification of equipment","Fournit de l'énergie aux salles proches, chaque palier augmente la portée\r\nPeut contenir un établi permettant la modification d'objet d'équipement","Versorgt Räume im Umkreis mit Energie; Reichweite steigt mit Level\r\nKann eine Werkbank enthalten, die das Modifizieren von Ausrüstung ermöglicht","近くの部屋に電力を供給し、ティアが上がるごとに範囲が増加する\r\n装備品を変更できるベンチが出現することがある","주변의 방에 동력을 공급하며, 등급이 높아지면 범위가 증가함\r\n장비에 속성을 부여하는 작업대를 포함할 수 있음","Fornece energia às salas próximas, aumentando em alcance por nível\r\n Pode conter uma bancada que permita a modificação do equipamento","Обеспечивает соседние залы энергией, радиус растёт с уровнем\r\nМожет содержать верстак, позволяющий изменять снаряжение","Proporciona energía a las salas cercanas, y aumenta su alcance con cada nivel\r\nPuede contener una mesa que permite modificar el equipamiento","ให้พลังงานกับห้องที่อยู่ใกล้ มีระยะเพิ่มขึ้นตามระดับของห้อง\r\nอาจมีโต๊ะเปลี่ยนแปลงไอเทมสวมใส่","提供電力給附近的房間，範圍隨階級提升\r\n可能包含一個允許改造裝備的工藝台","Solar Nexus","Nexus solaire","Solarnexus","太陽の中心","태양의 연결부","Nexus Solar","Ядро солнца","Nexo solar","ศูนย์กลางแสงตะวัน","日耀匯流之間","Art/Textures/Interface/2D/2DArt/UIImages/InGame/Incursion2/RoomIcons/IconGenerator.dds",14410,[30]
16,8,1,"viperspymaster_lvl1","Has a higher chance of Juatalotli's Medallion, increases with tier\r\nCan assassinate other Spymasters to level up","A une chance plus élevée de Médaillon de Juatalotli, augmente avec les paliers\r\nPossibilité d'assassiner les autres Maîtres-espions pour monter de niveau","Hat eine höhere Chance, Juatalotlis Medaillon zu enthalten; Chance steigt mit Level\r\nKann andere Spionagemeister töten, um Level zu erhöhen","高い確率でフアタロトリのメダリオンをドロップし、ティアと共にその確率が高くなる\r\n他の密偵長を暗殺することでレベルアップできる","더 높은 확률로 주앗탈로틀리의 메달리온이 나오며, 등급이 높아지면 확률이 증가함\r\n다른 첩보대장을 암살하여 레벨을 올릴 수 있음","Tem uma chance alta de largar o Medalhão de Juatalotli, aumentando com o nível\r\n Pode assassinar outros mestres-espião para subir de nível","Повышенный шанс найти Медальон Ваталотли, растёт с уровнем\r\nМожет убивать других соглядатаев для повышения уровня","Tiene una mayor probabilidad de Medallón de Juatalotli, que aumenta con el nivel\r\nPuede asesinar a otros Maestros de espionaje para subir de nivel","มีโอกาสมีเหรียญตราฮัวตาล็อตลีสูงขึ้น โอกาสนี้เพิ่มขึ้นตามระดับของห้อง\r\nสามารถลอบสังหารนักจารชนคนอื่นเพื่ออัพเลเวลได้","有較高機率出現瓦爾羅特的聖徽，隨階級提升\r\n可刺殺其他情報大師以升級","Spymaster's Study","Bureau du maître-espion","Spionagemeister-Arbeitszimmer","密偵長の書斎","첩보대장의 서재","Escritório do Mestre-espião","Кабинет соглядатая","Estudio del maestro de espionaje","ห้องศึกษานักจารชน","情報師書房","Art/Textures/Interface/2D/2DArt/UIImages/InGame/Incursion2/RoomIcons/IconViperSpymaster.dds","",[]
17,8,2,"viperspymaster_lvl2","Has a higher chance of Juatalotli's Medallion, increases with tier\r\nCan assassinate other Spymasters to level up","A une chance plus élevée de Médaillon de Juatalotli, augmente avec les paliers\r\nPossibilité d'assassiner les autres Maîtres-espions pour monter de niveau","Hat eine höhere Chance, Juatalotlis Medaillon zu enthalten; Chance steigt mit Level\r\nKann andere Spionagemeister töten, um Level zu erhöhen","高い確率でフアタロトリのメダリオンをドロップし、ティアと共にその確率が高くなる\r\n他の密偵長を暗殺することでレベルアップできる","더 높은 확률로 주앗탈로틀리의 메달리온이 나오며, 등급이 높아지면 확률이 증가함\r\n다른 첩보대장을 암살하여 레벨을 올릴 수 있음","Tem uma chance alta de largar o Medalhão de Juatalotli, aumentando com o nível\r\n Pode assassinar outros mestres-espião para subir de nível","Повышенный шанс найти Медальон Ваталотли, растёт с уровнем\r\nМожет убивать других соглядатаев для повышения уровня","Tiene una mayor probabilidad de Medallón de Juatalotli, que aumenta con el nivel\r\nPuede asesinar a otros Maestros de espionaje para subir de nivel","มีโอกาสมีเหรียญตราฮัวตาล็อตลีสูงขึ้น โอกาสนี้เพิ่มขึ้นตามระดับของห้อง\r\nสามารถลอบสังหารนักจารชนคนอื่นเพื่ออัพเลเวลได้","有較高機率出現瓦爾羅特的聖徽，隨階級提升\r\n可刺殺其他情報大師以升級","Hall of Shadows","Salle des ombres","Halle der Schatten","影の広間","그림자의 전당","Salão das Sombras","Зал теней","Salón de las sombras","โถงแห่งเงา","暗影大廳","Art/Textures/Interface/2D/2DArt/UIImages/InGame/Incursion2/RoomIcons/IconViperSpymaster.dds","",[]
18,8,3,"viperspymaster_lvl3","Has a high chance of Juatalotli's Medallion\r\nCan assassinate other Spymasters","A une élevée de Médaillon de Juatalotli\r\nPossibilité d'assassiner les autres Maîtres-espions","Hat eine hohe Chance, Juatalotlis Medaillon zu enthalten\r\nKann andere Spionagemeister töten","高い確率でフアタロトリのメダリオンをドロップする\r\n他の密偵長を暗殺できる","높은 확률로 주앗탈로틀리의 메달리온이 나옴\r\n다른 첩보대장을 암살할 수 있음","Tem uma chance alta de largar o Medalhão de Juatalotli\r\n Pode assassinar outros mestres-espião","Повышенный шанс найти Медальон Ваталотли\r\nМожет убивать других соглядатаев","Tiene una gran probabilidad de Medallón de Juatalotli\r\nPuede asesinar a otros Maestros de espionaje","มีโอกาสมีเหรียญตราฮัวตาล็อตลีสูง\r\nสามารถลอบสังหารนักจารชนคนอื่นได้","有高機率出現瓦爾羅特的聖徽\r\n可刺殺其他情報大師","Omnipresent Panopticon","Panopticon omniprésent","Omnipräsentes Panoptikum","遍在するパノプティコン","편재의 원형 감옥","Panóptico Onipresente","Всеведущий паноптикум","Panóptico omnipresente","หอหยั่งรู้สรรพสิ่ง","全識監視塔","Art/Textures/Interface/2D/2DArt/UIImages/InGame/Incursion2/RoomIcons/IconViperSpymaster.dds","",[]
19,9,2,"viperlegionbarracks_lvl2","","","","","","","","","","","Viper's Loyals","Fidèles de la Vipère","Viperngetreue","ヴァイパーの側近","독사의 충신들","Leais da Víbora","Полк Гадюки","Leales a la víbora","กลุ่มผู้ภักดีแก่อสรพิษ","毒蛇營房","Art/Textures/Interface/2D/2DArt/UIImages/InGame/Incursion2/RoomIcons/IconViperLegionBarracks.dds",14405,[15]
20,9,3,"viperlegionbarracks_lvl3","","","","","","","","","","","Elite Legion","Légion d'élite","Elite-Legion","精鋭軍団","정예 군단","Legião de Elite","Элитный легион","Legión de élite","กองพันเอก","菁英軍團","Art/Textures/Interface/2D/2DArt/UIImages/InGame/Incursion2/RoomIcons/IconViperLegionBarracks.dds",14405,[30]
21,10,1,"synthfleshlab_lvl1","","","","","","","","","","","Prosthetic Research","Laboratoire prothétique","Prothesenforschung","義肢研究","보철물 연구실","Pesquisa Protética","Лаборатория протезов","Investigación prostética","ห้องวิจัยอวัยวะเทียม","義肢研究室","Art/Textures/Interface/2D/2DArt/UIImages/InGame/Incursion2/RoomIcons/IconSynthflesh.dds",14406,[5]
22,10,2,"synthfleshlab_lvl2","","","","","","","","","","","Synthflesh Sanctum","Sanctuaire synthichair","Kunstfleisch-Sanktum","合成肉の聖所","인조육체 지성소","Santuário da Carne Sintética","Святыня плотосинтеза","Santuario de carne sintética","สถานพำนักเนื้อสังเคราะห์","合膚聖所","Art/Textures/Interface/2D/2DArt/UIImages/InGame/Incursion2/RoomIcons/IconSynthflesh.dds",14406,[10]
23,10,3,"synthfleshlab_lvl3","","","","","","","","","","","Crucible of Transcendence","Creuset de la transcendance","Spitze der Transendenz","超越のるつぼ","초월의 용광로","Calvário da Transcendência","Тигель превосходства","Prueba de trascendencia","บ่อหลอมเหนือมนุษย์","超越熔鑄爐","Art/Textures/Interface/2D/2DArt/UIImages/InGame/Incursion2/RoomIcons/IconSynthflesh.dds",14406,[20]
24,11,1,"fleshsurgeon_lvl1","Tier 3 allows Limb Modification","Le Palier 3 permet la modification des Membres","Level 3 ermöglicht das Modifizieren von Gliedmaßen","ティア3になると手足の改変が可能になる","3등급일 때 팔다리 개조 가능","Nível 3 permite modificar membros","Ур. 3 позволяет модифицировать конечности","El nivel 3 permite la modificación de extremidades","ห้องระดับ 3 เปิดโอกาสให้เปลี่ยนแปลงอวัยวะได้","階級 3 允許肢體改造","Surgeon's Ward","Salle du chirurgien","Station des Chirurgen","外科の病棟","의사의 병동","Salvaguarda do Cirurgião","Хирургические палаты","Sala del cirujano","วอร์ดศัลยากร","手術病房","Art/Textures/Interface/2D/2DArt/UIImages/InGame/Incursion2/RoomIcons/IconFleshSurgeon.dds",14407,[5]
25,11,2,"fleshsurgeon_lvl2","Tier 3 allows Limb Modification","Le Palier 3 permet la modification des Membres","Level 3 ermöglicht das Modifizieren von Gliedmaßen","ティア3になると手足の改変が可能になる","3등급일 때 팔다리 개조 가능","Nível 3 permite modificar membros","Ур. 3 позволяет модифицировать конечности","El nivel 3 permite la modificación de extremidades","ห้องระดับ 3 เปิดโอกาสให้เปลี่ยนแปลงอวัยวะได้","階級 3 允許肢體改造","Surgeon's Theatre","Théâtre du chirurgien","Theater des Chirurgen","外科の手術室","의사의 극장","Câmara do Cirurgião","Операционная","Quirófano del cirujano","ห้องผ่าตัดศัลยากร","手術劇院","Art/Textures/Interface/2D/2DArt/UIImages/InGame/Incursion2/RoomIcons/IconFleshSurgeon.dds",14407,[10]
26,11,3,"fleshsurgeon_lvl3","Contains a device allowing Limb Modification","Contient un dispositif permettant la modification des Membres","Enthält ein Gerät, das das Modifizieren von Gliedmaßen ermöglicht","手足の改変が可能になる装置が出現する","팔다리 개조 장치 포함","Contém um dispositivo que permite modificar membros","Содержит устройство для модификации конечностей","Contiene un dispositivo que permite la modificación de extremidades","มีเครื่องเปลี่ยนแปลงอวัยวะ","包含一個允許肢體改造的裝置","Surgeon's Symphony","Symphonie du chirurgien","Symphonie des Chirurgen","外科の交響曲","의사의 교향곡","Sinfonia do Cirurgião","Симфония плоти","Sinfonía del cirujano","ห้องผสานเสียงศัลยากร","手術交響殿","Art/Textures/Interface/2D/2DArt/UIImages/InGame/Incursion2/RoomIcons/IconFleshSurgeon.dds",14407,[20]
27,12,2,"transcendentbarracks_lvl2","","","","","","","","","","","Steelflesh Quarters","Quartiers de chair-acier","Stahlfleisch-Quartier","鉄肉の広間","강철살점 구역","Alojamentos dos Carnecerados","Казармы стальных тел","Cuartos de carne de acero","ห้องเนื้อเหล็ก","鋼筋血肉居所","Art/Textures/Interface/2D/2DArt/UIImages/InGame/Incursion2/RoomIcons/IconTranscendentBarracks.dds",14408,[15]
