"rownum","string_0","[rid]_8","rid_24","[rid]_40","i32_56","i32_60"
104,"Torbik_OpenShop",[722],19788,[2],0,1
105,"Zolin_OpenShop","[555,561]",19866,[2],0,1
106,"Zolin_SellGeneric","[555,561]",19878,[1],0,1
107,"Zolin_BuyGeneric","[555,561]",19805,[0],0,1
108,"Zolin_FlaskLife","[555,561]",19841,[14],0,10
109,"Zolin_FlaskMana","[555,561]",19854,[15],0,10
110,"Risu_OpenShop","[311,312,313,686]",13781,[2],0,1
111,"Risu_GambleNormal","[311,312,313,686]",13742,[9],0,1
112,"Risu_GambleMagic","[311,312,313,686]",13730,[10],0,1
113,"Risu_GambleRare","[311,312,313,686]",13757,[11],0,1
114,"Risu_GambleUnique","[311,312,313,686]",13769,[12],0,1
115,"Risu_SellItem","[311,312,313,686]",13796,[1],0,1
116,"Zelina_Buy","[556,560]",19901,[0],0,1
117,"Zelina_Sell","[556,560]",19937,[1],0,1
118,"Zelina_OpenShop","[556,560]",19925,[2],0,1
119,"Doryani_OpenShop","[456,698,554,362,365,364]",20091,[2],0,1
120,"Doryani_SellGeneric","[456,698,554,362,365,364]",20107,[1],0,1
121,"Doryani_BuyGeneric","[456,698,554,362,365,364]",20012,[0],0,1
122,"Doryani_BuyBelt","[456,698,554,362,365,364]",20028,[33],0,5
123,"Doryani_BuyRing","[456,698,554,362,365,364]",20028,[34],0,5
124,"Doryani_BuyAmulet","[456,698,554,362,365,364]",20028,[35],0,5
125,"Doryani_BuyStaff","[456,698,554,362,365,364]",20001,[32],0,5
126,"Doryani_BuyWand","[456,698,554,362,365,364]",20001,[31],0,5
127,"Doryani_BuyWaystone","[456,698,554,362,365,364]",20044,[36],0,5
128,"Doryani_SellWaystone","[456,698,554,362,365,364]",20123,[37],0,5
129,"Ange_AsyncListItem","[482,483,557]",19028,[38],0,1
130,"Ange_AsyncPriceLower","[482,483,557]",19018,[39],0,1
131,"Ange_AsyncPriceHigher","[482,483,557]",19008,[40],0,1
132,"Ange_AsyncItemSoldInZone","[482,483,557]",19062,[41],0,1
133,"Ange_AsyncItemSoldInOutOfZone","[482,483,557]",19062,[43],0,1
134,"Ange_AsyncItemBoughtAway","[482,483,557]",19038,[44],0,1
135,"Ange_CEPlaceOrder","[482,483,557]",18993,[45],0,1
136,"Ange_CEReceiveOrder","[482,483,557]",19000,[46],0,1
137,"ManInBox_AsyncListItem",[804],20330,[38],0,1
138,"ManInBox_AsyncPriceLower",[804],20380,[39],0,1
139,"ManInBox_AsyncPriceHigher",[804],20354,[40],0,1
140,"ManInBox_AsyncItemSoldInZone",[804],20407,[41],0,1
141,"ManInBox_OpenAwayShop",[804],20491,[42],0,1
142,"ManInBox_AsyncItemSoldInOutOfZone",[804],20443,[43],0,1
143,"ManInBox_AsyncItemBoughtAway",[804],20246,[44],0,1
144,"ManInBox_CEPlaceOrder",[804],20279,[45],0,1
145,"ManInBox_CEReceiveOrder",[804],20300,[46],0,1
