"rownum","BaseItemType","RequiredLevel","Limit","Description","Type","TierHigher","IsSocketBound","CanSocketInMartialArtistSlots","CanSocketInUniqueItems","CanSocketInJewellery","ExtraDescription","bool_96","CanSocketInCorruptedSanctified"
104,701,50,0,"",0,"","",1,1,1,"",1,1
105,702,50,0,"",0,"","",1,1,1,"",1,1
106,703,50,0,"",0,"","",1,1,1,"",1,1
107,705,50,0,"",2,"","","",1,1,"",1,1
108,706,50,0,"",2,"","","",1,1,"",1,1
109,707,50,0,"",2,"","","",1,1,"",1,1
110,708,50,0,"",2,"","","",1,1,"",1,1
111,709,50,0,"",2,"","","",1,1,"",1,1
112,710,50,0,"",2,"","","",1,1,"",1,1
113,711,50,0,"",2,"","","",1,1,"",1,1
114,712,50,0,"",2,"","","",1,1,"",1,1
115,713,50,0,"",2,"","","",1,1,"",1,1
116,714,50,0,"",2,"","","",1,1,"",1,1
117,715,50,0,"",2,"","","",1,1,"",1,1
118,716,50,0,"",2,"","","",1,1,"",1,1
119,717,50,0,"",2,"","","",1,1,"",1,1
120,718,50,0,"",2,"","","",1,1,"",1,1
121,719,50,0,"",2,"","","",1,1,"",1,1
122,720,50,0,"",2,"","","",1,1,"",1,1
123,721,50,0,"",2,"","","",1,1,"",1,1
124,722,50,0,"",2,"","",1,1,1,"",1,1
125,723,50,0,"",2,"","",1,1,1,"",1,1
126,724,50,0,"",2,"","",1,1,1,"",1,1
127,725,50,0,"",1,"","","",1,1,"",1,1
128,726,50,0,"",1,"","","",1,1,"",1,1
129,727,50,0,"",1,"","","",1,1,"",1,1
130,728,50,0,"",1,"","","",1,1,"",1,1
131,729,50,0,"",1,"","","",1,1,"",1,1
132,730,50,0,"",1,"","","",1,1,"",1,1
133,731,50,0,"",1,"","","",1,1,"",1,1
134,732,50,0,"",1,"","","",1,1,"",1,1
135,733,50,0,"",1,"","","",1,1,"",1,1
136,734,50,0,"",1,"","","",1,1,"",1,1
137,735,50,0,"",1,"","","",1,1,"",1,1
138,736,50,0,"",1,"","","",1,1,"",1,1
139,737,50,0,"",1,"","","",1,1,"",1,1
140,738,50,0,"",1,"","","",1,1,"",1,1
141,739,50,0,"",1,"","","",1,1,"",1,1
142,740,50,0,"",1,"","","",1,1,"",1,1
143,741,50,0,"",1,"","","",1,1,"",1,1
144,742,50,0,"",1,"","","",1,1,"",1,1
145,743,50,0,"",1,"","","",1,1,"",1,1
146,744,50,0,"",1,"","","",1,1,"",1,1
147,745,50,0,"",1,"","","",1,1,"",1,1
148,746,50,0,"",1,"","","",1,1,"",1,1
149,747,50,0,"",1,"","","",1,1,"",1,1
150,748,50,0,"",1,"","","",1,1,"",1,1
151,749,50,0,"",1,"","","",1,1,"",1,1
152,750,50,0,"",1,"","","",1,1,"",1,1
153,751,50,0,"",1,"","","",1,1,"",1,1
154,752,50,0,"",1,"","","",1,1,"",1,1
155,753,50,0,"",1,"",1,"",1,1,"",1,1
156,754,50,0,"",1,"",1,"",1,1,"",1,1
157,755,50,0,"",1,"",1,"",1,1,"",1,1
158,756,50,0,"",1,"",1,"",1,1,"",1,1
159,784,60,2,306,3,"","","",1,1,"",1,1
160,785,60,2,306,3,"","","",1,1,"",1,1
161,786,60,2,306,3,"","","",1,1,"",1,1
162,787,60,2,306,3,"","","",1,1,"",1,1
163,788,60,2,306,1,"","","",1,1,"",1,1
164,789,60,2,306,1,"","","",1,1,"",1,1
165,790,60,2,306,1,"","","",1,1,"",1,1
166,791,60,2,306,1,"","","",1,1,"",1,1
167,792,60,2,306,0,"","",1,1,1,"",1,1
168,793,60,2,306,0,"","",1,1,1,"",1,1
169,794,60,2,306,0,"","",1,1,1,"",1,1
170,795,60,2,306,0,"","",1,1,1,"",1,1
171,796,60,2,306,2,"","","",1,1,"",1,1
172,797,60,2,306,2,"","","",1,1,"",1,1
173,798,60,2,306,2,"","","",1,1,"",1,1
174,799,60,2,306,2,"","","",1,1,"",1,1
175,800,60,0,"",4,"",1,"",1,"","",1,""
176,704,0,"","",0,"","",1,1,1,"",1,1
177,5092,0,"","",0,178,"","",1,1,"",1,1
178,5093,15,"","",0,179,"","",1,1,"",1,1
179,5094,30,"","",0,180,"","",1,1,"",1,1
180,5095,50,"","",0,"","","",1,1,"",1,1
181,5096,0,"","",0,182,"",1,1,1,"",1,1
182,5097,15,"","",0,183,"",1,1,1,"",1,1
183,5098,30,"","",0,184,"",1,1,1,"",1,1
184,5099,50,"","",0,"","",1,1,1,"",1,1
185,5100,15,"","",0,"","","",1,1,"",1,1
186,5101,15,0,"",0,"","",1,1,1,"",1,1
187,5102,15,"","",0,"","",1,1,1,"",1,1
188,5103,15,"","",0,"","",1,1,1,"",1,1
189,5104,30,0,"",0,"","",1,1,1,"",1,1
190,5105,15,"","",0,"","",1,1,1,"",1,1
191,5106,30,"","",0,"","",1,1,1,"",1,1
192,5107,30,"","",0,"","",1,1,1,"",1,1
193,5108,30,0,"",0,"","",1,1,1,"",1,1
194,5109,15,0,"",0,"","",1,1,1,"",1,1
195,5110,30,0,"",0,"","",1,1,1,"",1,1
196,5111,45,0,"",0,"","","",1,1,"",1,1
197,5112,45,0,"",0,"","",1,1,1,"",1,1
198,5113,45,0,"",0,"","",1,1,1,"",1,1
199,5114,30,0,"",0,"","",1,1,1,"",1,1
200,5115,45,0,"",0,"","",1,1,1,"",1,1
201,5116,45,0,"",0,"","",1,1,1,"",1,1
202,5117,0,"","",0,"",1,"","","",664,"",""
203,5118,0,"","",0,"",1,"","","",665,"",""
204,5119,0,"","",0,"",1,"","","",666,"",""
205,5120,0,"","",0,"",1,"","","",667,"",""
206,5121,30,0,"",0,"","",1,1,1,"",1,1
207,5122,30,0,"",0,"","",1,1,1,"",1,1
208,5123,30,0,"",0,"","",1,1,1,"",1,1
209,5124,30,0,"",0,"","",1,1,1,"",1,1
210,5125,30,0,"",0,"","",1,1,1,"",1,1
211,5126,30,0,"",0,"","",1,1,1,"",1,1
212,5127,30,0,"",0,"","",1,1,1,"",1,1
213,5128,30,0,"",0,"","",1,1,1,"",1,1
214,5129,30,0,"",0,"","",1,1,1,"",1,1
215,5130,30,0,"",0,"","",1,1,1,"",1,1
216,5131,30,0,"",0,"","",1,1,1,"",1,1
217,5132,30,0,"",0,"","",1,1,1,"",1,1
218,5133,30,0,"",0,"","",1,1,1,"",1,1
219,5134,15,0,"",0,"","",1,1,1,"",1,1
220,5135,15,0,"",0,"","",1,1,1,"",1,1
221,5136,15,0,"",0,"","",1,1,1,"",1,1
222,5137,15,0,"",0,"","",1,1,1,"",1,1
223,5138,15,0,"",0,"","",1,1,1,"",1,1
224,5139,15,0,"",0,"","",1,1,1,"",1,1
225,5140,15,0,"",0,"","","",1,1,"",1,1
226,5141,15,0,"",0,"","",1,1,1,"",1,1
227,5142,15,0,"",0,"","",1,1,1,"",1,1
228,5143,15,0,"",0,"","",1,1,1,"",1,1
229,5144,15,0,"",0,"","",1,1,1,"",1,1
230,5145,15,0,"",0,"","",1,1,1,"",1,1
231,5146,15,0,"",0,"","",1,1,1,"",1,1
232,5147,15,0,"",0,"","",1,1,1,"",1,1
233,5148,15,0,"",0,"","",1,1,1,"",1,1
234,5149,15,0,"",0,"","",1,1,1,"",1,1
235,5150,15,0,"",0,"","",1,1,1,"",1,1
236,5151,15,0,"",0,"","",1,1,1,"",1,1
237,5152,15,0,"",0,"","",1,1,1,"",1,1
238,5153,15,0,"",0,"","",1,1,1,"",1,1
239,5154,15,0,"",0,"","",1,1,1,"",1,1
240,5156,0,0,"",0,"",1,"","",1,"",1,""
241,5157,0,0,"",0,"",1,"",1,"","",1,""
242,5158,0,0,"",0,"","","","",1,"",1,""
243,5159,0,0,"",0,"",1,"","","","",1,""
244,5160,0,0,"",0,"",1,"","","","",1,""
245,5161,0,0,"",0,"",1,"","","","",1,""
246,5162,0,0,"",0,"",1,"","","","",1,""
247,5163,0,0,"",0,"",1,"","","","",1,""
248,5164,0,0,"",0,"",1,"","","","",1,""
249,5165,0,"","",0,"","","",1,"","",1,""
250,5166,65,3,"",0,"","",1,1,"","",1,1
251,5167,65,3,"",0,"","",1,1,"","",1,1
252,5168,65,3,"",0,"","",1,1,"","",1,1
253,5169,65,3,"",0,"","",1,1,"","",1,1
254,5170,65,3,"",0,"","",1,1,"","",1,1
255,5171,65,3,"",0,"","",1,1,"","",1,1
256,5172,65,3,"",0,"","",1,1,"","",1,1
257,5173,65,3,"",0,"","",1,1,"","",1,1
258,5174,65,3,"",0,"","",1,1,"","",1,1
259,5175,65,3,"",0,"","",1,1,"","",1,1
260,5176,65,3,"",0,"","",1,1,"","",1,1
261,5177,65,3,"",0,"","",1,1,"","",1,1
262,5178,65,3,"",0,"","",1,1,"","",1,1
263,5179,65,3,"",0,"","",1,1,"","",1,1
264,5180,65,3,"",0,"","",1,1,"","",1,1
265,5181,65,3,"",0,"","",1,1,"","",1,1
266,5182,65,3,"",0,"","",1,1,"","",1,1
267,5183,65,3,"",0,"","",1,1,"","",1,1
268,5184,65,3,"",0,"","",1,1,"","",1,1
269,5185,65,3,"",0,"","",1,1,"","",1,1
270,5186,65,3,"",0,"","",1,1,"","",1,1
271,5187,65,3,"",0,"","",1,1,"","",1,1
272,5188,65,3,"",0,"","",1,1,"","",1,1
273,5189,65,3,"",0,"","",1,1,"","",1,1
274,5190,65,3,"",0,"","",1,1,"","",1,1
275,5191,65,3,"",0,"","",1,1,"","",1,1
276,5192,65,3,"",0,"","",1,1,"","",1,1
277,5193,65,3,"",0,"","",1,1,"","",1,1
278,5194,65,3,"",0,"","",1,1,"","",1,1
279,5195,65,3,"",0,"","",1,1,"","",1,1
280,5196,65,3,"",0,"","",1,1,"","",1,1
281,5197,65,3,"",0,"","",1,1,"","",1,1
282,5198,65,3,"",0,"","",1,1,"","",1,1
283,5199,65,3,"",0,"","",1,1,"","",1,1
284,5200,65,3,"",0,"","",1,1,"","",1,1
285,5201,65,3,"",0,"","",1,1,"","",1,1
286,5202,65,3,"",0,"","",1,1,"","",1,1
287,5203,65,3,"",0,"","",1,1,"","",1,1
288,5204,65,3,"",0,"","",1,1,"","",1,1
289,5205,65,3,"",0,"","",1,1,"","",1,1
290,5206,65,3,"",0,"","",1,1,"","",1,1
291,5207,65,3,"",0,"","",1,1,"","",1,1
292,5208,65,3,"",0,"","",1,1,"","",1,1
293,5209,65,3,"",0,"","",1,1,"","",1,1
294,5210,65,3,"",0,"","",1,1,"","",1,1
295,5211,65,3,"",0,"","",1,1,"","",1,1
296,5212,65,3,"",0,"","",1,1,"","",1,1
297,5213,65,3,"",0,"","",1,1,"","",1,1
298,5214,65,3,"",0,"","",1,1,"","",1,1
299,5215,65,3,"",0,"","",1,1,"","",1,1
300,5216,65,3,"",0,"","",1,1,"","",1,1
301,5217,65,3,"",0,"","",1,1,"","",1,1
302,5218,65,3,"",0,"","",1,1,"","",1,1
303,5219,65,3,"",0,"","",1,1,"","",1,1
304,5220,65,3,"",0,"","",1,1,"","",1,1
305,5221,65,3,"",0,"","",1,1,"","",1,1
306,5222,65,3,"",0,"","",1,1,"","",1,1
307,5223,65,3,"",0,"","",1,1,"","",1,1
308,5224,65,3,"",0,"","",1,1,"","",1,1
309,5225,65,3,"",0,"","",1,1,"","",1,1
310,5226,65,3,"",0,"","",1,1,"","",1,1
311,5227,65,3,"",0,"","",1,1,"","",1,1
312,5228,65,3,"",0,"","",1,1,"","",1,1
