"rownum","EPKFile1","i32_8","EPKFile2","i32_20","i32_24","i32_28","bool_32","AOFile","bool_41","string_42"
11,"Metadata/Effects/Spells/default_attack/claw_unarded_L.epk",0,"",65,11,65,"","Metadata/Effects/Spells/melee_trails/default_attack/default_CLAW.ao","",""
12,"Metadata/Effects/Spells/default_attack/one_handed.epk",0,"",120,11,120,"","Metadata/Effects/Spells/melee_trails/default_attack/default_1H.ao","",""
13,"Metadata/Effects/Spells/default_attack/one_handed_L.epk",0,"",120,11,120,"","Metadata/Effects/Spells/melee_trails/default_attack/default_1H.ao","",""
14,"Metadata/Effects/Spells/default_attack/staff_main.epk",0,"",150,13,150,"","Metadata/Effects/Spells/melee_trails/default_attack/default_2H.ao","",""
15,"Metadata/Effects/Spells/default_attack/staff_off.epk",0,"",150,13,150,"","Metadata/Effects/Spells/melee_trails/default_attack/default_2H_off.ao","",""
16,"Metadata/Effects/Spells/default_attack/two_handed.epk",0,"",150,13,150,"","Metadata/Effects/Spells/melee_trails/default_attack/default_2H.ao","",""
17,"Metadata/Effects/Spells/default_attack/claw_unarded.epk Fixed Length",0,"Metadata/Effects/Spells/default_attack/claw_unarded.epk",65,0,65,"","","",""
18,"Metadata/Effects/Spells/default_attack/claw_unarded_L.epk Fixed Length",0,"Metadata/Effects/Spells/default_attack/claw_unarded_L.epk",65,0,65,"","","",""
19,"Metadata/Effects/Spells/default_attack/one_handed.epk Fixed Length",0,"Metadata/Effects/Spells/default_attack/one_handed.epk",120,0,120,"","","",""
20,"Metadata/Effects/Spells/default_attack/one_handed_L.epk Fixed Length",0,"Metadata/Effects/Spells/default_attack/one_handed_L.epk",120,0,120,"","","",""
21,"Metadata/Effects/Spells/default_attack/staff_main.epk Fixed Length",0,"Metadata/Effects/Spells/default_attack/staff_main.epk",150,0,150,"","","",""
22,"Metadata/Effects/Spells/default_attack/staff_off.epk Fixed Length",0,"Metadata/Effects/Spells/default_attack/staff_off.epk",150,0,150,"","","",""
23,"Metadata/Effects/Spells/default_attack/two_handed.epk Fixed Length",0,"Metadata/Effects/Spells/default_attack/two_handed.epk",150,0,150,"","","",""
24,"Metadata/Effects/Spells/double_strike_02/double_strike_claw.epk",0,"",65,11,65,"","Metadata/Effects/Spells/melee_trails/double_strike/double_strike_CLAW.ao","",""
25,"Metadata/Effects/Spells/double_strike_02/double_strike_onehand.epk",0,"",120,11,120,"","Metadata/Effects/Spells/melee_trails/double_strike/double_strike_1H.ao","",""
26,"Metadata/Effects/Spells/double_strike_02/double_strike_staffmain.epk",0,"",150,13,150,"","Metadata/Effects/Spells/melee_trails/double_strike/double_strike_2H.ao","",""
27,"Metadata/Effects/Spells/double_strike_02/double_strike_staffoff.epk",0,"",150,13,150,"","Metadata/Effects/Spells/melee_trails/double_strike/double_strike_2H_off.ao","",""
28,"Metadata/Effects/Spells/double_strike_02/double_strike_twohand.epk",0,"",150,13,150,"","Metadata/Effects/Spells/melee_trails/double_strike/double_strike_2H.ao","",""
29,"Metadata/Effects/Spells/frenzy_02/melee/frenzy_clawunarmed_L.epk",0,"",65,11,65,"","Metadata/Effects/Spells/melee_trails/frenzy/frenzy_CLAW.ao","",""
30,"Metadata/Effects/Spells/frenzy_02/melee/frenzy_clawunarmed_R.epk",0,"",65,11,65,"","Metadata/Effects/Spells/melee_trails/frenzy/frenzy_CLAW.ao","",""
31,"Metadata/Effects/Spells/frenzy_02/melee/frenzy_onehanded_L.epk",0,"",120,11,120,"","Metadata/Effects/Spells/melee_trails/frenzy/frenzy_1H.ao","",""
32,"Metadata/Effects/Spells/frenzy_02/melee/frenzy_onehanded_R.epk",0,"",120,11,120,"","Metadata/Effects/Spells/melee_trails/frenzy/frenzy_1H.ao","",""
33,"Metadata/Effects/Spells/frenzy_02/melee/frenzy_staffmain.epk",0,"",150,13,150,"","Metadata/Effects/Spells/melee_trails/frenzy/frenzy_2H.ao","",""
34,"Metadata/Effects/Spells/frenzy_02/melee/frenzy_staffoff.epk",0,"",150,13,150,"","Metadata/Effects/Spells/melee_trails/frenzy/frenzy_2H_off.ao","",""
35,"Metadata/Effects/Spells/frenzy_02/melee/frenzy_twohanded_R.epk",0,"",150,13,150,"","Metadata/Effects/Spells/melee_trails/frenzy/frenzy_2H.ao","",""
36,"Metadata/Effects/Spells/heavy_strike_02/heavy_strike_claw.epk",0,"",60,11,60,"","Metadata/Effects/Spells/melee_trails/heavy_strike/heavy_strike_1H.ao","",""
37,"Metadata/Effects/Spells/heavy_strike_02/heavy_strike_onehand.epk",0,"",110,11,110,"","Metadata/Effects/Spells/melee_trails/heavy_strike/heavy_strike_1H.ao","",""
38,"Metadata/Effects/Spells/heavy_strike_02/heavy_strike_onehandoff.epk",0,"",110,11,110,"","Metadata/Effects/Spells/melee_trails/heavy_strike/heavy_strike_1H.ao","",""
39,"Metadata/Effects/Spells/heavy_strike_02/heavy_strike_staffmain.epk",0,"",135,13,135,"","Metadata/Effects/Spells/melee_trails/heavy_strike/heavy_strike_2H.ao","",""
40,"Metadata/Effects/Spells/heavy_strike_02/heavy_strike_staffoff.epk",0,"",135,13,135,"","Metadata/Effects/Spells/melee_trails/heavy_strike/heavy_strike_2H_off.ao","",""
41,"Metadata/Effects/Spells/heavy_strike_02/heavy_strike_twohand.epk",0,"",135,13,135,"","Metadata/Effects/Spells/melee_trails/heavy_strike/heavy_strike_2H.ao","",""
42,"Metadata/Effects/Spells/default_attack/monster_unarmed_R.epk",0,"Metadata/Effects/Spells/default_attack/monster_unarmed_R.epk",65,11,65,"","","",""
43,"Metadata/Effects/Spells/default_attack/monster_unarmed_L.epk",0,"Metadata/Effects/Spells/default_attack/monster_unarmed_L.epk",65,11,65,"","","",""
44,"monster unarmed green R",0,"Metadata/Effects/Spells/default_attack/monster_unarmed_green_R.epk",65,11,65,"","","",""
45,"monster unarmed green L",0,"Metadata/Effects/Spells/default_attack/monster_unarmed_green_L.epk",65,11,65,"","","",""
46,"Metadata/Effects/Spells/slice_n_dice/slice_R.epk",0,"Metadata/Effects/Spells/slice_n_dice/slice_R.epk",120,10,120,"","","",""
47,"Metadata/Effects/Spells/slice_n_dice/slice_L.epk",0,"Metadata/Effects/Spells/slice_n_dice/slice_L.epk",120,10,120,"","","",""
48,"Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/fire_unarmed_L.epk",0,"Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/fire_unarmed_L.epk",65,11,65,"","Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/fire_weapon_cl_unarm.ao","",""
49,"Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/fire_unarmed_R.epk",0,"Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/fire_unarmed_R.epk",65,11,65,"","Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/fire_weapon_cl_unarm.ao","",""
50,"Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/fire_one_hand_L.epk",0,"",120,11,120,"","Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/fire_weapon_oneh.ao","",""
51,"Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/fire_one_hand_R.epk",0,"",120,11,120,"","Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/fire_weapon_oneh.ao","",""
52,"Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/fire_two_hand_R.epk",0,"",120,13,120,"","Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/fire_weapon_twoh.ao","",""
53,"Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/fire_staff_main.epk",0,"",150,13,150,"","Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/fire_weapon_staff_main.ao","",""
54,"Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/fire_staff_off.epk",0,"",150,13,150,"","Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/fire_weapon_staff_off.ao","",""
55,"Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/fire_unarmed_L.epk Fixed Length",0,"Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/fire_unarmed_L.epk",65,0,65,"","Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/fire_weapon_cl_unarm.ao","",""
56,"Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/fire_unarmed_R.epk Fixed Length",0,"Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/fire_unarmed_R.epk",65,0,65,"","Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/fire_weapon_cl_unarm.ao","",""
57,"Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/fire_one_hand_L.epk Fixed Length",0,"",120,0,120,"","Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/fire_weapon_oneh.ao","",""
58,"Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/fire_one_hand_R.epk Fixed Length",0,"",120,0,120,"","Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/fire_weapon_oneh.ao","",""
59,"Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/fire_two_hand_R.epk Fixed Length",0,"",120,0,120,"","Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/fire_weapon_twoh.ao","",""
60,"Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/fire_staff_main.epk Fixed Length",0,"",150,0,150,"","Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/fire_weapon_staff_main.ao","",""
61,"Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/fire_staff_off.epk Fixed Length",0,"",150,0,150,"","Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/fire_weapon_staff_off.ao","",""
62,"Metadata/Effects/Spells/fortify/surge/fortify_unarmed_L.epk",0,"Metadata/Effects/Spells/fortify/surge/fortify_unarmed_L.epk",65,11,65,"","","",""
63,"Metadata/Effects/Spells/fortify/surge/fortify_unarmed_R.epk",0,"Metadata/Effects/Spells/fortify/surge/fortify_unarmed_R.epk",65,11,65,"","","",""
64,"Metadata/Effects/Spells/fortify/surge/fortify_one_hand_L.epk",0,"Metadata/Effects/Spells/fortify/surge/fortify_one_hand_L.epk",120,11,120,"","","",""
65,"Metadata/Effects/Spells/fortify/surge/fortify_one_hand_R.epk",0,"Metadata/Effects/Spells/fortify/surge/fortify_one_hand_R.epk",120,11,120,"","","",""
66,"Metadata/Effects/Spells/fortify/surge/fortify_staff_main.epk",0,"Metadata/Effects/Spells/fortify/surge/fortify_staff_main.epk",150,13,150,"","","",""
67,"Metadata/Effects/Spells/fortify/surge/fortify_staff_off.epk",0,"Metadata/Effects/Spells/fortify/surge/fortify_staff_off.epk",150,13,150,"","","",""
68,"Metadata/Effects/Spells/fortify/surge/fortify_two_hand_L.epk",0,"Metadata/Effects/Spells/fortify/surge/fortify_two_hand_L.epk",150,13,150,"","","",""
69,"Metadata/Effects/Spells/fortify/surge/fortify_two_hand_R.epk",0,"Metadata/Effects/Spells/fortify/surge/fortify_two_hand_R.epk",150,13,150,"","","",""
70,"Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/ice_one_hand_L.epk",0,"",65,11,65,"","Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/ice_weapon_oneh.ao","",""
71,"Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/ice_one_hand_R.epk",0,"",65,11,65,"","Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/ice_weapon_oneh.ao","",""
72,"Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/ice_staff_main.epk",0,"",150,13,150,"","Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/ice_weapon_staff_main.ao","",""
73,"Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/ice_staff_off.epk",0,"",150,13,150,"","Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/ice_weapon_staff_off.ao","",""
74,"Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/ice_two_hand_L.epk",0,"",120,13,120,"","Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/ice_weapon_twoh.ao","",""
75,"Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/ice_two_hand_R.epk",0,"",120,13,120,"","Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/ice_weapon_twoh.ao","",""
76,"Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/ice_unarmed_L.epk",0,"Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/ice_unarmed_L.epk",120,11,120,"","Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/ice_weapon_cl_unarm.ao","",""
77,"Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/ice_unarmed_R.epk",0,"Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/ice_unarmed_R.epk",120,11,120,"","Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/ice_weapon_cl_unarm.ao","",""
78,"Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/ice_one_hand_L.epk Fixed Length",0,"",65,0,65,"","Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/ice_weapon_oneh.ao","",""
79,"Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/ice_one_hand_R.epk Fixed Length",0,"",65,0,65,"","Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/ice_weapon_oneh.ao","",""
80,"Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/ice_staff_main.epk Fixed Length",0,"",150,0,150,"","Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/ice_weapon_staff_main.ao","",""
81,"Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/ice_staff_off.epk Fixed Length",0,"",150,0,150,"","Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/ice_weapon_staff_off.ao","",""
82,"Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/ice_two_hand_L.epk Fixed Length",0,"",120,0,120,"","Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/ice_weapon_twoh.ao","",""
83,"Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/ice_two_hand_R.epk Fixed Length",0,"",120,0,120,"","Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/ice_weapon_twoh.ao","",""
84,"Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/ice_unarmed_L.epk Fixed Length",0,"Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/ice_unarmed_L.epk",120,0,120,"","Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/ice_weapon_cl_unarm.ao","",""
85,"Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/ice_unarmed_R.epk Fixed Length",0,"Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/ice_unarmed_R.epk",120,0,120,"","Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/ice_weapon_cl_unarm.ao","",""
86,"Holy Claw Unarmed L",0,"Metadata/Effects/Spells/smite/weaponfx/smite_clawunarmed_L.epk",65,11,65,"","","",""
87,"Holy Claw Unarmed R",0,"Metadata/Effects/Spells/smite/weaponfx/smite_clawunarmed_R.epk",65,11,65,"","","",""
88,"Holy One Hand L",0,"Metadata/Effects/Spells/smite/weaponfx/smite_onehanded_L.epk",120,11,120,"","","",""
89,"Holy One Hand R",0,"Metadata/Effects/Spells/smite/weaponfx/smite_onehanded_R.epk",120,11,120,"","","",""
90,"Holy Staff L",0,"Metadata/Effects/Spells/smite/weaponfx/smite_staffoff.epk",150,13,150,"","","",""
91,"Holy Staff R",0,"Metadata/Effects/Spells/smite/weaponfx/smite_staffmain.epk",150,13,150,"","","",""
92,"Holy Two Hand",0,"Metadata/Effects/Spells/smite/weaponfx/smite_twohanded_R.epk",150,13,150,"","","",""
93,"Metadata/Effects/Spells/cobra_lash/cobralash_claw_L.epk",0,"",0,0,0,"","Metadata/Effects/Spells/cobra_lash/cobracast.ao","",""
94,"Metadata/Effects/Spells/cobra_lash/cobralash_claw_R.epk",0,"",0,0,0,"","Metadata/Effects/Spells/cobra_lash/cobracast.ao","",""
95,"Metadata/Effects/Spells/cobra_lash/cobralash_onehanded_L.epk",0,"",0,0,0,"","Metadata/Effects/Spells/cobra_lash/cobracast_dagger.ao","",""
96,"Metadata/Effects/Spells/cobra_lash/cobralash_onehanded_R.epk",0,"",0,0,0,"","Metadata/Effects/Spells/cobra_lash/cobracast_dagger.ao","",""
97,"dualstrike_claw",0,"",80,9,80,"","Metadata/Effects/Spells/melee_trails/dual_strike/dual_strike_CLAW.ao","",""
98,"dualstrike_onehanded",0,"",80,9,80,"","Metadata/Effects/Spells/melee_trails/dual_strike/dual_strike_1H.ao","",""
99,"leapslam_claw_carneval",0,"",0,0,0,"","Metadata/Effects/Microtransactions/Weapons/TwoHandedWeapons/Maul/HarlequinHammer.ao","",""
100,"leapslam_onehanded_carneval",0,"",0,0,0,"","Metadata/Effects/Microtransactions/Weapons/TwoHandedWeapons/Maul/HarlequinHammer.ao","",""
101,"leapslam_twohanded_carneval",0,"",0,0,0,"","Metadata/Effects/Microtransactions/Weapons/TwoHandedWeapons/Maul/HarlequinHammer.ao","",""
102,"leapslam_staff_carneval",0,"",0,0,0,"","Metadata/Effects/Microtransactions/Weapons/TwoHandedWeapons/Maul/HarlequinHammer.ao","",""
103,"viper_strike_claw",0,"",80,9,80,"","Metadata/Effects/Spells/melee_trails/viper_strike/viper_strike_CLAW.ao","",""
104,"viper_strike_one_handed",0,"",80,9,80,"","Metadata/Effects/Spells/melee_trails/viper_strike/viper_strike_1H.ao","",""
105,"viper_strike_two_handed",0,"",120,11,120,"","Metadata/Effects/Spells/melee_trails/viper_strike/viper_strike_2H.ao","",""
106,"mamba_strike_claw",0,"",80,9,80,"","Metadata/Effects/Spells/mamba_strike/mamba_Claw.ao","",""
107,"mamba_strike_one_handed",0,"",80,9,80,"","Metadata/Effects/Spells/mamba_strike/mamba_1H.ao","",""
108,"trail_test_1",0,"",80,11,80,"","Metadata/Effects/Spells/melee_trails/test_case/test_CLAW.ao","",""
109,"trail_test_2",0,"",150,11,150,"","Metadata/Effects/Spells/melee_trails/test_case/test_1H.ao","",""
110,"trail_test_3",0,"",150,13,150,"","Metadata/Effects/Spells/melee_trails/test_case/test_2H.ao","",""
111,"trail_test_4",0,"",150,13,150,"","Metadata/Effects/Spells/melee_trails/test_case/test_2H_off.ao","",""
112,"trail_test_5",0,"",150,13,150,"","Metadata/Effects/Spells/melee_trails/test_case/test_1H_subdivided.ao","",""
113,"Metadata/Effects/Spells/monsters_effects/AtlasExiles/CrusaderMonsters/actfiles/weapontrail_l.epk",0,"",120,9,120,"","Metadata/Effects/Spells/monsters_effects/AtlasExiles/CrusaderMonsters/actfiles/trl_1h.ao","",""
114,"Metadata/Effects/Spells/monsters_effects/AtlasExiles/CrusaderMonsters/actfiles/weapontrail_r.epk",0,"",120,9,120,"","Metadata/Effects/Spells/monsters_effects/AtlasExiles/CrusaderMonsters/actfiles/trl_1h.ao","",""
115,"IceCrashAutomatonOneHandL",0,"Metadata/Effects/Microtransactions/Spells/automaton_icecrash/weaponsurge/ice_one_hand_L.epk",0,0,0,"","","",""
116,"IceCrashAutomatonOneHandR",0,"Metadata/Effects/Microtransactions/Spells/automaton_icecrash/weaponsurge/ice_one_hand_R.epk",0,0,0,"","","",""
117,"IceCrashAutomatonStaffMain",0,"Metadata/Effects/Microtransactions/Spells/automaton_icecrash/weaponsurge/ice_staff_main.epk",0,0,0,"","","",""
118,"IceCrashAutomatonStaffOff",0,"Metadata/Effects/Microtransactions/Spells/automaton_icecrash/weaponsurge/ice_staff_off.epk",0,0,0,"","","",""
119,"IceCrashAutomatonTwoHandL",0,"Metadata/Effects/Microtransactions/Spells/automaton_icecrash/weaponsurge/ice_two_hand_L.epk",0,0,0,"","","",""
120,"IceCrashAutomatonTwoHandR",0,"Metadata/Effects/Microtransactions/Spells/automaton_icecrash/weaponsurge/ice_two_hand_R.epk",0,0,0,"","","",""
121,"IceCrashAutomatonUnarmedL",0,"Metadata/Effects/Microtransactions/Spells/automaton_icecrash/weaponsurge/ice_unarmed_L.epk",0,0,0,"","","",""
122,"IceCrashAutomatonUnarmedR",0,"Metadata/Effects/Microtransactions/Spells/automaton_icecrash/weaponsurge/ice_unarmed_R.epk",0,0,0,"","","",""
123,"HeistMilitary1hSword",0,"",74,10,74,"","Metadata/Effects/Spells/monsters_effects/League_Heist/military/melee/1hMeleeBlackGuardSword.ao","",""
124,"HeistMilitary2hAxe",0,"",127,18,127,"","Metadata/Effects/Spells/monsters_effects/League_Heist/military/melee/2hMeleeTemplarAxe.ao","",""
125,"HeistSkeleton",0,"",80,11,80,"","Metadata/Effects/Spells/monsters_effects/League_Heist/cultist/actfx/1hMelee.ao","",""
126,"HeistHuck",0,"",210,15,150,"","Metadata/Effects/Spells/melee_trails/double_strike/double_strike_2H.ao","",""
127,"HeistTibbs",0,"",135,15,135,"","Metadata/Effects/Spells/monsters_effects/League_Heist/Tibbs/weapon_trail.ao","",""
128,"HeistVinderi",0,"",135,11,135,"","Metadata/Effects/Spells/monsters_effects/League_Heist/Vinderi/weapon_trail.ao","",""
129,"Monster Trail Neutral R",0,"",65,11,65,"","Metadata/Effects/Spells/default_attack/cl_unarmed.ao","",""
130,"Monster Trail Neutral L",0,"",65,11,65,"","Metadata/Effects/Spells/default_attack/cl_unarmed.ao","",""
131,"CelestialDominatingBlowUnarmed",0,"",65,9,65,"","Metadata/Effects/Microtransactions/Spells/dominating_blow/celestial/trails/weapon_cl_unarm.ao","",""
132,"CelestialDominatingBlowOneHand",0,"",120,11,120,"","Metadata/Effects/Microtransactions/Spells/dominating_blow/celestial/trails/weapon_oneh.ao","",""
133,"CelestialDominatingBlowStaffMain",0,"",150,13,150,"","Metadata/Effects/Microtransactions/Spells/dominating_blow/celestial/trails/weapon_staff_main.ao","",""
134,"CelestialDominatingBlowStaffOff",0,"",150,13,150,"","Metadata/Effects/Microtransactions/Spells/dominating_blow/celestial/trails/weapon_staff_off.ao","",""
135,"CelestialDominatingBlowTwoHand",0,"",150,13,150,"","Metadata/Effects/Microtransactions/Spells/dominating_blow/celestial/trails/weapon_twoh.ao","",""
136,"StygianConsecratedPathStaff",0,"Metadata/Effects/Spells/smite_stygian/weaponfx/smite_staffmain.epk",65,11,65,"","","",""
137,"StygianConsecratedPathStaffOff",0,"Metadata/Effects/Spells/smite_stygian/weaponfx/smite_staffoff.epk",65,11,65,"","","",""
138,"StygianConsecratedPathOneHandL",0,"Metadata/Effects/Spells/smite_stygian/weaponfx/smite_onehanded_L.epk",120,11,120,"","","",""
139,"StygianConsecratedPathOneHandR",0,"Metadata/Effects/Spells/smite_stygian/weaponfx/smite_onehanded_R.epk",120,11,120,"","","",""
140,"StygianConsecratedPathClawL",0,"Metadata/Effects/Spells/smite_stygian/weaponfx/smite_clawunarmed_L.epk",150,13,150,"","","",""
141,"StygianConsecratedPathClawR",0,"Metadata/Effects/Spells/smite_stygian/weaponfx/smite_clawunarmed_R.epk",150,13,150,"","","",""
142,"StygianConsecratedPathTwoHand",0,"Metadata/Effects/Spells/smite_stygian/weaponfx/smite_twohanded_R.epk",150,13,150,"","","",""
143,"ArcaneFrenzyClawL",0,"Metadata/Effects/Microtransactions/Spells/frenzy_02/Arcane/melee/frenzy_clawunarmed_L.epk",65,11,65,"","","",""
144,"ArcaneFrenzyClawR",0,"Metadata/Effects/Microtransactions/Spells/frenzy_02/Arcane/melee/frenzy_clawunarmed_R.epk",65,11,65,"","","",""
145,"ArcaneFrenzyOneHandL",0,"Metadata/Effects/Microtransactions/Spells/frenzy_02/Arcane/melee/frenzy_onehanded_L.epk",120,11,120,"","","",""
146,"ArcaneFrenzyOneHandR",0,"Metadata/Effects/Microtransactions/Spells/frenzy_02/Arcane/melee/frenzy_onehanded_R.epk",120,11,120,"","","",""
147,"ArcaneFrenzyStaff",0,"Metadata/Effects/Microtransactions/Spells/frenzy_02/Arcane/melee/frenzy_staffmain.epk",150,13,150,"","","",""
148,"ArcaneFrenzyStaffOff",0,"Metadata/Effects/Microtransactions/Spells/frenzy_02/Arcane/melee/frenzy_staffoff.epk",150,13,150,"","","",""
149,"ArcaneFrenzyTwoHand",0,"Metadata/Effects/Microtransactions/Spells/frenzy_02/Arcane/melee/frenzy_twohanded_R.epk",150,13,150,"","","",""
150,"StygianInfernalBlowStaff",0,"Metadata/Effects/Spells/smite_stygian/weaponfx/smite_staffmain.epk",65,11,65,"","","",""
151,"StygianInfernalBlowStaffOff",0,"Metadata/Effects/Spells/smite_stygian/weaponfx/smite_staffoff.epk",65,11,65,"","","",""
152,"StygianInfernalBlowOneHandL",0,"Metadata/Effects/Spells/smite_stygian/weaponfx/smite_onehanded_L.epk",120,11,120,"","","",""
153,"StygianInfernalBlowOneHandR",0,"Metadata/Effects/Spells/smite_stygian/weaponfx/smite_onehanded_R.epk",120,11,120,"","","",""
154,"StygianInfernalBlowClawL",0,"Metadata/Effects/Spells/smite_stygian/weaponfx/smite_clawunarmed_L.epk",150,13,150,"","","",""
155,"StygianInfernalBlowClawR",0,"Metadata/Effects/Spells/smite_stygian/weaponfx/smite_clawunarmed_R.epk",150,13,150,"","","",""
156,"StygianInfernalBlowTwoHand",0,"Metadata/Effects/Spells/smite_stygian/weaponfx/smite_twohanded_R.epk",150,13,150,"","","",""
