"rownum","Id","Audio","[i32]_24","VolumePercentage","QuestFlag1","QuestFlag2","[i32]_76","[i32]_92"
10,"Greust1","[""Audio/Dialogue/NPC/Greust/Greust_Greet_01.ogg"",""Audio/Dialogue/NPC/Greust/Greust_Greet_02.ogg"",""Audio/Dialogue/NPC/Greust/Greust_Greet_03.ogg"",""Audio/Dialogue/NPC/Greust/Greust_Greet_04.ogg"",""Audio/Dialogue/NPC/Greust/Greust_Greet_05.ogg"",""Audio/Dialogue/NPC/Greust/Greust_Greet_06.ogg"",""Audio/Dialogue/NPC/Greust/Greust_Greet_07.ogg"",""Audio/Dialogue/NPC/Greust/Greust_Greet_08.ogg"",""Audio/Dialogue/NPC/Greust/Greust_Greet_09.ogg"",""Audio/Dialogue/NPC/Greust/Greust_Greet_10.ogg"",""Audio/Dialogue/NPC/Greust/Greust_Greet_11.ogg"",""Audio/Dialogue/NPC/Greust/Greust_Greet_12.ogg"",""Audio/Dialogue/NPC/Greust/Greust_Greet_13.ogg"",""Audio/Dialogue/NPC/Greust/Greust_Greet_14.ogg"",""Audio/Dialogue/NPC/Greust/Greust_Greet_15.ogg"",""Audio/Dialogue/NPC/Greust/Greust_Greet_16.ogg""]",[],100,[],[],[],[]
11,"Greust2","[""Audio/Dialogue/NPC/Greust/Greust_Goodbye_01.ogg"",""Audio/Dialogue/NPC/Greust/Greust_Goodbye_02.ogg"",""Audio/Dialogue/NPC/Greust/Greust_Goodbye_03.ogg"",""Audio/Dialogue/NPC/Greust/Greust_Goodbye_04.ogg"",""Audio/Dialogue/NPC/Greust/Greust_Goodbye_05.ogg"",""Audio/Dialogue/NPC/Greust/Greust_Goodbye_06.ogg"",""Audio/Dialogue/NPC/Greust/Greust_Goodbye_07.ogg"",""Audio/Dialogue/NPC/Greust/Greust_Goodbye_08.ogg"",""Audio/Dialogue/NPC/Greust/Greust_Goodbye_09.ogg"",""Audio/Dialogue/NPC/Greust/Greust_Goodbye_10.ogg"",""Audio/Dialogue/NPC/Greust/Greust_Goodbye_11.ogg"",""Audio/Dialogue/NPC/Greust/Greust_Goodbye_12.ogg"",""Audio/Dialogue/NPC/Greust/Greust_Goodbye_13.ogg""]","[2,2,2,4,4,4,3,3,3,3,4,4,4]",100,[],[],[],[]
12,"Silk1","[""Audio/Dialogue/NPC/Silk/S02a.ogg"",""Audio/Dialogue/NPC/Silk/S02b.ogg"",""Audio/Dialogue/NPC/Silk/S02c.ogg"",""Audio/Dialogue/NPC/Silk/S02d.ogg"",""Audio/Dialogue/NPC/Silk/S02e.ogg"",""Audio/Dialogue/NPC/Silk/S02f.ogg"",""Audio/Dialogue/NPC/Silk/S02g.ogg"",""Audio/Dialogue/NPC/Silk/S02h.ogg"",""Audio/Dialogue/NPC/Silk/S02i.ogg"",""Audio/Dialogue/NPC/Silk/S02j.ogg"",""Audio/Dialogue/NPC/Silk/S02k.ogg"",""Audio/Dialogue/NPC/Silk/S02l.ogg"",""Audio/Dialogue/NPC/Silk/S02m.ogg"",""Audio/Dialogue/NPC/Silk/S02n.ogg"",""Audio/Dialogue/NPC/Silk/S02o.ogg"",""Audio/Dialogue/NPC/Silk/S02p.ogg"",""Audio/Dialogue/NPC/Silk/S02q.ogg"",""Audio/Dialogue/NPC/Silk/S02r.ogg"",""Audio/Dialogue/NPC/Silk/S02s.ogg"",""Audio/Dialogue/NPC/Silk/S02t.ogg"",""Audio/Dialogue/NPC/Silk/S02u.ogg"",""Audio/Dialogue/NPC/Silk/S02v.ogg""]",[],100,[],[],[],[]
13,"Silk1b","[""Audio/Dialogue/NPC/Silk/S02d.ogg"",""Audio/Dialogue/NPC/Silk/S02e.ogg"",""Audio/Dialogue/NPC/Silk/S02f.ogg"",""Audio/Dialogue/NPC/Silk/S02g.ogg"",""Audio/Dialogue/NPC/Silk/S02h.ogg"",""Audio/Dialogue/NPC/Silk/S02i.ogg"",""Audio/Dialogue/NPC/Silk/S02j.ogg"",""Audio/Dialogue/NPC/Silk/S02k.ogg"",""Audio/Dialogue/NPC/Silk/S02l.ogg"",""Audio/Dialogue/NPC/Silk/S02m.ogg""]",[],100,[],[],[],[]
14,"Hargan1","[""Audio/Dialogue/NPC/Hargan/H14a.ogg"",""Audio/Dialogue/NPC/Hargan/H14b.ogg"",""Audio/Dialogue/NPC/Hargan/H14c.ogg"",""Audio/Dialogue/NPC/Hargan/H14d.ogg"",""Audio/Dialogue/NPC/Hargan/H14e.ogg"",""Audio/Dialogue/NPC/Hargan/H14f.ogg"",""Audio/Dialogue/NPC/Hargan/H14g.ogg"",""Audio/Dialogue/NPC/Hargan/H14h.ogg"",""Audio/Dialogue/NPC/Hargan/H14i.ogg"",""Audio/Dialogue/NPC/Hargan/H14j.ogg"",""Audio/Dialogue/NPC/Hargan/H14k.ogg"",""Audio/Dialogue/NPC/Hargan/H14l.ogg""]",[],100,[],[],[],[]
15,"Hargan2","[""Audio/Dialogue/NPC/Hargan/H27.ogg"",""Audio/Dialogue/NPC/Hargan/H27b.ogg"",""Audio/Dialogue/NPC/Hargan/H15_Bye_01.ogg"",""Audio/Dialogue/NPC/Hargan/H15_Bye_02.ogg"",""Audio/Dialogue/NPC/Hargan/H15_Bye_03.ogg"",""Audio/Dialogue/NPC/Hargan/H15_Bye_04.ogg"",""Audio/Dialogue/NPC/Hargan/H15_Bye_05.ogg"",""Audio/Dialogue/NPC/Hargan/H15_Bye_06.ogg"",""Audio/Dialogue/NPC/Hargan/H15_Bye_07.ogg"",""Audio/Dialogue/NPC/Hargan/H15_Bye_08.ogg"",""Audio/Dialogue/NPC/Hargan/H15_Bye_09.ogg""]",[],100,[],[],[],[]
16,"Act3Dialla1","[""Audio/Dialogue/NPC/Dialla/D01a.ogg"",""Audio/Dialogue/NPC/Dialla/D01a2.ogg"",""Audio/Dialogue/NPC/Dialla/D01b.ogg"",""Audio/Dialogue/NPC/Dialla/D01c.ogg"",""Audio/Dialogue/NPC/Dialla/D01d.ogg"",""Audio/Dialogue/NPC/Dialla/D01e.ogg""]",[],100,[],[],[],[]
17,"Act3Dialla2","[""Audio/Dialogue/NPC/Dialla/D02a.ogg"",""Audio/Dialogue/NPC/Dialla/D02b.ogg"",""Audio/Dialogue/NPC/Dialla/D02c.ogg"",""Audio/Dialogue/NPC/Dialla/D02d.ogg"",""Audio/Dialogue/NPC/Dialla/Goodbye_01.ogg"",""Audio/Dialogue/NPC/Dialla/Goodbye_02.ogg"",""Audio/Dialogue/NPC/Dialla/Goodbye_03.ogg"",""Audio/Dialogue/NPC/Dialla/Goodbye_04.ogg"",""Audio/Dialogue/NPC/Dialla/Goodbye_05.ogg"",""Audio/Dialogue/NPC/Dialla/Goodbye_06.ogg"",""Audio/Dialogue/NPC/Dialla/Goodbye_07.ogg""]",[],100,[],[],[],[]
18,"Maramoa1","[""Audio/Dialogue/NPC/Maramoa/M09_Greet_01.ogg"",""Audio/Dialogue/NPC/Maramoa/M09_Greet_02.ogg"",""Audio/Dialogue/NPC/Maramoa/M09_Greet_03.ogg"",""Audio/Dialogue/NPC/Maramoa/M09_Greet_04.ogg"",""Audio/Dialogue/NPC/Maramoa/M09_Greet_05.ogg"",""Audio/Dialogue/NPC/Maramoa/M09_Greet_06.ogg"",""Audio/Dialogue/NPC/Maramoa/M09_Greet_07.ogg"",""Audio/Dialogue/NPC/Maramoa/M09_Greet_08.ogg"",""Audio/Dialogue/NPC/Maramoa/M09_Greet_09.ogg"",""Audio/Dialogue/NPC/Maramoa/M09_Greet_10.ogg"",""Audio/Dialogue/NPC/Maramoa/M09_Greet_11.ogg"",""Audio/Dialogue/NPC/Maramoa/M09_Greet_12.ogg"",""Audio/Dialogue/NPC/Maramoa/M09_Greet_13.ogg"",""Audio/Dialogue/NPC/Maramoa/M09_Greet_14.ogg"",""Audio/Dialogue/NPC/Maramoa/M09_Greet_15.ogg"",""Audio/Dialogue/NPC/Maramoa/M09_Greet_16.ogg"",""Audio/Dialogue/NPC/Maramoa/M09_Greet_17.ogg"",""Audio/Dialogue/NPC/Maramoa/M09_Greet_18.ogg"",""Audio/Dialogue/NPC/Maramoa/M09_Greet_19.ogg"",""Audio/Dialogue/NPC/Maramoa/M09_Greet_20.ogg"",""Audio/Dialogue/NPC/Maramoa/M09_Greet_21.ogg"",""Audio/Dialogue/NPC/Maramoa/M09_Greet_22.ogg""]",[],100,[],[],[],[]
19,"Maramoa2","[""Audio/Dialogue/NPC/Maramoa/M10_Goodbye_01.ogg"",""Audio/Dialogue/NPC/Maramoa/M10_Goodbye_02.ogg"",""Audio/Dialogue/NPC/Maramoa/M10_Goodbye_03.ogg"",""Audio/Dialogue/NPC/Maramoa/M10_Goodbye_04.ogg"",""Audio/Dialogue/NPC/Maramoa/M10_Goodbye_05.ogg"",""Audio/Dialogue/NPC/Maramoa/M10_Goodbye_06.ogg"",""Audio/Dialogue/NPC/Maramoa/M10_Goodbye_07.ogg"",""Audio/Dialogue/NPC/Maramoa/M10_Goodbye_08.ogg"",""Audio/Dialogue/NPC/Maramoa/M10_Goodbye_09.ogg"",""Audio/Dialogue/NPC/Maramoa/M10_Goodbye_10.ogg"",""Audio/Dialogue/NPC/Maramoa/M10_Goodbye_11.ogg"",""Audio/Dialogue/NPC/Maramoa/M10_Goodbye_12.ogg"",""Audio/Dialogue/NPC/Maramoa/M10_Goodbye_13.ogg"",""Audio/Dialogue/NPC/Maramoa/M10_Goodbye_14.ogg"",""Audio/Dialogue/NPC/Maramoa/M10_Goodbye_15.ogg"",""Audio/Dialogue/NPC/Maramoa/M10_Goodbye_16.ogg"",""Audio/Dialogue/NPC/Maramoa/M10_Goodbye_17.ogg"",""Audio/Dialogue/NPC/Maramoa/M10_Goodbye_18.ogg"",""Audio/Dialogue/NPC/Maramoa/M10_Goodbye_19.ogg"",""Audio/Dialogue/NPC/Maramoa/M10_Goodbye_20.ogg"",""Audio/Dialogue/NPC/Maramoa/M10_Goodbye_21.ogg""]",[],100,[],[],[],[]
20,"Grigor1","[""Audio/Dialogue/NPC/Grigor/Gi6a.ogg"",""Audio/Dialogue/NPC/Grigor/Gi6b.ogg"",""Audio/Dialogue/NPC/Grigor/Gi6c.ogg"",""Audio/Dialogue/NPC/Grigor/Gi6f.ogg"",""Audio/Dialogue/NPC/Grigor/Gi6g.ogg"",""Audio/Dialogue/NPC/Grigor/Gi6h.ogg"",""Audio/Dialogue/NPC/Grigor/Gi6i.ogg""]",[],100,[],[],[],[]
21,"Grigor2","[""Audio/Dialogue/NPC/Grigor/Gi7a1.ogg"",""Audio/Dialogue/NPC/Grigor/Gi7a2.ogg"",""Audio/Dialogue/NPC/Grigor/Gi7a3.ogg"",""Audio/Dialogue/NPC/Grigor/Gi7b.ogg"",""Audio/Dialogue/NPC/Grigor/Gi7c1.ogg"",""Audio/Dialogue/NPC/Grigor/Gi7c2.ogg"",""Audio/Dialogue/NPC/Grigor/Gi7d.ogg"",""Audio/Dialogue/NPC/Grigor/Gi7e.ogg""]",[],100,[],[],[],[]
22,"Clarissa1","[""Audio/Dialogue/NPC/Clarissa/Greeting_01.ogg"",""Audio/Dialogue/NPC/Clarissa/Greeting_02.ogg"",""Audio/Dialogue/NPC/Clarissa/Greeting_03.ogg"",""Audio/Dialogue/NPC/Clarissa/Greeting_04.ogg"",""Audio/Dialogue/NPC/Clarissa/Greeting_05.ogg"",""Audio/Dialogue/NPC/Clarissa/Greeting_06.ogg"",""Audio/Dialogue/NPC/Clarissa/Greeting_07.ogg"",""Audio/Dialogue/NPC/Clarissa/Greeting_08.ogg"",""Audio/Dialogue/NPC/Clarissa/Greeting_09.ogg""]",[],100,[],[],[],[]
23,"Clarissa2","[""Audio/Dialogue/NPC/Clarissa/C10.ogg"",""Audio/Dialogue/NPC/Clarissa/C10b.ogg"",""Audio/Dialogue/NPC/Clarissa/C10c.ogg"",""Audio/Dialogue/NPC/Clarissa/C10d.ogg"",""Audio/Dialogue/NPC/Clarissa/C10e.ogg"",""Audio/Dialogue/NPC/Clarissa/C10f.ogg"",""Audio/Dialogue/NPC/Clarissa/C10g.ogg""]",[],100,[],[],[],[]
24,"Helena1","[""Audio/Dialogue/NPC/Helyna/Helena_Greet_01.ogg"",""Audio/Dialogue/NPC/Helyna/Helena_Greet_02.ogg""]",[],100,[],[],[],[]
25,"Helena2","[""Audio/Dialogue/NPC/Helyna/HF_01.ogg"",""Audio/Dialogue/NPC/Helyna/HF_02_01.ogg"",""Audio/Dialogue/NPC/Helyna/HF_02_02.ogg"",""Audio/Dialogue/NPC/Helyna/HF_02_03.ogg"",""Audio/Dialogue/NPC/Helyna/HF_03_01.ogg"",""Audio/Dialogue/NPC/Helyna/HF_03_02.ogg"",""Audio/Dialogue/NPC/Helyna/HF_03_03.ogg"",""Audio/Dialogue/NPC/Helyna/HF_04_01.ogg"",""Audio/Dialogue/NPC/Helyna/HF_04_02.ogg"",""Audio/Dialogue/NPC/Helyna/HF_04_03.ogg"",""Audio/Dialogue/NPC/Helyna/HF_05_01.ogg"",""Audio/Dialogue/NPC/Helyna/HF_05_02.ogg"",""Audio/Dialogue/NPC/Helyna/HF_05_03.ogg""]",[],100,[],[],[],[]
26,"Siosa1","[""Audio/Dialogue/NPC/Siosa/S01.ogg"",""Audio/Dialogue/NPC/Siosa/S01b.ogg"",""Audio/Dialogue/NPC/Siosa/S02.ogg"",""Audio/Dialogue/NPC/Siosa/S02b.ogg"",""Audio/Dialogue/NPC/Siosa/S03.ogg"",""Audio/Dialogue/NPC/Siosa/S03b.ogg"",""Audio/Dialogue/NPC/Siosa/S04.ogg"",""Audio/Dialogue/NPC/Siosa/S04b.ogg""]",[],100,[],[],[],[]
27,"Siosa2","[""Audio/Dialogue/NPC/Siosa/S05.ogg"",""Audio/Dialogue/NPC/Siosa/S05b.ogg"",""Audio/Dialogue/NPC/Siosa/S06.ogg"",""Audio/Dialogue/NPC/Siosa/S06b.ogg"",""Audio/Dialogue/NPC/Siosa/S07.ogg"",""Audio/Dialogue/NPC/Siosa/S07b.ogg"",""Audio/Dialogue/NPC/Siosa/S08.ogg"",""Audio/Dialogue/NPC/Siosa/S08b.ogg""]",[],100,[],[],[],[]
28,"Act3Fairgraves1","[""Audio/Dialogue/NPC/Fairgraves/Fairgraves_greeting1.ogg"",""Audio/Dialogue/NPC/Fairgraves/Fairgraves_greeting2.ogg"",""Audio/Dialogue/NPC/Fairgraves/Fairgraves_greeting3.ogg""]",[],100,[],[],[],[]
29,"Kira1","[""Audio/Dialogue/NPC/Kira/Hello_01.ogg"",""Audio/Dialogue/NPC/Kira/Hello_02.ogg"",""Audio/Dialogue/NPC/Kira/Hello_03.ogg"",""Audio/Dialogue/NPC/Kira/Hello_04.ogg"",""Audio/Dialogue/NPC/Kira/Hello_05.ogg"",""Audio/Dialogue/NPC/Kira/Hello_06.ogg"",""Audio/Dialogue/NPC/Kira/Hello_07.ogg"",""Audio/Dialogue/NPC/Kira/Hello_08.ogg""]",[],100,[],[],[],[]
30,"Kira2","[""Audio/Dialogue/NPC/Kira/Goodbye_01.ogg"",""Audio/Dialogue/NPC/Kira/Goodbye_02.ogg"",""Audio/Dialogue/NPC/Kira/Goodbye_03.ogg"",""Audio/Dialogue/NPC/Kira/Goodbye_04.ogg"",""Audio/Dialogue/NPC/Kira/Goodbye_05.ogg"",""Audio/Dialogue/NPC/Kira/Goodbye_06.ogg"",""Audio/Dialogue/NPC/Kira/Goodbye_07.ogg"",""Audio/Dialogue/NPC/Kira/Goodbye_08.ogg""]",[],100,[],[],[],[]
31,"Oyun1","[""Audio/Dialogue/NPC/Oyun/Oy08_A.ogg"",""Audio/Dialogue/NPC/Oyun/Oy08_B.ogg"",""Audio/Dialogue/NPC/Oyun/Oy08_C.ogg"",""Audio/Dialogue/NPC/Oyun/Oy08_D.ogg"",""Audio/Dialogue/NPC/Oyun/Oy08_E.ogg"",""Audio/Dialogue/NPC/Oyun/Oy08_F.ogg"",""Audio/Dialogue/NPC/Oyun/Oy08_G.ogg"",""Audio/Dialogue/NPC/Oyun/Oy08_H.ogg"",""Audio/Dialogue/NPC/Oyun/Oy08_I.ogg"",""Audio/Dialogue/NPC/Oyun/Oy08_J.ogg"",""Audio/Dialogue/NPC/Oyun/Oy08_K.ogg"",""Audio/Dialogue/NPC/Oyun/Oy08_L.ogg""]",[],100,[],[],[],[]
32,"Oyun2","[""Audio/Dialogue/NPC/Oyun/Oy09_A.ogg"",""Audio/Dialogue/NPC/Oyun/Oy09_B.ogg"",""Audio/Dialogue/NPC/Oyun/Oy09_C.ogg"",""Audio/Dialogue/NPC/Oyun/Oy09_D.ogg"",""Audio/Dialogue/NPC/Oyun/Oy09_E.ogg"",""Audio/Dialogue/NPC/Oyun/Oy09_F.ogg"",""Audio/Dialogue/NPC/Oyun/Oy09_G.ogg"",""Audio/Dialogue/NPC/Oyun/Oy09_H.ogg"",""Audio/Dialogue/NPC/Oyun/Oy09_I.ogg""]",[],100,[],[],[],[]
33,"PetarusVanja1","[""Audio/Dialogue/NPC/PetarusAndVanja/PetAndVan_Greeting_01.ogg"",""Audio/Dialogue/NPC/PetarusAndVanja/PetAndVan_Greeting_02.ogg"",""Audio/Dialogue/NPC/PetarusAndVanja/PetAndVan_Greeting_03.ogg"",""Audio/Dialogue/NPC/PetarusAndVanja/PetAndVan_Greeting_04.ogg"",""Audio/Dialogue/NPC/PetarusAndVanja/PetAndVan_Greeting_05.ogg"",""Audio/Dialogue/NPC/PetarusAndVanja/PetAndVan_Greeting_06.ogg"",""Audio/Dialogue/NPC/PetarusAndVanja/PetAndVan_Greeting_07.ogg"",""Audio/Dialogue/NPC/PetarusAndVanja/PetAndVan_Greeting_08.ogg"",""Audio/Dialogue/NPC/PetarusAndVanja/PetAndVan_Greeting_09.ogg"",""Audio/Dialogue/NPC/PetarusAndVanja/PetAndVan_Greeting_10.ogg"",""Audio/Dialogue/NPC/PetarusAndVanja/PetAndVan_Greeting_11.ogg"",""Audio/Dialogue/NPC/PetarusAndVanja/PetAndVan_Greeting_12.ogg""]",[],100,[],[],[],[]
