"rownum","MTX","TierThresholds","rid_32","[i32]_48","rid_64","TierCount","[rid]_84","[i32]_100","[i32]_116","bool_132","bool_133","rid_134","bool_150","[i32]_151"
38,3505,"[0,50,100,150,200,250,300,350]",562,[],563,8,[],[],[],"","","","",[]
39,3506,"[0,50,100,150,200,250,300,350]",568,[],569,8,[],[],[],"","","","",[]
40,3507,"[0,50,100,150,200,250,300,350]",565,[],566,8,[],[],[],"","","","",[]
41,3508,"[0,100,200,300,400,500,600,700]",15884,[],594,8,[],[],[],"","","","",[]
42,3509,"[0,50,100,150,200,250,300,350]",14446,[],16316,8,[],[],[],"","","","",[]
43,3650,"[0,50,100,150,200]",805,[],148,5,[],[],[],"","","","",[]
44,3649,"[0,50,100,150,200]",805,[],148,5,[],[],[],"","","","",[]
45,3648,"[0,50,100,150,200]",805,[],148,5,[],[],[],"","","","",[]
46,3651,"[0,50,100,150,200]",805,[],148,5,[],[],[],"","","","",[]
47,4407,"[0,10,20,30,40,50,60]",15180,[],"",7,[],[],[],"","","","",[]
48,3476,"[0,12,20,29]",15773,[],"",4,[],[],[],1,"","","",[]
49,3477,"[0,14,22,32]",15773,[],"",4,[],[],[],1,"","","",[]
50,3481,"[0,16,24,35]",15773,[],"",4,[],[],[],1,"","","",[]
51,3479,"[0,18,26,38]",15773,[],"",4,[],[],[],1,"","","",[]
52,3676,"[0,20,50,100]",15656,[],"",4,[],[],[],"","","","",[]
53,3678,"[0,20,50,100]",15656,[],"",4,[],[],[],"","","","",[]
54,3677,"[0,20,50,100]",15656,[],"",4,[],[],[],"","","","",[]
55,3679,"[0,20,50,100]",15656,[],"",4,[],[],[],"","","","",[]
56,3493,"[0,30,65,100,150,200]",1417,[],25,6,[],[],[],"","","","",[]
57,3708,"[0,10,20,30]",0,[],"",4,[],[],[],1,"","","",[]
58,3694,"[0,25,50,75]",235,[],172,4,[],[],[],"","","","",[]
59,3630,"[0,100000,1000000]",15258,[],"",3,[],[],[],1,"","","",[]
60,3745,"[0,18,26,38]",16451,[],"",4,[],[],[],1,"","","",[]
61,3742,"[0,16,24,35]",16451,[],"",4,[],[],[],1,"","","",[]
62,3744,"[0,12,20,29]",16451,[],"",4,[],[],[],1,"","","",[]
63,3743,"[0,14,22,32]",16451,[],"",4,[16504],[1],[4],1,"","","",[]
64,3734,"[1,34,70,90,120]",16645,[],117,5,[],[],[],"","","","",[]
65,3765,"[0,22,55,88]",235,[],172,4,[],[],[],"","","","",[]
66,3766,"[0,22,55,88]",235,[],172,4,[],[],[],"","","","",[]
67,3767,"[0,22,55,88]",235,[],172,4,[],[],[],"","","","",[]
68,3768,"[0,22,55,88]",235,[],172,4,[],[],[],"","","","",[]
69,3798,"[0,1]",359,[],"",2,[],[],[],"","","","",[]
70,4527,"[0,1,2]",360,[],"",3,[],[],[],"","","","",[]
71,3944,"[0,1000,5000,10000,15000,20000]",234,[],110,6,[],[],[],"","","","",[]
72,3902,"[0,18,26,38,38]",17395,[],17330,5,"[17463,17463,16776,17463]","[1,1,1,1]","[3,4,5,5]",1,"","","",[]
73,3899,"[0,16,24,35]",17395,[],17330,4,[],[],[],1,"","","",[]
74,3901,"[0,12,20,29]",17395,[],17330,4,[],[],[],1,"","","",[]
75,3900,"[0,14,22,32]",17395,[],17330,4,[],[],[],1,"","","",[]
76,3971,"[0,10,20,50,100,150,200]",17513,[],"",7,[],[],[],"","","","",[]
77,4011,"[1,1]",0,[],"",2,[],[],[],"","","",1,[]
78,4002,"[1,1]",0,[],"",2,[],[],[],"","","",1,[]
79,4006,"[1,1]",0,[],"",2,[],[],[],"","","",1,[]
80,4005,"[1,1]",0,[],"",2,"[19402,19402]","[0,1]","[1,2]","","","",1,[]
81,4001,"[1,1]",0,[],"",2,[],[],[],"","","","",[]
82,4045,"[1,1]",0,[],"",2,"[16663,16663]","[0,1]","[1,2]","","","",1,[]
83,4038,"[1,1]",0,[],"",2,[],[],[],"","","",1,[]
84,4058,"[1,1]",0,[],"",2,[],[],[],"","","",1,[]
85,4046,"[1,1]",0,[],"",2,[],[],[],"","","",1,[]
86,4081,"[1,1]",0,[],"",2,[],[],[],"","","",1,[]
87,6603,"[1,1]",0,[],"",2,[],[],[],"","","",1,[]
88,6608,"[1,1]",0,[],"",2,[],[],[],"","","",1,[]
89,6768,"[1,1,1,1]",0,[],"",4,[],[],[],"","","",1,[]
90,6774,"[1,1,1,1]",0,[],"",4,[],[],[],"","","",1,[]
91,6794,"[1,1,1]",0,[],"",3,[],[],[],"","","",1,[]
92,6795,"[1,1]",0,[],"",2,[],[],[],"","","",1,[]
93,6689,"[1,1]",0,[],"",2,"[21338,21338]","[0,4]","[1,2]","","","",1,[]
94,6812,"[0,0]",359,[],"",2,[],[],[],"","","","",[]
95,6813,"[0,0]",359,[],"",2,[],[],[],"","","","",[]
96,6814,"[0,0]",359,[],"",2,[],[],[],"","","","",[]
97,6815,"[0,0]",359,[],"",2,[],[],[],"","","","",[]
98,6786,"[0,0,0]",359,[],"",3,[],[],[],"","","","","[1,2,0]"
99,6835,"[0,0]",359,[],"",2,[20746],[1],[2],"","","","",[]
100,6805,"[0,0]",359,[],"",2,[],[],[],"","","",1,[]
101,6870,"[0,0,0]",359,[],"",3,[],[],[],"","","",1,[]
102,6895,"[1,1,1,1]",359,[],"",4,[],[],[],"","","",1,[]
103,6897,"[1,1]",359,[],"",2,[],[],[],"","","",1,[]
104,6898,"[1,1,1,1]",359,[],"",4,"[16663,16663,16663,16663]","[0,0,1,1]","[1,2,3,4]","","","",1,[]
105,6896,"[1,1]",359,[],"",2,[],[],[],"","","",1,[]
106,6869,"[0,0]",359,[],"",2,"[22690,22690]","[0,1]","[1,2]","","","",1,[]
107,6899,"[1,1,1,1]",359,[],"",4,[],[],[],"","","",1,[]
108,6900,"[1,1]",359,[],"",2,[],[],[],"","","",1,[]
109,6901,"[1,1]",359,[],"",2,[],[],[],"","","",1,[]
110,6902,"[1,1]",359,[],"",2,[],[],[],"","","",1,[]
111,6852,"[1,1]",359,[],"",2,[],[],[],"","","",1,[]
112,6809,"[1,1]",359,[],"",2,[15674],[1],[2],"","","",1,[]
113,6942,"[1,1]",359,[],"",2,[],[],[],"","","",1,[]
114,6971,"[1,1]",359,[],"",2,[],[],[],"","","",1,[]
115,6969,"[1,1]",359,[],"",2,[],[],[],"","","",1,[]
116,7005,"[1,1]",359,[],"",2,[],[],[],"","","",1,[]
117,7110,"[0,0]",359,[],"",2,"[16663,16663]","[0,1]","[1,2]","","","",1,[]
118,7063,"[0,0]",359,[],"",2,[],[],[],"","","",1,[]
119,7119,"[1,1]",359,[],"",2,[],[],[],"","","",1,[]
120,7113,"[1,1]",359,[],"",2,[],[],[],"","","",1,[]
121,7114,"[1,1]",359,[],"",2,[],[],[],"","","",1,[]
122,7115,"[1,1]",359,[],"",2,[],[],[],"","","",1,[]
123,7112,"[1,1]",359,[],"",2,[],[],[],"","","",1,[]
124,7169,"[1,1]",359,[],"",2,[],[],[],"","","",1,[]
125,7170,"[1,1]",359,[],"",2,[],[],[],"","","",1,[]
126,7204,"[1,1,1]",359,[],"",3,[],[],[],"","","",1,[]
127,7208,"[1,1]",359,[],"",2,[],[],[],"","","",1,[]
128,7209,"[1,1]",359,[],"",2,[],[],[],"","","",1,[]
129,7210,"[1,1]",359,[],"",2,[],[],[],"","","",1,[]
130,7211,"[1,1]",359,[],"",2,[],[],[],"","","",1,[]
131,7230,"[1,1]",359,[],"",2,[],[],[],"","","",1,[]
132,7224,"[1,1]",359,[],"",2,[],[],[],"","","",1,[]
133,7046,"[1,1]",359,[],"",2,[],[],[],"","","",1,[]
134,7479,"[1,1,1,1,1]",359,[],"",5,[],[],[],"","","",1,[]
135,7495,"[1,1,1]",359,[],"",3,[],[],[],"","","",1,[]
136,7501,"[1,1,1]",359,[],"",3,[],[],[],"","","",1,[]
137,7502,"[1,1,1]",359,[],"",3,[],[],[],"","","",1,[]
138,7503,"[1,1,1]",359,[],"",3,[],[],[],"","","",1,[]
139,7504,"[1,1,1]",359,[],"",3,[],[],[],"","","",1,[]
140,7482,"[1,1]",359,[],"",2,[],[],[],"","","",1,[]
141,7436,"[1,1]",359,[],"",2,[],[],[],"","","",1,[]
142,7297,"[1,1,1,1]",359,[],"",4,"[27243,27244,27245,27272,27243,27244,27245,27272,27243,27244,27245,27272,27243,27244,27245,27272]","[16,16,16,0,17,17,17,0,18,18,18,0,29,29,29,1]","[1,1,1,1,2,2,2,2,3,3,3,3,4,4,4,4]","","","",1,[]
143,7296,"[1,1]",359,[],"",2,"[27243,27244,27245,27243,27244,27245]","[14,14,14,15,15,15]","[1,1,1,2,2,2]","","","",1,[]
144,7298,"[1,1]",359,[],"",2,"[27243,27244,27245,27243,27244,27245]","[22,22,22,23,23,23]","[1,1,1,2,2,2]","","","",1,[]
145,7161,"[1,1]",359,[],"",2,"[22986,22986]","[1,0]","[1,2]","","","",1,[]
146,7311,"[1,1,1,1,1]",359,[],"",5,[],[],[],"","","",1,[]
147,7568,"[1,1,1,1,1]",359,[],"",5,"[21338,21338,21338,21338,21338,27272]","[22,23,24,25,30,1]","[1,2,3,4,5,5]","","","",1,[]
148,7544,"[1,1,1]",359,[],"",3,[],[],[],"","","",1,[]
149,7548,"[1,1]",359,[],"",2,[],[],[],"","","",1,[]
150,7291,"[0,0,0,0,0]",359,[],"",5,"[26393,26393,26393,26393,26393]","[0,1,2,3,4]","[1,2,3,4,5]","","","",1,[]
151,7592,"[1,1,1,1,1,1]",359,[],"",6,[],[],[],"","","",1,[]
152,7562,"[1,1]",359,[],"",2,[],[],[],"","","",1,[]
153,7563,"[1,1]",359,[],"",2,[],[],[],"","","",1,[]
154,7554,"[1,1]",359,[],"",2,[],[],[],"","","",1,[]
155,7558,"[1,1]",359,[],"",2,[],[],[],"","","",1,[]
156,7583,"[1,1]",359,[],"",2,[],[],[],"","","",1,[]
157,7579,"[1,1]",359,[],"",2,[],[],[],"","","",1,[]
158,7614,"[1,1,1]",359,[],"",3,[],[],[],"","","",1,[]
159,7623,"[1,1]",359,[],"",2,[],[],[],"","","",1,[]
160,7627,"[1,1]",359,[],"",2,[],[],[],"","","",1,[]
161,7637,"[1,1,1]",359,[],"",3,[],[],[],"","","",1,[]
162,7437,"[1,1]",359,[],"",2,"[27243,27244,27245,27243,27244,27245]","[19,19,19,20,20,20]","[1,1,1,2,2,2]","","","",1,[]
163,7653,"[1,1]",359,[],"",2,"[27243,27244,27245,27243,27244,27245]","[25,25,25,24,24,24]","[1,1,1,2,2,2]","","","",1,[]
164,7656,"[1,1,1]",359,[],"",3,[],[],[],"","","",1,[]
165,7661,"[1,1]",359,[],"",2,"[27181,27181]","[0,1]","[1,2]","","","",1,[]
166,7695,"[1,1,1]",359,[],"",3,[],[],[],"","","",1,[]
167,7696,"[1,1,1]",359,[],"",3,[],[],[],"","","",1,[]
168,7697,"[1,1,1]",359,[],"",3,[],[],[],"","","",1,[]
169,7652,"[1,1]",359,[],"",2,"[27258,27279,27258,27279]","[0,0,1,1]","[1,1,2,2]","","","",1,[]
170,7701,"[1,1]",359,[],"",2,[],[],[],"","","",1,[]
171,7705,"[1,1]",359,[],"",2,[],[],[],"","","",1,[]
172,7677,"[1,1,1]",359,[],"",3,[],[],[],"","","",1,[]
173,7681,"[1,1,1]",359,[],"",3,[],[],[],"","","",1,[]
174,7723,"[1,1,1]",359,[],"",3,[],[],[],"","","",1,[]
175,7604,"[1,1]",359,[],"",2,[],[],[],"","","",1,[]
176,7609,"[1,1,1,1,1]",359,[],"",5,"[27242,27242,27242,27242,27242]","[1,2,3,4,5]","[1,2,3,4,5]","","","",1,[]
177,7651,"[1,1]",359,[],"",2,[],[],[],"","","",1,[]
178,7764,"[1,1,1]",359,[],"",3,[],[],[],"","","",1,[]
