"rownum","Id","i32_8","i32_12","Rune","i32_32","i32_36","i32_40","i32_44","i32_48","bool_52","i32_53"
36,"33",3,2,27,30,100,0,56,0,"",4572
37,"34",3,1,19,8,100,0,56,0,"",4573
38,"35",3,3,10,15,100,0,56,0,"",4574
39,"36",3,2,13,30,100,0,56,0,"",4575
40,"37",3,2,15,28,100,0,56,0,"",4576
41,"38",3,3,14,17,100,0,56,0,"",4577
42,"39",3,2,7,17,100,0,56,0,"",4578
43,"40",3,1,16,25,100,0,56,0,"",4579
44,"41",3,1,4,44,100,0,56,0,"",4580
45,"43",3,3,5,24,100,0,56,0,"",4582
46,"44",3,2,8,8,100,0,56,0,"",4583
47,"45",3,3,27,23,79,0,56,0,"",4584
48,"46",3,1,24,44,100,0,56,0,"",4585
49,"47",3,3,16,55,100,0,56,0,"",4586
50,"48",3,2,23,33,78,0,56,0,"",4587
51,"49",3,1,6,100,100,0,56,0,"",4588
52,"50",3,3,6,30,100,0,56,0,"",4589
53,"54",3,3,15,30,78,0,56,0,"",4590
54,"55",4,2,21,12,74,0,504,0,"",4591
55,"56",4,1,30,65,100,0,56,0,"",4592
56,"57",4,4,4,12,74,0,56,0,"",4593
57,"58",4,2,11,12,74,0,56,0,"",4594
58,"59",4,3,14,24,100,0,56,0,"",4595
59,"60",4,2,18,15,100,0,56,0,"",4596
60,"61",4,4,27,44,78,0,56,0,"",4597
61,"62",4,4,12,45,100,0,56,0,"",4598
62,"63",4,4,6,100,100,0,56,0,"",4599
63,"64",4,2,27,30,100,0,56,0,"",4600
64,"65",4,1,8,15,100,0,56,0,"",4601
65,"66",4,1,16,45,100,0,56,0,"",4602
66,"67",4,1,7,24,100,0,56,0,"",4603
67,"68",4,3,28,24,100,0,56,0,"",4604
68,"69",4,1,18,15,100,0,56,0,"",4605
69,"70",4,1,24,15,100,0,56,0,"",4606
70,"71",4,1,23,15,100,0,56,0,"",4607
71,"72",4,1,9,50,100,0,56,0,"",4608
72,"73",4,2,30,45,100,0,56,0,"",4609
73,"74",4,1,17,50,100,0,56,0,"",4610
74,"75",4,4,22,15,100,0,56,0,"",4611
75,"76",4,3,32,35,100,0,56,0,"",4612
76,"77",4,2,15,38,100,0,56,0,"",4613
77,"78",5,1,19,65,100,0,724,0,"",4614
78,"79",5,5,26,44,100,0,56,0,"",4615
79,"80",5,4,6,45,100,0,56,0,"",4616
80,"81",5,3,27,75,100,0,56,0,"",4617
81,"82",5,1,12,75,100,0,56,0,"",4618
82,"83",5,4,8,55,100,0,56,0,"",4619
83,"84",5,2,0,72,100,0,56,0,"",4620
84,"85",5,2,8,70,100,0,56,0,"",4621
85,"86",5,2,26,65,100,0,56,0,"",4622
86,"87",5,1,7,70,100,0,56,0,"",4623
87,"88",5,2,14,65,100,0,56,0,"",4624
88,"89",5,2,5,65,100,0,56,0,"",4625
89,"90",5,1,16,65,100,0,56,0,"",4626
90,"91",5,2,23,65,100,0,56,0,"",4627
91,"92",5,2,21,65,100,0,56,0,"",4628
92,"93",5,2,1,65,100,0,56,0,"",4629
93,"94",5,3,10,65,100,0,56,0,"",4630
94,"95",5,2,9,65,100,0,56,0,"",4631
95,"96",5,3,29,70,100,0,56,0,"",4632
96,"97",5,5,14,75,100,0,56,0,"",4633
97,"98",5,3,23,70,100,0,56,0,"",4634
98,"99",5,3,32,55,100,0,56,0,"",4635
99,"100",5,2,15,44,100,0,56,0,"",4636
100,"101",6,1,30,70,100,0,948,0,"",4637
101,"102",6,1,7,78,100,0,56,0,"",4638
102,"103",6,2,13,78,100,0,56,0,"",4639
103,"104",6,4,18,78,100,0,56,0,"",4640
104,"105",6,3,26,78,100,0,56,0,"",4641
105,"106",6,6,31,78,100,0,56,0,"",4642
106,"107",6,6,32,78,100,0,56,0,"",4643
107,"108",6,1,4,78,100,0,56,0,"",4644
108,"109",6,2,23,75,100,0,56,0,"",4645
109,"110",6,3,16,75,100,0,56,0,"",4646
110,"111",6,1,0,75,100,0,56,0,"",4647
111,"112",6,1,1,75,100,0,56,0,"",4648
112,"113",6,1,2,75,100,0,56,0,"",4649
113,"114",6,1,19,65,100,0,56,0,"",4650
114,"115",6,1,9,75,100,0,56,0,"",4651
115,"116",6,1,31,75,100,0,56,0,"",4652
116,"117",6,3,23,75,100,0,56,0,"",4653
117,"118",6,3,12,75,100,0,56,0,"",4654
118,"119",6,3,8,75,100,0,56,0,"",4655
119,"120",6,5,32,75,100,0,56,0,"",4656
120,"121",6,2,15,75,100,0,56,0,"",4657
121,"122",6,3,32,65,100,0,56,0,"",4658
122,"123",6,4,32,78,100,0,56,0,"",4659
123,"124",7,3,4,75,100,0,1214,0,1,4660
124,"125",7,1,12,75,100,0,56,0,"",4661
125,"127",7,2,1,75,100,0,56,0,1,4663
126,"128",7,2,2,75,100,0,56,0,1,4664
127,"129",7,2,0,75,100,0,56,0,1,4665
128,"130",7,2,9,75,100,0,56,0,1,4666
129,"131",7,1,28,75,100,0,56,0,1,4667
130,"132",7,2,13,78,100,0,56,0,1,4668
131,"133",7,1,22,78,100,0,56,0,1,4669
132,"134",7,6,28,75,100,0,56,0,1,4670
133,"135",7,2,15,75,100,0,56,0,1,4671
134,"136",7,4,7,75,100,0,56,0,1,4672
135,"137",8,7,5,78,100,0,56,0,1,4673
136,"138",8,7,18,78,100,0,56,0,1,4674
137,"139",8,2,15,78,100,0,56,0,1,4675
138,"140",8,2,26,78,100,0,56,0,1,4676
139,"142",8,1,7,78,100,0,56,0,"",4678
140,"143",8,8,15,78,100,0,56,0,1,4679
141,"144",8,4,0,78,100,0,56,0,1,4680
142,"145",8,6,13,78,100,0,56,0,1,4681
143,"146",8,4,3,78,100,0,56,0,1,4682
144,"147",8,6,25,78,100,0,56,0,1,4683
145,"148",8,8,1,78,100,0,56,0,1,4684
146,"149",8,4,18,78,100,0,56,0,1,4685
147,"151",8,8,32,78,100,0,56,0,"",4687
148,"152",9,4,32,78,100,0,56,0,"",4688
149,"153",9,6,32,78,100,0,56,0,"",4689
150,"154",9,7,32,78,100,0,56,0,"",4690
151,"155",9,9,32,78,100,0,56,0,"",4691
152,"156",9,3,32,78,100,0,56,0,"",4692
153,"157",9,1,7,78,100,0,56,0,"",4693
154,"158",9,1,19,78,100,0,56,0,"",4694
155,"159",9,2,32,70,100,0,56,0,"",4695
156,"160",9,1,32,75,100,0,56,0,"",4696
157,"161",10,3,32,78,100,0,56,0,1,4697
158,"162",6,1,12,70,100,0,56,0,"",4698
159,"163",9,1,12,78,100,0,56,0,"",4699
160,"164",6,4,27,75,100,0,56,0,"",4700
161,"165",8,8,2,78,100,0,56,0,1,4701
162,"166",5,4,5,78,100,0,56,0,"",4702
