"rownum","Id","Name","GrantedEffect","SupportText","SupportText (French)","SupportText (German)","SupportText (Japanese)","SupportText (Korean)","SupportText (Portuguese)","SupportText (Russian)","SupportText (Spanish)","SupportText (Thai)","SupportText (Traditional Chinese)","SupportName","GemTags","Consumed_Mod","ItemColor","[rid]_84","AdditionalGrantedEffects","bool_116","bool_117","[i32]_118","i32_134","i32_138"
16,"ProjectileAccelerationSupportTwo","",581,"Supports [Projectile|Projectile] skills, making those [Projectile|Projectiles] travel faster, and granting them a chance to [Pierce] Enemies.","Modifie les aptitudes à [Projectile|Projectiles], permettant à ces [Projectile|Projectiles] de se déplacer plus rapidement et leur octroyant une chance de [Pierce|Transpercer] les ennemis.","Unterstützt [Projectile|Projektil]fertigkeiten, wodurch sich diese [Projectile|Projektile] schneller bewegen und ihnen eine Chance gewährt, Gegner zu [Pierce|durchbohren]","[Projectile|投射物]スキルをサポートし、そのスキルによる[Projectile|投射物]の飛行速度を上げ、一定確率で敵を[Pierce|貫通]するようにする。","[Projectile|투사체] 스킬에 적용됩니다. [Projectile|투사체]의 이동 속도가 빨라지고, 일정 확률로 적을 [Pierce|관통]합니다.","Reforça habilidades de [Projectile|projéteis], fazendo com que fiquem mais rápidos e concedendo uma chance de [Pierce|perfurar] inimigos.","Усиливает умения [Projectile|снарядов]. [Projectile|Снаряды] усиленных умений летят быстрее и с некоторым шансом могут [Pierce|пронзить] врагов.","Asiste habilidades de [Projectile|proyectiles] para que sus [Projectile|proyectiles] viajen más rápido, y les otorga una probabilidad de [Pierce|perforar] a los enemigos.","ใช้เสริมสกิล[Projectile|โพรเจกไทล์] เพื่อให้[Projectile|โพรเจกไทล์]ของสกิลนี้เดินทางเร็วขึ้น และมีโอกาส[Pierce|เจาะทะลุ]ศัตรู","輔助[Projectile|投射物]技能，使[Projectile|投射物]的行進更為快速，並賦予其一定機率[Pierce|穿透]敵人。","","[16,5]","",3,[],[],"","",[],-1,-1
17,"ProjectileAccelerationSupportThree","",582,"Supports [Projectile|Projectile] skills, making those [Projectile|Projectiles] travel faster, and causing increases and reductions to [Projectile] speed to also apply to Damage.","Modifie les aptitudes à [Projectile|Projectiles], permettant à ces [Projectile|Projectiles] de se déplacer plus rapidement et aux augmentations et réductions de Vitesse des [Projectile|Projectiles] de s'appliquer également aux dégâts.","Unterstützt [Projectile|Projektil]fertigkeiten, wodurch sich diese [Projectile|Projektile] schneller bewegen und Erhöhungen und Verringerungen der [Projectile|Projektil]geschwindigkeit auch auf den Schaden angewendet werden.","[Projectile|投射物]スキルをサポートし、そのスキルによる[Projectile|投射物]の飛行速度を上げ、[Projectile|投射物]スピードの増減のモッドがダメージにも適用されるようにする。","[Projectile|투사체] 스킬에 적용됩니다. [Projectile|투사체]의 이동 속도가 빨라지고, [Projectile|투사체] 속도에 적용되는 증가와 감소가 피해에도 적용됩니다.","Reforça habilidades de [Projectile|projéteis], fazendo com que fiquem mais rápidos e concedendo aumentos e reduções de velocidade de [Projectile|projétil] que também se aplicam ao dano.","Усиливает умения [Projectile|снарядов]. [Projectile|Снаряды] усиленных умений летят быстрее. Увеличения и уменьшения скорости [Projectile|снарядов] также влияют на урон.","Asiste habilidades de [Projectile|proyectiles] para que sus [Projectile|proyectiles] viajen más rápido, y para que los aumentos y las reducciones a la velocidad de los [Projectile|proyectiles] también se apliquen al daño.","ใช้เสริมสกิล[Projectile|โพรเจกไทล์] เพื่อให้[Projectile|โพรเจกไทล์]ของสกิลนี้เดินทางเร็วขึ้น และทำให้การเพิ่มและลด ความเร็วของ[Projectile|โพรเจกไทล์] ส่งผลต่อ ความเสียหาย เช่นกัน","輔助[Projectile|投射物]技能，使[Projectile|投射物]的行進更為快速，並使[Projectile|投射物]速度的增減也套用於傷害。","","[16,5]","",3,[],[],"","",[],-1,-1
18,"AddedColdDamageSupport","",583,"Supports any skill that deals damage, causing them to [Gain] [Cold] Damage but deal less [Fire] and [Lightning] Damage.","Modifie n'importe quelle aptitude qui inflige des dégâts, lui permettant de bénéficier de Dégâts de [Cold|Froid] [Gain|Rajoutés]. En contrepartie, elle inflige moins de Dégâts de [Fire|Feu] et de [Lightning|Foudre].","Unterstützt jede Fertigkeit, die Schaden verursacht, wodurch sie [Cold|Kälte]schaden [Gain|verursachen], aber weniger [Fire|Feuer]- und [Lightning|Blitz]schaden verursachen.","ダメージを与えるスキルをサポートし、[Cold|冷気]ダメージを[Gain|獲得]するようにするが、[Fire|火]ダメージと[Lightning|雷]ダメージを下げる","피해를 주는 모든 스킬에 적용됩니다. 스킬이 [Cold|냉기] 피해를 [Gain|획득]하지만 [Fire|화염] 피해와 [Lightning|번개] 피해는 줄어듭니다.","Reforça qualquer habilidade que cause dano, fazendo com que [Gain|ganhem] dano de [Cold|frio], mas causem menos dano de [Fire|fogo] e [Lightning|elétrico].","Усиливает любое умение, наносящее урон. Усиленные умения [Gain|приобретают] урон от [Cold|холода], но наносят меньше урона от [Fire|огня] и [Lightning|молнии].","Asiste cualquier habilidad que inflija daño para que [Gain|gane] daño de [Cold|hielo], pero infligirá menos daño de [Fire|fuego] y [Lightning|rayo].","ใช้เสริมสกิลที่สร้างความเสียหาย เพื่อให้สกิลนี้มีการ[Gain|เสริม]ความเสียหาย [Cold|น้ำแข็ง]\r\nแต่สร้างความเสียหาย [Fire|ไฟ]และ[Lightning|สายฟ้า] ลดลง อีก","輔助任何造成傷害的技能，使其[Gain|獲得][Cold|冰冷]傷害，但造成更少[Fire|火焰]和[Lightning|閃電]傷害。","","[16,1]","",3,[],[],"","",[],-1,-1
19,"HeightenedAccuracySupport","",584,"Supports [Attack|Attacks], causing them to gain [Accuracy].","Modifie les [Attack|Attaques], leur faisant gagner de la [Accuracy|Précision].","Unterstützt [Attack|Angriffe], wodurch sie [Accuracy|Genauigkeit] erhalten.","[Attack|アタック]をサポートし、そのスキルに[Accuracy|命中]を付与する。","[Attack|공격]에 적용됩니다. [Attack|공격]의 정확도가 올라갑니다.","Reforça [Attack|ataques], fazendo com que ganhem [Accuracy|precisão].","Усиливает [Attack|атаки], повышая их [Accuracy|меткость].","Asiste [Attack|ataques] y les otorga [Accuracy|precisión].","ใช้เสริมการ[Attack|โจมตี] เพื่อให้สกิลนี้มี[Accuracy|ความแม่นยำ]เพิ่มเติม","輔助[Attack|攻擊]，使其增加[Accuracy|命中]值。","","[16,13]","",3,[],[],"","",[],-1,-1
20,"HeightenedAccuracySupportTwo","",585,"Supports [Attack|Attacks], causing them to gain [Accuracy], and never miss against Enemies on full Life.","Modifie les [Attack|Attaques], leur faisant gagner de la [Accuracy|Précision] et leur permettant de ne jamais manquer les ennemis dont la Vie est pleine.","Unterstützt [Attack|Angriffe], wodurch sie [Accuracy|Genauigkeit] erhalten und niemals bei Gegnern mit vollem Leben verfehlen.","[Attack|アタック]をサポートし、そのスキルが[Accuracy|命中]を獲得するようにし、フルライフ状態の敵に対して決して外さないようにする。","[Attack|공격]에 적용됩니다. [Attack|공격]의 정확도가 올라가고, 최대 생명력 상태인 적을 상대로 빗나가지 않습니다.","Reforça [Attack|ataques], fazendo com que ganhem [Accuracy|precisão] e sempre atinjam inimigos com vida cheia.","Усиливает [Attack|атаки], повышая их [Accuracy|меткость]. Усиленные умения не промахиваются по врагам с полным здоровьем.","Asiste [Attack|ataques], les otorga [Accuracy|precisión] y hace que no fallen nunca contra los enemigos que tienen la vida llena.","ใช้เสริมการ[Attack|โจมตี] เพื่อให้สกิลนี้มี[Accuracy|ความแม่นยำ]เพิ่มเติม และจะไม่พลาดเป้าต่อศัตรูที่มี พลังชีวิตเต็ม","輔助[Attack|攻擊]，使其增加[Accuracy|命中]且必定命中滿血敵人。","","[16,13]","",3,[],[],"","",[],-1,-1
21,"MagnifiedAreaSupport","",586,"Supports any skill with an area of effect, making it larger.","Modifie n'importe quelle aptitude qui a une zone d'effet, rendant cette dernière plus grande.","Unterstützt jede Fertigkeit mit einem Wirkungsbereich und vergrößert diesen.","効果範囲を持つスキルをサポートし、その効果範囲をより広くする。","효과 범위가 있는 모든 스킬에 적용되어, 효과 범위를 늘려 줍니다.","Reforça qualquer habilidade com área de efeito para torná-la maior.","Усиливает любое умение с областью действия, увеличивая её.","Asiste cualquier habilidad que tenga un área de efecto para hacerla más grande.","ใช้เสริมสกิลที่มีพื้นที่ส่งผล เพื่อให้สกิลนี้มีขนาดใหญ่ขึ้น","輔助任何有範圍效果的技能，使其範圍擴大。","","[16,14]","",3,[],[],"","",[],-1,-1
22,"MagnifiedAreaSupportTwo","",587,"Supports any skill with an area of effect, making it larger.","Modifie n'importe quelle aptitude qui a une zone d'effet, rendant cette dernière plus grande.","Unterstützt jede Fertigkeit mit einem Wirkungsbereich und vergrößert diesen.","効果範囲を持つスキルをサポートし、その効果範囲をより広くする。","효과 범위가 있는 모든 스킬에 적용되어, 효과 범위를 늘려 줍니다.","Reforça qualquer habilidade com área de efeito para torná-la maior.","Усиливает любое умение с областью действия, увеличивая её.","Asiste cualquier habilidad que tenga un área de efecto para hacerla más grande.","ใช้เสริมสกิลที่มีพื้นที่ส่งผล เพื่อให้สกิลนี้มีขนาดใหญ่ขึ้น","輔助任何有範圍效果的技能，使其範圍擴大。","","[16,14]","",3,[],[],"","",[],-1,-1
23,"AddedLightningDamageSupport","",588,"Supports any skill that deals damage, causing them to [Gain] [Lightning] Damage but deal less [Cold] and [Fire] Damage.","Modifie n'importe quelle aptitude qui inflige des dégâts, lui permettant de bénéficier de Dégâts de [Lightning|Foudre] [Gain|Rajoutés]. En contrepartie, elle inflige moins de Dégâts de [Cold|Froid] et de [Fire|Feu].","Unterstützt jede Fertigkeit, die Schaden verursacht, wodurch sie [Lightning|Blitz]schaden [Gain|verursachen], aber weniger [Cold|Kälte]- und [Fire|Feuer]schaden verursachen.","ダメージを与えるスキルをサポートし、[Lightning|雷]ダメージを[Gain|獲得]するようにするが、[Cold|冷気]ダメージと[Fire|火]ダメージを下げる","피해를 주는 모든 스킬에 적용됩니다. 스킬이 [Lightning|번개] 피해를 [Gain|획득]하지만 [Cold|냉기] 피해와 [Fire|화염] 피해는 줄어듭니다.","Reforça qualquer habilidade que cause dano, fazendo com que [Gain|ganhem] dano [Lightning|elétrico], mas causem menos dano de [Cold|frio] e [Fire|fogo].","Усиливает любое умение, наносящее урон. Усиленные умения [Gain|приобретают] урон от [Lightning|молнии], но наносят меньше урона от [Cold|холода] и [Fire|огня].","Asiste cualquier habilidad que inflija daño para que [Gain|gane] daño de [Lightning|rayo], pero infligirá menos daño de [Cold|hielo] y [Fire|fuego].","ใช้เสริมสกิลที่สร้างความเสียหาย เพื่อให้สกิลนี้มีการ[Gain|เสริม]ความเสียหาย [Lightning|สายฟ้า]\r\nแต่สร้างความเสียหาย [Cold|น้ำแข็ง]และ[Fire|ไฟ] ลดลง อีก","輔助任何造成傷害的技能，使其[Gain|獲得][Lightning|閃電]傷害，但造成更少[Cold|冰冷]和[Fire|火焰]傷害。","","[16,2]","",3,[],[],"","",[],-1,-1
24,"RaiseZombie","",34,"","","","","","","","","","","","[11,24,8,30,15]","",3,[],[],"","",[],-1,-1
25,"EfficiencySupport","",589,"Supports any skill, making it cost less to use. Cannot support skills which reserve [Spirit].","Modifie n'importe quelle aptitude, réduisant son coût d'utilisation. Ne peut pas modifier les aptitudes qui réservent de l'[Spirit|Esprit].","Unterstützt jede Fertigkeit, wodurch die Kosten für die Nutzung verringert werden. Kann keine Fertigkeiten unterstützen, die [Spirit|Wille] reservieren.","スキルをサポートし、その使用コストを低下させる。[Spirit|スピリット]をリザーブするスキルはサポートできない。","모든 스킬에 적용되어, 비용을 줄여 줍니다. [Spirit|정신력]을 점유하는 스킬에는 적용되지 않습니다.","Reforça qualquer habilidade, reduzindo o custo de uso. Não funciona com habilidades que reservam [Spirit|espírito].","Усиливает любое умение. Усиленные умения затрачивают меньше ресурсов на использование. Не может усиливать умения, удерживающие [Spirit|дух].","Asiste cualquier habilidad para que cueste menos usarla. No puede asistir habilidades que reserven [Spirit|espíritu].","ใช้เสริมสกิล เพื่อให้สกิลนี้มีค่าใช้งานลดลง อีก ไม่สามารถเสริม สกิลที่สำรอง[Spirit|พลังวิญญาณ] ได้","輔助任何技能，使其使用消耗減少。無法輔助保留[Spirit|精魂]的技能。","",[16],"",3,[],[],"","",[],-1,-1
26,"EfficiencySupportTwo","",590,"Supports any skill, making it cost less to use. Cannot support skills which reserve [Spirit].","Modifie n'importe quelle aptitude, réduisant son coût d'utilisation. Ne peut pas modifier les aptitudes qui réservent de l'[Spirit|Esprit].","Unterstützt jede Fertigkeit, wodurch die Kosten für die Nutzung verringert werden. Kann keine Fertigkeiten unterstützen, die [Spirit|Wille] reservieren.","スキルをサポートし、その使用コストを低下させる。[Spirit|スピリット]をリザーブするスキルはサポートできない。","모든 스킬에 적용되어, 비용을 줄여 줍니다. [Spirit|정신력]을 점유하는 스킬에는 적용되지 않습니다.","Reforça qualquer habilidade, reduzindo o custo de uso. Não funciona com habilidades que reservam [Spirit|espírito].","Усиливает любое умение. Усиленные умения затрачивают меньше ресурсов на использование. Не может усиливать умения, удерживающие [Spirit|дух].","Asiste cualquier habilidad para que cueste menos usarla. No puede asistir habilidades que reserven [Spirit|espíritu].","ใช้เสริมสกิล เพื่อให้สกิลนี้มีค่าใช้งานลดลง อีก ไม่สามารถเสริม สกิลที่สำรอง[Spirit|พลังวิญญาณ] ได้","輔助任何技能，使其使用消耗減少。無法輔助保留[Spirit|精魂]的技能。","",[16],"",3,[],[],"","",[],-1,-1
