"rownum","Character","i32_16","MeshList"
11,8,2,"[""body_meshShape"",""feet_meshShape"",""hands_meshShape"",""lowerArms_meshShape"",""lowerLegs_meshShape"",""neckBase_meshShape"",""upperArms_meshShape"",""upperLegs_meshShape""]"
12,1,0,"[""body_meshShape"",""head_meshShape"",""feet_meshShape"",""hands_meshShape"",""lowerArms_meshShape"",""lowerLegs_meshShape"",""neck_meshShape"",""neckBase_meshShape"",""upperArms_meshShape"",""upperLegs_meshShape""]"
13,1,1,"[""head_meshShape"",""neck_meshShape"",""neckBase_meshShape""]"
14,1,2,"[""body_meshShape"",""feet_meshShape"",""hands_meshShape"",""lowerArms_meshShape"",""lowerLegs_meshShape"",""neckBase_meshShape"",""upperArms_meshShape"",""upperLegs_meshShape""]"
15,7,0,"[""body_meshShape"",""head_meshShape"",""feet_meshShape"",""hands_meshShape"",""lowerArms_meshShape"",""lowerLegs_meshShape"",""neck_meshShape"",""neckBase_meshShape"",""upperArms_meshShape"",""upperLegs_meshShape""]"
16,7,1,"[""head_meshShape"",""neck_meshShape"",""neckBase_meshShape""]"
17,7,2,"[""body_meshShape"",""feet_meshShape"",""hands_meshShape"",""lowerArms_meshShape"",""lowerLegs_meshShape"",""neckBase_meshShape"",""upperArms_meshShape"",""upperLegs_meshShape""]"
18,3,0,"[""body_meshShape"",""head_meshShape"",""feet_meshShape"",""hands_meshShape"",""lowerArms_meshShape"",""lowerLegs_meshShape"",""neck_meshShape"",""neckBase_meshShape"",""upperArms_meshShape"",""upperLegs_meshShape""]"
19,3,1,"[""head_meshShape"",""neck_meshShape"",""neckBase_meshShape""]"
20,3,2,"[""body_meshShape"",""feet_meshShape"",""hands_meshShape"",""lowerArms_meshShape"",""lowerLegs_meshShape"",""neckBase_meshShape"",""upperArms_meshShape"",""upperLegs_meshShape""]"
21,9,0,"[""body_meshShape"",""head_meshShape"",""feet_meshShape"",""hands_meshShape"",""lowerArms_meshShape"",""lowerLegs_meshShape"",""neck_meshShape"",""neckBase_meshShape"",""upperArms_meshShape"",""upperLegs_meshShape""]"
22,9,1,"[""head_meshShape"",""neck_meshShape"",""neckBase_meshShape""]"
23,9,2,"[""body_meshShape"",""feet_meshShape"",""hands_meshShape"",""lowerArms_meshShape"",""lowerLegs_meshShape"",""neckBase_meshShape"",""upperArms_meshShape"",""upperLegs_meshShape""]"
24,5,0,"[""body_meshShape"",""head_meshShape"",""feet_meshShape"",""hands_meshShape"",""lowerArms_meshShape"",""lowerLegs_meshShape"",""neck_meshShape"",""neckBase_meshShape"",""upperArms_meshShape"",""upperLegs_meshShape""]"
25,5,1,"[""head_meshShape"",""neck_meshShape"",""neckBase_meshShape""]"
26,5,2,"[""body_meshShape"",""feet_meshShape"",""hands_meshShape"",""lowerArms_meshShape"",""lowerLegs_meshShape"",""neckBase_meshShape"",""upperArms_meshShape"",""upperLegs_meshShape""]"
27,11,0,"[""body_meshShape"",""head_meshShape"",""feet_meshShape"",""hands_meshShape"",""lowerArms_meshShape"",""lowerLegs_meshShape"",""neck_meshShape"",""neckBase_meshShape"",""upperArms_meshShape"",""upperLegs_meshShape""]"
28,11,1,"[""head_meshShape"",""neck_meshShape"",""neckBase_meshShape""]"
29,11,2,"[""body_meshShape"",""feet_meshShape"",""hands_meshShape"",""lowerArms_meshShape"",""lowerLegs_meshShape"",""neckBase_meshShape"",""upperArms_meshShape"",""upperLegs_meshShape""]"
30,4,0,"[""body_meshShape"",""head_meshShape"",""feet_meshShape"",""hands_meshShape"",""lowerArms_meshShape"",""lowerLegs_meshShape"",""neck_meshShape"",""neckBase_meshShape"",""upperArms_meshShape"",""upperLegs_meshShape""]"
31,4,1,"[""head_meshShape"",""neck_meshShape"",""neckBase_meshShape""]"
32,4,2,"[""body_meshShape"",""feet_meshShape"",""hands_meshShape"",""lowerArms_meshShape"",""lowerLegs_meshShape"",""neckBase_meshShape"",""upperArms_meshShape"",""upperLegs_meshShape""]"
33,10,0,"[""body_meshShape"",""head_meshShape"",""feet_meshShape"",""hands_meshShape"",""lowerArms_meshShape"",""lowerLegs_meshShape"",""neck_meshShape"",""neckBase_meshShape"",""upperArms_meshShape"",""upperLegs_meshShape""]"
34,10,1,"[""head_meshShape"",""neck_meshShape"",""neckBase_meshShape""]"
35,10,2,"[""body_meshShape"",""feet_meshShape"",""hands_meshShape"",""lowerArms_meshShape"",""lowerLegs_meshShape"",""neckBase_meshShape"",""upperArms_meshShape"",""upperLegs_meshShape""]"
