"rownum","Cutscene","i32_16","i32_20","rid_24","Script1","bool_48","Script2","bool_57"
27,5,4,0,"","",1,"",""
28,5,5,2000,"","globals.valdoNPC.PlayAnimation( idle_tinker_01 );\r\n","","",""
29,5,6,2500,"","","","triggerer.SetQuestFlag( PoEM_M1_11_EscortDominus ); globals.valdoportal.DirtyTransition(); globals.dominusNPC.DirtyStateMachine(); globals.valdoNPC.DirtyStateMachine();",""
30,5,7,100,"","","","triggerer.SetSessionQuestFlag( PoEM_a1q11_Valdos_Dominus_Complete );",""
31,6,0,1,"","triggerer.DisableRendering();","","SetPartySessionQuestFlag( PoEM_a1q9_FoundElderTomb );",""
32,6,1,0,"","",1,"",""
33,6,2,0,"","",1,"",""
34,6,3,0,"","",1,"",""
35,6,4,0,"","",1,"",""
36,6,5,0,"","",1,"",""
37,6,6,0,"","",1,"",""
38,6,7,0,"","",1,"",""
39,6,8,0,"","",1,"",""
40,6,9,0,"","",1,"",""
41,6,10,0,"","","","globals.M1_11Boss.SetStateTo( boss_intro, 1 ); globals.ElderPrisonRings.Transition(); globals.ElderPrisonBox.Transition();",""
42,6,11,2000,"","triggerer.DisableRendering();","","globals.ElderPortal.Transition(); globals.M1_11Boss.SetStateTo( boss_intro, 2 ); globals.M1_11Boss.SetStateTo( tentacle, 1 ); globals.ElderPrisonBox.SetStateTo( lockbox, 2 ); ",""
43,6,12,0,"","","","SetPartySessionQuestFlag( PoEM_M1_11_FoundVenarius); SetPartySessionQuestFlag( PoEM_M1_11_FailedVenarius); globals.M1_11Boss.SetStateTo( lifebar, 1 ); globals.M1_11Boss.SetStateTo( tentacle, 2 );",""
44,6,13,500,"","triggerer.EnableRendering(); globals.dominus_elderrun.DisableTargetable(); globals.Valdo_mission.DisableTargetable();","","this.Splayers = GetPlayers(); this.cutsceneWP2 = FindClosestObject( \""Metadata/Terrain/M_Act1/M1_11/Objects/CutsceneTarget_Waypoint2\"" ); Splayers.MoveToObject( this.cutsceneWP2 , force, 0, 0, true, true, true ); globals.M1_11Boss.SetStateTo( boss_intro, 3 ); globals.dominus_elderrun.SetStateTo( minion, 1 ); globals.Valdo_mission.SetStateTo( minion, 1 ); globals.M1_11Boss.SetStateTo( cameras, 2 );",""
45,7,0,0,"","",1,"EnableTeleport( 3 );",""
46,7,1,1500,"","","","this.cutsceneExit = FindClosestObject( \""Metadata/Terrain/M_Act1/M1_11/Objects/CutsceneDominus_Waypoint2\"" ); globals.dominus_elderrun.MoveToOverTime( this.cutsceneExit, 1.5, true, false, false );",""
47,7,2,0,"","",1,"globals.dominus_elderrun.SetStateTo( visible, 0 ); ",""
48,7,3,1500,"","","","this.cutsceneExit = FindClosestObject( \""Metadata/Terrain/M_Act1/M1_11/Objects/CutsceneValdo_Waypoint2\"" ); globals.Valdo_mission.MoveToOverTime(  this.cutsceneExit, 1.5, true, false, false );",""
49,7,4,10,"","","","globals.Valdo_mission.SetStateTo( visible, 0 ); SetPartyQuestFlag( PoEM_Act1_Boss_Defeated );",""
50,8,0,0,"","\t\tthis.ZCwaypoint = FindClosestObject( Metadata/Terrain/M_Act1/M1_Town/Objects/PoEMLab_ZanaEnd_WP );\r\n\t\tglobals.ChildZanaNPC.MoveToObject( this.ZCwaypoint, force, 0, 0, true, true );\t\r\n\t\tglobals.ChildZanaNPC.FaceObject( globals.valdotownNPC, true, false ); ",1,"",""
51,8,1,0,"","",1,"",""
52,8,2,0,"","",1,"",""
53,8,3,0,"","",1,"",""
