"rownum","Id","HASH16","Text","Text (French)","Text (German)","Text (Japanese)","Text (Korean)","Text (Portuguese)","Text (Russian)","Text (Spanish)","Text (Thai)","Text (Traditional Chinese)"
10,"UniqueDagger1",44922,"Divine intervention feels better\r\nwhen you do it yourself.","L'intervention divine a meilleur goût\r\nquand on s'en charge soi-même.","Göttliche Einmischung fühlt sich besser an, \r\nwenn man selbst Hand anlegen darf.","神格による介入は\r\n自分でやったほうが気分がいい。","신의 섭리를 직접 펼쳐보라,\r\n더 큰 유쾌함이 찾아올 것이다.","Intervenção divina é mais prazerosa\r\nquando ela parte de você.","Божий промысел особенно заметен,\r\nесли самому приложить к нему руку.","La Intervención divina se siente mejor \r\ncuando la llevas a cabo tú mismo.","การ​แทรกแซง​ของ​สิ่ง​ศักดิ์สิทธิ์\r\nมัน​ดู​ดี​ขึ้น​เมื่อ​ทำ​ด้วย​ตัวเอง","替天行道，大快人心，\r\n親手除惡，更是快意。"
11,"UniqueBow2",33951,"\""The wild takes care of its own.\""\r\n- Hyrri of the Karui","« La nature prend soin des siens. »\r\n– Hyrri, karuie","\""Die Natur kommt allein zurecht.\"" \r\n– Hyrri von den Karui","「自然は自らの面倒を見る」\r\n―カルイのハイリ","\""야생은 스스로 돕는다.\""\r\n- 카루이의 하이리","\""Os selvagens cuidam dos seus.\""\r\n- Hyrri dos Karui","«Природа сама о себе позаботится».\r\n- Хайрри из народа каруи","\""La naturaleza cuida de sí misma\"".\r\n-Hyrri de los Karui","\""ป่า​ย่อม​ดูแล​พวก​ของ​มัน​เสมอ\""\r\n- ไฮรี​แห่ง​คารุย","「荒野自有生存之道。」\r\n- 卡魯族西里"
12,"UniqueOneHandSword2",35385,"In the rift between future and past,\r\nlife passes quickly.","Dans la brèche entre le futur et le passé,\r\nla vie s'écoule rapidement.","Das Leben vergeht schnell in dieser Kluft \r\nzwischen Zukunft und Vergangenheit.","未来と過去の狭間では、\r\n生命は瞬く間に過ぎ去っていく。","미래와 과거 사이의 틈새로,\r\n인생은 쏜살같이 지나간다.","A vida passa rápido entre\r\na fenda do passado e do futuro.","Есть только миг между прошлым и будущим,\r\nименно он называется 'жизнь'.","En la grieta entre el futuro y el pasado, \r\nla vida se pasa rápido.","ใน​รอย​ต่อ​ระหว่าง​อนาคต​และ​อดีต\r\nชีวิต​ผ่าน​ไป​อย่าง​รวดเร็ว","古往今來，身處其中，\r\n人生轉瞬，荏苒匆匆。"
13,"UniqueHelmetDexInt1",37403,"It was a sliver of Malachai's soul\r\nthat animated the first Eternal Guardian.","C'est un éclat de l'âme de Malachai\r\nqui donna vie au premier Gardien éternel.","Es war ein Splitter von Malachais Seele, \r\nder dem ersten ewigen Wächter Leben einhauchte.","最初のエターナルガーディアンを動かしたのは\r\nマラカイの魂の欠片だった。","말라카이의 영혼 한 조각이\r\n첫 영원의 수호자를 태동하게 하였구나.","Bastou uma lasca da alma de Malachai\r\npara animar o primeiro Guardião Eterno.","За оживление первого Стража вечных\r\nМалахай заплатил осколком своей души.","Fue una parte del alma de Malachai\r\nla que animó al primer Guardián Eterno.","เศษ​จิตวิญญาณ​ของ​มาลาไค\r\nปลุกเสก​ผู้พิทักษ์​นิรันดร์​ตัว​แรก​ให้​เคลื่อนไหว","瑪拉凱的魂魄碎片，\r\n喚醒第一位永恆守衛。"
14,"UniqueHelmetStr1",60659,"Centuries of servitude, a day\r\nof glory, an eternity of death.","Des siècles de servitude,\r\nun jour de gloire,\r\nla mort pour l'éternité.","Jahrhunderte der Knechtschaft, \r\nein Tag des Ruhms, ewiger Tod.","何世紀もの隷属、一日の栄光、永遠の死。","수백년의 노예살이, 단 하루의 영광,\r\n영원의 죽음.","Séculos de servidão, um dia de glóra,\r\numa eternidade de morte.","Годы служения, миг славы\r\nи вечность смерти.","Siglos de servidumbre, un día\r\nde gloria, y una eternidad de muerte.","ตก​เป็น​ทาส​หลาย​ศตวรรษ\r\nรุ่งโรจน์​หนึ่ง​วัน ตาย​ชั่ว​นิรันดร์","榮華富貴享萬日，\r\n過眼雲煙又一世。"
15,"UniqueBow3",47824,"The mournful music of the strings,\r\nThe creaking arch, the arrow sings.\r\nA choking cry, a rattled breath,\r\nThe Reaper's Song, the Harp of Death.","Sur la triste musique de la corde,\r\nLe craquement de l'arc à la flèche s'accorde.\r\nUn cri étouffé, un souffle rauque,\r\nLe chant de la Faucheuse frappe sans équivoque.","Wehklagen wird sich der Saite entringen. \r\nDes Bogens Mühsal lässt den Pfeil hold singen. \r\nRasselnder Atem, gellender Schrei, \r\nein Lied des Grauens, des Todes Melodei.","悲しげな音が糸を伝う\r\n弧は軋み、矢は歌う\r\n咽た叫び、喘鳴の音\r\n死神の歌、死の竪琴","현의 음울한 선율,\r\n활은 공명하고 화살은 노래하는구나.\r\n터져나오는 단말마, 잦아드는 숨소리,\r\n사신의 노래이자, 죽음의 하프여.","A música triste das cordas,\r\nO ranger do arco, o canto da flecha.\r\nO choro angustiante pelo suspiro transborda\r\nA Morte canta, o portal fecha","Погребальная песня струн\r\nотдается в изгибе арфы,\r\nчто поет, отпустив стрелу\r\nотбирать жизнь у новых павших.","La apenada música de las cuerdas,\r\nEl arco cruje, la flecha canta.\r\nUn grito ahogado, un suspiro agitado,\r\nLa Canción de la Parca, el Arpa de la Muerte.","เพลงเศร้า​ของ​เครื่องสาย\r\nคัน​ศร​ลั่น ธนู​ร่ำร้อง\r\nเสียง​ร้อง​ระล่ำ​ระลัก ลมหายใจ​ระรัว\r\nเพลง​ของ​ยมทูต พิณ​แห่ง​ความตาย","萬里征途撫弦悼，\r\n號角起、羽矢嘯，唯聞百里傷殘號；\r\n一世戰魂撥琴梢，\r\n生靈息、干戈倒，只望七步亡魂招。"
16,"UniqueStaff1",33121,"Burn to cinders, scar and maim,\r\nRule a world, bathed in flame.","Calcinez, balafrez, mutilez,\r\nEt sur un monde en flammes vous régnerez.","Zu Asche verbrannt, Narben und Wunden, \r\nregieren eine Welt, von Feuer geschunden.","灰燼と帰し、傷つけ壊し、\r\n炎に包まれし世界を統治。","잿더미, 흉터, 상처를 남기고,\r\n화염에 휩싸여 세상을 지배하라.","Reduza a cinzas, deixe a sangrar\r\nConquiste o mundo e o faça queimar","Сжигай дотла всех, кто не с нами.\r\nПравь миром, что объяло пламя.","Quema hasta las cenizas, deja marcas y mutila,\r\nDomina el mundo, envuelto en llamas.","มอด​ไหม้​เป็น​เถ้า​ถ่าน ทิ้ง​แผล​ไว้​ชั่ว​กัลปาวสาน\r\nครอง​โลก​อย่าง​เนิ่น​นาน ล้าง​ผลาญ​ด้วย​ไฟ​เพลิง","燃為灰燼，崩裂焚解；\r\n斯是霸權，立於火焰。"
17,"UniqueTwoHandMace1",1531,"\""The crack of bone, the spray of blood.\r\nIs there sweeter music?\""\r\n- Hrimnor of the Ezomytes.","« Le craquement des os, le sang qui gicle...\r\nY a-t-il musique plus douce ? »\r\n– Hrimnor, ézomyte","\""Berstende Knochen, spritzendes Blut. \r\nGibt es eine süßere Melodie?\"" \r\n– Hrimnor von den Ezomyten","「骨の粉砕、血の飛沫。\r\nこれより心地よい音楽があろうか？」\r\n―エゾマイトのフリムナー","\""뼈가 으깨지고 피가 튀기는 것보다\r\n더 달콤한 음악이 있으랴?\""\r\n- 에조미어의 흐림노르.","\""O quebrar dos ossos, o esguichar do sangue.\r\nNão há música mais bela.\""\r\n- Hrimnor dos Ezomitas","«Хруст костей и бульканье крови.\r\nЭто ли не сладчайшая музыка?»\r\n- Гримнор из народа эзомитов","\""El crujir de un hueso, el rocío de la sangre. \r\n¿Existe música más dulce?\""\r\n- Hrimnor de los Ezomitas.","\""เสียง​กระดูก​ร้าว เสียง​เลือด​ที่​พวยพุ่ง\r\nเพลง​ใด​เล่า​จะ​รื่น​หู​กว่า​นี้\""\r\n- ฮริมนอร์​แห่งชาวเอโซไมต์","「碎骨濺血之聲\r\n豈非天籟悅耳之音？」\r\n- 艾茲麥人雷姆諾"
18,"UniqueTwoHandMace2",41704,"\""One quick tap is all the persuasion you'll need.\""\r\n- Archbishop Geofri of Phrecia Cathedral","« Une frappe brève, c'est tout ce qu'il faut pour persuader. »\r\n– Archevêque Geofri de la cathédrale de Phrécia","\""Ein kleiner Klaps, mehr Ermunterung braucht Ihr nicht.\"" \r\n– Erzbischof Geofri der Phrecia-Kathedrale","「軽く叩いてやる以上の説得は必要ない」\r\n―フレシア大聖堂の大司教ジェフリ","\""한 대만 살짝 쳐주면 설득 따윈 필요 없어.\""\r\n- 프레시아 대성당 대주교 조프리","\""Uma leve batida é persuasão o suficiente.\""\r\n- Arcebispo Geofri da Catedral Phrécia","«Упрямца можно убедить одним быстрым ударом».\r\n- Джофри, Старший блюститель Фрекии","\""Un solo golpecito es toda la persuasión que necesitarás\"".\r\n- Arzobispo Geofri de la Catedral de Phrecia","\""เจ้า​ก็​แค่​ชักชวน​ด้วย​การ​เคาะ​ให้​เร็ว​เท่านั้น​เอง\""\r\n- หัวหน้า​บาทหลวง​จ็อฟฟริ​แห่ง​วิหาร​ฟรีเชีย","「與其善誘苦勸，口若懸河，\r\n 不如二話不說，當頭棒喝。」\r\n- 費西亞大教堂的大主教吉爾菲"
19,"UniqueTwoHandSword1",27030,"\""Today, clansmen, my sword is my voice!\""\r\n- Rigwald, at the Battle of Glarryn","« Aujourd'hui, frères de clan, mon épée sera ma voix ! »\r\n– Rigwald, à la bataille de Glarryn","\""Heute, meine Stammesmitglieder, wird mein Schwert meine Stimme sein!\"" \r\n– Rigwald bei der Schlacht von Glarryn","「氏族の者達よ、今日、我が剣は我が声である！」\r\n―リグワルド、グラリンの戦いにて","\""동족이여, 오늘은 내 검이 곧 내 목소리다!\""\r\n- 리그월드, 글래린 전투에서","\""Meu clã, hoje, minha espada é minha voz!\""\r\n- Rigwald, na Batalha de Glarryn","«Кланы! Сегодня за меня скажет мой меч!»\r\n- Ригвальд, Битва на равнинах Гленнин","\""Hoy, hombres de mi clan, ¡mi espada es mi voz!\""\r\n- Rigwald, en la Batalla de Glarryn","\""เพื่อน​ร่วม​ชน​เผ่า​ของ​ข้า ใน​วัน​นี้ ดาบ​ของ​ข้า​คือ​เสียง​ของ​ข้า!\""\r\n- ริกวอลด์ ณ สนามรบแห่งกลาร์ริน","「族人啊，今朝我以利劍代空言！」\r\n- 瑞佛於格拉里恩之役"
20,"UniqueTwoHandSword2",35895,"Stoic visage, icy heart.\r\nLife of sorrow, lived apart.","Visage stoïque, cœur de glace.\r\nVie de tristesse, sans face à face.","Das Antlitz starr, ein Leben voll Leid. \r\nDas Herz aus Eis, durch Schmerz entzweit.","顔は平静、心は冷静。\r\n離れて暮らした悲しき生。","침착한 얼굴, 얼음장 같은 심장.\r\n멀리 떨어져 슬픔으로 점철된 삶이여.","Aspecto estoico, coração de gelo\r\nUma vida triste, vivida a ermo.","Упрямое лицо и твердый взгляд,\r\nно быть вдали от дома он не рад.","Mirada estoica, corazón helado.\r\nUna vida de tristeza, vivida separado.","ใบหน้า​ที่​วางเฉย หัวใจ​ที่​เย็นชา\r\nชีวิต​แห่ง​ความโศกเศร้า ไม่ได้​อยู่​ด้วย​กัน","清心寡慾無眷念，\r\n靜思無求斷牽連。"
21,"UniqueRing4",47327,"Where her mouth should have been\r\nthere was only a whirling, black void.","Là où aurait dû se trouver sa bouche,\r\nil n'y avait qu'un vide noir tourbillonnant.","Wo ihr Mund hätte sein sollen, \r\ngähnte nur wirbelnde, schwarze Leere.","彼女の口のあるべき場所にあったのは\r\n黒く渦巻く虚無のみだった。","입이 있어야 할 자리에는\r\n소용돌이치는 검은 공허만이 남았구나.","Onde deveria ser sua boca\r\nhavia apenas um buraco negro.","Где было место её рту\r\nклубилось чёрное ничто.","Donde debería haber estado su boca\r\nsolo había un turbulento y negro vacío.","ที่​ที่​ปาก​ของ​เธอ​ควร​อยู่\r\nมี​เพียง​ความว่างเปล่า​อัน​มืดมน​และ​ปั่นป่วน","望向她雙頰之間，\r\n徒見那無底深淵。"
22,"UniqueRing4x",30722,"\""Prototype #8 makes it difficult to think negatively, but two fatalities\r\nresulted when a lead researcher used an epithet in its presence.\""","« Le Prototype n° 8 bloque la plupart des pensées négatives de son porteur,\r\nmais deux morts prématurées sont survenues lorsqu'un chef de laboratoire\r\na employé une épithète injurieuse en sa présence. »","\""Prototyp Nr. 8 macht es schwierig, negativ zu denken, doch es gab zwei Todesfälle, \r\nnachdem ein führender Forscher in seiner Gegenwart einen Beinamen verwendete.\""","「プロトタイプ8号は否定的な思考を抑制するが、主任研究員がその前で暴言を吐いた時、二件の死亡事故が発生した」","\""프로토타입 #8은 부정적으로 생각하기가 힘들지만, 한 수석 연구원이 프로토타입\r\n근처에서 욕설을 뱉었을 때 두 명의 사망자가 발생했다.\""","\""Protótipo #8 traz um certo otimismo, mas duas fatalidades aconteceram quando um dos pesquisadores principais usou um epíteto em sua presença.\""","«Трудно думать о прототипе №8 негативно, но было два смертельных исхода\r\nпосле того, как ведущий исследователь произнёс эпитет в его присутствии».","\""El prototipo #8 hace que sea difícil tener pensamientos negativos, pero\r\ndos personas fallecieron cuando un investigador jefe dijo un epíteto en su presencia.\""","\""ต้นแบบ​หมายเลข 8 ทำให้​คิด​ใน​แง่ลบ​ได้​ยาก​นัก แต่​เกิด​การเสียชีวิต​สองรายเมื่อ​หัวหน้า​นักวิจัย​ใช้​คำหยาบคาย​ต่อ​หน้า​มัน\""","\""原型 #8 讓人很難消極地思考，但有兩次死亡\r\n一位首席研究員在其上使用了一個上標的結果。\"""
23,"UniqueRing5",62611,"Doryani stumbled into a realm of madness\r\nAnd awoke its Master.","Doryani tomba dans un royaume de folie\r\nEt en réveilla le maître.","Doryani stolperte in ein Reich des Wahnsinns \r\nund erweckte dessen Meister.","ドリヤニは狂気の領域に迷い込み、\r\nその主を目覚めさせた。","도리아니, 광기의 영역에 빠져\r\n그 주인을 깨우다.","Doryani num reino de loucura tropeçou\r\nE seu Mestre acordou.","Дориани наткнулся на царство безумия\r\nи пробудил его государя.","Doryani tropezó hacia un reino de locura\r\nY despertó a su Maestro.","ดอร์ยานี​ล่วง​ล้ำ​เข้าไป​ใน​ดินแดน​แห่ง​ความ​บ้าคลั่ง\r\nและ​ปลุก​ให้​นาย​ของ​มัน​ตื่น​ขึ้น​มา","多里亞尼誤闖狂亂之境，\r\n狂亂帝國之王因其甦醒。"
24,"UniqueQuiver1",60380,"Molten feathers, veiled spark,\r\nHissing arrows from the dark.","Plumes en fusion, étincelle voilée,\r\nDes flèches sifflent dans les sombres allées.","Federn verschmelzen, ein Funke wird entfacht.\r\nPfeile sirren, das Feuer in der Dunkelheit erwacht.","熔けた羽毛、隠れた火花\r\n闇の中から飛翔する矢。","깃털은 녹고 불꽃은 그림자에 숨어,\r\n어둠 속에서 화살만이 날아든다.","Penas derretidas, faísca oculta,\r\nFlechas que assoviam do escuro.","Стрел размытые черты,\r\nшепот их из темноты.","Plumas fundidas, escondidas chispean,\r\nFlechas que desde la oscuridad sisean.","ขน​หลอมเหลว ประกาย​ปกคลุม\r\nเสียง​ศร​ดัง​จาก​ความมืด","熾羽疾馳化濁影，\r\n烈矢奔騰照光明。"
25,"UniqueQuiver2",17809,"Seeing only foot soldiers, the Sarn Knights cast aside\r\ntheir heavy shields... and paid dearly for their mistake.","N'apercevant que des fantassins, les chevaliers de Sarn\r\njetèrent leurs lourds boucliers… et payèrent cher leur erreur.","Da die Ritter aus Sarn nur Fußsoldaten erblickten, \r\nlegten sie ihre Großschilde nieder \r\n... und bezahlten bitterlich für diesen Fehler.","敵は歩兵のみだとサーンの騎士たちは盾を捨て...\r\nその過ちの大きな代償を支払った。","보병만 있는 것을 본 사안 기사들은\r\n무거운 방패를 내려놓았지만... 이는 통한의 실수가 되었다.","Vendo apenas soldados rasos, os Cavaleiros de Sarn largaram\r\nseus escudos pesados... e pagaram o preço por seu erro.","Видя лишь пеших врагов, латники Сарна отбросили\r\nсвои тяжелые щиты… и дорого заплатили за эту ошибку.","Al ver solo soldados a pie, los Caballeros de Sarn dejaron\r\nsus pesados escudos... y pagaron caro por su error.","อัศวิน​แห่ง​ซาร์น​เห็น​เพียง​ทหารเดินเท้า จึง​ขว้าง​โล่​หนัก​ของ​ตน​ทิ้ง​ไป...\r\nและ​รับ​กรรม​จาก​ความผิดพลาด​ของ​ตน​อย่าง​สาสม","薩恩騎士只見步兵來襲，卸下重盾迎戰...\r\n結果誤判戰局，付出慘痛代價"
26,"UniqueAmulet3",3906,"The breath of life is yours to give.","Il vous appartient de donner le souffle de la vie.","Es ist an Euch, den Lebenshauch zu schenken.","生命の息吹は其方が与えよ。","생명의 숨결을 불어넣을 권능.","O fôlego da vida é seu.","Дыхание жизни можешь подарить.","El aliento de vida es tuyo para dar.","ลมหายใจ​ของ​ชีวิต​เป็น​สิ่ง​ที่​เจ้า​จะ​มอบ​ให้ ","藉此賦予你操控生命的權利。"
27,"UniqueAmulet5",6897,"\""Shoot first, ask no questions.\""\r\n- Karui wisdom","« Tire d'abord, pose aucune question. »\r\n– Proverbe karui","\""Feuere zuerst, stelle keine Fragen.\""\r\n– Weisheit der Karui","「まずは射て、質問はいらぬ」\r\n―カルイの知恵","\""묻지 말고 일단 쏴라.\""\r\n- 카루이 격언","\""Dispare primeiro, não faça perguntas.\""\r\n- Sabedoria Karui","«Сначала бей, потом говори».\r\n- Пословица каруи","\""Dispara primero, no hagas preguntas\"".\r\n- Sabiduría Karui","\""ยิง​ก่อน​ ไม่​ต้อง​ถาม\""\r\n- ภูมิปัญญา​คารุย","「無需多問，先發制人。」\r\n- 卡魯的戰爭哲學"
28,"UniqueAmulet5x",23563,"\""In testing, Prototype #9 had no effect on fired arrows. However,\r\nan unknown spell did destroy the entire firing chamber.\""","« Pendant la période de test, le Prototype n° 9 n'a eu aucun effet sur les flèches tirées en sa direction. Toutefois, un sort indéterminé a anéanti la salle de tir. »","\""Während der Tests zeigte Prototyp Nr. 9 keine Wirkung auf die gefeuerten Pfeile.\r\nJedoch hat ein unbekannter Zauber die gesamte Brennkammer zerstört.\""","「実験ではプロトタイプ9号は発射された矢に影響はなかった。\r\n一方で、知られざる呪文が射出室ごと破壊していた」","\""프로토타입 #9는 시험 결과 발사된 화살에는 효과가 없었다. 단,\r\n정체 모를 주문이 발사실 전체를 초토화하긴 했다.\""","\""Nos testes, o Protótipo #9 não reagiu a flechas disparadas. No entanto, uma magia desconhecida destruiu toda a câmara de projéteis.\""","«Во время испытания прототип № 9 не подействовал на летящие стрелы,\r\nно после неизвестное колдовство уничтожило целый стрелковый модуль».","\""En las pruebas, el Prototipo #9 no tuvo ningún efecto sobre las flechas disparadas. Sin embargo,\r\nun hechizo desconocido destruyó toda la sala de tiro.\""","\""ใน​การ​ทดสอบ ต้นแบบ​หมายเลข 9 ไม่มี​ผล​กับ​ศร​ที่​ยิง\r\nอย่างไร​ก็ตาม คาถา​ที่​เรา​ไม่รู้จัก​ได้​ทำลาย​ห้อง​ยิง​ศร​ทั้งหมด\""","測試階段時，原型 #9 對燃燒的箭矢沒有效果。但，\r\n一個未知的咒術摧毀了整個燃燒中的教堂。\"""
