"rownum","Id","bool_8","bool_9","QuestFlagEnter","QuestFlagComplete","bool_42","Icon","bool_51","Description","Description (French)","Description (German)","Description (Japanese)","Description (Korean)","Description (Portuguese)","Description (Russian)","Description (Spanish)","Description (Thai)","Description (Traditional Chinese)","[string]_60","[string]_60 (French)","[string]_60 (German)","[string]_60 (Japanese)","[string]_60 (Korean)","[string]_60 (Portuguese)","[string]_60 (Russian)","[string]_60 (Spanish)","[string]_60 (Thai)","[string]_60 (Traditional Chinese)","Rooms","string_92","bool_100"
10,"Merchant",1,"","","","","Art/2DArt/UIImages/InGame/Sanctum/MerchantIcon","","Contains Merchant","Contient un Marchand","Enthält Händler","商人がいる","상인 등장","Contém Comerciante","Содержит торговца","Contiene un mercader","มี แม่ค้า","含有商人","[""Merchant"",""Merchant"",""Merchant"",""Merchant""]","[""Marchand"",""Marchand"",""Marchand"",""Marchand""]","[""Händler"",""Händler"",""Händler"",""Händler""]","[""商人"",""商人"",""商人"",""商人""]","[""상인"",""상인"",""상인"",""상인""]","[""Comerciante"",""Comerciante"",""Comerciante"",""Comerciante""]","[""Торговец"",""Торговец"",""Торговец"",""Торговец""]","[""Mercader"",""Mercader"",""Mercader"",""Mercader""]","[""แม่ค้า"",""แม่ค้า"",""แม่ค้า"",""แม่ค้า""]","[""商人"",""商人"",""商人"",""商人""]",[],"",""
11,"LegendHonor",1,"","","","","Art/2DArt/UIImages/InGame/Sanctum/MarakethStatueIcon","","Awards a Shrine to restore Honour","Récompense par un Autel permettant de restaurer de l'Honneur","Enthält einen Schrein, der Ehre wiederherstellt","名誉を回復するための祭壇を授ける","명예를 회복하는 성소 등장","Recompensa com um altar que restaura Honra","Дарует алтарь для восстановления чести","Otorga un santuario que restaura tu honor","ให้ แท่นบูชา ที่มีไว้มอบเกียรติ","內含一座可恢復榮譽的聖壇","[""Honour Tabana"",""Honour Tabana"",""Honour Tabana"",""Honour Tabana""]","[""Honneur de Tabana"",""Honneur de Tabana"",""Honneur de Tabana"",""Honneur de Tabana""]","[""Ehrt Tabana"",""Ehrt Tabana"",""Ehrt Tabana"",""Ehrt Tabana""]","[""タバナの名誉"",""タバナの名誉"",""タバナの名誉"",""タバナの名誉""]","[""타바나 기리기"",""타바나 기리기"",""타바나 기리기"",""타바나 기리기""]","[""Honre Tabana"",""Honre Tabana"",""Honre Tabana"",""Honre Tabana""]","[""Почитание Табаны"",""Почитание Табаны"",""Почитание Табаны"",""Почитание Табаны""]","[""Honra a Tabana"",""Honra a Tabana"",""Honra a Tabana"",""Honra a Tabana""]","[""เชิดชูทาบาน่า"",""เชิดชูทาบาน่า"",""เชิดชูทาบาน่า"",""เชิดชูทาบาท่า""]","[""榮耀塔巴納"",""榮耀塔巴納"",""榮耀塔巴納"",""榮耀塔巴納""]",[],"",""
12,"LegendPledge",1,"","","","","Art/2DArt/UIImages/InGame/Sanctum/MarakethStatuePactIcon","","Awards a Pledge which can be accepted to change the Trial's Parameters","Récompense par un Serment qui peut être accepté pour changer les Paramètres de l'Épreuve","Enthält einen Schwur, der die Parameter der Prüfung verändert","試練のパラメーターを変更するために交わすことができる誓約を授ける","수락 시 시련의 수치를 변경해 주는 맹약 등장","Recompensa com um Compromisso que pode ser aceito para mudar os parâmetros da Provação","Дарует обет, который можно принять для изменения условий Испытания","Otorga una promesa que puedes aceptar para cambiar los parámetros de la prueba","ให้ คำมั่น ที่ยอมรับได้เพื่อปรับเปลี่ยนเงื่อนไขของบททดสอบ","內含一個誓約，接受後可改變試煉的參數","[""Pledge to Kochai"",""Pledge to Kochai"",""Pledge to Kochai"",""Pledge to Kochai""]","[""Serment de Kochai"",""Serment de Kochai"",""Serment de Kochai"",""Serment de Kochai""]","[""Schwur auf Kochai"",""Schwur auf Kochai"",""Schwur auf Kochai""]","[""コチャイへの誓い"",""コチャイへの誓い"",""コチャイへの誓い"",""コチャイへの誓い""]","[""코차이에 대한 서약"",""코차이에 대한 서약"",""코차이에 대한 서약"",""코차이에 대한 서약""]","[""Comprometa-se com Kochai"",""Comprometa-se com Kochai"",""Comprometa-se com Kochai"",""Comprometa-se com Kochai""]","[""Обет верности Кохаи"",""Обет верности Кохаи"",""Обет верности Кохаи"",""Обет верности Кохаи""]","[""Promesa a Kochai"",""Promesa a Kochai"",""Promesa a Kochai"",""Promesa a Kochai""]","[""ให้คำมั่นต่อโคไช"",""ให้คำมั่นต่อโคไช"",""ให้คำมั่นต่อโคไช"",""ให้คำมั่นต่อโคไช""]","[""向科柴起誓"",""向科柴起誓"",""向科柴起誓"",""向科柴起誓""]",[],"",""
13,"LegendWater",1,"","","","","Art/2DArt/UIImages/InGame/Sanctum/CurrencyRewardIcon","","Awards a Shrine to restore Honour and gain Sacred Water","Récompense par un Autel permettant de restaurer de l'Honneur et de gagner des Eaux sacrées","Enthält einen Schrein, der Ehre wiederherstellt und Heiliges Wasser gewährt","名誉を回復し、神聖な水が獲得できる祭壇を授ける","명예를 회복하고 신성한 물을 주는 성소 등장","Recompensa com um altar que restaura Honra e ganha Água Sagrada","Дарует алтарь для восстановления чести и получения святой воды","Otorga un santuario que restaura tu honor y te proporciona agua sagrada","ให้ แท่นบูชา ที่มีไว้มอบเกียรติและวารีศักดิ์สิทธิ์","內含一座可恢復榮譽與獲得神聖之水的聖壇","[""Honour Halani"",""Honour Halani"",""Honour Halani"",""Honour Halani""]","[""Honneur d'Halani"",""Honneur d'Halani"",""Honneur d'Halani"",""Honneur d'Halani""]","[""Ehrt Halani"",""Ehrt Halani"",""Ehrt Halani"",""Ehrt Halani""]","[""ハラニの名誉"",""ハラニの名誉"",""ハラニの名誉"",""ハラニの名誉""]","[""할라니 기리기"",""할라니 기리기"",""할라니 기리기"",""할라니 기리기""]","[""Honre Halani"",""Honre Halani"",""Honre Halani"",""Honre Halani""]","[""Почитание Халани"",""Почитание Халани"",""Почитание Халани"",""Почитание Халани""]","[""Honra a Halani"",""Honra a Halani"",""Honra a Halani"",""Honra a Halani""]","[""เชิดชูฮาลานี"",""เชิดชูฮาลานี"",""เชิดชูฮาลานี"",""เชิดชูฮาลานี""]","[""榮耀哈拉妮"",""榮耀哈拉妮"",""榮耀哈拉妮"",""榮耀哈拉妮""]",[],"",1
14,"LegendCurse",1,"","","","","Art/2DArt/UIImages/InGame/Sanctum/MarakethStatueCurseIcon","","Awards a Shrine that greatly restores Honour and burdens you with an Affliction","Récompense par un Autel qui restaure considérablement de l'Honneur et vous accable d'une Affliction","Enthält einen Schrein, der viel Ehre wiederherstellt und Euch mit einer Bürde versieht","名誉を大幅に回復し、不幸を負わせる祭壇を授ける","명예를 대폭 회복하고 고난을 부여하는 성소 등장","Recompensa com um altar que restaura muita Honra e te impõe uma Aflição","Дарует алтарь, восстанавливающий много чести и накладывающий на вас проклятие","Otorga un santuario que restaura enormemente tu honor y te aplica una desventaja","ให้ แท่นบูชา ที่มีไว้มอบเกียรติเป็นอย่างยิ่งและทำให้คุณได้รับทัณฑ์","內含一座可以大幅恢復榮譽的聖壇，並賦予你一個禁咒效果","[""Honour Ahkeli"",""Honour Ahkeli"",""Honour Ahkeli"",""Honour Ahkeli""]","[""Honneur d'Ahkeli"",""Honneur d'Ahkeli"",""Honneur d'Ahkeli"",""Honneur d'Ahkeli""]","[""Ehrt Ahkeli"",""Ehrt Ahkeli"",""Ehrt Ahkeli"",""Ehrt Ahkeli""]","[""アーケリの名誉"",""アーケリの名誉"",""アーケリの名誉"",""アーケリの名誉""]","[""아켈리 기리기"",""아켈리 기리기"",""아켈리 기리기"",""아켈리 기리기""]","[""Honre Ahkeli"",""Honre Ahkeli"",""Honre Ahkeli"",""Honre Ahkeli""]","[""Почитание Ахкели"",""Почитание Ахкели"",""Почитание Ахкели"",""Почитание Ахкели""]","[""Honra a Ahkeli"",""Honra a Ahkeli"",""Honra a Ahkeli"",""Honra a Ahkeli""]","[""เชิดชูอาเคลี"",""เชิดชูอาเคลี"",""เชิดชูอาเคลี"",""เชิดชูอาเคลี""]","[""榮耀阿卡莉"",""榮耀阿卡莉"",""榮耀阿卡莉"",""榮耀阿卡莉""]",[],"",""
15,"LegendBoon",1,"","","","","Art/2DArt/UIImages/InGame/Sanctum/MarakethStatueBoonIcon","","Awards a Shrine that restores Honour and grants you a Boon","Récompense par un Autel qui restaure de l'Honneur et vous octroie un Bienfait","Enthält einen Schrein, der Ehre wiederherstellt und Euch einen Segen gewährt","名誉を回復し、恩恵を付与する祭壇を授ける","명예를 회복하고 은혜를 부여하는 성소 등장","Recompensa com um altar que restaura Honra e te concede uma Dádiva","Дарует алтарь, восстанавливающий честь и дарующий благословение","Otorga un santuario que restaura tu honor y te aplica una ventaja","ให้ แท่นบูชา ที่มีไว้มอบเกียรติและพรให้กับคุณ","內含一座可恢復榮譽並賦予你一個恩惠的聖壇","[""Honour Orbala"",""Honour Orbala"",""Honour Orbala"",""Honour Orbala""]","[""Honneur d'Orbala"",""Honneur d'Orbala"",""Honneur d'Orbala"",""Honneur d'Orbala""]","[""Ehrt Orbala"",""Ehrt Orbala"",""Ehrt Orbala"",""Ehrt Orbala""]","[""オルバラの名誉"",""オルバラの名誉"",""オルバラの名誉"",""オルバラの名誉""]","[""오발라 기리기"",""오발라 기리기"",""오발라 기리기"",""오발라 기리기""]","[""Honre Orbala"",""Honre Orbala"",""Honre Orbala"",""Honre Orbala""]","[""Почитание Орбалы"",""Почитание Орбалы"",""Почитание Орбалы"",""Почитание Орбалы""]","[""Honra a Orbala"",""Honra a Orbala"",""Honra a Orbala"",""Honra a Orbala""]","[""เชิดชูออร์บาล่า"",""เชิดชูออร์บาล่า"",""เชิดชูออร์บาล่า"",""เชิดชูออร์บาล่า""]","[""榮耀奧爾巴拉"",""榮耀奧爾巴拉"",""榮耀奧爾巴拉"",""榮耀奧爾巴拉""]",[],"",""
16,"LegendRandom",1,"","","","","Art/2DArt/UIImages/InGame/Sanctum/MarakethStatueSpecialIcon","","Awards a Shrine that bestows the fickle Blessings of the Wind","Récompense par un Autel qui accorde les Bénédictions imprévisibles du Vent","Enthält einen Schrein, der den Segen der Winde gewährt","気まぐれな風の祝福を授ける祭壇を授ける","변화무쌍한 바람의 축복을 부여하는 성소 등장","Recompensa com um altar que te concede a instável Bênção dos Ventos","Дарует алтарь, одаряющий непостоянными благословениями ветра","Otorga un santuario que te concede la variable Bendiciones del viento","ให้ แท่นบูชา ที่มอบคำภาวนาแห่งสายลมที่ไม่แน่นอน","內含一座賜予不定的風之祝福的神殿","[""Honour Galai"",""Honour Galai"",""Honour Galai"",""Honour Galai""]","[""Honneur de Galai"",""Honneur de Galai"",""Honneur de Galai"",""Honneur de Galai""]","[""Ehrt Galai"",""Ehrt Galai"",""Ehrt Galai"",""Ehrt Galai""]","[""ガライの名誉"",""ガライの名誉"",""ガライの名誉"",""ガライの名誉""]","[""갈라이 기리기"",""갈라이 기리기"",""갈라이 기리기"",""갈라이 기리기""]","[""Honre Galai"",""Honre Galai"",""Honre Galai"",""Honre Galai""]","[""Почитание Галаи"",""Почитание Галаи"",""Почитание Галаи"",""Почитание Галаи""]","[""Honra a Galai"",""Honra a Galai"",""Honra a Galai"",""Honra a Galai""]","[""เชิดชูกาไล"",""เชิดชูกาไล"",""เชิดชูกาไล"",""เชิดชูกาไล""]","[""榮耀加萊"",""榮耀加萊"",""榮耀加萊"",""榮耀加萊""]",[],"",""
17,"WaterMajor",1,"","","","","Art/2DArt/UIImages/InGame/Sanctum/MoreHealingFountainIcon","","Awards a Large Sacred Water Fountain","Récompense par une grande Fontaine d'Eaux sacrées","Enthält einen großen Brunnen mit Heiligem Wasser","大きな神聖な水の泉を授ける","대형 신성한 물 분수 등장","Recompensa com uma Grande Fonte de Água Sagrada","Дарует большой фонтан со святой водой","Otorga una fuente de agua sagrada grande","ให้ น้ำพุวารีศักดิ์สิทธิ์ขนาดใหญ่","內含大型神聖之水噴泉","[""Fountain"",""Fountain"",""Fountain"",""Fountain""]","[""Fontaine"",""Fontaine"",""Fontaine"",""Fontaine""]","[""Brunnen"",""Brunnen"",""Brunnen"",""Brunnen""]","[""泉"",""泉"",""泉"",""泉""]","[""분수"",""분수"",""분수"",""분수""]","[""Fonte"",""Fonte"",""Fonte"",""Fonte""]","[""Фонтан"",""Фонтан"",""Фонтан"",""Фонтан""]","[""Fuente"",""Fuente"",""Fuente"",""Fuente""]","[""น้ำพุ"",""น้ำพุ"",""น้ำพุ"",""น้ำพุ""]","[""噴泉"",""噴泉"",""噴泉"",""噴泉""]",[],"",""
18,"WaterMinor",1,"","","","","Art/2DArt/UIImages/InGame/Sanctum/HealingFountainIcon","","Awards a Sacred Water Fountain","Récompense par une Fontaine d'Eaux sacrées","Enthält einen Brunnen mit Heiligem Wasser","神聖な水の泉を授ける","신성한 물 분수 등장","Recompensa com uma Fonte de Água Sagrada","Дарует фонтан со святой водой","Otorga una fuente de agua sagrada","ให้ น้ำพุวารีศักดิ์สิทธิ์","內含神聖之水噴泉","[""Fountain"",""Fountain"",""Fountain"",""Fountain""]","[""Fontaine"",""Fontaine"",""Fontaine"",""Fontaine""]","[""Brunnen"",""Brunnen"",""Brunnen"",""Brunnen""]","[""泉"",""泉"",""泉"",""泉""]","[""분수"",""분수"",""분수"",""분수""]","[""Fonte"",""Fonte"",""Fonte"",""Fonte""]","[""Фонтан"",""Фонтан"",""Фонтан"",""Фонтан""]","[""Fuente"",""Fuente"",""Fuente"",""Fuente""]","[""น้ำพุ"",""น้ำพุ"",""น้ำพุ"",""น้ำพุ""]","[""噴泉"",""噴泉"",""噴泉"",""噴泉""]",[],"",""
19,"Final",1,"","","","","Art/2DArt/UIImages/InGame/Sanctum/GargoyleBossIcon","","","","Enthält Varakath, den Wächsernen","蝋のヴァラカスがいる","창백한 바라카스 등장","","","","","含有蠟個男人瓦羅卡","[""Candlelit Chapel"",""Candlelit Chapel"",""Candlelit Chapel"",""Candlelit Chapel""]","[""Chapelle éclairée à la bougie"",""Chapelle éclairée à la bougie"",""Chapelle éclairée à la bougie"",""Chapelle éclairée à la bougie""]","[""Kerzenbeleuchtete Kapelle"",""Kerzenbeleuchtete Kapelle"",""Kerzenbeleuchtete Kapelle""]","[""蝋燭の灯された聖堂"",""蝋燭の灯された聖堂"",""蝋燭の灯された聖堂"",""蝋燭の灯された聖堂""]","[""촛불 켜진 예배당"",""촛불 켜진 예배당"",""촛불 켜진 예배당"",""촛불 켜진 예배당""]","[""Capela à Luz de Velas"",""Capela à Luz de Velas"",""Capela à Luz de Velas"",""Capela à Luz de Velas""]","[""Часовня при свечах"",""Часовня при свечах"",""Часовня при свечах"",""Часовня при свечах""]","[""Capilla con velas"",""Capilla con velas"",""Capilla con velas"",""Capilla con velas""]","[""ห้องสวดมนต์อาบแสงเทียน"",""ห้องสวดมนต์อาบแสงเทียน"",""ห้องสวดมนต์อาบแสงเทียน"",""ห้องสวดมนต์อาบแสงเทียน""]","[""燭火禮拜堂"",""燭火禮拜堂"",""燭火禮拜堂"",""燭火禮拜堂""]",[],"",""
20,"BronzeKey",1,"","","","","Art/2DArt/UIImages/InGame/Sanctum/BronzeKeyIcon","","Awards Bronze Key","Récompense par une Clé en bronze","Enthält einen Bronzeschlüssel","銅の鍵を授ける","동 열쇠 등장","Recompensa com uma Chave de Bronze","Дарует бронзовый ключ","Otorga una llave de bronce","ให้ กุญแจทองแดง","給予銅鑰匙作為獎勵","[""Bronze Key"",""Bronze Key"",""Bronze Key"",""Bronze Key""]","[""Clé en bronze"",""Clé en bronze"",""Clé en bronze"",""Clé en bronze""]","[""Bronzeschlüssel"",""Bronzeschlüssel"",""Bronzeschlüssel"",""Bronzeschlüssel""]","[""銅の鍵"",""銅の鍵"",""銅の鍵"",""銅の鍵""]","[""동 열쇠"",""동 열쇠"",""동 열쇠"",""동 열쇠""]","[""Chave de Bronze"",""Chave de Bronze"",""Chave de Bronze"",""Chave de Bronze""]","[""Бронзовый ключ"",""Бронзовый ключ"",""Бронзовый ключ"",""Бронзовый ключ""]","[""Llave de bronce"",""Llave de bronce"",""Llave de bronce"",""Llave de bronce""]","[""กุญแจทองแดง"",""กุญแจทองแดง"",""กุญแจทองแดง"",""กุญแจทองแดง""]","[""銅鑰匙"",""銅鑰匙"",""銅鑰匙"",""銅鑰匙""]",[],"",""
