"rownum","Id","MiscObjects","[rid]_20","i32_36","i32_40","i32_44","i32_48","i32_52","i32_56","i32_60","i32_64","bool_68","string_69","i32_77","bool_81","i32_82"
134,1112,[336],[],4,0,0,0,0,1,0,7,"","my_pustules",2,1,0
135,1113,[795],[],3,0,0,0,0,1,0,7,"","",2,"",0
136,1114,[796],[],4,0,0,0,0,1,0,7,"","",2,"",0
137,1115,[799],[],12,0,0,0,0,1,0,4,"","holy_walls",2,1,0
138,1116,[839],[],4,0,0,0,0,1,0,7,"","whirling_slashes",2,1,0
139,1117,[840],[],4,0,0,0,0,1,0,7,"","mycrystals",2,1,0
140,1118,[852],[],4,0,0,0,0,1,0,7,"","",2,"",0
141,1119,[853],[],4,0,0,0,0,1,0,7,"","my_crystals",2,1,0
142,1120,"[855,856,857,858]",[],4,0,0,0,0,1,0,7,"","pustules",2,1,0
143,1121,[863],[],4,0,0,0,0,1,0,7,"","my_crystals",2,1,0
144,1122,[864],[],4,0,0,0,0,1,0,7,"","my_crystals",2,1,0
145,1123,[854],[],4,0,0,0,0,1,0,7,"","my_crystals",2,1,0
146,1124,[337],[],4,0,0,0,0,1,0,7,"","my_pustules",2,1,0
147,1125,[778],[],4,0,0,0,0,1,0,4,"","all_my_traps",2,1,0
148,1126,[894],[],4,0,0,0,0,1,0,4,"","my_markers",2,1,0
149,1127,[924],[],4,0,0,0,0,1,0,7,"","my_walls",2,"",0
150,1128,[925],[],4,0,0,0,0,1,0,7,"","my_walls",2,"",0
151,1129,[454],[],4,0,0,0,0,1,0,7,"","my_solar_orbs",2,1,0
152,1130,[992],[],4,0,0,0,0,1,0,2,"","flamewall_fire",2,1,0
153,1131,"[859,860,861,862]",[],4,0,0,0,0,1,0,7,"","pustules",2,1,0
154,1132,[864],[],4,0,0,0,0,1,0,7,"","my_crystals",2,1,0
155,1133,[1006],[],4,0,0,0,0,1,0,7,"","",2,"",0
156,1134,[1023],[],3,0,0,0,0,1,0,7,"","OrbitBalls",2,1,0
157,1135,[1024],[],3,0,0,0,0,1,0,7,"","OrbitBalls",2,1,0
158,1136,[1039],[],4,0,0,0,0,1,0,2,"","lightning_rods",2,1,0
159,1137,"[1044,1045,1046]",[],4,0,0,0,0,1,0,7,"","my_runes",2,1,0
160,1138,[1069],[],4,0,0,0,0,1,0,7,"","lightning_spear",2,1,0
161,1139,[1090],[],4,0,0,0,0,1,0,7,"","",2,"",0
162,1140,[1091],[],4,0,0,0,0,1,0,7,"","blood_orb",2,"",0
163,1141,[1095],[],4,0,0,0,0,1,0,7,"","falling_swords",2,1,0
164,1142,[1097],[],4,0,0,0,0,1,0,7,"","mace_clones",2,1,0
165,1143,[1098],[],4,0,0,0,0,1,0,7,"","sword_clones",2,1,0
166,1144,[711],[],4,0,0,0,0,1,0,7,"","",2,"",0
167,1145,[720],[],4,0,0,0,0,1,0,7,"","lucky_object",2,1,0
168,1146,[1124],[],4,0,0,0,0,1,0,7,"","mypillars",2,1,0
169,1147,[1126],[],4,0,0,0,0,1,0,7,"","ice_mines",2,1,0
170,1148,[1096],[],4,0,0,0,0,1,0,7,"","",2,"",0
