"rownum","i32_0","f32_4","f32_8","bool_12","rid_13","bool_29","[rid]_30","rid_46","i32_62","i32_66","i32_70","i32_74","bool_78","bool_79","rid_80","rid_96","i32_112","bool_116","i32_117","i32_121","i32_125","i32_129","i32_133","i32_137","i32_141","bool_145","bool_146","i32_147","bool_151","bool_152","i32_153","i32_157"
34,40,600,0.53,1,"","",[],"",0,100,20,0,1,1,"","",0,"",65,0,0,0,100,10,0,1,"",-1,1,1,5,2
35,35,414,0.8,1,"","",[],"",0,100,30,0,1,1,"","",0,"",0,0,0,0,100,12,16,1,"",-1,"",1,5,0
36,36,740,0.4,1,"","",[],"",0,130,50,0,1,"","","",0,"",0,302,1000,0,33,6,12,1,"",-1,1,1,1,0
37,37,1200,0.7,1,"","",[],"",50,150,0,0,1,"","","",0,"",860,0,0,0,150,12,12,1,"",1,1,1,20,0
38,38,400,0.73,1,"","",[],"",10,120,-5,0,"","","","",0,"",0,0,0,0,100,5,5,1,"",-1,1,1,5,0
39,39,600,0.53,1,"",1,[],"",40,120,5,0,1,1,"","",0,"",0,0,0,0,33,6,6,1,"",-1,1,1,5,0
40,41,645.63,0.93,1,"","",[],"",0,120,60,0,1,"","","",0,"",120,0,0,0,100,0,0,1,"",-1,1,1,10,0
41,42,870,0.67,1,"","",[8053],"",30,120,50,0,1,"","","",0,"",152,0,0,0,33,6,0,1,"",-1,"",1,5,0
42,43,800,0.4,1,"",1,[],"",48,150,-8,0,"","","","",0,"",60,0,0,0,66,8,0,1,"",-1,1,1,5,0
43,44,700,0.53,"","","",[],"",0,120,10,0,"","","","",0,"",0,0,0,0,100,6,0,"","",-1,"",1,0,0
44,45,800,1,"","","",[],"",50,55,5,0,"",1,"","",0,"",0,0,0,0,0,8,16,"","",-1,"","",0,0
45,46,800,0.5,1,"","",[],"",0,120,50,0,1,"","","",0,"",0,150,200,0,100,8,16,1,"",-1,"",1,10,2
46,47,380,1.53,1,"",1,[],"",18,110,-15,0,"","","","",0,"",0,0,0,0,0,0,0,1,"",-1,"",1,10,2
47,48,600,1.26,1,"","",[],"",20,80,25,0,1,1,"","",0,"",600,0,0,0,0,0,0,1,"",-1,"",1,10,2
48,49,600,0.4,1,"","",[],"",40,100,5,0,"",1,"","",0,"",100,0,0,0,100,8,8,1,"",-1,"",1,10,2
49,50,1170,0.53,"","","",[],"",0,100,30,0,1,"","","",0,"",234,334,200,0,100,10,10,1,1,1,"",1,10,0
50,51,1200,0.7,1,"","",[],"",0,100,100,0,1,"","","",0,"",400,0,0,0,33,15,15,1,"",-1,"",1,10,0
51,52,1200,0.7,"","","",[],"",0,100,100,0,1,"","","",0,"",400,0,0,0,33,15,15,1,"",-1,"",1,10,0
52,53,1200,0.7,"","","",[],"",0,100,100,0,1,"","","",0,"",400,0,0,0,33,15,15,1,"",-1,"",1,10,0
53,54,1170,0.53,1,"",1,[],"",0,160,30,0,1,"","","",0,"",100,334,600,0,100,10,10,1,1,1,"",1,10,0
