"rownum","Id","Stats","StatValues","Description","Description (French)","Description (German)","Description (Japanese)","Description (Korean)","Description (Portuguese)","Description (Russian)","Description (Spanish)","Description (Thai)","Description (Traditional Chinese)","Name","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","i32_56","MapObjective","VisualIdentity","bool_92"
12,"EssenceOverrun",[25823],[1],"All [Rarity|Rare] monsters are [Essence] monsters","All [Rarity|Rare] monsters are [Essence] monsters","Alle [Rarity|seltenen] Monsters sind [Essence|Essenz]-Monster","全ての[Rarity|レア]モンスターが[Essence|エッセンス]モンスターになる","모든 [Rarity|희귀] 몬스터가 [Essence|에센스] 몬스터","Todos os monstros [Rarity|raros] são monstros de [Essence|essência]","Все [Rarity|редкие] монстры имеют [Essence|Сущность]","Todos los monstruos [Rarity|raros] son monstruos de [Essence|esencias]","มอนสเตอร์[Rarity|แรร์] ทุกตัวเป็น มอนสเตอร์[Essence|เอสเซนส์]","所有[Rarity|稀有]怪物皆為[Essence|精髓]怪物","Essence Trove","Essence Trove","Essenzschatz","エッセンスの貯蔵庫","에센스 발견물","Repositório de Essências","Кладезь Сущностей","Tesoro de esencias","ขุมเอสเซนส์","精髓寶藏",56,12,18,""
13,"StrongboxMonsterousTreasure","[2401,8680]","[24,-80]","Contains many extra [Strongbox|Strongboxes] with monsters waiting in ambush","Contains many extra [Strongbox|Strongboxes] with monsters waiting in ambush","Enthält viele zusätzliche [Strongbox|Tresore], in denen Monster im Hinterhalt lauern","モンスターが奇襲しようと中に潜んでいる[Storngbox|ストロングボックス]が追加で大量に出現する","다수의 추가 [Strongbox|금고]가 매복하여 기다리는 몬스터들과 함께 등장","Contém muitas [Strongbox|caixas-forte] adicionais com monstros à espreita","В области можно найти много дополнительных [Strongbox|ларцов] со ждущими в засаде монстрами","Contiene muchas [Strongbox|cajas fuertes] adicionales con monstruos que tienden emboscadas","มี[Strongbox|กล่องนิรภัย] เพิ่มเติมหลายใบ ที่มีมอนสเตอร์ดักซุ่มอยู่","含有許多額外[Strongbox|保險箱]和伏擊中的怪物","Monstrous Treasure","Monstrous Treasure","Monströser Schatz","モンストラストレジャー","무시무시한 보물","Tesouro Monstruoso","Чудовищное сокровище","Tesoro monstruoso","สมบัติมหึมา","巨大的寶物",56,11,19,""
14,"AzmeriSpiritGuide","[25824,21626,2699]","[1,100,1]","Contains an [AzmeriSpirit|Azmeri Spirit] that will be released when [SpiritPossessed|Possessed] Monsters are slain","Contains an [AzmeriSpirit|Azmeri Spirit] that will be released when [SpiritPossessed|Possessed] Monsters are slain","Enthält einen [AzmeriSpirit|Azmeri-Geist], der bei Tötung von [SpiritPossessed|besessenen] Monstern freigelassen wird","[SpiritPossessed|憑依]しているモンスターが倒された時に解放される[AzmeriSpirit|アズメリの精霊]が出現する","[SpiritPossessed|사로잡힌] 몬스터를 처치하면 방출되는 [AzmeriSpirit|아즈메리 혼백] 등장","Contém um [AzmeriSpirit|Espírito Azmeri] que será liberado quando monstros [SpiritPossessed|possuídos] forem mortos","В области можно встретить [AzmeriSpirit|духа азмири], который будет освобождён при убийстве [SpiritPossessed|одержимых] монстров","Contiene un [AzmeriSpirit|espíritu azmeri] que se libera cuando derrotas a los monstruos [SpiritPossessed|poseídos]","มีวิญญาณแอสเมรี ที่จะถูกปลดปล่อยเมื่อ มอนสเตอร์ที่ถูก[SpiritPossessed|เข้าสิง] ถูกสังหาร","含有一個會於被[SpiritPossessed|附身]的怪物被擊殺時釋放的[AzmeriSpirit|阿茲莫里魂靈]","Spirit Guide","Spirit Guide","Geistführer","精霊の導き","혼백 인도자","Guia Espiritual","Духовный проводник","Guía espiritual","วิญญาณนำทาง","魂靈指引",56,14,20,""
15,"MagicMonsters",[12814],[100],"All Monsters are at least [Rarity|Magic]","All Monsters are at least [Rarity|Magic]","Alle Monster sind mindestens [Rarity|magisch]","全てのモンスターは最低でも[Rarity|マジック]モンスターになる","모든 몬스터가 [Rarity|마법] 이상으로 등장","Todos os monstros são, no mínimo, [Rarity|mágicos]","Все монстры как минимум [Rarity|волшебные]","Todos los monstruos son al menos [Rarity|mágicos]","มอนสเตอร์ทุกตัว มีระดับความหายากอย่างน้อย [Rarity|เมจิก]","所有怪物至少為[Rarity|魔法]","Arcane Hordes","Arcane Hordes","Arkane Horden","アーケインの軍勢","비전 떼","Hordas Arcanas","Колдовские орды","Hordas arcanas","ฝูงอาคม","祕法群集",56,"",21,""
16,"RogueExileHuntingGrounds","[25341,2191,26208]","[5,2,1]","Contains 2 additional [RogueExile|Rogue Exiles] and 5 additional Rare Beasts","Contains 2 additional [RogueExile|Rogue Exiles] and 5 additional Rare Beasts","Enthält 2 zusätzliche [RogueExile|Abtrünnige Verbannte] und 5 zusätzliche seltene Bestien","[RogueExile|ローグエグザイル]が追加で2体およびレアの獣が追加で5体出現する","[RogueExile|탈주 유배자] 2명과 희귀 야수 5마리가 추가로 등장","Contêm 2 [RogueExile|Exilados Renegados] adicionais e 5 feras raras adicionais","В области можно встретить 2 дополнительных [RogueExile|бродячих изгнанников] и 5 дополнительных редких зверей","Contiene 2 [RogueExile|exiliados renegados] adicionales y 5 bestias raras adicionales\t","มี[RogueExile|เอ็กไซล์อันธพาล] เพิ่มเติม 2 ตัว และ สัตว์ร้ายแรร์ เพิ่มเติม 5 ตัว","含有額外2名[RogueExile|盜賊流亡者]和5隻稀有野獸","Hunting Grounds","Hunting Grounds","Jagdgründe","狩猟場","사냥터","Campos de Caça","Охотничьи угодья","Terrenos de caza","พื้นที่ออกล่า","獵場",56,13,22,""
17,"ShrinesReaseSpirits","[25155,2402]","[100,2]","Contains 2 additional [Shrine|Shrines]\n[Shrine|Shrines] release an [AzmeriSpirit|Azmeri Spirit] when activated","Contains 2 additional [Shrine|Shrines]\n[Shrine|Shrines] release an [AzmeriSpirit|Azmeri Spirit] when activated","Enthält 2 zusätzliche [Shrine|Schreine]\n[Shrine|Schreine] lassen bei Aktivierung einen [AzmeriSpirit|Azmeri-Geist] frei","[Shrine|シュライン]が追加で2個出現する\n[Shrine|シュライン]は起動された時に[AzmeriSpirit|アズメリの精霊]を解放する","[Shrine|성소] 2개 추가 등장\n[Shrine|성소]가 활성화될 때 [AzmeriSpirit|아즈메리 혼백] 방출","Contém 2 [Shrine|altares] adicionais\n[Shrine|Altares] liberam um [AzmeriSpirit|Espírito Azmeri] quando ativados","В области можно найти 2 дополнительных [Shrine|алтаря]\n[Shrine|Алтари] при активации выпускают [AzmeriSpirit|духа азмири]","Contiene 2 [Shrine|santuarios] adicionales\nLos [Shrine|santuarios] liberan un [AzmeriSpirit|espíritu azmeri] cuando se activan","มี[Shrine|แท่นบูชา] เพิ่มเติม 2 แท่น\n[Shrine|แท่นบูชา] ปลดปล่อย [AzmeriSpirit|วิญญาณแอสเมรี] 1 ตน เมื่อใช้งาน","含有額外2座會在啟動時釋放一個[AzmeriSpirit|阿茲莫里魂靈]的[Shrine|神殿]","Nature Shrines","Nature Shrines","Schreine der Natur","自然のシュライン","자연 성소","Altares da Natureza","Природные алтари","Santuarios de la naturaleza","แท่นบูชาธรรมชาติ","自然神殿",56,10,23,""
18,"EssenceTwinned","[15817,4678]","[1,3]","Contains 3 additional [Essence] Packs\n[Essence] Packs have an additional [Rarity|Rare] Monster","Contains 3 additional [Essence] Packs\n[Essence] Packs have an additional [Rarity|Rare] Monster","Enthält 3 zusätzliche [Essence|Essenzen]\n[Essence|Essenz]-Gruppen im Gebiet enthalten ein zusätzliches [Rarity|seltenes] Monster","[Essence|エッセンス]が追加で3パック出現する\nエリアの[Essence|エッセンス]パックに[Rarity|レア]モンスターが追加で1体出現する","[Essence|에센스] 무리 3개 추가 등장\n[Essence|에센스] 무리에 추가 [Rarity|희귀] 몬스터 생성","Contém 3 grupos de [Essence|essência] adicionais\nGrupos de [Essence|essência] contêm um monstro [Rarity|raro] adicional","В области можно встретить 3 дополнительные группы монстров с [Essence|Сущностью]\nГруппы монстров с [Essence|Сущностью] в области включают дополнительного [Rarity|редкого] монстра","Contiene 3 grupos de [Essence|esencias] adicionales\nLos grupos de [Essence|esencias] del área contienen un monstruo [Rarity|raro] adicional","มีกองมอนสเตอร์[Essence|เอสเซนส์] เพิ่มเติม 3 กอง\nกองมอนสเตอร์[Essence|เอสเซนส์] ในด่านมี มอนสเตอร์[Rarity|แรร์] เพิ่มเติม 1 ตัว","含有額外3個[Essence|精髓]怪物群\n[Essence|精髓]怪物群含有一名額外[Rarity|稀有]怪物","Crystalised Twinning","Crystalised Twinning","Kristallisierter Zwilling","結晶化した双子","결정화된 결연","Geminação Cristalizada","Кристальный двойник","Duplicación cristalizada","คริสตัลแฝด","晶化雙生",56,12,25,""
19,"EssenceTransfer","[25420,4678]","[100,3]","Contains 3 additional [Essence]\n[Essence|Essences] transfer to a random Unique Monster on death","Contains 3 additional [Essence]\n[Essence|Essences] transfer to a random Unique Monster on death","Enthält 3 zusätzliche [Essence|Essenzen]\n[Essence|Essenzen] werden bei Tod auf ein zufälliges einzigartiges Monster übertragen","[Essence|エッセンス]が追加で3個出現する\n[Essence|エッセンス]は死亡時にランダムなユニークモンスターに転移する","[Essence|에센스] 3개 추가 등장\n죽으면 [Essence|에센스]가 무작위 고유 몬스터에게 옮겨 감","Contém 3 [Essence|essências] adicionais\n[Essence|Essências] são transferidas para um monstro único aleatório ao morrer","В области можно найти 3 дополнительные [Essence|Сущности]\n[Essence|Сущности] при смерти переходят в случайного уникального монстра","Contiene 3 [Essence|esencias] adicionales\nLas [Essence|esencias] se transfieren a un monstruo único aleatorio al morir","มีกองมอนสเตอร์[Essence|เอสเซนส์] เพิ่มเติม 3 กอง\n[Essence|เอสเซนส์] ย้ายไปยัง มอนสเตอร์ยูนิคแบบสุ่ม 1 ตัว เมื่อตาย","含有額外3個[Essence|精髓]怪物群\n[Essence|精髓]會於死亡時轉化為一名隨機傳奇怪物","Indomitable Essence","Indomitable Essence","Unbezwingbare Essenz","不屈のエッセンス","불굴의 에센스","Essência Indomável","Неукротимая сущность","Esencia indómita","เอสเซนส์ไร้พ่าย","不屈精髓",56,12,26,""
20,"AzmeriSpiritHighPower","[24846,2699]","[1000,2]","Contains 2 additional [AzmeriSpirit|Azmeri Spirits]\n[AzmeriSpirit|Azmeri Spirits] have 1000% increased maximum Empowerment ","Contains 2 additional [AzmeriSpirit|Azmeri Spirits]\n[AzmeriSpirit|Azmeri Spirits] have 1000% increased maximum Empowerment ","Enthält 2 zusätzliche [AzmeriSpirit|Azmeri-Geister]\n[AzmeriSpirit|Azmeri-Geister] haben 1000% erhöhte maximale Ermächtigung","[AzmeriSpirit|アズメリの精霊]が追加で2体出現する\n[AzmeriSpirit|アズメリの精霊]は最大強化量が1000%増加する","[AzmeriSpirit|아즈메리 혼백] 2개 추가 등장\n[AzmeriSpirit|아즈메리 혼백]의 강화 최대치 1000% 증가","Contém 2 [AzmeriSpirit|Espíritos Azmeri] adicionais\n[AzmeriSpirit|Espíritos Azmeri] têm o fortalecimento máximo aumentado em 1.000%","В области можно встретить 2 дополнительных [AzmeriSpirit|духов азмири]\nМаксимальное усиление [AzmeriSpirit|духами азмири] увеличивается на 1000%","Contiene 2 [AzmeriSpirit|espíritus azmeri] adicionales\nLos [AzmeriSpirit|espíritus azmeri] tienen la potenciación máxima aumentada un 1000%","มี[AzmeriSpirit|วิญญาณแอสเมรี] เพิ่มเติม 2 ตน\n[AzmeriSpirit|วิญญาณแอสเมรี] มีการเสริมฤทธิ์สูงสุด เพิ่มขึ้น 1000%","含有額外2個[AzmeriSpirit|阿茲莫里魂靈]\n[AzmeriSpirit|阿茲莫里魂靈]增加1000%最大強化值","Azmeri Energisation","Azmeri Energisation","Azmerische Energie","アズメリの活性化","아즈메리 에너지 공급","Energização Azmeri","Энергичность азмири","Energización azmeri","พลังงานจากแอสเมรี","阿茲莫里充能",56,14,27,""
21,"AzmeriMovingMaps","[2699,26163,26164]","[1,100,10]","An [AzmeriSpirit|Azmeri Spirit] moves to a nearby map on completion, eventually ascending to a Sacred Spirit","An [AzmeriSpirit|Azmeri Spirit] moves to a nearby map on completion, eventually ascending to a Sacred Spirit","Ein [AzmeriSpirit|Azmeri-Geist] wandert nach Abschluss in eine umliegende Karte und wird schließlich zum Heiligen Geist","マップを完了すると[AzmeriSpirit|アズメリの精霊]は近くのマップに移動し、結果として神聖な精霊に昇華する","완료 시 [AzmeriSpirit|아즈메리 혼백]이 주변의 지도로 옮겨 가, 결국 성스러운 혼백으로 승격됨","Ao ser concluído, um [AzmeriSpirit|Espírito Azmeri] se move para um mapa próximo e acaba ascendendo a um Espírito Sagrado","[AzmeriSpirit|Дух азмири] перемещается на ближайшую карту по завершении, со временем превращаясь в священный огонёк","Un [AzmeriSpirit|espíritu azmeri] se trasladará a un mapa cercano al completar el área y, al final, ascenderá a espíritu sagrado","[AzmeriSpirit|วิญญาณแอสเมรี] 1 ตน เคลื่อนไปยังแผนที่ที่อยู่ใกล้เมื่อผ่านได้สำเร็จ และจะตั้งตนเป็น วิญญาณศักดิ์สิทธิ์ ในท้ายที่สุด","[AzmeriSpirit|阿茲莫里魂靈]會於完成後移動至相鄰地圖，並最終晉升為聖潔魂靈","Spirit Migration","Spirit Migration","Geistwanderung","精霊の移動","혼백 이동","Migração de Espírito","Миграция духа","Migración de espíritu","วิญญาณย้ายถิ่น","魂靈遷徙",56,14,28,""
22,"AzmeriMovingMapsUpgraded","[2699,26698]","[1,1]","The [AzmeriSpirit|Azmeri Spirit] has ascended to a Sacred Spirit","The [AzmeriSpirit|Azmeri Spirit] has ascended to a Sacred Spirit","Der [AzmeriSpirit|Azmeri-Geist] ist zu einem Heiligen Geist geworden","[AzmeriSpirit|アズメリの精霊]が神聖な精霊に昇華している","[AzmeriSpirit|아즈메리 혼백]이 성스러운 혼백으로 승격되었습니다.","O [AzmeriSpirit|Espírito Azmeri] ascendeu a um Espírito Sagrado","[AzmeriSpirit|Дух азмири] возвысился до священного огонька","El [AzmeriSpirit|espíritu azmeri] ha ascendido a espíritu sagrado","[AzmeriSpirit|วิญญาณแอสเมรี] ได้ตั้งตนเป็น วิญญาณศักดิ์สิทธิ์ แล้ว","[AzmeriSpirit|阿茲莫里魂靈]已晉升為聖潔魂靈","Sacred Spirit","Sacred Spirit","Heiliger Geist","神聖な精霊","성스러운 혼백","Espírito Sagrado","Священный огонёк","Espíritu sagrado","วิญญาณศักดิ์สิทธิ์","聖潔魂靈",56,14,29,""
23,"StrongboxUnique","[5434,2401]","[1,1]","Contains a [Rarity|Unique] [Strongbox]","Contains a [Rarity|Unique] [Strongbox]","Enthält einen [Rarity|einzigartigen] [Strongbox|Tresor]","[Rarity|ユニーク]ストロングボックスが出現する","[Rarity|고유] [Strongbox|금고] 등장","Contém 1 [Rarity|caixa-forte] única","В области можно найти [Rarity|уникальный] [Strongbox|ларец]","Contiene una [Strongbox|caja fuerte] [Rarity|única]","มี[Strongbox|กล่องนิรภัย][Rarity|ยูนิค] 1 ใบ","含有一個[Rarity|傳奇][Strongbox|保險箱]","Ancient Trove","Ancient Trove","Uralter Schatz","古代の秘宝","고대 발견물","Repositório Antigo","Древний клад","Tesoro antiguo","ขุมทรัพย์โบราณ","遠古寶庫",56,11,32,""
24,"StrongboxOpenTwiceChance","[12658,2401]","[100,3]","Contains 3 additional [Strongbox|Strongboxes]\n[Strongbox|Strongboxes] are openable twice","Contains 3 additional [Strongbox|Strongboxes]\n[Strongbox|Strongboxes] are openable twice","Enthält 3 zusätzliche [Strongbox|Tresore]\n[Strongbox|Tresore] können zweimal geöffnet werden","[Strongbox|ストロングボックス]が追加で3個出現する\n[Strongbox|ストロングボックス]は二回開けられる","[Strongbox|금고] 3개 추가 등장\n[Strongbox|금고]를 두 번 열 수 있음","Contém 3 [Strongbox|caixas-forte] adicionais\n[Strongbox|Caixas-forte] são abertas duas vezes","В области можно найти 3 дополнительных [Strongbox|ларца]\n[Strongbox|Ларцы] можно открыть дважды","Contiene 3 [Strongbox|cajas fuertes] adicionales\nLas [Strongbox|cajas fuertes] se pueden abrir dos veces","มี[Strongbox|กล่องนิรภัย] เพิ่มเติม 3 ใบ\n[Strongbox|กล่องนิรภัย] เปิดได้สองครั้ง","含有額外3個[Strongbox|保險箱]\n[Strongbox|保險箱]可以被開啟兩次","Twice-Locked Boxes","Twice-Locked Boxes","Doppelt gesicherte Tresore","二重に施錠された箱","두 번 잠긴 상자","Caixas com Dupla Fechadura","Двойные засовы","Cajas doblemente cerradas","กล่องล็อกสองชั้น","雙鎖密櫃",56,11,33,""
25,"ShrineEffect",[2402],[3],"Contains 3 additional [Shrine|Shrines]","Contains 3 additional [Shrine|Shrines]","Enthält 3 zusätzliche [Shrine|Schreine]","[Shrine|シュライン]が追加で3個出現する","[Shrine|성소] 3개 추가 등장","Contém 3 [Shrine|Altares]","В области можно найти 3 дополнительных [Shrine|алтаря]","Contiene 3 [Shrine|santuarios] adicionales","มี[Shrine|แท่นบูชา] เพิ่มเติม 3 แท่น","區域含有 3 座額外[Shrine|神殿]","Power of Faith","Power of Faith","Kraft des Glaubens","信仰の力","믿음의 힘","Poder da Fé","Сила веры","Poder de la fe","พลังศรัทธา","信仰之力",56,10,34,""
