"rownum","string_0","[string]_8","[string]_24","[string]_40"
34,"L_finger_3_jntBnd_1","[""*L_finger_jntBnd_3""]","[""L_finger_3_jntBnd_1"",""phys_skinned_L_membrane_jntBnd_03""]","[""L_finger_3_jntBnd_1""]"
35,"L_finger_3_jntBnd_2","[""L_finger_jntBnd_3""]","[""L_finger_3_jntBnd_2"",""phys_skinned_L_membrane_jntBnd_04""]","[""L_finger_3_jntBnd_2""]"
36,"L_finger_3_jntBnd_3","[""*L_finger_jntBnd_3""]","[""L_finger_3_jntBnd_3"",""phys_skinned_L_membrane_jntBnd_05""]","[""L_finger_3_jntBnd_3""]"
37,"L_finger_4_jntBnd_1","[""*L_finger_jntBnd_4""]","[""*L_finger_3_jntBnd_1""]","[""L_finger_4_jntBnd_1""]"
38,"L_finger_4_jntBnd_2","[""L_finger_jntBnd_4""]","[""*L_finger_3_jntBnd_2""]","[""L_finger_4_jntBnd_2""]"
39,"L_finger_4_jntBnd_3","[""*L_finger_jntBnd_4""]","[""*L_finger_3_jntBnd_3""]","[""L_finger_4_jntBnd_3""]"
40,"R_clavicle_jntBnd","[""R_clavicle_jntBnd""]","[""R_clavicle_jntBnd"",""R_scalpula_jntBnd""]","[""R_clavicle_jntBnd"",""R_scalpula_jntBnd"",""R_trapezius_jntBnd""]"
41,"R_shoulder_jntBnd","[""R_shoulder_jntBnd"",""R_shoulderblade_jntBnd""]","[""R_shoulder_jntBnd"",""R_wing_base_jntBnd""]","[""R_shoulder_jntBnd"",""R_deltoid_jntBnd""]"
42,"R_shoulder_attachment_jntBnd","[""*R_shoulder_jntBnd""]","[""*R_shoulder_jntBnd""]","[""*R_shoulder_jntBnd""]"
43,"R_upperArm_attachment_jntBnd","[""*R_shoulder_cTwist_jntBnd_1""]","[""*R_shoulder_cTwist_jntBnd_1""]","[""*R_shoulder_cTwist_jntBnd_1""]"
44,"R_shoulder_cTwist_jntBnd_1","[""R_shoulder_cTwist_jntBnd_1"",""R_bicep_jntBnd""]","[""R_shoulder_cTwist_jntBnd_1"",""phys_skinned_R_membrane_jntBnd_01"",""phys_skinned_R_membrane_jntBnd_02""]","[""R_shoulder_cTwist_jntBnd_1""]"
45,"R_elbow_jntBnd","[""R_elbow_jntBnd""]","[""R_elbow_jntBnd""]","[""R_elbow_jntBnd"",""R_elbow_tip_jntBnd""]"
46,"R_elbow_attachment_jntBnd","[""*R_elbow_jntBnd""]","[""*R_elbow_jntBnd""]","[""*R_elbow_jntBnd""]"
47,"R_elbow_Twist_jntBnd_1","[""R_elbow_Twist_jntBnd_1""]","[""R_elbow_Twist_jntBnd_1"",""R_elbow_F_membrane_jntBnd"",""R_elbow_spike_jntBnd_1""]","[""R_elbow_Twist_jntBnd_1""]"
48,"R_elbow_Twist_jntBnd_2","[""R_elbow_Twist_jntBnd_2""]","[""R_elbow_Twist_jntBnd_2"",""R_elbow_spike_jntBnd_2""]","[""R_elbow_Twist_jntBnd_2""]"
49,"R_elbow_Twist_jntBnd_3","[""R_elbow_Twist_jntBnd_3""]","[""R_elbow_Twist_jntBnd_3""]","[""R_elbow_Twist_jntBnd_3""]"
50,"R_wrist_jntBnd","[""R_wrist_jntBnd""]","[""R_wrist_jntBnd""]","[""R_wrist_jntBnd""]"
51,"aux_R_Weapon_attachment_jntBnd","[""*R_wrist_jntBnd""]","[""R_Weapon""]","[""*R_wrist_jntBnd""]"
52,"R_thumb_1_jntBnd_1","[""*R_thumb_jntBnd_5""]","[""R_thumb_1_jntBnd_1""]","[""R_thumb_1_jntBnd_1""]"
53,"R_thumb_1_jntBnd_2","[""R_thumb_jntBnd_5""]","[""R_thumb_1_jntBnd_2""]","[""R_thumb_1_jntBnd_2""]"
54,"R_thumb_1_jntBnd_3","[""*R_thumb_jntBnd_5""]","[""R_thumb_1_jntBnd_3"",""R_finger_1_jntBnd_4""]","[""R_thumb_1_jntBnd_3""]"
55,"R_finger_1_jntBnd_1","[""*R_finger_jntBnd_1""]","[""R_finger_1_jntBnd_1"",""phys_skinned_R_membrane_jntBnd_09""]","[""R_finger_1_jntBnd_1""]"
56,"R_finger_1_jntBnd_2","[""R_finger_jntBnd_1""]","[""R_finger_1_jntBnd_2"",""phys_skinned_R_membrane_jntBnd_10""]","[""R_finger_1_jntBnd_2""]"
57,"R_finger_1_jntBnd_3","[""*R_finger_jntBnd_1""]","[""R_finger_1_jntBnd_3"",""phys_skinned_R_membrane_jntBnd_11""]","[""R_finger_1_jntBnd_3""]"
58,"R_finger_2_jntBnd_1","[""*R_finger_jntBnd_2""]","[""R_finger_2_jntBnd_1"",""phys_skinned_R_membrane_jntBnd_06""]","[""R_finger_2_jntBnd_1""]"
59,"R_finger_2_jntBnd_2","[""R_finger_jntBnd_2""]","[""R_finger_2_jntBnd_2"",""phys_skinned_R_membrane_jntBnd_07""]","[""R_finger_2_jntBnd_2""]"
60,"R_finger_2_jntBnd_3","[""*R_finger_jntBnd_2""]","[""R_finger_2_jntBnd_3""]","[""R_finger_2_jntBnd_3""]"
61,"R_finger_3_jntBnd_1","[""*R_finger_jntBnd_3""]","[""R_finger_3_jntBnd_1"",""phys_skinned_R_membrane_jntBnd_03""]","[""R_finger_3_jntBnd_1""]"
62,"R_finger_3_jntBnd_2","[""R_finger_jntBnd_3""]","[""R_finger_3_jntBnd_2"",""phys_skinned_R_membrane_jntBnd_04""]","[""R_finger_3_jntBnd_2""]"
63,"R_finger_3_jntBnd_3","[""*R_finger_jntBnd_3""]","[""R_finger_3_jntBnd_3"",""phys_skinned_R_membrane_jntBnd_05""]","[""R_finger_3_jntBnd_3""]"
64,"R_finger_4_jntBnd_1","[""*R_finger_jntBnd_4""]","[""*R_finger_3_jntBnd_1""]","[""R_finger_4_jntBnd_1""]"
65,"R_finger_4_jntBnd_2","[""R_finger_jntBnd_4""]","[""*R_finger_3_jntBnd_2""]","[""R_finger_4_jntBnd_2""]"
66,"R_finger_4_jntBnd_3","[""*R_finger_jntBnd_4""]","[""*R_finger_3_jntBnd_3""]","[""R_finger_4_jntBnd_3""]"
67,"spine_2_jntBnd","[""spine_2_jntBnd""]","[""spine_2_jntBnd""]","[""spine_2_jntBnd""]"
68,"spine_1_jntBnd","[""spine_1_jntBnd"",""belly_jntBnd""]","[""spine_1_jntBnd""]","[""spine_1_jntBnd""]"
69,"hip_jntBnd","[""hip_jntBnd"",""butt_jntBnd"",""tail_jntBnd""]","[""hip_jntBnd"",""phys_skinned_tail_jntBnd_01"",""phys_skinned_tail_jntBnd_02"",""phys_skinned_tail_jntBnd_03"",""phys_skinned_tail_jntBnd_04"",""phys_skinned_tail_jntBnd_05"",""phys_skinned_tail_jntBnd_06"",""phys_skinned_tail_jntBnd_07"",""phys_skinned_tail_jntBnd_08"",""phys_skinned_tail_jntBnd_09"",""phys_skinned_tail_jntBnd_10"",""phys_skinned_tail_jntBnd_11"",""phys_skinned_tail_jntBnd_12"",""phys_skinned_tail_jntBnd_13"",""phys_skinned_tail_jntBnd_14""]","[""hip_jntBnd"",""phys_tri_tail_jntBnd_1"",""phys_tri_tail_jntBnd_2"",""phys_tri_tail_jntBnd_3"",""phys_tri_tail_jntBnd_4"",""phys_tri_tail_jntBnd_5"",""phys_tri_tail_jntBnd_6""]"
70,"L_thigh_jntBnd","[""L_thigh_jntBnd"",""L_butt_jntBnd""]","[""L_thigh_jntBnd""]","[""L_thigh_jntBnd"",""L_butt_jntBnd""]"
71,"L_knee_jntBnd","[""L_knee_jntBnd""]","[""L_knee_jntBnd""]","[""L_knee_jntBnd""]"
72,"L_knee_attachment_jntBnd","[""*L_knee_jntBnd""]","[""*L_knee_jntBnd""]","[""*L_knee_jntBnd""]"
73,"L_ankle_jntBnd","[""L_ankle_jntBnd""]","[""L_ankle_jntBnd""]","[""L_ankle_jntBnd""]"
74,"L_foot_jntBnd","[""L_foot_jntBnd""]","[""L_foot_jntBnd""]","[""L_foot_jntBnd""]"
75,"aux_L_foot_attachment","[""*L_foot_jntBnd""]","[""*L_foot_jntBnd""]","[""*L_foot_jntBnd""]"
76,"L_toe_jntBnd","[""*L_foot_jntBnd""]","[""L_toe_jntBnd"",""L_inner_toe_jntBnd_1"",""L_inner_toe_jntBnd_2"",""L_inner_toe_jntBnd_3"",""L_mid_toe_jntBnd_1"",""L_mid_toe_jntBnd_2"",""L_mid_toe_jntBnd_3"",""L_outer_toe_jntBnd_1"",""L_outer_toe_jntBnd_2"",""L_outer_toe_jntBnd_3""]","[""L_toe_jntBnd"",""L_toe_1_jntBnd_1"",""L_toe_1_jntBnd_2"",""L_toe_2_jntBnd_1"",""L_toe_2_jntBnd_2"",""L_toe_3_jntBnd_1"",""L_toe_3_jntBnd_2"",""L_toe_4_jntBnd_1"",""L_toe_4_jntBnd_2""]"
77,"R_thigh_jntBnd","[""R_thigh_jntBnd"",""R_butt_jntBnd""]","[""R_thigh_jntBnd""]","[""R_thigh_jntBnd"",""R_butt_jntBnd""]"
78,"R_knee_jntBnd","[""R_knee_jntBnd""]","[""R_knee_jntBnd""]","[""R_knee_jntBnd""]"
79,"R_knee_attachment_jntBnd","[""*R_knee_jntBnd""]","[""*R_knee_jntBnd""]","[""*R_knee_jntBnd""]"
80,"R_ankle_jntBnd","[""R_ankle_jntBnd""]","[""R_ankle_jntBnd""]","[""R_ankle_jntBnd""]"
81,"R_foot_jntBnd","[""R_foot_jntBnd""]","[""R_foot_jntBnd""]","[""R_foot_jntBnd""]"
82,"aux_R_foot_attachment","[""*R_foot_jntBnd""]","[""*R_foot_jntBnd""]","[""*R_foot_jntBnd""]"
83,"R_toe_jntBnd","[""*R_foot_jntBnd""]","[""R_toe_jntBnd"",""R_inner_toe_jntBnd_1"",""R_inner_toe_jntBnd_2"",""R_inner_toe_jntBnd_3"",""R_mid_toe_jntBnd_1"",""R_mid_toe_jntBnd_2"",""R_mid_toe_jntBnd_3"",""R_outer_toe_jntBnd_1"",""R_outer_toe_jntBnd_2"",""R_outer_toe_jntBnd_3""]","[""R_toe_jntBnd"",""R_toe_1_jntBnd_1"",""R_toe_1_jntBnd_2"",""R_toe_2_jntBnd_1"",""R_toe_2_jntBnd_2"",""R_toe_3_jntBnd_1"",""R_toe_3_jntBnd_2"",""R_toe_4_jntBnd_1"",""R_toe_4_jntBnd_2""]"
