"rownum","Id","ItemClass","Width","Height","Name","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","InheritsFrom","DropLevel","FlavourText","Implicit_Mods","SizeOnGround","SoundEffect","Tags","ModDomain","ItemVisualIdentity","HASH32","VendorRecipe_AchievementItems","Inflection","Inflection (French)","Inflection (German)","Inflection (Japanese)","Inflection (Korean)","Inflection (Portuguese)","Inflection (Russian)","Inflection (Spanish)","Inflection (Thai)","Inflection (Traditional Chinese)","Equip_AchievementItem","IsCorrupted","Identify_AchievementItems","IdentifyMagic_AchievementItems","FragmentBaseItemType","bool_225","UncutGemSoundEffect","rid_242","bool_258","Unmodifiable","Achievement","ShopTag","rid_292","i32_308","[rid]_312","[rid]_328","[rid]_344"
20,"Metadata/Items/Currency/CurrencyAddModToRare3",30,1,1,"Perfect Exalted Orb","Orbe exalté parfait","Perfekte Erhabene Sphäre","高貴なオーブ (完全)","완벽한 엑잘티드 오브","Orbe Exaltado Perfeito","Совершенная сфера возвышения","Orbe exaltado perfecto","Exalted Orb ไร้ที่ติ","完美崇高石","Metadata/Items/Currency/StackableCurrency",79,"",[],1,519,[],38,22,4285295980,[],"","M","F","","","M","FS","M","","","","",[],[],"","","","","","",[],"","",0,[],[],[]
21,"Metadata/Items/Currency/CurrencyUpgradeMagicToRare",30,1,1,"Regal Orb","Orbe royal","Hoheitliche Sphäre","王者のオーブ","제왕의 오브","Orbe Real","Сфера царей","Orbe regio","Regal Orb","富豪石","Metadata/Items/Currency/StackableCurrency",5,"",[],1,526,[],38,23,3636285277,[],"","M","F","","","M","FS","M","","","","",[],[],"","","","","","",[],"","",0,[],[],[]
22,"Metadata/Items/Currency/CurrencyUpgradeMagicToRare2",30,1,1,"Greater Regal Orb","Orbe royal majeur","Größere Hoheitliche Sphäre","王者のオーブ (上級)","상위 제왕의 오브","Orbe Real Maior","Большая сфера царей","Orbe regio superior","Regal Orb ชั้นสูง","高階富豪石","Metadata/Items/Currency/StackableCurrency",72,"",[],1,526,[],38,24,3692687557,[],"","M","F","","","M","FS","M","","","","",[],[],"","","","","","",[],"","",0,[],[],[]
23,"Metadata/Items/Currency/CurrencyUpgradeMagicToRare3",30,1,1,"Perfect Regal Orb","Orbe royal parfait","Perfekte Hoheitliche Sphäre","王者のオーブ (完全)","완벽한 제왕의 오브","Orbe Real Perfeito","Совершенная сфера царей","Orbe regio perfecto","Regal Orb ไร้ที่ติ","完美富豪石","Metadata/Items/Currency/StackableCurrency",79,"",[],1,526,[],38,25,3630008373,[],"","M","F","","","M","FS","M","","","","",[],[],"","","","","","",[],"","",0,[],[],[]
24,"Metadata/Items/Currency/CurrencyAddModToMagic",30,1,1,"Orb of Augmentation","Orbe d'augmentation","Aufwertungssphäre","増強のオーブ","확장의 오브","Orbe da Ampliação","Сфера усиления","Orbe de aumento","Orb of Augmentation","增幅石","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],38,26,4122699490,[],"","M","F","","","M","FS","M","","","","",[],[],"","","","","","",[],"","",0,[],[],[]
25,"Metadata/Items/Currency/CurrencyAddModToMagic2",30,1,1,"Greater Orb of Augmentation","Orbe d'augmentation majeur","Größere Aufwertungssphäre","増強のオーブ (上級)","상위 확장의 오브","Orbe da Ampliação Maior","Большая сфера усиления","Orbe de aumento superior","Orb of Augmentation ชั้นสูง","高階增幅石","Metadata/Items/Currency/StackableCurrency",46,"",[],1,34,[],38,27,1921948827,[],"","M","F","","","M","FS","M","","","","",[],[],"","","","","","",[],"","",0,[],[],[]
26,"Metadata/Items/Currency/CurrencyAddModToMagic3",30,1,1,"Perfect Orb of Augmentation","Orbe d'augmentation parfait","Perfekte Aufwertungssphäre","増強のオーブ (完全)","완벽한 확장의 오브","Orbe da Ampliação Perfeito","Совершенная сфера усиления","Orbe de aumento perfecto","Orb of Augmentation ไร้ที่ติ","完美增幅石","Metadata/Items/Currency/StackableCurrency",72,"",[],1,34,[],38,28,1208257019,[],"","M","F","","","M","FS","M","","","","",[],[],"","","","","","",[],"","",0,[],[],[]
27,"Metadata/Items/Currency/CurrencyPortal",30,1,1,"Portal Scroll","Parchemin de portail","Portalrolle","ポータルの巻物","포탈 주문서","Pergaminho de Portal","Свиток портала","Pergamino de portal","Portal Scroll","傳送卷軸","Metadata/Items/Currency/StackableCurrency",2,"",[],1,27,[],38,29,1328218349,[],"","M","F","","","M","MS","M","","","","",[],[],"","","","","","",[],"","",0,[],[],[]
28,"Metadata/Items/Currency/CurrencyFlaskQuality",30,1,1,"Glassblower's Bauble","Bulle de souffleur de verre","Kugel des Glasbläsers","ガラス吹きの飾り玉","유리직공의 방울","Bugiganga do Vidreiro","Стекольная масса","Baratija de vidrio","Glassblower's Bauble","玻璃彈珠","Metadata/Items/Currency/StackableCurrency",12,"",[],1,736,[350],38,30,3715417279,[],"","F","F","","","F","FS","F","","","","",[],[],"","","","","","",[],"","",0,[],[],[]
29,"Metadata/Items/Currency/CurrencyGemQuality",30,1,1,"Gemcutter's Prism","Prisme de lapidaire","Prisma des Gemmenschneiders","宝石細工師のプリズム","세공사의 프리즘","Prisma do Lapidário","Призма камнереза","Prisma del tallador de gemas","Gemcutter's Prism","寶石匠的稜鏡","Metadata/Items/Currency/StackableCurrency",12,"",[],1,515,[350],38,31,128553707,[],"","M","N","","","M","FS","M","","","","",[],[],"","","","","","",[],"","",0,[],[],[]
30,"Metadata/Items/Currency/CurrencyRerollSocketColours",30,1,1,"Chromatic Orb","Orbe chromatique","Färbungssphäre","色彩のオーブ","색채의 오브","Orbe Cromático","Цветная сфера","Orbe cromático","Chromatic Orb","幻色石","Metadata/Items/Currency/StackableCurrency",5,"",[],1,737,[],38,41,471734571,[],"","M","F","","","M","FS","M","","","","",[],[],"","","","","","",[],"","",0,[],[],[]
31,"Metadata/Items/Currency/CurrencyRerollSocketLinks",30,1,1,"Orb of Fusing","Orbe de fusion","Verbindungssphäre","結合のオーブ","연결의 오브","Orbe da Fusão","Сфера соединения","Orbe de fusión","Orb of Fusing","鏈結石","Metadata/Items/Currency/StackableCurrency",8,"",[],1,34,[],38,42,3340498317,[],"","M","F","","","M","FS","M","","","","",[],[],"","","","","","",[],"","",0,[],[],[]
32,"Metadata/Items/Currency/CurrencyAddSkillGemSocket3",30,1,1,"Lesser Jeweller's Orb","Orbe de joaillier mineur","Kleine Sphäre des Goldschmieds","宝飾職人のオーブ (見習い)","하위 쥬얼러 오브","Orbe do Joalheiro Menor","Малая сфера златокузнеца","Orbe de joyero menor","Jeweller's Orb ชั้นต่ำ","低階工匠石","Metadata/Items/Currency/StackableCurrency",25,"",[],1,512,"[1121,1299]",38,43,4074381865,[],"","M","F","","","M","FS","M","","","","",[],[],"","","","","","",[],"","",0,[],[],[]
33,"Metadata/Items/Currency/CurrencyAddSkillGemSocket4",30,1,1,"Greater Jeweller's Orb","Orbe de joaillier majeur","Große Sphäre des Goldschmieds","宝飾職人のオーブ (上級)","상위 쥬얼러 오브","Orbe do Joalheiro Maior","Большая сфера златокузнеца","Orbe de joyero superior","Jeweller's Orb ชั้นสูง","高階工匠石","Metadata/Items/Currency/StackableCurrency",45,"",[],1,513,"[1121,1299]",38,44,1357587227,[],"","M","F","","","M","FS","M","","","","",[],[],"","","","","","",[],"","",0,[],[],[]
34,"Metadata/Items/Currency/CurrencyAddSkillGemSocket5",30,1,1,"Perfect Jeweller's Orb","Orbe de joaillier parfait","Perfekte Sphäre des Goldschmieds","宝飾職人のオーブ (完全)","완벽한 쥬얼러 오브","Orbe do Joalheiro Perfeito","Совершенная сфера златокузнеца","Orbe de joyero perfecto","Jeweller's Orb ไร้ที่ติ","完美工匠石","Metadata/Items/Currency/StackableCurrency",65,"",[],1,514,"[1121,1122,1299]",38,45,4236459768,[],"","M","F","","","M","FS","M","","","","",[],[],"","","","","","",[],"","",0,[],[],[]
35,"Metadata/Items/Currency/CurrencyAddEquipmentSocket",30,1,1,"Artificer's Orb","Orbe d'artificier","Sphäre des Kunsthandwerkers","熟練工のオーブ","숙련공의 오브","Orbe do Artífice","Сфера астромантии","Orbe del artesano","Artificer's Orb","巧匠石","Metadata/Items/Currency/StackableCurrency",5,"",[],1,34,[1121],38,46,2332891975,[],"","M","F","","","M","FS","M","","","","",[],[],"","","","","","",[],"","",0,[],[],[]
36,"Metadata/Items/Currency/CurrencyModValues",30,1,1,"Divine Orb","Orbe divin","Göttliche Sphäre","神のオーブ","신성한 오브","Orbe Divino","Божественная сфера","Orbe divino","Divine Orb","神聖石","Metadata/Items/Currency/StackableCurrency",35,"",[],1,34,[],38,47,2147777789,[],"","M","F","","","M","FS","M","","","","",[],[],"","","","","","",[],"","",0,[],[],[]
37,"Metadata/Items/Currency/CurrencyRerollImplicit",30,1,1,"Blessed Orb","Orbe béni","Gesegnete Sphäre","祝福のオーブ","축복의 오브","Orbe Abençoado","Благодатная сфера","Orbe bendito","Blessed Orb","祝福石","Metadata/Items/Currency/StackableCurrency",35,"",[],1,34,[],38,48,764311090,[],"","M","F","","","M","FS","M","","","","",[],[],"","","","","","",[],"","",0,[],[],[]
38,"Metadata/Items/Currency/CurrencyRerollDefences",30,1,1,"Sacred Orb","Orbe sacré","Heilige Sphäre","聖なるオーブ","성스러운 오브","Orbe Sagrado","Священная сфера","Orbe sagrado","Sacred Orb","聖玉","Metadata/Items/Currency/StackableCurrency",35,"",[],1,34,[],38,49,1784206883,[],"","M","F","","","M","FS","M","","","","",[],[],"","","","","","",[],"","",0,[],[],[]
39,"Metadata/Items/Currency/CurrencyMapQuality",30,1,1,"Cartographer's Chisel","Burin de cartographe","Meißel des Kartographen","地図職人のチセル","지도제작자의 끌","Cinzel do Cartógrafo","Резец картографа","Cincel del cartógrafo","สิ่วนักเขียนแผนที่","製圖釘","Metadata/Items/Currency/StackableCurrency",52,"",[],1,34,[350],38,7,3693179543,[],"","M","M","","","M","FS","M","","","","",[],[],"","","","","","",[],"","",0,[],[],[]
40,"Metadata/Items/Currency/CurrencyIdentificationShard",30,1,1,"Scroll Fragment","Fragment de parchemin","Schriftrollenfragment","巻物の断片","주문서 조각","Fragmento de Pergaminho","Обрывок свитка","Fragmento de pergamino","ชิ้นส่วน Scroll","卷軸碎片","Metadata/Items/Currency/StackableCurrency",1,"",[],1,"",[232],38,36,1594034883,[],"","M","N","","","M","MS","M","","","","",[],[],"","","","","","",[],"","",0,[],[],[]
41,"Metadata/Items/Currency/CurrencyUpgradeToMagicShard",30,1,1,"Transmutation Shard","Éclat de transmutation","Umwandlungsscherbe","変成のシャード","진화의 파편","Lasca de Transmutação","Осколок превращения","Esquirla de transmutación","เศษ Transmutation","蛻變石碎片","Metadata/Items/Currency/StackableCurrency",1,"",[],1,"",[232],38,38,1280989466,[],"","M","F","","","F","MS","F","","","","",[],[],"","","","","","",[],"","",0,[],[],[]
42,"Metadata/Items/Currency/CurrencyRerollMagicShard",30,1,1,"Alteration Shard","Éclat d'altération","Scherbe der Veränderung","改変のシャード","변화의 파편","Lasca de Alteração","Осколок перемен","Esquirla de alteración","เศษ Alteration","改造石碎片","Metadata/Items/Currency/StackableCurrency",1,"",[],1,"",[232],38,39,216495198,[],"","M","F","","","F","MS","F","","","","",[],[],"","","","","","",[],"","",0,[],[],[]
43,"Metadata/Items/Currency/CurrencyUpgradeToRareShard",30,1,1,"Alchemy Shard","Éclat d'alchimie","Scherbe der Alchemie","錬金術のシャード","연금술의 파편","Lasca de Alquimia","Осколок алхимии","Esquirla de alquimia","เศษ Alchemy","點金石碎片","Metadata/Items/Currency/StackableCurrency",1,"",[],1,"",[232],38,40,3069034818,[],"","M","F","","","F","MS","F","","","","",[],[],"","","","","","",[],"","",0,[],[],[]
44,"Metadata/Items/Currency/CurrencyUpgradeRandomlyShard",30,1,1,"Chance Shard","Éclat de chance","Scherbe der Möglichkeiten","可能性のシャード","기회의 파편","Lasca de Chance","Осколок удачи","Esquirla aleatoria","เศษ Chance","機率碎片","Metadata/Items/Currency/StackableCurrency",1,"",[],1,"",[232],38,37,4080113757,[],"","M","F","","","F","MS","F","","","","",[],[],"","","","","","",[],"","",0,[],[],[]
45,"Metadata/Items/Currency/CurrencyRhoaFeather",30,1,1,"Albino Rhoa Feather","Plume de rhoa albinos","Albino-Rhoa-Feder","アルビノロアの羽根","흰 로아 깃털","Pena de Rhoa Albino","Перо белого роа","Pluma de rhoa albino","Albino Rhoa Feather","白化的羽毛","Metadata/Items/Currency/StackableCurrency",1,"",[],1,"",[],38,50,2003183108,[],"","F","F","","","F","NS","F","","","","",[],[],"","","","","","",[],"","",0,[],[],[]
46,"Metadata/Items/Currency/CurrencyVultureFeather",30,1,1,"Golden Vulture Feather","Plume de vautour dorée","Goldene Aasgeierfeder","ゴールデンヴァルチャーの羽根","금빛 시체매 깃털","Pena de Abutre Dourada","Перо золотого стервятника","Pluma de buitre dorado","Golden Vulture Feather","耀金禿鷹之羽","Metadata/Items/Currency/StackableCurrency",1,"",[],1,"",[],38,50,2537209939,[],"","F","F","","","F","NS","F","","","","",[],[],"","","","","","",[],"","",0,[],[],[]
47,"Metadata/Items/Currency/CurrencyToucanFeather",30,1,1,"Rainbow Toucan Feather","Plume de toucan arc-en-ciel","Regenbogenfarbene Tukanfeder","レインボートゥーカンの羽根","무지갯빛 투칸 깃털","Pena de Tucano Iridescente","Перо радужного тукана","Pluma de tucán multicolor","Rainbow Toucan Feather","七彩巨嘴鳥之羽","Metadata/Items/Currency/StackableCurrency",1,"",[],1,"",[],38,50,3358351990,[],"","F","F","","","F","NS","F","","","","",[],[],"","","","","","",[],"","",0,[],[],[]
48,"Metadata/Items/Currency/CurrencyKiwiFeather",30,1,1,"Jade Kiwi Feather","Plume de kiwi de jade","Jadefarbene Kiwifeder","ジェイドキーウィの羽根","비췻빛 키위 깃털","Pena de Kiwi de Jade","Перо нефритового киви","Pluma de kiwi de jade","Jade Kiwi Feather","青玉奇異鳥之羽","Metadata/Items/Currency/StackableCurrency",1,"",[],1,"",[],38,50,3822050671,[],"","F","F","","","F","NS","F","","","","",[],[],"","","","","","",[],"","",0,[],[],[]
49,"Metadata/Items/Currency/CurrencyPeacockFeather",30,1,1,"Stygian Peacock Feather","Plume de paon stygien","Schauerliche Pfauenfeder","スティギアンピーコックの羽根","칠흑빛 공작 깃털","Pena de Pavão Estígia","Перо стигийского павлина","Pluma de pavo real estigio","Stygian Peacock Feather","漆黑孔雀之羽","Metadata/Items/Currency/StackableCurrency",1,"",[],1,"",[],38,50,2379253733,[],"","F","F","","","F","NS","F","","","","",[],[],"","","","","","",[],"","",0,[],[],[]
50,"Metadata/Items/Currency/CurrencyImprintOrb",30,1,1,"Eternal Orb","Orbe éternel","Sphäre der Ewigkeit","永遠のオーブ","영원의 오브","Orbe Eterno","Сфера вечного","Orbe eterno","Eternal Orb","永恆寶珠","Metadata/Items/Currency/StackableCurrency",40,"",[],1,34,[],38,51,1639118317,[],"","M","F","","","M","FS","M","","","","",[],[],"","","","","","",[],"","",0,[],[],[]
51,"Metadata/Items/Currency/CurrencyImprint",30,1,1,"Imprint","Empreinte","Abdruck","インプリント","각인","Gravação","Слепок","Copia","Imprint","印記","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],38,52,2516757370,[],"","F","M","","","F","MS","F","","","","",[],[],"","","","","","",[],"","",0,[],[],[]
52,"Metadata/Items/Currency/CurrencyCorrupt",30,1,1,"Vaal Orb","Orbe vaal","Vaalsphäre","ヴァールオーブ","바알 오브","Orbe Vaal","Сфера ваал","Orbe vaal","Vaal Orb","瓦爾寶珠","Metadata/Items/Currency/StackableCurrency",35,"",[],1,517,[],38,53,118945160,[],"","M","F","","","M","FS","M","","","","",[],[],"","","","","","",[],"","",0,[],[],[]
53,"Metadata/Items/Currency/CurrencyIncursionCorrupt1",30,1,1,"Corrupt","Corruption","Verderben","コラプト","타락","Corrompido","Осквернение","Corrupto","ใส่มลทิน","腐化","Metadata/Items/Currency/StackableCurrency",1,"",[],1,517,[1320],38,57,3921210930,[],"","F","N","","","M","NS","M","","","","",[],[],"","","","","","",[],"","",0,[],[],[]
54,"Metadata/Items/Currency/CurrencyIncursionDoubleCorrupt",30,1,1,"Architect's Orb","Orbe d'architecte","Sphäre des Architekten","アーキテクトオーブ","건축가의 오브","Orbe do Arquiteto","Сфера архитектора","Orbe del arquitecto","ลูกแก้วสถาปนิก","策匠石","Metadata/Items/Currency/StackableCurrency",1,"",[],1,1232,[1320],38,58,504336324,[],"","M","F","","","M","FS","M","","","","",[],[],"","","","","","",[],"","",0,[],[],[]
55,"Metadata/Items/Currency/CurrencyIncursionDoubleCorruptGem",30,1,1,"Crystallised Corruption","Corruption cristallisée","Kristallisierte Verderbtheit","コラプトの結晶","결정화된 타락","Corrupção Cristalizada","Кристаллизованная Порча","Corrupción cristalizada","ผลึกพลังมลทิน","結晶腐化","Metadata/Items/Currency/StackableCurrency",1,"",[],1,1236,[1320],38,59,2708211485,[],"","F","F","","","F","FS","F","","","","",[],[],"","","","","","",[],"","",0,[],[],[]
56,"Metadata/Items/Currency/CurrencyIncursionModifySoulCore",30,1,1,"Core Destabiliser","Déstabilisateur de Noyau","Kern-Destabilisierer","コア不安定化装置","핵 불안정화기","Desestabilizador de Núcleo","Дестабилизатор ядра","Desestabilizador de núcleos","เครื่องระงับเสถียรภาพแกน","核心擾亂器","Metadata/Items/Currency/StackableCurrency",1,"",[],1,1234,[1320],38,60,3154619855,[],"","M","M","","","M","MS","M","","","","",[],[],"","","","","","",[],"","",0,[],[],[]
57,"Metadata/Items/Currency/CurrencyIncursionCorruptTablet",30,1,1,"Ancient Infuser","Infuseur antique","Uralter Verstärker","古代のインフューザー","고대 주입기","Infusor Antigo","Древний нагнетатель","Infusor antiguo","เครื่องถ่ายพลังโบราณ","遠古灌注器","Metadata/Items/Currency/StackableCurrency",1,"",[],1,1230,[1320],38,61,1151620821,[],"","M","M","","","M","MS","M","","","","",[],[],"","","","","","",[],"","",0,[],[],[]
