"rownum","Id","Normal","CanAllocate","Active","Mask","Header"
10,"CharacterPlanningJewel","Art/2DArt/UIImages/InGame/PassiveSkillScreenJewelSocketNormalBlue","Art/2DArt/UIImages/InGame/PassiveSkillScreenJewelSocketCanAllocateBlue","Art/2DArt/UIImages/InGame/PassiveSkillScreenJewelSocketActiveBlue","Art/2DArt/UIEffects/PassiveSkillScreen/JewelSocketFrameMask.dds","Art/2DArt/UIImages/InGame/JewelPassiveHeader"
11,"AscendancyPlanningSmall","Art/2DArt/UIImages/InGame/PassiveSkillScreenAscendancyFrameBlueSmallNormal","Art/2DArt/UIImages/InGame/PassiveSkillScreenAscendancyFrameSmallBlueCanAllocate","Art/2DArt/UIImages/InGame/PassiveSkillScreenAscendancyFrameSmallBlueAllocated","Art/2DArt/UIEffects/PassiveSkillScreen/AscendancyFrameSmallMask.dds","Art/2DArt/UIImages/InGame/NormalPassiveHeader"
12,"AscendancyPlanningNotable","Art/2DArt/UIImages/InGame/PassiveSkillScreenAscendancyFrameBlueLargeNormal","Art/2DArt/UIImages/InGame/PassiveSkillScreenAscendancyFrameLargeBlueCanAllocate","Art/2DArt/UIImages/InGame/PassiveSkillScreenAscendancyFrameLargeBlueAllocated","Art/2DArt/UIEffects/PassiveSkillScreen/AscendancyFrameLargeMask.dds","Art/2DArt/UIImages/InGame/NotablePassiveHeader"
13,"CharacterHighlightedByJewelSmall","Art/2DArt/UIImages/InGame/PassiveSkillScreenPassiveFrameNormalAlt","Art/2DArt/UIImages/InGame/PassiveSkillScreenPassiveFrameCanAllocateAlt","Art/2DArt/UIImages/InGame/PassiveSkillScreenPassiveFrameActiveAlt","Art/2DArt/UIEffects/PassiveSkillScreen/NodeFrameMask.dds","Art/2DArt/UIImages/InGame/NormalPassiveHeader"
14,"CharacterHighlightedByJewelNotable","Art/2DArt/UIImages/InGame/PassiveSkillScreenNotableFrameNormalAlt","Art/2DArt/UIImages/InGame/PassiveSkillScreenNotableFrameCanAllocateAlt","Art/2DArt/UIImages/InGame/PassiveSkillScreenNotableFrameActiveAlt","Art/2DArt/UIEffects/PassiveSkillScreen/NotableFrameMask.dds","Art/2DArt/UIImages/InGame/NotablePassiveHeader"
15,"CharacterHighlightedByJewelKeystone","Art/2DArt/UIImages/InGame/PassiveSkillScreenKeystoneFrameNormalAlt","Art/2DArt/UIImages/InGame/PassiveSkillScreenKeystoneFrameCanAllocateAlt","Art/2DArt/UIImages/InGame/PassiveSkillScreenKeystoneFrameActiveAlt","Art/2DArt/UIEffects/PassiveSkillScreen/KeystoneFrameMask.dds","Art/2DArt/UIImages/InGame/KeystonePassiveHeader"
16,"CharacterHighlightedByJewelJewel","Art/2DArt/UIImages/InGame/SanctumPassiveSkillScreenJewelSocketNormalAlt","Art/2DArt/UIImages/InGame/SanctumPassiveSkillScreenJewelSocketCanAllocateAlt","Art/2DArt/UIImages/InGame/SanctumPassiveSkillScreenJewelSocketActiveAlt","Art/2DArt/UIEffects/PassiveSkillScreen/JewelSocketFrameMask.dds","Art/2DArt/UIImages/InGame/JewelPassiveHeader"
17,"AscendancyHighlightedByJewelSmall","Art/2DArt/UIImages/InGame/PassiveSkillScreenAscendancyFrameSmallNormalAlt","Art/2DArt/UIImages/InGame/PassiveSkillScreenAscendancyFrameSmallCanAllocateAlt","Art/2DArt/UIImages/InGame/PassiveSkillScreenAscendancyFrameSmallAllocatedAlt","Art/2DArt/UIEffects/PassiveSkillScreen/AscendancyFrameSmallMask.dds","Art/2DArt/UIImages/InGame/NormalPassiveHeader"
18,"AscendancyHighlightedByJewelNotable","Art/2DArt/UIImages/InGame/PassiveSkillScreenAscendancyFrameLargeNormalAlt","Art/2DArt/UIImages/InGame/PassiveSkillScreenAscendancyFrameLargeCanAllocateAlt","Art/2DArt/UIImages/InGame/PassiveSkillScreenAscendancyFrameLargeAllocatedAlt","Art/2DArt/UIEffects/PassiveSkillScreen/AscendancyFrameLargeMask.dds","Art/2DArt/UIImages/InGame/NotablePassiveHeader"
19,"BlightedNotable","Art/2DArt/UIImages/InGame/PassiveSkillScreenNotableFrameNormal","Art/2DArt/UIImages/InGame/PassiveSkillScreenNotableFrameCanAllocate","Art/2DArt/UIImages/InGame/PassiveSkillScreenNotableFrameActive","Art/2DArt/UIEffects/PassiveSkillScreen/NotableFrameMask.dds","Art/2DArt/UIImages/InGame/NotablePassiveHeader"
20,"CharacterExpansionJewel","Art/2DArt/UIImages/InGame/SanctumPassiveSkillScreenJewelSocketNormal","Art/2DArt/UIImages/InGame/SanctumPassiveSkillScreenJewelSocketCanAllocate","Art/2DArt/UIImages/InGame/SanctumPassiveSkillScreenJewelSocketActive","Art/2DArt/UIEffects/PassiveSkillScreen/ExpansionJewelSocketFrameMask.dds","Art/2DArt/UIImages/InGame/JewelPassiveHeader"
21,"AtlasStart","Art/2DArt/UIImages/InGame/AtlasScreen/StartingPointGeneral","Art/2DArt/UIImages/InGame/AtlasScreen/StartingPointGeneral","Art/2DArt/UIImages/InGame/AtlasScreen/StartingPointGeneral","","Art/2DArt/UIImages/InGame/NormalPassiveHeader"
22,"AtlasSmall","Art/2DArt/UIImages/InGame/AtlasScreen/PassiveSkillScreenPassiveFrameNormal","Art/2DArt/UIImages/InGame/AtlasScreen/PassiveSkillScreenPassiveFrameCanAllocate","Art/2DArt/UIImages/InGame/AtlasScreen/PassiveSkillScreenPassiveFrameActive","Art/2DArt/UIEffects/PassiveSkillScreen/AtlasNodeFrameMask.dds","Art/2DArt/UIImages/InGame/NormalPassiveHeader"
23,"AtlasNotable","Art/2DArt/UIImages/InGame/AtlasScreen/AtlasPassiveSkillScreenNotableFrameNormal","Art/2DArt/UIImages/InGame/AtlasScreen/AtlasPassiveSkillScreenNotableFrameCanAllocate","Art/2DArt/UIImages/InGame/AtlasScreen/AtlasPassiveSkillScreenNotableFrameActive","Art/2DArt/UIEffects/PassiveSkillScreen/AtlasNotableFrameMask.dds","Art/2DArt/UIImages/InGame/NotablePassiveHeader"
24,"AtlasKeystone","Art/2DArt/UIImages/InGame/AtlasScreen/AtlasPassiveSkillScreenKeystoneFrameNormal","Art/2DArt/UIImages/InGame/AtlasScreen/AtlasPassiveSkillScreenKeystoneFrameCanAllocate","Art/2DArt/UIImages/InGame/AtlasScreen/AtlasPassiveSkillScreenKeystoneFrameActive","Art/2DArt/UIEffects/PassiveSkillScreen/AtlasKeystoneFrameMask.dds","Art/2DArt/UIImages/InGame/KeystonePassiveHeader"
25,"AtlasWormhole","Art/2DArt/UIImages/InGame/AtlasScreen/AtlasWormholeFrameNormal","Art/2DArt/UIImages/InGame/AtlasScreen/AtlasWormholeFrameCanAllocate","Art/2DArt/UIImages/InGame/AtlasScreen/AtlasWormholeFrameActive","Art/2DArt/UIEffects/PassiveSkillScreen/AtlasKeystoneFrameMask.dds","Art/2DArt/UIImages/InGame/AtlasScreen/AtlasWormholeHeader"
26,"LichAscendancyJewel","Art/2DArt/UIImages/InGame/LichPassiveSkillScreenJewelSocketNormal","Art/2DArt/UIImages/InGame/LichPassiveSkillScreenJewelSocketCanAllocate","Art/2DArt/UIImages/InGame/LichPassiveSkillScreenJewelSocketActive","Art/2DArt/UIEffects/PassiveSkillScreen/LichPassiveSkillScreenJewelSocketMask.dds","Art/2DArt/UIImages/InGame/JewelPassiveHeader"
27,"AbyssLichAscendancySmall","Art/2DArt/UIImages/InGame/Abyss/AbyssLichPassiveSkillScreenAscendancyFrameSmallNormal","Art/2DArt/UIImages/InGame/Abyss/AbyssLichPassiveSkillScreenAscendancyFrameSmallCanAllocate","Art/2DArt/UIImages/InGame/Abyss/AbyssLichPassiveSkillScreenAscendancyFrameSmallAllocated","Art/2DArt/UIEffects/PassiveSkillScreen/AbyssLichAscendancyFrameSmallMask.dds","Art/2DArt/UIImages/InGame/NormalPassiveHeader"
28,"AbyssLichAscendancyNotable","Art/2DArt/UIImages/InGame/Abyss/AbyssLichPassiveSkillScreenAscendancyFrameLargeNormal","Art/2DArt/UIImages/InGame/Abyss/AbyssLichPassiveSkillScreenAscendancyFrameLargeCanAllocate","Art/2DArt/UIImages/InGame/Abyss/AbyssLichPassiveSkillScreenAscendancyFrameLargeAllocated","Art/2DArt/UIEffects/PassiveSkillScreen/AbyssLichAscendancyFrameLargeMask.dds","Art/2DArt/UIImages/InGame/NotablePassiveHeader"
29,"AbyssLichAscendancyJewel","Art/2DArt/UIImages/InGame/Abyss/AbyssLichPassiveSkillScreenJewelSocketNormal","Art/2DArt/UIImages/InGame/Abyss/AbyssLichPassiveSkillScreenJewelSocketCanAllocate","Art/2DArt/UIImages/InGame/Abyss/AbyssLichPassiveSkillScreenJewelSocketActive","Art/2DArt/UIEffects/PassiveSkillScreen/LichPassiveSkillScreenJewelSocketMask.dds","Art/2DArt/UIImages/InGame/JewelPassiveHeader"
30,"AbyssAlternateTreeSmall","Art/2DArt/UIImages/InGame/Abyss/AbyssPassiveSkillScreenPassiveFrameNormal","Art/2DArt/UIImages/InGame/Abyss/AbyssPassiveSkillScreenPassiveFrameCanAllocate","Art/2DArt/UIImages/InGame/Abyss/AbyssPassiveSkillScreenPassiveFrameActive","Art/2DArt/UIEffects/PassiveSkillScreen/AbyssNodeFrameMask.dds","Art/2DArt/UIImages/InGame/NormalPassiveHeader"
31,"AbyssAlternateTreeNotable","Art/2DArt/UIImages/InGame/Abyss/AbyssPassiveSkillScreenNotableFrameNormal","Art/2DArt/UIImages/InGame/Abyss/AbyssPassiveSkillScreenNotableFrameCanAllocate","Art/2DArt/UIImages/InGame/Abyss/AbyssPassiveSkillScreenNotableFrameActive","Art/2DArt/UIEffects/PassiveSkillScreen/AbyssNotableFrameMask.dds","Art/2DArt/UIImages/InGame/NotablePassiveHeader"
32,"AbyssAlternateTreeKeystone","Art/2DArt/UIImages/InGame/Abyss/AbyssPassiveSkillScreenKeystoneFrameNormal","Art/2DArt/UIImages/InGame/Abyss/AbyssPassiveSkillScreenKeystoneFrameCanAllocate","Art/2DArt/UIImages/InGame/Abyss/AbyssPassiveSkillScreenKeystoneFrameActive","Art/2DArt/UIEffects/PassiveSkillScreen/AbyssKeystoneFrameMask.dds","Art/2DArt/UIImages/InGame/KeystonePassiveHeader"
33,"DruidOracleAscendancySmall","Art/2DArt/UIImages/InGame/OraclePassiveSkillScreenPassiveFrameNormal","Art/2DArt/UIImages/InGame/OraclePassiveSkillScreenPassiveFrameCanAllocate","Art/2DArt/UIImages/InGame/OraclePassiveSkillScreenPassiveFrameActive","Art/2DArt/UIEffects/PassiveSkillScreen/NodeFrameMask.dds","Art/2DArt/UIImages/InGame/OracleNormalPassiveHeader"
34,"DruidOracleAscendancyNotable","Art/2DArt/UIImages/InGame/OraclePassiveSkillScreenNotableFrameNormal","Art/2DArt/UIImages/InGame/OraclePassiveSkillScreenNotableFrameCanAllocate","Art/2DArt/UIImages/InGame/OraclePassiveSkillScreenNotableFrameActive","Art/2DArt/UIEffects/PassiveSkillScreen/NotableFrameMask.dds","Art/2DArt/UIImages/InGame/OracleNotablePassiveHeader"
35,"DruidOracleAscendancyKeystone","Art/2DArt/UIImages/InGame/OraclePassiveSkillScreenKeystoneFrameNormal","Art/2DArt/UIImages/InGame/OraclePassiveSkillScreenKeystoneFrameCanAllocate","Art/2DArt/UIImages/InGame/OraclePassiveSkillScreenKeystoneFrameActive","Art/2DArt/UIEffects/PassiveSkillScreen/KeystoneFrameMask.dds","Art/2DArt/UIImages/InGame/OracleKeystonePassiveHeader"
36,"BrequelSkillTreeSmall","Art/2DArt/UIImages/InGame/BreachLeague/BreachTreePassiveSkillScreenPassiveFrameNormal","Art/2DArt/UIImages/InGame/BreachLeague/BreachTreePassiveSkillScreenPassiveFrameCanAllocate","Art/2DArt/UIImages/InGame/BreachLeague/BreachTreePassiveSkillScreenPassiveFrameActive","Art/2DArt/UIEffects/PassiveSkillScreen/BreachTreeNodeFrameMask.dds","Art/2DArt/UIImages/InGame/BreachLeague/BreachTreeNormalPassiveHeader"
37,"BrequelSkillTreeMultichoice","Art/2DArt/UIImages/InGame/BreachLeague/BreachTreeFancyPassiveSkillScreenPassiveFrameNormal","Art/2DArt/UIImages/InGame/BreachLeague/BreachTreeFancyPassiveSkillScreenPassiveFrameCanAllocate","Art/2DArt/UIImages/InGame/BreachLeague/BreachTreeFancyPassiveSkillScreenPassiveFrameActive","Art/2DArt/UIEffects/PassiveSkillScreen/BreachTreeFancyNodeFrameMask.dds","Art/2DArt/UIImages/InGame/BreachLeague/BreachTreeNormalPassiveHeader"
38,"BrequelSkillTreeNotable","Art/2DArt/UIImages/InGame/BreachLeague/BreachBasicPassiveSkillScreenPassiveFrameNormal","Art/2DArt/UIImages/InGame/BreachLeague/BreachBasicPassiveSkillScreenPassiveFrameCanAllocate","Art/2DArt/UIImages/InGame/BreachLeague/BreachBasicPassiveSkillScreenPassiveFrameActive","Art/2DArt/UIEffects/PassiveSkillScreen/BreachBasicNodeFrameMask.dds","Art/2DArt/UIImages/InGame/BreachLeague/BreachTreeNormalPassiveHeader"
39,"BrequelSkillTreeKeystone","Art/2DArt/UIImages/InGame/BreachLeague/BreachTreeInventorySlot1x1","Art/2DArt/UIImages/InGame/BreachLeague/BreachTreeInventorySlot1x1","Art/2DArt/UIImages/InGame/BreachLeague/BreachTreeInventorySlot1x1Active","Art/2DArt/UIEffects/PassiveSkillScreen/BreachTreeInventorySlot1x1Mask.dds","Art/2DArt/UIImages/InGame/BreachLeague/BreachTreeNormalPassiveHeader"
40,"CharacterDeliriumAnointSmall","Art/2DArt/UIImages/InGame/AnointPassiveSkillScreenFrameSmallNormal","Art/2DArt/UIImages/InGame/AnointPassiveSkillScreenFrameSmallCanAllocate","Art/2DArt/UIImages/InGame/AnointPassiveSkillScreenFrameSmallAllocated","Art/2DArt/UIEffects/PassiveSkillScreen/AnointPassiveSkillScreenFrameSmallMask.dds","Art/2DArt/UIImages/InGame/NormalPassiveHeader"
41,"CharacterDeliriumAnointNotable","Art/2DArt/UIImages/InGame/AnointPassiveSkillScreenFrameLargeNormal","Art/2DArt/UIImages/InGame/AnointPassiveSkillScreenFrameLargeCanAllocate","Art/2DArt/UIImages/InGame/AnointPassiveSkillScreenFrameLargeAllocated","Art/2DArt/UIEffects/PassiveSkillScreen/AnointPassiveSkillScreenFrameLargeMask.dds","Art/2DArt/UIImages/InGame/NotablePassiveHeader"
42,"CharacterDeliriumAnointKeystone","Art/2DArt/UIImages/InGame/AnointPassiveSkillScreenKeystoneFrameNormal","Art/2DArt/UIImages/InGame/AnointPassiveSkillScreenKeystoneFrameCanAllocate","Art/2DArt/UIImages/InGame/AnointPassiveSkillScreenKeystoneFrameActive","Art/2DArt/UIEffects/PassiveSkillScreen/AnointPassiveSkillScreenKeystoneFrameMask.dds","Art/2DArt/UIImages/InGame/KeystonePassiveHeader"
43,"SinisterJewel","Art/2DArt/UIImages/InGame/Delirium/VoicesJewel/VoicesJewelFrame","Art/2DArt/UIImages/InGame/Delirium/VoicesJewel/VoicesJewelFrame","Art/2DArt/UIImages/InGame/Delirium/VoicesJewel/VoicesJewelFrame","","Art/2DArt/UIImages/InGame/JewelPassiveHeader"
44,"CharacterDeliriumAnointJewel","Art/2DArt/UIImages/InGame/DeliriumPassiveSkillScreenJewelSocketNormal","Art/2DArt/UIImages/InGame/DeliriumPassiveSkillScreenJewelSocketCanAllocate","Art/2DArt/UIImages/InGame/DeliriumPassiveSkillScreenJewelSocketActive","Art/2DArt/UIEffects/PassiveSkillScreen/AnointPassiveSkillScreenFrameLargeMask.dds","Art/2DArt/UIImages/InGame/JewelPassiveHeader"
