"rownum","Id","Icon_DDSFile","Stats","Stat1Value","Stat2Value","Stat3Value","Stat4Value","PassiveSkillGraphId","Name","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","Characters","IsKeystone","IsNotable","FlavourText","FlavourText (French)","FlavourText (German)","FlavourText (Japanese)","FlavourText (Korean)","FlavourText (Portuguese)","FlavourText (Russian)","FlavourText (Spanish)","FlavourText (Thai)","FlavourText (Traditional Chinese)","IsJustIcon","AchievementItem","IsJewelSocket","Ascendancy","IsAscendancyStartingNode","ReminderStrings","SkillPointsGranted","IsMultipleChoice","IsMultipleChoiceOption","Stat5Value","PassiveSkillBuffs","IsAnointmentOnly","i32_162","IsExpansion","IsProxyPassive","SkillType","MasteryGroup","Group","SoundEffect","AtlasNodeGroup","i32_228","i32_232","i32_236","i32_240","i32_244","bool_248","[rid]_249","i32_265","[rid]_269","bool_285","AudioEvent","bool_302","IsAttribute","AtlasSubTree","IsRootOfAtlasTree","GrantedSkill","WeaponPointsGranted","IsFree","bool_342","UnlockedBy","VisibleForAscendancy","bool_375","NodeFrameArt","bool_392","i32_393","bool_397","BrequelTree","i32_414","bool_418","StatValue6","StatValue7","i32_427","i32_431","rid_435","i32_451","QuestFlag","Requirement"
10,"attributes11","Art/2DArt/SkillIcons/passives/plusattribute.dds",[18365],1,0,0,0,30808,"Attribute","Attribut","Attribute","能力値","능력치","Atributo","Характеристика","Atributo","ค่าคุณสมบัติ","能力",[],"","","","","","","","","","","","","","","","","",[],0,"","",0,[],"",0,"","",0,"","","","",0,0,0,0,0,"",[],0,[],"","","",1,"","","",0,"","",[],"","","","",4825,"","",4825,"",0,0,0,0,0,0,"",""
11,"attributes12","Art/2DArt/SkillIcons/passives/plusattribute.dds",[18365],1,0,0,0,47976,"Attribute","Attribut","Attribute","能力値","능력치","Atributo","Характеристика","Atributo","ค่าคุณสมบัติ","能力",[],"","","","","","","","","","","","","","","","","",[],0,"","",0,[],"",0,"","",0,"","","","",0,0,0,0,0,"",[],0,[],"","","",1,"","","",0,"","",[],"","","","",4825,"","",4825,"",0,0,0,0,0,0,"",""
12,"attributes13","Art/2DArt/SkillIcons/passives/plusattribute.dds",[18365],1,0,0,0,48552,"Attribute","Attribut","Attribute","能力値","능력치","Atributo","Характеристика","Atributo","ค่าคุณสมบัติ","能力",[],"","","","","","","","","","","","","","","","","",[],0,"","",0,[],"",0,"","",0,"","","","",0,0,0,0,0,"",[],0,[],"","","",1,"","","",0,"","",[],"","","","",4825,"","",4825,"",0,0,0,0,0,0,"",""
13,"attributes14","Art/2DArt/SkillIcons/passives/plusattribute.dds",[18365],1,0,0,0,31238,"Attribute","Attribut","Attribute","能力値","능력치","Atributo","Характеристика","Atributo","ค่าคุณสมบัติ","能力",[],"","","","","","","","","","","","","","","","","",[],0,"","",0,[],"",0,"","",0,"","","","",0,0,0,0,0,"",[],0,[],"","","",1,"","","",0,"","",[],"","","","",4825,"","",4825,"",0,0,0,0,0,0,"",""
14,"attributes15","Art/2DArt/SkillIcons/passives/plusattribute.dds",[18365],1,0,0,0,30141,"Attribute","Attribut","Attribute","能力値","능력치","Atributo","Характеристика","Atributo","ค่าคุณสมบัติ","能力",[],"","","","","","","","","","","","","","","","","",[],0,"","",0,[],"",0,"","",0,"","","","",0,0,0,0,0,"",[],0,[],"","","",1,"","","",0,"","",[],"","","","",4825,"","",4825,"",0,0,0,0,0,0,"",""
15,"attributes16","Art/2DArt/SkillIcons/passives/plusattribute.dds",[18365],1,0,0,0,18448,"Attribute","Attribut","Attribute","能力値","능력치","Atributo","Характеристика","Atributo","ค่าคุณสมบัติ","能力",[],"","","","","","","","","","","","","","","","","",[],0,"","",0,[],"",0,"","",0,"","","","",0,0,0,0,0,"",[],0,[],"","","",1,"","","",0,"","",[],"","","","",4825,"","",4825,"",0,0,0,0,0,0,"",""
16,"attributes17_","Art/2DArt/SkillIcons/passives/plusattribute.dds",[18365],1,0,0,0,28304,"Attribute","Attribut","Attribute","能力値","능력치","Atributo","Характеристика","Atributo","ค่าคุณสมบัติ","能力",[],"","","","","","","","","","","","","","","","","",[],0,"","",0,[],"",0,"","",0,"","","","",0,0,0,0,0,"",[],0,[],"","","",1,"","","",0,"","",[],"","","","",4825,"","",4825,"",0,0,0,0,0,0,"",""
17,"attributes18","Art/2DArt/SkillIcons/passives/plusattribute.dds",[18365],1,0,0,0,37258,"Attribute","Attribut","Attribute","能力値","능력치","Atributo","Характеристика","Atributo","ค่าคุณสมบัติ","能力",[],"","","","","","","","","","","","","","","","","",[],0,"","",0,[],"",0,"","",0,"","","","",0,0,0,0,0,"",[],0,[],"","","",1,"","","",0,"","",[],"","","","",4825,"","",4825,"",0,0,0,0,0,0,"",""
18,"attributes19","Art/2DArt/SkillIcons/passives/plusattribute.dds",[18365],1,0,0,0,24922,"Attribute","Attribut","Attribute","能力値","능력치","Atributo","Характеристика","Atributo","ค่าคุณสมบัติ","能力",[],"","","","","","","","","","","","","","","","","",[],0,"","",0,[],"",0,"","",0,"","","","",0,0,0,0,0,"",[],0,[],"","","",1,"","","",0,"","",[],"","","","",4825,"","",4825,"",0,0,0,0,0,0,"",""
19,"attributes20-","Art/2DArt/SkillIcons/passives/plusattribute.dds",[18365],1,0,0,0,34201,"Attribute","Attribut","Attribute","能力値","능력치","Atributo","Характеристика","Atributo","ค่าคุณสมบัติ","能力",[],"","","","","","","","","","","","","","","","","",[],0,"","",0,[],"",0,"","",0,"","","","",0,0,0,0,0,"",[],0,[],"","","",1,"","","",0,"","",[],"","","","",4825,"","",4825,"",0,0,0,0,0,0,"",""
20,"attributes21","Art/2DArt/SkillIcons/passives/plusattribute.dds",[18365],1,0,0,0,46819,"Attribute","Attribut","Attribute","能力値","능력치","Atributo","Характеристика","Atributo","ค่าคุณสมบัติ","能力",[],"","","","","","","","","","","","","","","","","",[],0,"","",0,[],"",0,"","",0,"","","","",0,0,0,0,0,"",[],0,[],"","","",1,"","","",0,"","",[],"","","","",4825,"","",4825,"",0,0,0,0,0,0,"",""
21,"attributes22_","Art/2DArt/SkillIcons/passives/plusattribute.dds",[18365],1,0,0,0,32183,"Attribute","Attribut","Attribute","能力値","능력치","Atributo","Характеристика","Atributo","ค่าคุณสมบัติ","能力",[],"","","","","","","","","","","","","","","","","",[],0,"","",0,[],"",0,"","",0,"","","","",0,0,0,0,0,"",[],0,[],"","","",1,"","","",0,"","",[],"","","","",4825,"","",4825,"",0,0,0,0,0,0,"",""
22,"attributes23","Art/2DArt/SkillIcons/passives/plusattribute.dds",[18365],1,0,0,0,4059,"Attribute","Attribut","Attribute","能力値","능력치","Atributo","Характеристика","Atributo","ค่าคุณสมบัติ","能力",[],"","","","","","","","","","","","","","","","","",[],0,"","",0,[],"",0,"","",0,"","","","",0,0,0,0,0,"",[],0,[],"","","",1,"","","",0,"","",[],"","","","",4825,"","",4825,"",0,0,0,0,0,0,"",""
23,"attributes24","Art/2DArt/SkillIcons/passives/plusattribute.dds",[18365],1,0,0,0,10382,"Attribute","Attribut","Attribute","能力値","능력치","Atributo","Характеристика","Atributo","ค่าคุณสมบัติ","能力",[],"","","","","","","","","","","","","","","","","",[],0,"","",0,[],"",0,"","",0,"","","","",0,0,0,0,0,"",[],0,[],"","","",1,"","","",0,"","",[],"","","","",4825,"","",4825,"",0,0,0,0,0,0,"",""
24,"attributes25","Art/2DArt/SkillIcons/passives/plusattribute.dds",[18365],1,0,0,0,42379,"Attribute","Attribut","Attribute","能力値","능력치","Atributo","Характеристика","Atributo","ค่าคุณสมบัติ","能力",[],"","","","","","","","","","","","","","","","","",[],0,"","",0,[],"",0,"","",0,"","","","",0,0,0,0,0,"",[],0,[],"","","",1,"","","",0,"","",[],"","","","",4825,"","",4825,"",0,0,0,0,0,0,"",""
25,"attributes26","Art/2DArt/SkillIcons/passives/plusattribute.dds",[18365],1,0,0,0,41017,"Attribute","Attribut","Attribute","能力値","능력치","Atributo","Характеристика","Atributo","ค่าคุณสมบัติ","能力",[],"","","","","","","","","","","","","","","","","",[],0,"","",0,[],"",0,"","",0,"","","","",0,0,0,0,0,"",[],0,[],"","","",1,"","","",0,"","",[],"","","","",4825,"","",4825,"",0,0,0,0,0,0,"",""
26,"attributes27","Art/2DArt/SkillIcons/passives/plusattribute.dds",[18365],1,0,0,0,14262,"Attribute","Attribut","Attribute","能力値","능력치","Atributo","Характеристика","Atributo","ค่าคุณสมบัติ","能力",[],"","","","","","","","","","","","","","","","","",[],0,"","",0,[],"",0,"","",0,"","","","",0,0,0,0,0,"",[],0,[],"","","",1,"","","",0,"","",[],"","","","",4825,"","",4825,"",0,0,0,0,0,0,"",""
27,"attributes28","Art/2DArt/SkillIcons/passives/plusattribute.dds",[18365],1,0,0,0,11604,"Attribute","Attribut","Attribute","能力値","능력치","Atributo","Характеристика","Atributo","ค่าคุณสมบัติ","能力",[],"","","","","","","","","","","","","","","","","",[],0,"","",0,[],"",0,"","",0,"","","","",0,0,0,0,0,"",[],0,[],"","","",1,"","","",0,"","",[],"","","","",4825,"","",4825,"",0,0,0,0,0,0,"",""
28,"attributes29","Art/2DArt/SkillIcons/passives/plusattribute.dds",[18365],1,0,0,0,63888,"Attribute","Attribut","Attribute","能力値","능력치","Atributo","Характеристика","Atributo","ค่าคุณสมบัติ","能力",[],"","","","","","","","","","","","","","","","","",[],0,"","",0,[],"",0,"","",0,"","","","",0,0,0,0,0,"",[],0,[],"","","",1,"","","",0,"","",[],"","","","",4825,"","",4825,"",0,0,0,0,0,0,"",""
29,"attributes30_","Art/2DArt/SkillIcons/passives/plusattribute.dds",[18365],1,0,0,0,48635,"Attribute","Attribut","Attribute","能力値","능력치","Atributo","Характеристика","Atributo","ค่าคุณสมบัติ","能力",[],"","","","","","","","","","","","","","","","","",[],0,"","",0,[],"",0,"","",0,"","","","",0,0,0,0,0,"",[],0,[],"","","",1,"","","",0,"","",[],"","","","",4825,"","",4825,"",0,0,0,0,0,0,"",""
30,"attributes31","Art/2DArt/SkillIcons/passives/plusattribute.dds",[18365],1,0,0,0,28002,"Attribute","Attribut","Attribute","能力値","능력치","Atributo","Характеристика","Atributo","ค่าคุณสมบัติ","能力",[],"","","","","","","","","","","","","","","","","",[],0,"","",0,[],"",0,"","",0,"","","","",0,0,0,0,0,"",[],0,[],"","","",1,"","","",0,"","",[],"","","","",4825,"","",4825,"",0,0,0,0,0,0,"",""
31,"attributes32","Art/2DArt/SkillIcons/passives/plusattribute.dds",[18365],1,0,0,0,57703,"Attribute","Attribut","Attribute","能力値","능력치","Atributo","Характеристика","Atributo","ค่าคุณสมบัติ","能力",[],"","","","","","","","","","","","","","","","","",[],0,"","",0,[],"",0,"","",0,"","","","",0,0,0,0,0,"",[],0,[],"","","",1,"","","",0,"","",[],"","","","",4825,"","",4825,"",0,0,0,0,0,0,"",""
32,"attributes33","Art/2DArt/SkillIcons/passives/plusattribute.dds",[18365],1,0,0,0,34840,"Attribute","Attribut","Attribute","能力値","능력치","Atributo","Характеристика","Atributo","ค่าคุณสมบัติ","能力",[],"","","","","","","","","","","","","","","","","",[],0,"","",0,[],"",0,"","",0,"","","","",0,0,0,0,0,"",[],0,[],"","","",1,"","","",0,"","",[],"","","","",4825,"","",4825,"",0,0,0,0,0,0,"",""
33,"attributes34","Art/2DArt/SkillIcons/passives/plusattribute.dds",[18365],1,0,0,0,15671,"Attribute","Attribut","Attribute","能力値","능력치","Atributo","Характеристика","Atributo","ค่าคุณสมบัติ","能力",[],"","","","","","","","","","","","","","","","","",[],0,"","",0,[],"",0,"","",0,"","","","",0,0,0,0,0,"",[],0,[],"","","",1,"","","",0,"","",[],"","","","",4825,"","",4825,"",0,0,0,0,0,0,"",""
34,"attributes35","Art/2DArt/SkillIcons/passives/plusattribute.dds",[18365],1,0,0,0,49996,"Attribute","Attribut","Attribute","能力値","능력치","Atributo","Характеристика","Atributo","ค่าคุณสมบัติ","能力",[],"","","","","","","","","","","","","","","","","",[],0,"","",0,[],"",0,"","",0,"","","","",0,0,0,0,0,"",[],0,[],"","","",1,"","","",0,"","",[],"","","","",4825,"","",4825,"",0,0,0,0,0,0,"",""
35,"attributes36","Art/2DArt/SkillIcons/passives/plusattribute.dds",[18365],1,0,0,0,27500,"Attribute","Attribut","Attribute","能力値","능력치","Atributo","Характеристика","Atributo","ค่าคุณสมบัติ","能力",[],"","","","","","","","","","","","","","","","","",[],0,"","",0,[],"",0,"","",0,"","","","",0,0,0,0,0,"",[],0,[],"","","",1,"","","",0,"","",[],"","","","",4825,"","",4825,"",0,0,0,0,0,0,"",""
36,"attributes37","Art/2DArt/SkillIcons/passives/plusattribute.dds",[18365],1,0,0,0,20952,"Attribute","Attribut","Attribute","能力値","능력치","Atributo","Характеристика","Atributo","ค่าคุณสมบัติ","能力",[],"","","","","","","","","","","","","","","","","",[],0,"","",0,[],"",0,"","",0,"","","","",0,0,0,0,0,"",[],0,[],"","","",1,"","","",0,"","",[],"","","","",4825,"","",4825,"",0,0,0,0,0,0,"",""
37,"attributes38","Art/2DArt/SkillIcons/passives/plusattribute.dds",[18365],1,0,0,0,49046,"Attribute","Attribut","Attribute","能力値","능력치","Atributo","Характеристика","Atributo","ค่าคุณสมบัติ","能力",[],"","","","","","","","","","","","","","","","","",[],0,"","",0,[],"",0,"","",0,"","","","",0,0,0,0,0,"",[],0,[],"","","",1,"","","",0,"","",[],"","","","",4825,"","",4825,"",0,0,0,0,0,0,"",""
38,"attributes39","Art/2DArt/SkillIcons/passives/plusattribute.dds",[18365],1,0,0,0,42736,"Attribute","Attribut","Attribute","能力値","능력치","Atributo","Характеристика","Atributo","ค่าคุณสมบัติ","能力",[],"","","","","","","","","","","","","","","","","",[],0,"","",0,[],"",0,"","",0,"","","","",0,0,0,0,0,"",[],0,[],"","","",1,"","","",0,"","",[],"","","","",4825,"","",4825,"",0,0,0,0,0,0,"",""
39,"attributes40","Art/2DArt/SkillIcons/passives/plusattribute.dds",[18365],1,0,0,0,30555,"Attribute","Attribut","Attribute","能力値","능력치","Atributo","Характеристика","Atributo","ค่าคุณสมบัติ","能力",[],"","","","","","","","","","","","","","","","","",[],0,"","",0,[],"",0,"","",0,"","","","",0,0,0,0,0,"",[],0,[],"","","",1,"","","",0,"","",[],"","","","",4825,"","",4825,"",0,0,0,0,0,0,"",""
40,"attributes41","Art/2DArt/SkillIcons/passives/plusattribute.dds",[18365],1,0,0,0,16387,"Attribute","Attribut","Attribute","能力値","능력치","Atributo","Характеристика","Atributo","ค่าคุณสมบัติ","能力",[],"","","","","","","","","","","","","","","","","",[],0,"","",0,[],"",0,"","",0,"","","","",0,0,0,0,0,"",[],0,[],"","","",1,"","","",0,"","",[],"","","","",4825,"","",4825,"",0,0,0,0,0,0,"",""
41,"attributes42","Art/2DArt/SkillIcons/passives/plusattribute.dds",[18365],1,0,0,0,56608,"Attribute","Attribut","Attribute","能力値","능력치","Atributo","Характеристика","Atributo","ค่าคุณสมบัติ","能力",[],"","","","","","","","","","","","","","","","","",[],0,"","",0,[],"",0,"","",0,"","","","",0,0,0,0,0,"",[],0,[],"","","",1,"","","",0,"","",[],"","","","",4825,"","",4825,"",0,0,0,0,0,0,"",""
42,"attributes43","Art/2DArt/SkillIcons/passives/plusattribute.dds",[18365],1,0,0,0,61976,"Attribute","Attribut","Attribute","能力値","능력치","Atributo","Характеристика","Atributo","ค่าคุณสมบัติ","能力",[],"","","","","","","","","","","","","","","","","",[],0,"","",0,[],"",0,"","",0,"","","","",0,0,0,0,0,"",[],0,[],"","","",1,"","","",0,"","",[],"","","","",4825,"","",4825,"",0,0,0,0,0,0,"",""
43,"attributes44","Art/2DArt/SkillIcons/passives/plusattribute.dds",[18365],1,0,0,0,37612,"Attribute","Attribut","Attribute","能力値","능력치","Atributo","Характеристика","Atributo","ค่าคุณสมบัติ","能力",[],"","","","","","","","","","","","","","","","","",[],0,"","",0,[],"",0,"","",0,"","","","",0,0,0,0,0,"",[],0,[],"","","",1,"","","",0,"","",[],"","","","",4825,"","",4825,"",0,0,0,0,0,0,"",""
44,"attributes45","Art/2DArt/SkillIcons/passives/plusattribute.dds",[18365],1,0,0,0,15182,"Attribute","Attribut","Attribute","能力値","능력치","Atributo","Характеристика","Atributo","ค่าคุณสมบัติ","能力",[],"","","","","","","","","","","","","","","","","",[],0,"","",0,[],"",0,"","",0,"","","","",0,0,0,0,0,"",[],0,[],"","","",1,"","","",0,"","",[],"","","","",4825,"","",4825,"",0,0,0,0,0,0,"",""
45,"attributes46","Art/2DArt/SkillIcons/passives/plusattribute.dds",[18365],1,0,0,0,21274,"Attribute","Attribut","Attribute","能力値","능력치","Atributo","Характеристика","Atributo","ค่าคุณสมบัติ","能力",[],"","","","","","","","","","","","","","","","","",[],0,"","",0,[],"",0,"","",0,"","","","",0,0,0,0,0,"",[],0,[],"","","",1,"","","",0,"","",[],"","","","",4825,"","",4825,"",0,0,0,0,0,0,"",""
46,"attributes47","Art/2DArt/SkillIcons/passives/plusattribute.dds",[18365],1,0,0,0,17118,"Attribute","Attribut","Attribute","能力値","능력치","Atributo","Характеристика","Atributo","ค่าคุณสมบัติ","能力",[],"","","","","","","","","","","","","","","","","",[],0,"","",0,[],"",0,"","",0,"","","","",0,0,0,0,0,"",[],0,[],"","","",1,"","","",0,"","",[],"","","","",4825,"","",4825,"",0,0,0,0,0,0,"",""
47,"attributes48","Art/2DArt/SkillIcons/passives/plusattribute.dds",[18365],1,0,0,0,16845,"Attribute","Attribut","Attribute","能力値","능력치","Atributo","Характеристика","Atributo","ค่าคุณสมบัติ","能力",[],"","","","","","","","","","","","","","","","","",[],0,"","",0,[],"",0,"","",0,"","","","",0,0,0,0,0,"",[],0,[],"","","",1,"","","",0,"","",[],"","","","",4825,"","",4825,"",0,0,0,0,0,0,"",""
48,"attributes49","Art/2DArt/SkillIcons/passives/plusattribute.dds",[18365],1,0,0,0,30494,"Attribute","Attribut","Attribute","能力値","능력치","Atributo","Характеристика","Atributo","ค่าคุณสมบัติ","能力",[],"","","","","","","","","","","","","","","","","",[],0,"","",0,[],"",0,"","",0,"","","","",0,0,0,0,0,"",[],0,[],"","","",1,"","","",0,"","",[],"","","","",4825,"","",4825,"",0,0,0,0,0,0,"",""
49,"attributes50","Art/2DArt/SkillIcons/passives/plusattribute.dds",[18365],1,0,0,0,10100,"Attribute","Attribut","Attribute","能力値","능력치","Atributo","Характеристика","Atributo","ค่าคุณสมบัติ","能力",[],"","","","","","","","","","","","","","","","","",[],0,"","",0,[],"",0,"","",0,"","","","",0,0,0,0,0,"",[],0,[],"","","",1,"","","",0,"","",[],"","","","",4825,"","",4825,"",0,0,0,0,0,0,"",""
50,"attributes51","Art/2DArt/SkillIcons/passives/plusattribute.dds",[18365],1,0,0,0,4527,"Attribute","Attribut","Attribute","能力値","능력치","Atributo","Характеристика","Atributo","ค่าคุณสมบัติ","能力",[],"","","","","","","","","","","","","","","","","",[],0,"","",0,[],"",0,"","",0,"","","","",0,0,0,0,0,"",[],0,[],"","","",1,"","","",0,"","",[],"","","","",4825,"","",4825,"",0,0,0,0,0,0,"",""
51,"attributes52","Art/2DArt/SkillIcons/passives/plusattribute.dds",[18365],1,0,0,0,21568,"Attribute","Attribut","Attribute","能力値","능력치","Atributo","Характеристика","Atributo","ค่าคุณสมบัติ","能力",[],"","","","","","","","","","","","","","","","","",[],0,"","",0,[],"",0,"","",0,"","","","",0,0,0,0,0,"",[],0,[],"","","",1,"","","",0,"","",[],"","","","",4825,"","",4825,"",0,0,0,0,0,0,"",""
52,"attributes53","Art/2DArt/SkillIcons/passives/plusattribute.dds",[18365],1,0,0,0,15782,"Attribute","Attribut","Attribute","能力値","능력치","Atributo","Характеристика","Atributo","ค่าคุณสมบัติ","能力",[],"","","","","","","","","","","","","","","","","",[],0,"","",0,[],"",0,"","",0,"","","","",0,0,0,0,0,"",[],0,[],"","","",1,"","","",0,"","",[],"","","","",4825,"","",4825,"",0,0,0,0,0,0,"",""
53,"attributes54_","Art/2DArt/SkillIcons/passives/plusattribute.dds",[18365],1,0,0,0,39710,"Attribute","Attribut","Attribute","能力値","능력치","Atributo","Характеристика","Atributo","ค่าคุณสมบัติ","能力",[],"","","","","","","","","","","","","","","","","",[],0,"","",0,[],"",0,"","",0,"","","","",0,0,0,0,0,"",[],0,[],"","","",1,"","","",0,"","",[],"","","","",4825,"","",4825,"",0,0,0,0,0,0,"",""
54,"attributes55","Art/2DArt/SkillIcons/passives/plusattribute.dds",[18365],1,0,0,0,49734,"Attribute","Attribut","Attribute","能力値","능력치","Atributo","Характеристика","Atributo","ค่าคุณสมบัติ","能力",[],"","","","","","","","","","","","","","","","","",[],0,"","",0,[],"",0,"","",0,"","","","",0,0,0,0,0,"",[],0,[],"","","",1,"","","",0,"","",[],"","","","",4825,"","",4825,"",0,0,0,0,0,0,"",""
55,"attributes56","Art/2DArt/SkillIcons/passives/plusattribute.dds",[18365],1,0,0,0,24165,"Attribute","Attribut","Attribute","能力値","능력치","Atributo","Характеристика","Atributo","ค่าคุณสมบัติ","能力",[],"","","","","","","","","","","","","","","","","",[],0,"","",0,[],"",0,"","",0,"","","","",0,0,0,0,0,"",[],0,[],"","","",1,"","","",0,"","",[],"","","","",4825,"","",4825,"",0,0,0,0,0,0,"",""
56,"attributes57","Art/2DArt/SkillIcons/passives/plusattribute.dds",[18365],1,0,0,0,14543,"Attribute","Attribut","Attribute","能力値","능력치","Atributo","Характеристика","Atributo","ค่าคุณสมบัติ","能力",[],"","","","","","","","","","","","","","","","","",[],0,"","",0,[],"",0,"","",0,"","","","",0,0,0,0,0,"",[],0,[],"","","",1,"","","",0,"","",[],"","","","",4825,"","",4825,"",0,0,0,0,0,0,"",""
