"rownum","Id","ItemClasses","Text","Text (French)","Text (German)","Text (Japanese)","Text (Korean)","Text (Portuguese)","Text (Russian)","Text (Spanish)","Text (Thai)","Text (Traditional Chinese)"
10,"ArmourJewellery","[25,24,22,23,26,5,4,21,92]","[EquipArmour|Armour], Belt or [Jewellery]","[EquipArmour|Pièce d'armure] ou [Jewellery|Accessoire]","[EquipArmour|Rüstung] oder [Jewellery|Schmuck]","[EquipArmour|防具]、ベルトまたは[Jewellery|宝飾品]","[EquipArmour|방어구], 허리띠 또는 [Jewellery|장신구]","[EquipArmour|Armadura], Cinto ou [Jewellery|Pedrarias]","[EquipArmour|Доспехи], пояс или [Jewellery|бижутерия]","[EquipArmour|Armadura], cinturón o [Jewellery|joyería]","[EquipArmour|เกราะ], เข็มขัด หรือ [Jewellery|เครื่องประดับ]","[EquipArmour|護甲]、腰帶或[Jewellery|飾品]"
11,"ArmourBelt","[25,24,22,23,26,21,92]","[EquipArmour|Armour] or Belt","[EquipArmour|Pièce d'armure] ou Ceinture","[EquipArmour|Rüstung] oder Gürtel","[EquipArmour|防具]またはベルト","[EquipArmour|방어구] 또는 허리띠","[EquipArmour|Armadura] ou Cinto","[EquipArmour|Доспехи] или пояс","[EquipArmour|Armadura] o cinturón","[EquipArmour|เกราะ]หรือเข็มขัด","[Armour|護甲]或腰帶"
12,"AmuletRing","[5,4]","[Jewellery]","[Jewellery|Accessoire]","[Jewellery|Schmuck]","[Jewellery|宝飾品]","[Jewellery|장신구]","[Jewellery|Pedrarias]","[Jewellery|Бижутерия]","[Jewellery|joyería]","[Jewellery|เครื่องประดับ]","[Jewellery|飾品]"
13,"ShieldBeltHelmetBody","[21,24,25,26,92]","Belt, Body Armour, Helmet or [Shield]","Ceinture, Armure, Casque ou [Shield|Bouclier]","Gürtel, Körperrüstung, Helm oder [Shield|Schild]","ベルト、鎧、兜または[Shield|盾]","허리띠, 갑옷, 투구 또는 [Shield|방패]","Cinto, Peitoral, Elmo ou [Shield|Escudo]","Пояс, нательный доспех, шлем или [Shield|щит]","Cinturón, armadura, casco o [Shield|escudo]","เข็มขัด, เสื้อเกราะ, หมวก หรือ [Shield|โล่]","腰帶、身體護甲、頭盔或[Shield|盾牌]"
14,"AmuletBootsGlovesRing","[4,23,22,5]","Amulet, Boots, Gloves or Ring","Amulette, Bottes, Gants ou Bague","Amulett, Stiefel, Handschuhe oder Ring","アミュレット、靴、手袋または指輪","목걸이, 장화, 장갑 또는 반지","Amuleto, Botas, Luvas ou Anel","Амулет, сапоги, перчатки или кольцо","Amuleto, botas, guantes o anillo","สร้อย, รองเท้า, ถุงมือ หรือ แหวน","項鍊、長靴、手套或戒指"
15,"AmuletBootsGloves","[4,23,22]","Amulet, Boots or Gloves","Amulette, Bottes ou Gants","Amulett, Stiefel oder Handschuhe","アミュレット、靴または手袋","목걸이, 장화 또는 장갑","Amuleto, Botas ou Luvas","Амулет, сапоги или перчатки","Amuleto, botas o guantes","สร้อย, รองเท้า หรือ แหวน","項鍊、長靴或手套"
16,"BeltHelmetShield","[21,25,26,92]","Belt, Helmet or [Shield]","Ceinture, Casque ou [Shield|Bouclier]","Gürtel, Helm oder [Shield|Schild]","ベルト、兜または[Shield|盾]","허리띠, 투구 또는 [Shield|방패]","Cinto, Elmo ou [Shield|Escudo]","Пояс, шлем или [Shield|щит]","Cinturón, casco o [Shield|escudo]","เข็มขัด, หมวก หรือ [Shield|โล่]","腰帶、頭盔或[Shield|盾牌]"
17,"FocusSceptreWand","[79,32,8]","[Focus], [Sceptre] or [Wand]","[Focus|Focus], [Sceptre|Sceptre] ou [Wand|Baguette]","[Focus|Fokus], [Sceptre|Zepter] oder [Wand|Zauberstab]","[Focus|フォーカス]、[Sceptre|セプター]または[Wand|ワンド]","[Focus|집중구], [Sceptre|셉터] 또는 [Wand|마법봉]","[Focus|Foco], [Sceptre|Cetro] ou [Wand|Varinha]","[Focus|Фокус], [Sceptre|скипетр] или [Wand|жезл]","[Focus|Foco], [Sceptre|cetro] o [Wand|varita]","[Focus|โฟกัส], [Sceptre|คทา] หรือ [Wand|ไม้กายสิทธิ์]","[Focus|法器]、[Sceptre|權杖]或[Wand|法杖]"
18,"Staff",[14],"[Staff]","[Staff|Bâton]","[Staff|Stab]","[Staff|スタッフ]","[Staff|지팡이]","[Staff|Cajado]","[Staff|Посох]","[Staff|Báculo]","[Staff|ไม้พลอง]","[Staff|長杖]"
19,"BeltBootsGlovesHelmet","[23,22,25,21]","Belt, Boots, Gloves or Helmet","Ceinture, Bottes, Gants ou Casque","Gürtel, Stiefel, Handschuhe oder Helm","ベルト、靴、手袋または兜","허리띠, 장화, 장갑 또는 투구","Cinto, Botas, Luvas ou Elmo","Пояс, сапоги, перчатки или шлем","Cinturón, botas, guantes o casco","เข็มขัด, รองเท้า, ถุงมือ หรือ หมวก","腰帶、長靴、手套或頭盔"
20,"MeleeMartialWeapons","[9,11,12,15,16,17,77,57,7,83,108]","[Melee] [MartialWeapon|Weapon]","[MartialWeapon|Arme] de [Melee|Mêlée]","[Melee|Nahkampf][MartialWeapon|waffe]","[Melee|近接][MartialWeapon|武器]","[Melee|근접] [MartialWeapon|무기]","[MartialWeapon|Arma] [Melee|Corpo a Corpo]","[MartialWeapon|Боевое оружие] [Melee|ближнего боя] ","[MartialWeapon|Arma] [Melee|cuerpo a cuerpo]","[MartialWeapon|อาวุธ][Melee|ประชิด]","[Melee|近戰][MartialWeapon|武器]"
21,"OneHandMartialBow","[9,11,12,77,7,13,83,108]","One Handed [Melee] [MartialWeapon|Weapon] or [Bow]","[MartialWeapon|Arme] de [Melee|Mêlée] à une main ou [Bow|Arc]","Einhand-[Melee|Nahkampf][MartialWeapon|waffe] oder [Bow|Bogen]","片手[Melee|近接][MartialWeapon|武器]または[Bow|弓]","한손 [Melee|근접] [MartialWeapon|무기] 또는 [Bow|활]","[MartialWeapon|Arma] [Melee|Corpo a Corpo] de Uma Mão ou [Bow|Arco]","Одноручное [MartialWeapon|боевое оружие] [Melee|ближнего боя] или [Bow|лук]","[MartialWeapon|Arma] [Melee|cuerpo a cuerpo] a una mano o [Bow|arco]","[MartialWeapon|อาวุธ][Melee|ประชิด]มือเดียวหรือ[Bow|ธนู]","單手[Melee|近戰][MartialWeapon|武器]或[Bow|弓]"
22,"TwoHandMartialCrossBow","[15,16,17,57,78]","Two Handed [Melee] [MartialWeapon|Weapon] or [Crossbow]","[MartialWeapon|Arme] de [Melee|Mêlée] à deux mains ou [Crossbow|Arbalète]","Zweihand-[Melee|Nahkampf][MartialWeapon|waffe] oder [Crossbow|Armbrust]","両手[Melee|近接][MartialWeapon|武器]または[Crossbow|クロスボウ]","양손 [Melee|근접] [MartialWeapon|무기] 또는 [Crossbow|석궁]","[MartialWeapon|Arma] [Melee|Corpo a Corpo] de Duas Mãos ou [Crossbow|Besta]","Двуручное [MartialWeapon|боевое оружие] [Melee|ближнего боя] или [Crossbow|самострел]","[MartialWeapon|Arma] [Melee|cuerpo a cuerpo] a dos manos o [Crossbow|ballesta]","[MartialWeapon|อาวุธ][Melee|ประชิด]สองมือหรือ[Crossbow|หน้าไม้]","雙手[Melee|近戰][MartialWeapon|武器]或[Crossbow|十字弓]"
23,"FocusWand","[79,8]","[Focus] or [Wand]","[Focus|Focus] ou [Wand|Baguette]","[Focus|Fokus] oder [Wand|Zauberstab]","[Focus|フォーカス]または[Wand|ワンド]","[Focus|집중구] 또는 [Wand|마법봉]","[Focus|Foco] ou [Wand|Varinha]","[Focus|Фокус] или [Wand|жезл]","[Focus|Foco] o [Wand|varita]","[Focus|โฟกัส]หรือ[Wand|ไม้กายสิทธิ์]","[Focus|法器]或[Wand|法杖]"
24,"OneHandMeleeMartial","[9,11,12,77,7,83,108]","One Handed [Melee] [MartialWeapon|Weapon]","[MartialWeapon|Arme] de [Melee|Mêlée] à une main","Einhand-[Melee|Nahkampf][MartialWeapon|waffe]","片手[Melee|近接][MartialWeapon|武器]","한손 [Melee|근접] [MartialWeapon|무기]","[MartialWeapon|Arma] [Melee|Corpo a Corpo] de Uma Mão","Одноручное [MartialWeapon|боевое оружие] [Melee|ближнего боя]","[MartialWeapon|Arma] [Melee|cuerpo a cuerpo] a una mano","[MartialWeapon|อาวุธ][Melee|ประชิด]มือเดียว","單手[Melee|近戰][MartialWeapon|武器]"
25,"TwoHandMeleeMartial","[15,16,17,57]","Two Handed [Melee] [MartialWeapon|Weapon]","[MartialWeapon|Arme] de [Melee|Mêlée] à deux mains","Zweihand-[Melee|Nahkampf][MartialWeapon|waffe]","両手[Melee|近接][MartialWeapon|武器]","양손 [Melee|근접] [MartialWeapon|무기]","[MartialWeapon|Arma] [Melee|Corpo a Corpo] de Duas Mãos","Двуручное [MartialWeapon|боевое оружие] [Melee|ближнего боя]","[MartialWeapon|Arma] [Melee|cuerpo a cuerpo] a dos manos","[MartialWeapon|อาวุธ][Melee|ประชิด]สองมือ","雙手[Melee|近戰][MartialWeapon|武器]"
26,"BowCrossbow","[13,78]","[Bow] or [Crossbow]","[Bow|Arc] ou [Crossbow|Arbalète]","[Bow|Bogen] oder [Crossbow|Armbrust]","[Bow|弓]または[Crossbow|クロスボウ]","[Bow|활] 또는 [Crossbow|석궁]","[Bow|Arco] ou [Crossbow|Besta]","[Bow|лук] или [Crossbow|самострел]","[Bow|Arco] o [Crossbow|ballesta]","[Bow|ธนู]หรือ[Crossbow|หน้าไม้]","[Bow|弓]或[Crossbow|十字弓]"
27,"GlovesQuiver","[22,20,9,11,12,15,16,17,77,13,57,7,78,83,108]","[MartialWeapon|Martial Weapon], Gloves or [Quiver]","[MartialWeapon|Arme martiale], Gants ou [Quiver|Carquois]","[MartialWeapon|waffe], Handschuhe oder [Quiver|Köcher]","[MartialWeapon|マーシャル武器]、 手袋または[Quiver|矢筒]","[MartialWeapon|무도 무기], 장갑 또는 [Quiver|화살통]","[MartialWeapon|Arma Marcial], Luvas ou [Quiver|Aljava]","[MartialWeapon|Боевое оружие], перчатки или [Quiver|колчан]","[MartialWeapon|Arma marcial], guantes o [Quiver|carcaj]","[MartialWeapon|อาวุธจู่โจม], ถุงมือ หรือ [Quiver|ซองธนู]","[MartialWeapon|軍用武器]、手套或[Quiver|箭袋]"
28,"Boots",[23],"Boots","Bottes","Stiefel","靴","장화","Botas","Сапоги","Botas","รองเท้า","長靴"
29,"StaffWand","[14,8,79]","[Focus], [Staff] or [Wand]","[Focus|Focus], [Staff|Bâton] ou [Wand|Baguette]","[Focus|Fokus], [Staff|Stab] oder [Wand|Zauberstab]","[Focus|フォーカス]、[Staff|スタッフ]または[Wand|ワンド]","[Focus|집중구], [Staff|지팡이] 또는 [Wand|마법봉]","[Focus|Foco], [Staff|Cajado] ou [Wand|Varinha]","[Focus|Фокус], [Staff|посох] или [Wand|жезл]","[Focus|Foco], [Staff|báculo] o [Wand|varita]","[Focus|โฟกัส], [Staff|ไม้พลอง] หรือ [Wand|ไม้กายสิทธิ์]","[Focus|法器]、[Staff|長杖]或[Wand|法杖]"
30,"Helmet",[25],"Helmet","Casque","Helm","兜","투구","Elmo","Шлем","Casco","หมวก","頭盔"
31,"AmuletHelmet","[4,25]","Amulet or Helmet","Amulette ou Casque","Amulett oder Helm","アミュレットまたは兜","목걸이 또는 투구","Amuleto ou Elmo","Амулет или шлем","Amuleto o casco","สร้อยหรือหมวก","項鍊或頭盔"
32,"Quiver",[20],"[Quiver]","[Quiver|Carquois]","[Quiver|Köcher]","[Quiver|矢筒]","[Quiver|화살통]","[Quiver|Aljava]","[Quiver|Колчан]","[Quiver|Carcaj]","[Quiver|ซองธนู]","[Quiver|箭袋]"
33,"BeltBootsGlovesHelmetJewellery","[21,23,22,25,4,5]","Belt, Boots, Gloves, Helmet or [Jewellery]","Ceinture, Bottes, Gants, Casque ou [Jewellery|Accessoire]","Gürtel, Stiefel, Handschuhe, Helm oder [Jewellery|Schmuck]","ベルト、靴、手袋、兜または[Jewellery|宝飾品]","허리띠, 장화, 장갑, 투구 또는 [Jewellery|장신구]","Cinto, Botas, Luvas, Elmo ou [Jewellery|Pedrarias]","Пояс, сапоги, перчатки, шлем или [Jewellery|бижутерия]","Cinturón, botas, guantes, casco o [Jewellery|joyería]","เข็มขัด, รองเท้า, ถุงมือ, หมวก หรือ [Jewellery|เครื่องประดับ]","腰帶、長靴、手套、頭盔或[Jewellery|飾品]"
34,"FocusSceptreWandRingAmulet","[79,32,8,5,4]","[Focus], [Sceptre], [Wand] or [Jewellery]","[Focus|Focus], [Sceptre|Sceptre], [Wand|Baguette] ou [Jewellery|Accessoire]","[Focus|Fokus], [Sceptre|Zepter], [Wand|Zauberstab] oder [Jewellery|Schmuck]","[Focus|フォーカス]、[Sceptre|セプター]、[Wand|ワンド]または[Jewellery|宝飾品]","[Focus|집중구], [Sceptre|셉터], [Wand|마법봉] 또는 [Jewellery|장신구]","[Focus|Foco], [Sceptre|Cetro], [Wand|Varinha] ou [Jewellery|Pedrarias]","[Focus|Фокус], [Sceptre|скипетр], [Wand|жезл] или [Jewellery|бижутерия]","[Focus|Foco], [Sceptre|cetro], [Wand|varita] o [Jewellery|joyería]","[Focus|โฟกัส], [Sceptre|คทา], [Wand|ไม้กายสิทธิ์] หรือ [Jewellery|เครื่องประดับ]","[Focus|法器]、[Sceptre|權杖]、[Wand|法杖]或[Jewellery|飾品]"
35,"Sceptre",[32],"[Sceptre]","[Sceptre|Sceptre]","[Sceptre|Zepter]","[Sceptre|セプター]","[Sceptre|셉터]","[Sceptre|Cetro]","[Sceptre|Скипетр]","[Sceptre|Cetro]","[Sceptre|คทา]","[Sceptre|權杖]"
36,"Ring",[5],"Ring","Bague","Ring","指輪","반지","Anel","Кольцо","Anillo","แหวน","戒指"
37,"Gloves",[22],"Gloves","Gants","Handschuhe","手袋","장갑","Luvas","Перчатки","Guantes","ถุงมือ","手套"
38,"Shield",[26],"[Shield]","[Shield|Bouclier]","[Shield|Schild]","[Shield|盾]","[Shield|방패]","[Shield|Escudo]","[Shield|Щит]","[Shield|Escudo]","[Shield|โล่]","[Shield|盾牌]"
39,"Focus",[79],"[Focus]","[Focus|Focus]","[Focus|Fokus]","[Focus|フォーカス]","[Focus|집중구]","[Focus|Foco]","[Focus|Фокус]","[Focus|Foco]","[Focus|โฟกัส]","[Focus|法器]"
