"rownum","Id","Description","Description (French)","Description (German)","Description (Japanese)","Description (Korean)","Description (Portuguese)","Description (Russian)","Description (Spanish)","Description (Thai)","Description (Traditional Chinese)","SetId","Objective","Objective (French)","Objective (German)","Objective (Japanese)","Objective (Korean)","Objective (Portuguese)","Objective (Russian)","Objective (Spanish)","Objective (Thai)","Objective (Traditional Chinese)","HASH16","bool_30","HideAchievementItems","bool_32","MinCompletedItems","TwoColumnLayout","ShowItemCompletionsAsOne","string_39","SoftcoreOnly","HardcoreOnly","bool_49","string_50","string_58","string_66"
10,"Act2Normal","Fierce Faridun","Faridun Féroce","Fürchterliche Faridun","残忍なファリドゥン","흉악한 파리둔","Faridun Feroz","Фанатичные фаридунцы","Faridun feroz","ฟาริดันบ้าระห่ำ","兇猛的法里登",2,"Complete Act 2.","Terminez l'Acte 2.","Schließt Akt 2 ab.","第2章を完了せよ。","2장을 완료하십시오.","Complete o Ato 2.","Завершите 2 Акт.","Completa el acto 2.","ผ่าน​บท​ที่ 2","完成第 2 章。",-32735,"",1,"",0,1,"","","","","","","",""
11,"Act3Normal","Villainous Vaal","Vil Vaal","Verderbte Vaal","悪辣なヴァール","악랄한 바알","Vaal Vilanesco","Варварство ваал","Villano vaal","วาล์ชั่วช้า","邪惡的瓦爾",2,"Complete Act 3.","Terminez l'Acte 3.","Schließt Akt 3 ab.","第3章を完了せよ。","3장을 완료하십시오.","Complete o Ato 3.","Завершите 3 Акт.","Completa el acto 3.","ผ่าน​บท​ที่ 3","完成第 3 章。",-12484,"",1,"",0,1,"","","","","","","",""
12,"AllWaypoints","Spatial Specialist","Spécialiste Spatial","Erkundungsexperte","空間専門家","공간 전문가","Especialista Espacial","Компетентный краевед","Especialista espacial","รอบรู้ทุกทิศทาง","空間專家",2,"Tag every Waypoint as one character.","Activez tous les Points de téléportation avec le même personnage.","Markiert jeden Wegpunkt mit einem Charakter.","すべてのウェイポイントを1体のキャラクターでタグ付けせよ。","한 캐릭터로 모든 거점을 활성화하십시오.","Ascenda cada um dos Marcadores com um único personagem.","Откройте все порталы одним и тем же героем.","Activa todos los transportadores con un mismo personaje.","เปิด​เวย์พอยน์​ทั้งหมด ด้วย​ตัวละคร​เพียง​ตัวเดียว","使用同一隻角色開啟所有傳送點。",-10494,"",1,"",0,1,"","","","","","","",""
13,"AllOptionalQuests","Helping Hand","Coup de main","Helfende Hand","手助けの手","도움의 손길","Mão Amiga","Продуктивный помощник","Dedicación definitiva","ผู้ช่วยจิตอาสา","伸出援手",2,"Complete every Quest as one character.","Terminez toutes les Quêtes avec le même personnage.","Schließt alle Quests mit einem Charakter ab.","すべてのクエストを1体のキャラクターで完了せよ。","한 캐릭터로 모든 퀘스트를 완료하십시오.","Complete todas as Missões com um único personagem.","Выполните все задания одним и тем же героем.","Completa todas las misiones con un mismo personaje.","ผ่าน​เควสต์​ทั้งหมด ด้วย​ตัวละคร​เพียง​ตัวเดียว","使用同一隻角色完成所有任務。",717,"",1,"",0,1,"","","","","","","",""
14,"AllEnvironmentLore","Lore Lord","Lord du Lore","Findiger Fürst","伝承の王","지식 군주","Senhor do Saber","Повелитель преданий","Historiador histórico","รู้เฟื่องทุกเรื่องราว","傳說之王",2,"Discover all Environmental Lore as one character.","Découvrez toutes les histoires et connaissances laissées dans l'environnement avec le même personnage.","Entdeckt mit einem Charakter in jedem Akt sämtliches Wissen in der Umgebung.","すべての環境ロアを1体のキャラクターで発見せよ。","한 캐릭터로 모든 주변 지식을 습득하십시오.","Descubra toda a História Ambiental com um único personagem.","Найдите все объекты с местными преданиями одним и тем же героем.","Descubre todas las historias del entorno con un mismo personaje.","ค้นพบเนื้อเรื่องตามสภาพแวดล้อมทั้งหมด ด้วยตัวละครเพียงตัวเดียว","使用同一隻角色發現所有的荒野傳說。",-31509,"",1,"",0,1,"","","","","","","",""
15,"ExtraAreas","Wraeclast Wanderer","Vagabond de Wraeclast","Wraeclast-Wanderer","レイクラストの放浪者","레이클라스트 방랑자","Andarilho de Wraeclast","Рэкластский бродяга","Viajero de Wraeclast","ยอดนักพเนจรแห่งเวร์แคลส์ท","瓦爾克拉斯漫遊者",2,"Complete 100 Environmental Landmarks as one character.","Terminez 100 événements marquants de l'environnement avec le même personnage.","Besucht mit einem Charakter 100 Landmarken in der Umgebung.","100個の環境ランドマークを1体のキャラクターで発見せよ。","한 캐릭터로 주변 지형지물을 100개 완료하십시오.","Complete 100 Pontos de Interesse Ambientais com um único personagem.","Завершите 100 точек интереса на карте одним и тем же героем.","Completa 100 lugares de interés con un mismo personaje.","ผ่าน จุดสังเกตในสภาพแวดล้อม 100 แห่งด้วยตัวละครเพียงตัวเดียว","使用同一隻角色完成 100 個荒野地標。",1700,"",1,"",0,1,"","","","","","","",""
16,"Ascend","Honourable Hero","Héros Honorable","Heroischer Held","名誉あるヒーロー","명예로운 영웅","Herói Honrado","Достойный деятель","Héroe honorable","วีรชนทรงเกียรติ","光榮英雄",2,"Achieve Ascension.","Accomplissez l'Ascension.","Erreicht die Aszendenz.","アセンションを達成せよ。","전직을 달성하십시오.","Alcance a Ascensão.","Выполните Восхождение.","Alcanza la ascensión.","ขึ้น​ครอง​อำนาจ​ด้วย​การ​รับ​คลาส​เสริม","達成昇華。",-3475,"",1,"",0,1,"","","","","","","",""
17,"FullyAscend","Awakened Ascendant","Ascendant Animé","Ambitionierter Aszendent","覚醒したアセンダント","각성의 전직","Ascendente Desperto","Возвышенный Вознёсшийся","Ascendiente alzado","ผู้เป็นใหญ่ใจตื่นรู้","覺醒昇華",2,"Obtain all available Ascendancy Points as a single character.","Obtenez tous les Points d'Ascendance disponibles avec le même personnage.","Erhaltet alle verfügbaren Aszendenzpunkte mit einem Charakter.","すべての利用可能なアセンダンシーポイントを同一のキャラクターで獲得せよ。","한 캐릭터로 이용 가능한 모든 전직 포인트를 획득하십시오.","Obtenha todos os Pontos Ascendentes disponíveis com um único personagem.","Получите все доступные очки Восхождения одним и тем же героем.","Obtén todos los puntos de ascendencia que se pueden conseguir con un mismo personaje.","รับ แต้มคลาสเสริม ทั้งหมด​ด้วย​ตัวละคร​เพียง​ตัวเดียว","使用同一角色獲得所有可用的昇華點數。",6332,"",1,"",0,1,"","","","","","","",""
18,"AscendAllClasses","Proven Potential","Potentiel Prouvé","Meister der Möglichkeiten","実証された可能性","입증된 잠재력","Prova de Potencial","Проверенный потенциал","Potencial probado","แสดงศักยภาพ","展現的潛能",2,"Achieve Ascension with all available Character Classes.","Accomplissez l'Ascension avec chacune des Classes de personnage disponibles.","Erreicht die Aszendenz mit allen verfügbaren Charakterklassen.","すべての使用可能なキャラクタークラスでアセンションを達成せよ。","이용 가능한 모든 캐릭터 직업으로 전직을 달성하십시오.","Alcance a Ascensão com todas as Classes de Personagens disponíveis.","Выполните Восхождение всеми доступными классами персонажей.","Alcanza la ascensión con todas las clases de personajes disponibles.","ขึ้น​ครอง​อำนาจ​ด้วย​การ​รับ​คลาส​เสริม ด้วย​ตัวละคร​ทุก​คลาส​ที่​เลือก​ได้","使用所有可用的角色職業達成昇華。",-31799,1,"","",0,"","","","","","","","",""
19,"UniqueBossesAct1","Phaaryl Purger","Purificateur Phaaryl","Partisan von Phaaryl","ファーリルの浄化者","파아릴 숙청가","Purificador Phaaryl","Очиститель Огама","Purgador de Phaaryl","ผู้กวาดล้างฟาร์ริล","法瑞爾淨化者",2,"Defeat all Unique monsters in Act 1.","Terrassez tous les monstres Uniques de l'Acte 1.","Besiegt alle einzigartigen Monster in Akt 1.","第1章のすべてのユニークモンスターを撃破せよ。","1장에서 모든 고유 몬스터를 처치하십시오.","Derrote todos os monstros Únicos do Ato 1.","Победите всех уникальных монстров в 1 Акте.","Derrota a todos los monstruos únicos del acto 1.","สยบ มอนสเตอร์ยูนิค ทุก​ตัว​ใน​บทที่ 1","擊敗第 1 章的所有傳奇怪物。",3727,"","","",0,1,"","","","","","","",""
20,"UniqueBossesAct2","Vastiri Vanquisher","Vainqueur Vastiri","Verteidiger der Vastiri","ヴァスティリの征服者","바스티리 격퇴자","Vencedor Vastiri","Воитель Вастири","Vencedor de Vastiri","ผู้ปราบปรามวาสตีรี","瓦斯提里勝利者",2,"Defeat all Unique monsters in Act 2.","Terrassez tous les monstres Uniques de l'Acte 2.","Besiegt alle einzigartigen Monster in Akt 2.","第2章のすべてのユニークモンスターを撃破せよ。","2장에서 모든 고유 몬스터를 처치하십시오.","Derrote todos os monstros Únicos do Ato 2.","Победите всех уникальных монстров во 2 Акте.","Derrota a todos los monstruos únicos del acto 2.","สยบ มอนสเตอร์ยูนิค ทุก​ตัว​ใน​บทที่ 2","擊敗第 2 章的所有傳奇怪物。",27420,"","","",0,1,"","","","","","","",""
21,"UniqueBossesAct3","Utzaal Usurper","Usurpateur Utzaal","Unterwerfer von Utzaal","ウトザールの簒奪者","웃자알 찬탈자","Usurpador Utzaal","Узурпатор Утцааля","Usurpador de Utzaal","ผู้ช่วงชิงอุทซาล","奧札爾篡位者",2,"Defeat all Unique monsters in Act 3.","Terrassez tous les monstres Uniques de l'Acte 3.","Besiegt alle einzigartigen Monster in Akt 3.","第3章のすべてのユニークモンスターを撃破せよ。","3장에서 모든 고유 몬스터를 처치하십시오.","Derrote todos os monstros Únicos do Ato 3.","Победите всех уникальных монстров в 3 Акте.","Derrota a todos los monstruos únicos del acto 3.","สยบ มอนสเตอร์ยูนิค ทุก​ตัว​ใน​บทที่ 3","擊敗第 3 章的所有傳奇怪物。",27976,"","","",0,1,"","","","","","","",""
22,"RefundPassive","Rich Regression","Régression Riche","Reumütiger Rückschritt","豪華な振り直し","풍요로운 회귀","Rica Regressão","Расточительный регресс","Regresión con riqueza","เสียทรัพย์กลับใจ","財富還原",2,"Spend Gold to Refund a Passive Skill Point.","Dépensez de l'Or pour Rembourser un point de Talent.","Gebt Gold aus, um einen passiven Fertigkeitspunkt zu korrigieren.","ゴールドを使用してパッシブスキルポイントを振り直せ。","골드를 사용하여 패시브 스킬 포인트를 반환하십시오.","Gaste Ouro para Restituir um Ponto de Habilidade Passiva.","Потратьте золото на сброс очка пассивного умения.","Gasta oro para reintegrar un punto de habilidades pasivas.","จ่าย ทอง เพื่อ​รับ​คืน​แต้มพาสซีฟ","花費金幣返還 1 點天賦點數。",-28720,"",1,"",0,1,"","","","","","","",""
23,"IdentifyItems","Ideal Identification","Identification Idéale","Ideale Identifikation","理想的鑑定","이상적인 식별","Identificação Ideal","Идеальная идентификация","Identificación ideal","ตรวจสอบรอบด้าน","理想的鑑定",2,"Have the Hooded One Identify your Items.","Faites identifier vos objets par l'Encapuchonné.","Lasst den Verhüllten Eure Gegenstände identifizieren.","フードをかぶった者にアイテムを鑑定させよ。","두건 쓴 자를 통해 아이템을 식별하십시오.","Peça ao Encapuzado para Identificar seus Itens.","Опознайте предметы у Скрытного.","Pídele al Encapuchado que identifique tus objetos.","ให้ ผู้คลุมกาย ตรวจสอบ​ไอเทม​ของ​คุณ","讓黑衣幽魂鑑定你的物品。",-13166,"",1,"",0,1,"","","","","","","",""
24,"AllocateKeystone","Altered Ability","Aptitudes altérées","Flexible Fähigkeit","変質した能力","뒤바뀐 능력","Habilidade Alterada","Сменившиеся способности","Pasiva primordial","ทักษะแปรเปลี่ยน","變化能力",2,"Allocate a Passive Keystone Skill.","Attribuez un Talent charnière.","Weist eine passive Schlüsselfertigkeit zu.","パッシブキーストンスキルを割り当てろ。","패시브 핵심노드 스킬을 할당하십시오.","Distribua uma Habilidade Passiva Fundamental.","Выберите ключевое пассивное умение.","Asigna una habilidad pasiva de piedra angular.","อัพ พาสซีฟคีย์สโตน","點選一個關鍵天賦。",-28035,"",1,"",0,1,"","","","","","","",""
25,"UpgradeCraftingBench","Equipment Enhancer","Exalteur d'Équipement","Ausrüstungsaufwerter","装備強化装置","장비 강화자","Aprimorador de Equipamentos","Сборщик снаряжения","Estimulador de equipamiento","ช่างแปลงเครื่องมือ","裝備強化師",2,"Unlock the Crafting Bench.","Débloquez l'Établi d'artisanat.","Schaltet die Werkbank frei.","クラフトベンチをアンロックせよ。","작업대를 해제하십시오.","Destrave a Mesa de Forja.","Разблокируйте верстак.","Desbloquea la mesa de fabricación.","ปลดล็อก โต๊ะคราฟท์","解鎖工藝台。",18564,"",1,"",0,1,"","","","","","","",""
26,"UseCraftingBench","Advanced Artisan","Artisan avancé","Kompetenter Kunsthandwerker","上質な職人","고급 장인","Artesão Avançado","Рукастый ремесленник","Artesano avanzado","ช่างฝีมือชำนาญงาน","高深工匠",2,"Use the Crafting Bench to add a Tier 5 or higher modifier to an item.","Utilisez l'Établi d'artisanat pour ajouter un modifiacteur de Palier 5 ou plus à un objet.","Benutzt die Werkbank, um einem Gegenstand einen Modifikator des Levels 5 oder höher hinzuzufügen.","クラフトベンチを使用してアイテムにティア5以上のモッドを追加せよ。","작업대를 사용하여 아이템에 5등급 이상의 속성을 추가하십시오.","Use a Mesa de Forja para adicionar um modificador de Tier 5 ou superior em um item.","Добавьте предмету свойство не ниже 5 уровня на верстаке.","Usa la mesa de fabricación para agregar un modificador de grado 5 o superior a un objeto.","ใช้ โต๊ะคราฟท์ ใน​การ​ใส่​ม็อด​อันดับ 5 ขึ้นไป​ให้​กับ​ไอเทม","使用工藝台新增階級 5 以上的詞綴至一件物品上。",-29665,"",1,"",0,1,"","","","","","","",""
27,"WeaponSetPassives","Weapon Wielder","Manieur d'Armes","Waffenexperte","武器を装備するもの","무기 소지자","Portador das Armas","Обладатель оружия","Manipulador marcial","จ้าวสรรพาวุธ","武器持有者",2,"Allocate 20 Weapon Set Passives.","Attribuez 20 points de Talent d'Ensemble d'armes.","Weist 20 Waffenset-Passive zu.","20個の武器セットパッシブを割り当てろ。","무기 세트 패시브를 20 할당하십시오.","Distribua 20 Passivas de Conjunto de Armas.","Выберите 20 пассивных умений для набора оружия.","Asigna 20 pasivas de set de armas.","อัพ พาสซีฟชุดอาวุธ 20 แต้ม","點選 20 個武器套裝天賦。",27014,"",1,"",0,1,"","","","","","","",""
28,"AllPowerups","Enhanced Exile","Exilé Exalté","Verbesserter Verbannter","強化されたエグザイル","강화 유배자","Exilado Aprimorado","Интенсивное изгнание","Exiliado enriquecido","เอ็กไซล์ผดุงกำลัง","強化流亡者",2,"Use all consumable powerups on a single character.","Utilisez toutes les améliorations consommables sur le même personnage.","Benutzt alle verbrauchbaren Aufwertungen mit einem einzigen Charakter.","すべての消費パワーアップアイテムを同一のキャラクターで使用せよ。","한 캐릭터로 모든 소모품 파워업을 사용하십시오.","Use todos os aprimoramentos de poder em um único personagem.","Используйте все усиливающие расходные предметы одним и тем же героем.","Usa todos los potenciadores consumibles en un mismo personaje.","ใช้ ของใช้เพิ่มพลัง ทั้งหมด​ด้วย​ตัวละคร​เพียง​ตัวเดียว","在同一隻角色身上使用所有消耗品強化。",-24120,"","","",0,1,"","","","","","","",""
29,"ReadAllBooks","Brilliant Bookworm","Brillant Bouquineur","Brillanter Bücherwurm","賢い本の虫","현명한 책벌레","Bibliotecário Brilhante","Блистательный буквоед","Bibliotecario brillante","หนอนหนังสือปราดเปรื่อง","聰慧書痴",2,"Read all Books of Specialisation on a single character.","Lisez tous les Livres de Spécialisation avec le même personnage.","Lest alle Bücher der Spezialisierung mit einem Charakter.","すべての特化の書を同一のキャラクター使用せよ。","한 캐릭터로 모든 특화의 서를 읽으십시오.","Leia todos os Livros de Especialização em um único personagem.","Прочтите все Книги специализации одним и тем же героем.","Lee todos los libros de especialización en un mismo personaje.","อ่าน คัมภีร์เฉพาะทาง ทุก​เล่ม​ด้วย​ตัวละคร​เพียง​ตัว​เดียว","使用同一隻角色閱讀所有專精之書。",3058,"",1,"",0,1,"","","","","","","",""
30,"QualityEquipment","Immaculate Inventory","Inventaire Immaculé","Ideales Inventar","完璧な装備品","완전무결한 소지품","Inventário Imaculado","Исправный инвентарь","Inventario inmaculado","อุปกรณ์เพียบพร้อม","無暇背包",2,"Have all Weapon and Armour Slots filled with Equipment that is at least 20 Quality.","Remplissez tous les emplacement d'arme et d'armure avec un Équipement ayant au moins 20 de Qualité.","Belegt alle Plätze für Waffen und Rüstung mit Ausrüstung, die über mindestens 20 Qualität verfügt.","すべての武器および防具スロットに品質20%以上の装備品を装備せよ。","모든 무기 및 방어구 슬롯을 퀄리티가 20 이상인 장비로 채우십시오.","Preencha todos os Espaços de Armas e Armaduras com Equipamentos que tenham ao menos 20 de Qualidade.","Заполните все ячейки оружия и брони снаряжением как минимум 20% качества.","Llena todos tus espacios de armas y armadura con equipamiento que tenga al menos 20 de calidad.","มี ไอเทมสวมใส่​ที่​มี​ค่าคุณภาพ​อย่าง​น้อย 20% ใน​ช่องอาวุธ​และ​เกราะ​ทุก​ช่อง","以品質至少為 20 的裝備填滿所有武器和護甲欄位。",3821,"",1,"",0,1,"","","","","","","",""
31,"EquipJewels","Generous Gemstones","Pierres Précieuses","Größzügige Gemmen","寛大な宝石","넉넉한 원석","Gemas Generosas","Солидные самоцветы","Gemas generosas","มณีมีมากมาย","大量寶石",2,"Have at least 6 Jewels socketed into your Passive Skill Tree.","Ayez au moins 6 Joyaux enchâssés dans votre Arbre des Talents.","Verfügt über mindestens 6 eingefasste Juwelen in Eurem Fertigkeitenbaum.","パッシブスキルツリーに6個以上のジュエルをソケットせよ。","패시브 스킬 트리에 주얼을 6개 이상 장착하십시오.","Encaixe ao menos 6 Joias em sua Árvore Passiva.","Поместите на дерево пассивных умений как минимум 6 самоцветов.","Ten al menos 6 joyas engarzadas en tu árbol de habilidades pasivas.","ใส่ จิวเวล อย่างน้อย 6 ชิ้น​ใน​ตารางพาสซีฟ​ของ​คุณ","將至少 6 個珠寶鑲嵌至你的天賦樹。",-23584,"",1,"",0,1,"","","","","","","",""
32,"5SocketSkillGem","Justified Jeweller","Joaillier Justifié","Jubelnder Juwelier","正統な宝石職人","정당한 쥬얼러","Joalheiro Justificado","Заядлый златокузнец","Joyero justificado","ช่างมณีมองการไกล","坦蕩工匠",2,"Use a Perfect Jeweller's orb to have a Skill Gem reach 5 Sockets.","Utilisez un Orbe de joaillier parfait pour qu'une de vos Gemmes d'aptitude atteigne 5 Châsses.","Benutzt eine Perfekte Sphäre des Goldschmieds, damit eine Fertigkeitengemme 5 Fassungen erhält.","完璧な宝飾職人のオーブを使用してスキルジェムのソケットを5個にしろ。","완벽한 쥬얼러 오브를 사용하여 스킬 젬의 홈을 5개로 만드십시오.","Utilize um Orbe do Joalheiro Perfeito para fazer com que uma Gema de Habilidade atinja 5 Encaixes.","С помощью совершенной сферы златокузнеца получите 5 гнёзд в камне умений.","Usa un orbe de joyero perfecto para que una de tus gemas de habilidad tenga 5 engarces.","ใช้ Jeweller's Orb ไร้ที่ติ ให้​หินสกิล​มี 5 รู","使用完美工匠石讓一顆技能寶石達到 5 個插槽。",19996,"",1,"",0,1,"","","","","","","",""
33,"Level30SkillGem","Grand Gemling","Serti Splendide","Großartiger Gemmling","グランドジェムリング","우수한 마석병","Gemante Grandioso","Колоссальный каменит","Gran gemita","มณีชนคนยิ่งใหญ่","宏偉古靈",2,"Have a Socketed Skill Gem reach level 30 or higher","Faites en sorte qu'une de vos Gemmes d'aptitude enchâssées atteigne le niveau 30 ou plus.","Erreicht mit einer eingefassten Fertigkeitengemme Stufe 30 oder höher.","ソケットされたスキルジェムのレベルを30以上に到達させろ。","장착된 스킬 젬을 30레벨 이상으로 올리십시오.","Faça com que uma gema de Habilidade Encaixada atinja nível 30 ou superior.","Повысьте уровень камня умения в гнезде до 30 или выше.","Sube una gema de habilidad engarzada al nivel 30 o más.","ทำให้ หินสกิล​ที่​ใส่ มี​เลเวล​อย่าง​น้อย 30","使 1 顆鑲嵌技能寶石升到等級 30 以上",25857,"",1,"",0,1,"","","","","","","",""
