"rownum","Id","ShopTag","Name","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","InventorySlot","FlaskSlot","bool_48","i32_49","i32_53","bool_57","i32_58","i32_58 (French)","i32_58 (German)","i32_58 (Japanese)","i32_58 (Korean)","i32_58 (Portuguese)","i32_58 (Russian)","i32_58 (Spanish)","i32_58 (Thai)","i32_58 (Traditional Chinese)","i32_62","string_66","i32_74"
15,16,84,"Portrait","Portrait","Portrait","ポートレート","초상화","Retrato","Портрет","Retrato","รูปภาพ","角色頭像","",0,"",0,31,"",1776,1978,1798,1532,1526,2052,1702,1946,1712,1460,0,"Art/2DArt/UIImages/InGame/Cosmetics/FramePortrait",13
16,17,83,"Social Frame","Cadre de portrait","Rahmen","ソーシャルフレーム","소셜 액자","Moldura Social","Портретная рамка","Marco social","กรอบรูปตัวละคร","肖像外框","",0,"",0,31,"",1898,2100,1920,1650,1638,2204,1822,2066,1830,1574,0,"Art/2DArt/UIImages/InGame/Cosmetics/FrameSocialFrame",14
17,18,34,"Pet","Familier","Begleiter","ペット","애완동물","Mascote","Питомец","Mascota","สัตว์เลี้ยง","寵物","",0,"",0,31,"",2034,2246,2044,1780,1760,2330,1966,2202,1970,1694,0,"Art/2DArt/UIImages/InGame/Cosmetics/FramePet",15
18,19,34,"Pet","Familier","Begleiter","ペット","애완동물","Mascote","Питомец","Mascota","สัตว์เลี้ยง","寵物","",0,"",0,31,"",2034,2246,2044,1780,1760,2330,1966,2202,1970,1694,0,"Art/2DArt/UIImages/InGame/Cosmetics/FramePet",15
19,20,33,"Portal","Portail","Portaleffekt","ポータル","포탈","Portal","Портал","Portal","วาร์ป","時空之門","",0,"",0,31,"",2136,2358,2186,1882,1864,2440,2076,2312,2088,1794,0,"Art/2DArt/UIImages/InGame/Cosmetics/FramePortal",16
20,21,792,"Helmet Attachment","Accessoire de casque","Helmzusatz","兜装飾品","투구 부착물","Adorno de Elmo","Эффект шлема","Accesorio para casco","แฟชั่นติดหมวก","頭部特效",4,0,"",0,21,"",686,786,714,566,570,2554,578,778,656,520,0,"Art/2DArt/UIImages/InGame/Cosmetics/FrameHelmetAttachment",5
21,22,61,"HUD","Interface","HUD","HUD","HUD","HUD","HUD","HUD","หน้าจอแสดงผล","HUD","",0,"",0,31,"",2250,2474,2300,1992,1970,2596,2190,2426,2200,1904,0,"Art/2DArt/UIImages/InGame/Cosmetics/Frame1x1",17
22,23,811,"Cursor","Curseur","Cursor","カーソル","커서","Cursor","Курсор","Cursor","เคอร์เซอร์","鼠標","",0,"",0,31,"",2352,2588,2418,2094,2072,2698,2292,2528,2320,2006,0,"Art/2DArt/UIImages/InGame/Cosmetics/FrameCursor",18
23,24,793,"Belt Skin","Apparence de ceinture","Gürtel-Skin","ベルトスキン","허리띠 스킨","Visual de Cinto","Внешний вид пояса","Aspecto para cinturón","สกินเข็มขัด","腰帶外觀",10,0,"",0,16,"",2466,2704,2540,2204,2178,2812,2406,2642,2442,2112,0,"Art/2DArt/UIImages/InGame/Cosmetics/FrameBelt",19
24,25,806,"Amulet Skin","Apparence d'amulette","Amulett-Skin","アミュレットスキン","목걸이 스킨","Visual de Amuleto","Внешний вид амулета","Aspecto para amuleto","สกินสร้อย","項鍊外觀",5,0,"",0,17,"",2582,2844,2660,2314,2288,2940,2538,2782,2562,2218,0,"Art/2DArt/UIImages/InGame/Cosmetics/FrameAmulet",20
25,26,807,"Flask Skin","Apparence de Flacon","Fläschchen-Skin","フラスコスキン","플라스크 스킨","Visual de Frasco","Внешний вид флакона","Aspecto para frasco","สกินขวดยา","藥劑外觀",11,0,"",0,31,1,2706,2986,2786,2434,2402,3076,2678,2924,2682,2328,0,"Art/2DArt/UIImages/InGame/Cosmetics/FrameFlask",21
26,27,807,"Flask Skin","Apparence de Flacon","Fläschchen-Skin","フラスコスキン","플라스크 스킨","Visual de Frasco","Внешний вид флакона","Aspecto para frasco","สกินขวดยา","藥劑外觀",11,1,"",0,31,1,2706,2986,2786,2434,2402,3076,2678,2924,2682,2328,0,"Art/2DArt/UIImages/InGame/Cosmetics/FrameFlask",21
27,28,807,"Flask Skin","Apparence de Flacon","Fläschchen-Skin","フラスコスキン","플라스크 스킨","Visual de Frasco","Внешний вид флакона","Aspecto para frasco","สกินขวดยา","藥劑外觀",11,100000,"",0,31,1,2706,2986,2786,2434,2402,3076,2678,2924,2682,2328,0,"Art/2DArt/UIImages/InGame/Cosmetics/FrameFlask",21
28,29,807,"Flask Skin","Apparence de Flacon","Fläschchen-Skin","フラスコスキン","플라스크 스킨","Visual de Frasco","Внешний вид флакона","Aspecto para frasco","สกินขวดยา","藥劑外觀",11,100000,"",0,31,1,2706,2986,2786,2434,2402,3076,2678,2924,2682,2328,0,"Art/2DArt/UIImages/InGame/Cosmetics/FrameFlask",21
29,30,807,"Flask Skin","Apparence de Flacon","Fläschchen-Skin","フラスコスキン","플라스크 스킨","Visual de Frasco","Внешний вид флакона","Aspecto para frasco","สกินขวดยา","藥劑外觀",11,100000,"",0,31,1,2706,2986,2786,2434,2402,3076,2678,2924,2682,2328,0,"Art/2DArt/UIImages/InGame/Cosmetics/FrameFlask",21
30,31,805,"Ring Skin","Apparence de bague","Ring-Skin","指輪スキン","반지 스킨","Visual de Anel","Внешний вид кольца","Aspecto para anillo","สกินแหวน","戒指外觀",6,0,"",0,14,"",2826,3124,2916,2548,2516,3208,2816,3062,2800,2436,0,"Art/2DArt/UIImages/InGame/Cosmetics/FrameRing",22
31,32,805,"Ring Skin","Apparence de bague","Ring-Skin","指輪スキン","반지 스킨","Visual de Anel","Внешний вид кольца","Aspecto para anillo","สกินแหวน","戒指外觀",7,0,"",0,15,"",2826,3124,2916,2548,2516,3208,2816,3062,2800,2436,0,"Art/2DArt/UIImages/InGame/Cosmetics/FrameRing",22
32,33,794,"Hip Attachment","Accessoire à la hanche","Hüftzusatz","腰装飾品","허리 부착물","Acessório de Cintura","Набедренное украшение","Accesorio para la cadera","แฟชั่นติดสะโพก","臀部附加",10,0,"",0,22,"",2942,3258,3032,2656,2624,3334,2950,3198,2914,2542,0,"Art/2DArt/UIImages/InGame/Cosmetics/FrameHipAttachment",23
33,34,804,"Alternate Charge Skin","Apparence de Charges alternatives","Ladungen-Skin","オルタネートチャージスキン","대체 충전 스킨","Visual Alternativo de Carga","Внешний вид зарядов","Aspecto alternativo para cargas","สกินชาร์จแบบพิเศษ","替代能量球外觀","",0,"",0,31,"",3086,3418,3198,2780,2752,3490,3108,3362,3058,2666,0,"Art/2DArt/UIImages/InGame/Cosmetics/FrameChargeSkin",24
34,35,801,"Extra Effect","Effet supplémentaire","Zusätzlicher Effekt","追加エフェクト","추가 이펙트","Efeito Extra","Дополнительный эффект","Efecto adicional","เอฟเฟคเสริม","額外效果","",0,"",0,31,"",3238,3594,3354,2916,2878,3654,3256,3534,3202,2790,0,"Art/2DArt/UIImages/InGame/Cosmetics/Frame2x2",25
35,36,796,"Weapon Skin","Apparence d'arme","Waffen-Skin","武器スキン","무기 스킨","Visual de Arma","Внешний вид оружия","Aspecto para arma","สกินอาวุธ","武器外觀",14,0,"",0,2,1,3358,3730,3488,3026,2986,3774,3394,3662,3320,2894,0,"Art/2DArt/UIImages/InGame/Cosmetics/FrameWeapon",1
36,37,797,"Weapon Effect","Effet d'arme","Waffeneffekt","武器エフェクト","무기 이펙트","Efeito de Arma","Эффект оружия","Efecto para arma","เอฟเฟคอาวุธ","武器特效",14,0,"",0,2,1,3388,3770,3518,3042,3004,3810,3438,3704,3346,2912,0,"Art/2DArt/UIImages/InGame/Cosmetics/FrameWeaponEffect",2
37,38,799,"Weapon Added Effect","Rajout d'effet d'arme","Zusätzlicher Waffeneffekt","武器追加エフェクト","무기 추가 이펙트","Efeito de Arma Adicional","Добавленный эффект оружия","Efecto agregado para arma","เอฟเฟคอาวุธเพิ่มเติม","武器附加特效",14,0,"",0,31,"",3422,3802,3550,3062,3024,3846,3472,3744,3376,2930,0,"Art/2DArt/UIImages/InGame/Cosmetics/FrameFinisher",3
38,39,796,"Weapon Skin","Apparence d'arme","Waffen-Skin","武器スキン","무기 스킨","Visual de Arma","Внешний вид оружия","Aspecto para arma","สกินอาวุธ","武器外觀",15,0,"",0,3,1,3468,3852,3608,3086,3050,3902,3394,3802,3424,2952,0,"Art/2DArt/UIImages/InGame/Cosmetics/FrameWeapon",1
39,40,797,"Weapon Effect","Effet d'arme","Waffeneffekt","武器エフェクト","무기 이펙트","Efeito de Arma","Эффект оружия","Efecto para arma","เอฟเฟคอาวุธ","武器特效",15,0,"",0,3,1,3514,3928,3654,3112,3074,3960,3438,3866,3462,2974,0,"Art/2DArt/UIImages/InGame/Cosmetics/FrameWeaponEffect",2
40,41,799,"Weapon Added Effect","Rajout d'effet d'arme","Zusätzlicher Waffeneffekt","武器追加エフェクト","무기 추가 이펙트","Efeito de Arma Adicional","Добавленный эффект оружия","Efecto agregado para arma","เอฟเฟคอาวุธเพิ่มเติม","武器附加特效",15,0,"",0,31,"",3564,3998,3704,3142,3100,4018,3472,3928,3504,2996,0,"Art/2DArt/UIImages/InGame/Cosmetics/FrameFinisher",3
41,42,796,"Weapon Skin","Apparence d'arme","Waffen-Skin","武器スキン","무기 스킨","Visual de Arma","Внешний вид оружия","Aspecto para arma","สกินอาวุธ","武器外觀",79,0,"",0,4,1,3626,4084,3788,3176,3132,4096,3530,4008,3564,3022,0,"Art/2DArt/UIImages/InGame/Cosmetics/FrameWeapon",1
42,43,797,"Weapon Effect","Effet d'arme","Waffeneffekt","武器エフェクト","무기 이펙트","Efeito de Arma","Эффект оружия","Efecto para arma","เอฟเฟคอาวุธ","武器特效",79,0,"",0,4,1,3656,4124,3818,3192,3150,4132,3574,4050,3590,3040,0,"Art/2DArt/UIImages/InGame/Cosmetics/FrameWeaponEffect",2
43,44,799,"Weapon Added Effect","Rajout d'effet d'arme","Zusätzlicher Waffeneffekt","武器追加エフェクト","무기 추가 이펙트","Efeito de Arma Adicional","Добавленный эффект оружия","Efecto agregado para arma","เอฟเฟคอาวุธเพิ่มเติม","武器附加特效",79,0,"",0,31,"",3690,4156,3850,3212,3170,4168,3608,4090,3620,3058,0,"Art/2DArt/UIImages/InGame/Cosmetics/FrameFinisher",3
44,45,796,"Weapon Skin","Apparence d'arme","Waffen-Skin","武器スキン","무기 스킨","Visual de Arma","Внешний вид оружия","Aspecto para arma","สกินอาวุธ","武器外觀",80,0,"",0,5,1,3736,4206,3908,3236,3196,4224,3530,4148,3668,3080,0,"Art/2DArt/UIImages/InGame/Cosmetics/FrameWeapon",1
45,46,797,"Weapon Effect","Effet d'arme","Waffeneffekt","武器エフェクト","무기 이펙트","Efeito de Arma","Эффект оружия","Efecto para arma","เอฟเฟคอาวุธ","武器特效",80,0,"",0,5,1,3782,4282,3954,3262,3220,4282,3574,4212,3706,3102,0,"Art/2DArt/UIImages/InGame/Cosmetics/FrameWeaponEffect",2
46,47,799,"Weapon Added Effect","Rajout d'effet d'arme","Zusätzlicher Waffeneffekt","武器追加エフェクト","무기 추가 이펙트","Efeito de Arma Adicional","Добавленный эффект оружия","Efecto agregado para arma","เอฟเฟคอาวุธเพิ่มเติม","武器附加特效",80,0,"",0,31,"",3832,4350,4004,3292,3246,4340,3608,4274,3748,3124,0,"Art/2DArt/UIImages/InGame/Cosmetics/FrameFinisher",3
47,48,812,"Charm Effect","Effet de Charme","Phioleneffekt","チャームエフェクト","호신부 이펙트","Efeito de Patuá","Эффект оберега","Efecto para vial","เอฟเฟคของขลัง","護符效果",11,2,"",0,31,1,3894,4436,4088,3326,3278,4418,3666,4354,3808,3150,0,"Art/2DArt/UIImages/InGame/Cosmetics/FrameCharm",26
48,49,812,"Charm Effect","Effet de Charme","Phioleneffekt","チャームエフェクト","호신부 이펙트","Efeito de Patuá","Эффект оберега","Efecto para vial","เอฟเฟคของขลัง","護符效果",11,3,"",0,31,1,3894,4436,4088,3326,3278,4418,3666,4354,3808,3150,0,"Art/2DArt/UIImages/InGame/Cosmetics/FrameCharm",26
49,50,812,"Charm Effect","Effet de Charme","Phioleneffekt","チャームエフェクト","호신부 이펙트","Efeito de Patuá","Эффект оберега","Efecto para vial","เอฟเฟคของขลัง","護符效果",11,4,"",0,31,1,3894,4436,4088,3326,3278,4418,3666,4354,3808,3150,0,"Art/2DArt/UIImages/InGame/Cosmetics/FrameCharm",26
50,51,812,"Charm Effect","Effet de Charme","Phioleneffekt","チャームエフェクト","호신부 이펙트","Efeito de Patuá","Эффект оберега","Efecto para vial","เอฟเฟคของขลัง","護符效果",11,2,"",1,31,1,3894,4436,4088,3326,3278,4418,3666,4354,3808,3150,0,"Art/2DArt/UIImages/InGame/Cosmetics/FrameCharm",26
51,52,812,"Charm Effect","Effet de Charme","Phioleneffekt","チャームエフェクト","호신부 이펙트","Efeito de Patuá","Эффект оберега","Efecto para vial","เอฟเฟคของขลัง","護符效果",11,3,"",1,31,1,3894,4436,4088,3326,3278,4418,3666,4354,3808,3150,0,"Art/2DArt/UIImages/InGame/Cosmetics/FrameCharm",26
52,53,812,"Charm Effect","Effet de Charme","Phioleneffekt","チャームエフェクト","호신부 이펙트","Efeito de Patuá","Эффект оберега","Efecto para vial","เอฟเฟคของขลัง","護符效果",11,4,"",1,31,1,3894,4436,4088,3326,3278,4418,3666,4354,3808,3150,0,"Art/2DArt/UIImages/InGame/Cosmetics/FrameCharm",26
53,54,62,"Passive Jewel Skin","Apparence de Joyau de talent","Juwel-Skin","パッシブジュエルスキン","패시브 주얼 스킨","Visual de Joia Passiva","Внешний вид самоцвета","Aspecto para joya pasiva","สกินจิวเวลพาสซีฟ","天賦珠寶外觀",23,0,1,0,31,"",4018,4566,4214,3444,3392,4548,3794,4486,3934,3258,0,"Art/2DArt/UIImages/InGame/Cosmetics/Frame1x1",27
54,55,10,"Skill Gem Effect","Effet de Gemme d'aptitude","Fertigkeitseffekt","スキルジェムエフェクト","스킬 젬 이펙트","Efeito de Gema de Habilidade","Эффект камня умения","Efecto para gema de habilidad","เอฟเฟคหินสกิล","技能寶石特效","",0,1,0,31,"",4058,4626,4238,3470,3414,4596,3840,4538,3970,3274,0,"Art/2DArt/UIImages/InGame/Cosmetics/Frame1x1",28
55,56,813,"Character Skin","Apparence de personnage","Charakter-Skin","キャラクタースキン","캐릭터 스킨","Visual de Personagem","Внешний вид персонажа","Aspecto para el personaje","สกินตัวละคร","角色外觀","",0,"",0,26,"",4094,4680,4276,3496,3434,4656,3882,4600,4000,3290,0,"Art/2DArt/UIImages/InGame/Cosmetics/FrameCharacterSkin",29
56,57,827,"Bear Shapeshift Skin","Apparence de Métamorphose en Ours","Bär-Gestaltwandler-Skin","クマシェープシフトスキン","곰 형태 변환 스킨","Visual de Transformação em Urso","Эффект превращения в медведя","Aspecto para transformación en oso","สกินกลายร่างหมี","巨熊變形外觀","",0,"",0,31,"",4238,4842,4420,3630,3562,4812,4040,4766,4138,3414,0,"Art/2DArt/UIImages/InGame/Cosmetics/Frame2x2",30
57,58,827,"Wolf Shapeshift Skin","Apparence de Métamorphose en Loup","Wolf-Gestaltwandler-Skin","ウルフシェープシフトスキン","늑대 형태 변환 스킨","Visual de Transformação em Lobo","Эффект превращения в волка","Aspecto para transformación en lobo","สกินกลายร่างหมาป่า","狼人變形外觀 ","",0,"",0,31,"",4282,4912,4470,3658,3586,4878,4100,4838,4172,3430,0,"Art/2DArt/UIImages/InGame/Cosmetics/Frame2x2",31
58,59,827,"Demon Shapeshift Skin","Apparence de Métamorphose en Démon","Dämon-Gestaltwandler-Skin","デーモンシェープシフトスキン","악마 형태 변환 스킨","Visual de Transformação em Demônio","Эффект превращения в демона","Aspecto para transformación en demonio","สกินกลายร่างอสูร","惡魔變形外觀","",0,"",0,31,"",4326,4982,4522,3688,3612,4944,4156,4912,4212,3448,0,"Art/2DArt/UIImages/InGame/Cosmetics/Frame2x2",32
59,60,827,"Wyvern Shapeshift Skin","Apparence de Métamorphose en Wyverne","Lindwurm-Gestaltwandler-Skin","ワイバーンシェープシフトスキン","와이번 형태 변환 스킨","Visual de Transformação em Serpe","Эффект превращения в виверну","Aspecto para transformación en guiverno","สกินกลายร่างไวเวิร์น","飛龍變形外觀","",0,"",0,31,"",4372,5054,4576,3720,3638,5016,4214,4992,4248,3464,0,"Art/2DArt/UIImages/InGame/Cosmetics/Frame2x2",33
