"rownum","Id","TargetCharacter","Text","Text (French)","Text (German)","Text (Japanese)","Text (Korean)","Text (Portuguese)","Text (Russian)","Text (Spanish)","Text (Thai)","Text (Traditional Chinese)","OGGFiles","NPC1","rid_64","TargetCharacters","i32_96","i32_100","[rid]_104","NPC2","NPC3","QuestFlag1","QuestFlag2","QuestFlag3","QuestFlag4","QuestFlag5","Video","Script"
22,"TujenA4_Intro_A_StrInt4b",11,"Aye that's right, wee fella. Where will I find Makoru?","C'est bien ça, mon p'tit gars. Où est-ce que je peux trouver Makoru ?","Aye, das stimmt, Kleiner. Wo kann ich Makoru find'n?","その通りじゃ、ちっこいの。マコルに会うにはどこへ行けばいい？","그래, 조그만 친구. 마코루는 어디서 찾을 수 있지?","Isso mesmo, carinha. Onde posso encontrar a Makoru?","Да, всё так, коротышка. Где я найду Макору?","Así es, hombrecillo. ¿Dónde puedo encontrar a Makoru?","ใช่แล้วเจ้าเปี๊ยก ข้าจะหามาโครูได้ที่ไหนกัน?","嘿，是的，小傢伙。你知道我可以在哪裡找到瑪寇魯嗎？","[""Audio/Dialogue/4.0/Characters/StrInt/Druid/Druid_Convo/Druid_Tujen_Convo_A4_01.ogg""]",[],"",[],0,100,[],[],[],[],[],[],[],[],"",""
23,"TujenA4_Intro_A_StrDex4",3,"[DNT]","[DNT]","[DNT]","[DNT]","[DNT]","[DNT]","[DNT]","[DNT]","[DNT]","[DNT]","[""Audio/Dialogue/NullFile/Null_3s.ogg""]",[],"",[],0,100,[],[],[],[],[],[],[],[],"",""
24,"TujenA4_Intro_A_DexInt4",4,"[DNT]","[DNT]","[DNT]","[DNT]","[DNT]","[DNT]","[DNT]","[DNT]","[DNT]","[DNT]","[""Audio/Dialogue/NullFile/Null_3s.ogg""]",[],"",[],0,100,[],[],[],[],[],[],[],[],"",""
25,"TujenA4_Intro_A_StrInt4",5,"[DNT]","[DNT]","[DNT]","[DNT]","[DNT]","[DNT]","[DNT]","[DNT]","[DNT]","[DNT]","[""Audio/Dialogue/NullFile/Null_3s.ogg""]",[],"",[],0,100,[],[],[],[],[],[],[],[],"",""
26,"TujenA4_Intro_A_Str4",0,"[DNT]","[DNT]","[DNT]","[DNT]","[DNT]","[DNT]","[DNT]","[DNT]","[DNT]","[DNT]","[""Audio/Dialogue/NullFile/Null_3s.ogg""]",[],"",[],0,100,[],[],[],[],[],[],[],[],"",""
27,"TujenA4_Intro_A_PostMakoru_Dex4b",8,"Aye. Makoru's had her eyes on it.","Ouais. Ça intéressait particulièrement Makoru.","Aye. Makoru hat einen Blick darauf geworfen.","ああ。マコルには見せたよ。","그럼. 마코루가 증서를 봤다.","Sim. A Makoru tava de olho nisso.","Точно. Макору её уже проверяла.","Sí. Makoru ya lo vio.","ใช่ มาโครูหาสิ่งนี้อยู่","嗯。給瑪寇魯過目了。","[""Audio/Dialogue/4.0/Characters/Dex/Huntress/Huntress_Convo/Huntress_Tujen_Convo_A4_01_03.ogg""]",[],"",[],0,100,[],[],[],[],[],[],[],[],"",""
28,"TujenA4_Intro_A_PostMakoru_DexInt4b",10,"Yes. Makoru is now in my employ.","Oui, Makoru travaille désormais pour moi.","Ja. Makoru arbeitet jetzt für mich.","うむ。マコルは私が雇った。","그래. 마코루는 이제 내가 고용했지.","Sim, a Makoru agora trabalha para mim.","А как же. Макору теперь работает на меня.","Sí. Ahora Makoru trabajará para mí.","ใช่ มาโครูเป็นลูกจ้างข้าแล้ว","是的。瑪寇魯現在被我顧下了。","[""Audio/Dialogue/4.0/Characters/DexInt/Monk/Monk_Convo/Monk_Tujen_Convo_A4_27.ogg""]",[],"",[],0,100,[],[],[],[],[],[],[],[],"",""
29,"TujenA4_Intro_A_PostMakoru_Str4b",6,"That's right. <continue>Makoru has accepted the charter.","Exactement. <continue>Makoru a accepté la charte.","Das stimmt. \r\n<continue>Makoru hat den Vertrag akzeptiert.","ああ。<continue>マコルと傭船契約を交わした。","맞아. <continue>마코루가 용선 증서를 인정했다.","É isso mesmo. <continue>A Makoru aceitou a carta de navegação.","Именно. <continue>Макору грамоту приняла.","Es correcto. <continue>Y Makoru ha aceptado dicho contrato.","ถูกแล้ว<continue>มาโครูรับสัญญาเช่าไปแล้ว","沒錯。<continue>瑪寇魯已經接受那份特許證了。","[""Audio/Dialogue/4.0/Characters/Str/Warrior/Warrior_Convo/Warrior_Tujen_Convo_03_01.ogg"",""Audio/Dialogue/4.0/Characters/Str/Warrior/Warrior_Convo/Warrior_Tujen_Convo_03_02.ogg""]",[],"",[],0,100,[],[],[],[],[],[],[],[],"",""
30,"TujenA4_Intro_A_PostMakoru_Int4",1,"Yes, yes. Makoru has seen it.","Oui, oui, Makoru l'a vue.","Ja, ja. Makoru hat ihn gesehen.","ええ、ええ。既にマコルには見せたわ。","그래, 맞다. 마코루가 그걸 보았다.","Sim, sim. A Makoru já viu isso.","Да-да, Макору его видела.","Sí, sí. Makoru lo ha visto.","ใช่สิ มาโครูเห็นสัญญานี่แล้ว","對，對。瑪寇魯看過了。","[""Audio/Dialogue/4.0/Characters/Int/Witch/Witch_Convo/Witch_Convo_TujenA4_03.ogg""]",[],"",[],0,100,[],[],[],[],[],[],[],[],"",""
31,"TujenA4_Intro_A_PostMakoru_Int4b",7,"Indeed. Makoru has seen it.","En effet. Makoru l'a vue.","In der Tat. Makoru hat ihn gesehen.","うむ。マコルには見せた。","맞다. 마코루가 그걸 보았다.","De fato. Makoru a viu.","Да, Макору уже в курсе.","Así es. Makoru ya lo ha visto.","จริงแท้ มาโครูเห็นสัญญานี้มาก่อน","沒錯，瑪寇魯已經看過了。","[""Audio/Dialogue/4.0/Characters/Int/Sorceress/Sorceress_Convo/Sorceress_Convo_TujenA4_03.ogg""]",[],"",[],0,100,[],[],[],[],[],[],[],[],"",""
32,"TujenA4_Intro_A_PostMakoru_Dex4",2,"Yes. Makoru has seen it.","Oui, Makoru l'a vue.","Ja. Makoru hat ihn gesehen.","ええ。マコルに見せたわ。","그래. 마코루가 그걸 보았다.","Sim. A Makoru já viu isso.","Да, Макору его видела.","Sí. Makoru ya lo ha visto.","ใช่ มาโครูเห็นสัญญานี้แล้ว","是的，瑪寇魯看過了。","[""Audio/Dialogue/4.0/Characters/Dex/Ranger/Ranger_Convo/Ranger_Convo_TujenA4_03.ogg""]",[],"",[],0,100,[],[],[],[],[],[],[],[],"",""
33,"TujenA4_Intro_A_PostMakoru_StrDex4b",9,"That's right. Makoru's agreed to work for me.","Exact. Makoru a accepté de bosser pour moi.","Das stimmt. Makoru ist einverstanden, für mich zu arbeiten.","ああ。マコルは俺のために働いてくれることになった。","맞다. 마코루가 나와 일하기로 했지.","Isso mesmo. A Makoru concordou em trabalhar para mim.","Верно. Макору согласилась работать на меня.","Así es. Makoru ha aceptado trabajar para mí.","ใช่แล้ว มาโครูตกลงว่าจะร่วมงานกับข้า","你說的對。瑪寇魯同意在我底下工作。","[""Audio/Dialogue/4.0/Characters/StrDex/Mercenary/Mercenary_Convo/Mercenary_Tujen_Convo_A4_03.ogg""]",[],"",[],0,100,[],[],[],[],[],[],[],[],"",""
34,"TujenA4_Intro_A_PostMakoru_StrInt4b",11,"That's right. Makoru's taken the charter.","Tout à fait. Makoru a pris la charte-partie.","Das stimmt. Makoru hat den Vertrag akzeptiert.","うむ。マコルは契約を受けてくれた。","맞아. 마코루가 용선 증서를 받아들였다.","Isso mesmo. Makoru ficou com a carta de navegação.","Верно. Макору забрала грамоту.","Así es. Makoru ha aceptado el contrato.","ใช่ มาโครูรับสัญญาเช่าเรือไปแล้ว","沒錯。瑪寇魯收下特許證了。","[""Audio/Dialogue/4.0/Characters/StrInt/Druid/Druid_Convo/Druid_Tujen_Convo_A4_03.ogg""]",[],"",[],0,100,[],[],[],[],[],[],[],[],"",""
35,"TujenA4_Intro_A_PostMakoru_StrDex4",3,"[DNT]","[DNT]","[DNT]","[DNT]","[DNT]","[DNT]","[DNT]","[DNT]","[DNT]","[DNT]","[""Audio/Dialogue/NullFile/Null_3s.ogg""]",[],"",[],0,100,[],[],[],[],[],[],[],[],"",""
36,"TujenA4_Intro_A_PostMakoru>StrDex4_a1","","[DNT]","[DNT]","[DNT]","[DNT]","[DNT]","[DNT]","[DNT]","[DNT]","[DNT]","[DNT]","[""Audio/Dialogue/NullFile/Null_3s.ogg""]",[509],"",[3],0,100,[],[],[],[],[],[],[],[],"",""
37,"TujenA4_Intro_A_PostMakoru_DexInt4",4,"[DNT]","[DNT]","[DNT]","[DNT]","[DNT]","[DNT]","[DNT]","[DNT]","[DNT]","[DNT]","[""Audio/Dialogue/NullFile/Null_3s.ogg""]",[],"",[],0,100,[],[],[],[],[],[],[],[],"",""
38,"TujenA4_Intro_A_PostMakoru_StrInt4",5,"[DNT]","[DNT]","[DNT]","[DNT]","[DNT]","[DNT]","[DNT]","[DNT]","[DNT]","[DNT]","[""Audio/Dialogue/NullFile/Null_3s.ogg""]",[],"",[],0,100,[],[],[],[],[],[],[],[],"",""
39,"TujenA4_Intro_A_PostMakoru_Str4",0,"[DNT]","[DNT]","[DNT]","[DNT]","[DNT]","[DNT]","[DNT]","[DNT]","[DNT]","[DNT]","[""Audio/Dialogue/NullFile/Null_3s.ogg""]",[],"",[],0,100,[],[],[],[],[],[],[],[],"",""
