"rownum","string_0","string_8","undefined (French)","undefined (German)","undefined (Japanese)","undefined (Korean)","undefined (Portuguese)","undefined (Russian)","undefined (Spanish)","undefined (Thai)","undefined (Traditional Chinese)","rid_16"
10,"FirstSkillGem_8","[DNT-UNUSED]END OF SKILL GEM TUTORIAL. HIGHLIGHT SKILL BUTTON ASSOCIATED TO STARTING SKILL GEM","WIP","[DNT-UNUSED]END OF SKILL GEM TUTORIAL. HIGHLIGHT SKILL BUTTON ASSOCIATED TO STARTING SKILL GEM","[DNT-UNUSED]END OF SKILL GEM TUTORIAL. HIGHLIGHT SKILL BUTTON ASSOCIATED TO STARTING SKILL GEM","WIP","WIP","WIP","[DNT-UNUSED]END OF SKILL GEM TUTORIAL. HIGHLIGHT SKILL BUTTON ASSOCIATED TO STARTING SKILL GEM","DNT","WIP",3
11,"FirstSupportGem_1","Pick up <gem>{Support Gem}","Ramassez la <gem>{Gemme de soutien}","Hebe die <gem>{Unterstützungsgemme} auf.","Pick up <gem>{Support Gem}","<gem>{보조 젬}을 획득합니다.","Pegue a <gem>{Gema de Suporte}","WIP","Recoge la <gem>{gema de asistencia}","เก็บ<gem>{หินเสริม}","拾取<gem>{輔助寶石}",4
12,"FirstSupportGem_2","<gem>{Support gems} <tutorialgesture>{are used to augment \r\nyour} <gem>{Skill gems}\r\nOpen your Character Menu","Les <gem>{Gemmes de soutien} <tutorialgesture>{sont utilisées pour améliorer \r\nvos} <gem>{Gemmes d'aptitude}\r\nOuvrez votre Menu de personnage","<gem>{Unterstützungsgemmen} <tutorialgesture>{werden verwendet, um deine} <gem>{Fertigkeitengemmen} zu verbessern.\r\nÖffne das Charaktermenü.","<gem>{Support gems} <tutorialgesture>{are used to augment \r\nyour} <gem>{Skill gems}\r\nOpen your Character Menu","<gem>{보조 젬}<tutorialgesture>{을 사용하면}\r\n<gem>{스킬 젬}<tutorialgesture>{을 보강할 수 있습니다.}\r\n캐릭터 메뉴를 여십시오.","<gem>{Gemas de Suporte} <tutorialgesture>{são usadas para melhorar suas} <gem>{Gemas de Habilidade}\r\nAbra o Menu do Personagem","WIP","Las <gem>{gemas de asistencia} <tutorialgesture>{se usan para mejorar\r\ntus} <gem>{gemas de habilidad}\r\nAbre el menú de tu personaje","<gem>{หินเสริม}<tutorialgesture>{ใช้เพื่อเสริมความสามารถ\r\nของ}<gem>{หินสกิล}ของคุณ\r\nเปิดเมนูตัวละครของคุณ","<gem>{輔助寶石} <tutorialgesture>{用於增強\r\n你的} <gem>{技能寶石}\r\n打開你的角色選單",4
13,"FirstSupportGem_3","Navigate to the Skills Tab","Rendez-vous dans l'onglet Aptitudes","Navigiere zum Reiter 'Fertigkeiten'.","Navigate to the Skills Tab","스킬 탭으로 이동","Vá até a aba de Habilidades","WIP","Navega a la pestaña de habilidades","ไปที่แท็บสกิล","引導至技能頁",4
14,"FirstSupportGem_4","Place the <gem>{Support Gem} into\r\na support socket of the same colour","Placez la <gem>{Gemme de soutien} dans\r\nune châsse de soutien de même couleur","Platziere die <gem>{Unterstützungsgemme} in\r\neiner Unterstützungsfassung der gleichen Farbe.","Place the <gem>{Support Gem} into\r\na support socket of the same colour","<gem>{보조 젬}을 같은 색상의\r\n보조 홈에 삽입하십시오.","Coloque a <gem>{Gema de Suporte} em um encaixe de suporte da mesma cor","WIP","Coloca la <gem>{gema de asistencia} en\r\nun engarce para asistencias del mismo color","นำ<gem>{หินเสริม}ไปใส่ใน\r\nรูหินเสริมที่มีสีเดียวกัน","將<gem>{輔助寶石}放入\r\n一個相同顏色的輔助插槽",4
15,"FirstSupportGem_5","<tutorialgesture>{Your skill has been augmented!}\r\nClose the Character Menu","<tutorialgesture>{Votre aptitude a été améliorée !}\r\nFermez le Menu de personnage","<tutorialgesture>{Deine Fertigkeit wurde verbessert!}\r\nSchließe das Charaktermenü.","<tutorialgesture>{Your skill has been augmented!}\r\nClose the Character Menu","<tutorialgesture>{스킬이 강화되었습니다!}\r\n캐릭터 메뉴를 닫으십시오.","<tutorialgesture>{Sua habilidade foi melhorada!}\r\nFeche o Menu do Personagem","WIP","<tutorialgesture>{¡Tu habilidad ha mejorado!}\r\nCierra el menú del personaje","<tutorialgesture>{สกิลของคุณได้รับการเสริมความสามารถแล้ว!}\r\nปิดเมนูตัวละคร","<tutorialgesture>{你的技能已增強！}\r\n關閉角色選單",4
16,"UseFlask_1","<tutorialgesture>{You have taken damage!}\r\n<tutorialgesture>{[Tap]} a Life Flask or\r\nyour Life Orb to recover","<tutorialgesture>{Vous avez subi des dégâts !}\r\n<tutorialgesture>{[Appuyez]} sur un Flacon de Vie ou\r\nsur votre Orbe de Vie pour récupérer de la Vie","<tutorialgesture>{Du hast Schaden erlitten!}\r\n<tutorialgesture>{[Tippe]} auf ein Lebensfläschchen oder\r\ndeine Lebenskugel, um dein Leben wiederherzustellen.","<tutorialgesture>{You have taken damage!}\r\n<tutorialgesture>{[Tap]} a Life Flask or\r\nyour Life Orb to recover","<tutorialgesture>{피해를 받았습니다!}\r\n<tutorialgesture>{[터치]}해서 생명력 플라스크 또는\r\n생명력 보주를 사용하고 회복하십시오.","<tutorialgesture>{Você sofreu dano!}\r\n<tutorialgesture>{[Toque]} em um Frasco de Vida ou no seu Orbe de Vida para se curar","WIP","<tutorialgesture>{¡Has recibido daño!}\r\n<tutorialgesture>{[Tap|Pulsa]} en un frasco de vida o\r\nen tu orbe de vida para recuperar vida","<tutorialgesture>{คุณได้รับความเสียหาย!}\r\n<tutorialgesture>{[แตะ]}ที่ขวดยาพลังชีวิต\r\nหรือลูกแก้วพลังชีวิตเพื่อเติมพลังชีวิต","<tutorialgesture>{你受到傷害！}\r\n<tutorialgesture>{[輕點]}一瓶生命藥劑或\r\n你的生命球來恢復",5
17,"Attack_1","<tutorialgesture>{Combat has begun!}\r\n<tutorialgesture>{[Tap]} to attack","<tutorialgesture>{Le combat a commencé !}\r\n<tutorialgesture>{[Appuyez]} pour attaquer","<tutorialgesture>{Der Kampf hat begonnen!}\r\n<tutorialgesture>{[Tippe]} zum Angreifen.","<tutorialgesture>{Combat has begun!}\r\n<tutorialgesture>{[Tap]} to attack","<tutorialgesture>{전투가 시작됐습니다!}\r\n<tutorialgesture>{[터치]}해서 공격하십시오.","<tutorialgesture>{O combate começou!}\r\n<tutorialgesture>{[Toque]} para atacar","WIP","<tutorialgesture>{¡El combate ha comenzado!}\r\n<tutorialgesture>{[Tap|Pulsa]} para atacar","<tutorialgesture>{เริ่มการต่อสู้แล้ว!}\r\n<tutorialgesture>{[แตะ]}เพื่อโจมตี","<tutorialgesture>{戰鬥已開始！}\r\n<tutorialgesture>{[輕點]}攻擊",6
18,"AtlasTouchControls_1","<tutorialgesture>{Welcome to the Atlas of Worlds!}\r\nTo get started, we will introduce \r\nsome controls","<tutorialgesture>{Bienvenue dans l'Atlas des Mondes !}\r\nPour commencer, nous allons vous présenter \r\nquelques commandes","<tutorialgesture>{Willkommen im Atlas der Welten!}\r\nUm loszulegen, zeigen wir dir einige Funktionen.","<tutorialgesture>{Welcome to the Atlas of Worlds!}\r\nTo get started, we will introduce \r\nsome controls","<tutorialgesture>{아틀라스의 세계에 오신 것을 환영합니다!}\r\n먼저 몇 가지 제어 방법을 \r\n소개해 드리겠습니다.","<tutorialgesture>{Boas-vindas ao Atlas dos Mundos!}\r\nVamos começar com uma introdução aos controles","WIP","<tutorialgesture>{¡Te damos la bienvenida al Atlas de los mundos!}\r\nPara empezar, veamos \r\nalgunos controles","<tutorialgesture>{ยินดีต้อนรับสู่แอตลาสสรรพโลก!}\r\nเราจะเริ่มจากการสอนการควบคุมก่อน","<tutorialgesture>{歡迎來到異界輿圖！}\r\n在開始之前，我們會介紹\r\n一些控制方法",7
19,"AtlasTouchControls_2","<tutorialgesture>{[Drag]} to look around","<tutorialgesture>{[Faites glisser]} pour regarder aux alentours","<tutorialgesture>{[Ziehe]}, um dich umzusehen.","<tutorialgesture>{[Drag]} to look around","<tutorialgesture>{[드래그]}해서 주위를 둘러봅니다","<tutorialgesture>{[Arraste]} para olhar ao redor","WIP","<tutorialgesture>{[Drag|Arrastra]} para mirar alrededor","<tutorialgesture>{[ลาก]}เพื่อมองไปรอบๆ","<tutorialgesture>{[拖曳]}來環顧四周",7
20,"AtlasTouchControls_3","<tutorialgesture>{[Pinch]} to zoom in on the Atlas","<tutorialgesture>{[Pincez]} pour zoomer sur l'Atlas","Nutze <tutorialgesture>{[zwei Finger]} zum Heranzoomen des Atlas.","<tutorialgesture>{[Pinch]} to zoom in on the Atlas","화면에 두 손가락을 대고 <tutorialgesture>{[좁혀서]} 아틀라스를 축소합니다","<tutorialgesture>{[Aperte]} para aproximar o Atlas","WIP","<tutorialgesture>{[Pinch|Pellizca]} para ampliar el Atlas","<tutorialgesture>{[ถ่างนิ้ว]}เพื่อซูมเข้าไปในแอตลาส","<tutorialgesture>{[以兩指內收]}來縮放輿圖",7
21,"AtlasTouchControls_4","<tutorialgesture>{[Tap]} to select the map","<tutorialgesture>{[Appuyez]} pour sélectionner la carte","<tutorialgesture>{[Tippe]} zum Auswählen der Karte.","<tutorialgesture>{[Tap]} to select the map","<tutorialgesture>{[터치]}해서 지도를 선택합니다","<tutorialgesture>{[Toque]} para selecionar o mapa","WIP","<tutorialgesture>{[Tap|Pulsa]} para seleccionar el mapa","<tutorialgesture>{[แตะ]}เพื่อเลือกแผนที่","<tutorialgesture>{[輕點]}選擇地圖",7
22,"AtlasTouchControls_5","[DNT-UNUSED]END OF ATLAS TOUCH CONTROLS TUTORIAL. CLEAN UP TUTORIAL GESTURE STUFF HERE","WIP","[DNT-UNUSED]END OF ATLAS TOUCH CONTROLS TUTORIAL. CLEAN UP TUTORIAL GESTURE STUFF HERE","[DNT-UNUSED]END OF ATLAS TOUCH CONTROLS TUTORIAL. CLEAN UP TUTORIAL GESTURE STUFF HERE","WIP","WIP","WIP","[DNT-UNUSED]END OF ATLAS TOUCH CONTROLS TUTORIAL. CLEAN UP TUTORIAL GESTURE STUFF HERE","DNT","WIP",7
23,"AtlasTouchControls_6","<tutorialgesture>{The Map Device only creates six Portals to an Area}\r\nThis means there are only six Entrances before an Area is closed permanently. Tread carefully!","<tutorialgesture>{Le Dispositif cartographique ne crée que six Portails vers une Zone}\r\nCela signifie que vous ne pouvez entrer dans une Zone que six fois avant qu'elle ne soit fermée à jamais. Soyez prudent !","<tutorialgesture>{Der Kartenapparat erstellt nur sechs Portale zu einem Gebiet}.\r\nDas bedeutet, dass es nur sechs Eingänge gibt, bevor ein Gebiet dauerhaft geschlossen wird. Sei vorsichtig!","<tutorialgesture>{The Map Device only creates six Portals to an Area}\r\nThis means there are only six Entrances before an Area is closed permanently. Tread carefully!","<tutorialgesture>{지도 장치는 한 지역에 포탈을 6개만 생성합니다.}\r\n즉, 입구가 6개 생기고 나면 해당 지역은 영구적으로 닫혀 버립니다. 신중하게 걸음을 옮기세요!","<tutorialgesture>{O Dispositivo do Mapa cria apenas seis Portais para uma Área}\r\nIsso quer dizer que só há seis Entradas antes de a Área ser fechada de vez. Cuidado!","WIP","<tutorialgesture>{El artefacto de mapas solo crea seis portales a un área}\r\nEsto significa que solo puedes entrar seis veces, y luego el área se cerrará permanentemente. ¡Ve con cuidado!","<tutorialgesture>{เครื่องเปิดแผนที่จะเปิดวาร์ปเพียง 6 แห่งไปยังด่านเท่านั้น}\r\nซึ่งแปลว่าจะเข้าไปได้ 6 ครั้งก่อนที่ด่านจะปิดตัวลงโดยถาวร ระวังตัวให้ดี!","<tutorialgesture>{地圖裝置只會為一個區域創造出六道傳送門}\r\n這代表在一個區域永久關閉前，只能進入六次。請謹慎行動！",7
24,"PassiveTreeTouchControls_1","<tutorialgesture>{Introducing the Character Passive Skill Tree!}\r\nSkill points are used to enhance your character","<tutorialgesture>{Et voilà l'Arbre des Talents passif du personnage !}\r\nLes Points de talent sont utilisés pour améliorer votre personnage","<tutorialgesture>{Einführung in den passiven Fertigkeitsbaum des Charakters!}\r\nFertigkeitspunkte werden verwendet, um den Charakter zu verbessern.","<tutorialgesture>{Introducing the Character Passive Skill Tree!}\r\nSkill points are used to enhance your character","<tutorialgesture>{캐릭터 패시브 스킬 트리를 소개합니다!}\r\n스킬 포인트는 캐릭터를 강화하는 데 사용됩니다.","<tutorialgesture>{Conheça a Árvore de Habilidades Passivas do Personagem!}\r\nPontos de habilidade são usados para melhorar seu personagem","WIP","<tutorialgesture>{¡Te presentamos el Árbol de habilidades pasivas del personaje!}\r\nLos puntos de habilidad se usan para mejorar a tu personaje","<tutorialgesture>{ขอแนะนำให้รู้จักตารางพาสซีฟตัวละคร!}\r\nแต้มพาสซีฟมีไว้เสริมความสามารถตัวละครของคุณ","<tutorialgesture>{介紹角色天賦樹！}\r\n技能點數可用來強化你的角色",8
25,"PassiveTreeTouchControls_2","<tutorialgesture>{[Tap]} Passive Skill to see its Stats","<tutorialgesture>{[Appuyez]} sur un Talent pour voir ses Stats","<tutorialgesture>{[Tippe]} auf die passive Fertigkeit, um ihre Werte zu sehen.","<tutorialgesture>{[Tap]} Passive Skill to see its Stats","패시브 스킬을 <tutorialgesture>{[터치해서]} 능력치를 확인하십시오.","<tutorialgesture>{[Toque]} na Habilidade Passiva para ver suas estatísticas","WIP","<tutorialgesture>{[Tap|Pulsa]} en una habilidad pasiva para ver sus estadísticas","<tutorialgesture>{[แตะ]}พาสซีฟเพื่อดู Stats ของมัน","<tutorialgesture>{[輕點]}天賦樹檢視其狀態",8
26,"PassiveTreeTouchControls_3","<tutorialgesture>{[Tap]} Assign Mode button\r\nto start Allocating","<tutorialgesture>{[Appuyez]} sur le bouton Mode Assignation\r\npour commencer à Attribuer des points","<tutorialgesture>{[Tippe]} die Schaltfläche Zuweisungsmodus,\r\num die Zuweisung zu starten.","<tutorialgesture>{[Tap]} Assign Mode button\r\nto start Allocating","지정 모드 버튼을 <tutorialgesture>{[터치]}해서\r\n할당을 시작하십시오.","<tutorialgesture>{[Toque]} no botão de Modo de Atribuição para começar a atribuir","WIP","<tutorialgesture>{[Tap|Pulsa]} el botón Modo asignación\r\npara empezar a asignar pasivas","<tutorialgesture>{[แตะ]}ปุ่มโหมดอัพ\r\nเพื่อเริ่มการอัพ","<tutorialgesture>{[輕點]}指派模式鍵\r\n開始分配",8
27,"PassiveTreeTouchControls_4","<tutorialgesture>{[Tap]} to select a Passive Skill\r\nto allocate","<tutorialgesture>{[Appuyez]} pour sélectionner un Talent passif\r\nà attribuer","<tutorialgesture>{[Tippe]}, um eine passive Fertigkeit zuzuweisen.","<tutorialgesture>{[Tap]} to select a Passive Skill\r\nto allocate","<tutorialgesture>{[터치]}해서 할당할 패시브 스킬을\r\n선택하십시오.","<tutorialgesture>{[Toque]} para escolher uma Habilidade Passiva para atribuir","WIP","<tutorialgesture>{[Tap|Pulsa]} para seleccionar una habilidad pasiva\r\ny poder asignarla","<tutorialgesture>{[แตะ]}เพื่อเลือกพาสซีฟ\r\nที่ต้องการอัพ","<tutorialgesture>{[輕點]}選擇天賦\r\n來分配",8
28,"PassiveTreeTouchControls_5","<tutorialgesture>{[Tap-Hold]} Confirm button to apply changes\r\n<tutorialgesture>{[Tap]} Passive Skill again to deselect\r\nand choose another option","<tutorialgesture>{[Appuyez-Maintenez]} le bouton Confirmer pour appliquer les modifications\r\n<tutorialgesture>{[Appuyez]} à nouveau sur un Talent passif pour le désélectionner\r\net en choisir un autre","<tutorialgesture>{[Tippe und halte]} die Bestätigen-Schaltfläche, um Änderungen zu übernehmen.\r\n<tutorialgesture>{[Tippe]} die passive Fertigkeit erneut an, um die Auswahl aufzuheben und eine andere Option zu wählen.","<tutorialgesture>{[Tap-Hold]} Confirm button to apply changes\r\n<tutorialgesture>{[Tap]} Passive Skill again to deselect\r\nand choose another option","확인 버튼을 <tutorialgesture>{[길게 터치]}해서 변경 사항을 적용하십시오.\r\n패시브 스킬을 다시 <tutorialgesture>{[터치]}해서 선택을 해제하고\r\n다른 옵션을 고르십시오.","<tutorialgesture>{[Toque e segure]} no botão \""Confirmar\"" para aplicar as mudanças\r\n<tutorialgesture>{[Toque]} na Habilidade Passiva novamente para desmarcar e escolher outra opção","WIP","<tutorialgesture>{[Tap-Hold|Mantén pulsado]} el botón Confirmar para aplicar los cambios\r\nVuelve a <tutorialgesture>{[Tap|pulsar]} en la habilidad pasiva\r\npara desmarcarla y elegir otra opción","<tutorialgesture>{[กดค้าง]}ที่ปุ่มยืนยัน เพื่อยืนยันการเปลี่ยนแปลง\r\n<tutorialgesture>{[แตะ]}ที่พาสซีฟอีกครั้งเพื่อยกเลิกการเลือก\r\nแล้วเลือกพาสซีฟอื่น","<tutorialgesture>{[輕點並按住]}確認鍵來套用變更\r\n<tutorialgesture>再次{[輕點]}天賦解除選擇\r\n並選擇另一個選項",8
29,"PassiveTreeTouchControls_6","<tutorialgesture>{Your character has grown in power!}\r\nSkill points are gained through levelling up, \r\nand completing certain quests.","<tutorialgesture>{Votre personnage a gagné en puissance !}\r\nLes Points de talent sont gagnés en passant des niveaux \r\net en terminant certaines quêtes","<tutorialgesture>{Dein Charakter hat an Macht gewonnen!}\r\nFertigkeitspunkte erhält man durch Stufenaufstiege, \r\nund das Erfüllen bestimmter Quests.","<tutorialgesture>{Your character has grown in power!}\r\nSkill points are gained through levelling up, \r\nand completing certain quests.","<tutorialgesture>{캐릭터의 힘이 커졌습니다!}\r\n레벨을 올리거나, 특정 퀘스트를 완료하면 \r\n스킬 포인트를 얻을 수 있습니다.","<tutorialgesture>{Seu personagem ficou mais poderoso!}\r\nPontos de habilidade são adquiridos ao subir de nível e ao completar algumas missões","WIP","<tutorialgesture>{¡Tu personaje ha aumentado su poder!}\r\nLos puntos de habilidad se obtienen subiendo de nivel \r\ny completando ciertas misiones.","<tutorialgesture>{ตัวละครของคุณมีพลังเพิ่มขึ้นแล้ว!}\r\nแต้มพาสซีฟหามาได้จากการเพิ่มเลเวล\r\nและการผ่านเควสต์บางอย่าง","<tutorialgesture>{你的角色力量獲得成長！}\r\n技能點數可透過升級\r\n以及完成特定任務獲得。",8
30,"PassiveTreeTouchControls_7","[DNT-UNUSED]END OF PASSIVE TREE CONTROLS TUTORIAL. JUST COMPLETE TUTORIAL","WIP","[DNT-UNUSED]END OF PASSIVE TREE CONTROLS TUTORIAL. JUST COMPLETE TUTORIAL","[DNT-UNUSED]END OF PASSIVE TREE CONTROLS TUTORIAL. JUST COMPLETE TUTORIAL","WIP","WIP","WIP","[DNT-UNUSED]END OF PASSIVE TREE CONTROLS TUTORIAL. JUST COMPLETE TUTORIAL","DNT","WIP",8
