"rownum","Id","Text","Text (French)","Text (German)","Text (Japanese)","Text (Korean)","Text (Portuguese)","Text (Russian)","Text (Spanish)","Text (Thai)","Text (Traditional Chinese)","BackgroundImage","i32_24","f32_28","f32_32","string_36","string_44","ForegroundImage","QuestFlag","i32_76","AwardVideo","SoundEffect"
11,"FavouriteMapSlotUnlock1","Favoured Map Slot Unlocked","Emplacement de Carte favorite débloqué","Platz für Lieblingskarte freigeschaltet","お気に入りマップスロットがアンロックされました","선호 지도 슬롯을 잠금 해제했습니다","Espaço de Mapa Favorecido Desbloqueado","Разблокирована ячейка предпочитаемой карты","Has desbloqueado un espacio de mapa favorito","ปลดล็อก ช่องใส่แผนที่ที่ชื่นชอบ แล้ว","解鎖幸運地圖欄位","Art/2DArt/UIImages/InGame/UnlockedFavouredMapNotification",355,3,2,"","","Art/2DArt/UIImages/InGame/UnlockedFavouredMapHeader","",0,"",""
12,"FavouriteMapSlotUnlock2","Favoured Map Slot Unlocked","Emplacement de Carte favorite débloqué","Platz für Lieblingskarte freigeschaltet","お気に入りマップスロットがアンロックされました","선호 지도 슬롯을 잠금 해제했습니다","Espaço de Mapa Favorecido Desbloqueado","Разблокирована ячейка предпочитаемой карты","Has desbloqueado un espacio de mapa favorito","ปลดล็อก ช่องใส่แผนที่ที่ชื่นชอบ แล้ว","解鎖幸運地圖欄位","Art/2DArt/UIImages/InGame/UnlockedFavouredMapNotification",356,3,2,"","","Art/2DArt/UIImages/InGame/UnlockedFavouredMapHeader","",0,"",""
13,"FavouriteMapSlotUnlock3","Favoured Map Slot Unlocked","Emplacement de Carte favorite débloqué","Platz für Lieblingskarte freigeschaltet","お気に入りマップスロットがアンロックされました","선호 지도 슬롯을 잠금 해제했습니다","Espaço de Mapa Favorecido Desbloqueado","Разблокирована ячейка предпочитаемой карты","Has desbloqueado un espacio de mapa favorito","ปลดล็อก ช่องใส่แผนที่ที่ชื่นชอบ แล้ว","解鎖幸運地圖欄位","Art/2DArt/UIImages/InGame/UnlockedFavouredMapNotification",357,3,2,"","","Art/2DArt/UIImages/InGame/UnlockedFavouredMapHeader","",0,"",""
14,"FavouriteMapSlotUnlock4","Favoured Map Slot Unlocked","Emplacement de Carte favorite débloqué","Platz für Lieblingskarte freigeschaltet","お気に入りマップスロットがアンロックされました","선호 지도 슬롯을 잠금 해제했습니다","Espaço de Mapa Favorecido Desbloqueado","Разблокирована ячейка предпочитаемой карты","Has desbloqueado un espacio de mapa favorito","ปลดล็อก ช่องใส่แผนที่ที่ชื่นชอบ แล้ว","解鎖幸運地圖欄位","Art/2DArt/UIImages/InGame/UnlockedFavouredMapNotification",358,3,2,"","","Art/2DArt/UIImages/InGame/UnlockedFavouredMapHeader","",0,"",""
15,"FavouriteMapSlotUnlock5","Favoured Map Slot Unlocked","Emplacement de Carte favorite débloqué","Platz für Lieblingskarte freigeschaltet","お気に入りマップスロットがアンロックされました","선호 지도 슬롯을 잠금 해제했습니다","Espaço de Mapa Favorecido Desbloqueado","Разблокирована ячейка предпочитаемой карты","Has desbloqueado un espacio de mapa favorito","ปลดล็อก ช่องใส่แผนที่ที่ชื่นชอบ แล้ว","解鎖幸運地圖欄位","Art/2DArt/UIImages/InGame/UnlockedFavouredMapNotification",359,3,2,"","","Art/2DArt/UIImages/InGame/UnlockedFavouredMapHeader","",0,"",""
16,"FavouriteMapSlotUnlock6","Favoured Map Slot Unlocked","Emplacement de Carte favorite débloqué","Platz für Lieblingskarte freigeschaltet","お気に入りマップスロットがアンロックされました","선호 지도 슬롯을 잠금 해제했습니다","Espaço de Mapa Favorecido Desbloqueado","Разблокирована ячейка предпочитаемой карты","Has desbloqueado un espacio de mapa favorito","ปลดล็อก ช่องใส่แผนที่ที่ชื่นชอบ แล้ว","解鎖幸運地圖欄位","Art/2DArt/UIImages/InGame/UnlockedFavouredMapNotification",360,3,2,"","","Art/2DArt/UIImages/InGame/UnlockedFavouredMapHeader","",0,"",""
17,"FavouriteMapSlotUnlock7","Favoured Map Slot Unlocked","Emplacement de Carte favorite débloqué","Platz für Lieblingskarte freigeschaltet","お気に入りマップスロットがアンロックされました","선호 지도 슬롯을 잠금 해제했습니다","Espaço de Mapa Favorecido Desbloqueado","Разблокирована ячейка предпочитаемой карты","Has desbloqueado un espacio de mapa favorito","ปลดล็อก ช่องใส่แผนที่ที่ชื่นชอบ แล้ว","解鎖幸運地圖欄位","Art/2DArt/UIImages/InGame/UnlockedFavouredMapNotification",361,3,2,"","","Art/2DArt/UIImages/InGame/UnlockedFavouredMapHeader","",0,"",""
18,"FavouriteMapSlotUnlock8","Favoured Map Slot Unlocked","Emplacement de Carte favorite débloqué","Platz für Lieblingskarte freigeschaltet","お気に入りマップスロットがアンロックされました","선호 지도 슬롯을 잠금 해제했습니다","Espaço de Mapa Favorecido Desbloqueado","Разблокирована ячейка предпочитаемой карты","Has desbloqueado un espacio de mapa favorito","ปลดล็อก ช่องใส่แผนที่ที่ชื่นชอบ แล้ว","解鎖幸運地圖欄位","Art/2DArt/UIImages/InGame/UnlockedFavouredMapNotification",362,3,2,"","","Art/2DArt/UIImages/InGame/UnlockedFavouredMapHeader","",0,"",""
19,"FavouriteMapSlotUnlock9","Favoured Map Slot Unlocked","Emplacement de Carte favorite débloqué","Platz für Lieblingskarte freigeschaltet","お気に入りマップスロットがアンロックされました","선호 지도 슬롯을 잠금 해제했습니다","Espaço de Mapa Favorecido Desbloqueado","Разблокирована ячейка предпочитаемой карты","Has desbloqueado un espacio de mapa favorito","ปลดล็อก ช่องใส่แผนที่ที่ชื่นชอบ แล้ว","解鎖幸運地圖欄位","Art/2DArt/UIImages/InGame/UnlockedFavouredMapNotification",363,3,2,"","","Art/2DArt/UIImages/InGame/UnlockedFavouredMapHeader","",0,"",""
20,"FavouriteMapSlotUnlock10","Favoured Map Slot Unlocked","Emplacement de Carte favorite débloqué","Platz für Lieblingskarte freigeschaltet","お気に入りマップスロットがアンロックされました","선호 지도 슬롯을 잠금 해제했습니다","Espaço de Mapa Favorecido Desbloqueado","Разблокирована ячейка предпочитаемой карты","Has desbloqueado un espacio de mapa favorito","ปลดล็อก ช่องใส่แผนที่ที่ชื่นชอบ แล้ว","解鎖幸運地圖欄位","Art/2DArt/UIImages/InGame/UnlockedFavouredMapNotification",364,3,2,"","","Art/2DArt/UIImages/InGame/UnlockedFavouredMapHeader","",0,"",""
21,"FavouriteMapSlotUnlock11","Favoured Map Slot Unlocked","Emplacement de Carte favorite débloqué","Platz für Lieblingskarte freigeschaltet","お気に入りマップスロットがアンロックされました","선호 지도 슬롯을 잠금 해제했습니다","Espaço de Mapa Favorecido Desbloqueado","Разблокирована ячейка предпочитаемой карты","Has desbloqueado un espacio de mapa favorito","ปลดล็อก ช่องใส่แผนที่ที่ชื่นชอบ แล้ว","解鎖幸運地圖欄位","Art/2DArt/UIImages/InGame/UnlockedFavouredMapNotification",365,3,2,"","","Art/2DArt/UIImages/InGame/UnlockedFavouredMapHeader","",0,"",""
22,"FavouriteMapSlotUnlock12","Favoured Map Slot Unlocked","Emplacement de Carte favorite débloqué","Platz für Lieblingskarte freigeschaltet","お気に入りマップスロットがアンロックされました","선호 지도 슬롯을 잠금 해제했습니다","Espaço de Mapa Favorecido Desbloqueado","Разблокирована ячейка предпочитаемой карты","Has desbloqueado un espacio de mapa favorito","ปลดล็อก ช่องใส่แผนที่ที่ชื่นชอบ แล้ว","解鎖幸運地圖欄位","Art/2DArt/UIImages/InGame/UnlockedFavouredMapNotification",366,3,2,"","","Art/2DArt/UIImages/InGame/UnlockedFavouredMapHeader","",0,"",""
23,"ArchnemesisModPanelUnlocked","Archnemesis Inventory now available","Inventaire de modificateurs d'Archinémésis débloqué","Archnemesis-Inventar ist jetzt verfügbar","アーチネメシスインベントリが使用可能です","이제 강적 소지품창을 사용할 수 있습니다.","Inventário Arquinêmesis disponível","Доступен инвентарь Возмездия","Tu Inventario de Archnemesis ya está disponible","ช่องเก็บของอริคู่อาฆาต มีให้ใช้งานแล้ว","現在可使用宿敵倉庫","Art/2DArt/UIImages/InGame/GenericRewardBackground",1164,3,2,"","","Art/2DArt/UIImages/InGame/ArchnemesisStashDisplay","",0,"",""
24,"AtlasMissionGeneric","Craft Received","Nouvelle option d'artisanat","Anfertigung erhalten","クラフトを受け取りました","제작법을 획득했습니다","Recebeu Criação","Получено ремесленное свойство","Has recibido una fabricación","มีตัวเลือกการคราฟท์ให้ใช้เพิ่มขึ้น","已接收工藝","Art/2DArt/UIImages/InGame/AtlasMissionNotification",4829,3,2,"","","","",-44,"",""
25,"SentinelStashUnlocked","Sentinel Locker decoration now available in your Hideout","Nouvelle décoration disponible dans votre Repaire :\nCasier de Sentinelles","Die Dekoration Sentinel-Truhe ist jetzt in deinem Versteck verfügbar","センチネルロッカーが隠れ家で使用できるようになりました","이제 파수꾼 사물함 장식을 은신처에서 사용할 수 있습니다.","Decoração Armário da Sentinela disponível em seu refúgio","Декоративный шкаф с Часовыми теперь доступен в вашем убежище","La decoración Almacén de Sentinel ya está disponible en tu guarida","ของตกแต่ง ล็อกเกอร์หุ่นอารักษ์ (Sentinel Locker) สามารถใช้ได้ในที่ซ่อนของคุณแล้ว","裝飾物：守望鎖櫃現在可以在你的藏身處中使用","Art/2DArt/UIImages/InGame/GenericRewardBackground",4829,3,2,"","","Art/2DArt/UIImages/InGame/SentinelStashDisplay","",0,"",""
26,"LakeQuestMetaOption1","Mirrored Tablet can now Reroll a set of Choices","La Tablette miroir peut désormais Tirer au sort un nouvel ensemble de Choix","Die Gespiegelte Tafel kann jetzt eine Auswahl neu würfeln","鏡の石板は選択のセットをリロールできるようになりました","이제 복제 서판에서 무작위 변경으로 선택지를 바꿀 수 있습니다.","Tábua Espelhada agora pode recriar uma lista de escolhas","Зеркальная табличка теперь может менять набор вариантов","La Placa reflejada ahora puede aleatorizar un conjunto de opciones","แผ่นหินสะท้อน สามารถสุ่มตัวเลือกชุดหนึ่งได้แล้ว","鏡像碑牌現在可以重骰選擇","Art/2DArt/UIImages/InGame/Lake/LakeRewardBackground",1216,3,2,"","","Art/2DArt/UIImages/InGame/Lake/LakeRewardIconsReroll","",0,"",""
27,"LakeQuestMetaOption2","Mirrored Tablet can now Reroll a set of Choices","La Tablette miroir peut désormais Tirer au sort un nouvel ensemble de Choix","Die Gespiegelte Tafel kann jetzt eine Auswahl neu würfeln","鏡の石板は選択のセットをリロールできるようになりました","이제 복제 서판에서 무작위 변경으로 선택지를 바꿀 수 있습니다.","Tábua Espelhada agora pode recriar uma lista de escolhas","Зеркальная табличка теперь может менять набор вариантов","La Placa reflejada ahora puede aleatorizar un conjunto de opciones","แผ่นหินสะท้อน สามารถสุ่มตัวเลือกชุดหนึ่งได้แล้ว","鏡像碑牌現在可以重骰選擇","Art/2DArt/UIImages/InGame/Lake/LakeRewardBackground",1217,3,2,"","","Art/2DArt/UIImages/InGame/Lake/LakeRewardIconsReroll","",0,"",""
28,"LakeQuestMetaOption3","Mirrored Tablet can now Reroll a set of Choices","La Tablette miroir peut désormais Tirer au sort un nouvel ensemble de Choix","Die Gespiegelte Tafel kann jetzt eine Auswahl neu würfeln","鏡の石板は選択のセットをリロールできるようになりました","이제 복제 서판에서 무작위 변경으로 선택지를 바꿀 수 있습니다.","Tábua Espelhada agora pode recriar uma lista de escolhas","Зеркальная табличка теперь может менять набор вариантов","La Placa reflejada ahora puede aleatorizar un conjunto de opciones","แผ่นหินสะท้อน สามารถสุ่มตัวเลือกชุดหนึ่งได้แล้ว","鏡像碑牌現在可以重骰選擇","Art/2DArt/UIImages/InGame/Lake/LakeRewardBackground",1218,3,2,"","","Art/2DArt/UIImages/InGame/Lake/LakeRewardIconsReroll","",0,"",""
29,"LakeQuestMetaOption4","Mirrored Tablet can now Skip a Choice","La Tablette miroir peut désormais Ignorer un Choix","Die Gespiegelte Tafel kann jetzt eine Auswahl überspringen","鏡の石板は選択をスキップできるようになりました","이제 복제 서판에서 선택지를 넘길 수 있습니다.","Tábua Espelhada agora pode pular uma escolha","Зеркальная табличка теперь может пропускать вариант","La Placa reflejada ahora puede saltar una opción","แผ่นหินสะท้อน สามารถข้ามตัวเลือกหนึ่งได้แล้ว","鏡像碑牌現在可以略過選擇","Art/2DArt/UIImages/InGame/Lake/LakeRewardBackground",1219,3,2,"","","Art/2DArt/UIImages/InGame/Lake/LakeRewardIconsSkip","",0,"",""
30,"LakeQuestMetaOption5","Mirrored Tablet can now Skip a Choice","La Tablette miroir peut désormais Ignorer un Choix","Die Gespiegelte Tafel kann jetzt eine Auswahl überspringen","鏡の石板は選択をスキップできるようになりました","이제 복제 서판에서 선택지를 넘길 수 있습니다.","Tábua Espelhada agora pode pular uma escolha","Зеркальная табличка теперь может пропускать вариант","La Placa reflejada ahora puede saltar una opción","แผ่นหินสะท้อน สามารถข้ามตัวเลือกหนึ่งได้แล้ว","鏡像碑牌現在可以略過選擇","Art/2DArt/UIImages/InGame/Lake/LakeRewardBackground",1220,3,2,"","","Art/2DArt/UIImages/InGame/Lake/LakeRewardIconsSkip","",0,"",""
31,"LakeQuestMetaOption6","Mirrored Tablet can now Skip a Choice","La Tablette miroir peut désormais Ignorer un Choix","Die Gespiegelte Tafel kann jetzt eine Auswahl überspringen","鏡の石板は選択をスキップできるようになりました","이제 복제 서판에서 선택지를 넘길 수 있습니다.","Tábua Espelhada agora pode pular uma escolha","Зеркальная табличка теперь может пропускать вариант","La Placa reflejada ahora puede saltar una opción","แผ่นหินสะท้อน สามารถข้ามตัวเลือกหนึ่งได้แล้ว","鏡像碑牌現在可以略過選擇","Art/2DArt/UIImages/InGame/Lake/LakeRewardBackground",1221,3,2,"","","Art/2DArt/UIImages/InGame/Lake/LakeRewardIconsSkip","",0,"",""
32,"LakeQuestMetaOption7","Mirrored Tablet can now Exile a Reflection","La Tablette miroir peut désormais Bannir un Reflet","Die Gespiegelte Tafel kann jetzt eine Auswahl verbannen","鏡の石板は鏡像を追放できるようになりました","이제 복제 서판에서 투영을 추방할 수 있습니다.","Tábua Espelhada agora pode exilar um reflexo","Зеркальная табличка теперь может удалять отражение","La Placa reflejada ahora puede exiliar una opción","แผ่นหินสะท้อน สามารถทอดทิ้งภาพสะท้อนหนึ่งได้แล้ว","鏡像碑牌現在可以流放映像","Art/2DArt/UIImages/InGame/Lake/LakeRewardBackground",1222,3,2,"","","Art/2DArt/UIImages/InGame/Lake/LakeRewardIconsBanish","",0,"",""
33,"LakeQuestMetaOption8","Mirrored Tablet can now Exile a Reflection","La Tablette miroir peut désormais Bannir un Reflet","Die Gespiegelte Tafel kann jetzt eine Auswahl verbannen","鏡の石板は鏡像を追放できるようになりました","이제 복제 서판에서 투영을 추방할 수 있습니다.","Tábua Espelhada agora pode exilar um reflexo","Зеркальная табличка теперь может удалять отражение","La Placa reflejada ahora puede exiliar una opción","แผ่นหินสะท้อน สามารถทอดทิ้งภาพสะท้อนหนึ่งได้แล้ว","鏡像碑牌現在可以流放映像","Art/2DArt/UIImages/InGame/Lake/LakeRewardBackground",1223,3,2,"","","Art/2DArt/UIImages/InGame/Lake/LakeRewardIconsBanish","",0,"",""
34,"LakeQuestMetaOption9","Mirrored Tablet can now Exile a Reflection","La Tablette miroir peut désormais Bannir un Reflet","Die Gespiegelte Tafel kann jetzt eine Auswahl verbannen","鏡の石板は鏡像を追放できるようになりました","이제 복제 서판에서 투영을 추방할 수 있습니다.","Tábua Espelhada agora pode exilar um reflexo","Зеркальная табличка теперь может удалять отражение","La Placa reflejada ahora puede exiliar una opción","แผ่นหินสะท้อน สามารถทอดทิ้งภาพสะท้อนหนึ่งได้แล้ว","鏡像碑牌現在可以流放映像","Art/2DArt/UIImages/InGame/Lake/LakeRewardBackground",1274,3,2,"","","Art/2DArt/UIImages/InGame/Lake/LakeRewardIconsBanish","",0,"",""
35,"SanctumRelicSlotUnlock1","Relic Altar Slots Unlocked","Emplacements débloqués dans l'Autel des Reliques","Altar-Plätze für Relikte freigeschaltet","レリックの祭壇のスロットがアンロックされました","유물 제단 슬롯을 개방했습니다","Espaços de Altar de Relíquias Desbloqueados","Разблокированы ячейки алтаря реликвий","Espacios de reliquias del Altar desbloqueados","ปลดล็อก ช่องในแท่นวัตถุตกทอด แล้ว","解鎖聖物祭壇欄位","Art/2DArt/UIImages/InGame/Sanctum/SanctumRewardBackground",1013,3,2,"","","Art/2DArt/UIImages/InGame/Sanctum/SanctumRewardIconsRelicSlot","",0,"",456
36,"SanctumRelicSlotUnlock3","Relic Altar Slots Unlocked","Emplacements débloqués dans l'Autel des Reliques","Altar-Plätze für Relikte freigeschaltet","レリックの祭壇のスロットがアンロックされました","유물 제단 슬롯을 개방했습니다","Espaços de Altar de Relíquias Desbloqueados","Разблокированы ячейки алтаря реликвий","Espacios de reliquias del Altar desbloqueados","ปลดล็อก ช่องในแท่นวัตถุตกทอด แล้ว","解鎖聖物祭壇欄位","Art/2DArt/UIImages/InGame/Sanctum/SanctumRewardBackground",1015,3,2,"","","Art/2DArt/UIImages/InGame/Sanctum/SanctumRewardIconsRelicSlot","",0,"",456
37,"SanctumRelicSlotUnlock5","Relic Altar Slots Unlocked","Emplacements débloqués dans l'Autel des Reliques","Altar-Plätze für Relikte freigeschaltet","レリックの祭壇のスロットがアンロックされました","유물 제단 슬롯을 개방했습니다","Espaços de Altar de Relíquias Desbloqueados","Разблокированы ячейки алтаря реликвий","Espacios de reliquias del Altar desbloqueados","ปลดล็อก ช่องในแท่นวัตถุตกทอด แล้ว","解鎖聖物祭壇欄位","Art/2DArt/UIImages/InGame/Sanctum/SanctumRewardBackground",1017,3,2,"","","Art/2DArt/UIImages/InGame/Sanctum/SanctumRewardIconsRelicSlot","",0,"",456
38,"SanctumRelicSlotUnlock7","Relic Altar Slots Unlocked","Emplacements débloqués dans l'Autel des Reliques","Altar-Plätze für Relikte freigeschaltet","レリックの祭壇のスロットがアンロックされました","유물 제단 슬롯을 개방했습니다","Espaços de Altar de Relíquias Desbloqueados","Разблокированы ячейки алтаря реликвий","Espacios de reliquias del Altar desbloqueados","ปลดล็อก ช่องในแท่นวัตถุตกทอด แล้ว","解鎖聖物祭壇欄位","Art/2DArt/UIImages/InGame/Sanctum/SanctumRewardBackground",1020,3,2,"","","Art/2DArt/UIImages/InGame/Sanctum/SanctumRewardIconsRelicSlot","",0,"",456
39,"SanctumRelicSlotUnlock9","Relic Altar Slot Unlocked","Emplacement débloqué dans l'Autel des Reliques","Altar-Platz für Relikte freigeschaltet","レリックの祭壇のスロットがアンロックされました","유물 제단 슬롯을 개방했습니다","Espaço de Altar de Relíquias Desbloqueado","Разблокирована ячейка алтаря реликвий","Espacio de reliquia del Altar desbloqueado","ปลดล็อก ช่องในแท่นวัตถุตกทอด แล้ว","解鎖聖物祭壇欄位","Art/2DArt/UIImages/InGame/Sanctum/SanctumRewardBackground",1022,3,2,"","","Art/2DArt/UIImages/InGame/Sanctum/SanctumRewardIconsRelicSlot","",0,"",456
40,"SanctumRelicSlotUnlock10","Relic Altar Slot Unlocked","Emplacement débloqué dans l'Autel des Reliques","Altar-Platz für Relikte freigeschaltet","レリックの祭壇のスロットがアンロックされました","유물 제단 슬롯을 개방했습니다","Espaço de Altar de Relíquias Desbloqueado","Разблокирована ячейка алтаря реликвий","Espacio de reliquia del Altar desbloqueado","ปลดล็อก ช่องในแท่นวัตถุตกทอด แล้ว","解鎖聖物祭壇欄位","Art/2DArt/UIImages/InGame/Sanctum/SanctumRewardBackground",1023,3,2,"","","Art/2DArt/UIImages/InGame/Sanctum/SanctumRewardIconsRelicSlot","",0,"",456
41,"SanctumRelicSlotUnlock11","Relic Altar Slot Unlocked","Emplacement débloqué dans l'Autel des Reliques","Altar-Platz für Relikte freigeschaltet","レリックの祭壇のスロットがアンロックされました","유물 제단 슬롯을 개방했습니다","Espaço de Altar de Relíquias Desbloqueado","Разблокирована ячейка алтаря реликвий","Espacio de reliquia del Altar desbloqueado","ปลดล็อก ช่องในแท่นวัตถุตกทอด แล้ว","解鎖聖物祭壇欄位","Art/2DArt/UIImages/InGame/Sanctum/SanctumRewardBackground",1024,3,2,"","","Art/2DArt/UIImages/InGame/Sanctum/SanctumRewardIconsRelicSlot","",0,"",456
