"rownum","Id","Image","IsHC","IsSSF","Banner","IsRuthless","BannerArt","LogoArt"
16,"WarbandsFlag","Art/2DArt/UIImages/Common/LeagueWarbands","","","Art/2DArt/UIImages/Login/BannerWarbands","","",""
17,"TempestFlag","Art/2DArt/UIImages/Common/LeagueTempest",1,"","Art/2DArt/UIImages/Login/BannerTempest","","",""
18,"TalismanStandard","Art/2DArt/UIImages/Common/LeagueTalisman","","","Art/2DArt/UIImages/Login/BannerTalisman","","",""
19,"TalismanHardcore","Art/2DArt/UIImages/Common/LeagueTalismanHC",1,"","Art/2DArt/UIImages/Login/BannerHardcoreTalisman","","",""
20,"PerandusStandard","Art/2DArt/UIImages/Common/LeaguePerandus","","","Art/2DArt/UIImages/Login/BannerPerandus","","",""
21,"PerandusHardcore","Art/2DArt/UIImages/Common/LeaguePerandusHC",1,"","Art/2DArt/UIImages/Login/BannerHardcorePerandus","","",""
22,"ProphecyStandard","Art/2DArt/UIImages/Common/LeagueProphecy","","","Art/2DArt/UIImages/Login/BannerProphecy","","",""
23,"ProphecyHardcore","Art/2DArt/UIImages/Common/LeagueProphecyHC",1,"","Art/2DArt/UIImages/Login/BannerHardcoreProphecy","","",""
24,"EventCutthroatShort","Art/2DArt/UIImages/Common/LeagueEventCutthroatShort","","","","","",""
25,"EventCutthroatLong","Art/2DArt/UIImages/Common/LeagueEventCutthroatLong","","","","","",""
26,"EssenceStandard","Art/2DArt/UIImages/Common/LeagueEssence","","","Art/2DArt/UIImages/Login/BannerEssence","","",""
27,"EssenceHardcore","Art/2DArt/UIImages/Common/LeagueEssenceHC",1,"","Art/2DArt/UIImages/Login/BannerHardcoreEssence","","",""
28,"BreachStandard","Art/2DArt/UIImages/Common/LeagueBreach","","","Art/2DArt/UIImages/Login/BannerBreach","","",""
29,"BreachHardcore","Art/2DArt/UIImages/Common/LeagueBreachHC",1,"","Art/2DArt/UIImages/Login/BannerHardcoreBreach","","",""
30,"ClassicStandard","Art/2DArt/UIImages/Common/LeagueClassic","","","Art/2DArt/UIImages/Login/BannerLegacy","","",""
31,"ClassicHardcore","Art/2DArt/UIImages/Common/LeagueClassicHC",1,"","Art/2DArt/UIImages/Login/BannerHardcoreLegacy","","",""
32,"ClassicStandardSSF","Art/2DArt/UIImages/Common/LeagueClassicSSF","",1,"","","",""
33,"ClassicHardcoreSSF","Art/2DArt/UIImages/Common/LeagueClassicHCSSF",1,1,"","","",""
34,"StandardSSF","Art/2DArt/UIImages/Common/LeagueStandardSSF","",1,"Art/2DArt/UIImages/Login/BannerStandardSSF","","Art/Textures/Interface/2D/2DArt/UIImages/InGame/CharacterCreation/LeagueBannerIconStandard.dds",""
35,"HardcoreSSF","Art/2DArt/UIImages/Common/LeagueHardcoreSSF",1,1,"Art/2DArt/UIImages/Login/BannerHardcoreSSF","","Art/Textures/Interface/2D/2DArt/UIImages/InGame/CharacterCreation/LeagueBannerIconStandard.dds",""
36,"HarbingerStandard","Art/2DArt/UIImages/Common/LeagueHarbinger","","","Art/2DArt/UIImages/Login/BannerHarbinger","","",""
37,"HarbingerHardcore","Art/2DArt/UIImages/Common/LeagueHarbingerHC",1,"","Art/2DArt/UIImages/Login/BannerHardcoreHarbinger","","",""
38,"HarbingerStandardSSF","Art/2DArt/UIImages/Common/LeagueHarbingerSSF","",1,"","","",""
39,"HarbingerHardcoreSSF","Art/2DArt/UIImages/Common/LeagueHarbingerHCSSF",1,1,"","","",""
40,"AbyssStandard","Art/2DArt/UIImages/Common/LeagueAbyss","","","Art/2DArt/UIImages/Login/BannerAbyss","","",""
41,"AbyssHardcore","Art/2DArt/UIImages/Common/LeagueAbyssHC",1,"","Art/2DArt/UIImages/Login/BannerHardcoreAbyss","","",""
42,"AbyssStandardSSF","Art/2DArt/UIImages/Common/LeagueAbyssSSF","",1,"","","",""
43,"AbyssHardcoreSSF","Art/2DArt/UIImages/Common/LeagueAbyssHCSSF",1,1,"","","",""
44,"BestiaryStandard","Art/2DArt/UIImages/Common/LeagueBeastiary","","","Art/2DArt/UIImages/Login/BannerBestiary","","",""
45,"BestiaryHardcore","Art/2DArt/UIImages/Common/LeagueBeastiaryHC",1,"","Art/2DArt/UIImages/Login/BannerHardcoreBestiary","","",""
46,"BestiaryStandardSSF","Art/2DArt/UIImages/Common/LeagueBeastiarySSF","",1,"","","",""
47,"BestiaryHardcoreSSF","Art/2DArt/UIImages/Common/LeagueBeastiaryHCSSF",1,1,"","","",""
48,"IncursionStandard","Art/2DArt/UIImages/Common/LeagueIncursion","","","Art/2DArt/UIImages/Login/BannerIncursion","","",""
49,"IncursionHardcore","Art/2DArt/UIImages/Common/LeagueIncursionHC",1,"","Art/2DArt/UIImages/Login/BannerHardcoreIncursion","","",""
50,"IncursionStandardSSF","Art/2DArt/UIImages/Common/LeagueIncursionSSF","",1,"","","",""
51,"IncursionHardcoreSSF","Art/2DArt/UIImages/Common/LeagueIncursionHCSSF",1,1,"","","",""
52,"DelveStandard","Art/2DArt/UIImages/Common/LeagueDelve","","","Art/2DArt/UIImages/Login/BannerDelve","","",""
53,"DelveHardcore","Art/2DArt/UIImages/Common/LeagueDelveHC",1,"","Art/2DArt/UIImages/Login/BannerHardcoreDelve","","",""
54,"DelveStandardSSF","Art/2DArt/UIImages/Common/LeagueDelveSSF","",1,"","","",""
55,"DelveHardcoreSSF","Art/2DArt/UIImages/Common/LeagueDelveHCSSF",1,1,"","","",""
56,"BetrayalStandard","Art/2DArt/UIImages/Common/LeagueBetrayal","","","Art/2DArt/UIImages/Login/BannerBetrayal","","",""
57,"BetrayalHardcore","Art/2DArt/UIImages/Common/LeagueBetrayalHC",1,"","Art/2DArt/UIImages/Login/BannerHardcoreBetrayal","","",""
58,"BetrayalStandardSSF","Art/2DArt/UIImages/Common/LeagueBetrayalSSF","",1,"","","",""
59,"BetrayalHardcoreSSF","Art/2DArt/UIImages/Common/LeagueBetrayalHCSSF",1,1,"","","",""
60,"SynthesisStandard","Art/2DArt/UIImages/Common/LeagueSynthesis","","","Art/2DArt/UIImages/Login/BannerSynthesis","","",""
61,"SynthesisHardcore","Art/2DArt/UIImages/Common/LeagueSynthesisHC",1,"","Art/2DArt/UIImages/Login/BannerHardcoreSynthesis","","",""
62,"SynthesisStandardSSF","Art/2DArt/UIImages/Common/LeagueSynthesisSSF","",1,"","","",""
63,"SynthesisHardcoreSSF","Art/2DArt/UIImages/Common/LeagueSynthesisHCSSF",1,1,"","","",""
64,"PoEMStandard","Art/2DArt/UIImages/Common/LeaguePoEM","","","","","",""
65,"PoEMCombaDemo","Art/2DArt/UIImages/Common/LeaguePoEM_Combat","","","","","",""
66,"LegionStandard","Art/2DArt/UIImages/Common/LeagueLegion","","","Art/2DArt/UIImages/Login/BannerLegion","","",""
67,"LegionHardcore","Art/2DArt/UIImages/Common/LeagueLegionHC",1,"","Art/2DArt/UIImages/Login/BannerHardcoreLegion","","",""
68,"LegionStandardSSF","Art/2DArt/UIImages/Common/LeagueLegionSSF","",1,"Art/2DArt/UIImages/Login/LeagueLegionSSF","","",""
69,"LegionHardcoreSSF","Art/2DArt/UIImages/Common/LeagueLegionHCSSF",1,1,"Art/2DArt/UIImages/Login/LeagueLegionHCSSF","","",""
70,"BlightStandard","Art/2DArt/UIImages/Common/LeagueBlight","","","Art/2DArt/UIImages/Login/BannerBlight","","",""
71,"BlightHardcore","Art/2DArt/UIImages/Common/LeagueBlightHC",1,"","Art/2DArt/UIImages/Login/BannerHardcoreBlight","","",""
72,"BlightStandardSSF","Art/2DArt/UIImages/Common/LeagueBlightSSF","",1,"Art/2DArt/UIImages/Login/LeagueBlightSSF","","",""
73,"BlightHardcoreSSF","Art/2DArt/UIImages/Common/LeagueBlightHCSSF",1,1,"Art/2DArt/UIImages/Login/LeagueBlightHCSSF","","",""
74,"MetamorphosisStandard","Art/2DArt/UIImages/Common/LeagueMetamorph","","","Art/2DArt/UIImages/Login/BannerMetamorph","","",""
75,"MetamorphosisHardcore","Art/2DArt/UIImages/Common/LeagueMetamorphHC",1,"","Art/2DArt/UIImages/Login/BannerHardcoreMetamorph","","",""
76,"MetamorphosisStandardSSF","Art/2DArt/UIImages/Common/LeagueMetamorphSSF","",1,"Art/2DArt/UIImages/Login/LeagueMetamorphSSF","","",""
77,"MetamorphosisHardcoreSSF","Art/2DArt/UIImages/Common/LeagueMetamorphHCSSF",1,1,"Art/2DArt/UIImages/Login/LeagueMetamorphHCSSF","","",""
78,"DeliriumStandard","Art/2DArt/UIImages/Common/LeagueDelirium","","","Art/2DArt/UIImages/Login/BannerDelirium","","",""
79,"DeliriumHardcore","Art/2DArt/UIImages/Common/LeagueDeliriumHC",1,"","Art/2DArt/UIImages/Login/BannerHardcoreDelirium","","",""
80,"DeliriumStandardSSF","Art/2DArt/UIImages/Common/LeagueDeliriumSSF","",1,"Art/2DArt/UIImages/Login/LeagueDeliriumSSF","","",""
81,"DeliriumHardcoreSSF","Art/2DArt/UIImages/Common/LeagueDeliriumHCSSF",1,1,"Art/2DArt/UIImages/Login/LeagueDeliriumHCSSF","","",""
82,"HarvestStandard","Art/2DArt/UIImages/Common/LeagueHarvest","","","Art/2DArt/UIImages/Login/BannerHarvest","","",""
83,"HarvestHardcore","Art/2DArt/UIImages/Common/LeagueHarvestHC",1,"","Art/2DArt/UIImages/Login/BannerHardcoreHarvest","","",""
84,"HarvestStandardSSF","Art/2DArt/UIImages/Common/LeagueHarvestSSF","",1,"Art/2DArt/UIImages/Login/LeagueHarvestSSF","","",""
85,"HarvestHardcoreSSF","Art/2DArt/UIImages/Common/LeagueHarvestHCSSF",1,1,"Art/2DArt/UIImages/Login/LeagueHarvestHCSSF","","",""
86,"HeistStandard","Art/2DArt/UIImages/Common/LeagueHeist","","","Art/2DArt/UIImages/Login/BannerHeist","","",""
87,"HeistHardcore","Art/2DArt/UIImages/Common/LeagueHeistHC",1,"","Art/2DArt/UIImages/Login/BannerHardcoreHeist","","",""
88,"HeistStandardSSF","Art/2DArt/UIImages/Common/LeagueHeistSSF","",1,"Art/2DArt/UIImages/Login/LeagueHeistSSF","","",""
89,"HeistHardcoreSSF","Art/2DArt/UIImages/Common/LeagueHeistHCSSF",1,1,"Art/2DArt/UIImages/Login/LeagueHeistHCSSF","","",""
90,"RitualStandard","Art/2DArt/UIImages/Common/LeagueRitual","","","Art/2DArt/UIImages/Login/BannerRitual","","",""
91,"RitualHardcore","Art/2DArt/UIImages/Common/LeagueRitualHC",1,"","Art/2DArt/UIImages/Login/BannerHardcoreRitual","","",""
92,"RitualStandardSSF","Art/2DArt/UIImages/Common/LeagueRitualSSF","",1,"Art/2DArt/UIImages/Login/LeagueRitualSSF","","",""
93,"RitualHardcoreSSF","Art/2DArt/UIImages/Common/LeagueRitualHCSSF",1,1,"Art/2DArt/UIImages/Login/LeagueRitualHCSSF","","",""
94,"UltimatumStandard","Art/2DArt/UIImages/Common/LeagueUltimatum","","","Art/2DArt/UIImages/Login/BannerUltimatum","","",""
95,"UltimatumHardcore","Art/2DArt/UIImages/Common/LeagueUltimatumHC",1,"","Art/2DArt/UIImages/Login/BannerHardcoreUltimatum","","",""
96,"UltimatumStandardSSF","Art/2DArt/UIImages/Common/LeagueUltimatumSSF","",1,"Art/2DArt/UIImages/Login/LeagueUltimatumSSF","","",""
97,"UltimatumHardcoreSSF","Art/2DArt/UIImages/Common/LeagueUltimatumHCSSF",1,1,"Art/2DArt/UIImages/Login/LeagueUltimatumHCSSF","","",""
98,"ExpeditionStandard","Art/2DArt/UIImages/Common/LeagueExpedition","","","Art/2DArt/UIImages/Login/BannerExpedition","","",""
99,"ExpeditionHardcore","Art/2DArt/UIImages/Common/LeagueExpeditionHC",1,"","Art/2DArt/UIImages/Login/BannerHardcoreExpedition","","",""
100,"ExpeditionStandardSSF","Art/2DArt/UIImages/Common/LeagueExpeditionSSF","",1,"Art/2DArt/UIImages/Login/LeagueExpeditionSSF","","",""
101,"ExpeditionHardcoreSSF","Art/2DArt/UIImages/Common/LeagueExpeditionHCSSF",1,1,"Art/2DArt/UIImages/Login/LeagueExpeditionHCSSF","","",""
102,"HellscapeStandard","Art/2DArt/UIImages/Common/LeagueScourge","","","Art/2DArt/UIImages/Login/BannerHellscape","","",""
103,"HellscapeHardcore","Art/2DArt/UIImages/Common/LeagueScourgeHC",1,"","Art/2DArt/UIImages/Login/BannerHardcoreHellscape","","",""
104,"HellscapeStandardSSF","Art/2DArt/UIImages/Common/LeagueScourgeSSF","",1,"Art/2DArt/UIImages/Login/LeagueHellscapeSSF","","",""
105,"HellscapeHardcoreSSF","Art/2DArt/UIImages/Common/LeagueScourgeHCSSF",1,1,"Art/2DArt/UIImages/Login/LeagueHellscapeHCSSF","","",""
106,"ArchnemesisStandard","Art/2DArt/UIImages/Common/LeagueArchnemesis","","","Art/2DArt/UIImages/Login/BannerArchnemesis","","",""
107,"ArchnemesisHardcore","Art/2DArt/UIImages/Common/LeagueArchnemesisHC",1,"","Art/2DArt/UIImages/Login/BannerHardcoreArchnemesis","","",""
108,"ArchnemesisStandardSSF","Art/2DArt/UIImages/Common/LeagueArchnemesisSSF","",1,"Art/2DArt/UIImages/Login/LeagueArchnemesisSSF","","",""
109,"ArchnemesisHardcoreSSF","Art/2DArt/UIImages/Common/LeagueArchnemesisHCSSF",1,1,"Art/2DArt/UIImages/Login/LeagueArchnemesisHCSSF","","",""
110,"SentinelStandard","Art/2DArt/UIImages/Common/LeagueSentinel","","","Art/2DArt/UIImages/Login/BannerSentinel","","",""
111,"SentinelHardcore","Art/2DArt/UIImages/Common/LeagueSentinelHC",1,"","Art/2DArt/UIImages/Login/BannerHardcoreSentinel","","",""
112,"SentinelStandardSSF","Art/2DArt/UIImages/Common/LeagueSentinelSSF","",1,"Art/2DArt/UIImages/Login/LeagueSentinelSSF","","",""
113,"SentinelHardcoreSSF","Art/2DArt/UIImages/Common/LeagueSentinelHCSSF",1,1,"Art/2DArt/UIImages/Login/LeagueSentinelHCSSF","","",""
114,"LakeStandard","Art/2DArt/UIImages/Common/LeagueLake","","","Art/2DArt/UIImages/Login/BannerLake","","",""
115,"LakeHardcore","Art/2DArt/UIImages/Common/LeagueLakeHC",1,"","Art/2DArt/UIImages/Login/BannerHardcoreLake","","",""
116,"LakeStandardSSF","Art/2DArt/UIImages/Common/LeagueLakeSSF","",1,"Art/2DArt/UIImages/Login/LeagueLakeSSF","","",""
117,"LakeHardcoreSSF","Art/2DArt/UIImages/Common/LeagueLakeHCSSF",1,1,"Art/2DArt/UIImages/Login/LeagueLakeHCSSF","","",""
118,"SanctumStandard","Art/2DArt/UIImages/Common/LeagueSanctum","","","Art/2DArt/UIImages/Login/BannerSanctum","","",""
119,"SanctumHardcore","Art/2DArt/UIImages/Common/LeagueSanctumHC",1,"","Art/2DArt/UIImages/Login/BannerHardcoreSanctum","","",""
120,"SanctumStandardSSF","Art/2DArt/UIImages/Common/LeagueSanctumSSF","",1,"Art/2DArt/UIImages/Login/LeagueSanctumSSF","","",""
121,"SanctumHardcoreSSF","Art/2DArt/UIImages/Common/LeagueSanctumHCSSF",1,1,"Art/2DArt/UIImages/Login/LeagueSanctumHCSSF","","",""
122,"Hardmode","Art/2DArt/UIImages/Common/LeagueStandardHardmode","","","Art/2DArt/UIImages/Login/BannerStandardHardmode",1,"",""
123,"HardmodeSSF","Art/2DArt/UIImages/Common/LeagueStandardHardmodeSSF","",1,"Art/2DArt/UIImages/Login/BannerStandardHardmodeSSF",1,"",""
124,"HardmodeHardcore","Art/2DArt/UIImages/Common/LeagueHardmodeHC",1,"","Art/2DArt/UIImages/Login/BannerHardcoreHardmode",1,"",""
125,"HardmodeHardcoreSSF","Art/2DArt/UIImages/Common/LeagueStandardHardmodeHCSSF",1,1,"Art/2DArt/UIImages/Login/BannerHardcoreHardmodeHCSSF",1,"",""
126,"SanctumHardmodeStandard","Art/2DArt/UIImages/Common/LeagueStandardHardmodeSanctum","","","Art/2DArt/UIImages/Login/BannerStandardHardmodeSanctum",1,"",""
127,"SanctumHardmodeHardcore","Art/2DArt/UIImages/Common/LeagueHardmodeSanctumHC",1,"","Art/2DArt/UIImages/Login/BannerHardcoreHardmodeSanctum",1,"",""
128,"SanctumHardmodeStandardSSF","Art/2DArt/UIImages/Common/LeagueStandardHardmodeSanctumSSF","",1,"Art/2DArt/UIImages/Login/BannerStandardHardmodeSanctumSSF",1,"",""
129,"SanctumHardmodeHardcoreSSF","Art/2DArt/UIImages/Common/LeagueStandardHardmodeSanctumHCSSF",1,1,"Art/2DArt/UIImages/Login/BannerHardcoreHardmodeSanctumHCSSF",1,"",""
130,"CrucibleStandard","Art/2DArt/UIImages/Common/LeagueCrucible","","","Art/2DArt/UIImages/Login/BannerCrucible","","",""
131,"CrucibleHardcore","Art/2DArt/UIImages/Common/LeagueCrucibleHC",1,"","Art/2DArt/UIImages/Login/BannerHardcoreCrucible","","",""
132,"CrucibleStandardSSF","Art/2DArt/UIImages/Common/LeagueCrucibleSSF","",1,"Art/2DArt/UIImages/Login/LeagueCrucibleSSF","","",""
133,"CrucibleHardcoreSSF","Art/2DArt/UIImages/Common/LeagueCrucibleHCSSF",1,1,"Art/2DArt/UIImages/Login/LeagueCrucibleHCSSF","","",""
134,"CrucibleHardmodeStandard","Art/2DArt/UIImages/Common/LeagueStandardHardmodeCrucible","","","Art/2DArt/UIImages/Login/BannerStandardHardmodeCrucible",1,"",""
135,"CrucibleHardmodeHardcore","Art/2DArt/UIImages/Common/LeagueHardmodeCrucibleHC",1,"","Art/2DArt/UIImages/Login/BannerHardcoreHardmodeCrucible",1,"",""
136,"CrucibleHardmodeStandardSSF","Art/2DArt/UIImages/Common/LeagueStandardHardmodeCrucibleSSF","",1,"Art/2DArt/UIImages/Login/BannerStandardHardmodeCrucibleSSF",1,"",""
137,"CrucibleHardmodeHardcoreSSF","Art/2DArt/UIImages/Common/LeagueStandardHardmodeCrucibleHCSSF",1,1,"Art/2DArt/UIImages/Login/BannerHardcoreHardmodeCrucibleHCSSF",1,"",""
138,"DawnOfTheHuntStandard","","","","","","Art/Textures/Interface/2D/2DArt/UIImages/InGame/CharacterCreation/LeagueBannerIconDawnoftheHunt.dds","Art/2DArt/Logos/POELeagueLogoDawnoftheHunt.dds"
139,"DawnOfTheHuntHardcore","",1,"","","","Art/Textures/Interface/2D/2DArt/UIImages/InGame/CharacterCreation/LeagueBannerIconDawnoftheHunt.dds","Art/2DArt/Logos/POELeagueLogoDawnoftheHunt.dds"
140,"DawnOfTheHuntStandardSSF","","",1,"","","Art/Textures/Interface/2D/2DArt/UIImages/InGame/CharacterCreation/LeagueBannerIconDawnoftheHunt.dds","Art/2DArt/Logos/POELeagueLogoDawnoftheHunt.dds"
141,"DawnOfTheHuntHardcoreSSF","",1,1,"","","Art/Textures/Interface/2D/2DArt/UIImages/InGame/CharacterCreation/LeagueBannerIconDawnoftheHunt.dds","Art/2DArt/Logos/POELeagueLogoDawnoftheHunt.dds"
142,"RiseOfTheAbyssalStandard","","","","","","Art/Textures/Interface/2D/2DArt/UIImages/InGame/CharacterCreation/LeagueBannerIconAbyss.dds","Art/2DArt/Logos/POELeagueLogoRiseoftheAbyssal.dds"
143,"RiseOfTheAbyssalHardcore","",1,"","","","Art/Textures/Interface/2D/2DArt/UIImages/InGame/CharacterCreation/LeagueBannerIconAbyss.dds","Art/2DArt/Logos/POELeagueLogoRiseoftheAbyssal.dds"
144,"RiseOfTheAbyssalStandardSSF","","",1,"","","Art/Textures/Interface/2D/2DArt/UIImages/InGame/CharacterCreation/LeagueBannerIconAbyss.dds","Art/2DArt/Logos/POELeagueLogoRiseoftheAbyssal.dds"
145,"RiseOfTheAbyssalHardcoreSSF","",1,1,"","","Art/Textures/Interface/2D/2DArt/UIImages/InGame/CharacterCreation/LeagueBannerIconAbyss.dds","Art/2DArt/Logos/POELeagueLogoRiseoftheAbyssal.dds"
146,"IncursionTwoStandard","","","","","","Art/Textures/Interface/2D/2DArt/UIImages/InGame/CharacterCreation/LeagueBannerIconVaal.dds","Art/2DArt/Logos/POELeagueLogoFateoftheVaal.dds"
147,"IncursionTwoHardcore","",1,"","","","Art/Textures/Interface/2D/2DArt/UIImages/InGame/CharacterCreation/LeagueBannerIconVaal.dds","Art/2DArt/Logos/POELeagueLogoFateoftheVaal.dds"
148,"IncursionTwoStandardSSF","","",1,"","","Art/Textures/Interface/2D/2DArt/UIImages/InGame/CharacterCreation/LeagueBannerIconVaal.dds","Art/2DArt/Logos/POELeagueLogoFateoftheVaal.dds"
149,"IncursionTwoHardcoreSSF","",1,1,"","","Art/Textures/Interface/2D/2DArt/UIImages/InGame/CharacterCreation/LeagueBannerIconVaal.dds","Art/2DArt/Logos/POELeagueLogoFateoftheVaal.dds"
150,"Expedition2Standard","","","","","","Art/Textures/Interface/2D/2DArt/UIImages/InGame/CharacterCreation/LeagueBannerIconRunesofAlduur.dds","Art/2DArt/Logos/POELeagueLogoRunesofAldur.dds"
151,"Expedition2Hardcore","",1,"","","","Art/Textures/Interface/2D/2DArt/UIImages/InGame/CharacterCreation/LeagueBannerIconRunesofAlduur.dds","Art/2DArt/Logos/POELeagueLogoRunesofAldur.dds"
152,"Expedition2StandardSSF","","",1,"","","Art/Textures/Interface/2D/2DArt/UIImages/InGame/CharacterCreation/LeagueBannerIconRunesofAlduur.dds","Art/2DArt/Logos/POELeagueLogoRunesofAldur.dds"
153,"Expedition2HardcoreSSF","",1,1,"","","Art/Textures/Interface/2D/2DArt/UIImages/InGame/CharacterCreation/LeagueBannerIconRunesofAlduur.dds","Art/2DArt/Logos/POELeagueLogoRunesofAldur.dds"
