"rownum","string_0","string_8","string_16","string_16 (French)","string_16 (German)","string_16 (Japanese)","string_16 (Korean)","string_16 (Portuguese)","string_16 (Russian)","string_16 (Spanish)","string_16 (Thai)","string_16 (Traditional Chinese)","string_24","string_24 (French)","string_24 (German)","string_24 (Japanese)","string_24 (Korean)","string_24 (Portuguese)","string_24 (Russian)","string_24 (Spanish)","string_24 (Thai)","string_24 (Traditional Chinese)","bool_32"
10,"MountMinion","Art/2DArt/SkillIcons/GamepadActions/MountRhoa.dds","Use to start riding a nearby mountable Minion.","Permet de commencer à chevaucher une Créature montable.","Benutze zum Aufsatteln auf ein Reittier.","付近の騎乗可能なミニオンに騎乗する。","사용하면 주변의 탈 수 있는 소환수를 타기 시작합니다.","Use para começar a montar em um Lacaio próximo que seja montável.","Используйте, чтобы оседлать ближайшего подходящего приспешника.","Úsalo para montar a un esbirro cercano que se pueda montar.","ใช้เพื่อเริ่มขี่มิเนียนที่ขี่ได้ที่อยู่ใกล้","使用以開始騎乘附近的可騎乘召喚物。","Mount Minion","Chevaucher la Créature","Aufsatteln","ミニオンに騎乗","소환수 올라타기","Montar no Lacaio","Оседлать приспешника","Montar esbirro","ขี่มิเนียน","騎乘召喚物",""
11,"Interact","Art/2DArt/SkillIcons/GamepadActions/Take.dds","Allows contextual interaction within the environment.\r\n<yellow>{- Can be bound on the same Bind Slot as other Skills\r\n- Can only be associated to one Bind Slot at a time}","Permet une interaction contextuelle dans l'environnement.\r\n<yellow>{- Peut être affecté au même raccourci que d'autres Aptitudes\r\n- Ne peut être affecté qu'à un seul raccourci à la fois}","\r\nErmöglicht kontextbezogene Interaktion innerhalb der Welt.\r\n<yellow>{- Kann denselben Plätzen wie andere Fertigkeiten zugewiesen werden.\r\n- Kann immer nur einem Platz zugewiesen sein.}","環境内で状況に応じたインタラクトを行う。\r\n<yellow>{- 他のスキルと同じ割り当てスロットに割り当て可能\r\n- 一度に1つの割り当てスロットのみに関連付け可能}","주위 환경 내에서 상황에 맞는 상호작용을 합니다.\r\n<yellow>{- 다른 스킬과 같은 지정 슬롯에 지정할 수 있습니다.\r\n- 한 번에 하나의 지정 슬롯에만 지정할 수 있습니다.}","Permite interação contextual dentro do ambiente.\r\n<yellow>{- Pode ser vinculado no mesmo Espaço de Vinculação que outras Habilidades\r\n- Só pode ser associado a um Slot de Vinculação por vez}","Контекстуальное взаимодействие с окружением.\r\n<yellow>{- Можно назначить на ту же ячейку, что и другие умения\r\n- Можно назначить только на одну ячейку одновременно}","Permite la interacción contextual con el entorno.\r\n<yellow>{- Se puede vincular al mismo espacio de vinculación que otras habilidades.\r\n- Solo se puede asociar a un espacio de vinculación a la vez.}","เปิดโอกาสให้ใช้งานตามบริบทภายในสภาพแวดล้อม\r\n<yellow>{- ตั้งปุ่มนี้ซ้ำกับช่องตั้งปุ่มของสกิลอื่นๆ ได้\r\n- สามารถตั้งให้กับช่องตั้งปุ่มได้ทีละปุ่มเท่านั้น}","可在環境中進行情境互動。\r\n<yellow>{可以和其它技能綁定在相同的綁定欄位\r\n- 一次僅能綁定在一個欄位上。}","Interact","Interagir","Interagieren","インタラクト","상호작용","Interagir","Взаимодействовать","Interactuar","ใช้งาน","點擊",""
12,"WeaponSwap","Art/2DArt/SkillIcons/GamepadActions/WeaponSwap.dds","Swap between Weapon Sets which have Weapons equipped.","Alterne entre les Ensembles d'armes qui possèdent des armes équipées.","Wechselt zwischen den Waffensets, die mit Waffen ausgerüstet sind.","武器が装備された武器セットを交換する。","무기가 장착되어 있는 무기 세트로 순서대로 변경합니다.","Alterna entre Conjuntos de Armas que têm Armas equipadas.","Переключение между наборами, в которых есть оружие.","Alterna entre los sets de armas que tengan armas equipadas.","สลับระหว่างชุดอาวุธต่างๆ ที่มีการสวมใส่อาวุธเอาไว้","在裝備了武器的武器套裝之間切換。","Toggle Weapon Set","Basculer l'Ensemble d'armes","Waffenset wechseln","武器セット切替","무기 세트 전환","Alternar Conjunto de Armas","Переключить набор оружия","Cambiar de set de armas","สลับชุดอาวุธ","切換武器組合",""
13,"ToggleButtonBindSet","Art/2DArt/SkillIcons/GamepadActions/IconSwapPanel.dds","Press-hold to use Skills in your Secondary Skill Set.\r\n<yellow>{- This action will take up Bind Slots in both Skill Sets}","Appuyez-maintenez pour utiliser les Aptitudes de votre Ensemble secondaire d'Aptitudes.\r\n<yellow>{- Cette action occupera des raccourcis dans les deux Ensemble d'aptitudes}","\r\nHalte diese Taste gedrückt, um zur sekundären Tastenzuweisung zu wechseln\r\n<yellow>{- Diese Aktion belegt die Tastenzuweisung in beiden Zuweisungen.}","押し続けて第二スキルセットのスキルを使用する。\r\n<yellow>{- このアクションは、両方のボタン割り当てセットの\r\n割り当てスロットを使用する。}","길게 누르면 부가 스킬 세트의 스킬을 사용합니다.\r\n<yellow>{이 행동은 두 스킬 세트 모두의 지정 슬롯을 차지합니다.}","Pressione e segure para usar Habilidades em seu Conjunto Secundário de Habilidades.\r\n<yellow>{- Esta ação ocupará Espaços de Vinculação em ambos os Conjuntos de Habilidades}","Нажмите и удерживайте, чтобы использовать умения во втором наборе.\r\n<yellow>{- Это действие займёт ячейки привязки в обоих наборах умений.}","Mantenlo presionado para usar las habilidades de tu set de habilidades secundario.\r\n<yellow>{- Esta acción ocupará los espacios de vinculación de los dos sets de habilidades.}","กดเพื่อใช้สกิลในชุดสกิลรองของคุณ\r\n<yellow>{การกระทำนี้จะใช้ช่องทั้งปุ่มในชุดตั้งปุ่มทั้งคู่}","按下以切換使用次要按鈕設定。\r\n<yellow>{此操作會同時用到兩個按鈕綁定設定的綁定欄位。}","Activate Secondary Skill Set","Activer l'Ensemble d'Aptitudes secondaire","Sekundäre Tastenzuweisung aktivieren","第二スキルセットに切替","부가 스킬 세트 활성화","Ativar Conjunto Secundário de Habilidades","Включить второй набор умений","Activar set de habilidades secundario","เปิดชุดสกิลรอง","啟動次要技能組",""
14,"DirectMinions","Art/2DArt/SkillIcons/MinionFocusFire.dds","Moves your minions, or signal to your minions\r\nwhich enemy they should target.","Déplace vos Créatures, ou indique à vos Créatures\r\nquel ennemi elles doivent cibler","\r\nBewegt deine Kreaturen oder signalisiert, welches Ziel deine Kreaturen ins Ziel nehmen sollen.","ミニオンを移動またはミニオンが\r\n攻撃すべき敵を合図する。","소환수에게 지시를 하여 이동시키거나, 소환수가\r\n대상으로 지정해야 하는 대상을 신호합니다.","Move seus lacaios, ou sinalize para seus lacaios\r\nqual inimigo eles devem atacar.","Передвинуть приспешников или указать им,\r\nкакую цель следует выбрать.","Mueve a tus esbirros o indícales\r\na qué objetivo deberían atacar.","เคลื่อนที่มิเนียนของคุณ หรือสั่งให้มิเนียนเลือกเป้าหมายที่ควรโจมตี","移動你的召喚物，或指示你的\r\n召喚物該攻擊哪個目標。","Direct Minions","Diriger les Créatures","Kreaturen befehligen","ミニオンを操作","소환수 지시","Direcionar Lacaios","Направить приспешников","Dirigir a los esbirros","กำกับมิเนียน","直接召喚物",""
15,"OpenChat","Art/2DArt/SkillIcons/GamepadActions/Talk.dds","Use to interact with your Chat.","Utilisez pour interagir avec le Tchat.","\r\nErmöglicht die Interaktion mit dem Chat.","使用してチャットにインタラクトする。","채팅과 상호작용할 때 사용합니다.","Use para interagir com seu Chat.","Используйте для взаимодействия с чатом.","Se usa para interactuar con el chat.","ใช้เพื่อทำการแชท","使用以和你的聊天互動。","Open Chat","Ouvrir le Tchat","Chat öffnen","チャットを開く","채팅 열기","Abrir Chat","Открыть чат","Abrir chat","เปิดแชท","開放聊天",""
16,"ToggleTargetingMode","Art/2DArt/SkillIcons/GamepadActions/ActionTarget.dds","Toggles between Dynamic and Focus Fire modes.\r\n\r\nDynamic (default)\r\n- Target selection is based your current targeting mode\r\n\r\nFocus Fire\r\n- Target enemy must be manually changed using {0}","Alterne entre les modes Dynamique et Précis.\r\n\r\nDynamique (par défaut)\r\n- La sélection de la cible se fera en fonction de votre mode de ciblage\r\n\r\nPrécis\r\n- La cible ennemie doit être changée manuellement en utilisant {0}","Wechsel zwischen den Modi Dynamisch und Fokusfeuer.\r\n\r\nDynamisch (Standard)\r\n- Der anvisierte Gegner basiert auf Eurem Zielmodus\r\n\r\nFokussierter Fokusfeuer\r\n- Gegner muss manuell mit {0} als Ziel gewählt werden","ダイナミックまたは集中砲火モードを切り替えます。\r\n\r\nダイナミック（デフォルト）\r\n- 対象の選択は現在のターゲッティングモードに基づいて行われます\r\n\r\n集中砲火\r\n- 対象となる敵は、{0}を使用して手動で変更する必要があります","동적 모드와 집중 사격 모드를 전환합니다.\r\n\r\n동적 (기본값)\r\n- 현재 대상 지정 모드에 따라 대상이 선택됩니다.\r\n\r\n집중 사격\r\n- 대상 적을 {0}을(를) 사용해 수동으로 변경해야 합니다.","Alterna entre os modos de Fogo Dinâmico e Foco de Fogo.\r\n\r\nDinâmico (padrão)\r\n- A seleção do alvo é baseada no seu modo de mira atual\r\n\r\nFoco de Fogo\r\n- O inimigo alvo deve ser alterado manualmente usando {0}","Переключение между режимами прицеливания.\r\n\r\nДинамический (по умолчанию)\r\n- Целевой противник будет непрерывно выбираться автоматически\r\n- Выбор основывается на расстоянии и направлении взгляда вашего персонажа\r\n\r\nКонцентрированный огонь\r\n- Целевого противника необходимо менять вручную с помощью {0}","Cambia entre los modos Dinámico y Fuego concentrado.\r\n\r\nDinámico (por defecto)\r\n- Los objetivos se eligen en función de tu modo de selección de objetivos\r\n\r\nFuego concentrado\r\n- El enemigo objetivo se cambia manualmente usando {0}","สลับระหว่างโหมดไดนามิกกับโหมดเจาะจงเป้าหมาย\r\n\r\nไดนามิก (ค่าเริ่มต้น)\r\n- เป้าหมาย​ที่​เลือก​จะ​ขึ้น​อยู่​กับโหมดเลือกเป้าหมายของคุณ\r\n\r\nเจาะจงเป้าหมาย\r\n- คุณ​ต้อง​เปลี่ยน​เป้าหมาย​ที่​เลือก​ด้วย​ตนเอง​ด้วย {0}","切換動態和集火模式。\r\n\r\n動態(預設)\r\n- 目標選擇取決於你目前的鎖定模式\r\n\r\n集火\r\n- 必須以{0}手動切換敵人鎖定","Activate Focus Fire","Activer le mode Précis","Fokusfeuer aktivieren","集中砲火を有効化","집중 사격 활성화","Alternar Modo de Foco","Переключить режим выбора цели","Activar Fuego concentrado","เปิดใช้การเจาะจงเป้าหมาย","啟動集火",""
17,"ContextualAction1","Art/2DArt/SkillIcons/GamepadActions/ContextualAction1.dds","Button bind required to interact with some in game content.","Raccourci requis pour interagir avec du contenu dans le jeu.","Tastenzuweisung erforderlich, um mit einigen Spielinhalten zu interagieren.","ゲーム内の一部のコンテンツにインタラクトするためにはボタンの割り当てが必要です。","일부 게임 콘텐츠를 이용하는 데 필요한 버튼 지정입니다.","Exige que um botão seja vinculado para interagir com alguns conteúdos do jogo.","Кнопка, необходимая для взаимодействия с некоторым контентом в игре.","Una asignación de botón requerida para interactuar con algunos contenidos del juego.","ปุ่มที่จำเป็นต่อการใช้งานร่วมกับเนื้อหาภายในเกมบางอย่าง","需要綁定按鈕才能與部分遊戲內容互動。","Contextual 1","Contextuelle (1)","Kontextbezogen 1","コンテキスト 1","상황별 1","Contextual 1","Контекстное действие 1","Contexto 1","บริบท 1","上下文 1",""
18,"ContextualAction2","Art/2DArt/SkillIcons/GamepadActions/ContextualAction1.dds","A second button bind required to interact with some in game content.","Un deuxième raccourci requis pour interagir avec du contenu dans le jeu.","\r\nEine zweite Tastenzuweisung ist erforderlich, um mit bestimmten Spielinhalten zu interagieren.","ゲーム内の一部のコンテンツにインタラクトするためには第2のボタンの割り当てが必要です。","일부 게임 콘텐츠를 이용하는 데 필요한 두 번째 버튼 지정입니다.","Um segundo botão precisa ser vinculado para interagir com alguns conteúdos do jogo.","Вторая кнопка, необходимая для взаимодействия с некоторым контентом в игре.","Una segunda asignación de botón requerida para interactuar con algunos contenidos del juego.","ปุ่มที่สองที่จำเป็นต่อการใช้งานร่วมกับเนื้อหาภายในเกมบางอย่าง","需要綁定第二個按鈕才能與部分遊戲內容互動。","Contextual 2","Contextuelle (2)","Kontextbezogen 2","コンテキスト 2","상황별 2","Contextual 2","Контекстное действие 2","Contexto 2","บริบท 2","上下文 2",""
19,"ContextualAction3","Art/2DArt/SkillIcons/GamepadActions/ContextualAction1.dds","A third button bind required to interact with some in game content.","Un troisième raccourci requis pour interagir avec du contenu dans le jeu.","\r\nEine dritte Tastenzuweisung ist erforderlich, um mit bestimmten Spielinhalten zu interagieren.","ゲーム内の一部のコンテンツにインタラクトするためには第3のボタンの割り当てが必要です。","일부 게임 콘텐츠를 이용하는 데 필요한 세 번째 버튼 지정입니다.","Um terceiro botão precisa ser vinculado para interagir com alguns conteúdos do jogo.","Третья кнопка, необходимая для взаимодействия с некоторым контентом в игре.","Una tercera asignación de botón requerida para interactuar con algunos contenidos del juego.","ปุ่มที่สามที่จำเป็นต่อการใช้งานร่วมกับเนื้อหาภายในเกมบางอย่าง","需要綁定第三個按鈕才能與部分遊戲內容互動。","Contextual 3","Contextuelle (3)","Kontextbezogen 3","コンテキスト 3","상황별 3","Contextual 3","Контекстное действие 3","Contexto 3","บริบท 3","上下文 3",""
20,"ToggleHighlighting","Art/2DArt/SkillIcons/GamepadActions/LabelsShowIcon.dds","On (default)\r\n- All labels will be visible\r\n\r\nOff\r\n- Highlighted object label will be shown\r\n- All other labels will be hidden\r\n- Items will not be selectable","Activé (par défaut)\r\n- Tous les labels des objets seront visibles\r\n\r\nDésactivé\r\n- Seul le label de l'objet surligné sera visible\r\n- Tous les autres labels seront cachés\r\n- Les objets ne seront pas sélectionnables","An (Standard)\r\n- Alle Beschriftungen sind sichtbar\r\n\r\nAus\r\n- Die Beschriftung des hervorgehobenen Gegenstands wird angezeigt\r\n- Alle anderen Beschriftungen sind nicht sichtbar\r\n- Gegenstände sind nicht auswählbar","オン (デフォルト)\r\n- すべてのラベルが表示されます\r\n\r\nオフ\r\n- ハイライトされたオブジェクトのラベルが表示されます\r\n- 他のすべてのラベルは非表示になります\r\n- アイテムは選択できなくなります","켜짐 (기본)\r\n- 이름표를 모두 표시합니다.\r\n\r\n꺼짐\r\n- 강조 표시된 개체의 이름표만 표시합니다.\r\n- 그 외의 이름표는 모두 숨깁니다.\r\n- 아이템을 선택할 수 없습니다.","Ativado (padrão)\r\n- Todas as tags estarão visíveis\r\n\r\nDesativado\r\n- A tag do objeto destacado será exibida\r\n- Todas as outras tags serão ocultadas\r\n- Itens não poderão ser selecionados","Включено (по умолчанию)\r\n- Все плашки будут видны\r\n\r\nОтключено\r\n- Будет показана плашка подсвеченного объекта\r\n- Все остальные плашки будут скрыты\r\n- Предметы нельзя будет выбрать","Activado (por defecto)\r\n- Se mostrarán todas las etiquetas\r\n\r\nDesactivado\r\n- Se mostrará la etiqueta del objeto resaltado\r\n- El resto de etiquetas estarán ocultas\r\n- No se podrán seleccionar los objetos","เปิด (ค่าเริ่มต้น)\r\n- แสดงป้ายชื่อทั้งหมด\r\n\r\nปิด\r\n- แสดงป้ายชื่อของวัตถุที่ถูกไฮไลท์\r\n- ซ่อนป้ายชื่ออื่นๆ ทั้งหมด\r\n- ไม่สามารถเลือกไอเทมต่างๆ ได้","開啟（預設）\r\n\r\n- 所有標籤皆可見\r\n\r\n\r\n\r\n關閉\r\n\r\n- 將顯示重點標記的物品標籤\r\n\r\n- 所有其他標籤將會隱藏\r\n\r\n- 將無法選擇物品","Toggle Label Visibility","Basculer la visibilité des labels","Beschriftungen umschalten","ラベル表示の切替","이름표 표시 켜기/끄기","Ativar Visibilidade de Tags","Вкл./выкл. видимость плашек","Cambiar visibilidad de etiquetas","เปิด/ปิดการแสดงป้ายชื่อ","切換標籤可見度",""
21,"CycleCrossbowAmmo","Art/2DArt/SkillIcons/GamepadActions/CycleAmmo.dds","Cycles through crossbow ammo types in skill menu order.","Alterne entre les types de munitions d'arbalète selon l'ordre du menu des aptitudes.","Wechselt in der Reihenfolge des Fertigkeitsmenüs durch die Armbrustmunitionsarten.","スキルメニューの順序でクロスボウの弾薬の種類を切り替えます。","석궁 탄약 유형을 스킬 메뉴 순서대로 넘깁니다.","Alterna entre os tipos de munição da besta na ordem do menu de habilidades. ","Переключение видов боеприпаса для самострела по порядку как в окне умений.","Cambia entre los diferentes tipos de munición para ballesta en el orden del menú de habilidades.","สลับชนิดของกระสุนหน้าไม้เรียงไปตามลำดับของเมนูสกิล","依技能選單順序輪替十字弓彈藥類型。","Cycle Crossbow Ammo","Alterner les munitions d'arbalète","Armbrustmunition durchwechseln","クロスボウの弾薬をサイクル","석궁 탄약 넘기기","Alternar Munição da Besta ","Сменить боеприпас самострела","Cambiar munición de ballesta","สลับกระสุนหน้าไม้ตามลำดับ","輪替十字弓彈藥",""
22,"ReloadCrossbow","Art/2DArt/SkillIcons/GamepadActions/Reload.dds","Reloads active crossbow ammo type.","Recharge le type de munitions actif de l'arbalète.","Lädt die aktive Armbrustmunitionsart neu.","アクティブなクロスボウの弾薬タイプをリロードします。","활성화된 석궁 탄약 유형을 재장전합니다.","Recarrega o tipo de munição ativo da besta.","Перезарядить выбранный боеприпас для самострела.","Recarga el tipo de munición activa de la ballesta.","รีโหลดกระสุนหน้าไม้ที่ใช้งานอยู่","裝填啟用的十字弓彈藥類型。","Reload Crossbow","Recharger l'arbalète","Armbrust nachladen","クロスボウをリロード","석궁 재장전","Recarregar Besta","Перезарядить самострел","Recargar ballesta","รีโหลดหน้าไม้","裝填十字弓",""
23,"ActionZoom","Art/2DArt/SkillIcons/GamepadActions/ActionZoom.dds","Cycles camera zoom level in/out.","Alterne le niveau de zoom de la caméra avant/arrière","Durchläuft die Kamerzoom-Stufen.","ズームレベルを切り替えて、拡大縮小を行う。","카메라 확대 비율을 확대/축소로 넘깁니다.","Alterna os níveis de aproximação/afastamento da câmara.","Приближает/отдаляет камеру.","Aumenta o disminuye el nivel de zoom de la cámara.","เปลี่ยนระดับการซูมกล้องเข้า/ออก","循環畫面縮放比例拉近/拉遠。","Cycle Camera Zoom","Cycle du zoom de la caméra","Kamerzoom durchlaufen","カメラズームを切り替える","카메라 확대 넘기기","Alternar aproximação da câmara","Переключить приближение камеры","Cambiar zoom de cámara","เปลี่ยนการซูมกล้อง","循環畫面縮放",""
